Time,Channel A,Channel B
(us),(mV),(V)

-0.03200000,-12.20472000,0.00000000
0.00000000,-Infinity,1.73228300
0.03200000,-3.93700800,3.14960600
0.06400000,-35.03937000,3.14960600
0.09600000,-3.14960600,3.22834600
0.12800000,-15.74803000,3.30708700
0.16000000,-6.69291300,3.30708700
0.19199999,-19.68504000,3.38582700
0.22399999,1.18110200,3.38582700
0.25599999,-8.66141700,3.38582700
0.28799999,-2.36220500,3.46456700
0.31999999,-5.90551100,3.46456700
0.35199999,2.36220500,3.54330700
0.38399999,-1.57480300,3.54330700
0.41599999,-1.96850400,3.54330700
0.44799999,1.57480300,3.54330700
0.47999999,3.14960600,3.54330700
0.51199999,10.23622000,3.62204700
0.54399998,-2.75590500,3.62204700
0.57599998,5.90551100,3.62204700
0.60799998,1.96850400,3.62204700
0.63999998,11.02362000,3.62204700
0.67199998,-7.48031400,3.62204700
0.70399998,11.41732000,3.62204700
0.73599998,-9.84251900,3.62204700
0.76799998,4.33070900,3.70078700
0.79999998,-15.74803000,3.62204700
0.83199998,7.87401500,3.70078700
0.86399998,-22.44094000,3.70078700
0.89599997,-9.05511800,3.70078700
0.92799997,-24.01575000,3.70078700
0.95999997,-4.72440900,3.70078700
0.99199997,-25.19685000,3.70078700
1.02399997,-18.50394000,3.70078700
1.05599997,-28.74015000,3.70078700
1.08799997,-1.18110200,3.70078700
1.11999997,-31.10236000,3.70078700
1.15199997,-14.17323000,3.70078700
1.18399997,-27.55905000,3.70078700
1.21599997,-2.75590500,3.70078700
1.24799996,-19.68504000,3.70078700
1.27999996,-9.84251900,3.70078700
1.31199996,-29.92126000,3.70078700
1.34399996,9.05511800,3.70078700
1.37599996,-25.19685000,3.70078700
1.40799996,-5.11811000,3.70078700
1.43999996,-19.68504000,3.70078700
1.47199996,-0.78740150,3.70078700
1.50399996,-13.38583000,3.70078700
1.53599996,-4.72440900,3.70078700
1.56799996,-11.81102000,3.70078700
1.59999995,-0.39370070,3.77952800
1.63199995,-3.93700800,3.70078700
1.66399995,0.78740150,3.70078700
1.69599995,1.96850400,3.70078700
1.72799995,5.11811000,3.70078700
1.75999995,0.00000000,3.70078700
1.79199995,8.66141700,3.77952800
1.82399995,9.84251900,3.77952800
1.85599995,5.51181100,3.70078700
1.88799995,8.26771600,3.77952800
1.91999995,7.08661400,3.77952800
1.95199994,10.23622000,3.77952800
1.98399994,-0.39370070,3.70078700
2.01599994,8.26771600,3.77952800
2.04799994,-5.51181100,3.77952800
2.07999994,9.44881800,3.77952800
2.11199994,-14.17323000,3.77952800
2.14399994,2.75590500,3.77952800
2.17599994,-11.41732000,3.77952800
2.20799994,8.66141700,3.77952800
2.23999994,-24.80315000,3.77952800
2.27199994,-2.75590500,3.77952800
2.30399993,-20.07874000,3.77952800
2.33599993,2.75590500,3.77952800
2.36799993,-29.13386000,3.77952800
2.39999993,0.39370070,3.77952800
2.43199993,-18.50394000,3.77952800
2.46399993,-10.62992000,3.70078700
2.49599993,-27.95275000,3.77952800
2.52799993,-2.36220500,3.77952800
2.55999993,-24.01575000,3.77952800
2.59199993,-10.62992000,3.70078700
2.62399993,-31.88976000,3.70078700
2.65599992,3.14960600,3.77952800
2.68799992,-18.11024000,3.70078700
2.71999992,-5.51181100,3.77952800
2.75199992,-25.19685000,3.70078700
2.78399992,4.72440900,3.77952800
2.81599992,-13.38583000,3.70078700
2.84799992,2.36220500,3.77952800
2.87999992,-1.18110200,3.77952800
2.91199992,4.72440900,3.77952800
2.94399992,-4.33070900,3.77952800
2.97599992,1.57480300,3.77952800
3.00799991,3.93700800,3.70078700
3.03999991,5.11811000,3.77952800
3.07199991,0.39370070,3.70078700
3.10399991,3.93700800,3.77952800
3.13599991,9.84251900,3.70078700
3.16799991,3.54330700,3.77952800
3.19999991,11.41732000,3.70078700
3.23199991,2.36220500,3.77952800
3.26399991,17.71653000,3.77952800
3.29599991,2.36220500,3.77952800
3.32799991,5.11811000,3.77952800
3.35999990,-1.57480300,3.77952800
3.39199990,14.56693000,3.77952800
3.42399990,-8.26771600,3.77952800
3.45599990,5.51181100,3.77952800
3.48799990,-10.23622000,3.77952800
3.51999990,10.62992000,3.77952800
3.55199990,-25.19685000,3.77952800
3.58399990,-7.87401500,3.77952800
3.61599990,-27.16535000,3.77952800
3.64799990,7.48031400,3.77952800
3.67999990,-32.28346000,3.77952800
3.71199990,-7.87401500,3.77952800
3.74399989,-20.07874000,3.70078700
3.77599989,-10.62992000,3.77952800
3.80799989,-27.55905000,3.77952800
3.83999989,0.00000000,3.77952800
3.87199989,-19.29134000,3.77952800
3.90399989,-8.26771600,3.77952800
3.93599989,-31.49606000,3.77952800
3.96799989,3.93700800,3.77952800
3.99999989,-18.89764000,3.77952800
4.03199989,-5.51181100,3.77952800
4.06399989,-27.16535000,3.77952800
4.09599988,0.78740150,3.77952800
4.12799988,-17.71653000,3.77952800
4.15999988,-3.54330700,3.77952800
4.19199988,-6.69291300,3.77952800
4.22399988,1.96850400,3.77952800
4.25599988,-7.08661400,3.70078700
4.28799988,0.00000000,3.77952800
4.31999988,1.18110200,3.77952800
4.35199988,7.48031400,3.77952800
4.38399988,3.14960600,3.77952800
4.41599988,7.48031400,3.77952800
4.44799987,11.02362000,3.77952800
4.47999987,7.08661400,3.77952800
4.51199987,12.20472000,3.77952800
4.54399987,0.00000000,3.77952800
4.57599987,12.59842000,3.77952800
4.60799987,3.54330700,3.77952800
4.63999987,3.93700800,3.77952800
4.67199987,-4.33070900,3.77952800
4.70399987,10.62992000,3.77952800
4.73599987,-10.62992000,3.77952800
4.76799987,5.51181100,3.77952800
4.79999986,-10.62992000,3.77952800
4.83199986,11.81102000,3.77952800
4.86399986,-21.25984000,3.77952800
4.89599986,-4.72440900,3.77952800
4.92799986,-22.83464000,3.77952800
4.95999986,10.23622000,3.77952800
4.99199986,-25.59055000,3.77952800
5.02399986,-5.90551100,3.77952800
5.05599986,-20.86614000,3.77952800
5.08799986,-12.59842000,3.77952800
5.11999986,-29.52756000,3.77952800
5.15199985,-3.14960600,3.77952800
5.18399985,-22.83464000,3.77952800
5.21599985,-8.26771600,3.77952800
5.24799985,-35.82677000,3.77952800
5.27999985,1.96850400,3.70078700
5.31199985,-21.25984000,3.77952800
5.34399985,-2.36220500,3.77952800
5.37599985,-31.10236000,3.77952800
5.40799985,3.54330700,3.77952800
5.43999985,-14.96063000,3.77952800
5.47199985,-1.57480300,3.77952800
5.50399984,-6.29921200,3.77952800
5.53599984,1.57480300,3.77952800
5.56799984,-6.29921200,3.77952800
5.59999984,1.57480300,3.77952800
5.63199984,-2.75590500,3.77952800
5.66399984,-1.18110200,3.77952800
5.69599984,-0.78740150,3.77952800
5.72799984,3.14960600,3.77952800
5.75999984,6.69291300,3.77952800
5.79199984,4.72440900,3.77952800
5.82399984,10.23622000,3.77952800
5.85599983,1.57480300,3.77952800
5.88799983,13.38583000,3.77952800
5.91999983,5.90551100,3.77952800
5.95199983,10.23622000,3.77952800
5.98399983,1.18110200,3.77952800
6.01599983,13.77953000,3.77952800
6.04799983,-4.72440900,3.77952800
6.07999983,9.44881800,3.77952800
6.11199983,-9.44881800,3.77952800
6.14399983,10.62992000,3.77952800
6.17599983,-17.71653000,3.77952800
6.20799982,-5.90551100,3.77952800
6.23999982,-25.59055000,3.77952800
6.27199982,7.48031400,3.77952800
6.30399982,-25.98425000,3.77952800
6.33599982,-4.72440900,3.77952800
6.36799982,-21.25984000,3.77952800
6.39999982,-9.44881800,3.77952800
6.43199982,-23.22835000,3.77952800
6.46399982,0.39370070,3.77952800
6.49599982,-25.98425000,3.77952800
6.52799982,-4.33070900,3.77952800
6.55999981,-31.88976000,3.77952800
6.59199981,1.57480300,3.77952800
6.62399981,-23.22835000,3.77952800
6.65599981,-5.11811000,3.77952800
6.68799981,-27.95275000,3.70078700
6.71999981,-1.18110200,3.77952800
6.75199981,-21.65354000,3.77952800
6.78399981,-2.75590500,3.77952800
6.81599981,-7.08661400,3.77952800
6.84799981,-1.96850400,3.77952800
6.87999981,-9.84251900,3.77952800
6.91199980,5.90551100,3.77952800
6.94399980,-1.57480300,3.77952800
6.97599980,1.96850400,3.77952800
7.00799980,-1.57480300,3.77952800
7.03999980,9.44881800,3.77952800
7.07199980,7.48031400,3.77952800
7.10399980,5.90551100,3.77952800
7.13599980,13.38583000,3.77952800
7.16799980,0.39370070,3.77952800
7.19999980,9.84251900,3.77952800
7.23199980,1.96850400,3.77952800
7.26399979,8.66141700,3.77952800
7.29599979,1.96850400,3.77952800
7.32799979,10.23622000,3.77952800
7.35999979,-5.51181100,3.77952800
7.39199979,11.81102000,3.77952800
7.42399979,-5.11811000,3.77952800
7.45599979,14.17323000,3.77952800
7.48799979,-13.77953000,3.77952800
7.51999979,3.14960600,3.77952800
7.55199979,-19.29134000,3.77952800
7.58399979,6.69291300,3.77952800
7.61599978,-23.62205000,3.77952800
7.64799978,-1.57480300,3.77952800
7.67999978,-20.86614000,3.77952800
7.71199978,-13.38583000,3.77952800
7.74399978,-25.19685000,3.77952800
7.77599978,-1.96850400,3.77952800
7.80799978,-31.88976000,3.77952800
7.83999978,-8.66141700,3.77952800
7.87199978,-33.85827000,3.77952800
7.90399978,3.54330700,3.77952800
7.93599978,-26.37795000,3.77952800
7.96799977,-3.54330700,3.77952800
7.99999977,-29.92126000,3.77952800
8.03199977,4.33070900,3.77952800
8.06399977,-18.89764000,3.77952800
8.09599977,-1.18110200,3.77952800
8.12799977,-3.54330700,3.77952800
8.15999977,-2.75590500,3.77952800
8.19199977,-14.96063000,3.77952800
8.22399977,2.36220500,3.77952800
8.25599977,-4.72440900,3.77952800
8.28799977,-2.36220500,3.77952800
8.31999976,-9.44881800,3.77952800
8.35199976,5.11811000,3.77952800
8.38399976,1.96850400,3.77952800
8.41599976,2.75590500,3.77952800
8.44799976,6.69291300,3.77952800
8.47999976,5.51181100,3.77952800
8.51199976,12.59842000,3.77952800
8.54399976,3.14960600,3.77952800
8.57599976,9.05511800,3.77952800
8.60799976,7.08661400,3.77952800
8.63999976,12.99213000,3.77952800
8.67199975,-3.93700800,3.77952800
8.70399975,13.77953000,3.77952800
8.73599975,-5.11811000,3.77952800
8.76799975,12.20472000,3.77952800
8.79999975,-19.29134000,3.77952800
8.83199975,0.39370070,3.77952800
8.86399975,-20.07874000,3.77952800
8.89599975,9.05511800,3.77952800
8.92799975,-27.16535000,3.77952800
8.95999975,-1.96850400,3.77952800
8.99199975,-22.83464000,3.77952800
9.02399974,-7.87401500,3.77952800
9.05599974,-18.11024000,3.77952800
9.08799974,-6.29921200,3.77952800
9.11999974,-27.95275000,3.77952800
9.15199974,-5.90551100,3.77952800
9.18399974,-21.25984000,3.77952800
9.21599974,-5.11811000,3.77952800
9.24799974,-17.71653000,3.77952800
9.27999974,-7.08661400,3.77952800
9.31199974,-17.71653000,3.77952800
9.34399974,-1.96850400,3.77952800
9.37599973,-20.07874000,3.77952800
9.40799973,-1.18110200,3.77952800
9.43999973,-7.08661400,3.77952800
9.47199973,3.54330700,3.77952800
9.50399973,-15.35433000,3.77952800
9.53599973,5.90551100,3.77952800
9.56799973,-8.26771600,3.77952800
9.59999973,7.48031400,3.77952800
9.63199973,2.75590500,3.77952800
9.66399973,6.69291300,3.77952800
9.69599973,1.96850400,3.77952800
9.72799972,6.69291300,3.77952800
9.75999972,3.54330700,3.77952800
9.79199972,6.29921200,3.77952800
9.82399972,9.84251900,3.77952800
9.85599972,6.29921200,3.77952800
9.88799972,11.02362000,3.77952800
9.91999972,5.90551100,3.77952800
9.95199972,14.17323000,3.77952800
9.98399972,0.39370070,3.77952800
10.01599972,16.14173000,3.77952800
10.04799972,0.00000000,3.77952800
10.07999971,11.81102000,3.77952800
10.11199971,-6.69291300,3.77952800
10.14399971,11.41732000,3.77952800
10.17599971,-11.02362000,3.77952800
10.20799971,2.75590500,3.77952800
10.23999971,-18.89764000,3.77952800
10.27199971,5.11811000,3.77952800
10.30399971,-21.25984000,3.77952800
10.33599971,-10.23622000,3.77952800
10.36799971,-32.67717000,3.77952800
10.39999971,3.54330700,3.77952800
10.43199970,-26.37795000,3.77952800
10.46399970,-10.23622000,3.77952800
10.49599970,-37.40157000,3.77952800
10.52799970,0.39370070,3.77952800
10.55999970,-23.22835000,3.77952800
10.59199970,-0.39370070,3.77952800
10.62399970,-17.32283000,3.77952800
10.65599970,1.18110200,3.77952800
10.68799970,-21.65354000,3.77952800
10.71999970,-0.78740150,3.77952800
10.75199970,-19.68504000,3.77952800
10.78399970,5.51181100,3.77952800
10.81599969,-15.35433000,3.77952800
10.84799969,1.18110200,3.77952800
10.87999969,-10.23622000,3.77952800
10.91199969,1.96850400,3.77952800
10.94399969,-6.69291300,3.77952800
10.97599969,3.14960600,3.77952800
11.00799969,2.36220500,3.77952800
11.03999969,7.08661400,3.77952800
