Time,Channel A,Channel B
(us),(mV),(V)

-0.06272000,-3.14960600,0.07874016
-0.03072000,-4.72440900,0.07874016
0.00128000,-21.25984000,2.04724400
0.03328000,-1.57480300,3.14960600
0.06528000,-7.48031400,3.14960600
0.09728000,-7.87401500,3.22834600
0.12928000,-10.62992000,3.30708700
0.16128000,-5.11811000,3.30708700
0.19327999,-9.84251900,3.38582700
0.22527999,-4.33070900,3.38582700
0.25727999,-7.08661400,3.46456700
0.28927999,-1.96850400,3.46456700
0.32127999,-3.14960600,3.46456700
0.35327999,-4.33070900,3.54330700
0.38527999,-4.33070900,3.54330700
0.41727999,0.39370070,3.62204700
0.44927999,-4.33070900,3.54330700
0.48127999,-6.29921200,3.62204700
0.51327999,-2.36220500,3.62204700
0.54527998,-6.69291300,3.62204700
0.57727998,-7.08661400,3.62204700
0.60927998,-9.05511800,3.62204700
0.64127998,-5.90551100,3.62204700
0.67327998,-8.26771600,3.70078700
0.70527998,-7.48031400,3.70078700
0.73727998,-12.59842000,3.70078700
0.76927998,-5.51181100,3.70078700
0.80127998,-9.44881800,3.70078700
0.83327998,-7.08661400,3.70078700
0.86527998,-11.41732000,3.70078700
0.89727997,-5.51181100,3.70078700
0.92927997,-12.59842000,3.70078700
0.96127997,-7.08661400,3.70078700
0.99327997,-10.23622000,3.70078700
1.02527997,-7.08661400,3.70078700
1.05727997,-12.59842000,3.70078700
1.08927997,-5.90551100,3.70078700
1.12127997,-10.62992000,3.70078700
1.15327997,-2.75590500,3.70078700
1.18527997,-11.02362000,3.70078700
1.21727997,-3.93700800,3.70078700
1.24927996,-3.14960600,3.70078700
1.28127996,0.78740150,3.70078700
1.31327996,-11.41732000,3.70078700
1.34527996,2.36220500,3.70078700
1.37727996,-4.72440900,3.70078700
1.40927996,-0.78740150,3.70078700
1.44127996,-7.48031400,3.70078700
1.47327996,-1.18110200,3.70078700
1.50527996,-1.57480300,3.70078700
1.53727996,-0.78740150,3.70078700
1.56927996,-8.26771600,3.70078700
1.60127995,-1.96850400,3.70078700
1.63327995,-1.18110200,3.70078700
1.66527995,-3.14960600,3.70078700
1.69727995,-3.93700800,3.70078700
1.72927995,1.96850400,3.70078700
1.76127995,-1.18110200,3.70078700
1.79327995,-0.39370070,3.70078700
1.82527995,-0.78740150,3.70078700
1.85727995,0.00000000,3.70078700
1.88927995,1.96850400,3.70078700
1.92127995,-3.54330700,3.70078700
1.95327994,-4.72440900,3.70078700
1.98527994,-3.14960600,3.70078700
2.01727994,-3.54330700,3.70078700
2.04927994,-9.05511800,3.70078700
2.08127994,-1.96850400,3.70078700
2.11327994,-5.11811000,3.70078700
2.14527994,-6.69291300,3.70078700
2.17727994,-11.41732000,3.77952800
2.20927994,-2.75590500,3.70078700
2.24127994,-8.66141700,3.70078700
2.27327994,-3.54330700,3.70078700
2.30527993,-11.02362000,3.70078700
2.33727993,-0.78740150,3.70078700
2.36927993,-7.48031400,3.70078700
2.40127993,-2.36220500,3.77952800
2.43327993,-4.72440900,3.70078700
2.46527993,1.96850400,3.70078700
2.49727993,-6.69291300,3.70078700
2.52927993,-1.96850400,3.70078700
2.56127993,-6.29921200,3.70078700
2.59327993,-0.78740150,3.70078700
2.62527993,-8.66141700,3.70078700
2.65727992,1.57480300,3.77952800
2.68927992,-4.33070900,3.70078700
2.72127992,1.18110200,3.70078700
2.75327992,-6.69291300,3.70078700
2.78527992,-1.18110200,3.70078700
2.81727992,-1.57480300,3.70078700
2.84927992,4.72440900,3.77952800
2.88127992,-1.96850400,3.70078700
2.91327992,0.00000000,3.70078700
2.94527992,1.18110200,3.70078700
2.97727992,2.36220500,3.70078700
3.00927991,0.78740150,3.70078700
3.04127991,1.57480300,3.70078700
3.07327991,0.39370070,3.70078700
3.10527991,1.18110200,3.77952800
3.13727991,-3.54330700,3.70078700
3.16927991,-3.14960600,3.70078700
3.20127991,1.96850400,3.77952800
3.23327991,-2.75590500,3.77952800
3.26527991,-4.72440900,3.70078700
3.29727991,-4.72440900,3.70078700
3.32927991,-4.33070900,3.70078700
3.36127990,-7.87401500,3.70078700
3.39327990,-3.14960600,3.77952800
3.42527990,-5.51181100,3.70078700
3.45727990,-2.75590500,3.77952800
3.48927990,-9.84251900,3.70078700
3.52127990,-5.51181100,3.70078700
3.55327990,-9.05511800,3.70078700
3.58527990,-3.54330700,3.70078700
3.61727990,-16.53543000,3.70078700
3.64927990,-4.33070900,3.77952800
3.68127990,-10.62992000,3.70078700
3.71327990,-6.69291300,3.70078700
3.74527989,-8.66141700,3.70078700
3.77727989,-2.36220500,3.70078700
3.80927989,-6.69291300,3.70078700
3.84127989,0.39370070,3.77952800
3.87327989,-6.69291300,3.70078700
3.90527989,-2.36220500,3.70078700
3.93727989,-6.69291300,3.70078700
3.96927989,1.96850400,3.70078700
4.00127989,-5.90551100,3.70078700
4.03327989,1.57480300,3.70078700
4.06527989,-6.29921200,3.70078700
4.09727988,-2.75590500,3.70078700
4.12927988,-6.29921200,3.70078700
4.16127988,0.78740150,3.70078700
4.19327988,-3.14960600,3.70078700
4.22527988,-1.57480300,3.77952800
4.25727988,-4.33070900,3.70078700
4.28927988,0.39370070,3.70078700
4.32127988,0.78740150,3.70078700
4.35327988,0.78740150,3.70078700
4.38527988,0.00000000,3.70078700
4.41727988,5.51181100,3.70078700
4.44927987,-0.39370070,3.77952800
4.48127987,-3.14960600,3.70078700
4.51327987,1.57480300,3.70078700
4.54527987,-1.57480300,3.77952800
4.57727987,-3.14960600,3.77952800
4.60927987,-6.69291300,3.70078700
4.64127987,-5.90551100,3.77952800
4.67327987,-8.26771600,3.70078700
4.70527987,-6.69291300,3.77952800
4.73727987,-10.62992000,3.70078700
4.76927987,-4.33070900,3.70078700
4.80127986,-9.05511800,3.70078700
4.83327986,-6.69291300,3.70078700
4.86527986,-10.62992000,3.70078700
4.89727986,-2.75590500,3.77952800
4.92927986,-13.38583000,3.70078700
4.96127986,-3.54330700,3.77952800
4.99327986,-9.84251900,3.70078700
5.02527986,-4.33070900,3.70078700
5.05727986,-8.26771600,3.70078700
5.08927986,-5.90551100,3.70078700
5.12127986,-11.41732000,3.70078700
5.15327985,0.00000000,3.70078700
5.18527985,-8.66141700,3.70078700
5.21727985,-5.51181100,3.70078700
5.24927985,-10.23622000,3.70078700
5.28127985,1.57480300,3.77952800
5.31327985,-8.26771600,3.70078700
5.34527985,-0.39370070,3.77952800
5.37727985,-7.48031400,3.70078700
5.40927985,0.39370070,3.77952800
5.44127985,-5.51181100,3.70078700
5.47327985,-0.39370070,3.70078700
5.50527984,-1.18110200,3.70078700
5.53727984,0.39370070,3.70078700
5.56927984,-5.90551100,3.77952800
5.60127984,-0.39370070,3.77952800
5.63327984,0.00000000,3.70078700
5.66527984,-2.75590500,3.77952800
5.69727984,-5.11811000,3.70078700
5.72927984,1.57480300,3.70078700
5.76127984,-1.18110200,3.77952800
5.79327984,-3.14960600,3.77952800
5.82527984,-1.57480300,3.70078700
5.85727983,-2.36220500,3.77952800
5.88927983,-0.78740150,3.77952800
5.92127983,-5.11811000,3.77952800
5.95327983,-5.51181100,3.70078700
5.98527983,-4.33070900,3.70078700
6.01727983,-2.75590500,3.77952800
6.04927983,-10.62992000,3.77952800
6.08127983,-5.51181100,3.70078700
6.11327983,-7.08661400,3.77952800
6.14527983,-5.90551100,3.77952800
6.17727983,-11.81102000,3.70078700
6.20927982,-6.29921200,3.70078700
6.24127982,-14.96063000,3.70078700
6.27327982,-5.11811000,3.77952800
6.30527982,-14.17323000,3.70078700
6.33727982,-4.72440900,3.77952800
6.36927982,-5.11811000,3.77952800
6.40127982,-5.11811000,3.70078700
6.43327982,-11.41732000,3.70078700
6.46527982,1.96850400,3.70078700
6.49727982,-6.69291300,3.77952800
6.52927982,-3.93700800,3.70078700
6.56127981,-9.84251900,3.70078700
6.59327981,2.75590500,3.70078700
6.62527981,-6.69291300,3.70078700
6.65727981,-3.54330700,3.70078700
6.68927981,-9.84251900,3.70078700
6.72127981,0.00000000,3.77952800
6.75327981,-5.90551100,3.70078700
6.78527981,-3.93700800,3.70078700
6.81727981,-3.54330700,3.70078700
6.84927981,0.39370070,3.77952800
6.88127981,-6.29921200,3.77952800
6.91327980,0.39370070,3.77952800
6.94527980,3.14960600,3.70078700
6.97727980,1.96850400,3.77952800
7.00927980,-3.14960600,3.70078700
7.04127980,1.57480300,3.77952800
7.07327980,0.00000000,3.77952800
7.10527980,0.00000000,3.77952800
7.13727980,-0.78740150,3.77952800
7.16927980,-3.14960600,3.77952800
7.20127980,-0.78740150,3.77952800
7.23327980,-6.69291300,3.77952800
7.26527979,-8.66141700,3.77952800
7.29727979,-6.69291300,3.77952800
7.32927979,-2.36220500,3.77952800
7.36127979,-9.44881800,3.77952800
7.39327979,-6.29921200,3.77952800
7.42527979,-8.26771600,3.70078700
7.45727979,-3.54330700,3.70078700
7.48927979,-9.05511800,3.70078700
7.52127979,-5.11811000,3.77952800
7.55327979,-11.02362000,3.70078700
7.58527979,-1.96850400,3.70078700
7.61727978,-14.96063000,3.70078700
7.64927978,-7.87401500,3.77952800
7.68127978,-5.51181100,3.70078700
7.71327978,-5.11811000,3.77952800
7.74527978,-13.38583000,3.77952800
7.77727978,-2.36220500,3.70078700
7.80927978,-9.44881800,3.70078700
7.84127978,-5.11811000,3.70078700
7.87327978,-12.99213000,3.70078700
7.90527978,1.57480300,3.77952800
7.93727978,-4.72440900,3.70078700
7.96927977,-0.39370070,3.77952800
8.00127977,-11.41732000,3.70078700
8.03327977,1.96850400,3.77952800
8.06527977,-2.36220500,3.70078700
8.09727977,-2.36220500,3.70078700
8.12927977,-4.33070900,3.77952800
8.16127977,0.00000000,3.77952800
8.19327977,-7.08661400,3.70078700
8.22527977,-3.54330700,3.77952800
8.25727977,-2.36220500,3.77952800
8.28927977,0.00000000,3.77952800
8.32127976,-3.93700800,3.70078700
8.35327976,-1.18110200,3.77952800
8.38527976,-3.93700800,3.77952800
8.41727976,0.39370070,3.77952800
8.44927976,-1.18110200,3.70078700
8.48127976,-2.75590500,3.77952800
8.51327976,0.78740150,3.77952800
8.54527976,-1.96850400,3.77952800
8.57727976,-6.29921200,3.77952800
8.60927976,-6.69291300,3.77952800
8.64127976,-1.57480300,3.77952800
8.67327975,-7.48031400,3.77952800
8.70527975,-7.08661400,3.77952800
8.73727975,-11.81102000,3.77952800
8.76927975,-7.08661400,3.77952800
8.80127975,-11.02362000,3.77952800
8.83327975,-10.23622000,3.77952800
8.86527975,-14.17323000,3.70078700
8.89727975,-1.18110200,3.77952800
8.92927975,-14.56693000,3.77952800
8.96127975,-9.05511800,3.77952800
8.99327975,-10.62992000,3.70078700
9.02527974,-3.93700800,3.77952800
9.05727974,-7.87401500,3.70078700
9.08927974,-4.33070900,3.77952800
9.12127974,-9.84251900,3.70078700
9.15327974,-3.14960600,3.77952800
9.18527974,-7.87401500,3.77952800
9.21727974,-4.33070900,3.77952800
9.24927974,-4.33070900,3.77952800
9.28127974,-0.78740150,3.77952800
9.31327974,-9.05511800,3.70078700
9.34527974,-1.18110200,3.77952800
9.37727973,-3.54330700,3.70078700
9.40927973,0.00000000,3.77952800
9.44127973,-4.33070900,3.70078700
9.47327973,3.54330700,3.70078700
9.50527973,-0.78740150,3.70078700
9.53727973,2.75590500,3.77952800
9.56927973,-3.93700800,3.70078700
9.60127973,1.57480300,3.70078700
9.63327973,4.33070900,3.77952800
9.66527973,3.14960600,3.77952800
9.69727973,-2.75590500,3.70078700
9.72927972,3.54330700,3.77952800
9.76127972,2.36220500,3.77952800
9.79327972,-3.54330700,3.77952800
9.82527972,-0.78740150,3.77952800
9.85727972,1.96850400,3.77952800
9.88927972,-1.57480300,3.77952800
9.92127972,-3.54330700,3.77952800
9.95327972,-1.18110200,3.77952800
9.98527972,-2.36220500,3.77952800
10.01727972,0.00000000,3.77952800
10.04927972,-7.08661400,3.77952800
10.08127971,-5.11811000,3.77952800
10.11327971,-2.36220500,3.77952800
10.14527971,-4.33070900,3.77952800
10.17727971,-12.59842000,3.77952800
10.20927971,-1.18110200,3.77952800
10.24127971,-9.84251900,3.70078700
10.27327971,-5.11811000,3.77952800
10.30527971,-9.44881800,3.70078700
10.33727971,-3.14960600,3.77952800
10.36927971,-13.77953000,3.70078700
10.40127971,-2.75590500,3.77952800
10.43327970,-10.62992000,3.77952800
10.46527970,-1.57480300,3.77952800
10.49727970,-9.44881800,3.77952800
10.52927970,-1.96850400,3.77952800
10.56127970,-5.90551100,3.70078700
10.59327970,1.96850400,3.77952800
10.62527970,-3.93700800,3.77952800
10.65727970,-1.57480300,3.77952800
10.68927970,-4.33070900,3.77952800
10.72127970,0.78740150,3.77952800
10.75327970,-7.87401500,3.70078700
10.78527970,-0.78740150,3.70078700
10.81727969,-7.08661400,3.77952800
10.84927969,0.39370070,3.77952800
