Time,Channel A,Channel B
(us),(mV),(V)

-0.02925714,-3.14960600,0.07874016
0.03474286,1.18110200,2.83464600
0.09874286,-4.33070900,3.22834600
0.16274285,-7.08661400,3.30708700
0.22674285,-7.48031400,3.22834600
0.29074285,-7.48031400,3.30708700
0.35474285,-2.36220500,3.22834600
0.41874285,-8.66141700,3.22834600
0.48274284,-3.93700800,3.22834600
0.54674284,-4.33070900,3.30708700
0.61074284,-3.54330700,3.22834600
0.67474284,-7.08661400,3.22834600
0.73874284,1.18110200,3.22834600
0.80274284,-5.90551100,3.22834600
0.86674283,-3.93700800,3.22834600
0.93074283,-1.96850400,3.22834600
0.99474283,-1.57480300,3.22834600
1.05874283,-6.29921200,3.22834600
1.12274283,-1.57480300,3.30708700
1.18674282,-0.78740150,3.22834600
1.25074282,-6.29921200,3.22834600
1.31474282,0.39370070,3.22834600
1.37874282,-1.96850400,3.22834600
1.44274282,-3.54330700,3.22834600
1.50674282,-4.72440900,3.22834600
1.57074281,0.78740150,3.22834600
1.63474281,-7.48031400,3.22834600
1.69874281,-4.33070900,3.22834600
1.76274281,-3.93700800,3.22834600
1.82674281,-2.75590500,3.22834600
1.89074280,-5.51181100,3.22834600
1.95474280,2.36220500,3.22834600
2.01874280,-2.36220500,3.30708700
2.08274280,-2.36220500,3.22834600
2.14674280,-0.78740150,3.22834600
2.21074280,-1.18110200,3.22834600
2.27474279,-5.11811000,3.22834600
2.33874279,-1.96850400,3.22834600
2.40274279,0.39370070,3.22834600
2.46674279,-4.33070900,3.30708700
2.53074279,0.00000000,3.22834600
2.59474278,0.39370070,3.22834600
2.65874278,-0.39370070,3.22834600
2.72274278,-4.72440900,3.22834600
2.78674278,3.14960600,3.22834600
2.85074278,-5.90551100,3.22834600
2.91474278,-1.18110200,3.22834600
2.97874277,0.39370070,3.30708700
3.04274277,0.00000000,3.30708700
3.10674277,-5.51181100,3.22834600
3.17074277,0.00000000,3.30708700
3.23474277,-2.36220500,3.22834600
3.29874276,-4.33070900,3.30708700
3.36274276,-1.96850400,3.22834600
3.42674276,0.00000000,3.30708700
3.49074276,-1.96850400,3.22834600
3.55474276,-0.39370070,3.30708700
3.61874276,-0.39370070,3.22834600
3.68274275,-4.33070900,3.22834600
3.74674275,-2.36220500,3.22834600
3.81074275,-2.36220500,3.30708700
3.87474275,0.00000000,3.22834600
3.93874275,-3.54330700,3.22834600
4.00274274,1.57480300,3.30708700
4.06674274,-2.75590500,3.22834600
4.13074274,-1.18110200,3.22834600
4.19474274,-6.69291300,3.22834600
4.25874274,-0.78740150,3.30708700
4.32274274,-6.69291300,3.30708700
4.38674273,-4.33070900,3.30708700
4.45074273,-3.14960600,3.22834600
4.51474273,-6.29921200,3.22834600
4.57874273,-6.29921200,3.22834600
4.64274273,-1.57480300,3.22834600
4.70674272,-3.93700800,3.22834600
4.77074272,-7.87401500,3.22834600
4.83474272,-2.36220500,3.22834600
4.89874272,-4.33070900,3.30708700
4.96274272,-5.11811000,3.22834600
5.02674272,-3.54330700,3.30708700
5.09074271,-0.39370070,3.22834600
5.15474271,-7.87401500,3.22834600
5.21874271,0.78740150,3.30708700
5.28274271,-3.14960600,3.22834600
5.34674271,-3.93700800,3.22834600
5.41074270,-4.33070900,3.22834600
5.47474270,0.78740150,3.30708700
5.53874270,-6.69291300,3.30708700
5.60274270,-1.96850400,3.30708700
5.66674270,-1.57480300,3.22834600
5.73074270,-4.33070900,3.30708700
5.79474269,-5.51181100,3.30708700
5.85874269,-2.75590500,3.30708700
5.92274269,-3.93700800,3.22834600
5.98674269,-5.90551100,3.30708700
6.05074269,2.36220500,3.30708700
6.11474269,-3.14960600,3.30708700
6.17874268,-1.57480300,3.22834600
6.24274268,-4.33070900,3.30708700
6.30674268,0.39370070,3.30708700
6.37074268,-7.48031400,3.30708700
6.43474268,-0.78740150,3.30708700
6.49874267,-1.96850400,3.30708700
6.56274267,-1.57480300,3.30708700
6.62674267,-2.36220500,3.30708700
6.69074267,0.00000000,3.30708700
6.75474267,-5.11811000,3.30708700
6.81874267,-5.11811000,3.30708700
6.88274266,-1.96850400,3.30708700
6.94674266,-4.33070900,3.30708700
7.01074266,-5.11811000,3.30708700
7.07474266,-2.75590500,3.30708700
7.13874266,-4.72440900,3.30708700
7.20274265,-8.66141700,3.30708700
7.26674265,-1.57480300,3.22834600
7.33074265,-7.48031400,3.22834600
7.39474265,-3.93700800,3.22834600
7.45874265,-6.69291300,3.30708700
7.52274265,-0.39370070,3.30708700
7.58674264,-8.66141700,3.22834600
7.65074264,-1.96850400,3.22834600
7.71474264,-3.93700800,3.30708700
7.77874264,-3.54330700,3.30708700
7.84274264,-4.33070900,3.22834600
7.90674263,-2.36220500,3.30708700
7.97074263,-3.54330700,3.30708700
8.03474263,-3.54330700,3.30708700
8.09874263,-1.18110200,3.30708700
8.16274263,-3.93700800,3.22834600
8.22674263,-3.14960600,3.30708700
8.29074262,-4.72440900,3.30708700
8.35474262,0.00000000,3.30708700
8.41874262,-7.87401500,3.30708700
8.48274262,-3.54330700,3.30708700
8.54674262,-3.54330700,3.30708700
8.61074261,-2.36220500,3.30708700
8.67474261,-5.51181100,3.30708700
8.73874261,1.18110200,3.30708700
8.80274261,-4.33070900,3.30708700
8.86674261,-4.33070900,3.22834600
8.93074261,-3.14960600,3.30708700
8.99474260,-2.36220500,3.30708700
9.05874260,-7.87401500,3.30708700
9.12274260,0.00000000,3.30708700
9.18674260,-0.78740150,3.30708700
9.25074260,-5.51181100,3.30708700
9.31474259,0.00000000,3.30708700
9.37874259,-0.78740150,3.30708700
9.44274259,-2.75590500,3.30708700
9.50674259,-2.36220500,3.30708700
9.57074259,3.14960600,3.30708700
9.63474259,-5.90551100,3.30708700
9.69874258,0.78740150,3.30708700
9.76274258,-1.57480300,3.30708700
9.82674258,-2.75590500,3.30708700
9.89074258,-6.29921200,3.30708700
9.95474258,0.39370070,3.30708700
10.01874257,-4.33070900,3.30708700
10.08274257,-2.36220500,3.30708700
10.14674257,-1.18110200,3.30708700
10.21074257,-1.57480300,3.22834600
10.27474257,-5.11811000,3.30708700
10.33874257,-1.18110200,3.30708700
10.40274256,-2.36220500,3.22834600
10.46674256,-5.51181100,3.30708700
10.53074256,-0.78740150,3.30708700
10.59474256,-1.18110200,3.30708700
10.65874256,-1.57480300,3.30708700
10.72274255,-4.33070900,3.30708700
10.78674255,2.36220500,3.30708700
10.85074255,-5.90551100,3.30708700
10.91474255,-2.36220500,3.22834600
10.97874255,-2.75590500,3.30708700
11.04274255,0.00000000,3.30708700
11.10674254,-5.90551100,3.30708700
11.17074254,1.96850400,3.30708700
11.23474254,-3.54330700,3.22834600
11.29874254,-4.33070900,3.30708700
11.36274254,-1.57480300,3.30708700
11.42674253,-1.18110200,3.30708700
11.49074253,-3.54330700,3.30708700
11.55474253,-2.36220500,3.30708700
11.61874253,0.78740150,3.30708700
11.68274253,-4.72440900,3.30708700
11.74674253,-0.39370070,3.30708700
11.81074252,-3.14960600,3.30708700
11.87474252,-1.96850400,3.30708700
11.93874252,-5.11811000,3.30708700
12.00274252,0.39370070,3.30708700
12.06674252,-3.14960600,3.30708700
12.13074251,-1.57480300,3.30708700
12.19474251,-3.93700800,3.30708700
12.25874251,0.00000000,3.30708700
12.32274251,-6.69291300,3.30708700
12.38674251,-3.93700800,3.30708700
12.45074251,-5.11811000,3.30708700
12.51474250,-4.72440900,3.30708700
12.57874250,-5.90551100,3.30708700
12.64274250,-3.14960600,3.30708700
12.70674250,-4.33070900,3.30708700
12.77074250,-7.87401500,3.30708700
12.83474249,-1.96850400,3.30708700
12.89874249,-7.48031400,3.30708700
12.96274249,-7.87401500,3.30708700
13.02674249,-6.29921200,3.30708700
13.09074249,-2.36220500,3.30708700
13.15474249,-12.59842000,3.22834600
13.21874248,-1.18110200,3.30708700
13.28274248,-5.90551100,3.30708700
13.34674248,-7.08661400,3.30708700
13.41074248,-5.90551100,3.30708700
13.47474248,-3.54330700,3.30708700
13.53874248,-11.02362000,3.30708700
13.60274247,-6.29921200,3.30708700
13.66674247,-3.93700800,3.30708700
13.73074247,-8.26771600,3.30708700
13.79474247,-7.87401500,3.30708700
13.85874247,-6.69291300,3.30708700
13.92274246,-8.26771600,3.30708700
13.98674246,-11.41732000,3.30708700
14.05074246,-3.93700800,3.30708700
14.11474246,-9.05511800,3.30708700
14.17874246,-5.11811000,3.30708700
14.24274246,-5.51181100,3.30708700
14.30674245,-2.36220500,3.30708700
14.37074245,-9.84251900,3.30708700
14.43474245,-3.54330700,3.30708700
14.49874245,-7.48031400,3.30708700
14.56274245,-5.51181100,3.30708700
14.62674244,-6.69291300,3.30708700
14.69074244,-3.14960600,3.30708700
14.75474244,-5.51181100,3.30708700
14.81874244,-5.90551100,3.30708700
14.88274244,-4.33070900,3.30708700
14.94674244,-7.87401500,3.30708700
15.01074243,-6.69291300,3.30708700
15.07474243,-6.69291300,3.30708700
15.13874243,-4.72440900,3.30708700
15.20274243,-9.05511800,3.22834600
15.26674243,-4.33070900,3.22834600
15.33074242,-11.02362000,3.30708700
15.39474242,-7.48031400,3.30708700
15.45874242,-9.84251900,3.22834600
15.52274242,-6.29921200,3.30708700
15.58674242,-11.02362000,3.22834600
15.65074242,-5.90551100,3.22834600
15.71474241,-7.48031400,3.30708700
15.77874241,-6.69291300,3.30708700
15.84274241,-12.20472000,3.30708700
15.90674241,-4.33070900,3.22834600
15.97074241,-9.84251900,3.30708700
16.03474240,-8.26771600,3.30708700
16.09874240,-5.90551100,3.30708700
16.16274240,-11.41732000,3.30708700
16.22674240,-5.51181100,3.30708700
16.29074240,-7.48031400,3.30708700
16.35474240,-5.11811000,3.30708700
16.41874239,-10.62992000,3.30708700
16.48274239,-5.90551100,3.30708700
16.54674239,-8.66141700,3.30708700
16.61074239,-5.51181100,3.30708700
16.67474239,-10.62992000,3.30708700
16.73874238,0.00000000,3.30708700
16.80274238,-6.29921200,3.30708700
16.86674238,-4.33070900,3.30708700
16.93074238,-4.33070900,3.30708700
16.99474238,-5.11811000,3.30708700
17.05874238,-9.05511800,3.30708700
17.12274237,-3.54330700,3.30708700
17.18674237,-5.11811000,3.30708700
17.25074237,-7.48031400,3.30708700
17.31474237,-0.39370070,3.30708700
17.37874237,-3.54330700,3.30708700
17.44274236,-6.29921200,3.30708700
17.50674236,-7.48031400,3.30708700
17.57074236,-2.36220500,3.30708700
17.63474236,-11.41732000,3.30708700
17.69874236,-2.36220500,3.30708700
17.76274236,-6.29921200,3.30708700
17.82674235,-7.08661400,3.30708700
17.89074235,-9.05511800,3.30708700
17.95474235,-3.93700800,3.30708700
18.01874235,-15.35433000,3.30708700
18.08274235,-7.87401500,3.30708700
18.14674234,-6.69291300,3.22834600
18.21074234,-10.23622000,3.22834600
18.27474234,-7.87401500,3.30708700
18.33874234,-3.93700800,3.22834600
18.40274234,-7.08661400,3.30708700
18.46674234,-11.02362000,3.30708700
18.53074233,-7.48031400,3.22834600
18.59474233,-9.05511800,3.30708700
18.65874233,-7.87401500,3.22834600
18.72274233,-8.26771600,3.30708700
18.78674233,-3.14960600,3.30708700
18.85074232,-8.66141700,3.30708700
18.91474232,-4.72440900,3.30708700
18.97874232,-7.48031400,3.30708700
19.04274232,-4.72440900,3.30708700
19.10674232,-9.44881800,3.30708700
19.17074232,-2.36220500,3.30708700
19.23474231,-6.69291300,3.30708700
19.29874231,-5.11811000,3.30708700
19.36274231,-2.75590500,3.30708700
19.42674231,-3.93700800,3.30708700
19.49074231,-7.48031400,3.30708700
19.55474230,-7.08661400,3.30708700
19.61874230,-3.14960600,3.30708700
19.68274230,-9.44881800,3.30708700
19.74674230,-3.54330700,3.30708700
19.81074230,-5.11811000,3.30708700
19.87474230,-3.14960600,3.30708700
19.93874229,-7.08661400,3.30708700
20.00274229,0.00000000,3.30708700
20.06674229,-8.66141700,3.30708700
20.13074229,-4.72440900,3.30708700
20.19474229,-2.75590500,3.30708700
20.25874229,-3.93700800,3.30708700
20.32274228,-9.84251900,3.30708700
20.38674228,-4.72440900,3.30708700
20.45074228,-7.48031400,3.30708700
20.51474228,-11.41732000,3.30708700
20.57874228,-9.05511800,3.30708700
20.64274227,-8.66141700,3.30708700
20.70674227,-11.41732000,3.30708700
20.77074227,-8.66141700,3.30708700
20.83474227,-3.54330700,3.22834600
20.89874227,-12.59842000,3.30708700
20.96274227,-6.69291300,3.30708700
21.02674226,-10.62992000,3.30708700
21.09074226,-7.08661400,3.30708700
21.15474226,-13.77953000,3.30708700
21.21874226,-3.14960600,3.30708700
21.28274226,-7.08661400,3.30708700
21.34674225,-6.29921200,3.30708700
21.41074225,-3.54330700,3.30708700
21.47474225,-2.36220500,3.30708700
21.53874225,-7.87401500,3.30708700
21.60274225,-4.33070900,3.30708700
21.66674225,-2.75590500,3.22834600
