Time,Channel A,Channel B
(us),(mV),(V)

-0.03108571,-4.72440900,0.00000000
0.03291429,9.05511800,2.75590500
0.09691428,-7.48031400,3.22834600
0.16091428,-7.08661400,3.22834600
0.22491428,-2.36220500,3.30708700
0.28891428,-10.62992000,3.30708700
0.35291428,-4.72440900,3.22834600
0.41691427,-7.08661400,3.22834600
0.48091427,-7.48031400,3.22834600
0.54491427,-11.02362000,3.22834600
0.60891427,-1.96850400,3.22834600
0.67291427,-7.08661400,3.22834600
0.73691427,-4.72440900,3.22834600
0.80091426,-1.18110200,3.22834600
0.86491426,-2.75590500,3.22834600
0.92891426,-7.08661400,3.22834600
0.99291426,-2.75590500,3.30708700
1.05691426,-5.90551100,3.30708700
1.12091425,-7.48031400,3.22834600
1.18491425,-1.18110200,3.22834600
1.24891425,-1.18110200,3.22834600
1.31291425,-3.93700800,3.22834600
1.37691425,-2.75590500,3.30708700
1.44091425,-0.39370070,3.30708700
1.50491424,-8.66141700,3.30708700
1.56891424,-3.93700800,3.30708700
1.63291424,-8.26771600,3.30708700
1.69691424,-4.33070900,3.30708700
1.76091424,-7.08661400,3.22834600
1.82491423,0.78740150,3.30708700
1.88891423,-6.29921200,3.22834600
1.95291423,-3.54330700,3.22834600
2.01691423,-3.93700800,3.22834600
2.08091423,-0.78740150,3.22834600
2.14491423,-4.72440900,3.22834600
2.20891422,-3.93700800,3.22834600
2.27291422,0.78740150,3.22834600
2.33691422,-5.11811000,3.22834600
2.40091422,-3.93700800,3.22834600
2.46491422,-2.75590500,3.22834600
2.52891421,-1.96850400,3.22834600
2.59291421,-5.90551100,3.22834600
2.65691421,3.54330700,3.22834600
2.72091421,-2.75590500,3.22834600
2.78491421,-1.57480300,3.30708700
2.84891421,-1.18110200,3.22834600
2.91291420,1.18110200,3.30708700
2.97691420,-7.08661400,3.22834600
3.04091420,-1.18110200,3.30708700
3.10491420,-3.14960600,3.22834600
3.16891420,-5.51181100,3.22834600
3.23291419,-2.75590500,3.30708700
3.29691419,0.39370070,3.30708700
3.36091419,-3.54330700,3.22834600
3.42491419,-2.36220500,3.22834600
3.48891419,1.96850400,3.30708700
3.55291419,-3.93700800,3.30708700
3.61691418,-3.93700800,3.30708700
3.68091418,-3.54330700,3.22834600
3.74491418,0.39370070,3.30708700
3.80891418,-8.66141700,3.30708700
3.87291418,2.36220500,3.30708700
3.93691417,-1.96850400,3.22834600
4.00091417,-0.78740150,3.30708700
4.06491417,-4.72440900,3.30708700
4.12891417,0.00000000,3.30708700
4.19291417,-8.26771600,3.30708700
4.25691417,-4.33070900,3.30708700
4.32091416,0.00000000,3.30708700
4.38491416,-5.11811000,3.30708700
4.44891416,-7.48031400,3.30708700
4.51291416,-2.75590500,3.22834600
4.57691416,-5.51181100,3.22834600
4.64091415,-8.66141700,3.22834600
4.70491415,-2.36220500,3.30708700
4.76891415,-4.33070900,3.30708700
4.83291415,-5.90551100,3.22834600
4.89691415,-3.93700800,3.30708700
4.96091415,-3.54330700,3.22834600
5.02491414,-11.41732000,3.30708700
5.08891414,-2.36220500,3.30708700
5.15291414,-5.11811000,3.22834600
5.21691414,-1.96850400,3.30708700
5.28091414,-5.90551100,3.22834600
5.34491413,1.18110200,3.30708700
5.40891413,-2.36220500,3.30708700
5.47291413,-2.36220500,3.30708700
5.53691413,-2.36220500,3.30708700
5.60091413,-3.93700800,3.30708700
5.66491413,-4.33070900,3.30708700
5.72891412,-5.11811000,3.30708700
5.79291412,-1.96850400,3.30708700
5.85691412,-6.29921200,3.30708700
5.92091412,-2.75590500,3.30708700
5.98491412,-3.93700800,3.30708700
6.04891411,-1.18110200,3.30708700
6.11291411,-7.08661400,3.30708700
6.17691411,0.39370070,3.30708700
6.24091411,-3.54330700,3.30708700
6.30491411,-2.75590500,3.30708700
6.36891411,-3.54330700,3.30708700
6.43291410,-0.39370070,3.30708700
6.49691410,-5.90551100,3.30708700
6.56091410,-0.39370070,3.30708700
6.62491410,-0.78740150,3.30708700
6.68891410,-5.90551100,3.30708700
6.75291409,-2.75590500,3.30708700
6.81691409,-0.78740150,3.30708700
6.88091409,-2.75590500,3.30708700
6.94491409,-5.90551100,3.30708700
7.00891409,0.78740150,3.30708700
7.07291409,-7.87401500,3.30708700
7.13691408,-5.11811000,3.22834600
7.20091408,-7.08661400,3.30708700
7.26491408,-2.36220500,3.22834600
7.32891408,-8.66141700,3.30708700
7.39291408,0.00000000,3.30708700
7.45691408,-4.33070900,3.30708700
7.52091407,-4.72440900,3.30708700
7.58491407,-5.51181100,3.22834600
7.64891407,-2.75590500,3.30708700
7.71291407,-5.51181100,3.22834600
7.77691407,-5.51181100,3.30708700
7.84091406,0.39370070,3.30708700
7.90491406,-3.54330700,3.30708700
7.96891406,-1.96850400,3.30708700
8.03291406,-1.57480300,3.30708700
8.09691406,-1.18110200,3.30708700
8.16091406,-6.69291300,3.30708700
8.22491405,0.39370070,3.30708700
8.28891405,-3.93700800,3.30708700
8.35291405,-2.36220500,3.30708700
8.41691405,-5.11811000,3.30708700
8.48091405,1.18110200,3.30708700
8.54491404,-7.48031400,3.30708700
8.60891404,-2.75590500,3.30708700
8.67291404,-3.93700800,3.30708700
8.73691404,-3.14960600,3.30708700
8.80091404,-2.36220500,3.30708700
8.86491404,-1.18110200,3.30708700
8.92891403,-1.18110200,3.30708700
8.99291403,-4.72440900,3.30708700
9.05691403,-0.39370070,3.30708700
9.12091403,-4.72440900,3.30708700
9.18491403,-1.57480300,3.30708700
9.24891402,-4.72440900,3.30708700
9.31291402,2.75590500,3.30708700
9.37691402,-2.36220500,3.30708700
9.44091402,1.18110200,3.30708700
9.50491402,0.39370070,3.30708700
9.56891402,1.18110200,3.30708700
9.63291401,-4.72440900,3.30708700
9.69691401,1.18110200,3.30708700
9.76091401,-3.54330700,3.30708700
9.82491401,-3.93700800,3.30708700
9.88891401,-1.18110200,3.30708700
9.95291400,0.39370070,3.30708700
10.01691400,-4.33070900,3.30708700
10.08091400,-1.18110200,3.22834600
10.14491400,0.39370070,3.30708700
10.20891400,-6.69291300,3.30708700
10.27291400,-1.18110200,3.30708700
10.33691399,-1.96850400,3.30708700
10.40091399,-2.75590500,3.30708700
10.46491399,-4.33070900,3.30708700
10.52891399,4.33070900,3.30708700
10.59291399,-5.90551100,3.30708700
10.65691398,-1.57480300,3.30708700
10.72091398,-1.18110200,3.30708700
10.78491398,-0.39370070,3.30708700
10.84891398,-3.93700800,3.30708700
10.91291398,1.18110200,3.30708700
10.97691398,-0.39370070,3.30708700
11.04091397,-3.14960600,3.30708700
11.10491397,0.00000000,3.30708700
11.16891397,-1.96850400,3.30708700
11.23291397,-3.93700800,3.30708700
11.29691397,-4.33070900,3.30708700
11.36091396,0.78740150,3.30708700
11.42491396,-3.14960600,3.30708700
11.48891396,-0.39370070,3.30708700
11.55291396,-0.39370070,3.30708700
11.61691396,1.18110200,3.30708700
11.68091396,-5.51181100,3.30708700
11.74491395,0.39370070,3.30708700
11.80891395,-3.93700800,3.30708700
11.87291395,-1.57480300,3.30708700
11.93691395,-1.96850400,3.30708700
12.00091395,1.96850400,3.30708700
12.06491394,-3.54330700,3.30708700
12.12891394,-1.18110200,3.30708700
12.19291394,0.78740150,3.30708700
12.25691394,-5.11811000,3.30708700
12.32091394,-3.93700800,3.30708700
12.38491394,-3.93700800,3.30708700
12.44891393,-2.36220500,3.30708700
12.51291393,-6.69291300,3.30708700
12.57691393,-0.39370070,3.30708700
12.64091393,-6.69291300,3.30708700
12.70491393,-4.33070900,3.30708700
12.76891392,-6.29921200,3.30708700
12.83291392,-2.75590500,3.30708700
12.89691392,-8.66141700,3.30708700
12.96091392,-5.11811000,3.30708700
13.02491392,-3.54330700,3.30708700
13.08891392,-5.51181100,3.22834600
13.15291391,-9.44881800,3.30708700
13.21691391,-2.36220500,3.30708700
13.28091391,-6.29921200,3.30708700
13.34491391,-8.26771600,3.30708700
13.40891391,-2.36220500,3.30708700
13.47291390,-4.72440900,3.30708700
13.53691390,-6.69291300,3.30708700
13.60091390,-4.72440900,3.30708700
13.66491390,-1.57480300,3.30708700
13.72891390,-12.59842000,3.30708700
13.79291390,-5.11811000,3.30708700
13.85691389,-7.87401500,3.30708700
13.92091389,-7.48031400,3.30708700
13.98491389,-11.02362000,3.30708700
14.04891389,-2.36220500,3.30708700
14.11291389,-9.44881800,3.30708700
14.17691388,-6.69291300,3.30708700
14.24091388,-3.54330700,3.30708700
14.30491388,-7.08661400,3.30708700
14.36891388,-7.87401500,3.30708700
14.43291388,-4.33070900,3.30708700
14.49691388,-3.54330700,3.30708700
14.56091387,-8.66141700,3.30708700
14.62491387,-2.36220500,3.30708700
14.68891387,-5.11811000,3.30708700
14.75291387,-5.11811000,3.30708700
14.81691387,-7.87401500,3.30708700
14.88091387,-3.93700800,3.30708700
14.94491386,-8.66141700,3.30708700
15.00891386,-4.33070900,3.30708700
15.07291386,-6.69291300,3.30708700
15.13691386,-4.33070900,3.30708700
15.20091386,-10.23622000,3.30708700
15.26491385,-5.90551100,3.30708700
15.32891385,-9.44881800,3.30708700
15.39291385,-9.05511800,3.30708700
15.45691385,-9.44881800,3.30708700
15.52091385,-6.29921200,3.30708700
15.58491385,-7.48031400,3.30708700
15.64891384,-11.02362000,3.22834600
15.71291384,-3.93700800,3.30708700
15.77691384,-11.41732000,3.30708700
15.84091384,-9.84251900,3.30708700
15.90491384,-7.48031400,3.30708700
15.96891383,-6.69291300,3.30708700
16.03291383,-11.81102000,3.30708700
16.09691383,-1.57480300,3.22834600
16.16091383,-8.26771600,3.30708700
16.22491383,-8.26771600,3.30708700
16.28891383,-7.48031400,3.30708700
16.35291382,-6.69291300,3.30708700
16.41691382,-12.59842000,3.30708700
16.48091382,-7.08661400,3.30708700
16.54491382,-6.29921200,3.30708700
16.60891382,-8.66141700,3.30708700
16.67291381,-6.29921200,3.30708700
16.73691381,-3.54330700,3.30708700
16.80091381,-6.69291300,3.30708700
16.86491381,-8.66141700,3.30708700
16.92891381,-2.75590500,3.30708700
16.99291381,-7.87401500,3.30708700
17.05691380,-5.11811000,3.30708700
17.12091380,-7.48031400,3.30708700
17.18491380,-3.14960600,3.30708700
17.24891380,-10.23622000,3.30708700
17.31291380,-2.75590500,3.30708700
17.37691379,-6.69291300,3.30708700
17.44091379,-6.29921200,3.30708700
17.50491379,-5.90551100,3.30708700
17.56891379,-2.75590500,3.30708700
17.63291379,-7.08661400,3.30708700
17.69691379,-8.26771600,3.30708700
17.76091378,-5.11811000,3.30708700
17.82491378,-11.41732000,3.30708700
17.88891378,-9.05511800,3.30708700
17.95291378,-9.84251900,3.30708700
18.01691378,-10.23622000,3.30708700
18.08091377,-12.59842000,3.30708700
18.14491377,-4.72440900,3.30708700
18.20891377,-10.62992000,3.30708700
18.27291377,-8.66141700,3.30708700
18.33691377,-11.02362000,3.30708700
18.40091377,-7.08661400,3.30708700
18.46491376,-13.38583000,3.30708700
18.52891376,-8.66141700,3.30708700
18.59291376,-8.66141700,3.30708700
18.65691376,-7.87401500,3.22834600
18.72091376,-7.87401500,3.30708700
18.78491375,-5.90551100,3.30708700
18.84891375,-7.87401500,3.30708700
18.91291375,-9.05511800,3.30708700
18.97691375,-4.33070900,3.30708700
19.04091375,-7.87401500,3.30708700
19.10491375,-5.90551100,3.30708700
19.16891374,-8.66141700,3.30708700
19.23291374,-2.36220500,3.30708700
19.29691374,-10.62992000,3.30708700
19.36091374,-5.11811000,3.30708700
19.42491374,-7.87401500,3.30708700
19.48891373,-6.29921200,3.30708700
19.55291373,-9.44881800,3.30708700
19.61691373,-2.36220500,3.30708700
19.68091373,-7.08661400,3.30708700
19.74491373,-6.69291300,3.30708700
19.80891373,-3.54330700,3.30708700
19.87291372,-5.90551100,3.30708700
19.93691372,-8.66141700,3.30708700
20.00091372,-4.33070900,3.30708700
20.06491372,-4.72440900,3.30708700
20.12891372,-8.66141700,3.30708700
20.19291371,-1.57480300,3.30708700
20.25691371,-6.29921200,3.30708700
20.32091371,-8.66141700,3.30708700
20.38491371,-9.44881800,3.30708700
20.44891371,-4.72440900,3.30708700
20.51291371,-16.14173000,3.30708700
20.57691370,-7.48031400,3.30708700
20.64091370,-9.84251900,3.30708700
20.70491370,-10.23622000,3.30708700
20.76891370,-10.23622000,3.30708700
20.83291370,-5.90551100,3.30708700
20.89691369,-12.59842000,3.30708700
20.96091369,-10.62992000,3.30708700
21.02491369,-9.05511800,3.22834600
21.08891369,-11.41732000,3.30708700
21.15291369,-10.23622000,3.30708700
21.21691369,-7.48031400,3.30708700
21.28091368,-4.33070900,3.30708700
21.34491368,-9.84251900,3.30708700
21.40891368,-3.14960600,3.30708700
21.47291368,-5.90551100,3.30708700
21.53691368,-6.29921200,3.30708700
21.60091368,-7.48031400,3.30708700
21.66491367,-1.18110200,3.30708700
