Time,Channel A,Channel B
(us),(mV),(V)

-0.02694737,-4.72440900,0.07874016
0.03705263,-0.78740150,3.07086600
0.10105263,-8.66141700,3.22834600
0.16505263,-7.48031400,3.22834600
0.22905263,-3.54330700,3.22834600
0.29305262,-6.69291300,3.22834600
0.35705262,-7.48031400,3.22834600
0.42105262,-3.93700800,3.22834600
0.48505262,-6.69291300,3.22834600
0.54905262,-4.33070900,3.22834600
0.61305261,-3.14960600,3.22834600
0.67705261,0.00000000,3.22834600
0.74105261,-5.51181100,3.22834600
0.80505261,-1.18110200,3.22834600
0.86905261,-4.33070900,3.22834600
0.93305261,-5.90551100,3.22834600
0.99705260,-8.66141700,3.22834600
1.06105260,-1.57480300,3.22834600
1.12505260,-7.87401500,3.22834600
1.18905260,-4.72440900,3.22834600
1.25305260,-4.72440900,3.22834600
1.31705259,-6.29921200,3.22834600
1.38105259,-10.23622000,3.22834600
1.44505259,-4.72440900,3.22834600
1.50905259,-6.29921200,3.22834600
1.57305259,-10.23622000,3.22834600
1.63705259,-0.78740150,3.22834600
1.70105258,-3.93700800,3.22834600
1.76505258,-5.90551100,3.22834600
1.82905258,-3.93700800,3.22834600
1.89305258,1.57480300,3.22834600
1.95705258,-5.90551100,3.22834600
2.02105257,0.78740150,3.22834600
2.08505257,-1.57480300,3.22834600
2.14905257,-0.78740150,3.22834600
2.21305257,-1.57480300,3.22834600
2.27705257,2.36220500,3.22834600
2.34105257,-5.90551100,3.22834600
2.40505256,-3.14960600,3.22834600
2.46905256,-3.14960600,3.22834600
2.53305256,-4.33070900,3.22834600
2.59705256,-5.11811000,3.22834600
2.66105256,-1.18110200,3.30708700
2.72505255,-3.93700800,3.22834600
2.78905255,-3.14960600,3.22834600
2.85305255,-1.18110200,3.22834600
2.91705255,-4.72440900,3.22834600
2.98105255,-1.18110200,3.30708700
3.04505255,-3.14960600,3.22834600
3.10905254,1.57480300,3.30708700
3.17305254,-4.72440900,3.22834600
3.23705254,1.57480300,3.22834600
3.30105254,-2.36220500,3.30708700
3.36505254,0.39370070,3.22834600
3.42905254,-4.33070900,3.22834600
3.49305253,0.00000000,3.30708700
3.55705253,-3.54330700,3.30708700
3.62105253,-3.14960600,3.22834600
3.68505253,-3.14960600,3.22834600
3.74905253,-3.54330700,3.22834600
3.81305252,-5.90551100,3.30708700
3.87705252,-4.72440900,3.30708700
3.94105252,-3.54330700,3.22834600
4.00505252,-9.44881800,3.22834600
4.06905252,-7.87401500,3.22834600
4.13305252,-5.90551100,3.22834600
4.19705251,-3.54330700,3.22834600
4.26105251,-7.08661400,3.22834600
4.32505251,0.00000000,3.22834600
4.38905251,-9.05511800,3.22834600
4.45305251,-3.54330700,3.22834600
4.51705250,-6.29921200,3.22834600
4.58105250,-2.36220500,3.22834600
4.64505250,-7.08661400,3.30708700
4.70905250,0.78740150,3.22834600
4.77305250,-2.75590500,3.22834600
4.83705250,-4.33070900,3.30708700
4.90105249,-2.36220500,3.22834600
4.96505249,-3.54330700,3.22834600
5.02905249,-6.29921200,3.22834600
5.09305249,-6.29921200,3.30708700
5.15705249,-1.96850400,3.22834600
5.22105248,-7.87401500,3.22834600
5.28505248,-1.96850400,3.22834600
5.34905248,-4.33070900,3.30708700
5.41305248,-4.33070900,3.22834600
5.47705248,-8.66141700,3.22834600
5.54105248,-1.18110200,3.22834600
5.60505247,-5.51181100,3.30708700
5.66905247,-3.14960600,3.30708700
5.73305247,-2.36220500,3.30708700
5.79705247,-0.78740150,3.30708700
5.86105247,-5.51181100,3.30708700
5.92505246,0.39370070,3.30708700
5.98905246,-2.75590500,3.30708700
6.05305246,-3.93700800,3.30708700
6.11705246,-1.96850400,3.30708700
6.18105246,0.00000000,3.30708700
6.24505246,-4.33070900,3.30708700
6.30905245,-4.33070900,3.30708700
6.37305245,0.00000000,3.30708700
6.43705245,-8.26771600,3.30708700
6.50105245,-3.93700800,3.30708700
6.56505245,-6.29921200,3.30708700
6.62905244,-5.90551100,3.30708700
6.69305244,-11.41732000,3.22834600
6.75705244,-2.75590500,3.22834600
6.82105244,-5.51181100,3.30708700
6.88505244,-5.90551100,3.22834600
6.94905244,-5.11811000,3.22834600
7.01305243,-5.11811000,3.22834600
7.07705243,-7.87401500,3.22834600
7.14105243,-6.29921200,3.22834600
7.20505243,-4.72440900,3.22834600
7.26905243,-2.36220500,3.22834600
7.33305242,-2.75590500,3.30708700
7.39705242,-0.78740150,3.30708700
7.46105242,-3.54330700,3.22834600
7.52505242,-4.72440900,3.30708700
7.58905242,-2.75590500,3.30708700
7.65305242,-4.33070900,3.30708700
7.71705241,-5.11811000,3.30708700
7.78105241,-5.11811000,3.30708700
7.84505241,0.39370070,3.30708700
7.90905241,-7.48031400,3.30708700
7.97305241,-3.54330700,3.30708700
8.03705240,-5.51181100,3.30708700
8.10105240,-6.29921200,3.30708700
8.16505240,-8.26771600,3.22834600
8.22905240,0.78740150,3.30708700
8.29305240,-4.72440900,3.30708700
8.35705240,-2.36220500,3.30708700
8.42105239,0.00000000,3.30708700
8.48505239,-3.14960600,3.30708700
8.54905239,-6.29921200,3.30708700
8.61305239,-0.78740150,3.30708700
8.67705239,-1.18110200,3.30708700
8.74105238,-5.51181100,3.30708700
8.80505238,1.57480300,3.30708700
8.86905238,-2.36220500,3.30708700
8.93305238,-5.11811000,3.30708700
8.99705238,-4.72440900,3.30708700
9.06105238,-1.57480300,3.30708700
9.12505237,-10.62992000,3.30708700
9.18905237,-2.36220500,3.30708700
9.25305237,-3.93700800,3.30708700
9.31705237,-3.93700800,3.30708700
9.38105237,-7.08661400,3.30708700
9.44505236,0.78740150,3.22834600
9.50905236,-5.90551100,3.22834600
9.57305236,-4.33070900,3.22834600
9.63705236,-1.57480300,3.30708700
9.70105236,-3.93700800,3.30708700
9.76505236,-3.14960600,3.30708700
9.82905235,0.00000000,3.30708700
9.89305235,1.18110200,3.30708700
9.95705235,-3.93700800,3.22834600
10.02105235,0.78740150,3.30708700
10.08505235,-1.18110200,3.30708700
10.14905235,-1.18110200,3.30708700
10.21305234,-2.75590500,3.30708700
10.27705234,2.36220500,3.30708700
10.34105234,-3.54330700,3.30708700
10.40505234,0.00000000,3.30708700
10.46905234,-2.75590500,3.30708700
10.53305233,-2.36220500,3.30708700
10.59705233,-7.48031400,3.30708700
10.66105233,-1.57480300,3.30708700
10.72505233,-5.11811000,3.30708700
10.78905233,-3.93700800,3.30708700
10.85305233,-2.36220500,3.30708700
10.91705232,-0.78740150,3.30708700
10.98105232,-2.36220500,3.30708700
11.04505232,-1.57480300,3.30708700
11.10905232,0.00000000,3.30708700
11.17305232,-3.93700800,3.30708700
11.23705231,0.78740150,3.30708700
11.30105231,-1.57480300,3.30708700
11.36505231,0.78740150,3.30708700
11.42905231,-3.14960600,3.30708700
11.49305231,2.36220500,3.30708700
11.55705231,-3.93700800,3.30708700
11.62105230,-2.36220500,3.30708700
11.68505230,-4.33070900,3.22834600
11.74905230,-1.57480300,3.30708700
11.81305230,-5.90551100,3.30708700
11.87705230,-2.36220500,3.22834600
11.94105229,-4.33070900,3.30708700
12.00505229,-5.90551100,3.30708700
12.06905229,-6.69291300,3.30708700
12.13305229,-5.11811000,3.30708700
12.19705229,-7.08661400,3.22834600
12.26105229,-7.08661400,3.30708700
12.32505228,-2.36220500,3.30708700
12.38905228,-5.51181100,3.22834600
12.45305228,-3.93700800,3.30708700
12.51705228,-2.75590500,3.30708700
12.58105228,-1.96850400,3.30708700
12.64505227,-9.44881800,3.30708700
12.70905227,1.18110200,3.22834600
12.77305227,-5.51181100,3.22834600
12.83705227,-4.72440900,3.30708700
12.90105227,-2.75590500,3.30708700
12.96505227,-1.18110200,3.30708700
13.02905226,-8.66141700,3.30708700
13.09305226,-3.93700800,3.22834600
13.15705226,-5.90551100,3.22834600
13.22105226,-9.84251900,3.30708700
13.28505226,-6.29921200,3.30708700
13.34905225,-6.69291300,3.30708700
13.41305225,-9.05511800,3.22834600
13.47705225,-6.69291300,3.30708700
13.54105225,-4.33070900,3.22834600
13.60505225,-9.84251900,3.30708700
13.66905225,-6.69291300,3.30708700
13.73305224,-4.33070900,3.30708700
13.79705224,-3.93700800,3.30708700
13.86105224,-8.26771600,3.30708700
13.92505224,-0.78740150,3.30708700
13.98905224,-8.66141700,3.30708700
14.05305223,-5.11811000,3.30708700
14.11705223,-6.69291300,3.30708700
14.18105223,-4.33070900,3.30708700
14.24505223,-8.66141700,3.30708700
14.30905223,-2.75590500,3.30708700
14.37305223,-4.33070900,3.30708700
14.43705222,-6.69291300,3.30708700
14.50105222,-7.08661400,3.30708700
14.56505222,-6.29921200,3.30708700
14.62905222,-8.26771600,3.30708700
14.69305222,-12.59842000,3.30708700
14.75705221,-7.87401500,3.30708700
14.82105221,-11.02362000,3.22834600
14.88505221,-7.48031400,3.22834600
14.94905221,-7.48031400,3.30708700
15.01305221,-5.11811000,3.22834600
15.07705221,-10.62992000,3.30708700
15.14105220,-4.72440900,3.30708700
15.20505220,-8.66141700,3.30708700
15.26905220,-6.69291300,3.22834600
15.33305220,-9.44881800,3.30708700
15.39705220,-1.57480300,3.30708700
15.46105219,-7.87401500,3.30708700
15.52505219,-5.90551100,3.30708700
15.58905219,-5.11811000,3.30708700
15.65305219,-7.87401500,3.30708700
15.71705219,-9.05511800,3.30708700
15.78105219,-5.51181100,3.30708700
15.84505218,-7.48031400,3.22834600
15.90905218,-11.41732000,3.30708700
15.97305218,-5.11811000,3.30708700
16.03705218,-9.84251900,3.30708700
16.10105218,-9.05511800,3.30708700
16.16505217,-10.23622000,3.30708700
16.22905217,-5.90551100,3.30708700
16.29305217,-11.81102000,3.30708700
16.35705217,-5.51181100,3.30708700
16.42105217,-5.90551100,3.22834600
16.48505217,-5.51181100,3.30708700
16.54905216,-7.87401500,3.30708700
16.61305216,-0.39370070,3.30708700
16.67705216,-6.69291300,3.30708700
16.74105216,-6.29921200,3.30708700
16.80505216,-3.54330700,3.30708700
16.86905215,-2.75590500,3.30708700
16.93305215,-7.08661400,3.30708700
16.99705215,-3.14960600,3.30708700
17.06105215,-4.33070900,3.30708700
17.12505215,-11.02362000,3.30708700
17.18905215,-6.29921200,3.30708700
17.25305214,-8.26771600,3.30708700
17.31705214,-9.05511800,3.30708700
17.38105214,-10.62992000,3.30708700
17.44505214,-1.96850400,3.30708700
17.50905214,-13.38583000,3.30708700
17.57305214,-6.69291300,3.30708700
17.63705213,-7.48031400,3.22834600
17.70105213,-9.84251900,3.22834600
17.76505213,-10.62992000,3.30708700
17.82905213,-4.33070900,3.22834600
17.89305213,-11.41732000,3.22834600
17.95705212,-7.87401500,3.30708700
18.02105212,-4.72440900,3.22834600
18.08505212,-6.69291300,3.22834600
18.14905212,-8.26771600,3.30708700
18.21305212,-7.48031400,3.22834600
18.27705212,-6.29921200,3.30708700
18.34105211,-10.23622000,3.30708700
18.40505211,-4.72440900,3.30708700
18.46905211,-7.48031400,3.30708700
18.53305211,-6.69291300,3.22834600
18.59705211,-10.23622000,3.30708700
18.66105210,-6.29921200,3.30708700
18.72505210,-13.77953000,3.30708700
18.78905210,-7.87401500,3.30708700
18.85305210,-9.44881800,3.30708700
18.91705210,-5.11811000,3.22834600
18.98105210,-8.26771600,3.30708700
19.04505209,-3.54330700,3.30708700
19.10905209,-3.93700800,3.30708700
19.17305209,-5.51181100,3.30708700
19.23705209,-4.72440900,3.30708700
19.30105209,-4.33070900,3.30708700
19.36505208,-4.72440900,3.30708700
19.42905208,-6.69291300,3.30708700
19.49305208,-0.78740150,3.30708700
19.55705208,-7.08661400,3.30708700
19.62105208,-4.72440900,3.30708700
19.68505208,-4.33070900,3.30708700
19.74905207,-4.33070900,3.30708700
19.81305207,-10.23622000,3.30708700
19.87705207,-3.93700800,3.30708700
19.94105207,-7.87401500,3.30708700
20.00505207,-7.87401500,3.30708700
20.06905206,-8.66141700,3.30708700
20.13305206,-6.69291300,3.30708700
20.19705206,-14.56693000,3.30708700
20.26105206,-6.69291300,3.30708700
20.32505206,-8.26771600,3.22834600
20.38905206,-12.99213000,3.30708700
20.45305205,-7.48031400,3.30708700
20.51705205,-6.29921200,3.30708700
20.58105205,-9.44881800,3.30708700
20.64505205,-8.66141700,3.22834600
20.70905205,-4.72440900,3.30708700
20.77305204,-10.62992000,3.30708700
20.83705204,-5.51181100,3.30708700
20.90105204,-9.05511800,3.22834600
20.96505204,-5.11811000,3.22834600
21.02905204,-10.62992000,3.30708700
21.09305204,-3.54330700,3.30708700
21.15705203,-8.66141700,3.22834600
21.22105203,-8.66141700,3.30708700
21.28505203,-9.05511800,3.30708700
21.34905203,-6.69291300,3.30708700
21.41305203,-9.84251900,3.30708700
21.47705202,-5.11811000,3.30708700
21.54105202,-5.11811000,3.30708700
21.60505202,-7.08661400,3.30708700
21.66905202,-5.90551100,3.30708700
