Time,Channel A,Channel B
(us),(mV),(V)

-0.02863158,-4.33070900,0.00000000
0.03536842,-16.92913000,2.99212600
0.09936842,-6.29921200,3.22834600
0.16336842,-9.84251900,3.22834600
0.22736842,-7.48031400,3.30708700
0.29136841,-11.02362000,3.22834600
0.35536841,-3.14960600,3.30708700
0.41936841,-9.44881800,3.22834600
0.48336841,-5.11811000,3.22834600
0.54736841,-5.51181100,3.22834600
0.61136840,-4.33070900,3.22834600
0.67536840,-9.05511800,3.30708700
0.73936840,-3.54330700,3.30708700
0.80336840,-5.11811000,3.22834600
0.86736840,-7.87401500,3.30708700
0.93136840,-1.57480300,3.22834600
0.99536839,-4.33070900,3.22834600
1.05936839,-5.90551100,3.22834600
1.12336839,-4.33070900,3.30708700
1.18736839,-1.57480300,3.30708700
1.25136839,-10.62992000,3.22834600
1.31536838,-3.14960600,3.30708700
1.37936838,-4.33070900,3.22834600
1.44336838,-5.90551100,3.22834600
1.50736838,-7.87401500,3.22834600
1.57136838,-2.36220500,3.22834600
1.63536838,-10.23622000,3.22834600
1.69936837,-5.11811000,3.22834600
1.76336837,-5.11811000,3.30708700
1.82736837,-4.72440900,3.22834600
1.89136837,-6.29921200,3.22834600
1.95536837,1.57480300,3.22834600
2.01936836,-3.14960600,3.22834600
2.08336836,-4.72440900,3.22834600
2.14736836,0.00000000,3.22834600
2.21136836,-4.33070900,3.22834600
2.27536836,-2.36220500,3.30708700
2.33936836,-2.75590500,3.30708700
2.40336835,0.78740150,3.30708700
2.46736835,-5.90551100,3.30708700
2.53136835,1.57480300,3.22834600
2.59536835,-3.14960600,3.30708700
2.65936835,-1.57480300,3.22834600
2.72336834,-6.29921200,3.30708700
2.78736834,0.00000000,3.30708700
2.85136834,-5.90551100,3.30708700
2.91536834,-3.93700800,3.22834600
2.97936834,-1.96850400,3.30708700
3.04336834,-1.96850400,3.22834600
3.10736833,-3.93700800,3.22834600
3.17136833,-1.18110200,3.30708700
3.23536833,-1.96850400,3.30708700
3.29936833,-5.90551100,3.22834600
3.36336833,-1.96850400,3.30708700
3.42736833,-0.78740150,3.22834600
3.49136832,-3.14960600,3.22834600
3.55536832,-4.33070900,3.30708700
3.61936832,1.96850400,3.22834600
3.68336832,-7.08661400,3.22834600
3.74736832,-1.57480300,3.30708700
3.81136831,-3.14960600,3.30708700
3.87536831,-1.57480300,3.30708700
3.93936831,-7.08661400,3.30708700
4.00336831,0.39370070,3.30708700
4.06736831,-5.51181100,3.30708700
4.13136831,-6.29921200,3.30708700
4.19536830,-4.72440900,3.30708700
4.25936830,-4.33070900,3.30708700
4.32336830,-7.87401500,3.30708700
4.38736830,-6.69291300,3.22834600
4.45136830,-1.96850400,3.22834600
4.51536829,-7.48031400,3.22834600
4.57936829,-3.54330700,3.30708700
4.64336829,-2.75590500,3.22834600
4.70736829,-4.72440900,3.22834600
4.77136829,-8.66141700,3.22834600
4.83536829,-1.96850400,3.22834600
4.89936828,-5.51181100,3.22834600
4.96336828,-3.54330700,3.30708700
5.02736828,-3.54330700,3.22834600
5.09136828,0.00000000,3.22834600
5.15536828,-7.87401500,3.22834600
5.21936827,0.78740150,3.22834600
5.28336827,-3.54330700,3.30708700
5.34736827,-5.11811000,3.30708700
5.41136827,-3.93700800,3.30708700
5.47536827,-1.96850400,3.30708700
5.53936827,-6.69291300,3.30708700
5.60336826,-4.33070900,3.22834600
5.66736826,-0.78740150,3.22834600
5.73136826,-8.26771600,3.30708700
5.79536826,-3.54330700,3.30708700
5.85936826,-3.14960600,3.30708700
5.92336825,-2.75590500,3.22834600
5.98736825,-5.11811000,3.30708700
6.05136825,2.75590500,3.30708700
6.11536825,-6.29921200,3.30708700
6.17936825,-3.14960600,3.30708700
6.24336825,-2.75590500,3.30708700
6.30736824,-2.75590500,3.30708700
6.37136824,-6.69291300,3.30708700
6.43536824,0.78740150,3.30708700
6.49936824,-2.75590500,3.30708700
6.56336824,-3.54330700,3.30708700
6.62736823,-3.54330700,3.30708700
6.69136823,-3.93700800,3.30708700
6.75536823,-6.29921200,3.22834600
6.81936823,-5.90551100,3.22834600
6.88336823,-3.93700800,3.22834600
6.94736823,-7.48031400,3.30708700
7.01136822,-3.93700800,3.30708700
7.07536822,-5.51181100,3.30708700
7.13936822,-3.54330700,3.22834600
7.20336822,-8.66141700,3.30708700
7.26736822,-1.18110200,3.22834600
7.33136821,-7.48031400,3.30708700
7.39536821,-3.54330700,3.30708700
7.45936821,-7.08661400,3.22834600
7.52336821,-0.39370070,3.30708700
7.58736821,-5.90551100,3.30708700
7.65136821,-2.36220500,3.22834600
7.71536820,-1.96850400,3.30708700
7.77936820,-5.11811000,3.30708700
7.84336820,-3.14960600,3.30708700
7.90736820,0.00000000,3.30708700
7.97136820,-3.54330700,3.30708700
8.03536819,-6.29921200,3.30708700
8.09936819,0.00000000,3.30708700
8.16336819,-5.90551100,3.30708700
8.22736819,-4.72440900,3.30708700
8.29136819,-4.72440900,3.30708700
8.35536819,-2.36220500,3.30708700
8.41936818,-10.62992000,3.30708700
8.48336818,0.78740150,3.30708700
8.54736818,-3.93700800,3.30708700
8.61136818,-3.93700800,3.30708700
8.67536818,-4.33070900,3.30708700
8.73936817,0.39370070,3.30708700
8.80336817,-7.87401500,3.30708700
8.86736817,-5.51181100,3.30708700
8.93136817,-2.75590500,3.30708700
8.99536817,-5.90551100,3.30708700
9.05936817,-3.54330700,3.30708700
9.12336816,-2.36220500,3.30708700
9.18736816,-1.57480300,3.30708700
9.25136816,-7.87401500,3.30708700
9.31536816,0.00000000,3.30708700
9.37936816,-5.90551100,3.30708700
9.44336815,-4.33070900,3.30708700
9.50736815,-4.33070900,3.30708700
9.57136815,0.78740150,3.30708700
9.63536815,-6.69291300,3.30708700
9.69936815,-1.96850400,3.30708700
9.76336815,-3.54330700,3.30708700
9.82736814,-3.14960600,3.30708700
9.89136814,-4.72440900,3.30708700
9.95536814,0.00000000,3.30708700
10.01936814,-5.90551100,3.30708700
10.08336814,-2.36220500,3.22834600
10.14736814,0.39370070,3.30708700
10.21136813,-2.75590500,3.30708700
10.27536813,-3.54330700,3.22834600
10.33936813,-1.18110200,3.30708700
10.40336813,-1.18110200,3.30708700
10.46736813,-5.51181100,3.30708700
10.53136812,1.96850400,3.30708700
10.59536812,-4.33070900,3.30708700
10.65936812,-1.18110200,3.30708700
10.72336812,-3.93700800,3.30708700
10.78736812,0.00000000,3.22834600
10.85136812,-8.26771600,3.30708700
10.91536811,-2.75590500,3.30708700
10.97936811,-4.33070900,3.30708700
11.04336811,-3.54330700,3.30708700
11.10736811,-4.33070900,3.30708700
11.17136811,0.00000000,3.30708700
11.23536810,-1.57480300,3.30708700
11.29936810,-3.54330700,3.30708700
11.36336810,-1.57480300,3.30708700
11.42736810,-4.33070900,3.30708700
11.49136810,-4.33070900,3.30708700
11.55536810,-4.33070900,3.30708700
11.61936809,0.39370070,3.30708700
11.68336809,-5.51181100,3.30708700
11.74736809,-0.78740150,3.30708700
11.81136809,-2.75590500,3.30708700
11.87536809,-2.36220500,3.30708700
11.93936808,-8.26771600,3.30708700
12.00336808,0.00000000,3.30708700
12.06736808,-7.87401500,3.30708700
12.13136808,-4.33070900,3.30708700
12.19536808,-3.93700800,3.30708700
12.25936808,-5.11811000,3.30708700
12.32336807,-9.05511800,3.30708700
12.38736807,-3.54330700,3.30708700
12.45136807,-6.69291300,3.30708700
12.51536807,-8.66141700,3.30708700
12.57936807,-1.18110200,3.30708700
12.64336806,-5.90551100,3.30708700
12.70736806,-4.72440900,3.30708700
12.77136806,-5.11811000,3.30708700
12.83536806,-3.93700800,3.30708700
12.89936806,-10.62992000,3.30708700
12.96336806,-2.75590500,3.30708700
13.02736805,-5.51181100,3.30708700
13.09136805,-6.69291300,3.30708700
13.15536805,-6.69291300,3.30708700
13.21936805,-0.39370070,3.30708700
13.28336805,-7.87401500,3.30708700
13.34736804,-6.69291300,3.30708700
13.41136804,-6.69291300,3.30708700
13.47536804,-7.48031400,3.30708700
13.53936804,-10.62992000,3.30708700
13.60336804,-6.29921200,3.30708700
13.66736804,-7.87401500,3.30708700
13.73136803,-10.62992000,3.30708700
13.79536803,-3.93700800,3.30708700
13.85936803,-8.26771600,3.30708700
13.92336803,-7.48031400,3.30708700
13.98736803,-11.41732000,3.30708700
14.05136802,-3.54330700,3.30708700
14.11536802,-11.81102000,3.30708700
14.17936802,-6.29921200,3.30708700
14.24336802,-7.08661400,3.30708700
14.30736802,-4.72440900,3.30708700
14.37136802,-9.05511800,3.30708700
14.43536801,-3.54330700,3.30708700
14.49936801,-7.08661400,3.30708700
14.56336801,-8.66141700,3.30708700
14.62736801,-5.11811000,3.30708700
14.69136801,-6.29921200,3.30708700
14.75536800,-9.05511800,3.30708700
14.81936800,-8.26771600,3.30708700
14.88336800,-6.29921200,3.30708700
14.94736800,-11.81102000,3.30708700
15.01136800,-8.66141700,3.30708700
15.07536800,-9.05511800,3.30708700
15.13936799,-7.48031400,3.30708700
15.20336799,-10.23622000,3.30708700
15.26736799,-3.14960600,3.30708700
15.33136799,-11.41732000,3.30708700
15.39536799,-6.69291300,3.30708700
15.45936798,-8.66141700,3.22834600
15.52336798,-7.87401500,3.30708700
15.58736798,-11.81102000,3.30708700
15.65136798,-5.90551100,3.30708700
15.71536798,-5.51181100,3.30708700
15.77936798,-7.48031400,3.30708700
15.84336797,-6.29921200,3.30708700
15.90736797,-5.90551100,3.30708700
15.97136797,-7.48031400,3.30708700
16.03536797,-10.23622000,3.30708700
16.09936797,-3.14960600,3.30708700
16.16336796,-11.81102000,3.30708700
16.22736796,-8.26771600,3.30708700
16.29136796,-7.08661400,3.30708700
16.35536796,-6.69291300,3.30708700
16.41936796,-12.99213000,3.30708700
16.48336796,-4.33070900,3.30708700
16.54736795,-9.05511800,3.22834600
16.61136795,-7.87401500,3.30708700
16.67536795,-5.51181100,3.30708700
16.73936795,-3.93700800,3.30708700
16.80336795,-9.05511800,3.30708700
16.86736794,-3.14960600,3.30708700
16.93136794,-5.11811000,3.30708700
16.99536794,-9.44881800,3.30708700
17.05936794,-5.51181100,3.30708700
17.12336794,-6.29921200,3.30708700
17.18736794,-6.69291300,3.30708700
17.25136793,-7.08661400,3.30708700
17.31536793,-2.36220500,3.30708700
17.37936793,-10.62992000,3.30708700
17.44336793,-4.33070900,3.30708700
17.50736793,-9.05511800,3.30708700
17.57136793,-7.48031400,3.30708700
17.63536792,-11.81102000,3.30708700
17.69936792,-6.29921200,3.30708700
17.76336792,-10.23622000,3.30708700
17.82736792,-8.66141700,3.30708700
17.89136792,-7.87401500,3.30708700
17.95536791,-7.08661400,3.30708700
18.01936791,-11.02362000,3.30708700
18.08336791,-9.84251900,3.30708700
18.14736791,-7.08661400,3.30708700
18.21136791,-12.59842000,3.30708700
18.27536791,-7.08661400,3.30708700
18.33936790,-6.69291300,3.30708700
18.40336790,-5.90551100,3.30708700
18.46736790,-10.62992000,3.30708700
18.53136790,-4.33070900,3.30708700
18.59536790,-9.44881800,3.30708700
18.65936789,-8.26771600,3.30708700
18.72336789,-9.05511800,3.30708700
18.78736789,-4.33070900,3.30708700
18.85136789,-12.59842000,3.30708700
18.91536789,-5.51181100,3.30708700
18.97936789,-7.87401500,3.30708700
19.04336788,-10.23622000,3.30708700
19.10736788,-8.26771600,3.30708700
19.17136788,-4.33070900,3.30708700
19.23536788,-7.87401500,3.30708700
19.29936788,-8.26771600,3.30708700
19.36336787,-0.78740150,3.30708700
19.42736787,-8.66141700,3.30708700
19.49136787,-6.69291300,3.30708700
19.55536787,-8.26771600,3.30708700
19.61936787,-6.29921200,3.30708700
19.68336787,-11.81102000,3.30708700
19.74736786,-1.96850400,3.30708700
19.81136786,-6.29921200,3.30708700
19.87536786,-5.90551100,3.30708700
19.93936786,-5.51181100,3.30708700
20.00336786,-3.93700800,3.30708700
20.06736785,-11.02362000,3.30708700
20.13136785,-8.66141700,3.30708700
20.19536785,-7.87401500,3.30708700
20.25936785,-10.23622000,3.30708700
20.32336785,-10.62992000,3.30708700
20.38736785,-8.26771600,3.30708700
20.45136784,-10.62992000,3.30708700
20.51536784,-12.59842000,3.22834600
20.57936784,-6.29921200,3.30708700
20.64336784,-12.20472000,3.22834600
20.70736784,-12.20472000,3.30708700
20.77136783,-9.84251900,3.30708700
20.83536783,-5.51181100,3.22834600
20.89936783,-16.92913000,3.30708700
20.96336783,-4.33070900,3.30708700
21.02736783,-9.84251900,3.30708700
21.09136783,-9.84251900,3.30708700
21.15536782,-9.84251900,3.30708700
21.21936782,-5.51181100,3.30708700
21.28336782,-10.23622000,3.30708700
21.34736782,-6.29921200,3.30708700
21.41136782,-3.93700800,3.30708700
21.47536781,-8.66141700,3.30708700
21.53936781,-7.08661400,3.30708700
21.60336781,-7.48031400,3.30708700
21.66736781,-8.26771600,3.30708700
