Time,Channel A,Channel B
(us),(mV),(V)

-0.02653658,-5.11811000,0.00000000
0.03746341,-12.99213000,3.22834600
0.10146341,-3.93700800,3.30708700
0.16546341,-7.87401500,3.30708700
0.22946341,-8.26771600,3.22834600
0.29346341,-7.48031400,3.22834600
0.35746340,-1.18110200,3.22834600
0.42146340,-12.59842000,3.22834600
0.48546340,-3.14960600,3.22834600
0.54946340,-6.29921200,3.22834600
0.61346340,-7.48031400,3.22834600
0.67746340,-7.48031400,3.22834600
0.74146339,-1.18110200,3.22834600
0.80546339,-7.87401500,3.22834600
0.86946339,-5.51181100,3.22834600
0.93346339,-1.18110200,3.22834600
0.99746339,-6.69291300,3.22834600
1.06146339,-5.11811000,3.22834600
1.12546338,-3.93700800,3.22834600
1.18946338,-2.75590500,3.22834600
1.25346338,-6.69291300,3.30708700
1.31746338,0.00000000,3.22834600
1.38146338,-5.90551100,3.30708700
1.44546337,-4.33070900,3.22834600
1.50946337,-7.08661400,3.30708700
1.57346337,-1.57480300,3.22834600
1.63746337,-7.87401500,3.22834600
1.70146337,-2.36220500,3.22834600
1.76546337,-3.54330700,3.22834600
1.82946336,0.00000000,3.22834600
1.89346336,-4.72440900,3.22834600
1.95746336,-0.39370070,3.22834600
2.02146336,-2.36220500,3.22834600
2.08546336,-4.33070900,3.30708700
2.14946335,-2.36220500,3.22834600
2.21346335,-1.96850400,3.22834600
2.27746335,-1.96850400,3.22834600
2.34146335,-2.36220500,3.30708700
2.40546335,2.75590500,3.22834600
2.46946335,-6.29921200,3.22834600
2.53346334,-1.18110200,3.22834600
2.59746334,-3.14960600,3.22834600
2.66146334,-3.54330700,3.30708700
2.72546334,-7.08661400,3.22834600
2.78946334,0.39370070,3.22834600
2.85346333,-6.29921200,3.30708700
2.91746333,-2.75590500,3.30708700
2.98146333,-2.36220500,3.22834600
3.04546333,-4.72440900,3.22834600
3.10946333,-7.08661400,3.22834600
3.17346333,-1.18110200,3.22834600
3.23746332,-3.54330700,3.22834600
3.30146332,-3.93700800,3.22834600
3.36546332,-0.78740150,3.22834600
3.42946332,-1.96850400,3.22834600
3.49346332,-4.33070900,3.22834600
3.55746331,-3.54330700,3.22834600
3.62146331,0.39370070,3.22834600
3.68546331,-7.08661400,3.22834600
3.74946331,0.39370070,3.30708700
3.81346331,-1.96850400,3.22834600
3.87746331,-0.39370070,3.30708700
3.94146330,-5.11811000,3.22834600
4.00546330,1.96850400,3.22834600
4.06946330,-5.90551100,3.30708700
4.13346330,-4.72440900,3.30708700
4.19746330,-3.54330700,3.30708700
4.26146329,-1.96850400,3.30708700
4.32546329,-5.11811000,3.30708700
4.38946329,0.00000000,3.30708700
4.45346329,-0.78740150,3.30708700
4.51746329,-5.11811000,3.22834600
4.58146329,-0.78740150,3.30708700
4.64546328,-1.96850400,3.22834600
4.70946328,-3.93700800,3.22834600
4.77346328,-4.33070900,3.30708700
4.83746328,1.96850400,3.30708700
4.90146328,-4.72440900,3.30708700
4.96546327,0.00000000,3.30708700
5.02946327,-3.14960600,3.30708700
5.09346327,-1.57480300,3.22834600
5.15746327,-6.69291300,3.30708700
5.22146327,1.96850400,3.30708700
5.28546327,-5.90551100,3.22834600
5.34946326,-3.93700800,3.30708700
5.41346326,-3.93700800,3.30708700
5.47746326,-2.36220500,3.22834600
5.54146326,-6.29921200,3.22834600
5.60546326,-5.11811000,3.30708700
5.66946325,-3.54330700,3.30708700
5.73346325,-7.87401500,3.22834600
5.79746325,-3.54330700,3.22834600
5.86146325,-3.93700800,3.22834600
5.92546325,-0.39370070,3.30708700
5.98946325,-6.69291300,3.22834600
6.05346324,1.18110200,3.22834600
6.11746324,-5.90551100,3.30708700
6.18146324,-4.33070900,3.22834600
6.24546324,-3.93700800,3.22834600
6.30946324,1.18110200,3.30708700
6.37346323,-6.29921200,3.30708700
6.43746323,0.39370070,3.22834600
6.50146323,-1.18110200,3.30708700
6.56546323,-3.54330700,3.30708700
6.62946323,-4.33070900,3.30708700
6.69346323,0.39370070,3.30708700
6.75746322,-7.08661400,3.30708700
6.82146322,-5.90551100,3.30708700
6.88546322,1.96850400,3.30708700
6.94946322,-5.11811000,3.30708700
7.01346322,-2.75590500,3.30708700
7.07746321,-1.96850400,3.30708700
7.14146321,-0.78740150,3.30708700
7.20546321,-7.87401500,3.30708700
7.26946321,2.36220500,3.22834600
7.33346321,-4.72440900,3.30708700
7.39746321,-1.96850400,3.30708700
7.46146320,-0.78740150,3.30708700
7.52546320,0.78740150,3.30708700
7.58946320,-5.90551100,3.30708700
7.65346320,-0.78740150,3.30708700
7.71746320,-2.36220500,3.30708700
7.78146319,-4.33070900,3.30708700
7.84546319,-2.36220500,3.30708700
7.90946319,-1.18110200,3.30708700
7.97346319,-2.75590500,3.30708700
8.03746319,-4.33070900,3.30708700
8.10146319,-2.36220500,3.30708700
8.16546318,-6.69291300,3.30708700
8.22946318,-4.33070900,3.30708700
8.29346318,-5.51181100,3.30708700
8.35746318,-1.57480300,3.30708700
8.42146318,-8.26771600,3.30708700
8.48546318,-0.78740150,3.22834600
8.54946317,-3.14960600,3.30708700
8.61346317,-1.57480300,3.22834600
8.67746317,-6.29921200,3.30708700
8.74146317,-1.57480300,3.30708700
8.80546317,-6.69291300,3.30708700
8.86946316,-3.14960600,3.30708700
8.93346316,-0.78740150,3.30708700
8.99746316,-2.36220500,3.30708700
9.06146316,-3.93700800,3.30708700
9.12546316,-0.39370070,3.30708700
9.18946316,-1.96850400,3.30708700
9.25346315,-7.08661400,3.30708700
9.31746315,0.78740150,3.30708700
9.38146315,-2.75590500,3.30708700
9.44546315,-2.36220500,3.30708700
9.50946315,-1.57480300,3.30708700
9.57346314,1.18110200,3.30708700
9.63746314,-6.29921200,3.30708700
9.70146314,0.78740150,3.30708700
9.76546314,-1.57480300,3.30708700
9.82946314,-1.18110200,3.30708700
9.89346314,-2.36220500,3.30708700
9.95746313,4.33070900,3.30708700
10.02146313,-2.36220500,3.30708700
10.08546313,0.39370070,3.30708700
10.14946313,0.39370070,3.30708700
10.21346313,-1.18110200,3.30708700
10.27746312,-1.96850400,3.30708700
10.34146312,0.00000000,3.30708700
10.40546312,0.78740150,3.30708700
10.46946312,-3.54330700,3.30708700
10.53346312,3.93700800,3.30708700
10.59746312,-1.96850400,3.30708700
10.66146311,-1.96850400,3.30708700
10.72546311,-4.72440900,3.30708700
10.78946311,1.18110200,3.30708700
10.85346311,-7.48031400,3.30708700
10.91746311,-0.78740150,3.30708700
10.98146310,-1.57480300,3.30708700
11.04546310,-3.14960600,3.30708700
11.10946310,-4.33070900,3.22834600
11.17346310,1.96850400,3.22834600
11.23746310,-5.51181100,3.30708700
11.30146310,-4.33070900,3.30708700
11.36546309,1.18110200,3.30708700
11.42946309,-1.57480300,3.30708700
11.49346309,-4.33070900,3.22834600
11.55746309,0.78740150,3.22834600
11.62146309,0.00000000,3.30708700
11.68546308,-5.11811000,3.30708700
11.74946308,2.36220500,3.22834600
11.81346308,-3.54330700,3.30708700
11.87746308,-2.36220500,3.22834600
11.94146308,-2.75590500,3.22834600
12.00546308,3.54330700,3.30708700
12.06946307,-4.72440900,3.30708700
12.13346307,0.39370070,3.30708700
12.19746307,-3.14960600,3.30708700
12.26146307,-1.57480300,3.30708700
12.32546307,-4.72440900,3.30708700
12.38946306,-0.78740150,3.30708700
12.45346306,-2.36220500,3.30708700
12.51746306,-2.75590500,3.30708700
12.58146306,0.78740150,3.22834600
12.64546306,0.00000000,3.30708700
12.70946306,-2.75590500,3.30708700
12.77346305,-3.14960600,3.30708700
12.83746305,1.57480300,3.30708700
12.90146305,-5.11811000,3.30708700
12.96546305,-1.96850400,3.30708700
13.02946305,-1.18110200,3.30708700
13.09346304,0.00000000,3.30708700
13.15746304,-5.90551100,3.30708700
13.22146304,1.57480300,3.30708700
13.28546304,-7.08661400,3.30708700
13.34946304,-5.11811000,3.30708700
13.41346304,-4.72440900,3.30708700
13.47746303,-3.14960600,3.30708700
13.54146303,-10.23622000,3.30708700
13.60546303,-2.75590500,3.30708700
13.66946303,-4.72440900,3.30708700
13.73346303,-9.84251900,3.30708700
13.79746302,-5.51181100,3.30708700
13.86146302,-7.87401500,3.22834600
13.92546302,-8.26771600,3.30708700
13.98946302,-7.48031400,3.22834600
14.05346302,-1.18110200,3.30708700
14.11746302,-10.23622000,3.22834600
14.18146301,-3.93700800,3.30708700
14.24546301,-5.11811000,3.30708700
14.30946301,-5.51181100,3.30708700
14.37346301,-9.44881800,3.30708700
14.43746301,-1.18110200,3.30708700
14.50146300,-7.87401500,3.30708700
14.56546300,-4.33070900,3.30708700
14.62946300,-4.72440900,3.30708700
14.69346300,-3.54330700,3.30708700
14.75746300,-8.66141700,3.30708700
14.82146300,-4.72440900,3.30708700
14.88546299,-7.48031400,3.30708700
14.94946299,-8.66141700,3.30708700
15.01346299,-4.33070900,3.30708700
15.07746299,-5.11811000,3.22834600
15.14146299,-4.33070900,3.30708700
15.20546299,-7.48031400,3.22834600
15.26946298,-2.36220500,3.30708700
15.33346298,-8.66141700,3.30708700
15.39746298,-4.33070900,3.30708700
15.46146298,-6.69291300,3.30708700
15.52546298,-3.14960600,3.22834600
15.58946297,-8.66141700,3.30708700
15.65346297,-1.57480300,3.30708700
15.71746297,-6.69291300,3.30708700
15.78146297,-6.69291300,3.30708700
15.84546297,-6.29921200,3.30708700
15.90946297,-5.90551100,3.30708700
15.97346296,-9.05511800,3.30708700
16.03746296,-6.69291300,3.30708700
16.10146296,-5.51181100,3.30708700
16.16546296,-9.84251900,3.30708700
16.22946296,-7.08661400,3.30708700
16.29346295,-8.26771600,3.30708700
16.35746295,-9.84251900,3.30708700
16.42146295,-11.81102000,3.30708700
16.48546295,-4.33070900,3.30708700
16.54946295,-10.23622000,3.30708700
16.61346295,-6.29921200,3.22834600
16.67746294,-8.26771600,3.30708700
16.74146294,-4.33070900,3.30708700
16.80546294,-11.81102000,3.30708700
16.86946294,-5.11811000,3.30708700
16.93346294,-8.66141700,3.22834600
16.99746293,-7.48031400,3.22834600
17.06146293,-6.29921200,3.30708700
17.12546293,-3.93700800,3.30708700
17.18946293,-7.08661400,3.30708700
17.25346293,-7.48031400,3.30708700
17.31746293,-2.75590500,3.30708700
17.38146292,-9.05511800,3.30708700
17.44546292,-7.08661400,3.30708700
17.50946292,-6.29921200,3.30708700
17.57346292,-4.33070900,3.30708700
17.63746292,-10.23622000,3.30708700
17.70146291,-1.18110200,3.30708700
17.76546291,-8.66141700,3.30708700
17.82946291,-7.87401500,3.30708700
17.89346291,-6.29921200,3.30708700
17.95746291,-3.93700800,3.30708700
18.02146291,-11.41732000,3.30708700
18.08546290,-2.75590500,3.30708700
18.14946290,-4.72440900,3.30708700
18.21346290,-7.87401500,3.30708700
18.27746290,-6.69291300,3.30708700
18.34146290,-4.33070900,3.30708700
18.40546289,-10.23622000,3.30708700
18.46946289,-8.26771600,3.30708700
18.53346289,-2.36220500,3.30708700
18.59746289,-11.02362000,3.30708700
18.66146289,-6.29921200,3.30708700
18.72546289,-6.29921200,3.30708700
18.78946288,-6.69291300,3.30708700
18.85346288,-13.77953000,3.30708700
18.91746288,-4.72440900,3.30708700
18.98146288,-11.41732000,3.30708700
19.04546288,-8.66141700,3.30708700
19.10946287,-8.66141700,3.30708700
19.17346287,-6.69291300,3.30708700
19.23746287,-9.84251900,3.30708700
19.30146287,-6.69291300,3.22834600
19.36546287,-7.48031400,3.30708700
19.42946287,-9.84251900,3.22834600
19.49346286,-9.44881800,3.30708700
19.55746286,-6.29921200,3.30708700
19.62146286,-5.51181100,3.22834600
19.68546286,-8.26771600,3.22834600
19.74946286,-4.33070900,3.30708700
19.81346285,-5.90551100,3.30708700
19.87746285,-5.90551100,3.30708700
19.94146285,-8.66141700,3.30708700
20.00546285,-2.75590500,3.30708700
20.06946285,-10.62992000,3.30708700
20.13346285,-3.14960600,3.30708700
20.19746284,-5.90551100,3.30708700
20.26146284,-5.51181100,3.30708700
20.32546284,-10.23622000,3.30708700
20.38946284,-2.36220500,3.30708700
20.45346284,-10.23622000,3.30708700
20.51746283,-8.66141700,3.30708700
20.58146283,-4.33070900,3.30708700
20.64546283,-7.87401500,3.30708700
20.70946283,-6.29921200,3.30708700
20.77346283,-4.33070900,3.30708700
20.83746283,-5.90551100,3.30708700
20.90146282,-10.62992000,3.30708700
20.96546282,-3.93700800,3.30708700
21.02946282,-7.87401500,3.30708700
21.09346282,-8.26771600,3.30708700
21.15746282,-8.66141700,3.30708700
21.22146281,-2.75590500,3.30708700
21.28546281,-10.62992000,3.30708700
21.34946281,-4.33070900,3.30708700
21.41346281,-7.48031400,3.30708700
21.47746281,-7.87401500,3.30708700
21.54146281,-10.62992000,3.30708700
21.60546280,-4.72440900,3.30708700
21.66946280,-9.84251900,3.30708700
21.73346280,-8.66141700,3.30708700
