Time,Channel A,Channel B
(us),(mV),(V)

-0.02461538,-24.80315000,0.15748030
0.03938462,-7.48031400,3.22834600
0.10338461,-5.90551100,3.22834600
0.16738461,-5.51181100,3.22834600
0.23138461,-12.59842000,3.22834600
0.29538461,-3.93700800,3.22834600
0.35938461,-11.02362000,3.22834600
0.42338460,-6.29921200,3.22834600
0.48738460,-6.29921200,3.30708700
0.55138460,-1.57480300,3.22834600
0.61538460,-7.87401500,3.22834600
0.67938460,-2.36220500,3.22834600
0.74338460,-3.14960600,3.22834600
0.80738459,-6.29921200,3.22834600
0.87138459,-4.72440900,3.30708700
0.93538459,-3.54330700,3.30708700
0.99938459,-3.14960600,3.30708700
1.06338459,-5.90551100,3.30708700
1.12738458,-0.39370070,3.30708700
1.19138458,-4.72440900,3.30708700
1.25538458,-4.33070900,3.22834600
1.31938458,-3.54330700,3.22834600
1.38338458,-1.57480300,3.22834600
1.44738458,-7.87401500,3.22834600
1.51138457,0.39370070,3.22834600
1.57538457,-2.36220500,3.30708700
1.63938457,-1.96850400,3.22834600
1.70338457,-3.93700800,3.22834600
1.76738457,0.78740150,3.30708700
1.83138456,-6.29921200,3.22834600
1.89538456,-1.18110200,3.22834600
1.95938456,1.18110200,3.22834600
2.02338456,-1.57480300,3.22834600
2.08738456,0.78740150,3.22834600
2.15138456,1.96850400,3.22834600
2.21538455,0.78740150,3.30708700
2.27938455,-5.51181100,3.30708700
2.34338455,1.18110200,3.22834600
2.40738455,-5.90551100,3.30708700
2.47138455,-2.75590500,3.22834600
2.53538454,-4.72440900,3.30708700
2.59938454,-0.39370070,3.22834600
2.66338454,-6.69291300,3.30708700
2.72738454,-2.75590500,3.22834600
2.79138454,-3.93700800,3.22834600
2.85538454,-2.75590500,3.30708700
2.91938453,-6.69291300,3.22834600
2.98338453,-0.39370070,3.22834600
3.04738453,-5.11811000,3.22834600
3.11138453,-4.33070900,3.22834600
3.17538453,-1.96850400,3.22834600
3.23938452,-1.18110200,3.22834600
3.30338452,-3.93700800,3.30708700
3.36738452,-2.75590500,3.30708700
3.43138452,1.57480300,3.30708700
3.49538452,-6.29921200,3.22834600
3.55938452,0.78740150,3.30708700
3.62338451,-1.96850400,3.30708700
3.68738451,-2.36220500,3.22834600
3.75138451,-6.69291300,3.22834600
3.81538451,3.14960600,3.22834600
3.87938451,-7.87401500,3.30708700
3.94338450,-3.54330700,3.30708700
4.00738450,-3.14960600,3.22834600
4.07138450,-2.36220500,3.30708700
4.13538450,-5.11811000,3.22834600
4.19938450,0.78740150,3.30708700
4.26338450,-1.18110200,3.30708700
4.32738449,-5.11811000,3.30708700
4.39138449,0.39370070,3.22834600
4.45538449,-4.72440900,3.30708700
4.51938449,-3.93700800,3.22834600
4.58338449,-3.54330700,3.30708700
4.64738448,1.18110200,3.30708700
4.71138448,-4.33070900,3.30708700
4.77538448,0.78740150,3.30708700
4.83938448,-2.75590500,3.30708700
4.90338448,-2.75590500,3.30708700
4.96738448,-7.48031400,3.30708700
5.03138447,-1.18110200,3.30708700
5.09538447,-7.48031400,3.22834600
5.15938447,-3.14960600,3.30708700
5.22338447,-5.11811000,3.30708700
5.28738447,-2.75590500,3.30708700
5.35138446,-10.23622000,3.22834600
5.41538446,-5.90551100,3.22834600
5.47938446,-2.75590500,3.22834600
5.54338446,-7.87401500,3.22834600
5.60738446,-4.33070900,3.22834600
5.67138446,-5.51181100,3.30708700
5.73538445,-3.14960600,3.22834600
5.79938445,-9.05511800,3.22834600
5.86338445,-0.39370070,3.30708700
5.92738445,-7.87401500,3.22834600
5.99138445,-3.93700800,3.30708700
6.05538444,-3.14960600,3.30708700
6.11938444,0.00000000,3.30708700
6.18338444,-5.90551100,3.30708700
6.24738444,0.78740150,3.30708700
6.31138444,-3.14960600,3.30708700
6.37538444,-4.33070900,3.30708700
6.43938443,-4.72440900,3.30708700
6.50338443,-3.14960600,3.30708700
6.56738443,-5.90551100,3.30708700
6.63138443,-4.33070900,3.30708700
6.69538443,-2.36220500,3.30708700
6.75938442,-5.11811000,3.30708700
6.82338442,-2.75590500,3.30708700
6.88738442,-2.36220500,3.22834600
6.95138442,-1.57480300,3.30708700
7.01538442,-6.29921200,3.30708700
7.07938442,-0.78740150,3.30708700
7.14338441,-5.90551100,3.30708700
7.20738441,-1.57480300,3.30708700
7.27138441,-4.33070900,3.30708700
7.33538441,0.78740150,3.30708700
7.39938441,-5.90551100,3.30708700
7.46338441,-0.39370070,3.30708700
7.52738440,-3.14960600,3.30708700
7.59138440,-5.51181100,3.30708700
7.65538440,-4.72440900,3.30708700
7.71938440,-1.96850400,3.30708700
7.78338440,-4.72440900,3.22834600
7.84738439,-6.69291300,3.30708700
7.91138439,-2.36220500,3.30708700
7.97538439,-10.23622000,3.22834600
8.03938439,-7.48031400,3.30708700
8.10338439,-4.33070900,3.30708700
8.16738439,-4.72440900,3.30708700
8.23138438,-8.66141700,3.30708700
8.29538438,-1.57480300,3.30708700
8.35938438,-6.69291300,3.30708700
8.42338438,-7.48031400,3.22834600
8.48738438,-6.69291300,3.30708700
8.55138437,-2.36220500,3.30708700
8.61538437,-9.05511800,3.30708700
8.67938437,0.00000000,3.30708700
8.74338437,-3.93700800,3.30708700
8.80738437,-3.54330700,3.30708700
8.87138437,-3.14960600,3.30708700
8.93538436,-2.36220500,3.30708700
8.99938436,-5.90551100,3.30708700
9.06338436,-6.69291300,3.30708700
9.12738436,-1.96850400,3.30708700
9.19138436,-6.69291300,3.30708700
9.25538435,-1.96850400,3.30708700
9.31938435,-3.93700800,3.30708700
9.38338435,0.39370070,3.30708700
9.44738435,-5.11811000,3.30708700
9.51138435,1.18110200,3.30708700
9.57538435,-2.75590500,3.30708700
9.63938434,-1.18110200,3.30708700
9.70338434,-2.75590500,3.30708700
9.76738434,2.36220500,3.30708700
9.83138434,-3.14960600,3.30708700
9.89538434,-0.39370070,3.30708700
9.95938433,0.78740150,3.30708700
10.02338433,-0.78740150,3.30708700
10.08738433,-3.14960600,3.30708700
10.15138433,1.18110200,3.30708700
10.21538433,0.00000000,3.30708700
10.27938433,-4.33070900,3.30708700
10.34338432,1.57480300,3.30708700
10.40738432,-3.93700800,3.30708700
10.47138432,-5.51181100,3.30708700
10.53538432,-6.69291300,3.30708700
10.59938432,-0.39370070,3.30708700
10.66338431,-11.41732000,3.30708700
10.72738431,-1.96850400,3.30708700
10.79138431,-3.93700800,3.30708700
10.85538431,-3.14960600,3.30708700
10.91938431,-6.69291300,3.30708700
10.98338431,0.00000000,3.30708700
11.04738430,-5.90551100,3.30708700
11.11138430,-7.48031400,3.22834600
11.17538430,-2.75590500,3.30708700
11.23938430,-4.33070900,3.30708700
11.30338430,-3.93700800,3.30708700
11.36738429,-1.57480300,3.30708700
11.43138429,1.18110200,3.30708700
11.49538429,-6.69291300,3.30708700
11.55938429,-1.18110200,3.30708700
11.62338429,-3.14960600,3.30708700
11.68738429,-2.75590500,3.30708700
11.75138428,-5.90551100,3.30708700
11.81538428,0.78740150,3.30708700
11.87938428,-6.69291300,3.30708700
11.94338428,-3.14960600,3.30708700
12.00738428,-4.33070900,3.22834600
12.07138427,-1.96850400,3.30708700
12.13538427,-8.26771600,3.30708700
12.19938427,0.00000000,3.30708700
12.26338427,-2.36220500,3.30708700
12.32738427,-3.54330700,3.30708700
12.39138427,-0.78740150,3.30708700
12.45538426,-2.36220500,3.30708700
12.51938426,-4.33070900,3.30708700
12.58338426,-3.54330700,3.30708700
12.64738426,1.18110200,3.30708700
12.71138426,-7.48031400,3.30708700
12.77538425,0.78740150,3.30708700
12.83938425,-2.36220500,3.30708700
12.90338425,-2.36220500,3.30708700
12.96738425,-7.08661400,3.30708700
13.03138425,-1.57480300,3.30708700
13.09538425,-9.05511800,3.30708700
13.15938424,-7.08661400,3.30708700
13.22338424,-8.66141700,3.30708700
13.28738424,-7.08661400,3.22834600
13.35138424,-10.23622000,3.30708700
13.41538424,-7.08661400,3.30708700
13.47938423,-7.48031400,3.30708700
13.54338423,-10.62992000,3.30708700
13.60738423,-9.44881800,3.30708700
13.67138423,-7.87401500,3.30708700
13.73538423,-10.62992000,3.30708700
13.79938423,-12.20472000,3.30708700
13.86338422,-7.08661400,3.30708700
13.92738422,-9.84251900,3.30708700
13.99138422,-7.48031400,3.30708700
14.05538422,-9.44881800,3.30708700
14.11938422,-3.54330700,3.30708700
14.18338421,-11.41732000,3.30708700
14.24738421,-1.57480300,3.30708700
14.31138421,-4.72440900,3.30708700
14.37538421,-5.51181100,3.30708700
14.43938421,-5.90551100,3.30708700
14.50338421,-3.14960600,3.30708700
14.56738420,-9.84251900,3.30708700
14.63138420,-8.66141700,3.30708700
14.69538420,-4.72440900,3.30708700
14.75938420,-9.44881800,3.30708700
14.82338420,-5.51181100,3.30708700
14.88738420,-5.11811000,3.30708700
14.95138419,-4.33070900,3.30708700
15.01538419,-6.29921200,3.30708700
15.07938419,-1.96850400,3.30708700
15.14338419,-8.66141700,3.30708700
15.20738419,-5.11811000,3.30708700
15.27138418,-6.29921200,3.30708700
15.33538418,-2.75590500,3.30708700
15.39938418,-8.26771600,3.30708700
15.46338418,-1.18110200,3.30708700
15.52738418,-5.90551100,3.30708700
15.59138418,-5.51181100,3.30708700
15.65538417,-8.26771600,3.30708700
15.71938417,-5.90551100,3.30708700
15.78338417,-9.84251900,3.30708700
15.84738417,-9.05511800,3.30708700
15.91138417,-6.29921200,3.30708700
15.97538416,-11.02362000,3.30708700
16.03938416,-9.44881800,3.22834600
16.10338416,-10.62992000,3.30708700
16.16738416,-7.08661400,3.30708700
16.23138416,-16.14173000,3.30708700
16.29538416,-5.90551100,3.30708700
16.35938415,-10.62992000,3.30708700
16.42338415,-8.66141700,3.30708700
16.48738415,-8.26771600,3.30708700
16.55138415,-4.72440900,3.30708700
16.61538415,-10.23622000,3.30708700
16.67938414,-5.51181100,3.30708700
16.74338414,-4.72440900,3.30708700
16.80738414,-6.29921200,3.30708700
16.87138414,-5.51181100,3.30708700
16.93538414,-2.36220500,3.30708700
16.99938414,-4.72440900,3.30708700
17.06338413,-7.08661400,3.30708700
17.12738413,-5.11811000,3.30708700
17.19138413,-10.23622000,3.30708700
17.25538413,-7.87401500,3.30708700
17.31938413,-7.08661400,3.30708700
17.38338412,-3.14960600,3.30708700
17.44738412,-9.84251900,3.30708700
17.51138412,-1.96850400,3.30708700
17.57538412,-6.69291300,3.30708700
17.63938412,-4.72440900,3.30708700
17.70338412,-9.05511800,3.30708700
17.76738411,-3.93700800,3.30708700
17.83138411,-9.05511800,3.30708700
17.89538411,-5.90551100,3.30708700
17.95938411,-4.33070900,3.30708700
18.02338411,-5.90551100,3.30708700
18.08738410,-7.48031400,3.30708700
18.15138410,-5.11811000,3.30708700
18.21538410,-3.93700800,3.30708700
18.27938410,-11.81102000,3.30708700
18.34338410,-4.33070900,3.30708700
18.40738410,-7.08661400,3.30708700
18.47138409,-8.66141700,3.30708700
18.53538409,-9.84251900,3.30708700
18.59938409,-5.11811000,3.22834600
18.66338409,-14.96063000,3.30708700
18.72738409,-9.44881800,3.30708700
18.79138408,-9.44881800,3.30708700
18.85538408,-8.66141700,3.30708700
18.91938408,-11.02362000,3.30708700
18.98338408,-1.96850400,3.30708700
19.04738408,-9.84251900,3.30708700
19.11138408,-9.05511800,3.30708700
19.17538407,-6.69291300,3.30708700
19.23938407,-8.26771600,3.30708700
19.30338407,-8.66141700,3.30708700
19.36738407,-7.08661400,3.30708700
19.43138407,-3.93700800,3.22834600
19.49538406,-9.84251900,3.30708700
19.55938406,-1.96850400,3.30708700
19.62338406,-6.69291300,3.30708700
19.68738406,-3.93700800,3.30708700
19.75138406,-9.44881800,3.30708700
19.81538406,-2.36220500,3.30708700
19.87938405,-9.05511800,3.30708700
19.94338405,-6.69291300,3.30708700
20.00738405,-7.08661400,3.30708700
20.07138405,-5.11811000,3.30708700
20.13538405,-10.23622000,3.30708700
20.19938404,-4.72440900,3.30708700
20.26338404,-5.51181100,3.30708700
20.32738404,-9.84251900,3.30708700
20.39138404,-5.51181100,3.30708700
20.45538404,-6.69291300,3.30708700
20.51938404,-7.87401500,3.30708700
20.58338403,-8.26771600,3.30708700
20.64738403,-3.14960600,3.30708700
20.71138403,-9.84251900,3.30708700
20.77538403,-6.69291300,3.30708700
20.83938403,-6.69291300,3.30708700
20.90338402,-3.93700800,3.30708700
20.96738402,-11.02362000,3.30708700
21.03138402,-1.18110200,3.30708700
21.09538402,-11.41732000,3.30708700
21.15938402,-8.66141700,3.30708700
21.22338402,-9.05511800,3.30708700
21.28738401,-6.69291300,3.30708700
21.35138401,-12.59842000,3.30708700
21.41538401,-7.08661400,3.30708700
21.47938401,-5.51181100,3.30708700
21.54338401,-11.02362000,3.30708700
21.60738401,-6.29921200,3.30708700
21.67138400,-5.90551100,3.22834600
