Time,Channel A,Channel B
(us),(mV),(V)

-0.03022222,-4.33070900,0.00000000
0.03377778,19.68504000,2.83464600
0.09777778,-4.33070900,3.22834600
0.16177777,-5.11811000,3.30708700
0.22577777,-6.69291300,3.30708700
0.28977777,-2.36220500,3.30708700
0.35377777,-9.05511800,3.30708700
0.41777777,-9.44881800,3.30708700
0.48177776,-2.75590500,3.30708700
0.54577776,-4.72440900,3.30708700
0.60977776,-4.72440900,3.30708700
0.67377776,0.78740150,3.30708700
0.73777776,1.96850400,3.30708700
0.80177776,-5.51181100,3.30708700
0.86577775,3.93700800,3.30708700
0.92977775,-3.93700800,3.30708700
0.99377775,-0.39370070,3.30708700
1.05777775,-1.18110200,3.22834600
1.12177775,5.51181100,3.30708700
1.18577774,-1.18110200,3.30708700
1.24977774,1.18110200,3.22834600
1.31377774,1.96850400,3.30708700
1.37777774,-0.39370070,3.30708700
1.44177774,-4.33070900,3.30708700
1.50577774,-3.14960600,3.30708700
1.56977773,-3.93700800,3.30708700
1.63377773,-8.66141700,3.30708700
1.69777773,-4.33070900,3.30708700
1.76177773,-7.87401500,3.30708700
1.82577773,-9.44881800,3.22834600
1.88977772,-7.08661400,3.30708700
1.95377772,-1.96850400,3.30708700
2.01777772,-8.26771600,3.30708700
2.08177772,-3.14960600,3.30708700
2.14577772,-3.14960600,3.30708700
2.20977772,-6.29921200,3.22834600
2.27377771,-6.29921200,3.30708700
2.33777771,-2.75590500,3.30708700
2.40177771,-7.48031400,3.22834600
2.46577771,-0.78740150,3.30708700
2.52977771,1.57480300,3.22834600
2.59377770,1.57480300,3.30708700
2.65777770,1.96850400,3.30708700
2.72177770,3.93700800,3.30708700
2.78577770,3.54330700,3.30708700
2.84977770,-3.14960600,3.30708700
2.91377770,-3.14960600,3.30708700
2.97777769,-1.18110200,3.30708700
3.04177769,-0.78740150,3.30708700
3.10577769,-1.18110200,3.30708700
3.16977769,-0.39370070,3.30708700
3.23377769,-0.78740150,3.30708700
3.29777768,-1.57480300,3.30708700
3.36177768,-3.14960600,3.30708700
3.42577768,3.54330700,3.30708700
3.48977768,-4.33070900,3.30708700
3.55377768,5.11811000,3.30708700
3.61777768,1.96850400,3.30708700
3.68177767,2.36220500,3.30708700
3.74577767,0.00000000,3.30708700
3.80977767,3.54330700,3.30708700
3.87377767,0.00000000,3.30708700
3.93777767,-1.57480300,3.30708700
4.00177766,4.33070900,3.30708700
4.06577766,-2.75590500,3.30708700
4.12977766,-0.78740150,3.30708700
4.19377766,-1.96850400,3.30708700
4.25777766,-3.93700800,3.30708700
4.32177766,-10.62992000,3.30708700
4.38577765,-4.72440900,3.30708700
4.44977765,-11.81102000,3.30708700
4.51377765,-12.59842000,3.30708700
4.57777765,-10.62992000,3.30708700
4.64177765,-4.33070900,3.30708700
4.70577764,-9.05511800,3.30708700
4.76977764,-4.72440900,3.30708700
4.83377764,-11.41732000,3.30708700
4.89777764,-9.05511800,3.30708700
4.96177764,-10.62992000,3.30708700
5.02577764,-5.90551100,3.30708700
5.08977763,-3.54330700,3.30708700
5.15377763,-4.33070900,3.30708700
5.21777763,1.96850400,3.30708700
5.28177763,-3.54330700,3.30708700
5.34577763,0.00000000,3.30708700
5.40977762,-2.36220500,3.30708700
5.47377762,-0.39370070,3.30708700
5.53777762,-7.08661400,3.30708700
5.60177762,1.96850400,3.30708700
5.66577762,-3.14960600,3.30708700
5.72977762,0.00000000,3.30708700
5.79377761,-5.11811000,3.22834600
5.85777761,0.00000000,3.30708700
5.92177761,-6.69291300,3.30708700
5.98577761,-5.51181100,3.30708700
6.04977761,1.18110200,3.30708700
6.11377761,-1.96850400,3.30708700
6.17777760,2.36220500,3.30708700
6.24177760,0.39370070,3.30708700
6.30577760,1.96850400,3.30708700
6.36977760,-3.14960600,3.30708700
6.43377760,0.78740150,3.30708700
6.49777759,-0.39370070,3.30708700
6.56177759,1.57480300,3.30708700
6.62577759,1.57480300,3.30708700
6.68977759,3.54330700,3.30708700
6.75377759,-2.36220500,3.30708700
6.81777759,-0.78740150,3.30708700
6.88177758,-6.29921200,3.30708700
6.94577758,-4.72440900,3.30708700
7.00977758,-9.05511800,3.30708700
7.07377758,-8.26771600,3.30708700
7.13777758,-11.02362000,3.30708700
7.20177757,-10.62992000,3.30708700
7.26577757,-5.90551100,3.30708700
7.32977757,-7.48031400,3.30708700
7.39377757,-8.66141700,3.30708700
7.45777757,-12.99213000,3.30708700
7.52177757,-5.11811000,3.30708700
7.58577756,-13.38583000,3.30708700
7.64977756,-5.11811000,3.30708700
7.71377756,-2.36220500,3.30708700
7.77777756,-3.14960600,3.30708700
7.84177756,-3.14960600,3.30708700
7.90577755,0.78740150,3.30708700
7.96977755,-5.51181100,3.30708700
8.03377755,-1.96850400,3.30708700
8.09777755,1.18110200,3.30708700
8.16177755,-1.57480300,3.30708700
8.22577755,-2.75590500,3.30708700
8.28977754,2.75590500,3.30708700
8.35377754,-0.39370070,3.30708700
8.41777754,-6.69291300,3.30708700
8.48177754,-0.78740150,3.30708700
8.54577754,-5.90551100,3.30708700
8.60977753,-7.08661400,3.30708700
8.67377753,0.39370070,3.30708700
8.73777753,1.96850400,3.30708700
8.80177753,-1.18110200,3.30708700
8.86577753,2.36220500,3.30708700
8.92977753,0.39370070,3.30708700
8.99377752,-1.57480300,3.30708700
9.05777752,-4.33070900,3.30708700
9.12177752,1.96850400,3.30708700
9.18577752,-1.18110200,3.30708700
9.24977752,3.14960600,3.30708700
9.31377751,3.14960600,3.30708700
9.37777751,2.75590500,3.30708700
9.44177751,0.00000000,3.30708700
9.50577751,0.00000000,3.30708700
9.56977751,-1.96850400,3.30708700
9.63377751,-6.69291300,3.30708700
9.69777750,-2.75590500,3.30708700
9.76177750,-3.54330700,3.30708700
9.82577750,-3.93700800,3.30708700
9.88977750,-7.08661400,3.30708700
9.95377750,-5.11811000,3.30708700
10.01777749,-9.44881800,3.30708700
10.08177749,-5.90551100,3.30708700
10.14577749,-7.48031400,3.30708700
10.20977749,-4.33070900,3.30708700
10.27377749,-9.05511800,3.30708700
10.33777749,0.39370070,3.30708700
10.40177748,-6.69291300,3.30708700
10.46577748,-4.33070900,3.30708700
10.52977748,-3.93700800,3.30708700
10.59377748,-0.39370070,3.30708700
10.65777748,-1.96850400,3.30708700
10.72177747,0.78740150,3.30708700
10.78577747,1.18110200,3.30708700
10.84977747,-2.75590500,3.30708700
10.91377747,0.00000000,3.30708700
10.97777747,-1.18110200,3.30708700
11.04177747,-1.96850400,3.30708700
11.10577746,-7.08661400,3.30708700
11.16977746,2.75590500,3.30708700
11.23377746,-2.75590500,3.30708700
11.29777746,-2.36220500,3.30708700
11.36177746,-0.39370070,3.30708700
11.42577745,3.54330700,3.30708700
11.48977745,-3.14960600,3.30708700
11.55377745,2.75590500,3.30708700
11.61777745,1.18110200,3.30708700
11.68177745,-1.18110200,3.30708700
11.74577745,0.00000000,3.30708700
11.80977744,5.90551100,3.30708700
11.87377744,-0.39370070,3.30708700
11.93777744,0.78740150,3.30708700
12.00177744,3.93700800,3.30708700
12.06577744,-1.18110200,3.30708700
12.12977743,-3.14960600,3.30708700
12.19377743,-2.36220500,3.30708700
12.25777743,-2.36220500,3.30708700
12.32177743,-8.26771600,3.30708700
12.38577743,-1.96850400,3.30708700
12.44977743,-8.66141700,3.30708700
12.51377742,-8.26771600,3.30708700
12.57777742,-9.44881800,3.30708700
12.64177742,-9.44881800,3.30708700
12.70577742,-12.99213000,3.30708700
12.76977742,-8.26771600,3.30708700
12.83377741,-7.48031400,3.30708700
12.89777741,-8.66141700,3.30708700
12.96177741,-12.20472000,3.30708700
13.02577741,-8.66141700,3.30708700
13.08977741,-9.84251900,3.30708700
13.15377741,-14.17323000,3.30708700
13.21777740,-5.11811000,3.30708700
13.28177740,-7.48031400,3.30708700
13.34577740,-3.93700800,3.30708700
13.40977740,-2.75590500,3.30708700
13.47377740,-2.36220500,3.30708700
13.53777740,-7.87401500,3.30708700
13.60177739,-4.72440900,3.30708700
13.66577739,-7.87401500,3.30708700
13.72977739,-3.93700800,3.30708700
13.79377739,-8.66141700,3.30708700
13.85777739,-3.54330700,3.30708700
13.92177738,-3.93700800,3.30708700
13.98577738,-8.66141700,3.30708700
14.04977738,-5.51181100,3.30708700
14.11377738,-5.11811000,3.30708700
14.17777738,-8.66141700,3.30708700
14.24177738,-2.36220500,3.30708700
14.30577737,0.00000000,3.30708700
14.36977737,-4.33070900,3.30708700
14.43377737,-0.78740150,3.30708700
14.49777737,-1.96850400,3.30708700
14.56177737,-2.75590500,3.30708700
14.62577736,-5.11811000,3.30708700
14.68977736,0.00000000,3.30708700
14.75377736,-6.29921200,3.30708700
14.81777736,-2.75590500,3.30708700
14.88177736,-4.33070900,3.30708700
14.94577736,-3.93700800,3.30708700
15.00977735,-9.84251900,3.30708700
15.07377735,-7.87401500,3.30708700
15.13777735,-10.62992000,3.30708700
15.20177735,-11.81102000,3.30708700
15.26577735,-13.77953000,3.30708700
15.32977734,-12.20472000,3.30708700
15.39377734,-12.20472000,3.30708700
15.45777734,-12.20472000,3.30708700
15.52177734,-8.26771600,3.30708700
15.58577734,-15.35433000,3.30708700
15.64977734,-14.96063000,3.30708700
15.71377733,-11.41732000,3.30708700
15.77777733,-8.26771600,3.30708700
15.84177733,-18.11024000,3.30708700
15.90577733,-1.57480300,3.30708700
15.96977733,-10.23622000,3.30708700
16.03377732,-5.11811000,3.30708700
16.09777732,-3.93700800,3.30708700
16.16177732,-11.02362000,3.30708700
16.22577732,-9.84251900,3.30708700
16.28977732,-4.33070900,3.30708700
16.35377732,-8.26771600,3.30708700
16.41777731,-9.05511800,3.30708700
16.48177731,-3.14960600,3.30708700
16.54577731,-6.69291300,3.30708700
16.60977731,-7.87401500,3.30708700
16.67377731,-8.66141700,3.30708700
16.73777730,-2.75590500,3.30708700
16.80177730,-8.26771600,3.30708700
16.86577730,1.57480300,3.30708700
16.92977730,0.00000000,3.30708700
16.99377730,0.78740150,3.30708700
17.05777730,-4.33070900,3.30708700
17.12177729,0.39370070,3.30708700
17.18577729,-7.87401500,3.30708700
17.24977729,-2.75590500,3.30708700
17.31377729,-4.33070900,3.30708700
17.37777729,1.57480300,3.30708700
17.44177728,-2.36220500,3.30708700
17.50577728,-1.57480300,3.30708700
17.56977728,-5.51181100,3.30708700
17.63377728,-7.48031400,3.30708700
17.69777728,-8.66141700,3.30708700
17.76177728,-12.20472000,3.30708700
17.82577727,-11.02362000,3.30708700
17.88977727,-14.17323000,3.30708700
17.95377727,-9.05511800,3.30708700
18.01777727,-15.35433000,3.30708700
18.08177727,-14.56693000,3.30708700
18.14577726,-13.38583000,3.30708700
18.20977726,-10.62992000,3.30708700
18.27377726,-14.96063000,3.30708700
18.33777726,-12.20472000,3.30708700
18.40177726,-11.02362000,3.30708700
18.46577726,-9.84251900,3.30708700
18.52977725,-14.17323000,3.30708700
18.59377725,-3.93700800,3.30708700
18.65777725,-14.96063000,3.30708700
18.72177725,-7.87401500,3.30708700
18.78577725,-4.33070900,3.30708700
18.84977724,-5.90551100,3.30708700
18.91377724,-7.48031400,3.30708700
18.97777724,-2.36220500,3.30708700
19.04177724,-1.96850400,3.30708700
19.10577724,-6.69291300,3.30708700
19.16977724,-1.57480300,3.30708700
19.23377723,-7.08661400,3.30708700
19.29777723,-6.69291300,3.30708700
19.36177723,-5.90551100,3.30708700
19.42577723,3.54330700,3.30708700
19.48977723,-7.48031400,3.30708700
19.55377722,-2.75590500,3.30708700
19.61777722,-0.39370070,3.30708700
19.68177722,-3.54330700,3.30708700
19.74577722,-3.93700800,3.30708700
19.80977722,1.57480300,3.30708700
19.87377722,-1.57480300,3.30708700
19.93777721,-3.14960600,3.30708700
20.00177721,5.11811000,3.30708700
20.06577721,-2.36220500,3.30708700
20.12977721,-4.33070900,3.30708700
20.19377721,-2.75590500,3.30708700
20.25777721,-3.54330700,3.30708700
20.32177720,-12.59842000,3.30708700
20.38577720,-6.69291300,3.30708700
20.44977720,-10.62992000,3.30708700
20.51377720,-10.62992000,3.30708700
20.57777720,-11.02362000,3.30708700
20.64177719,-8.66141700,3.30708700
20.70577719,-17.71653000,3.30708700
20.76977719,-10.62992000,3.30708700
20.83377719,-12.20472000,3.30708700
20.89777719,-13.38583000,3.30708700
20.96177719,-11.41732000,3.30708700
21.02577718,-14.56693000,3.30708700
21.08977718,-9.84251900,3.30708700
21.15377718,-12.59842000,3.30708700
21.21777718,-6.29921200,3.30708700
21.28177718,-7.87401500,3.30708700
21.34577717,-4.33070900,3.30708700
21.40977717,-4.72440900,3.30708700
21.47377717,1.96850400,3.30708700
21.53777717,-3.93700800,3.30708700
21.60177717,-0.39370070,3.30708700
21.66577717,-3.54330700,3.30708700
21.72977716,-3.14960600,3.30708700
21.79377716,-9.05511800,3.30708700
