Time,Channel A,Channel B
(us),(mV),(V)

-0.02789743,-8.66141700,0.00000000
0.03610256,-1.96850400,3.07086600
0.10010256,-4.72440900,3.22834600
0.16410256,-5.90551100,3.22834600
0.22810256,-7.48031400,3.22834600
0.29210256,-5.90551100,3.30708700
0.35610255,-3.93700800,3.22834600
0.42010255,-7.87401500,3.22834600
0.48410255,-3.54330700,3.22834600
0.54810255,-6.29921200,3.22834600
0.61210255,-4.33070900,3.30708700
0.67610255,-6.69291300,3.22834600
0.74010254,-0.78740150,3.22834600
0.80410254,-7.08661400,3.22834600
0.86810254,-4.33070900,3.22834600
0.93210254,-4.33070900,3.22834600
0.99610254,-1.18110200,3.22834600
1.06010254,-8.26771600,3.22834600
1.12410253,-1.96850400,3.22834600
1.18810253,-5.51181100,3.22834600
1.25210253,-7.48031400,3.22834600
1.31610253,-6.69291300,3.22834600
1.38010253,-3.93700800,3.22834600
1.44410252,-8.66141700,3.22834600
1.50810252,-5.90551100,3.22834600
1.57210252,0.78740150,3.22834600
1.63610252,-8.26771600,3.22834600
1.70010252,-2.75590500,3.22834600
1.76410252,-4.72440900,3.22834600
1.82810251,-3.14960600,3.22834600
1.89210251,-9.05511800,3.22834600
1.95610251,3.14960600,3.22834600
2.02010251,-4.72440900,3.22834600
2.08410251,-1.18110200,3.22834600
2.14810250,1.57480300,3.22834600
2.21210250,1.18110200,3.22834600
2.27610250,-5.90551100,3.22834600
2.34010250,1.18110200,3.30708700
2.40410250,-0.78740150,3.22834600
2.46810250,-5.51181100,3.22834600
2.53210249,-0.78740150,3.22834600
2.59610249,-0.78740150,3.30708700
2.66010249,-3.54330700,3.22834600
2.72410249,-3.93700800,3.22834600
2.78810249,0.00000000,3.22834600
2.85210248,-6.69291300,3.22834600
2.91610248,-0.78740150,3.22834600
2.98010248,-1.57480300,3.22834600
3.04410248,1.18110200,3.22834600
3.10810248,-4.33070900,3.22834600
3.17210248,2.36220500,3.22834600
3.23610247,-4.72440900,3.22834600
3.30010247,-2.36220500,3.22834600
3.36410247,-3.93700800,3.22834600
3.42810247,0.00000000,3.22834600
3.49210247,-3.14960600,3.22834600
3.55610246,0.00000000,3.30708700
3.62010246,0.78740150,3.22834600
3.68410246,-4.72440900,3.22834600
3.74810246,-2.36220500,3.22834600
3.81210246,-3.93700800,3.22834600
3.87610246,-3.93700800,3.22834600
3.94010245,-7.87401500,3.22834600
4.00410245,-0.78740150,3.30708700
4.06810245,-7.48031400,3.22834600
4.13210245,-3.93700800,3.22834600
4.19610245,-4.33070900,3.22834600
4.26010244,-2.36220500,3.22834600
4.32410244,-7.87401500,3.22834600
4.38810244,-1.96850400,3.22834600
4.45210244,-5.11811000,3.22834600
4.51610244,-4.33070900,3.22834600
4.58010244,-3.93700800,3.22834600
4.64410243,-0.39370070,3.22834600
4.70810243,-4.33070900,3.22834600
4.77210243,-2.75590500,3.22834600
4.83610243,-0.78740150,3.22834600
4.90010243,-3.54330700,3.22834600
4.96410242,-0.39370070,3.22834600
5.02810242,-3.14960600,3.22834600
5.09210242,0.00000000,3.30708700
5.15610242,-6.69291300,3.30708700
5.22010242,0.00000000,3.30708700
5.28410242,-5.51181100,3.22834600
5.34810241,-4.33070900,3.22834600
5.41210241,-5.90551100,3.30708700
5.47610241,0.00000000,3.22834600
5.54010241,-6.69291300,3.22834600
5.60410241,-1.18110200,3.30708700
5.66810240,-0.78740150,3.22834600
5.73210240,-2.75590500,3.22834600
5.79610240,-4.33070900,3.30708700
5.86010240,-1.57480300,3.30708700
5.92410240,-5.51181100,3.30708700
5.98810240,-5.51181100,3.30708700
6.05210239,1.96850400,3.22834600
6.11610239,-3.93700800,3.22834600
6.18010239,-3.14960600,3.30708700
6.24410239,-1.18110200,3.22834600
6.30810239,-0.78740150,3.30708700
6.37210238,-9.05511800,3.30708700
6.43610238,1.18110200,3.30708700
6.50010238,-5.90551100,3.30708700
6.56410238,-4.33070900,3.22834600
6.62810238,-4.72440900,3.30708700
6.69210238,-1.57480300,3.30708700
6.75610237,-11.41732000,3.30708700
6.82010237,-3.14960600,3.30708700
6.88410237,-2.75590500,3.30708700
6.94810237,-7.08661400,3.30708700
7.01210237,-4.72440900,3.22834600
7.07610236,-1.96850400,3.22834600
7.14010236,-4.33070900,3.22834600
7.20410236,-6.69291300,3.22834600
7.26810236,0.39370070,3.30708700
7.33210236,-7.08661400,3.22834600
7.39610236,-2.36220500,3.30708700
7.46010235,-3.14960600,3.22834600
7.52410235,0.39370070,3.22834600
7.58810235,-4.72440900,3.30708700
7.65210235,1.57480300,3.30708700
7.71610235,-2.36220500,3.22834600
7.78010234,-2.36220500,3.30708700
7.84410234,-5.51181100,3.30708700
7.90810234,-0.78740150,3.30708700
7.97210234,-6.29921200,3.30708700
8.03610234,-3.54330700,3.22834600
8.10010234,-2.36220500,3.30708700
8.16410233,-4.33070900,3.30708700
8.22810233,-3.93700800,3.30708700
8.29210233,-2.75590500,3.30708700
8.35610233,-0.78740150,3.30708700
8.42010233,-8.26771600,3.30708700
8.48410233,0.39370070,3.22834600
8.54810232,-4.33070900,3.22834600
8.61210232,-1.57480300,3.30708700
8.67610232,-5.90551100,3.30708700
8.74010232,0.39370070,3.30708700
8.80410232,-10.62992000,3.30708700
8.86810231,-1.18110200,3.22834600
8.93210231,-3.93700800,3.30708700
8.99610231,-3.93700800,3.30708700
9.06010231,-3.93700800,3.30708700
9.12410231,0.00000000,3.30708700
9.18810231,-4.33070900,3.22834600
9.25210230,-6.29921200,3.30708700
9.31610230,-0.78740150,3.22834600
9.38010230,-4.72440900,3.30708700
9.44410230,-5.51181100,3.30708700
9.50810230,-4.72440900,3.30708700
9.57210229,-2.36220500,3.30708700
9.63610229,-5.11811000,3.30708700
9.70010229,0.39370070,3.30708700
9.76410229,-2.36220500,3.30708700
9.82810229,-0.78740150,3.22834600
9.89210229,-5.90551100,3.30708700
9.95610228,3.54330700,3.22834600
10.02010228,-5.90551100,3.22834600
10.08410228,0.00000000,3.30708700
10.14810228,1.18110200,3.22834600
10.21210228,2.36220500,3.30708700
10.27610227,-2.75590500,3.30708700
10.34010227,1.18110200,3.30708700
10.40410227,0.00000000,3.22834600
10.46810227,-5.51181100,3.30708700
10.53210227,1.96850400,3.30708700
10.59610227,-1.96850400,3.30708700
10.66010226,-3.93700800,3.30708700
10.72410226,-3.93700800,3.30708700
10.78810226,1.57480300,3.30708700
10.85210226,-8.26771600,3.30708700
10.91610226,-0.78740150,3.30708700
10.98010225,-1.96850400,3.30708700
11.04410225,-1.57480300,3.30708700
11.10810225,-3.14960600,3.30708700
11.17210225,3.54330700,3.22834600
11.23610225,-5.11811000,3.22834600
11.30010225,-1.57480300,3.30708700
11.36410224,-0.78740150,3.30708700
11.42810224,-3.93700800,3.30708700
11.49210224,-3.93700800,3.30708700
11.55610224,0.78740150,3.30708700
11.62010224,0.00000000,3.30708700
11.68410223,-3.54330700,3.30708700
11.74810223,2.36220500,3.30708700
11.81210223,-5.51181100,3.30708700
11.87610223,-3.14960600,3.22834600
11.94010223,-6.29921200,3.30708700
12.00410223,-0.78740150,3.30708700
12.06810222,-6.69291300,3.30708700
12.13210222,-0.78740150,3.30708700
12.19610222,-5.90551100,3.22834600
12.26010222,-3.93700800,3.22834600
12.32410222,-8.66141700,3.30708700
12.38810221,-5.90551100,3.30708700
12.45210221,-5.90551100,3.30708700
12.51610221,-4.33070900,3.22834600
12.58010221,-3.54330700,3.22834600
12.64410221,-6.69291300,3.22834600
12.70810221,-3.14960600,3.30708700
12.77210220,-2.36220500,3.30708700
12.83610220,-1.57480300,3.30708700
12.90010220,-4.72440900,3.30708700
12.96410220,-1.96850400,3.22834600
13.02810220,-3.54330700,3.22834600
13.09210219,-1.96850400,3.22834600
13.15610219,-8.66141700,3.30708700
13.22010219,0.39370070,3.30708700
13.28410219,-9.84251900,3.30708700
13.34810219,-5.90551100,3.30708700
13.41210219,-8.66141700,3.30708700
13.47610218,-5.90551100,3.22834600
13.54010218,-11.81102000,3.30708700
13.60410218,-2.36220500,3.30708700
13.66810218,-6.29921200,3.22834600
13.73210218,-6.69291300,3.30708700
13.79610217,-3.54330700,3.30708700
13.86010217,-6.69291300,3.30708700
13.92410217,-8.26771600,3.30708700
13.98810217,-11.81102000,3.30708700
14.05210217,-5.51181100,3.30708700
14.11610217,-10.62992000,3.30708700
14.18010216,-4.72440900,3.30708700
14.24410216,-3.93700800,3.30708700
14.30810216,-3.14960600,3.30708700
14.37210216,-10.23622000,3.30708700
14.43610216,-1.57480300,3.30708700
14.50010215,-9.84251900,3.30708700
14.56410215,-13.77953000,3.30708700
14.62810215,-7.48031400,3.30708700
14.69210215,-4.33070900,3.30708700
14.75610215,-12.59842000,3.30708700
14.82010215,-7.87401500,3.30708700
14.88410214,-6.69291300,3.30708700
14.94810214,-12.59842000,3.30708700
15.01210214,-7.08661400,3.30708700
15.07610214,-5.90551100,3.30708700
15.14010214,-8.66141700,3.22834600
15.20410214,-12.20472000,3.30708700
15.26810213,0.00000000,3.30708700
15.33210213,-12.20472000,3.30708700
15.39610213,-6.29921200,3.22834600
15.46010213,-5.51181100,3.30708700
15.52410213,-5.11811000,3.22834600
15.58810212,-8.66141700,3.30708700
15.65210212,-0.78740150,3.22834600
15.71610212,-7.08661400,3.30708700
15.78010212,-5.90551100,3.30708700
15.84410212,-4.33070900,3.30708700
15.90810212,-7.48031400,3.30708700
15.97210211,-12.20472000,3.30708700
16.03610211,-9.05511800,3.30708700
16.10010211,-6.69291300,3.30708700
16.16410211,-9.84251900,3.30708700
16.22810211,-6.69291300,3.22834600
16.29210210,-7.87401500,3.30708700
16.35610210,-6.29921200,3.22834600
16.42010210,-9.84251900,3.30708700
16.48410210,-3.93700800,3.30708700
16.54810210,-10.62992000,3.22834600
16.61210210,-5.51181100,3.30708700
16.67610209,-7.87401500,3.30708700
16.74010209,-1.57480300,3.22834600
16.80410209,-9.05511800,3.30708700
16.86810209,-4.72440900,3.30708700
16.93210209,-4.33070900,3.30708700
16.99610208,-6.69291300,3.30708700
17.06010208,-7.87401500,3.30708700
17.12410208,-4.72440900,3.30708700
17.18810208,-5.90551100,3.30708700
17.25210208,-11.02362000,3.30708700
17.31610208,-3.54330700,3.30708700
17.38010207,-10.23622000,3.30708700
17.44410207,-9.84251900,3.30708700
17.50810207,-9.84251900,3.30708700
17.57210207,-4.33070900,3.30708700
17.63610207,-12.59842000,3.30708700
17.70010206,-5.51181100,3.30708700
17.76410206,-6.69291300,3.22834600
17.82810206,-8.26771600,3.30708700
17.89210206,-10.62992000,3.30708700
17.95610206,-4.72440900,3.30708700
18.02010206,-12.20472000,3.22834600
18.08410205,-6.29921200,3.30708700
18.14810205,-4.72440900,3.22834600
18.21210205,-7.48031400,3.30708700
18.27610205,-6.69291300,3.22834600
18.34010205,-4.33070900,3.30708700
18.40410204,-5.51181100,3.30708700
18.46810204,-11.02362000,3.30708700
18.53210204,-3.54330700,3.22834600
18.59610204,-9.84251900,3.30708700
18.66010204,-6.69291300,3.30708700
18.72410204,-10.23622000,3.30708700
18.78810203,-4.72440900,3.22834600
18.85210203,-12.99213000,3.30708700
18.91610203,-5.11811000,3.30708700
18.98010203,-7.08661400,3.30708700
19.04410203,-8.66141700,3.30708700
19.10810202,-7.48031400,3.30708700
19.17210202,-2.75590500,3.30708700
19.23610202,-6.69291300,3.30708700
19.30010202,-7.08661400,3.30708700
19.36410202,-2.75590500,3.30708700
19.42810202,-8.26771600,3.22834600
19.49210201,-7.08661400,3.30708700
19.55610201,-5.11811000,3.30708700
19.62010201,-5.11811000,3.30708700
19.68410201,-8.66141700,3.30708700
19.74810201,0.00000000,3.30708700
19.81210200,-6.69291300,3.30708700
19.87610200,-5.90551100,3.30708700
19.94010200,-9.44881800,3.30708700
20.00410200,-4.33070900,3.30708700
20.06810200,-12.59842000,3.30708700
20.13210200,-6.29921200,3.30708700
20.19610199,-10.23622000,3.22834600
20.26010199,-7.48031400,3.30708700
20.32410199,-8.26771600,3.22834600
20.38810199,-8.26771600,3.30708700
20.45210199,-8.26771600,3.22834600
20.51610198,-11.02362000,3.22834600
20.58010198,-7.48031400,3.30708700
20.64410198,-9.05511800,3.30708700
20.70810198,-6.69291300,3.22834600
20.77210198,-9.44881800,3.30708700
20.83610198,-2.36220500,3.30708700
20.90010197,-9.84251900,3.22834600
20.96410197,-4.72440900,3.30708700
21.02810197,-7.87401500,3.22834600
21.09210197,-5.90551100,3.30708700
21.15610197,-9.84251900,3.30708700
21.22010196,-2.36220500,3.22834600
21.28410196,-8.66141700,3.30708700
21.34810196,-8.26771600,3.30708700
21.41210196,-6.29921200,3.30708700
21.47610196,-5.51181100,3.30708700
21.54010196,-11.02362000,3.30708700
21.60410195,-5.11811000,3.30708700
21.66810195,-4.33070900,3.22834600
21.73210195,-9.44881800,3.30708700
