Time,Channel A,Channel B
(us),(mV),(V)

-0.02653658,-7.87401500,0.00000000
0.03746341,-4.72440900,3.22834600
0.10146341,-9.05511800,3.22834600
0.16546341,-7.08661400,3.30708700
0.22946341,-7.48031400,3.22834600
0.29346341,-4.72440900,3.22834600
0.35746340,-9.84251900,3.22834600
0.42146340,-6.69291300,3.22834600
0.48546340,-6.29921200,3.22834600
0.54946340,-9.84251900,3.22834600
0.61346340,-6.69291300,3.22834600
0.67746340,-6.69291300,3.22834600
0.74146339,-4.33070900,3.22834600
0.80546339,-9.05511800,3.22834600
0.86946339,-0.39370070,3.22834600
0.93346339,-8.66141700,3.22834600
0.99746339,-3.54330700,3.22834600
1.06146339,-5.51181100,3.22834600
1.12546338,-1.96850400,3.22834600
1.18946338,-7.08661400,3.22834600
1.25346338,-0.39370070,3.22834600
1.31746338,-3.14960600,3.22834600
1.38146338,-3.54330700,3.30708700
1.44546337,-3.14960600,3.22834600
1.50946337,-2.36220500,3.22834600
1.57346337,-5.90551100,3.22834600
1.63746337,-5.51181100,3.22834600
1.70146337,-1.57480300,3.22834600
1.76546337,-5.51181100,3.22834600
1.82946336,-1.96850400,3.22834600
1.89346336,-0.78740150,3.22834600
1.95746336,-0.39370070,3.22834600
2.02146336,-6.29921200,3.22834600
2.08546336,3.93700800,3.22834600
2.14946335,-3.93700800,3.22834600
2.21346335,-0.39370070,3.30708700
2.27746335,-0.78740150,3.22834600
2.34146335,2.36220500,3.22834600
2.40546335,-5.90551100,3.22834600
2.46946335,1.96850400,3.22834600
2.53346334,-1.18110200,3.22834600
2.59746334,-5.11811000,3.22834600
2.66146334,-1.18110200,3.30708700
2.72546334,-0.39370070,3.22834600
2.78946334,-3.93700800,3.30708700
2.85346333,-3.54330700,3.30708700
2.91746333,0.39370070,3.30708700
2.98146333,-5.90551100,3.22834600
3.04546333,-1.57480300,3.22834600
3.10946333,-4.33070900,3.30708700
3.17346333,-4.72440900,3.22834600
3.23746332,-7.87401500,3.22834600
3.30146332,0.39370070,3.22834600
3.36546332,-5.90551100,3.22834600
3.42946332,-1.96850400,3.30708700
3.49346332,-5.90551100,3.22834600
3.55746331,-0.39370070,3.22834600
3.62146331,-6.69291300,3.22834600
3.68546331,-3.14960600,3.22834600
3.74946331,-2.75590500,3.22834600
3.81346331,-1.96850400,3.22834600
3.87746331,-1.96850400,3.22834600
3.94146330,-1.57480300,3.22834600
4.00546330,-0.39370070,3.30708700
4.06946330,-6.29921200,3.22834600
4.13346330,0.78740150,3.30708700
4.19746330,-4.72440900,3.30708700
4.26146329,-3.54330700,3.30708700
4.32546329,-5.11811000,3.22834600
4.38946329,1.96850400,3.22834600
4.45346329,-7.08661400,3.30708700
4.51746329,-0.39370070,3.22834600
4.58146329,-2.75590500,3.30708700
4.64546328,-4.72440900,3.22834600
4.70946328,-4.72440900,3.30708700
4.77346328,1.18110200,3.30708700
4.83746328,-4.33070900,3.30708700
4.90146328,-2.75590500,3.30708700
4.96546327,0.78740150,3.30708700
5.02946327,-2.75590500,3.30708700
5.09346327,-5.51181100,3.22834600
5.15746327,-1.96850400,3.30708700
5.22146327,-1.57480300,3.30708700
5.28546327,-6.69291300,3.30708700
5.34946326,0.39370070,3.30708700
5.41346326,-3.54330700,3.30708700
5.47746326,-3.54330700,3.22834600
5.54146326,-5.51181100,3.30708700
5.60546326,1.18110200,3.30708700
5.66946325,-9.05511800,3.30708700
5.73346325,-4.33070900,3.30708700
5.79746325,-3.93700800,3.30708700
5.86146325,-4.33070900,3.22834600
5.92546325,-7.08661400,3.30708700
5.98946325,-0.78740150,3.30708700
6.05346324,-3.14960600,3.22834600
6.11746324,-7.48031400,3.22834600
6.18146324,-0.78740150,3.22834600
6.24546324,-5.90551100,3.30708700
6.30946324,-6.29921200,3.22834600
6.37346323,-2.36220500,3.30708700
6.43746323,0.00000000,3.30708700
6.50146323,-5.51181100,3.22834600
6.56546323,0.00000000,3.22834600
6.62946323,-2.75590500,3.30708700
6.69346323,-2.75590500,3.30708700
6.75746322,-5.90551100,3.22834600
6.82146322,0.00000000,3.30708700
6.88546322,-6.29921200,3.30708700
6.94946322,-0.39370070,3.30708700
7.01346322,-2.75590500,3.30708700
7.07746321,-1.57480300,3.30708700
7.14146321,-5.11811000,3.30708700
7.20546321,-2.36220500,3.30708700
7.26946321,-3.14960600,3.22834600
7.33346321,-4.72440900,3.30708700
7.39746321,-2.36220500,3.30708700
7.46146320,-1.18110200,3.30708700
7.52546320,0.00000000,3.30708700
7.58946320,-4.72440900,3.30708700
7.65346320,1.96850400,3.30708700
7.71746320,-5.11811000,3.22834600
7.78146319,-2.75590500,3.30708700
7.84546319,-2.36220500,3.30708700
7.90946319,0.39370070,3.30708700
7.97346319,-7.08661400,3.30708700
8.03746319,1.57480300,3.30708700
8.10146319,-1.18110200,3.30708700
8.16546318,-4.33070900,3.30708700
8.22946318,-4.33070900,3.30708700
8.29346318,-0.39370070,3.30708700
8.35746318,-8.26771600,3.30708700
8.42146318,-4.33070900,3.30708700
8.48546318,-1.96850400,3.30708700
8.54946317,-6.29921200,3.30708700
8.61346317,-3.93700800,3.30708700
8.67746317,-1.96850400,3.30708700
8.74146317,-5.11811000,3.22834600
8.80546317,-9.05511800,3.30708700
8.86946316,-1.18110200,3.22834600
8.93346316,-7.48031400,3.30708700
8.99746316,-3.14960600,3.30708700
9.06146316,-3.54330700,3.30708700
9.12546316,0.39370070,3.30708700
9.18946316,-5.90551100,3.30708700
9.25346315,0.39370070,3.30708700
9.31746315,-3.14960600,3.30708700
9.38146315,-3.14960600,3.30708700
9.44546315,-1.18110200,3.30708700
9.50946315,2.36220500,3.30708700
9.57346314,-1.18110200,3.30708700
9.63746314,-1.57480300,3.30708700
9.70146314,1.96850400,3.22834600
9.76546314,-2.36220500,3.30708700
9.82946314,-1.57480300,3.22834600
9.89346314,-0.78740150,3.30708700
9.95746313,-0.39370070,3.30708700
10.02146313,-3.54330700,3.30708700
10.08546313,3.93700800,3.30708700
10.14946313,-1.57480300,3.30708700
10.21346313,0.78740150,3.30708700
10.27746312,-1.57480300,3.30708700
10.34146312,2.36220500,3.30708700
10.40546312,-5.51181100,3.30708700
10.46946312,0.00000000,3.30708700
10.53346312,-1.96850400,3.30708700
10.59746312,-1.57480300,3.30708700
10.66146311,-1.57480300,3.30708700
10.72546311,-0.39370070,3.30708700
10.78946311,-1.57480300,3.30708700
10.85346311,-4.33070900,3.30708700
10.91746311,0.00000000,3.30708700
10.98146310,-4.72440900,3.30708700
11.04546310,-2.36220500,3.30708700
11.10946310,-4.33070900,3.30708700
11.17346310,1.18110200,3.30708700
11.23746310,-6.29921200,3.30708700
11.30146310,-2.36220500,3.22834600
11.36546309,-5.11811000,3.22834600
11.42946309,-2.36220500,3.30708700
11.49346309,-7.08661400,3.22834600
11.55746309,0.00000000,3.30708700
11.62146309,-4.33070900,3.30708700
11.68546308,-3.54330700,3.22834600
11.74946308,-0.78740150,3.30708700
11.81346308,-1.57480300,3.30708700
11.87746308,-6.29921200,3.22834600
11.94146308,-1.96850400,3.30708700
12.00546308,-1.18110200,3.30708700
12.06946307,-6.69291300,3.30708700
12.13346307,1.96850400,3.30708700
12.19746307,-1.96850400,3.30708700
12.26146307,-2.36220500,3.22834600
12.32546307,-3.54330700,3.22834600
12.38946306,0.78740150,3.30708700
12.45346306,-10.23622000,3.30708700
12.51746306,-0.78740150,3.30708700
12.58146306,-1.96850400,3.30708700
12.64546306,-3.14960600,3.30708700
12.70946306,-4.33070900,3.30708700
12.77346305,1.57480300,3.30708700
12.83746305,-4.33070900,3.30708700
12.90146305,-4.33070900,3.30708700
12.96546305,-1.57480300,3.30708700
13.02946305,-6.29921200,3.30708700
13.09346304,-5.11811000,3.30708700
13.15746304,-2.36220500,3.30708700
13.22146304,-2.75590500,3.30708700
13.28546304,-8.26771600,3.30708700
13.34946304,-3.14960600,3.30708700
13.41346304,-6.29921200,3.30708700
13.47746303,-5.90551100,3.30708700
13.54146303,-9.84251900,3.30708700
13.60546303,-3.14960600,3.30708700
13.66946303,-10.23622000,3.30708700
13.73346303,-5.11811000,3.30708700
13.79746302,-8.26771600,3.30708700
13.86146302,-7.08661400,3.30708700
13.92546302,-12.59842000,3.30708700
13.98946302,-7.48031400,3.30708700
14.05346302,-9.44881800,3.22834600
14.11746302,-10.62992000,3.30708700
14.18146301,-6.29921200,3.30708700
14.24546301,-6.69291300,3.30708700
14.30946301,-6.69291300,3.30708700
14.37346301,-9.05511800,3.30708700
14.43746301,-3.93700800,3.30708700
14.50146300,-10.23622000,3.30708700
14.56546300,-5.90551100,3.30708700
14.62946300,-7.08661400,3.22834600
14.69346300,-5.51181100,3.30708700
14.75746300,-9.44881800,3.30708700
14.82146300,-1.96850400,3.30708700
14.88546299,-7.08661400,3.30708700
14.94946299,-6.69291300,3.30708700
15.01346299,-7.48031400,3.30708700
15.07746299,-4.33070900,3.30708700
15.14146299,-9.84251900,3.30708700
15.20546299,-5.11811000,3.30708700
15.26946298,-4.72440900,3.30708700
15.33346298,-7.48031400,3.22834600
15.39746298,-6.69291300,3.22834600
15.46146298,-4.33070900,3.30708700
15.52546298,-6.69291300,3.30708700
15.58946297,-10.62992000,3.30708700
15.65346297,-0.78740150,3.30708700
15.71746297,-9.84251900,3.30708700
15.78146297,-6.69291300,3.30708700
15.84546297,-5.90551100,3.30708700
15.90946297,-3.93700800,3.30708700
15.97346296,-12.59842000,3.30708700
16.03746296,-4.33070900,3.30708700
16.10146296,-8.26771600,3.22834600
16.16546296,-9.84251900,3.30708700
16.22946296,-6.29921200,3.30708700
16.29346295,-5.51181100,3.30708700
16.35746295,-11.81102000,3.30708700
16.42146295,-7.87401500,3.30708700
16.48546295,-5.90551100,3.30708700
16.54946295,-11.02362000,3.30708700
16.61346295,-7.87401500,3.30708700
16.67746294,-8.66141700,3.30708700
16.74146294,-7.87401500,3.30708700
16.80546294,-9.84251900,3.30708700
16.86946294,-3.54330700,3.30708700
16.93346294,-10.62992000,3.30708700
16.99746293,-5.51181100,3.22834600
17.06146293,-9.84251900,3.30708700
17.12546293,-5.90551100,3.22834600
17.18946293,-11.81102000,3.22834600
17.25346293,-4.72440900,3.30708700
17.31746293,-7.48031400,3.30708700
17.38146292,-4.72440900,3.22834600
17.44546292,-6.69291300,3.30708700
17.50946292,-4.72440900,3.30708700
17.57346292,-6.29921200,3.22834600
17.63746292,-8.66141700,3.30708700
17.70146291,-4.33070900,3.30708700
17.76546291,-9.05511800,3.30708700
17.82946291,-6.29921200,3.30708700
17.89346291,-6.69291300,3.30708700
17.95746291,-4.33070900,3.22834600
18.02146291,-12.20472000,3.30708700
18.08546290,-5.51181100,3.30708700
18.14946290,-8.66141700,3.30708700
18.21346290,-7.08661400,3.30708700
18.27746290,-8.66141700,3.30708700
18.34146290,-2.75590500,3.30708700
18.40546289,-10.23622000,3.22834600
18.46946289,-5.11811000,3.30708700
18.53346289,-5.90551100,3.30708700
18.59746289,-9.05511800,3.30708700
18.66146289,-10.62992000,3.30708700
18.72546289,-5.51181100,3.30708700
18.78946288,-7.87401500,3.30708700
18.85346288,-9.44881800,3.30708700
18.91746288,-3.14960600,3.30708700
18.98146288,-7.87401500,3.30708700
19.04546288,-6.29921200,3.30708700
19.10946287,-9.05511800,3.30708700
19.17346287,-4.72440900,3.30708700
19.23746287,-12.99213000,3.30708700
19.30146287,-5.51181100,3.30708700
19.36546287,-8.26771600,3.30708700
19.42946287,-9.84251900,3.22834600
19.49346286,-10.23622000,3.30708700
19.55746286,-3.93700800,3.22834600
19.62146286,-9.84251900,3.22834600
19.68546286,-8.66141700,3.30708700
19.74946286,-5.51181100,3.22834600
19.81346285,-7.48031400,3.22834600
19.87746285,-6.69291300,3.30708700
19.94146285,-4.33070900,3.30708700
20.00546285,-5.11811000,3.22834600
20.06946285,-9.84251900,3.22834600
20.13346285,-2.36220500,3.30708700
20.19746284,-7.48031400,3.30708700
20.26146284,-7.87401500,3.30708700
20.32546284,-7.87401500,3.30708700
20.38946284,-2.75590500,3.30708700
20.45346284,-12.59842000,3.22834600
20.51746283,-3.93700800,3.30708700
20.58146283,-8.66141700,3.30708700
20.64546283,-8.66141700,3.30708700
20.70946283,-9.84251900,3.30708700
20.77346283,-5.51181100,3.30708700
20.83746283,-9.84251900,3.30708700
20.90146282,-6.69291300,3.30708700
20.96546282,-4.33070900,3.30708700
21.02946282,-6.29921200,3.30708700
21.09346282,-7.48031400,3.30708700
21.15746282,-9.05511800,3.30708700
21.22146281,-5.11811000,3.30708700
21.28546281,-10.62992000,3.30708700
21.34946281,-4.72440900,3.30708700
21.41346281,-5.90551100,3.30708700
21.47746281,-3.54330700,3.30708700
21.54146281,-7.87401500,3.30708700
21.60546280,-1.18110200,3.30708700
21.66946280,-8.66141700,3.30708700
