Time,Channel A,Channel B
(us),(mV),(V)

-0.00492308,-1.18110200,1.18110200
0.05907692,-6.29921200,3.22834600
0.12307692,-5.51181100,3.22834600
0.18707692,-9.05511800,3.22834600
0.25107692,-3.54330700,3.22834600
0.31507692,-9.84251900,3.22834600
0.37907691,-5.11811000,3.22834600
0.44307691,-8.66141700,3.22834600
0.50707691,-0.78740150,3.22834600
0.57107691,-9.44881800,3.30708700
0.63507691,-1.96850400,3.22834600
0.69907690,-3.93700800,3.22834600
0.76307690,-4.72440900,3.22834600
0.82707690,-6.29921200,3.22834600
0.89107690,-3.54330700,3.22834600
0.95507690,-6.69291300,3.22834600
1.01907690,-6.69291300,3.22834600
1.08307689,-2.36220500,3.22834600
1.14707689,-5.11811000,3.22834600
1.21107689,-2.75590500,3.22834600
1.27507689,-1.18110200,3.22834600
1.33907689,-3.93700800,3.22834600
1.40307688,-7.87401500,3.22834600
1.46707688,-1.18110200,3.22834600
1.53107688,-5.11811000,3.22834600
1.59507688,-2.75590500,3.22834600
1.65907688,-5.11811000,3.22834600
1.72307688,3.54330700,3.22834600
1.78707687,-4.33070900,3.22834600
1.85107687,1.57480300,3.22834600
1.91507687,-1.96850400,3.22834600
1.97907687,-1.57480300,3.22834600
2.04307687,-5.51181100,3.22834600
2.10707687,-0.39370070,3.30708700
2.17107686,-3.14960600,3.22834600
2.23507686,-5.90551100,3.22834600
2.29907686,-0.78740150,3.22834600
2.36307686,-3.54330700,3.22834600
2.42707686,1.96850400,3.22834600
2.49107685,-6.29921200,3.22834600
2.55507685,1.57480300,3.22834600
2.61907685,-7.48031400,3.22834600
2.68307685,-0.78740150,3.22834600
2.74707685,-1.57480300,3.22834600
2.81107685,-1.18110200,3.22834600
2.87507684,-5.51181100,3.22834600
2.93907684,1.18110200,3.22834600
3.00307684,-2.75590500,3.22834600
3.06707684,-2.36220500,3.22834600
3.13107684,0.39370070,3.22834600
3.19507683,1.96850400,3.22834600
3.25907683,-3.93700800,3.30708700
3.32307683,1.18110200,3.30708700
3.38707683,-1.57480300,3.22834600
3.45107683,-7.48031400,3.30708700
3.51507683,-1.57480300,3.22834600
3.57907682,-4.72440900,3.30708700
3.64307682,-4.33070900,3.22834600
3.70707682,-4.33070900,3.22834600
3.77107682,3.54330700,3.22834600
3.83507682,-5.51181100,3.22834600
3.89907681,0.78740150,3.30708700
3.96307681,-1.96850400,3.22834600
4.02707681,-2.36220500,3.30708700
4.09107681,-5.51181100,3.22834600
4.15507681,1.96850400,3.30708700
4.21907681,-5.11811000,3.22834600
4.28307680,-1.57480300,3.22834600
4.34707680,1.18110200,3.30708700
4.41107680,-2.36220500,3.30708700
4.47507680,-4.33070900,3.22834600
4.53907680,-1.57480300,3.30708700
4.60307679,-1.57480300,3.30708700
4.66707679,-5.11811000,3.22834600
4.73107679,-1.57480300,3.22834600
4.79507679,-5.11811000,3.22834600
4.85907679,-4.33070900,3.30708700
4.92307679,-7.48031400,3.22834600
4.98707678,-2.36220500,3.22834600
5.05107678,-7.08661400,3.22834600
5.11507678,-4.33070900,3.22834600
5.17907678,-5.90551100,3.22834600
5.24307678,-1.18110200,3.22834600
5.30707677,-6.69291300,3.22834600
5.37107677,-3.93700800,3.22834600
5.43507677,-3.93700800,3.22834600
5.49907677,-4.33070900,3.22834600
5.56307677,-4.72440900,3.22834600
5.62707677,-1.57480300,3.22834600
5.69107676,-2.36220500,3.22834600
5.75507676,-3.93700800,3.30708700
5.81907676,2.75590500,3.30708700
5.88307676,-4.33070900,3.22834600
5.94707676,-2.36220500,3.30708700
6.01107675,-2.36220500,3.30708700
6.07507675,-1.57480300,3.30708700
6.13907675,-7.87401500,3.30708700
6.20307675,-0.39370070,3.30708700
6.26707675,-4.33070900,3.30708700
6.33107675,-3.54330700,3.30708700
6.39507674,-3.93700800,3.22834600
6.45907674,0.00000000,3.30708700
6.52307674,-7.08661400,3.30708700
6.58707674,0.00000000,3.22834600
6.65107674,-1.96850400,3.22834600
6.71507673,-4.33070900,3.30708700
6.77907673,-3.54330700,3.22834600
6.84307673,0.39370070,3.30708700
6.90707673,-1.96850400,3.22834600
6.97107673,-5.11811000,3.22834600
7.03507673,1.57480300,3.22834600
7.09907672,-5.11811000,3.30708700
7.16307672,-1.57480300,3.22834600
7.22707672,-2.75590500,3.30708700
7.29107672,1.18110200,3.30708700
7.35507672,-7.48031400,3.22834600
7.41907671,0.39370070,3.30708700
7.48307671,-4.33070900,3.30708700
7.54707671,-6.69291300,3.30708700
7.61107671,-6.69291300,3.30708700
7.67507671,-2.36220500,3.22834600
7.73907671,-6.69291300,3.22834600
7.80307670,-4.33070900,3.30708700
7.86707670,-2.36220500,3.22834600
7.93107670,-5.90551100,3.22834600
7.99507670,-5.90551100,3.30708700
8.05907670,-3.54330700,3.22834600
8.12307669,-4.33070900,3.22834600
8.18707669,-7.87401500,3.22834600
8.25107669,1.18110200,3.30708700
8.31507669,-4.33070900,3.22834600
8.37907669,-1.57480300,3.30708700
8.44307669,-3.54330700,3.30708700
8.50707668,0.78740150,3.30708700
8.57107668,-7.08661400,3.22834600
8.63507668,0.78740150,3.22834600
8.69907668,-4.33070900,3.30708700
8.76307668,-2.36220500,3.22834600
8.82707668,-5.90551100,3.30708700
8.89107667,-1.18110200,3.30708700
8.95507667,-5.51181100,3.30708700
9.01907667,-6.29921200,3.30708700
9.08307667,-3.14960600,3.22834600
9.14707667,-3.93700800,3.22834600
9.21107666,-3.14960600,3.30708700
9.27507666,-3.54330700,3.30708700
9.33907666,2.75590500,3.30708700
9.40307666,-4.33070900,3.30708700
9.46707666,0.00000000,3.30708700
9.53107666,-0.39370070,3.30708700
9.59507665,-1.18110200,3.22834600
9.65907665,-4.33070900,3.30708700
9.72307665,4.72440900,3.30708700
9.78707665,-2.75590500,3.30708700
9.85107665,-0.39370070,3.30708700
9.91507664,2.75590500,3.30708700
9.97907664,1.96850400,3.30708700
10.04307664,-5.90551100,3.30708700
10.10707664,0.39370070,3.30708700
10.17107664,-2.75590500,3.30708700
10.23507664,-7.48031400,3.30708700
10.29907663,-0.78740150,3.30708700
10.36307663,-3.93700800,3.22834600
10.42707663,-4.72440900,3.30708700
10.49107663,-5.51181100,3.30708700
10.55507663,1.18110200,3.22834600
10.61907662,-9.44881800,3.22834600
10.68307662,-2.36220500,3.22834600
10.74707662,-4.33070900,3.22834600
10.81107662,-2.75590500,3.22834600
10.87507662,-5.11811000,3.22834600
10.93907662,2.36220500,3.30708700
11.00307661,-3.93700800,3.22834600
11.06707661,-1.57480300,3.30708700
11.13107661,0.00000000,3.22834600
11.19507661,-2.36220500,3.30708700
11.25907661,-3.54330700,3.22834600
11.32307660,0.78740150,3.30708700
11.38707660,-0.39370070,3.30708700
11.45107660,-4.33070900,3.30708700
11.51507660,-1.57480300,3.22834600
11.57907660,-3.14960600,3.30708700
11.64307660,-3.93700800,3.30708700
11.70707659,-5.90551100,3.30708700
11.77107659,-0.39370070,3.30708700
11.83507659,-6.29921200,3.30708700
11.89907659,0.00000000,3.30708700
11.96307659,-2.36220500,3.30708700
12.02707658,-0.39370070,3.30708700
12.09107658,-6.69291300,3.30708700
12.15507658,0.39370070,3.30708700
12.21907658,-2.75590500,3.30708700
12.28307658,-2.75590500,3.30708700
12.34707658,-2.75590500,3.30708700
12.41107657,0.00000000,3.30708700
12.47507657,-2.36220500,3.30708700
12.53907657,-2.36220500,3.30708700
12.60307657,0.39370070,3.30708700
12.66707657,-4.72440900,3.30708700
12.73107656,-2.75590500,3.30708700
12.79507656,-5.11811000,3.30708700
12.85907656,-4.72440900,3.30708700
12.92307656,-9.44881800,3.30708700
12.98707656,-3.14960600,3.30708700
13.05107656,-8.66141700,3.30708700
13.11507655,-6.29921200,3.30708700
13.17907655,-9.05511800,3.30708700
13.24307655,-5.90551100,3.30708700
13.30707655,-10.62992000,3.30708700
13.37107655,-5.90551100,3.30708700
13.43507654,-8.66141700,3.22834600
13.49907654,-6.69291300,3.30708700
13.56307654,-8.66141700,3.30708700
13.62707654,-3.14960600,3.30708700
13.69107654,-7.48031400,3.30708700
13.75507654,-10.23622000,3.30708700
13.81907653,-2.75590500,3.30708700
13.88307653,-8.26771600,3.22834600
13.94707653,-6.29921200,3.30708700
14.01107653,-6.29921200,3.30708700
14.07507653,-3.93700800,3.30708700
14.13907652,-12.59842000,3.30708700
14.20307652,-3.14960600,3.30708700
14.26707652,-10.23622000,3.22834600
14.33107652,-9.05511800,3.30708700
14.39507652,-6.29921200,3.30708700
14.45907652,-2.36220500,3.30708700
14.52307651,-11.02362000,3.30708700
14.58707651,-3.14960600,3.30708700
14.65107651,-4.33070900,3.30708700
14.71507651,-8.26771600,3.30708700
14.77907651,-6.69291300,3.30708700
14.84307650,-4.33070900,3.22834600
14.90707650,-8.26771600,3.30708700
14.97107650,-5.11811000,3.30708700
15.03507650,-0.39370070,3.30708700
15.09907650,-7.08661400,3.30708700
15.16307650,-3.93700800,3.30708700
15.22707649,-4.72440900,3.30708700
15.29107649,-3.14960600,3.30708700
15.35507649,-10.23622000,3.30708700
15.41907649,-2.75590500,3.30708700
15.48307649,-9.44881800,3.30708700
15.54707648,-5.90551100,3.30708700
15.61107648,-9.44881800,3.22834600
15.67507648,-6.69291300,3.30708700
15.73907648,-11.81102000,3.30708700
15.80307648,-8.66141700,3.30708700
15.86707648,-8.26771600,3.22834600
15.93107647,-10.62992000,3.30708700
15.99507647,-9.44881800,3.22834600
16.05907647,-7.48031400,3.22834600
16.12307647,-7.87401500,3.30708700
16.18707647,-11.41732000,3.22834600
16.25107647,-7.08661400,3.22834600
16.31507646,-9.44881800,3.22834600
16.37907646,-7.87401500,3.30708700
16.44307646,-7.87401500,3.30708700
16.50707646,-2.36220500,3.30708700
16.57107646,-9.05511800,3.22834600
16.63507645,-1.96850400,3.30708700
16.69907645,-4.33070900,3.30708700
16.76307645,-5.90551100,3.22834600
16.82707645,-10.23622000,3.30708700
16.89107645,-2.75590500,3.30708700
16.95507645,-9.05511800,3.30708700
17.01907644,-6.69291300,3.30708700
17.08307644,-4.72440900,3.30708700
17.14707644,-7.08661400,3.30708700
17.21107644,-8.66141700,3.30708700
17.27507644,-5.90551100,3.22834600
17.33907643,-3.93700800,3.30708700
17.40307643,-10.62992000,3.30708700
17.46707643,-2.75590500,3.30708700
17.53107643,-5.11811000,3.30708700
17.59507643,-4.33070900,3.30708700
17.65907643,-8.26771600,3.30708700
17.72307642,-0.78740150,3.30708700
17.78707642,-9.05511800,3.30708700
17.85107642,-5.51181100,3.30708700
17.91507642,-5.11811000,3.30708700
17.97907642,-5.11811000,3.30708700
18.04307641,-9.84251900,3.30708700
18.10707641,-2.75590500,3.30708700
18.17107641,-8.66141700,3.30708700
18.23507641,-11.41732000,3.30708700
18.29907641,-8.26771600,3.30708700
18.36307641,-8.66141700,3.30708700
18.42707640,-12.99213000,3.30708700
18.49107640,-9.05511800,3.30708700
18.55507640,-5.90551100,3.30708700
18.61907640,-14.56693000,3.30708700
18.68307640,-5.51181100,3.22834600
18.74707639,-9.44881800,3.30708700
18.81107639,-9.84251900,3.22834600
18.87507639,-11.02362000,3.30708700
18.93907639,-2.75590500,3.30708700
19.00307639,-11.02362000,3.30708700
19.06707639,-3.93700800,3.30708700
19.13107638,-3.93700800,3.30708700
19.19507638,-3.93700800,3.30708700
19.25907638,-6.69291300,3.30708700
19.32307638,-3.14960600,3.30708700
19.38707638,-6.29921200,3.30708700
19.45107637,-7.87401500,3.30708700
19.51507637,-5.51181100,3.30708700
19.57907637,-7.48031400,3.30708700
19.64307637,-7.08661400,3.30708700
19.70707637,-7.08661400,3.30708700
19.77107637,-3.14960600,3.30708700
19.83507636,-9.84251900,3.22834600
19.89907636,-5.90551100,3.30708700
19.96307636,-6.69291300,3.30708700
20.02707636,-3.54330700,3.30708700
20.09107636,-9.05511800,3.30708700
20.15507635,-3.14960600,3.30708700
20.21907635,-7.08661400,3.30708700
20.28307635,-5.11811000,3.30708700
20.34707635,-8.26771600,3.30708700
20.41107635,-3.93700800,3.30708700
20.47507635,-10.62992000,3.30708700
20.53907634,-6.69291300,3.30708700
20.60307634,-3.14960600,3.30708700
20.66707634,-7.87401500,3.30708700
20.73107634,-7.48031400,3.30708700
20.79507634,-6.69291300,3.30708700
20.85907633,-8.26771600,3.30708700
20.92307633,-14.56693000,3.30708700
20.98707633,-6.29921200,3.30708700
21.05107633,-12.99213000,3.30708700
21.11507633,-9.44881800,3.22834600
21.17907633,-6.69291300,3.30708700
21.24307632,-6.29921200,3.22834600
21.30707632,-12.99213000,3.22834600
21.37107632,-4.72440900,3.30708700
21.43507632,-9.44881800,3.30708700
21.49907632,-9.05511800,3.30708700
21.56307631,-8.26771600,3.30708700
21.62707631,-4.33070900,3.22834600
21.69107631,-8.26771600,3.30708700
21.75507631,-3.93700800,3.30708700
