Time,Channel A,Channel B
(us),(mV),(V)

-0.02133333,-15.35433000,0.39370080
0.04266667,-3.54330700,3.22834600
0.10666666,-7.87401500,3.22834600
0.17066666,-6.29921200,3.22834600
0.23466666,-8.66141700,3.22834600
0.29866666,-3.14960600,3.22834600
0.36266666,-9.44881800,3.22834600
0.42666666,-3.14960600,3.30708700
0.49066665,-4.33070900,3.22834600
0.55466665,-3.14960600,3.22834600
0.61866665,-5.51181100,3.22834600
0.68266665,-2.75590500,3.22834600
0.74666665,-5.51181100,3.22834600
0.81066664,-7.48031400,3.22834600
0.87466664,-2.36220500,3.22834600
0.93866664,-7.08661400,3.22834600
1.00266664,-5.51181100,3.22834600
1.06666664,-5.90551100,3.22834600
1.13066664,-1.96850400,3.22834600
1.19466663,-9.84251900,3.22834600
1.25866663,-3.14960600,3.22834600
1.32266663,-5.11811000,3.22834600
1.38666663,-3.14960600,3.22834600
1.45066663,-5.11811000,3.30708700
1.51466662,-0.39370070,3.22834600
1.57866662,-5.51181100,3.22834600
1.64266662,-3.93700800,3.22834600
1.70666662,-3.93700800,3.22834600
1.77066662,-3.93700800,3.22834600
1.83466662,-6.69291300,3.22834600
1.89866661,-1.96850400,3.22834600
1.96266661,-0.39370070,3.22834600
2.02666661,-5.11811000,3.22834600
2.09066661,-1.57480300,3.22834600
2.15466661,-2.75590500,3.22834600
2.21866660,-4.33070900,3.30708700
2.28266660,-7.87401500,3.30708700
2.34666660,0.00000000,3.22834600
2.41066660,-9.44881800,3.22834600
2.47466660,-3.54330700,3.22834600
2.53866660,-2.75590500,3.22834600
2.60266659,-2.36220500,3.22834600
2.66666659,-7.87401500,3.22834600
2.73066659,0.78740150,3.22834600
2.79466659,-5.51181100,3.22834600
2.85866659,-5.90551100,3.22834600
2.92266658,-1.18110200,3.22834600
2.98666658,-3.14960600,3.22834600
3.05066658,-5.51181100,3.22834600
3.11466658,0.78740150,3.22834600
3.17866658,0.39370070,3.22834600
3.24266658,-6.69291300,3.22834600
3.30666657,0.78740150,3.30708700
3.37066657,-1.18110200,3.22834600
3.43466657,-3.54330700,3.30708700
3.49866657,-3.14960600,3.22834600
3.56266657,1.96850400,3.22834600
3.62666656,-6.69291300,3.30708700
3.69066656,-0.78740150,3.30708700
3.75466656,-4.33070900,3.22834600
3.81866656,-3.14960600,3.22834600
3.88266656,-7.87401500,3.22834600
3.94666656,0.78740150,3.30708700
4.01066655,-4.33070900,3.22834600
4.07466655,-2.36220500,3.30708700
4.13866655,-1.18110200,3.22834600
4.20266655,-1.57480300,3.30708700
4.26666655,-3.54330700,3.22834600
4.33066654,-5.11811000,3.22834600
4.39466654,-0.39370070,3.22834600
4.45866654,-6.69291300,3.30708700
4.52266654,-0.78740150,3.30708700
4.58666654,-2.75590500,3.22834600
4.65066654,-0.39370070,3.22834600
4.71466653,-6.29921200,3.30708700
4.77866653,1.18110200,3.22834600
4.84266653,-6.29921200,3.22834600
4.90666653,-5.51181100,3.30708700
4.97066653,-6.29921200,3.30708700
5.03466652,-2.75590500,3.22834600
5.09866652,-8.26771600,3.30708700
5.16266652,-2.36220500,3.22834600
5.22666652,-5.11811000,3.22834600
5.29066652,-5.90551100,3.22834600
5.35466652,-6.29921200,3.22834600
5.41866651,-3.54330700,3.22834600
5.48266651,-6.29921200,3.22834600
5.54666651,-7.08661400,3.22834600
5.61066651,0.00000000,3.22834600
5.67466651,-6.69291300,3.22834600
5.73866650,-2.36220500,3.30708700
5.80266650,-4.33070900,3.22834600
5.86666650,0.39370070,3.22834600
5.93066650,-8.26771600,3.30708700
5.99466650,1.18110200,3.30708700
6.05866650,-3.93700800,3.22834600
6.12266649,-2.36220500,3.30708700
6.18666649,-3.14960600,3.30708700
6.25066649,1.18110200,3.22834600
6.31466649,-7.08661400,3.30708700
6.37866649,-5.11811000,3.22834600
6.44266648,-2.36220500,3.30708700
6.50666648,-7.08661400,3.30708700
6.57066648,-4.33070900,3.30708700
6.63466648,-1.57480300,3.30708700
6.69866648,-2.75590500,3.30708700
6.76266648,-5.11811000,3.30708700
6.82666647,2.75590500,3.30708700
6.89066647,-5.51181100,3.30708700
6.95466647,-4.33070900,3.30708700
7.01866647,-3.54330700,3.30708700
7.08266647,-0.39370070,3.30708700
7.14666647,-8.26771600,3.30708700
7.21066646,2.75590500,3.30708700
7.27466646,-3.93700800,3.30708700
7.33866646,-2.36220500,3.30708700
7.40266646,-2.36220500,3.30708700
7.46666646,-1.96850400,3.30708700
7.53066645,-7.87401500,3.30708700
7.59466645,-3.93700800,3.30708700
7.65866645,-2.75590500,3.30708700
7.72266645,-7.87401500,3.30708700
7.78666645,-2.75590500,3.30708700
7.85066645,-5.51181100,3.30708700
7.91466644,-4.33070900,3.22834600
7.97866644,-8.66141700,3.22834600
8.04266644,-1.96850400,3.22834600
8.10666644,-6.69291300,3.30708700
8.17066644,-2.36220500,3.30708700
8.23466643,-3.54330700,3.22834600
8.29866643,-2.36220500,3.22834600
8.36266643,-6.69291300,3.30708700
8.42666643,-0.39370070,3.30708700
8.49066643,-3.54330700,3.22834600
8.55466643,-2.36220500,3.30708700
8.61866642,-4.72440900,3.22834600
8.68266642,0.00000000,3.30708700
8.74666642,-2.36220500,3.30708700
8.81066642,-1.96850400,3.30708700
8.87466642,0.39370070,3.30708700
8.93866641,-4.72440900,3.30708700
9.00266641,-4.72440900,3.30708700
9.06666641,-5.11811000,3.30708700
9.13066641,-2.36220500,3.30708700
9.19466641,-9.84251900,3.30708700
9.25866641,0.78740150,3.30708700
9.32266640,-3.54330700,3.30708700
9.38666640,-0.78740150,3.30708700
9.45066640,-3.14960600,3.30708700
9.51466640,1.96850400,3.30708700
9.57866640,-5.90551100,3.30708700
9.64266639,-1.57480300,3.30708700
9.70666639,-1.18110200,3.22834600
9.77066639,-2.75590500,3.30708700
9.83466639,-1.96850400,3.30708700
9.89866639,2.75590500,3.30708700
9.96266639,-0.78740150,3.30708700
10.02666638,-3.14960600,3.30708700
10.09066638,1.18110200,3.30708700
10.15466638,-2.36220500,3.30708700
10.21866638,-3.14960600,3.30708700
10.28266638,-2.75590500,3.30708700
10.34666637,0.78740150,3.30708700
10.41066637,-8.26771600,3.30708700
10.47466637,0.00000000,3.22834600
10.53866637,-4.33070900,3.30708700
10.60266637,-4.72440900,3.30708700
10.66666637,-7.48031400,3.30708700
10.73066636,2.75590500,3.30708700
10.79466636,-6.69291300,3.30708700
10.85866636,-1.96850400,3.30708700
10.92266636,0.39370070,3.22834600
10.98666636,-3.14960600,3.22834600
11.05066635,-4.33070900,3.30708700
11.11466635,0.39370070,3.22834600
11.17866635,-2.36220500,3.30708700
11.24266635,-6.29921200,3.30708700
11.30666635,4.33070900,3.30708700
11.37066635,-1.18110200,3.30708700
11.43466634,-1.18110200,3.30708700
11.49866634,0.00000000,3.30708700
11.56266634,1.57480300,3.30708700
11.62666634,-7.87401500,3.30708700
11.69066634,-1.57480300,3.30708700
11.75466633,-4.72440900,3.30708700
11.81866633,-4.33070900,3.30708700
11.88266633,-4.33070900,3.30708700
11.94666633,2.36220500,3.30708700
12.01066633,-4.72440900,3.30708700
12.07466633,-1.57480300,3.30708700
12.13866632,-1.57480300,3.30708700
12.20266632,-2.75590500,3.30708700
12.26666632,-4.33070900,3.30708700
12.33066632,-3.93700800,3.30708700
12.39466632,0.00000000,3.30708700
12.45866631,-4.33070900,3.30708700
12.52266631,0.78740150,3.30708700
12.58666631,-3.54330700,3.30708700
12.65066631,-0.39370070,3.30708700
12.71466631,-7.48031400,3.30708700
12.77866631,0.39370070,3.30708700
12.84266630,-7.08661400,3.30708700
12.90666630,-1.57480300,3.30708700
12.97066630,-2.36220500,3.22834600
13.03466630,1.18110200,3.30708700
13.09866630,-9.44881800,3.30708700
13.16266629,-3.54330700,3.22834600
13.22666629,-7.87401500,3.22834600
13.29066629,-8.26771600,3.30708700
13.35466629,-5.51181100,3.30708700
13.41866629,-5.51181100,3.22834600
13.48266629,-7.87401500,3.22834600
13.54666628,-3.93700800,3.22834600
13.61066628,-2.36220500,3.30708700
13.67466628,-9.44881800,3.22834600
13.73866628,-7.08661400,3.30708700
13.80266628,-6.69291300,3.30708700
13.86666628,-4.33070900,3.22834600
13.93066627,-10.23622000,3.22834600
13.99466627,-0.39370070,3.30708700
14.05866627,-7.87401500,3.22834600
14.12266627,-3.14960600,3.30708700
14.18666627,-5.51181100,3.30708700
14.25066626,-3.93700800,3.30708700
14.31466626,-9.84251900,3.22834600
14.37866626,-4.72440900,3.30708700
14.44266626,-7.48031400,3.30708700
14.50666626,-10.23622000,3.30708700
14.57066626,-5.51181100,3.30708700
14.63466625,-4.72440900,3.30708700
14.69866625,-6.69291300,3.30708700
14.76266625,-8.26771600,3.22834600
14.82666625,-2.75590500,3.30708700
14.89066625,-11.02362000,3.30708700
14.95466624,-4.72440900,3.30708700
15.01866624,-4.72440900,3.30708700
15.08266624,-4.72440900,3.30708700
15.14666624,-9.05511800,3.22834600
15.21066624,0.78740150,3.30708700
15.27466624,-9.44881800,3.30708700
15.33866623,-5.90551100,3.30708700
15.40266623,-6.69291300,3.30708700
15.46666623,-5.11811000,3.30708700
15.53066623,-3.93700800,3.30708700
15.59466623,-3.93700800,3.30708700
15.65866622,-7.08661400,3.30708700
15.72266622,-11.41732000,3.30708700
15.78666622,-6.29921200,3.30708700
15.85066622,-11.02362000,3.30708700
15.91466622,-9.84251900,3.30708700
15.97866622,-12.20472000,3.30708700
16.04266621,-4.72440900,3.30708700
16.10666621,-12.59842000,3.22834600
16.17066621,-6.69291300,3.30708700
16.23466621,-11.81102000,3.22834600
16.29866621,-7.48031400,3.22834600
16.36266620,-12.99213000,3.30708700
16.42666620,-6.69291300,3.22834600
16.49066620,-8.26771600,3.22834600
16.55466620,-7.08661400,3.22834600
16.61866620,-5.11811000,3.30708700
16.68266620,-1.96850400,3.30708700
16.74666619,-6.69291300,3.30708700
16.81066619,-6.69291300,3.30708700
16.87466619,-4.33070900,3.30708700
16.93866619,-7.48031400,3.30708700
17.00266619,-9.44881800,3.30708700
17.06666618,-7.48031400,3.30708700
17.13066618,-5.51181100,3.30708700
17.19466618,-13.77953000,3.30708700
17.25866618,-2.75590500,3.30708700
17.32266618,-9.05511800,3.30708700
17.38666618,-6.69291300,3.30708700
17.45066617,-9.44881800,3.22834600
17.51466617,-1.18110200,3.30708700
17.57866617,-10.23622000,3.30708700
17.64266617,-5.90551100,3.30708700
17.70666617,-3.93700800,3.22834600
17.77066616,-7.48031400,3.22834600
17.83466616,-7.48031400,3.30708700
17.89866616,-5.11811000,3.30708700
17.96266616,-6.69291300,3.30708700
18.02666616,-10.23622000,3.30708700
18.09066616,-2.36220500,3.30708700
18.15466615,-7.08661400,3.30708700
18.21866615,-7.48031400,3.30708700
18.28266615,-7.48031400,3.30708700
18.34666615,-4.33070900,3.30708700
18.41066615,-14.17323000,3.30708700
18.47466614,-8.26771600,3.30708700
18.53866614,-10.62992000,3.30708700
18.60266614,-11.02362000,3.30708700
18.66666614,-11.41732000,3.22834600
18.73066614,-3.54330700,3.30708700
18.79466614,-11.41732000,3.22834600
18.85866613,-7.48031400,3.30708700
18.92266613,-5.90551100,3.30708700
18.98666613,-9.84251900,3.30708700
19.05066613,-10.62992000,3.30708700
19.11466613,-6.29921200,3.30708700
19.17866612,-4.33070900,3.22834600
19.24266612,-9.84251900,3.22834600
19.30666612,-1.18110200,3.30708700
19.37066612,-6.69291300,3.22834600
19.43466612,-4.33070900,3.22834600
19.49866612,-7.87401500,3.30708700
19.56266611,-2.75590500,3.30708700
19.62666611,-10.62992000,3.30708700
19.69066611,-5.11811000,3.30708700
19.75466611,-7.08661400,3.30708700
19.81866611,-6.29921200,3.30708700
19.88266610,-9.44881800,3.22834600
19.94666610,-4.72440900,3.30708700
20.01066610,-6.69291300,3.30708700
20.07466610,-7.87401500,3.30708700
20.13866610,-7.48031400,3.30708700
20.20266610,-3.93700800,3.30708700
20.26666609,-5.11811000,3.30708700
20.33066609,-7.48031400,3.30708700
20.39466609,-1.96850400,3.30708700
20.45866609,-9.84251900,3.30708700
20.52266609,-6.69291300,3.30708700
20.58666608,-7.08661400,3.30708700
20.65066608,-3.93700800,3.30708700
20.71466608,-11.81102000,3.30708700
20.77866608,-0.78740150,3.30708700
20.84266608,-6.69291300,3.30708700
20.90666608,-6.69291300,3.30708700
20.97066607,-7.87401500,3.30708700
21.03466607,-6.29921200,3.30708700
21.09866607,-13.38583000,3.30708700
21.16266607,-8.66141700,3.30708700
21.22666607,-6.29921200,3.30708700
21.29066607,-12.59842000,3.30708700
21.35466606,-6.69291300,3.30708700
21.41866606,-6.69291300,3.30708700
21.48266606,-7.48031400,3.22834600
21.54666606,-11.41732000,3.30708700
21.61066606,-4.33070900,3.30708700
21.67466605,-11.02362000,3.22834600
