Time,Channel A,Channel B
(us),(mV),(V)

-0.01600000,-3.93700800,0.70866140
0.04800000,-6.29921200,3.22834600
0.11200000,-4.72440900,3.22834600
0.17600000,-9.84251900,3.22834600
0.23999999,-2.36220500,3.22834600
0.30399999,-3.54330700,3.22834600
0.36799999,-4.72440900,3.22834600
0.43199999,-5.11811000,3.22834600
0.49599999,1.57480300,3.22834600
0.55999999,-8.66141700,3.30708700
0.62399998,-2.36220500,3.22834600
0.68799998,-2.75590500,3.22834600
0.75199998,-3.54330700,3.22834600
0.81599998,-7.48031400,3.22834600
0.87999998,0.78740150,3.30708700
0.94399997,-8.26771600,3.22834600
1.00799997,-5.90551100,3.22834600
1.07199997,-1.96850400,3.22834600
1.13599997,-4.33070900,3.22834600
1.19999997,-5.90551100,3.22834600
1.26399997,-1.96850400,3.30708700
1.32799996,1.18110200,3.22834600
1.39199996,-5.90551100,3.22834600
1.45599996,0.78740150,3.30708700
1.51999996,-3.54330700,3.22834600
1.58399996,-2.36220500,3.22834600
1.64799995,-3.93700800,3.30708700
1.71199995,1.96850400,3.30708700
1.77599995,-4.33070900,3.22834600
1.83999995,1.18110200,3.30708700
1.90399995,0.00000000,3.30708700
1.96799995,1.18110200,3.22834600
2.03199994,-5.51181100,3.30708700
2.09599994,0.39370070,3.30708700
2.15999994,-3.14960600,3.30708700
2.22399994,-3.54330700,3.30708700
2.28799994,-2.36220500,3.22834600
2.35199993,-1.18110200,3.22834600
2.41599993,-4.72440900,3.22834600
2.47999993,-2.75590500,3.22834600
2.54399993,-0.78740150,3.22834600
2.60799993,-7.48031400,3.22834600
2.67199993,-0.78740150,3.22834600
2.73599992,-3.93700800,3.22834600
2.79999992,-1.57480300,3.30708700
2.86399992,-4.33070900,3.30708700
2.92799992,3.93700800,3.22834600
2.99199992,-3.54330700,3.22834600
3.05599991,0.78740150,3.22834600
3.11999991,-1.57480300,3.30708700
3.18399991,0.00000000,3.30708700
3.24799991,-3.93700800,3.30708700
3.31199991,0.78740150,3.30708700
3.37599991,-0.78740150,3.22834600
3.43999990,-2.36220500,3.30708700
3.50399990,-2.36220500,3.30708700
3.56799990,-2.36220500,3.30708700
3.63199990,-3.14960600,3.30708700
3.69599990,-5.90551100,3.30708700
3.75999990,-1.57480300,3.22834600
3.82399989,-3.54330700,3.30708700
3.88799989,-2.36220500,3.22834600
3.95199989,-1.18110200,3.30708700
4.01599989,0.39370070,3.22834600
4.07999989,-6.69291300,3.22834600
4.14399988,1.57480300,3.30708700
4.20799988,-3.54330700,3.30708700
4.27199988,-2.75590500,3.30708700
4.33599988,-2.75590500,3.30708700
4.39999988,3.93700800,3.30708700
4.46399988,-4.33070900,3.22834600
4.52799987,0.39370070,3.30708700
4.59199987,-1.18110200,3.30708700
4.65599987,-5.11811000,3.30708700
4.71999987,-3.93700800,3.30708700
4.78399987,-1.18110200,3.30708700
4.84799986,-5.90551100,3.30708700
4.91199986,-7.08661400,3.30708700
4.97599986,0.00000000,3.30708700
5.03999986,-7.08661400,3.30708700
5.10399986,-5.51181100,3.30708700
5.16799986,-5.11811000,3.30708700
5.23199985,-5.11811000,3.22834600
5.29599985,-9.05511800,3.30708700
5.35999985,-1.57480300,3.22834600
5.42399985,-5.51181100,3.22834600
5.48799985,-3.14960600,3.30708700
5.55199984,-3.93700800,3.22834600
5.61599984,1.18110200,3.30708700
5.67999984,-7.48031400,3.30708700
5.74399984,-1.57480300,3.30708700
5.80799984,-1.57480300,3.30708700
5.87199984,-2.36220500,3.30708700
5.93599983,-3.54330700,3.30708700
5.99999983,0.00000000,3.30708700
6.06399983,-1.96850400,3.30708700
6.12799983,-6.69291300,3.22834600
6.19199983,0.00000000,3.30708700
6.25599982,-5.90551100,3.30708700
6.31999982,-5.11811000,3.30708700
6.38399982,-5.11811000,3.30708700
6.44799982,1.96850400,3.30708700
6.51199982,-8.26771600,3.30708700
6.57599982,0.00000000,3.30708700
6.63999981,-3.54330700,3.30708700
6.70399981,-3.14960600,3.30708700
6.76799981,-5.11811000,3.30708700
6.83199981,-0.39370070,3.30708700
6.89599981,-4.33070900,3.30708700
6.95999980,-2.36220500,3.30708700
7.02399980,0.78740150,3.30708700
7.08799980,-1.57480300,3.30708700
7.15199980,-3.54330700,3.30708700
7.21599980,-2.36220500,3.30708700
7.27999980,-1.18110200,3.30708700
7.34399979,-5.90551100,3.30708700
7.40799979,-1.57480300,3.30708700
7.47199979,-4.33070900,3.30708700
7.53599979,-2.75590500,3.30708700
7.59999979,-7.48031400,3.30708700
7.66399978,0.00000000,3.22834600
7.72799978,-9.44881800,3.30708700
7.79199978,-5.11811000,3.30708700
7.85599978,-6.69291300,3.30708700
7.91999978,-2.75590500,3.22834600
7.98399978,-10.23622000,3.22834600
8.04799977,0.00000000,3.22834600
8.11199977,-2.75590500,3.22834600
8.17599977,-7.08661400,3.22834600
8.23999977,-1.18110200,3.30708700
8.30399977,-3.54330700,3.30708700
8.36799976,-5.11811000,3.22834600
8.43199976,-2.36220500,3.30708700
8.49599976,1.96850400,3.30708700
8.55999976,-7.08661400,3.30708700
8.62399976,-0.39370070,3.30708700
8.68799976,-1.18110200,3.30708700
8.75199975,-3.54330700,3.22834600
8.81599975,-7.08661400,3.30708700
8.87999975,0.00000000,3.30708700
8.94399975,-8.26771600,3.22834600
9.00799975,-3.93700800,3.30708700
9.07199974,-3.93700800,3.30708700
9.13599974,-2.36220500,3.30708700
9.19999974,-7.48031400,3.30708700
9.26399974,-1.18110200,3.30708700
9.32799974,-3.14960600,3.30708700
9.39199974,-3.93700800,3.30708700
9.45599973,-0.39370070,3.30708700
9.51999973,1.18110200,3.30708700
9.58399973,0.00000000,3.30708700
9.64799973,-2.75590500,3.30708700
9.71199973,3.54330700,3.30708700
9.77599972,-3.54330700,3.30708700
9.83999972,1.57480300,3.30708700
9.90399972,-0.78740150,3.30708700
9.96799972,1.57480300,3.30708700
10.03199972,-3.54330700,3.30708700
10.09599972,3.54330700,3.30708700
10.15999971,-3.14960600,3.30708700
10.22399971,-3.93700800,3.30708700
10.28799971,-3.93700800,3.30708700
10.35199971,-2.36220500,3.30708700
10.41599971,-7.08661400,3.30708700
10.47999970,-3.93700800,3.30708700
10.54399970,-3.14960600,3.30708700
10.60799970,-5.11811000,3.30708700
10.67199970,-2.75590500,3.22834600
10.73599970,-2.36220500,3.30708700
10.79999970,-4.72440900,3.30708700
10.86399969,-5.51181100,3.30708700
10.92799969,1.18110200,3.30708700
10.99199969,-3.93700800,3.30708700
11.05599969,0.39370070,3.30708700
11.11999969,-2.75590500,3.30708700
11.18399969,1.96850400,3.30708700
11.24799968,-5.11811000,3.30708700
11.31199968,0.39370070,3.30708700
11.37599968,-3.54330700,3.30708700
11.43999968,-2.75590500,3.30708700
11.50399968,-3.93700800,3.30708700
11.56799967,0.00000000,3.30708700
11.63199967,-4.72440900,3.30708700
11.69599967,-4.72440900,3.30708700
11.75999967,-0.39370070,3.30708700
11.82399967,-5.51181100,3.30708700
11.88799967,-5.51181100,3.30708700
11.95199966,-2.36220500,3.30708700
12.01599966,-1.57480300,3.30708700
12.07999966,-5.90551100,3.30708700
12.14399966,2.36220500,3.30708700
12.20799966,-3.54330700,3.30708700
12.27199965,-3.14960600,3.30708700
12.33599965,-2.75590500,3.30708700
12.39999965,0.00000000,3.30708700
12.46399965,-7.48031400,3.30708700
12.52799965,1.57480300,3.30708700
12.59199965,-1.57480300,3.30708700
12.65599964,-1.96850400,3.30708700
12.71999964,-2.75590500,3.30708700
12.78399964,-1.18110200,3.30708700
12.84799964,-8.26771600,3.30708700
12.91199964,-6.29921200,3.30708700
12.97599963,-3.93700800,3.30708700
13.03999963,-10.23622000,3.30708700
13.10399963,-5.51181100,3.30708700
13.16799963,-7.08661400,3.30708700
13.23199963,-6.29921200,3.30708700
13.29599963,-11.41732000,3.30708700
13.35999962,-4.33070900,3.22834600
13.42399962,-10.62992000,3.22834600
13.48799962,-6.29921200,3.30708700
13.55199962,-8.66141700,3.30708700
13.61599962,-2.36220500,3.30708700
13.67999961,-9.05511800,3.30708700
13.74399961,-7.08661400,3.30708700
13.80799961,-4.72440900,3.22834600
13.87199961,-7.48031400,3.30708700
13.93599961,-10.62992000,3.30708700
13.99999961,-4.33070900,3.30708700
14.06399960,-7.48031400,3.30708700
14.12799960,-9.05511800,3.30708700
14.19199960,-3.93700800,3.30708700
14.25599960,-7.08661400,3.30708700
14.31999960,-7.87401500,3.30708700
14.38399959,-7.87401500,3.30708700
14.44799959,-3.93700800,3.30708700
14.51199959,-12.99213000,3.30708700
14.57599959,-3.14960600,3.30708700
14.63999959,-7.08661400,3.30708700
14.70399959,-4.33070900,3.30708700
14.76799958,-9.05511800,3.30708700
14.83199958,-2.36220500,3.30708700
14.89599958,-8.66141700,3.30708700
14.95999958,-6.29921200,3.30708700
15.02399958,-4.33070900,3.30708700
15.08799957,-4.72440900,3.30708700
15.15199957,-5.90551100,3.30708700
15.21599957,-2.36220500,3.30708700
15.27999957,-3.54330700,3.30708700
15.34399957,-9.44881800,3.30708700
15.40799957,-4.72440900,3.30708700
15.47199956,-6.69291300,3.30708700
15.53599956,-9.44881800,3.30708700
15.59999956,-10.23622000,3.30708700
15.66399956,-3.14960600,3.30708700
15.72799956,-12.99213000,3.30708700
15.79199955,-7.48031400,3.30708700
15.85599955,-9.44881800,3.30708700
15.91999955,-10.62992000,3.30708700
15.98399955,-14.96063000,3.30708700
16.04799955,-3.14960600,3.30708700
16.11199955,-11.81102000,3.22834600
16.17599954,-9.44881800,3.30708700
16.23999954,-6.69291300,3.22834600
16.30399954,-6.69291300,3.30708700
16.36799954,-10.62992000,3.22834600
16.43199954,-6.69291300,3.30708700
16.49599953,-4.33070900,3.30708700
16.55999953,-10.62992000,3.30708700
16.62399953,-2.36220500,3.30708700
16.68799953,-5.51181100,3.30708700
16.75199953,-4.72440900,3.30708700
16.81599953,-6.69291300,3.30708700
16.87999952,-2.75590500,3.30708700
16.94399952,-9.84251900,3.30708700
17.00799952,-7.08661400,3.30708700
17.07199952,-7.87401500,3.30708700
17.13599952,-5.11811000,3.30708700
17.19999951,-9.44881800,3.30708700
17.26399951,-4.72440900,3.30708700
17.32799951,-7.08661400,3.30708700
17.39199951,-5.90551100,3.30708700
17.45599951,-7.08661400,3.30708700
17.51999951,-3.54330700,3.30708700
17.58399950,-6.69291300,3.30708700
17.64799950,-6.29921200,3.30708700
17.71199950,-0.78740150,3.30708700
17.77599950,-6.69291300,3.30708700
17.83999950,-4.72440900,3.30708700
17.90399949,-5.90551100,3.30708700
17.96799949,-3.93700800,3.30708700
18.03199949,-11.41732000,3.30708700
18.09599949,-1.96850400,3.30708700
18.15999949,-9.44881800,3.30708700
18.22399949,-7.48031400,3.30708700
18.28799948,-7.87401500,3.30708700
18.35199948,-6.29921200,3.30708700
18.41599948,-13.77953000,3.30708700
18.47999948,-7.48031400,3.30708700
18.54399948,-9.44881800,3.30708700
18.60799948,-12.99213000,3.30708700
18.67199947,-9.05511800,3.30708700
18.73599947,-6.69291300,3.30708700
18.79999947,-9.05511800,3.30708700
18.86399947,-7.48031400,3.30708700
18.92799947,-4.33070900,3.30708700
18.99199946,-9.44881800,3.30708700
19.05599946,-5.51181100,3.30708700
19.11999946,-4.33070900,3.30708700
19.18399946,-1.96850400,3.30708700
19.24799946,-8.66141700,3.30708700
19.31199946,0.00000000,3.30708700
19.37599945,-6.69291300,3.30708700
19.43999945,-5.11811000,3.30708700
19.50399945,-8.66141700,3.30708700
19.56799945,-3.54330700,3.30708700
19.63199945,-10.62992000,3.30708700
19.69599944,-4.72440900,3.30708700
19.75999944,-3.54330700,3.30708700
19.82399944,-7.87401500,3.30708700
19.88799944,-6.29921200,3.30708700
19.95199944,-3.93700800,3.30708700
20.01599944,-7.08661400,3.30708700
20.07999943,-8.66141700,3.30708700
20.14399943,-1.57480300,3.30708700
20.20799943,-6.69291300,3.30708700
20.27199943,-3.54330700,3.30708700
20.33599943,-4.33070900,3.30708700
20.39999942,-3.93700800,3.30708700
20.46399942,-10.62992000,3.30708700
20.52799942,-1.57480300,3.30708700
20.59199942,-7.08661400,3.30708700
20.65599942,-5.90551100,3.30708700
20.71999942,-6.69291300,3.30708700
20.78399941,-1.96850400,3.30708700
20.84799941,-10.23622000,3.30708700
20.91199941,-7.08661400,3.30708700
20.97599941,-8.66141700,3.30708700
21.03999941,-10.23622000,3.30708700
21.10399940,-10.23622000,3.30708700
21.16799940,-8.26771600,3.30708700
21.23199940,-7.87401500,3.30708700
21.29599940,-11.81102000,3.30708700
21.35999940,-3.14960600,3.30708700
21.42399940,-7.87401500,3.30708700
21.48799939,-6.69291300,3.30708700
21.55199939,-10.23622000,3.30708700
21.61599939,-1.18110200,3.30708700
21.67999939,-9.84251900,3.30708700
21.74399939,-3.93700800,3.30708700
