Time,Channel A,Channel B
(us),(mV),(V)

-0.02789743,-2.36220500,0.00000000
0.03610256,-7.87401500,3.07086600
0.10010256,-5.11811000,3.22834600
0.16410256,-7.48031400,3.22834600
0.22810256,-7.08661400,3.22834600
0.29210256,-8.26771600,3.22834600
0.35610255,-3.14960600,3.22834600
0.42010255,-8.26771600,3.22834600
0.48410255,-4.33070900,3.22834600
0.54810255,-2.36220500,3.30708700
0.61210255,-3.93700800,3.22834600
0.67610255,-3.93700800,3.22834600
0.74010254,-1.18110200,3.30708700
0.80410254,-1.57480300,3.22834600
0.86810254,-6.69291300,3.30708700
0.93210254,-0.39370070,3.22834600
0.99610254,-4.33070900,3.30708700
1.06010254,-3.54330700,3.22834600
1.12410253,-6.29921200,3.30708700
1.18810253,0.00000000,3.22834600
1.25210253,-9.44881800,3.22834600
1.31610253,-5.11811000,3.22834600
1.38010253,-5.51181100,3.22834600
1.44410252,-7.48031400,3.22834600
1.50810252,-9.44881800,3.22834600
1.57210252,-2.75590500,3.22834600
1.63610252,-4.72440900,3.22834600
1.70010252,-7.08661400,3.22834600
1.76410252,-3.93700800,3.22834600
1.82810251,-3.54330700,3.22834600
1.89210251,-4.33070900,3.22834600
1.95610251,-1.57480300,3.22834600
2.02010251,1.96850400,3.22834600
2.08410251,-3.54330700,3.30708700
2.14810250,2.36220500,3.22834600
2.21210250,-1.96850400,3.22834600
2.27610250,-0.39370070,3.22834600
2.34010250,-5.90551100,3.22834600
2.40410250,1.18110200,3.22834600
2.46810250,-4.72440900,3.30708700
2.53210249,-1.57480300,3.30708700
2.59610249,-3.14960600,3.30708700
2.66010249,0.00000000,3.22834600
2.72410249,-4.72440900,3.22834600
2.78810249,-3.93700800,3.30708700
2.85210248,-2.36220500,3.22834600
2.91610248,-5.11811000,3.22834600
2.98010248,-0.78740150,3.30708700
3.04410248,-0.39370070,3.30708700
3.10810248,0.78740150,3.30708700
3.17210248,-5.11811000,3.22834600
3.23610247,2.75590500,3.22834600
3.30010247,-3.54330700,3.22834600
3.36410247,-3.14960600,3.22834600
3.42810247,-0.39370070,3.30708700
3.49210247,2.75590500,3.22834600
3.55610246,-4.72440900,3.30708700
3.62010246,1.96850400,3.30708700
3.68410246,-1.57480300,3.30708700
3.74810246,-5.51181100,3.30708700
3.81210246,-4.72440900,3.22834600
3.87610246,-1.18110200,3.22834600
3.94010245,-8.66141700,3.22834600
4.00410245,-6.29921200,3.30708700
4.06810245,-2.75590500,3.22834600
4.13210245,-8.66141700,3.30708700
4.19610245,-4.72440900,3.30708700
4.26010244,-5.11811000,3.22834600
4.32410244,-3.54330700,3.22834600
4.38810244,-11.41732000,3.22834600
4.45210244,-0.78740150,3.22834600
4.51610244,-8.26771600,3.22834600
4.58010244,-4.33070900,3.22834600
4.64410243,-2.75590500,3.30708700
4.70810243,0.39370070,3.22834600
4.77210243,-5.51181100,3.30708700
4.83610243,-3.54330700,3.30708700
4.90010243,-1.96850400,3.30708700
4.96410242,-4.33070900,3.22834600
5.02810242,-4.33070900,3.30708700
5.09210242,-1.57480300,3.30708700
5.15610242,-2.36220500,3.30708700
5.22010242,-5.11811000,3.30708700
5.28410242,-1.57480300,3.30708700
5.34810241,-5.90551100,3.22834600
5.41210241,-5.11811000,3.30708700
5.47610241,-5.51181100,3.30708700
5.54010241,-1.96850400,3.22834600
5.60410241,-6.69291300,3.22834600
5.66810240,0.00000000,3.30708700
5.73210240,-2.75590500,3.22834600
5.79610240,-1.96850400,3.22834600
5.86010240,-5.51181100,3.30708700
5.92410240,-0.39370070,3.30708700
5.98810240,-4.72440900,3.30708700
6.05210239,-0.39370070,3.30708700
6.11610239,0.39370070,3.30708700
6.18010239,-1.18110200,3.30708700
6.24410239,-1.18110200,3.22834600
6.30810239,-1.96850400,3.30708700
6.37210238,-1.57480300,3.30708700
6.43610238,-6.69291300,3.30708700
6.50010238,-2.36220500,3.30708700
6.56410238,-3.93700800,3.30708700
6.62810238,-3.14960600,3.30708700
6.69210238,-7.87401500,3.22834600
6.75610237,-3.54330700,3.22834600
6.82010237,-7.87401500,3.30708700
6.88410237,-6.69291300,3.30708700
6.94810237,-5.90551100,3.30708700
7.01210237,-4.72440900,3.22834600
7.07610236,-8.66141700,3.30708700
7.14010236,-3.14960600,3.22834600
7.20410236,-3.54330700,3.30708700
7.26810236,-4.72440900,3.30708700
7.33210236,-3.54330700,3.30708700
7.39610236,-0.78740150,3.30708700
7.46010235,-5.51181100,3.22834600
7.52410235,-3.93700800,3.30708700
7.58810235,0.78740150,3.22834600
7.65210235,-6.29921200,3.22834600
7.71610235,-0.39370070,3.30708700
7.78010234,-1.96850400,3.30708700
7.84410234,-2.36220500,3.30708700
7.90810234,-7.48031400,3.30708700
7.97210234,-0.39370070,3.30708700
8.03610234,-6.29921200,3.30708700
8.10010234,-4.33070900,3.30708700
8.16410233,-3.93700800,3.30708700
8.22810233,-1.96850400,3.30708700
8.29210233,-5.51181100,3.30708700
8.35610233,-0.78740150,3.30708700
8.42010233,-3.54330700,3.30708700
8.48410233,-5.11811000,3.30708700
8.54810232,-2.36220500,3.30708700
8.61210232,-1.18110200,3.22834600
8.67610232,-1.57480300,3.30708700
8.74010232,-1.96850400,3.30708700
8.80410232,1.96850400,3.30708700
8.86810231,-4.33070900,3.30708700
8.93210231,-1.57480300,3.30708700
8.99610231,-4.33070900,3.30708700
9.06010231,-1.18110200,3.30708700
9.12410231,-6.69291300,3.30708700
9.18810231,0.78740150,3.30708700
9.25210230,-4.33070900,3.30708700
9.31610230,-3.54330700,3.30708700
9.38010230,-4.33070900,3.30708700
9.44410230,-1.57480300,3.30708700
9.50810230,-6.69291300,3.22834600
9.57210229,-3.93700800,3.22834600
9.63610229,0.39370070,3.30708700
9.70010229,-5.11811000,3.30708700
9.76410229,-1.18110200,3.30708700
9.82810229,-0.78740150,3.30708700
9.89210229,-1.18110200,3.22834600
9.95610228,-4.33070900,3.30708700
10.02010228,1.96850400,3.30708700
10.08410228,-1.57480300,3.30708700
10.14810228,0.00000000,3.30708700
10.21210228,-0.78740150,3.30708700
10.27610227,2.75590500,3.30708700
10.34010227,-3.93700800,3.30708700
10.40410227,0.00000000,3.30708700
10.46810227,-1.96850400,3.30708700
10.53210227,-0.78740150,3.30708700
10.59610227,-5.51181100,3.30708700
10.66010226,-0.39370070,3.30708700
10.72410226,-2.36220500,3.30708700
10.78810226,-4.72440900,3.30708700
10.85210226,-1.18110200,3.30708700
10.91610226,-3.54330700,3.22834600
10.98010225,-3.54330700,3.30708700
11.04410225,-2.36220500,3.30708700
11.10810225,3.54330700,3.30708700
11.17210225,-4.72440900,3.30708700
11.23610225,1.96850400,3.30708700
11.30010225,0.00000000,3.30708700
11.36410224,-0.78740150,3.30708700
11.42810224,-2.75590500,3.30708700
11.49210224,3.54330700,3.30708700
11.55610224,-3.14960600,3.30708700
11.62010224,-0.78740150,3.30708700
11.68410223,2.36220500,3.30708700
11.74810223,-1.57480300,3.30708700
11.81210223,-4.72440900,3.30708700
11.87610223,-0.39370070,3.30708700
11.94010223,-3.93700800,3.30708700
12.00410223,-7.87401500,3.30708700
12.06810222,-2.75590500,3.30708700
12.13210222,-6.29921200,3.30708700
12.19610222,-6.69291300,3.22834600
12.26010222,-4.72440900,3.30708700
12.32410222,-1.18110200,3.30708700
12.38810221,-10.62992000,3.30708700
12.45210221,-4.33070900,3.30708700
12.51610221,-3.54330700,3.22834600
12.58010221,-2.75590500,3.30708700
12.64410221,-8.26771600,3.30708700
12.70810221,1.18110200,3.30708700
12.77210220,-2.36220500,3.30708700
12.83610220,-5.90551100,3.30708700
12.90010220,-3.14960600,3.30708700
12.96410220,-2.75590500,3.30708700
13.02810220,-6.29921200,3.30708700
13.09210219,-5.11811000,3.30708700
13.15610219,-1.18110200,3.30708700
13.22010219,-7.08661400,3.30708700
13.28410219,-4.72440900,3.30708700
13.34810219,-5.90551100,3.30708700
13.41210219,-6.69291300,3.30708700
13.47610218,-10.62992000,3.30708700
13.54010218,-5.51181100,3.30708700
13.60410218,-8.26771600,3.30708700
13.66810218,-5.11811000,3.30708700
13.73210218,-5.90551100,3.30708700
13.79610217,-2.36220500,3.30708700
13.86010217,-9.44881800,3.30708700
13.92410217,-3.54330700,3.30708700
13.98810217,-7.08661400,3.30708700
14.05210217,-7.08661400,3.30708700
14.11610217,-6.69291300,3.30708700
14.18010216,-2.75590500,3.30708700
14.24410216,-3.54330700,3.30708700
14.30810216,-6.69291300,3.30708700
14.37210216,-1.57480300,3.30708700
14.43610216,-6.29921200,3.30708700
14.50010215,-5.90551100,3.30708700
14.56410215,-8.26771600,3.30708700
14.62810215,-4.72440900,3.30708700
14.69210215,-13.38583000,3.30708700
14.75610215,-5.51181100,3.30708700
14.82010215,-8.26771600,3.30708700
14.88410214,-10.23622000,3.30708700
14.94810214,-10.23622000,3.30708700
15.01210214,-5.51181100,3.30708700
15.07610214,-10.62992000,3.22834600
15.14010214,-8.66141700,3.30708700
15.20410214,-5.51181100,3.30708700
15.26810213,-7.08661400,3.30708700
15.33210213,-9.84251900,3.22834600
15.39610213,-2.75590500,3.30708700
15.46010213,-7.48031400,3.30708700
15.52410213,-12.20472000,3.30708700
15.58810212,-2.75590500,3.30708700
15.65210212,-8.26771600,3.30708700
15.71610212,-6.69291300,3.30708700
15.78010212,-5.90551100,3.30708700
15.84410212,-3.14960600,3.30708700
15.90810212,-11.41732000,3.30708700
15.97210211,-5.51181100,3.30708700
16.03610211,-10.23622000,3.30708700
16.10010211,-8.26771600,3.30708700
16.16410211,-10.23622000,3.30708700
16.22810211,-6.69291300,3.30708700
16.29210210,-9.05511800,3.30708700
16.35610210,-8.66141700,3.30708700
16.42010210,-5.90551100,3.22834600
16.48410210,-7.08661400,3.30708700
16.54810210,-7.48031400,3.30708700
16.61210210,-5.90551100,3.30708700
16.67610209,-3.14960600,3.30708700
16.74010209,-5.11811000,3.30708700
16.80410209,-2.36220500,3.30708700
16.86810209,-3.93700800,3.30708700
16.93210209,-3.93700800,3.30708700
16.99610208,-6.69291300,3.30708700
17.06010208,-2.36220500,3.30708700
17.12410208,-9.44881800,3.30708700
17.18810208,-6.29921200,3.30708700
17.25210208,-7.48031400,3.30708700
17.31610208,-4.33070900,3.30708700
17.38010207,-10.62992000,3.30708700
17.44410207,-5.90551100,3.30708700
17.50810207,-10.62992000,3.30708700
17.57210207,-10.23622000,3.30708700
17.63610207,-8.26771600,3.30708700
17.70010206,-10.62992000,3.30708700
17.76410206,-8.26771600,3.30708700
17.82810206,-9.44881800,3.30708700
17.89210206,-6.29921200,3.30708700
17.95610206,-10.62992000,3.30708700
18.02010206,-8.66141700,3.22834600
18.08410205,-9.05511800,3.30708700
18.14810205,-5.11811000,3.22834600
18.21210205,-12.20472000,3.30708700
18.27610205,-3.93700800,3.30708700
18.34010205,-7.87401500,3.30708700
18.40410204,-6.69291300,3.30708700
18.46810204,-7.87401500,3.30708700
18.53210204,-5.51181100,3.30708700
18.59610204,-12.20472000,3.30708700
18.66010204,-8.26771600,3.30708700
18.72410204,-7.48031400,3.30708700
18.78810203,-10.23622000,3.30708700
18.85210203,-9.44881800,3.30708700
18.91610203,-5.51181100,3.30708700
18.98010203,-7.08661400,3.30708700
19.04410203,-10.62992000,3.30708700
19.10810202,-1.57480300,3.30708700
19.17210202,-9.05511800,3.30708700
19.23610202,-4.33070900,3.30708700
19.30010202,-4.72440900,3.30708700
19.36410202,-1.96850400,3.30708700
19.42810202,-9.84251900,3.30708700
19.49210201,-1.18110200,3.30708700
19.55610201,-7.08661400,3.30708700
19.62010201,-7.48031400,3.30708700
19.68410201,-5.11811000,3.30708700
19.74810201,-2.36220500,3.30708700
19.81210200,-6.29921200,3.30708700
19.87610200,-4.72440900,3.30708700
19.94010200,-5.51181100,3.30708700
20.00410200,-9.44881800,3.30708700
20.06810200,-8.66141700,3.30708700
20.13210200,-9.05511800,3.30708700
20.19610199,-10.62992000,3.30708700
20.26010199,-11.81102000,3.30708700
20.32410199,-6.29921200,3.30708700
20.38810199,-12.59842000,3.30708700
20.45210199,-8.26771600,3.30708700
20.51610198,-11.41732000,3.30708700
20.58010198,-7.87401500,3.22834600
20.64410198,-12.20472000,3.30708700
20.70810198,-7.87401500,3.30708700
20.77210198,-7.48031400,3.30708700
20.83610198,-6.69291300,3.30708700
20.90010197,-11.02362000,3.30708700
20.96410197,-3.54330700,3.30708700
21.02810197,-9.84251900,3.30708700
21.09210197,-11.41732000,3.30708700
21.15610197,-5.90551100,3.30708700
21.22010196,-7.48031400,3.30708700
21.28410196,-7.87401500,3.30708700
21.34810196,-7.08661400,3.30708700
21.41210196,-3.54330700,3.30708700
21.47610196,-10.23622000,3.30708700
21.54010196,-5.51181100,3.30708700
21.60410195,-7.87401500,3.30708700
21.66810195,-7.87401500,3.22834600
