Time,Channel A,Channel B
(us),(mV),(V)

-0.02653658,-11.02362000,0.00000000
0.03746341,-2.36220500,3.22834600
0.10146341,-10.62992000,3.22834600
0.16546341,-9.05511800,3.22834600
0.22946341,-9.44881800,3.22834600
0.29346341,-3.54330700,3.22834600
0.35746340,-9.05511800,3.22834600
0.42146340,-3.93700800,3.30708700
0.48546340,-3.54330700,3.22834600
0.54946340,-6.69291300,3.22834600
0.61346340,-3.93700800,3.22834600
0.67746340,-4.33070900,3.22834600
0.74146339,-4.33070900,3.22834600
0.80546339,-7.08661400,3.22834600
0.86946339,1.57480300,3.22834600
0.93346339,-5.90551100,3.22834600
0.99746339,-3.14960600,3.22834600
1.06146339,-3.54330700,3.22834600
1.12546338,-2.75590500,3.22834600
1.18946338,-8.66141700,3.22834600
1.25346338,-1.57480300,3.30708700
1.31746338,-4.72440900,3.22834600
1.38146338,-5.51181100,3.22834600
1.44546337,-3.54330700,3.22834600
1.50946337,-1.18110200,3.22834600
1.57346337,-7.48031400,3.22834600
1.63746337,-3.14960600,3.22834600
1.70146337,0.00000000,3.22834600
1.76546337,-3.93700800,3.30708700
1.82946336,-1.96850400,3.22834600
1.89346336,0.78740150,3.22834600
1.95746336,0.00000000,3.30708700
2.02146336,-2.75590500,3.22834600
2.08546336,4.33070900,3.22834600
2.14946335,-3.93700800,3.22834600
2.21346335,-0.78740150,3.22834600
2.27746335,-1.96850400,3.22834600
2.34146335,1.57480300,3.22834600
2.40546335,-5.90551100,3.22834600
2.46946335,0.39370070,3.30708700
2.53346334,-3.14960600,3.22834600
2.59746334,-4.33070900,3.22834600
2.66146334,-5.51181100,3.22834600
2.72546334,-4.33070900,3.22834600
2.78946334,-5.90551100,3.22834600
2.85346333,-4.33070900,3.30708700
2.91746333,-1.57480300,3.22834600
2.98146333,-2.75590500,3.22834600
3.04546333,-3.93700800,3.22834600
3.10946333,-1.96850400,3.22834600
3.17346333,-1.18110200,3.22834600
3.23746332,-6.69291300,3.22834600
3.30146332,-0.39370070,3.22834600
3.36546332,-2.75590500,3.22834600
3.42946332,-0.78740150,3.30708700
3.49346332,-4.33070900,3.22834600
3.55746331,3.54330700,3.22834600
3.62146331,-5.11811000,3.30708700
3.68546331,-1.57480300,3.22834600
3.74946331,-1.96850400,3.22834600
3.81346331,-4.33070900,3.30708700
3.87746331,-6.69291300,3.30708700
3.94146330,1.18110200,3.30708700
4.00546330,-3.54330700,3.22834600
4.06946330,-7.08661400,3.30708700
4.13346330,0.00000000,3.30708700
4.19746330,-4.33070900,3.22834600
4.26146329,-3.93700800,3.30708700
4.32546329,-2.75590500,3.30708700
4.38946329,0.00000000,3.22834600
4.45346329,-6.69291300,3.30708700
4.51746329,2.75590500,3.30708700
4.58146329,-1.57480300,3.30708700
4.64546328,-2.75590500,3.30708700
4.70946328,-3.54330700,3.30708700
4.77346328,1.18110200,3.22834600
4.83746328,-6.69291300,3.30708700
4.90146328,-1.57480300,3.30708700
4.96546327,-2.36220500,3.30708700
5.02946327,-2.75590500,3.22834600
5.09346327,-5.11811000,3.30708700
5.15746327,-1.96850400,3.30708700
5.22146327,-5.90551100,3.22834600
5.28546327,-7.48031400,3.30708700
5.34946326,-4.33070900,3.30708700
5.41346326,-8.26771600,3.22834600
5.47746326,-4.72440900,3.22834600
5.54146326,-5.90551100,3.30708700
5.60546326,-1.18110200,3.22834600
5.66946325,-8.26771600,3.30708700
5.73346325,-0.78740150,3.22834600
5.79746325,-7.08661400,3.22834600
5.86146325,-4.33070900,3.22834600
5.92546325,-5.11811000,3.22834600
5.98946325,-0.78740150,3.30708700
6.05346324,-4.72440900,3.22834600
6.11746324,-2.75590500,3.30708700
6.18146324,-0.78740150,3.22834600
6.24546324,-2.75590500,3.22834600
6.30946324,-5.51181100,3.30708700
6.37346323,-2.36220500,3.30708700
6.43746323,-2.36220500,3.30708700
6.50146323,-5.11811000,3.30708700
6.56546323,-0.78740150,3.30708700
6.62946323,-4.33070900,3.30708700
6.69346323,-4.72440900,3.30708700
6.75746322,-6.29921200,3.30708700
6.82146322,-1.18110200,3.22834600
6.88546322,-9.05511800,3.30708700
6.94946322,-2.36220500,3.30708700
7.01346322,-2.75590500,3.30708700
7.07746321,-0.78740150,3.30708700
7.14146321,-4.72440900,3.30708700
7.20546321,1.57480300,3.30708700
7.26946321,-3.93700800,3.30708700
7.33346321,-3.54330700,3.30708700
7.39746321,-1.57480300,3.30708700
7.46146320,-3.14960600,3.30708700
7.52546320,-4.33070900,3.30708700
7.58946320,-2.36220500,3.30708700
7.65346320,0.00000000,3.30708700
7.71746320,-5.90551100,3.30708700
7.78146319,-1.96850400,3.30708700
7.84546319,-4.33070900,3.30708700
7.90946319,-5.90551100,3.30708700
7.97346319,-9.05511800,3.30708700
8.03746319,-2.75590500,3.22834600
8.10146319,-8.66141700,3.30708700
8.16546318,-5.11811000,3.30708700
8.22946318,-3.93700800,3.30708700
8.29346318,-4.72440900,3.30708700
8.35746318,-9.05511800,3.30708700
8.42146318,-1.57480300,3.22834600
8.48546318,-5.51181100,3.22834600
8.54946317,-5.90551100,3.30708700
8.61346317,-2.36220500,3.30708700
8.67746317,-1.18110200,3.30708700
8.74146317,-5.90551100,3.30708700
8.80546317,-3.14960600,3.30708700
8.86946316,0.00000000,3.30708700
8.93346316,-9.44881800,3.30708700
8.99746316,-1.96850400,3.22834600
9.06146316,-3.54330700,3.30708700
9.12546316,-3.54330700,3.30708700
9.18946316,-5.90551100,3.30708700
9.25346315,1.96850400,3.30708700
9.31746315,-6.29921200,3.30708700
9.38146315,-3.93700800,3.30708700
9.44546315,-3.14960600,3.30708700
9.50946315,-2.36220500,3.30708700
9.57346314,-4.72440900,3.30708700
9.63746314,1.57480300,3.30708700
9.70146314,-0.78740150,3.30708700
9.76546314,-0.78740150,3.30708700
9.82946314,1.57480300,3.30708700
9.89346314,0.78740150,3.30708700
9.95746313,-0.78740150,3.30708700
10.02146313,-1.96850400,3.30708700
10.08546313,1.57480300,3.30708700
10.14946313,-2.36220500,3.30708700
10.21346313,1.57480300,3.30708700
10.27746312,-2.36220500,3.30708700
10.34146312,2.36220500,3.22834600
10.40546312,-5.11811000,3.30708700
10.46946312,0.00000000,3.30708700
10.53346312,-6.29921200,3.30708700
10.59746312,-4.72440900,3.30708700
10.66146311,-6.29921200,3.30708700
10.72546311,-1.96850400,3.30708700
10.78946311,-5.90551100,3.30708700
10.85346311,-4.33070900,3.30708700
10.91746311,-2.75590500,3.30708700
10.98146310,-5.90551100,3.30708700
11.04546310,-3.54330700,3.22834600
11.10946310,-3.14960600,3.30708700
11.17346310,-3.14960600,3.30708700
11.23746310,-4.72440900,3.22834600
11.30146310,1.96850400,3.30708700
11.36546309,-4.33070900,3.30708700
11.42946309,-3.14960600,3.30708700
11.49346309,-2.75590500,3.30708700
11.55746309,-1.18110200,3.22834600
11.62146309,-8.26771600,3.30708700
11.68546308,1.18110200,3.30708700
11.74946308,-3.93700800,3.30708700
11.81346308,-2.36220500,3.30708700
11.87746308,-2.36220500,3.30708700
11.94146308,-1.18110200,3.30708700
12.00546308,-9.05511800,3.30708700
12.06946307,-4.33070900,3.30708700
12.13346307,-2.36220500,3.30708700
12.19746307,-7.87401500,3.30708700
12.26146307,-2.36220500,3.30708700
12.32546307,-2.36220500,3.30708700
12.38946306,-1.96850400,3.30708700
12.45346306,-4.72440900,3.30708700
12.51746306,1.96850400,3.30708700
12.58146306,-5.90551100,3.30708700
12.64546306,-1.96850400,3.30708700
12.70946306,-2.75590500,3.30708700
12.77346305,-1.18110200,3.30708700
12.83746305,-6.29921200,3.30708700
12.90146305,0.00000000,3.30708700
12.96546305,-3.93700800,3.30708700
13.02946305,-5.51181100,3.30708700
13.09346304,-6.29921200,3.30708700
13.15746304,-4.72440900,3.30708700
13.22146304,-9.84251900,3.30708700
13.28546304,-8.26771600,3.30708700
13.34946304,-5.90551100,3.30708700
13.41346304,-10.62992000,3.30708700
13.47746303,-9.05511800,3.30708700
13.54146303,-9.44881800,3.30708700
13.60546303,-8.26771600,3.22834600
13.66946303,-14.17323000,3.22834600
13.73346303,-3.93700800,3.30708700
13.79746302,-9.84251900,3.30708700
13.86146302,-9.44881800,3.22834600
13.92546302,-8.66141700,3.30708700
13.98946302,-5.11811000,3.22834600
14.05346302,-12.20472000,3.30708700
14.11746302,-6.29921200,3.30708700
14.18146301,-7.08661400,3.22834600
14.24546301,-8.66141700,3.30708700
14.30946301,-6.69291300,3.30708700
14.37346301,-3.14960600,3.30708700
14.43746301,-5.11811000,3.30708700
14.50146300,-8.26771600,3.30708700
14.56546300,-3.93700800,3.30708700
14.62946300,-9.05511800,3.30708700
14.69346300,-9.05511800,3.30708700
14.75746300,-9.84251900,3.30708700
14.82146300,-5.51181100,3.22834600
14.88546299,-11.41732000,3.30708700
14.94946299,-3.54330700,3.30708700
15.01346299,-6.29921200,3.30708700
15.07746299,-5.11811000,3.30708700
15.14146299,-8.66141700,3.30708700
15.20546299,-0.78740150,3.30708700
15.26946298,-8.66141700,3.30708700
15.33346298,-6.29921200,3.30708700
15.39746298,-4.33070900,3.30708700
15.46146298,-5.11811000,3.30708700
15.52546298,-7.08661400,3.30708700
15.58946297,-5.11811000,3.30708700
15.65346297,-5.11811000,3.30708700
15.71746297,-12.20472000,3.30708700
15.78146297,-3.93700800,3.30708700
15.84546297,-8.66141700,3.30708700
15.90946297,-9.44881800,3.30708700
15.97346296,-10.62992000,3.30708700
16.03746296,-4.72440900,3.30708700
16.10146296,-14.56693000,3.30708700
16.16546296,-9.44881800,3.30708700
16.22946296,-10.62992000,3.30708700
16.29346295,-11.81102000,3.30708700
16.35746295,-11.81102000,3.30708700
16.42146295,-4.33070900,3.30708700
16.48546295,-9.84251900,3.22834600
16.54946295,-7.48031400,3.30708700
16.61346295,-3.93700800,3.22834600
16.67746294,-7.87401500,3.30708700
16.74146294,-8.66141700,3.30708700
16.80546294,-6.69291300,3.22834600
16.86946294,-4.72440900,3.30708700
16.93346294,-9.44881800,3.30708700
16.99746293,-1.96850400,3.30708700
17.06146293,-7.48031400,3.22834600
17.12546293,-5.11811000,3.30708700
17.18946293,-8.66141700,3.22834600
17.25346293,-4.72440900,3.30708700
17.31746293,-11.02362000,3.30708700
17.38146292,-6.69291300,3.30708700
17.44546292,-8.26771600,3.30708700
17.50946292,-5.11811000,3.30708700
17.57346292,-7.48031400,3.30708700
17.63746292,-6.29921200,3.30708700
17.70146291,-5.90551100,3.30708700
17.76546291,-7.87401500,3.30708700
17.82946291,-6.29921200,3.30708700
17.89346291,-6.29921200,3.30708700
17.95746291,-6.69291300,3.30708700
18.02146291,-6.69291300,3.30708700
18.08546290,-3.14960600,3.30708700
18.14946290,-9.44881800,3.30708700
18.21346290,-5.90551100,3.30708700
18.27746290,-7.48031400,3.30708700
18.34146290,-6.29921200,3.30708700
18.40546289,-11.41732000,3.30708700
18.46946289,-2.75590500,3.30708700
18.53346289,-10.62992000,3.30708700
18.59746289,-7.87401500,3.30708700
18.66146289,-8.66141700,3.30708700
18.72546289,-9.05511800,3.30708700
18.78946288,-14.96063000,3.30708700
18.85346288,-8.26771600,3.30708700
18.91746288,-8.66141700,3.30708700
18.98146288,-11.41732000,3.30708700
19.04546288,-5.51181100,3.30708700
19.10946287,-5.51181100,3.22834600
19.17346287,-7.08661400,3.22834600
19.23746287,-8.26771600,3.22834600
19.30146287,-3.54330700,3.22834600
19.36546287,-11.41732000,3.22834600
19.42946287,-6.29921200,3.30708700
19.49346286,-5.90551100,3.30708700
19.55746286,-5.51181100,3.30708700
19.62146286,-9.05511800,3.30708700
19.68546286,-1.18110200,3.30708700
19.74946286,-5.90551100,3.30708700
19.81346285,-6.69291300,3.30708700
19.87746285,-5.90551100,3.30708700
19.94146285,-4.33070900,3.30708700
20.00546285,-9.84251900,3.30708700
20.06946285,-5.90551100,3.30708700
20.13346285,-5.51181100,3.30708700
20.19746284,-10.23622000,3.30708700
20.26146284,-5.51181100,3.30708700
20.32546284,-7.08661400,3.30708700
20.38946284,-7.08661400,3.30708700
20.45346284,-11.02362000,3.30708700
20.51746283,-0.39370070,3.30708700
20.58146283,-8.26771600,3.30708700
20.64546283,-4.72440900,3.30708700
20.70946283,-5.11811000,3.30708700
20.77346283,-4.33070900,3.30708700
20.83746283,-10.23622000,3.30708700
20.90146282,-3.14960600,3.30708700
20.96546282,-7.48031400,3.30708700
21.02946282,-8.66141700,3.30708700
21.09346282,-5.51181100,3.30708700
21.15746282,-4.72440900,3.30708700
21.22146281,-8.66141700,3.30708700
21.28546281,-7.87401500,3.30708700
21.34946281,-6.29921200,3.30708700
21.41346281,-10.62992000,3.30708700
21.47746281,-7.87401500,3.30708700
21.54146281,-9.05511800,3.30708700
21.60546280,-5.51181100,3.30708700
21.66946280,-11.02362000,3.30708700
