Time,Channel A,Channel B
(us),(mV),(V)

-0.02560000,-14.17323000,0.07874016
0.03840000,-7.87401500,3.22834600
0.10240000,-2.36220500,3.22834600
0.16640000,-8.66141700,3.22834600
0.23039999,-10.23622000,3.22834600
0.29439999,-3.54330700,3.22834600
0.35839999,-8.66141700,3.30708700
0.42239999,-7.48031400,3.22834600
0.48639999,-4.72440900,3.22834600
0.55039999,-3.54330700,3.22834600
0.61439998,-9.84251900,3.22834600
0.67839998,-0.39370070,3.22834600
0.74239998,-7.08661400,3.22834600
0.80639998,-5.11811000,3.22834600
0.87039998,-5.11811000,3.22834600
0.93439997,0.00000000,3.22834600
0.99839997,-9.05511800,3.22834600
1.06239997,-0.78740150,3.22834600
1.12639997,-5.51181100,3.22834600
1.19039997,-4.72440900,3.30708700
1.25439997,-5.51181100,3.22834600
1.31839996,-3.14960600,3.22834600
1.38239996,-6.29921200,3.22834600
1.44639996,-6.69291300,3.22834600
1.51039996,-1.96850400,3.22834600
1.57439996,-5.11811000,3.22834600
1.63839995,-2.75590500,3.30708700
1.70239995,-4.33070900,3.30708700
1.76639995,1.18110200,3.22834600
1.83039995,-7.08661400,3.22834600
1.89439995,-0.78740150,3.22834600
1.95839995,-1.18110200,3.22834600
2.02239994,0.78740150,3.22834600
2.08639994,-1.96850400,3.30708700
2.15039994,3.93700800,3.22834600
2.21439994,-2.36220500,3.22834600
2.27839994,-2.75590500,3.30708700
2.34239993,-1.96850400,3.22834600
2.40639993,-3.54330700,3.22834600
2.47039993,-6.29921200,3.30708700
2.53439993,-1.96850400,3.22834600
2.59839993,-1.18110200,3.30708700
2.66239993,-5.90551100,3.22834600
2.72639992,-2.75590500,3.22834600
2.79039992,-4.72440900,3.22834600
2.85439992,-1.96850400,3.22834600
2.91839992,-5.90551100,3.30708700
2.98239992,1.18110200,3.22834600
3.04639991,-7.48031400,3.22834600
3.11039991,0.78740150,3.22834600
3.17439991,-2.36220500,3.22834600
3.23839991,0.00000000,3.22834600
3.30239991,-5.51181100,3.22834600
3.36639991,0.78740150,3.30708700
3.43039990,-1.57480300,3.30708700
3.49439990,-1.96850400,3.30708700
3.55839990,0.00000000,3.22834600
3.62239990,0.39370070,3.22834600
3.68639990,-3.93700800,3.22834600
3.75039990,-3.93700800,3.30708700
3.81439989,0.00000000,3.30708700
3.87839989,-8.26771600,3.30708700
3.94239989,-2.75590500,3.30708700
4.00639989,-1.18110200,3.30708700
4.07039989,-1.96850400,3.30708700
4.13439988,-6.29921200,3.30708700
4.19839988,3.14960600,3.22834600
4.26239988,-4.72440900,3.22834600
4.32639988,-2.75590500,3.30708700
4.39039988,-1.18110200,3.30708700
4.45439988,0.00000000,3.22834600
4.51839987,-7.87401500,3.30708700
4.58239987,3.14960600,3.22834600
4.64639987,-0.78740150,3.22834600
4.71039987,-3.93700800,3.30708700
4.77439987,0.39370070,3.30708700
4.83839986,0.78740150,3.30708700
4.90239986,-3.93700800,3.30708700
4.96639986,-3.93700800,3.30708700
5.03039986,0.39370070,3.30708700
5.09439986,-8.66141700,3.30708700
5.15839986,-1.57480300,3.30708700
5.22239985,-3.93700800,3.22834600
5.28639985,-3.54330700,3.30708700
5.35039985,-9.44881800,3.30708700
5.41439985,-0.78740150,3.30708700
5.47839985,-6.29921200,3.30708700
5.54239984,-3.93700800,3.30708700
5.60639984,-3.93700800,3.30708700
5.67039984,-1.96850400,3.22834600
5.73439984,-5.11811000,3.22834600
5.79839984,-1.57480300,3.22834600
5.86239984,-3.14960600,3.22834600
5.92639983,-3.54330700,3.30708700
5.99039983,-2.36220500,3.30708700
6.05439983,0.78740150,3.30708700
6.11839983,-0.78740150,3.30708700
6.18239983,-3.14960600,3.30708700
6.24639982,2.75590500,3.30708700
6.31039982,-3.54330700,3.30708700
6.37439982,-3.14960600,3.30708700
6.43839982,-4.33070900,3.30708700
6.50239982,0.00000000,3.30708700
6.56639982,-7.87401500,3.30708700
6.63039981,0.78740150,3.30708700
6.69439981,-3.14960600,3.30708700
6.75839981,-3.54330700,3.30708700
6.82239981,-4.72440900,3.30708700
6.88639981,1.57480300,3.30708700
6.95039980,-5.90551100,3.22834600
7.01439980,-3.14960600,3.30708700
7.07839980,0.78740150,3.30708700
7.14239980,-3.14960600,3.30708700
7.20639980,-2.36220500,3.30708700
7.27039980,0.00000000,3.30708700
7.33439979,0.00000000,3.22834600
7.39839979,-4.72440900,3.30708700
7.46239979,1.18110200,3.30708700
7.52639979,-2.36220500,3.30708700
7.59039979,-2.36220500,3.30708700
7.65439978,-3.93700800,3.30708700
7.71839978,1.57480300,3.30708700
7.78239978,-7.48031400,3.30708700
7.84639978,-3.14960600,3.30708700
7.91039978,-5.11811000,3.30708700
7.97439978,-3.54330700,3.30708700
8.03839977,-9.05511800,3.30708700
8.10239977,0.00000000,3.30708700
8.16639977,-5.11811000,3.22834600
8.23039977,-4.33070900,3.30708700
8.29439977,-2.36220500,3.30708700
8.35839976,-3.54330700,3.22834600
8.42239976,-6.29921200,3.22834600
8.48639976,-3.93700800,3.22834600
8.55039976,0.78740150,3.30708700
8.61439976,-7.87401500,3.30708700
8.67839976,1.96850400,3.30708700
8.74239975,-1.18110200,3.30708700
8.80639975,-1.57480300,3.30708700
8.87039975,-3.14960600,3.30708700
8.93439975,2.36220500,3.30708700
8.99839975,-8.26771600,3.30708700
9.06239974,-2.75590500,3.30708700
9.12639974,-1.18110200,3.30708700
9.19039974,-3.93700800,3.30708700
9.25439974,-5.11811000,3.30708700
9.31839974,1.57480300,3.30708700
9.38239974,-3.93700800,3.30708700
9.44639973,-3.14960600,3.30708700
9.51039973,0.39370070,3.30708700
9.57439973,-2.36220500,3.30708700
9.63839973,-1.96850400,3.30708700
9.70239973,1.57480300,3.30708700
9.76639972,2.75590500,3.30708700
9.83039972,-3.54330700,3.30708700
9.89439972,3.93700800,3.30708700
9.95839972,-1.18110200,3.30708700
10.02239972,1.57480300,3.30708700
10.08639972,-2.36220500,3.30708700
10.15039971,4.72440900,3.30708700
10.21439971,-1.57480300,3.30708700
10.27839971,2.36220500,3.30708700
10.34239971,-0.39370070,3.30708700
10.40639971,-1.18110200,3.30708700
10.47039970,-5.90551100,3.30708700
10.53439970,-2.75590500,3.30708700
10.59839970,-2.75590500,3.30708700
10.66239970,-5.51181100,3.30708700
10.72639970,-1.96850400,3.30708700
10.79039970,-2.36220500,3.30708700
10.85439969,-3.54330700,3.30708700
10.91839969,-4.72440900,3.30708700
10.98239969,0.00000000,3.22834600
11.04639969,-6.29921200,3.30708700
11.11039969,-2.75590500,3.30708700
11.17439969,-2.36220500,3.30708700
11.23839968,-0.78740150,3.30708700
11.30239968,-4.72440900,3.30708700
11.36639968,3.93700800,3.30708700
11.43039968,-3.54330700,3.30708700
11.49439968,-1.57480300,3.30708700
11.55839967,-2.36220500,3.30708700
11.62239967,0.00000000,3.30708700
11.68639967,-4.33070900,3.30708700
11.75039967,0.00000000,3.30708700
11.81439967,-1.96850400,3.30708700
11.87839967,-5.51181100,3.30708700
11.94239966,-2.36220500,3.30708700
12.00639966,-3.54330700,3.30708700
12.07039966,-3.54330700,3.30708700
12.13439966,-7.48031400,3.30708700
12.19839966,1.57480300,3.30708700
12.26239965,-4.72440900,3.30708700
12.32639965,-1.96850400,3.30708700
12.39039965,-3.14960600,3.30708700
12.45439965,0.39370070,3.30708700
12.51839965,-7.08661400,3.30708700
12.58239965,0.39370070,3.30708700
12.64639964,-1.96850400,3.30708700
12.71039964,-3.93700800,3.30708700
12.77439964,-1.96850400,3.30708700
12.83839964,2.75590500,3.30708700
12.90239964,-5.11811000,3.30708700
12.96639963,-4.72440900,3.30708700
13.03039963,-1.18110200,3.30708700
13.09439963,-9.44881800,3.30708700
13.15839963,-7.87401500,3.30708700
13.22239963,-4.72440900,3.30708700
13.28639963,-7.08661400,3.30708700
13.35039962,-11.41732000,3.30708700
13.41439962,-1.57480300,3.30708700
13.47839962,-11.41732000,3.22834600
13.54239962,-9.84251900,3.30708700
13.60639962,-8.26771600,3.30708700
13.67039961,-4.33070900,3.30708700
13.73439961,-14.96063000,3.30708700
13.79839961,-3.54330700,3.30708700
13.86239961,-8.66141700,3.22834600
13.92639961,-8.66141700,3.30708700
13.99039961,-6.69291300,3.30708700
14.05439960,-5.51181100,3.30708700
14.11839960,-9.44881800,3.30708700
14.18239960,-7.08661400,3.30708700
14.24639960,-1.96850400,3.30708700
14.31039960,-7.48031400,3.30708700
14.37439959,-4.72440900,3.30708700
14.43839959,-5.51181100,3.30708700
14.50239959,-4.72440900,3.30708700
14.56639959,-11.02362000,3.30708700
14.63039959,-5.51181100,3.30708700
14.69439959,-9.05511800,3.30708700
14.75839958,-6.69291300,3.30708700
14.82239958,-8.66141700,3.30708700
14.88639958,-2.36220500,3.30708700
14.95039958,-10.23622000,3.22834600
15.01439958,-5.11811000,3.30708700
15.07839957,-5.90551100,3.30708700
15.14239957,-5.51181100,3.30708700
15.20639957,-8.26771600,3.30708700
15.27039957,-3.54330700,3.30708700
15.33439957,-4.72440900,3.30708700
15.39839957,-7.08661400,3.30708700
15.46239956,-1.57480300,3.30708700
15.52639956,-7.08661400,3.30708700
15.59039956,-6.29921200,3.30708700
15.65439956,-7.48031400,3.30708700
15.71839956,-3.93700800,3.30708700
15.78239955,-13.38583000,3.30708700
15.84639955,-6.29921200,3.30708700
15.91039955,-9.05511800,3.30708700
15.97439955,-8.66141700,3.30708700
16.03839955,-11.81102000,3.30708700
16.10239955,-7.08661400,3.30708700
16.16639954,-12.20472000,3.30708700
16.23039954,-11.02362000,3.30708700
16.29439954,-7.87401500,3.30708700
16.35839954,-9.05511800,3.30708700
16.42239954,-10.62992000,3.30708700
16.48639953,-5.90551100,3.30708700
16.55039953,-6.69291300,3.30708700
16.61439953,-9.44881800,3.22834600
16.67839953,-5.11811000,3.30708700
16.74239953,-5.51181100,3.30708700
16.80639953,-4.33070900,3.30708700
16.87039952,-6.69291300,3.30708700
16.93439952,0.78740150,3.22834600
16.99839952,-9.44881800,3.30708700
17.06239952,-3.54330700,3.30708700
17.12639952,-6.69291300,3.30708700
17.19039951,-7.08661400,3.30708700
17.25439951,-12.59842000,3.30708700
17.31839951,-2.36220500,3.30708700
17.38239951,-7.87401500,3.30708700
17.44639951,-7.87401500,3.30708700
17.51039951,-3.93700800,3.30708700
17.57439950,-6.69291300,3.30708700
17.63839950,-8.66141700,3.30708700
17.70239950,-4.72440900,3.30708700
17.76639950,-4.33070900,3.30708700
17.83039950,-11.02362000,3.30708700
17.89439949,-1.57480300,3.30708700
17.95839949,-4.72440900,3.30708700
18.02239949,-6.69291300,3.30708700
18.08639949,-6.69291300,3.30708700
18.15039949,-3.54330700,3.30708700
18.21439949,-10.62992000,3.30708700
18.27839948,-3.14960600,3.30708700
18.34239948,-6.29921200,3.30708700
18.40639948,-7.48031400,3.30708700
18.47039948,-9.84251900,3.30708700
18.53439948,-4.33070900,3.30708700
18.59839948,-11.02362000,3.30708700
18.66239947,-10.62992000,3.30708700
18.72639947,-8.66141700,3.30708700
18.79039947,-9.84251900,3.30708700
18.85439947,-9.44881800,3.30708700
18.91839947,-8.26771600,3.30708700
18.98239946,-4.72440900,3.30708700
19.04639946,-11.02362000,3.30708700
19.11039946,-3.93700800,3.30708700
19.17439946,-9.05511800,3.30708700
19.23839946,-6.29921200,3.30708700
19.30239946,-9.84251900,3.30708700
19.36639945,-0.78740150,3.30708700
19.43039945,-7.48031400,3.30708700
19.49439945,-4.33070900,3.30708700
19.55839945,-3.93700800,3.30708700
19.62239945,-3.54330700,3.30708700
19.68639944,-8.26771600,3.22834600
19.75039944,-2.75590500,3.30708700
19.81439944,-6.29921200,3.30708700
19.87839944,-8.66141700,3.30708700
19.94239944,-3.93700800,3.30708700
20.00639944,-4.33070900,3.30708700
20.07039943,-7.48031400,3.30708700
20.13439943,-7.08661400,3.30708700
20.19839943,-2.75590500,3.30708700
20.26239943,-10.62992000,3.30708700
20.32639943,-5.90551100,3.30708700
20.39039942,-6.69291300,3.30708700
20.45439942,-3.93700800,3.30708700
20.51839942,-9.05511800,3.30708700
20.58239942,0.00000000,3.30708700
20.64639942,-8.26771600,3.22834600
20.71039942,-5.90551100,3.30708700
20.77439941,-6.69291300,3.30708700
20.83839941,-3.14960600,3.30708700
20.90239941,-7.87401500,3.30708700
20.96639941,-5.11811000,3.30708700
21.03039941,-2.75590500,3.30708700
21.09439940,-9.44881800,3.30708700
21.15839940,-7.87401500,3.30708700
21.22239940,-7.48031400,3.30708700
21.28639940,-7.87401500,3.30708700
21.35039940,-11.81102000,3.30708700
21.41439940,-2.75590500,3.30708700
21.47839939,-9.44881800,3.30708700
21.54239939,-8.66141700,3.30708700
21.60639939,-5.51181100,3.30708700
21.67039939,-3.93700800,3.22834600
21.73439939,-12.99213000,3.30708700
