Time,Channel A,Channel B
(us),(mV),(V)

-0.04876190,-5.90551100,0.07874016
0.01523810,-14.96063000,1.73228300
0.07923809,-2.75590500,3.22834600
0.14323809,-5.51181100,3.22834600
0.20723809,-7.87401500,3.22834600
0.27123809,1.57480300,3.22834600
0.33523809,-5.11811000,3.30708700
0.39923808,-4.33070900,3.30708700
0.46323808,-2.75590500,3.30708700
0.52723808,-1.18110200,3.30708700
0.59123808,-11.41732000,3.30708700
0.65523808,-1.18110200,3.22834600
0.71923808,-7.08661400,3.22834600
0.78323807,-6.29921200,3.22834600
0.84723807,-4.33070900,3.22834600
0.91123807,-1.57480300,3.22834600
0.97523807,-7.48031400,3.22834600
1.03923807,-4.33070900,3.22834600
1.10323806,-1.57480300,3.30708700
1.16723806,-7.08661400,3.22834600
1.23123806,-3.54330700,3.22834600
1.29523806,-4.33070900,3.30708700
1.35923806,-1.57480300,3.30708700
1.42323806,-5.90551100,3.30708700
1.48723805,0.78740150,3.30708700
1.55123805,-4.33070900,3.22834600
1.61523805,-2.36220500,3.22834600
1.67923805,-4.33070900,3.30708700
1.74323805,-0.39370070,3.30708700
1.80723804,-6.69291300,3.30708700
1.87123804,-2.36220500,3.30708700
1.93523804,-3.54330700,3.22834600
1.99923804,-3.54330700,3.30708700
2.06323804,-7.08661400,3.30708700
2.12723804,-3.54330700,3.22834600
2.19123803,-7.08661400,3.30708700
2.25523803,-7.08661400,3.22834600
2.31923803,-2.36220500,3.22834600
2.38323803,-5.51181100,3.22834600
2.44723803,-1.96850400,3.22834600
2.51123802,-3.93700800,3.22834600
2.57523802,0.00000000,3.22834600
2.63923802,-8.66141700,3.22834600
2.70323802,0.39370070,3.22834600
2.76723802,-4.33070900,3.22834600
2.83123802,-0.78740150,3.22834600
2.89523801,-3.54330700,3.22834600
2.95923801,2.36220500,3.22834600
3.02323801,-2.75590500,3.22834600
3.08723801,0.00000000,3.30708700
3.15123801,-0.78740150,3.30708700
3.21523800,-3.93700800,3.30708700
3.27923800,-4.33070900,3.30708700
3.34323800,-2.75590500,3.30708700
3.40723800,-2.36220500,3.30708700
3.47123800,-5.90551100,3.30708700
3.53523800,0.78740150,3.30708700
3.59923799,-3.54330700,3.30708700
3.66323799,-3.14960600,3.30708700
3.72723799,-4.33070900,3.30708700
3.79123799,0.39370070,3.22834600
3.85523799,-6.69291300,3.30708700
3.91923798,0.78740150,3.30708700
3.98323798,-0.78740150,3.22834600
4.04723798,-1.96850400,3.30708700
4.11123798,-4.33070900,3.30708700
4.17523798,2.75590500,3.30708700
4.23923798,-4.33070900,3.30708700
4.30323797,-3.14960600,3.30708700
4.36723797,1.57480300,3.22834600
4.43123797,-2.36220500,3.30708700
4.49523797,-2.75590500,3.30708700
4.55923797,-1.96850400,3.30708700
4.62323796,-1.96850400,3.30708700
4.68723796,-10.23622000,3.30708700
4.75123796,0.00000000,3.30708700
4.81523796,-6.69291300,3.30708700
4.87923796,-6.29921200,3.22834600
4.94323796,-5.11811000,3.22834600
5.00723795,0.00000000,3.22834600
5.07123795,-6.69291300,3.30708700
5.13523795,-1.18110200,3.30708700
5.19923795,-3.54330700,3.30708700
5.26323795,-5.90551100,3.22834600
5.32723794,-4.33070900,3.30708700
5.39123794,-0.39370070,3.22834600
5.45523794,-4.33070900,3.30708700
5.51923794,-2.36220500,3.30708700
5.58323794,1.57480300,3.30708700
5.64723794,-1.96850400,3.30708700
5.71123793,-1.57480300,3.30708700
5.77523793,-3.14960600,3.30708700
5.83923793,0.39370070,3.30708700
5.90323793,-6.69291300,3.30708700
5.96723793,-1.18110200,3.30708700
6.03123792,-4.72440900,3.30708700
6.09523792,-1.18110200,3.30708700
6.15923792,-6.29921200,3.30708700
6.22323792,0.00000000,3.30708700
6.28723792,-5.90551100,3.22834600
6.35123792,-5.11811000,3.30708700
6.41523791,-1.57480300,3.30708700
6.47923791,-1.18110200,3.30708700
6.54323791,-4.33070900,3.30708700
6.60723791,-1.18110200,3.30708700
6.67123791,0.39370070,3.30708700
6.73523790,-6.29921200,3.30708700
6.79923790,-1.57480300,3.30708700
6.86323790,-1.96850400,3.30708700
6.92723790,-3.14960600,3.30708700
6.99123790,-3.54330700,3.30708700
7.05523790,3.93700800,3.30708700
7.11923789,-5.51181100,3.30708700
7.18323789,-1.57480300,3.30708700
7.24723789,-3.93700800,3.30708700
7.31123789,-4.33070900,3.30708700
7.37523789,-9.44881800,3.30708700
7.43923789,-1.96850400,3.30708700
7.50323788,-7.48031400,3.30708700
7.56723788,-5.90551100,3.30708700
7.63123788,-3.54330700,3.30708700
7.69523788,-2.36220500,3.30708700
7.75923788,-5.90551100,3.30708700
7.82323787,-4.33070900,3.30708700
7.88723787,-2.75590500,3.30708700
7.95123787,-8.66141700,3.30708700
8.01523787,-1.96850400,3.30708700
8.07923787,-2.75590500,3.30708700
8.14323787,-1.18110200,3.30708700
8.20723786,-4.72440900,3.30708700
8.27123786,2.36220500,3.30708700
8.33523786,-5.11811000,3.30708700
8.39923786,-2.36220500,3.30708700
8.46323786,-1.96850400,3.30708700
8.52723785,-1.96850400,3.30708700
8.59123785,-7.08661400,3.30708700
8.65523785,0.39370070,3.30708700
8.71923785,-4.33070900,3.30708700
8.78323785,-5.90551100,3.30708700
8.84723785,-4.33070900,3.30708700
8.91123784,-3.54330700,3.30708700
8.97523784,-6.69291300,3.30708700
9.03923784,-3.93700800,3.30708700
9.10323784,-0.78740150,3.30708700
9.16723784,-6.69291300,3.30708700
9.23123783,0.00000000,3.30708700
9.29523783,-3.93700800,3.30708700
9.35923783,-2.36220500,3.30708700
9.42323783,-6.69291300,3.30708700
9.48723783,1.96850400,3.30708700
9.55123783,-5.11811000,3.30708700
9.61523782,-0.39370070,3.30708700
9.67923782,-1.18110200,3.30708700
9.74323782,0.00000000,3.30708700
9.80723782,-2.75590500,3.30708700
9.87123782,-1.96850400,3.30708700
9.93523781,-4.33070900,3.30708700
9.99923781,-6.29921200,3.30708700
10.06323781,-3.93700800,3.30708700
10.12723781,-4.33070900,3.30708700
10.19123781,-3.14960600,3.30708700
10.25523781,-6.69291300,3.30708700
10.31923780,-0.78740150,3.30708700
10.38323780,-7.48031400,3.30708700
10.44723780,-4.33070900,3.30708700
10.51123780,-5.90551100,3.30708700
10.57523780,-1.18110200,3.30708700
10.63923779,-7.08661400,3.30708700
10.70323779,1.18110200,3.30708700
10.76723779,-3.54330700,3.30708700
10.83123779,-2.75590500,3.30708700
10.89523779,-2.36220500,3.30708700
10.95923779,1.57480300,3.22834600
11.02323778,-5.51181100,3.30708700
11.08723778,-1.57480300,3.30708700
11.15123778,3.14960600,3.30708700
11.21523778,-4.72440900,3.30708700
11.27923778,-0.78740150,3.30708700
11.34323777,-1.18110200,3.30708700
11.40723777,-3.93700800,3.30708700
11.47123777,-8.26771600,3.30708700
11.53523777,2.36220500,3.30708700
11.59923777,-7.08661400,3.30708700
11.66323777,-3.14960600,3.30708700
11.72723776,-0.78740150,3.30708700
11.79123776,0.00000000,3.30708700
11.85523776,-6.69291300,3.30708700
11.91923776,1.57480300,3.30708700
11.98323776,-3.14960600,3.30708700
12.04723775,-3.93700800,3.30708700
12.11123775,-1.57480300,3.30708700
12.17523775,0.39370070,3.30708700
12.23923775,-3.14960600,3.30708700
12.30323775,-0.39370070,3.30708700
12.36723775,1.96850400,3.30708700
12.43123774,-3.93700800,3.30708700
12.49523774,-2.36220500,3.30708700
12.55923774,-3.14960600,3.30708700
12.62323774,-1.96850400,3.30708700
12.68723774,-9.05511800,3.30708700
12.75123773,0.39370070,3.30708700
12.81523773,-5.90551100,3.30708700
12.87923773,-3.93700800,3.30708700
12.94323773,-6.69291300,3.30708700
13.00723773,-2.36220500,3.30708700
13.07123773,-10.23622000,3.30708700
13.13523772,-3.54330700,3.30708700
13.19923772,-2.75590500,3.30708700
13.26323772,-7.08661400,3.30708700
13.32723772,-3.54330700,3.30708700
13.39123772,-1.57480300,3.30708700
13.45523771,-5.51181100,3.30708700
13.51923771,-6.69291300,3.30708700
13.58323771,-0.78740150,3.30708700
13.64723771,-5.51181100,3.30708700
13.71123771,-2.75590500,3.30708700
13.77523771,-2.75590500,3.30708700
13.83923770,-0.39370070,3.30708700
13.90323770,-7.08661400,3.30708700
13.96723770,-2.36220500,3.30708700
14.03123770,-6.29921200,3.30708700
14.09523770,-6.29921200,3.30708700
14.15923769,-9.44881800,3.30708700
14.22323769,-1.18110200,3.30708700
14.28723769,-7.08661400,3.30708700
14.35123769,-4.72440900,3.30708700
14.41523769,-3.54330700,3.30708700
14.47923769,-5.11811000,3.30708700
14.54323768,-6.69291300,3.30708700
14.60723768,-4.72440900,3.30708700
14.67123768,-2.75590500,3.30708700
14.73523768,-9.05511800,3.30708700
14.79923768,-0.78740150,3.30708700
14.86323768,-3.54330700,3.30708700
14.92723767,-3.93700800,3.30708700
14.99123767,-6.29921200,3.30708700
15.05523767,0.00000000,3.30708700
15.11923767,-8.66141700,3.30708700
15.18323767,-3.54330700,3.30708700
15.24723766,-3.93700800,3.30708700
15.31123766,-6.69291300,3.30708700
15.37523766,-8.66141700,3.30708700
15.43923766,-2.36220500,3.30708700
15.50323766,-9.44881800,3.30708700
15.56723766,-9.44881800,3.30708700
15.63123765,-6.29921200,3.30708700
15.69523765,-8.66141700,3.30708700
15.75923765,-8.66141700,3.30708700
15.82323765,-4.72440900,3.30708700
15.88723765,-4.72440900,3.30708700
15.95123764,-11.02362000,3.30708700
16.01523764,-1.57480300,3.22834600
16.07923764,-8.66141700,3.30708700
16.14323764,-7.87401500,3.30708700
16.20723764,-7.48031400,3.30708700
16.27123764,-1.96850400,3.22834600
16.33523763,-8.66141700,3.30708700
16.39923763,-2.36220500,3.30708700
16.46323763,-4.33070900,3.30708700
16.52723763,-4.72440900,3.30708700
16.59123763,-6.29921200,3.30708700
16.65523762,-5.51181100,3.30708700
16.71923762,-6.69291300,3.30708700
16.78323762,-8.66141700,3.30708700
16.84723762,-4.33070900,3.30708700
16.91123762,-6.69291300,3.30708700
16.97523762,-5.51181100,3.30708700
17.03923761,-7.87401500,3.30708700
17.10323761,-3.54330700,3.30708700
17.16723761,-10.23622000,3.30708700
17.23123761,-5.11811000,3.30708700
17.29523761,-5.90551100,3.30708700
17.35923760,-3.54330700,3.30708700
17.42323760,-7.87401500,3.30708700
17.48723760,-0.39370070,3.30708700
17.55123760,-6.29921200,3.30708700
17.61523760,-4.33070900,3.30708700
17.67923760,-4.33070900,3.30708700
17.74323759,-4.33070900,3.30708700
17.80723759,-7.48031400,3.30708700
17.87123759,-3.93700800,3.30708700
17.93523759,-4.33070900,3.30708700
17.99923759,-9.44881800,3.30708700
18.06323758,-5.11811000,3.30708700
18.12723758,-9.44881800,3.30708700
18.19123758,-9.05511800,3.30708700
18.25523758,-10.23622000,3.30708700
18.31923758,-3.93700800,3.30708700
18.38323758,-12.20472000,3.30708700
18.44723757,-5.90551100,3.30708700
18.51123757,-7.08661400,3.30708700
18.57523757,-8.26771600,3.30708700
18.63923757,-11.81102000,3.30708700
18.70323757,-4.72440900,3.30708700
18.76723756,-8.26771600,3.30708700
18.83123756,-7.87401500,3.30708700
18.89523756,-3.93700800,3.30708700
18.95923756,-3.93700800,3.30708700
19.02323756,-6.69291300,3.30708700
19.08723756,-1.96850400,3.30708700
19.15123755,0.00000000,3.30708700
19.21523755,-10.62992000,3.30708700
19.27923755,-4.72440900,3.30708700
19.34323755,-5.51181100,3.30708700
19.40723755,-8.66141700,3.30708700
19.47123754,-14.56693000,3.30708700
19.53523754,0.39370070,3.30708700
19.59923754,-11.41732000,3.30708700
19.66323754,-6.69291300,3.30708700
19.72723754,-7.87401500,3.30708700
19.79123754,-5.90551100,3.30708700
19.85523753,-10.23622000,3.30708700
19.91923753,-1.18110200,3.30708700
19.98323753,-3.14960600,3.30708700
20.04723753,-7.87401500,3.30708700
20.11123753,-2.75590500,3.30708700
20.17523752,-5.11811000,3.30708700
20.23923752,-8.26771600,3.30708700
20.30323752,-5.90551100,3.30708700
20.36723752,-2.75590500,3.30708700
20.43123752,-8.66141700,3.30708700
20.49523752,-0.78740150,3.30708700
20.55923751,-1.57480300,3.30708700
20.62323751,-5.51181100,3.30708700
20.68723751,-10.23622000,3.30708700
20.75123751,-5.51181100,3.30708700
20.81523751,-10.23622000,3.30708700
20.87923750,-7.87401500,3.30708700
20.94323750,-9.44881800,3.30708700
21.00723750,-4.72440900,3.30708700
21.07123750,-10.62992000,3.30708700
21.13523750,-8.26771600,3.30708700
21.19923750,-6.69291300,3.30708700
21.26323749,-9.05511800,3.30708700
21.32723749,-7.48031400,3.30708700
21.39123749,-2.36220500,3.30708700
21.45523749,-4.72440900,3.30708700
21.51923749,-9.84251900,3.30708700
21.58323749,1.18110200,3.30708700
21.64723748,-10.62992000,3.30708700
21.71123748,-6.29921200,3.30708700
