Time,Channel A,Channel B
(us),(mV),(V)

-0.02694737,-4.33070900,0.07874016
0.03705263,-0.78740150,3.07086600
0.10105263,-7.87401500,3.22834600
0.16505263,-3.54330700,3.22834600
0.22905263,-6.69291300,3.22834600
0.29305262,-9.05511800,3.22834600
0.35705262,-1.57480300,3.22834600
0.42105262,-8.26771600,3.22834600
0.48505262,-6.69291300,3.22834600
0.54905262,-4.33070900,3.22834600
0.61305261,-0.39370070,3.22834600
0.67705261,-6.29921200,3.30708700
0.74105261,0.00000000,3.30708700
0.80505261,-4.33070900,3.22834600
0.86905261,-5.11811000,3.22834600
0.93305261,-7.08661400,3.22834600
0.99705260,-3.14960600,3.22834600
1.06105260,-9.44881800,3.30708700
1.12505260,-4.72440900,3.22834600
1.18905260,-4.33070900,3.22834600
1.25305260,-4.72440900,3.22834600
1.31705259,-8.66141700,3.22834600
1.38105259,-5.11811000,3.22834600
1.44505259,-5.51181100,3.22834600
1.50905259,-9.05511800,3.22834600
1.57305259,-3.14960600,3.22834600
1.63705259,-4.72440900,3.22834600
1.70105258,-2.36220500,3.22834600
1.76505258,-6.29921200,3.22834600
1.82905258,1.18110200,3.22834600
1.89305258,-7.08661400,3.22834600
1.95705258,-0.78740150,3.22834600
2.02105257,-0.39370070,3.22834600
2.08505257,0.39370070,3.22834600
2.14905257,-2.75590500,3.30708700
2.21305257,2.36220500,3.22834600
2.27705257,-1.57480300,3.22834600
2.34105257,-3.54330700,3.22834600
2.40505256,-2.36220500,3.22834600
2.46905256,-3.54330700,3.22834600
2.53305256,-4.33070900,3.22834600
2.59705256,-3.14960600,3.22834600
2.66105256,0.00000000,3.22834600
2.72505255,-5.51181100,3.22834600
2.78905255,-1.18110200,3.22834600
2.85305255,-2.75590500,3.22834600
2.91705255,-0.39370070,3.22834600
2.98105255,-6.69291300,3.30708700
3.04505255,1.96850400,3.22834600
3.10905254,-3.54330700,3.22834600
3.17305254,-0.39370070,3.22834600
3.23705254,-1.96850400,3.30708700
3.30105254,1.18110200,3.30708700
3.36505254,-5.11811000,3.22834600
3.42905254,0.39370070,3.30708700
3.49305253,-0.39370070,3.22834600
3.55705253,-5.90551100,3.30708700
3.62105253,-2.75590500,3.30708700
3.68505253,-2.75590500,3.22834600
3.74905253,-4.33070900,3.22834600
3.81305252,-6.69291300,3.30708700
3.87705252,-0.39370070,3.22834600
3.94105252,-9.84251900,3.22834600
4.00505252,-4.33070900,3.22834600
4.06905252,-5.90551100,3.22834600
4.13305252,-5.90551100,3.22834600
4.19705251,-7.08661400,3.22834600
4.26105251,1.57480300,3.22834600
4.32505251,-5.90551100,3.22834600
4.38905251,-5.51181100,3.22834600
4.45305251,-2.75590500,3.22834600
4.51705250,-3.54330700,3.22834600
4.58105250,-6.69291300,3.22834600
4.64505250,0.00000000,3.30708700
4.70905250,-2.36220500,3.30708700
4.77305250,-5.11811000,3.30708700
4.83705250,1.18110200,3.30708700
4.90105249,-3.14960600,3.22834600
4.96505249,-3.93700800,3.22834600
5.02905249,-7.08661400,3.22834600
5.09305249,-1.18110200,3.30708700
5.15705249,-8.66141700,3.30708700
5.22105248,-1.96850400,3.30708700
5.28505248,-5.11811000,3.30708700
5.34905248,-2.75590500,3.22834600
5.41305248,-6.69291300,3.22834600
5.47705248,-3.14960600,3.30708700
5.54105248,-5.90551100,3.30708700
5.60505247,-3.93700800,3.30708700
5.66905247,-2.36220500,3.22834600
5.73305247,-1.18110200,3.30708700
5.79705247,-3.14960600,3.22834600
5.86105247,-3.54330700,3.22834600
5.92505246,-0.39370070,3.22834600
5.98905246,-4.33070900,3.30708700
6.05305246,-2.75590500,3.30708700
6.11705246,-2.75590500,3.22834600
6.18105246,-1.18110200,3.22834600
6.24505246,-6.29921200,3.22834600
6.30905245,0.39370070,3.30708700
6.37305245,-6.69291300,3.22834600
6.43705245,-4.72440900,3.30708700
6.50105245,-5.51181100,3.30708700
6.56505245,-2.75590500,3.30708700
6.62905244,-10.23622000,3.22834600
6.69305244,-4.72440900,3.30708700
6.75705244,-4.33070900,3.30708700
6.82105244,-5.90551100,3.30708700
6.88505244,-4.33070900,3.22834600
6.94905244,-2.75590500,3.30708700
7.01305243,-6.29921200,3.30708700
7.07705243,-7.08661400,3.30708700
7.14105243,0.00000000,3.30708700
7.20505243,-7.08661400,3.22834600
7.26905243,-2.75590500,3.30708700
7.33305242,-1.18110200,3.30708700
7.39705242,1.18110200,3.30708700
7.46105242,-6.69291300,3.22834600
7.52505242,0.39370070,3.22834600
7.58905242,-3.14960600,3.30708700
7.65305242,-5.11811000,3.30708700
7.71705241,-4.72440900,3.30708700
7.78105241,-0.39370070,3.30708700
7.84505241,-7.08661400,3.30708700
7.90905241,-1.96850400,3.30708700
7.97305241,-1.57480300,3.30708700
8.03705240,-6.69291300,3.30708700
8.10105240,-6.69291300,3.30708700
8.16505240,-3.54330700,3.22834600
8.22905240,-2.36220500,3.30708700
8.29305240,-6.29921200,3.30708700
8.35705240,2.75590500,3.30708700
8.42105239,-5.11811000,3.30708700
8.48505239,-2.36220500,3.22834600
8.54905239,-3.54330700,3.30708700
8.61305239,0.00000000,3.30708700
8.67705239,-7.48031400,3.30708700
8.74105238,1.57480300,3.30708700
8.80505238,-1.57480300,3.30708700
8.86905238,-3.93700800,3.30708700
8.93305238,-2.75590500,3.30708700
8.99705238,-3.14960600,3.30708700
9.06105238,-6.69291300,3.30708700
9.12505237,-6.69291300,3.30708700
9.18905237,-3.14960600,3.30708700
9.25305237,-7.08661400,3.30708700
9.31705237,-2.75590500,3.30708700
9.38105237,-3.14960600,3.30708700
9.44505236,-2.36220500,3.30708700
9.50905236,-5.90551100,3.30708700
9.57305236,0.00000000,3.30708700
9.63705236,-3.93700800,3.30708700
9.70105236,-0.78740150,3.22834600
9.76505236,-4.72440900,3.22834600
9.82905235,2.75590500,3.30708700
9.89305235,-2.36220500,3.30708700
9.95705235,1.18110200,3.30708700
10.02105235,0.00000000,3.30708700
10.08505235,1.18110200,3.30708700
10.14905235,-2.36220500,3.30708700
10.21305234,0.78740150,3.30708700
10.27705234,0.78740150,3.30708700
10.34105234,-4.72440900,3.30708700
10.40505234,2.36220500,3.30708700
10.46905234,-1.57480300,3.30708700
10.53305233,-1.96850400,3.30708700
10.59705233,-5.51181100,3.30708700
10.66105233,0.78740150,3.30708700
10.72505233,-7.87401500,3.30708700
10.78905233,-1.18110200,3.30708700
10.85305233,-1.57480300,3.30708700
10.91705232,-2.36220500,3.30708700
10.98105232,-2.75590500,3.30708700
11.04505232,3.54330700,3.30708700
11.10905232,-4.33070900,3.30708700
11.17305232,-1.57480300,3.30708700
11.23705231,0.78740150,3.30708700
11.30105231,-0.78740150,3.30708700
11.36505231,-1.57480300,3.30708700
11.42905231,1.57480300,3.30708700
11.49305231,0.00000000,3.30708700
11.55705231,-3.93700800,3.30708700
11.62105230,1.96850400,3.30708700
11.68505230,-5.51181100,3.30708700
11.74905230,-4.33070900,3.30708700
11.81305230,-5.51181100,3.30708700
11.87705230,0.39370070,3.30708700
11.94105229,-8.66141700,3.30708700
12.00505229,-1.18110200,3.22834600
12.06905229,-4.72440900,3.30708700
12.13305229,-5.90551100,3.30708700
12.19705229,-6.69291300,3.22834600
12.26105229,-2.75590500,3.30708700
12.32505228,-6.29921200,3.30708700
12.38905228,-5.11811000,3.30708700
12.45305228,0.00000000,3.30708700
12.51705228,-3.54330700,3.30708700
12.58105228,-3.54330700,3.22834600
12.64505227,-2.75590500,3.30708700
12.70905227,0.00000000,3.30708700
12.77305227,-6.69291300,3.30708700
12.83705227,-1.18110200,3.30708700
12.90105227,-3.14960600,3.30708700
12.96505227,-2.75590500,3.30708700
13.02905226,-5.51181100,3.30708700
13.09305226,-0.39370070,3.30708700
13.15705226,-10.62992000,3.30708700
13.22105226,-5.11811000,3.30708700
13.28505226,-6.69291300,3.22834600
13.34905225,-7.08661400,3.30708700
13.41305225,-9.44881800,3.30708700
13.47705225,-4.33070900,3.30708700
13.54105225,-5.90551100,3.30708700
13.60505225,-7.87401500,3.30708700
13.66905225,-4.33070900,3.22834600
13.73305224,-7.48031400,3.30708700
13.79705224,-4.33070900,3.30708700
13.86105224,-8.26771600,3.30708700
13.92505224,-1.96850400,3.30708700
13.98905224,-9.44881800,3.30708700
14.05305223,-3.93700800,3.30708700
14.11705223,-5.90551100,3.30708700
14.18105223,-4.33070900,3.30708700
14.24505223,-10.23622000,3.30708700
14.30905223,-3.14960600,3.30708700
14.37305223,-7.08661400,3.30708700
14.43705222,-7.48031400,3.30708700
14.50105222,-6.29921200,3.30708700
14.56505222,-4.72440900,3.30708700
14.62905222,-11.02362000,3.30708700
14.69305222,-7.87401500,3.30708700
14.75705221,-6.29921200,3.30708700
14.82105221,-14.56693000,3.30708700
14.88505221,-6.69291300,3.30708700
14.94905221,-5.11811000,3.30708700
15.01305221,-7.08661400,3.30708700
15.07705221,-9.44881800,3.30708700
15.14105220,0.78740150,3.22834600
15.20505220,-12.20472000,3.30708700
15.26905220,-5.11811000,3.30708700
15.33305220,-5.90551100,3.22834600
15.39705220,-4.33070900,3.30708700
15.46105219,-9.05511800,3.30708700
15.52505219,-1.18110200,3.22834600
15.58905219,-5.90551100,3.30708700
15.65305219,-8.66141700,3.30708700
15.71705219,-4.33070900,3.22834600
15.78105219,-7.08661400,3.30708700
15.84505218,-9.05511800,3.30708700
15.90905218,-8.66141700,3.30708700
15.97305218,-5.90551100,3.30708700
16.03705218,-11.41732000,3.30708700
16.10105218,-5.11811000,3.30708700
16.16505217,-8.26771600,3.30708700
16.22905217,-8.26771600,3.30708700
16.29305217,-9.84251900,3.30708700
16.35705217,-4.72440900,3.22834600
16.42105217,-9.44881800,3.30708700
16.48505217,-5.11811000,3.30708700
16.54905216,-6.69291300,3.30708700
16.61305216,-1.57480300,3.30708700
16.67705216,-6.69291300,3.30708700
16.74105216,-2.75590500,3.30708700
16.80505216,-5.51181100,3.30708700
16.86905215,-6.69291300,3.30708700
16.93305215,-4.72440900,3.22834600
16.99705215,-5.11811000,3.30708700
17.06105215,-6.29921200,3.30708700
17.12505215,-9.44881800,3.30708700
17.18905215,-4.33070900,3.30708700
17.25305214,-11.41732000,3.30708700
17.31705214,-7.48031400,3.30708700
17.38105214,-9.44881800,3.30708700
17.44505214,-6.69291300,3.30708700
17.50905214,-12.20472000,3.30708700
17.57305214,-4.72440900,3.30708700
17.63705213,-7.87401500,3.30708700
17.70105213,-8.66141700,3.30708700
17.76505213,-7.48031400,3.30708700
17.82905213,-5.90551100,3.22834600
17.89305213,-12.20472000,3.22834600
17.95705212,-6.69291300,3.30708700
18.02105212,-4.72440900,3.30708700
18.08505212,-6.69291300,3.30708700
18.14905212,-5.90551100,3.30708700
18.21305212,-5.90551100,3.30708700
18.27705212,-5.51181100,3.30708700
18.34105211,-10.62992000,3.22834600
18.40505211,-3.54330700,3.30708700
18.46905211,-10.62992000,3.30708700
18.53305211,-7.08661400,3.30708700
18.59705211,-9.84251900,3.30708700
18.66105210,-4.33070900,3.30708700
18.72505210,-14.17323000,3.22834600
18.78905210,-6.29921200,3.30708700
18.85305210,-8.26771600,3.30708700
18.91705210,-9.44881800,3.30708700
18.98105210,-6.29921200,3.30708700
19.04505209,-3.93700800,3.30708700
19.10905209,-7.48031400,3.30708700
19.17305209,-5.11811000,3.30708700
19.23705209,-0.39370070,3.30708700
19.30105209,-8.66141700,3.30708700
19.36505208,-5.51181100,3.30708700
19.42905208,-3.54330700,3.30708700
19.49305208,-6.29921200,3.30708700
19.55705208,-9.44881800,3.30708700
19.62105208,-1.96850400,3.30708700
19.68505208,-8.26771600,3.30708700
19.74905207,-5.51181100,3.30708700
19.81305207,-7.08661400,3.30708700
19.87705207,-7.48031400,3.30708700
19.94105207,-13.38583000,3.30708700
20.00505207,-2.75590500,3.30708700
20.06905206,-9.44881800,3.30708700
20.13305206,-10.23622000,3.30708700
20.19705206,-9.44881800,3.30708700
20.26105206,-5.90551100,3.30708700
20.32505206,-9.84251900,3.30708700
20.38905206,-11.02362000,3.30708700
20.45305205,-6.29921200,3.30708700
20.51705205,-11.02362000,3.30708700
20.58105205,-7.48031400,3.30708700
20.64505205,-7.87401500,3.30708700
20.70905205,-6.69291300,3.30708700
20.77305204,-9.44881800,3.30708700
20.83705204,-3.14960600,3.30708700
20.90105204,-8.66141700,3.22834600
20.96505204,-5.90551100,3.30708700
21.02905204,-9.84251900,3.22834600
21.09305204,-4.33070900,3.30708700
21.15705203,-11.41732000,3.30708700
21.22105203,-7.87401500,3.30708700
21.28505203,-11.02362000,3.30708700
21.34905203,-7.48031400,3.30708700
21.41305203,-10.23622000,3.30708700
21.47705202,-5.51181100,3.30708700
21.54105202,-6.69291300,3.30708700
21.60505202,-9.84251900,3.30708700
21.66905202,-1.96850400,3.30708700
21.73305202,-5.51181100,3.30708700
