Time,Channel A,Channel B
(us),(mV),(V)

-0.03296970,-6.69291300,0.00000000
0.03103030,4.72440900,2.59842500
0.09503030,-5.11811000,3.22834600
0.15903030,-3.93700800,3.22834600
0.22303030,-11.02362000,3.22834600
0.28703030,-2.36220500,3.22834600
0.35103029,-7.87401500,3.22834600
0.41503029,-7.87401500,3.30708700
0.47903029,-5.51181100,3.30708700
0.54303029,-5.11811000,3.22834600
0.60703029,-8.66141700,3.22834600
0.67103028,-5.51181100,3.22834600
0.73503028,-2.36220500,3.22834600
0.79903028,-7.08661400,3.30708700
0.86303028,-1.57480300,3.22834600
0.92703028,-3.54330700,3.22834600
0.99103028,-1.57480300,3.22834600
1.05503027,-5.51181100,3.22834600
1.11903027,0.39370070,3.22834600
1.18303027,-6.29921200,3.22834600
1.24703027,-2.36220500,3.22834600
1.31103027,-3.14960600,3.22834600
1.37503026,0.00000000,3.30708700
1.43903026,-5.90551100,3.30708700
1.50303026,-0.39370070,3.22834600
1.56703026,-3.54330700,3.22834600
1.63103026,-5.90551100,3.22834600
1.69503026,-6.69291300,3.22834600
1.75903025,-3.54330700,3.30708700
1.82303025,-6.69291300,3.30708700
1.88703025,-4.72440900,3.30708700
1.95103025,-1.18110200,3.22834600
2.01503025,-3.54330700,3.22834600
2.07903025,-2.75590500,3.22834600
2.14303024,-1.96850400,3.22834600
2.20703024,-1.18110200,3.22834600
2.27103024,-7.48031400,3.22834600
2.33503024,1.18110200,3.30708700
2.39903024,-2.75590500,3.22834600
2.46303023,-0.78740150,3.22834600
2.52703023,-2.75590500,3.22834600
2.59103023,2.36220500,3.22834600
2.65503023,-5.11811000,3.22834600
2.71903023,-1.18110200,3.30708700
2.78303023,-1.18110200,3.30708700
2.84703022,-2.75590500,3.22834600
2.91103022,-3.93700800,3.22834600
2.97503022,0.78740150,3.30708700
3.03903022,-1.57480300,3.30708700
3.10303022,-5.11811000,3.22834600
3.16703021,-2.36220500,3.22834600
3.23103021,-3.93700800,3.30708700
3.29503021,-5.90551100,3.30708700
3.35903021,-4.33070900,3.30708700
3.42303021,1.18110200,3.22834600
3.48703021,-5.90551100,3.22834600
3.55103020,1.96850400,3.22834600
3.61503020,-0.39370070,3.30708700
3.67903020,-1.57480300,3.30708700
3.74303020,-6.29921200,3.22834600
3.80703020,3.14960600,3.22834600
3.87103019,-5.51181100,3.22834600
3.93503019,-1.96850400,3.30708700
3.99903019,0.39370070,3.30708700
4.06303019,-0.78740150,3.30708700
4.12703019,-5.51181100,3.30708700
4.19103019,-0.39370070,3.30708700
4.25503018,-3.54330700,3.30708700
4.31903018,-8.66141700,3.22834600
4.38303018,-1.57480300,3.30708700
4.44703018,-5.11811000,3.30708700
4.51103018,-7.48031400,3.30708700
4.57503017,-5.51181100,3.22834600
4.63903017,-0.78740150,3.30708700
4.70303017,-8.66141700,3.22834600
4.76703017,-2.75590500,3.30708700
4.83103017,-6.29921200,3.22834600
4.89503017,-3.54330700,3.22834600
4.95903016,-7.08661400,3.22834600
5.02303016,0.39370070,3.22834600
5.08703016,-4.72440900,3.30708700
5.15103016,-2.36220500,3.22834600
5.21503016,-3.93700800,3.22834600
5.27903015,-1.18110200,3.22834600
5.34303015,-5.90551100,3.30708700
5.40703015,-3.14960600,3.22834600
5.47103015,-1.96850400,3.30708700
5.53503015,-3.93700800,3.22834600
5.59903015,-2.75590500,3.22834600
5.66303014,-2.36220500,3.30708700
5.72703014,-2.36220500,3.30708700
5.79103014,-9.05511800,3.30708700
5.85503014,-1.96850400,3.30708700
5.91903014,-7.08661400,3.22834600
5.98303013,-5.51181100,3.30708700
6.04703013,-3.54330700,3.22834600
6.11103013,0.39370070,3.30708700
6.17503013,-6.69291300,3.30708700
6.23903013,-0.39370070,3.30708700
6.30303013,-2.75590500,3.30708700
6.36703012,-3.93700800,3.30708700
6.43103012,-4.72440900,3.30708700
6.49503012,1.18110200,3.30708700
6.55903012,-5.51181100,3.30708700
6.62303012,-0.78740150,3.30708700
6.68703011,0.00000000,3.30708700
6.75103011,-4.72440900,3.30708700
6.81503011,-5.11811000,3.30708700
6.87903011,-1.57480300,3.30708700
6.94303011,-3.93700800,3.30708700
7.00703011,-7.87401500,3.30708700
7.07103010,-1.18110200,3.30708700
7.13503010,-7.48031400,3.30708700
7.19903010,-5.51181100,3.30708700
7.26303010,-6.69291300,3.30708700
7.32703010,-2.36220500,3.30708700
7.39103009,-10.23622000,3.30708700
7.45503009,-3.93700800,3.30708700
7.51903009,-3.93700800,3.22834600
7.58303009,-3.93700800,3.30708700
7.64703009,-5.11811000,3.30708700
7.71103009,0.78740150,3.30708700
7.77503008,-5.11811000,3.22834600
7.83903008,-4.33070900,3.30708700
7.90303008,-2.75590500,3.30708700
7.96703008,-3.93700800,3.30708700
8.03103008,-4.33070900,3.30708700
8.09503007,-0.78740150,3.30708700
8.15903007,-1.96850400,3.30708700
8.22303007,-5.51181100,3.30708700
8.28703007,0.39370070,3.30708700
8.35103007,-4.33070900,3.30708700
8.41503007,-4.72440900,3.30708700
8.47903006,-6.69291300,3.30708700
8.54303006,-1.96850400,3.30708700
8.60703006,-8.66141700,3.30708700
8.67103006,-0.39370070,3.30708700
8.73503006,-5.11811000,3.30708700
8.79903006,-1.96850400,3.30708700
8.86303005,-5.11811000,3.30708700
8.92703005,-0.39370070,3.30708700
8.99103005,-5.11811000,3.30708700
9.05503005,-3.54330700,3.30708700
9.11903005,-1.18110200,3.30708700
9.18303004,-1.57480300,3.30708700
9.24703004,-1.96850400,3.30708700
9.31103004,-1.96850400,3.30708700
9.37503004,0.00000000,3.30708700
9.43903004,-3.54330700,3.30708700
9.50303004,0.00000000,3.30708700
9.56703003,-0.39370070,3.30708700
9.63103003,-0.39370070,3.30708700
9.69503003,-4.72440900,3.30708700
9.75903003,2.36220500,3.30708700
9.82303003,-5.51181100,3.30708700
9.88703002,-3.54330700,3.30708700
9.95103002,-3.54330700,3.30708700
10.01503002,-0.78740150,3.30708700
10.07903002,-7.87401500,3.30708700
10.14303002,1.96850400,3.30708700
10.20703002,-1.18110200,3.22834600
10.27103001,-3.14960600,3.30708700
10.33503001,0.00000000,3.30708700
10.39903001,0.00000000,3.30708700
10.46303001,-5.51181100,3.30708700
10.52703001,-2.75590500,3.30708700
10.59103000,1.57480300,3.30708700
10.65503000,-5.51181100,3.30708700
10.71903000,0.39370070,3.30708700
10.78303000,-0.39370070,3.22834600
10.84703000,-1.57480300,3.30708700
10.91103000,-4.33070900,3.30708700
10.97502999,2.36220500,3.30708700
11.03902999,-5.90551100,3.30708700
11.10302999,-3.14960600,3.30708700
11.16702999,-1.57480300,3.30708700
11.23102999,-1.18110200,3.30708700
11.29502998,-6.29921200,3.30708700
11.35902998,0.78740150,3.30708700
11.42302998,-3.54330700,3.22834600
11.48702998,-2.36220500,3.30708700
11.55102998,-2.36220500,3.30708700
11.61502998,0.39370070,3.30708700
11.67902997,-2.36220500,3.30708700
11.74302997,-1.57480300,3.30708700
11.80702997,2.36220500,3.30708700
11.87102997,-3.93700800,3.30708700
11.93502997,-1.57480300,3.30708700
11.99902996,-2.36220500,3.30708700
12.06302996,0.00000000,3.30708700
12.12702996,-6.29921200,3.30708700
12.19102996,2.36220500,3.30708700
12.25502996,-2.36220500,3.30708700
12.31902996,-2.75590500,3.30708700
12.38302995,-4.72440900,3.30708700
12.44702995,-2.36220500,3.30708700
12.51102995,-9.44881800,3.30708700
12.57502995,-3.93700800,3.30708700
12.63902995,-4.72440900,3.30708700
12.70302994,-5.11811000,3.30708700
12.76702994,-6.69291300,3.30708700
12.83102994,-0.39370070,3.30708700
12.89502994,-5.11811000,3.30708700
12.95902994,-7.87401500,3.30708700
13.02302994,-3.93700800,3.22834600
13.08702993,-5.11811000,3.30708700
13.15102993,-7.48031400,3.30708700
13.21502993,-5.51181100,3.30708700
13.27902993,-1.57480300,3.30708700
13.34302993,-8.66141700,3.30708700
13.40702992,-2.36220500,3.30708700
13.47102992,-6.29921200,3.30708700
13.53502992,-5.51181100,3.30708700
13.59902992,-10.23622000,3.30708700
13.66302992,-1.18110200,3.30708700
13.72702992,-8.66141700,3.30708700
13.79102991,-7.08661400,3.30708700
13.85502991,-6.69291300,3.30708700
13.91902991,-6.69291300,3.30708700
13.98302991,-12.20472000,3.30708700
14.04702991,-5.51181100,3.30708700
14.11102990,-7.87401500,3.30708700
14.17502990,-10.23622000,3.30708700
14.23902990,-2.36220500,3.30708700
14.30302990,-3.54330700,3.30708700
14.36702990,-6.69291300,3.30708700
14.43102990,-3.93700800,3.30708700
14.49502989,-2.36220500,3.30708700
14.55902989,-10.23622000,3.30708700
14.62302989,-2.75590500,3.30708700
14.68702989,-6.29921200,3.30708700
14.75102989,-4.72440900,3.30708700
14.81502988,-7.48031400,3.30708700
14.87902988,-0.39370070,3.30708700
14.94302988,-9.44881800,3.30708700
15.00702988,-5.11811000,3.30708700
15.07102988,-7.48031400,3.30708700
15.13502988,-7.08661400,3.30708700
15.19902987,-9.84251900,3.30708700
15.26302987,-5.51181100,3.30708700
15.32702987,-7.08661400,3.30708700
15.39102987,-8.66141700,3.30708700
15.45502987,-7.87401500,3.30708700
15.51902986,-7.48031400,3.30708700
15.58302986,-7.87401500,3.30708700
15.64702986,-10.62992000,3.30708700
15.71102986,-6.29921200,3.30708700
15.77502986,-12.20472000,3.30708700
15.83902986,-7.48031400,3.22834600
15.90302985,-6.29921200,3.30708700
15.96702985,-4.72440900,3.30708700
16.03102985,-9.05511800,3.30708700
16.09502985,-3.54330700,3.30708700
16.15902985,-10.62992000,3.30708700
16.22302985,-5.51181100,3.30708700
16.28702984,-6.29921200,3.30708700
16.35102984,-3.14960600,3.30708700
16.41502984,-10.62992000,3.30708700
16.47902984,-4.72440900,3.30708700
16.54302984,-9.84251900,3.30708700
16.60702983,-9.84251900,3.30708700
16.67102983,-7.08661400,3.30708700
16.73502983,-5.11811000,3.30708700
16.79902983,-5.11811000,3.30708700
16.86302983,-5.90551100,3.30708700
16.92702983,-0.39370070,3.30708700
16.99102982,-6.69291300,3.30708700
17.05502982,-3.93700800,3.30708700
17.11902982,-5.51181100,3.30708700
17.18302982,-4.33070900,3.30708700
17.24702982,-10.62992000,3.30708700
17.31102981,-1.18110200,3.30708700
17.37502981,-6.29921200,3.30708700
17.43902981,-3.93700800,3.30708700
17.50302981,-5.51181100,3.30708700
17.56702981,-0.78740150,3.30708700
17.63102981,-9.44881800,3.30708700
17.69502980,-1.57480300,3.30708700
17.75902980,-7.08661400,3.30708700
17.82302980,-9.44881800,3.30708700
17.88702980,-9.05511800,3.30708700
17.95102980,-5.51181100,3.30708700
18.01502979,-9.84251900,3.30708700
18.07902979,-12.20472000,3.30708700
18.14302979,-4.33070900,3.30708700
18.20702979,-10.23622000,3.30708700
18.27102979,-7.87401500,3.30708700
18.33502979,-8.66141700,3.22834600
18.39902978,-5.11811000,3.30708700
18.46302978,-11.02362000,3.30708700
18.52702978,-5.11811000,3.30708700
18.59102978,-7.48031400,3.30708700
18.65502978,-9.44881800,3.22834600
18.71902977,-8.66141700,3.30708700
18.78302977,-4.33070900,3.30708700
18.84702977,-10.62992000,3.30708700
18.91102977,-3.54330700,3.30708700
18.97502977,-4.33070900,3.30708700
19.03902977,-4.33070900,3.30708700
19.10302976,-5.90551100,3.30708700
19.16702976,-3.93700800,3.30708700
19.23102976,-7.87401500,3.30708700
19.29502976,-8.66141700,3.30708700
19.35902976,-3.54330700,3.30708700
19.42302975,-8.26771600,3.30708700
19.48702975,-5.11811000,3.30708700
19.55102975,-7.08661400,3.30708700
19.61502975,-2.36220500,3.30708700
19.67902975,-9.84251900,3.30708700
19.74302975,-2.36220500,3.30708700
19.80702974,-5.51181100,3.30708700
19.87102974,-2.75590500,3.30708700
19.93502974,-7.08661400,3.30708700
19.99902974,0.39370070,3.30708700
20.06302974,-3.93700800,3.30708700
20.12702973,-5.51181100,3.30708700
20.19102973,-3.93700800,3.30708700
20.25502973,-4.72440900,3.30708700
20.31902973,-10.23622000,3.30708700
20.38302973,-6.29921200,3.30708700
20.44702973,-4.72440900,3.30708700
20.51102972,-11.41732000,3.30708700
20.57502972,-7.48031400,3.30708700
20.63902972,-8.26771600,3.30708700
20.70302972,-11.41732000,3.30708700
20.76702972,-11.81102000,3.30708700
20.83102971,-4.33070900,3.30708700
20.89502971,-12.20472000,3.30708700
20.95902971,-5.51181100,3.30708700
21.02302971,-8.26771600,3.30708700
21.08702971,-5.51181100,3.30708700
21.15102971,-12.20472000,3.30708700
21.21502970,-3.54330700,3.30708700
21.27902970,-8.66141700,3.30708700
21.34302970,-7.48031400,3.30708700
21.40702970,-4.33070900,3.30708700
21.47102970,-3.54330700,3.30708700
21.53502969,-5.51181100,3.30708700
21.59902969,-3.54330700,3.30708700
21.66302969,-2.75590500,3.30708700
