Time,Channel A,Channel B
(us),(mV),(V)

-0.02720000,-5.90551100,0.00000000
0.03680000,-2.36220500,3.14960600
0.10080000,-1.96850400,3.22834600
0.16480000,-9.05511800,3.22834600
0.22879999,-4.72440900,3.30708700
0.29279999,-5.90551100,3.22834600
0.35679999,-4.33070900,3.30708700
0.42079999,-7.87401500,3.30708700
0.48479999,-0.39370070,3.22834600
0.54879999,-5.51181100,3.30708700
0.61279998,-5.11811000,3.22834600
0.67679998,-3.14960600,3.22834600
0.74079998,-2.36220500,3.22834600
0.80479998,-7.87401500,3.22834600
0.86879998,-4.72440900,3.30708700
0.93279997,-2.36220500,3.30708700
0.99679997,-7.48031400,3.22834600
1.06079997,-2.75590500,3.30708700
1.12479997,-5.11811000,3.22834600
1.18879997,-5.90551100,3.22834600
1.25279997,-7.87401500,3.22834600
1.31679996,-1.57480300,3.22834600
1.38079996,-8.66141700,3.22834600
1.44479996,-3.93700800,3.22834600
1.50879996,-2.75590500,3.22834600
1.57279996,-5.11811000,3.22834600
1.63679995,-6.69291300,3.22834600
1.70079995,-0.78740150,3.22834600
1.76479995,-5.51181100,3.22834600
1.82879995,-5.11811000,3.22834600
1.89279995,-0.39370070,3.22834600
1.95679995,-1.57480300,3.22834600
2.02079994,-2.36220500,3.22834600
2.08479994,1.96850400,3.30708700
2.14879994,1.96850400,3.22834600
2.21279994,-3.93700800,3.22834600
2.27679994,-1.18110200,3.22834600
2.34079993,-3.14960600,3.22834600
2.40479993,0.00000000,3.30708700
2.46879993,-4.72440900,3.22834600
2.53279993,3.54330700,3.22834600
2.59679993,-5.11811000,3.22834600
2.66079993,0.00000000,3.30708700
2.72479992,-4.33070900,3.22834600
2.78879992,1.57480300,3.30708700
2.85279992,-5.11811000,3.22834600
2.91679992,-0.39370070,3.22834600
2.98079992,1.57480300,3.22834600
3.04479991,-2.36220500,3.22834600
3.10879991,-0.78740150,3.22834600
3.17279991,0.00000000,3.22834600
3.23679991,-1.57480300,3.22834600
3.30079991,-5.90551100,3.30708700
3.36479991,1.18110200,3.30708700
3.42879990,-4.33070900,3.22834600
3.49279990,-1.57480300,3.30708700
3.55679990,1.96850400,3.22834600
3.62079990,-0.39370070,3.30708700
3.68479990,-8.66141700,3.30708700
3.74879990,-0.78740150,3.30708700
3.81279989,-1.18110200,3.22834600
3.87679989,-5.11811000,3.30708700
3.94079989,-6.29921200,3.30708700
4.00479989,-0.39370070,3.22834600
4.06879989,-9.44881800,3.22834600
4.13279988,-2.36220500,3.22834600
4.19679988,-1.18110200,3.30708700
4.26079988,-7.08661400,3.22834600
4.32479988,-3.93700800,3.22834600
4.38879988,-0.39370070,3.22834600
4.45279988,-2.36220500,3.22834600
4.51679987,-6.69291300,3.22834600
4.58079987,1.96850400,3.22834600
4.64479987,-6.69291300,3.22834600
4.70879987,-0.78740150,3.30708700
4.77279987,-3.54330700,3.22834600
4.83679986,0.00000000,3.22834600
4.90079986,-7.48031400,3.22834600
4.96479986,0.00000000,3.30708700
5.02879986,-4.72440900,3.22834600
5.09279986,-4.72440900,3.30708700
5.15679986,-5.51181100,3.30708700
5.22079985,-0.39370070,3.22834600
5.28479985,-4.33070900,3.30708700
5.34879985,-5.11811000,3.30708700
5.41279985,-0.78740150,3.22834600
5.47679985,-4.33070900,3.30708700
5.54079984,-1.96850400,3.30708700
5.60479984,1.96850400,3.30708700
5.66879984,-1.18110200,3.30708700
5.73279984,-5.51181100,3.30708700
5.79679984,-0.78740150,3.30708700
5.86079984,-6.69291300,3.30708700
5.92479983,-3.14960600,3.30708700
5.98879983,-4.33070900,3.30708700
6.05279983,1.18110200,3.30708700
6.11679983,-5.11811000,3.30708700
6.18079983,0.78740150,3.30708700
6.24479982,-4.33070900,3.30708700
6.30879982,-3.54330700,3.30708700
6.37279982,-5.11811000,3.30708700
6.43679982,-2.75590500,3.30708700
6.50079982,-4.33070900,3.30708700
6.56479982,-5.51181100,3.30708700
6.62879981,-1.96850400,3.30708700
6.69279981,-5.90551100,3.22834600
6.75679981,-4.72440900,3.30708700
6.82079981,-6.29921200,3.22834600
6.88479981,-3.93700800,3.22834600
6.94879980,-7.08661400,3.22834600
7.01279980,-2.75590500,3.30708700
7.07679980,-3.54330700,3.30708700
7.14079980,-2.36220500,3.30708700
7.20479980,-4.72440900,3.30708700
7.26879980,1.57480300,3.30708700
7.33279979,-5.90551100,3.30708700
7.39679979,-3.14960600,3.30708700
7.46079979,-1.18110200,3.22834600
7.52479979,-1.18110200,3.30708700
7.58879979,-5.11811000,3.30708700
7.65279978,0.78740150,3.30708700
7.71679978,-2.75590500,3.30708700
7.78079978,-6.29921200,3.30708700
7.84479978,0.39370070,3.22834600
7.90879978,-3.54330700,3.30708700
7.97279978,-5.11811000,3.22834600
8.03679977,-3.14960600,3.30708700
8.10079977,1.96850400,3.30708700
8.16479977,-7.08661400,3.30708700
8.22879977,1.96850400,3.30708700
8.29279977,-1.96850400,3.30708700
8.35679976,-1.96850400,3.30708700
8.42079976,-4.72440900,3.30708700
8.48479976,0.39370070,3.30708700
8.54879976,-5.11811000,3.22834600
8.61279976,-1.57480300,3.30708700
8.67679976,0.39370070,3.30708700
8.74079975,-1.18110200,3.30708700
8.80479975,-3.54330700,3.30708700
8.86879975,-1.96850400,3.30708700
8.93279975,-3.54330700,3.30708700
8.99679975,-7.08661400,3.30708700
9.06079974,-2.36220500,3.30708700
9.12479974,-3.14960600,3.30708700
9.18879974,-1.96850400,3.30708700
9.25279974,-4.33070900,3.30708700
9.31679974,0.78740150,3.30708700
9.38079974,-6.29921200,3.30708700
9.44479973,0.00000000,3.30708700
9.50879973,-2.75590500,3.22834600
9.57279973,0.00000000,3.30708700
9.63679973,-4.33070900,3.30708700
9.70079973,2.75590500,3.30708700
9.76479972,-0.78740150,3.30708700
9.82879972,-1.18110200,3.30708700
9.89279972,0.39370070,3.30708700
9.95679972,0.78740150,3.30708700
10.02079972,-1.96850400,3.30708700
10.08479972,0.00000000,3.30708700
10.14879971,3.93700800,3.22834600
10.21279971,-2.36220500,3.30708700
10.27679971,1.18110200,3.30708700
10.34079971,0.00000000,3.30708700
10.40479971,-0.78740150,3.30708700
10.46879970,-5.90551100,3.30708700
10.53279970,1.96850400,3.30708700
10.59679970,-2.75590500,3.30708700
10.66079970,-1.18110200,3.30708700
10.72479970,-0.78740150,3.30708700
10.78879970,2.36220500,3.30708700
10.85279969,-4.72440900,3.30708700
10.91679969,1.18110200,3.30708700
10.98079969,-0.39370070,3.30708700
11.04479969,-1.96850400,3.30708700
11.10879969,-1.18110200,3.30708700
11.17279969,3.93700800,3.30708700
11.23679968,-1.57480300,3.30708700
11.30079968,-2.75590500,3.30708700
11.36479968,2.75590500,3.30708700
11.42879968,-3.93700800,3.30708700
11.49279968,-1.96850400,3.30708700
11.55679967,-1.57480300,3.30708700
11.62079967,-0.39370070,3.30708700
11.68479967,-6.69291300,3.30708700
11.74879967,3.14960600,3.30708700
11.81279967,-4.33070900,3.30708700
11.87679967,-3.93700800,3.30708700
11.94079966,-4.33070900,3.30708700
12.00479966,-1.57480300,3.30708700
12.06879966,-8.26771600,3.22834600
12.13279966,-2.36220500,3.30708700
12.19679966,-1.96850400,3.30708700
12.26079965,-4.72440900,3.30708700
12.32479965,-3.14960600,3.30708700
12.38879965,-1.96850400,3.30708700
12.45279965,-5.11811000,3.22834600
12.51679965,-3.14960600,3.30708700
12.58079965,0.00000000,3.30708700
12.64479964,-4.33070900,3.30708700
12.70879964,-1.18110200,3.30708700
12.77279964,-2.36220500,3.30708700
12.83679964,-0.78740150,3.30708700
12.90079964,-5.90551100,3.30708700
12.96479963,-1.57480300,3.30708700
13.02879963,-6.69291300,3.30708700
13.09279963,-3.54330700,3.30708700
13.15679963,-7.08661400,3.30708700
13.22079963,-1.57480300,3.30708700
13.28479963,-6.29921200,3.30708700
13.34879962,-5.51181100,3.30708700
13.41279962,-4.33070900,3.30708700
13.47679962,-4.33070900,3.30708700
13.54079962,-8.26771600,3.30708700
13.60479962,-4.72440900,3.30708700
13.66879961,-2.75590500,3.30708700
13.73279961,-7.08661400,3.30708700
13.79679961,-1.57480300,3.30708700
13.86079961,-5.90551100,3.30708700
13.92479961,-7.08661400,3.30708700
13.98879961,-8.66141700,3.30708700
14.05279960,-3.14960600,3.30708700
14.11679960,-10.23622000,3.30708700
14.18079960,-3.14960600,3.30708700
14.24479960,-4.33070900,3.30708700
14.30879960,-3.93700800,3.30708700
14.37279959,-8.26771600,3.30708700
14.43679959,-2.36220500,3.30708700
14.50079959,-9.84251900,3.30708700
14.56479959,-7.08661400,3.30708700
14.62879959,-6.29921200,3.30708700
14.69279959,-8.66141700,3.30708700
14.75679958,-9.05511800,3.30708700
14.82079958,-5.11811000,3.30708700
14.88479958,-5.11811000,3.30708700
14.94879958,-10.23622000,3.30708700
15.01279958,-4.33070900,3.30708700
15.07679957,-7.08661400,3.30708700
15.14079957,-5.11811000,3.30708700
15.20479957,-9.05511800,3.30708700
15.26879957,-0.39370070,3.30708700
15.33279957,-9.44881800,3.30708700
15.39679957,-3.14960600,3.30708700
15.46079956,-4.33070900,3.30708700
15.52479956,-6.69291300,3.30708700
15.58879956,-8.66141700,3.30708700
15.65279956,-2.36220500,3.30708700
15.71679956,-7.48031400,3.30708700
15.78079955,-7.87401500,3.30708700
15.84479955,-4.33070900,3.30708700
15.90879955,-6.29921200,3.30708700
15.97279955,-8.66141700,3.30708700
16.03679955,-6.69291300,3.30708700
16.10079955,-5.90551100,3.30708700
16.16479954,-10.23622000,3.30708700
16.22879954,-3.93700800,3.30708700
16.29279954,-4.72440900,3.30708700
16.35679954,-5.51181100,3.22834600
16.42079954,-8.26771600,3.30708700
16.48479953,-1.96850400,3.30708700
16.54879953,-9.84251900,3.30708700
16.61279953,-3.54330700,3.30708700
16.67679953,-5.90551100,3.30708700
16.74079953,-2.36220500,3.30708700
16.80479953,-5.90551100,3.30708700
16.86879952,-1.57480300,3.30708700
16.93279952,-5.11811000,3.30708700
16.99679952,-7.48031400,3.30708700
17.06079952,-6.69291300,3.30708700
17.12479952,-6.69291300,3.30708700
17.18879951,-7.87401500,3.30708700
17.25279951,-9.05511800,3.30708700
17.31679951,-3.54330700,3.30708700
17.38079951,-8.66141700,3.30708700
17.44479951,-6.69291300,3.30708700
17.50879951,-7.08661400,3.30708700
17.57279950,-6.69291300,3.22834600
17.63679950,-11.81102000,3.30708700
17.70079950,-4.33070900,3.30708700
17.76479950,-7.08661400,3.30708700
17.82879950,-7.87401500,3.30708700
17.89279949,-8.26771600,3.30708700
17.95679949,-1.57480300,3.30708700
18.02079949,-12.59842000,3.30708700
18.08479949,-5.51181100,3.22834600
18.14879949,-4.72440900,3.30708700
18.21279949,-9.05511800,3.30708700
18.27679948,-6.69291300,3.30708700
18.34079948,-3.14960600,3.30708700
18.40479948,-7.08661400,3.30708700
18.46879948,-9.84251900,3.30708700
18.53279948,-2.36220500,3.30708700
18.59679948,-11.41732000,3.30708700
18.66079947,-7.08661400,3.30708700
18.72479947,-8.26771600,3.30708700
18.78879947,-4.33070900,3.30708700
18.85279947,-9.84251900,3.30708700
18.91679947,-2.36220500,3.30708700
18.98079946,-5.51181100,3.30708700
19.04479946,-5.11811000,3.30708700
19.10879946,-5.90551100,3.30708700
19.17279946,-3.54330700,3.30708700
19.23679946,-7.08661400,3.30708700
19.30079946,-5.11811000,3.30708700
19.36479945,-2.75590500,3.30708700
19.42879945,-5.11811000,3.30708700
19.49279945,-6.29921200,3.30708700
19.55679945,-4.72440900,3.30708700
19.62079945,-5.11811000,3.30708700
19.68479944,-8.66141700,3.30708700
19.74879944,-3.54330700,3.30708700
19.81279944,-6.29921200,3.30708700
19.87679944,-5.51181100,3.30708700
19.94079944,-7.48031400,3.30708700
20.00479944,-3.14960600,3.30708700
20.06879943,-12.99213000,3.30708700
20.13279943,-6.29921200,3.30708700
20.19679943,-8.66141700,3.30708700
20.26079943,-7.48031400,3.30708700
20.32479943,-9.05511800,3.30708700
20.38879942,-6.29921200,3.30708700
20.45279942,-7.87401500,3.30708700
20.51679942,-8.26771600,3.30708700
20.58079942,-7.48031400,3.22834600
20.64479942,-7.87401500,3.30708700
20.70879942,-8.66141700,3.30708700
20.77279941,-6.69291300,3.30708700
20.83679941,-3.54330700,3.30708700
20.90079941,-9.84251900,3.30708700
20.96479941,-3.93700800,3.30708700
21.02879941,-6.69291300,3.30708700
21.09279940,-7.48031400,3.30708700
21.15679940,-10.62992000,3.30708700
21.22079940,-3.54330700,3.30708700
21.28479940,-9.44881800,3.30708700
21.34879940,-4.72440900,3.30708700
21.41279940,-5.11811000,3.30708700
21.47679939,-2.75590500,3.30708700
21.54079939,-8.66141700,3.30708700
21.60479939,-1.57480300,3.30708700
21.66879939,-5.51181100,3.30708700
21.73279939,-7.87401500,3.30708700
