Time,Channel A,Channel B
(us),(mV),(V)

-0.03022222,-8.66141700,0.00000000
0.03377778,0.00000000,2.83464600
0.09777778,-7.08661400,3.22834600
0.16177777,-6.69291300,3.22834600
0.22577777,-7.08661400,3.22834600
0.28977777,-1.57480300,3.22834600
0.35377777,-11.41732000,3.22834600
0.41777777,-5.11811000,3.22834600
0.48177776,-4.33070900,3.22834600
0.54577776,-4.72440900,3.22834600
0.60977776,-5.11811000,3.22834600
0.67377776,0.00000000,3.22834600
0.73777776,-2.36220500,3.22834600
0.80177776,-6.29921200,3.22834600
0.86577775,0.00000000,3.22834600
0.92977775,-5.90551100,3.22834600
0.99377775,-4.33070900,3.22834600
1.05777775,-3.54330700,3.22834600
1.12177775,1.96850400,3.22834600
1.18577774,-7.48031400,3.22834600
1.24977774,0.00000000,3.22834600
1.31377774,-1.96850400,3.22834600
1.37777774,-4.72440900,3.22834600
1.44177774,-8.66141700,3.22834600
1.50577774,-1.57480300,3.22834600
1.56977773,-8.26771600,3.22834600
1.63377773,-4.33070900,3.22834600
1.69777773,-2.36220500,3.22834600
1.76177773,-3.14960600,3.22834600
1.82577773,-6.29921200,3.22834600
1.88977772,0.78740150,3.22834600
1.95377772,-0.78740150,3.22834600
2.01777772,-5.11811000,3.22834600
2.08177772,1.18110200,3.22834600
2.14577772,-0.78740150,3.22834600
2.20977772,-1.18110200,3.22834600
2.27377771,-1.96850400,3.22834600
2.33777771,3.14960600,3.22834600
2.40177771,-6.69291300,3.22834600
2.46577771,1.96850400,3.22834600
2.52977771,-1.96850400,3.22834600
2.59377770,0.39370070,3.22834600
2.65777770,-2.75590500,3.22834600
2.72177770,2.36220500,3.22834600
2.78577770,-3.14960600,3.22834600
2.84977770,-3.54330700,3.30708700
2.91377770,-3.14960600,3.22834600
2.97777769,-1.96850400,3.22834600
3.04177769,-3.54330700,3.30708700
3.10577769,-1.96850400,3.22834600
3.16977769,0.00000000,3.22834600
3.23377769,-1.96850400,3.22834600
3.29777768,-0.78740150,3.22834600
3.36177768,-0.39370070,3.22834600
3.42577768,0.00000000,3.22834600
3.48977768,-6.29921200,3.22834600
3.55377768,2.75590500,3.30708700
3.61777768,-3.93700800,3.22834600
3.68177767,-1.57480300,3.30708700
3.74577767,-2.75590500,3.22834600
3.80977767,2.75590500,3.22834600
3.87377767,-7.48031400,3.22834600
3.93777767,1.18110200,3.30708700
4.00177766,-3.14960600,3.30708700
4.06577766,-6.69291300,3.22834600
4.12977766,-4.72440900,3.30708700
4.19377766,-1.18110200,3.22834600
4.25777766,-6.69291300,3.22834600
4.32177766,-5.51181100,3.22834600
4.38577765,-0.39370070,3.30708700
4.44977765,-8.26771600,3.22834600
4.51377765,-5.51181100,3.22834600
4.57777765,-3.54330700,3.22834600
4.64177765,-1.96850400,3.22834600
4.70577764,-5.90551100,3.22834600
4.76977764,1.96850400,3.22834600
4.83377764,-6.69291300,3.22834600
4.89777764,-2.36220500,3.22834600
4.96177764,-4.33070900,3.22834600
5.02577764,-0.78740150,3.22834600
5.08977763,-7.08661400,3.30708700
5.15377763,0.39370070,3.30708700
5.21777763,-3.14960600,3.22834600
5.28177763,-1.18110200,3.22834600
5.34577763,-2.75590500,3.22834600
5.40977762,-2.36220500,3.30708700
5.47377762,-5.90551100,3.30708700
5.53777762,-6.69291300,3.30708700
5.60177762,-1.57480300,3.30708700
5.66577762,-6.69291300,3.22834600
5.72977762,-1.57480300,3.22834600
5.79377761,-4.33070900,3.22834600
5.85777761,0.78740150,3.30708700
5.92177761,-7.08661400,3.22834600
5.98577761,0.00000000,3.22834600
6.04977761,-3.93700800,3.30708700
6.11377761,-2.36220500,3.30708700
6.17777760,-3.54330700,3.30708700
6.24177760,1.18110200,3.30708700
6.30577760,-5.11811000,3.22834600
6.36977760,-1.57480300,3.22834600
6.43377760,-1.57480300,3.22834600
6.49777759,-3.14960600,3.22834600
6.56177759,-5.11811000,3.30708700
6.62577759,0.00000000,3.30708700
6.68977759,-3.54330700,3.30708700
6.75377759,-6.29921200,3.30708700
6.81777759,-2.75590500,3.30708700
6.88177758,-5.90551100,3.30708700
6.94577758,-5.11811000,3.30708700
7.00977758,-6.29921200,3.30708700
7.07377758,-1.57480300,3.22834600
7.13777758,-11.41732000,3.22834600
7.20177757,-1.18110200,3.22834600
7.26577757,-3.14960600,3.22834600
7.32977757,-2.36220500,3.22834600
7.39377757,-6.29921200,3.22834600
7.45777757,-0.39370070,3.22834600
7.52177757,-6.29921200,3.22834600
7.58577756,-5.51181100,3.30708700
7.64977756,-2.36220500,3.22834600
7.71377756,-3.14960600,3.22834600
7.77777756,-3.93700800,3.22834600
7.84177756,0.39370070,3.22834600
7.90577755,-1.57480300,3.22834600
7.96977755,-6.69291300,3.30708700
8.03377755,-0.39370070,3.22834600
8.09777755,-3.93700800,3.30708700
8.16177755,-6.69291300,3.30708700
8.22577755,-4.72440900,3.30708700
8.28977754,0.78740150,3.22834600
8.35377754,-8.66141700,3.22834600
8.41777754,-1.18110200,3.22834600
8.48177754,-3.93700800,3.22834600
8.54577754,-4.33070900,3.30708700
8.60977753,-6.69291300,3.30708700
8.67377753,3.54330700,3.22834600
8.73777753,-5.51181100,3.22834600
8.80177753,-1.96850400,3.30708700
8.86577753,-0.78740150,3.22834600
8.92977753,-2.36220500,3.30708700
8.99377752,-5.51181100,3.30708700
9.05777752,-3.14960600,3.30708700
9.12177752,-1.96850400,3.22834600
9.18577752,-5.11811000,3.30708700
9.24977752,0.00000000,3.30708700
9.31377751,-2.36220500,3.30708700
9.37777751,-1.57480300,3.30708700
9.44177751,-5.51181100,3.22834600
9.50577751,0.00000000,3.30708700
9.56977751,-5.90551100,3.30708700
9.63377751,-3.14960600,3.30708700
9.69777750,-3.93700800,3.30708700
9.76177750,1.96850400,3.30708700
9.82577750,-5.11811000,3.22834600
9.88977750,0.78740150,3.22834600
9.95377750,-1.18110200,3.22834600
10.01777749,-0.78740150,3.22834600
10.08177749,-2.75590500,3.30708700
10.14577749,1.96850400,3.22834600
10.20977749,-3.93700800,3.30708700
10.27377749,-2.36220500,3.22834600
10.33777749,3.54330700,3.30708700
10.40177748,-3.14960600,3.22834600
10.46577748,-0.78740150,3.22834600
10.52977748,-0.39370070,3.30708700
10.59377748,0.00000000,3.22834600
10.65777748,-6.69291300,3.30708700
10.72177747,3.93700800,3.22834600
10.78577747,-4.33070900,3.22834600
10.84977747,-2.75590500,3.30708700
10.91377747,-1.96850400,3.22834600
10.97777747,0.00000000,3.30708700
11.04177747,-7.87401500,3.30708700
11.10577746,0.39370070,3.30708700
11.16977746,-1.18110200,3.30708700
11.23377746,-2.36220500,3.30708700
11.29777746,-0.39370070,3.30708700
11.36177746,2.75590500,3.22834600
11.42577745,-2.75590500,3.30708700
11.48977745,-1.18110200,3.30708700
11.55377745,0.78740150,3.30708700
11.61777745,-4.72440900,3.30708700
11.68177745,-1.57480300,3.30708700
11.74577745,-1.96850400,3.30708700
11.80977744,1.18110200,3.30708700
11.87377744,-5.11811000,3.30708700
11.93777744,2.36220500,3.30708700
12.00177744,-4.33070900,3.30708700
12.06577744,-1.57480300,3.30708700
12.12977743,-7.08661400,3.30708700
12.19377743,-2.36220500,3.30708700
12.25777743,-6.69291300,3.30708700
12.32177743,-2.75590500,3.30708700
12.38577743,-2.75590500,3.30708700
12.44977743,-4.33070900,3.30708700
12.51377742,-4.33070900,3.30708700
12.57777742,-2.36220500,3.30708700
12.64177742,-3.93700800,3.22834600
12.70577742,-5.11811000,3.30708700
12.76977742,-1.18110200,3.22834600
12.83377741,-4.72440900,3.22834600
12.89777741,-3.54330700,3.30708700
12.96177741,-5.11811000,3.22834600
13.02577741,-1.96850400,3.30708700
13.08977741,-8.26771600,3.22834600
13.15377741,-2.36220500,3.30708700
13.21777740,-5.90551100,3.30708700
13.28177740,-3.54330700,3.22834600
13.34577740,-6.69291300,3.30708700
13.40977740,0.00000000,3.30708700
13.47377740,-8.66141700,3.30708700
13.53777740,-6.69291300,3.30708700
13.60177739,-7.08661400,3.30708700
13.66577739,-6.69291300,3.30708700
13.72977739,-8.66141700,3.30708700
13.79377739,-5.11811000,3.30708700
13.85777739,-5.90551100,3.30708700
13.92177738,-9.05511800,3.30708700
13.98577738,-2.75590500,3.30708700
14.04977738,-6.69291300,3.22834600
14.11377738,-7.87401500,3.30708700
14.17777738,-8.26771600,3.30708700
14.24177738,-1.18110200,3.30708700
14.30577737,-9.44881800,3.30708700
14.36977737,-3.54330700,3.30708700
14.43377737,-5.11811000,3.30708700
14.49777737,-4.72440900,3.30708700
14.56177737,-8.26771600,3.30708700
14.62577736,-0.39370070,3.30708700
14.68977736,-9.84251900,3.30708700
14.75377736,-6.69291300,3.22834600
14.81777736,-4.72440900,3.30708700
14.88177736,-5.11811000,3.30708700
14.94577736,-11.02362000,3.30708700
15.00977735,-4.33070900,3.22834600
15.07377735,-7.48031400,3.30708700
15.13777735,-13.77953000,3.22834600
15.20177735,-6.69291300,3.30708700
15.26577735,-8.66141700,3.30708700
15.32977734,-7.08661400,3.22834600
15.39377734,-5.90551100,3.30708700
15.45777734,-2.36220500,3.30708700
15.52177734,-12.99213000,3.22834600
15.58577734,-3.14960600,3.22834600
15.64977734,-8.66141700,3.22834600
15.71377733,-4.33070900,3.30708700
15.77777733,-9.05511800,3.30708700
15.84177733,-3.93700800,3.22834600
15.90577733,-7.08661400,3.30708700
15.96977733,-6.29921200,3.22834600
16.03377732,-6.29921200,3.30708700
16.09777732,-5.90551100,3.30708700
16.16177732,-9.84251900,3.22834600
16.22577732,-7.08661400,3.30708700
16.28977732,-1.96850400,3.22834600
16.35377732,-11.02362000,3.30708700
16.41777731,-7.08661400,3.30708700
16.48177731,-6.29921200,3.30708700
16.54577731,-4.33070900,3.22834600
16.60977731,-11.02362000,3.22834600
16.67377731,-1.57480300,3.22834600
16.73777730,-7.87401500,3.30708700
16.80177730,-3.93700800,3.30708700
16.86577730,-5.51181100,3.30708700
16.92977730,-1.18110200,3.30708700
16.99377730,-10.62992000,3.30708700
17.05777730,-1.18110200,3.30708700
17.12177729,-1.57480300,3.30708700
17.18577729,-9.05511800,3.30708700
17.24977729,-5.90551100,3.30708700
17.31377729,-3.14960600,3.30708700
17.37777729,-9.84251900,3.30708700
17.44177728,-6.69291300,3.30708700
17.50577728,-2.75590500,3.22834600
17.56977728,-11.41732000,3.30708700
17.63377728,-6.69291300,3.30708700
17.69777728,-7.48031400,3.30708700
17.76177728,-8.66141700,3.22834600
17.82577727,-12.59842000,3.22834600
17.88977727,-2.36220500,3.22834600
17.95377727,-9.44881800,3.30708700
18.01777727,-6.69291300,3.22834600
18.08177727,-8.26771600,3.22834600
18.14577726,-5.51181100,3.22834600
18.20977726,-14.96063000,3.22834600
18.27377726,-6.29921200,3.22834600
18.33777726,-10.62992000,3.30708700
18.40177726,-7.08661400,3.30708700
18.46577726,-5.11811000,3.22834600
18.52977725,-5.90551100,3.22834600
18.59377725,-7.87401500,3.22834600
18.65777725,-8.66141700,3.30708700
18.72177725,-3.93700800,3.30708700
18.78577725,-10.23622000,3.22834600
18.84977724,-7.08661400,3.22834600
18.91377724,-8.26771600,3.30708700
18.97777724,-4.72440900,3.30708700
19.04177724,-10.62992000,3.30708700
19.10577724,-3.14960600,3.30708700
19.16977724,-11.02362000,3.30708700
19.23377723,-6.69291300,3.30708700
19.29777723,-7.87401500,3.30708700
19.36177723,-2.36220500,3.30708700
19.42577723,-9.05511800,3.30708700
19.48977723,-2.75590500,3.30708700
19.55377722,-5.11811000,3.30708700
19.61777722,-6.29921200,3.30708700
19.68177722,-8.26771600,3.30708700
19.74577722,-5.11811000,3.30708700
19.80977722,-5.11811000,3.30708700
19.87377722,-6.69291300,3.22834600
19.93777721,-1.57480300,3.30708700
20.00177721,-7.08661400,3.30708700
20.06577721,-4.72440900,3.22834600
20.12977721,-9.05511800,3.30708700
20.19377721,-3.54330700,3.30708700
20.25777721,-13.77953000,3.22834600
20.32177720,-6.29921200,3.30708700
20.38577720,-8.66141700,3.22834600
20.44977720,-7.48031400,3.30708700
20.51377720,-11.02362000,3.30708700
20.57777720,-4.72440900,3.30708700
20.64177719,-11.02362000,3.30708700
20.70577719,-9.84251900,3.30708700
20.76977719,-5.11811000,3.30708700
20.83377719,-8.66141700,3.22834600
20.89777719,-11.81102000,3.30708700
20.96177719,-4.33070900,3.30708700
21.02577718,-8.26771600,3.22834600
21.08977718,-11.81102000,3.22834600
21.15377718,-3.93700800,3.30708700
21.21777718,-8.26771600,3.30708700
21.28177718,-7.87401500,3.30708700
21.34577717,-6.69291300,3.30708700
21.40977717,-1.57480300,3.30708700
21.47377717,-11.81102000,3.30708700
21.53777717,-1.18110200,3.30708700
21.60177717,-6.69291300,3.30708700
21.66577717,-8.26771600,3.30708700
21.72977716,-9.05511800,3.30708700
