Time,Channel A,Channel B
(us),(mV),(V)

-0.02653658,-6.69291300,0.00000000
0.03746341,-1.96850400,3.22834600
0.10146341,-4.72440900,3.22834600
0.16546341,-5.51181100,3.22834600
0.22946341,-8.66141700,3.22834600
0.29346341,-4.72440900,3.22834600
0.35746340,-5.11811000,3.22834600
0.42146340,-10.62992000,3.22834600
0.48546340,-4.33070900,3.22834600
0.54946340,-6.69291300,3.22834600
0.61346340,-7.08661400,3.22834600
0.67746340,-8.66141700,3.22834600
0.74146339,-2.36220500,3.22834600
0.80546339,-7.87401500,3.22834600
0.86946339,-2.36220500,3.22834600
0.93346339,-4.72440900,3.22834600
0.99746339,-2.36220500,3.22834600
1.06146339,-8.66141700,3.22834600
1.12546338,-0.39370070,3.22834600
1.18946338,-5.51181100,3.22834600
1.25346338,-2.75590500,3.22834600
1.31746338,-3.93700800,3.22834600
1.38146338,0.78740150,3.22834600
1.44546337,-4.72440900,3.22834600
1.50946337,-3.14960600,3.22834600
1.57346337,-0.78740150,3.22834600
1.63746337,-6.69291300,3.22834600
1.70146337,-3.14960600,3.22834600
1.76546337,-3.14960600,3.22834600
1.82946336,-2.36220500,3.22834600
1.89346336,-6.69291300,3.22834600
1.95746336,4.72440900,3.22834600
2.02146336,-4.33070900,3.22834600
2.08546336,-1.18110200,3.22834600
2.14946335,-0.39370070,3.22834600
2.21346335,1.18110200,3.22834600
2.27746335,-5.11811000,3.22834600
2.34146335,3.93700800,3.22834600
2.40546335,-0.78740150,3.22834600
2.46946335,-2.75590500,3.22834600
2.53346334,1.96850400,3.22834600
2.59746334,0.39370070,3.22834600
2.66146334,-5.11811000,3.22834600
2.72546334,0.39370070,3.22834600
2.78946334,1.96850400,3.22834600
2.85346333,-5.11811000,3.22834600
2.91746333,0.78740150,3.22834600
2.98146333,-1.96850400,3.22834600
3.04546333,-2.75590500,3.22834600
3.10946333,-5.51181100,3.22834600
3.17346333,0.78740150,3.22834600
3.23746332,-9.05511800,3.22834600
3.30146332,-0.78740150,3.22834600
3.36546332,-3.14960600,3.22834600
3.42946332,0.00000000,3.22834600
3.49346332,-5.90551100,3.22834600
3.55746331,-0.39370070,3.22834600
3.62146331,-4.72440900,3.22834600
3.68546331,-4.72440900,3.22834600
3.74946331,-2.36220500,3.22834600
3.81346331,-3.93700800,3.22834600
3.87746331,-1.57480300,3.22834600
3.94146330,-2.75590500,3.22834600
4.00546330,1.57480300,3.22834600
4.06946330,-4.72440900,3.22834600
4.13346330,-1.57480300,3.22834600
4.19746330,-3.54330700,3.22834600
4.26146329,-1.57480300,3.22834600
4.32546329,-5.90551100,3.22834600
4.38946329,1.57480300,3.22834600
4.45346329,-4.33070900,3.22834600
4.51746329,-1.57480300,3.22834600
4.58146329,-4.33070900,3.22834600
4.64546328,-1.57480300,3.22834600
4.70946328,-7.08661400,3.30708700
4.77346328,0.00000000,3.22834600
4.83746328,-1.57480300,3.22834600
4.90146328,-3.93700800,3.22834600
4.96546327,-1.57480300,3.22834600
5.02946327,0.00000000,3.22834600
5.09346327,-2.75590500,3.22834600
5.15746327,-5.11811000,3.30708700
5.22146327,1.96850400,3.22834600
5.28546327,-5.51181100,3.30708700
5.34946326,-0.78740150,3.30708700
5.41346326,-1.57480300,3.22834600
5.47746326,0.00000000,3.22834600
5.54146326,-6.69291300,3.30708700
5.60546326,0.78740150,3.30708700
5.66946325,-4.33070900,3.30708700
5.73346325,-6.29921200,3.22834600
5.79746325,-6.29921200,3.22834600
5.86146325,-1.57480300,3.30708700
5.92546325,-6.69291300,3.22834600
5.98946325,-3.54330700,3.22834600
6.05346324,-1.96850400,3.22834600
6.11746324,-5.90551100,3.30708700
6.18146324,-5.11811000,3.22834600
6.24546324,-2.75590500,3.22834600
6.30946324,-4.33070900,3.22834600
6.37346323,-7.08661400,3.22834600
6.43746323,1.96850400,3.22834600
6.50146323,-4.33070900,3.22834600
6.56546323,-3.54330700,3.22834600
6.62946323,-2.75590500,3.22834600
6.69346323,0.78740150,3.22834600
6.75746322,-9.44881800,3.22834600
6.82146322,0.78740150,3.22834600
6.88546322,-3.54330700,3.22834600
6.94946322,-4.33070900,3.30708700
7.01346322,-1.18110200,3.22834600
7.07746321,0.39370070,3.30708700
7.14146321,-7.08661400,3.22834600
7.20546321,-4.33070900,3.22834600
7.26946321,-1.18110200,3.22834600
7.33346321,-5.90551100,3.22834600
7.39746321,-2.75590500,3.30708700
7.46146320,-0.39370070,3.30708700
7.52546320,-2.36220500,3.30708700
7.58946320,-3.93700800,3.30708700
7.65346320,1.18110200,3.22834600
7.71746320,-6.29921200,3.30708700
7.78146319,-2.75590500,3.30708700
7.84546319,-3.54330700,3.30708700
7.90946319,1.57480300,3.22834600
7.97346319,-6.29921200,3.30708700
8.03746319,0.39370070,3.30708700
8.10146319,-3.14960600,3.22834600
8.16546318,-1.57480300,3.22834600
8.22946318,-5.90551100,3.30708700
8.29346318,-1.96850400,3.22834600
8.35746318,-4.33070900,3.22834600
8.42146318,-5.90551100,3.30708700
8.48546318,-1.96850400,3.30708700
8.54946317,-5.11811000,3.22834600
8.61346317,-5.11811000,3.30708700
8.67746317,-5.90551100,3.30708700
8.74146317,-1.96850400,3.22834600
8.80546317,-9.84251900,3.22834600
8.86946316,-4.33070900,3.30708700
8.93346316,-4.33070900,3.22834600
8.99746316,-3.54330700,3.30708700
9.06146316,-5.90551100,3.22834600
9.12546316,0.00000000,3.22834600
9.18946316,-7.48031400,3.22834600
9.25346315,-2.75590500,3.30708700
9.31746315,-1.57480300,3.30708700
9.38146315,-2.36220500,3.22834600
9.44546315,-5.11811000,3.22834600
9.50946315,2.36220500,3.30708700
9.57346314,-0.78740150,3.30708700
9.63746314,-3.54330700,3.30708700
9.70146314,1.18110200,3.22834600
9.76546314,-2.75590500,3.22834600
9.82946314,-2.75590500,3.30708700
9.89346314,-2.36220500,3.30708700
9.95746313,2.75590500,3.30708700
10.02146313,-5.11811000,3.30708700
10.08546313,3.14960600,3.30708700
10.14946313,-0.78740150,3.30708700
10.21346313,-0.78740150,3.30708700
10.27746312,-4.72440900,3.30708700
10.34146312,2.75590500,3.30708700
10.40546312,-3.54330700,3.30708700
10.46946312,-1.57480300,3.22834600
10.53346312,0.39370070,3.22834600
10.59746312,-1.18110200,3.22834600
10.66146311,-3.54330700,3.30708700
10.72546311,0.00000000,3.30708700
10.78946311,-0.78740150,3.30708700
10.85346311,-6.29921200,3.30708700
10.91746311,0.39370070,3.30708700
10.98146310,-1.18110200,3.30708700
11.04546310,-3.54330700,3.30708700
11.10946310,-4.33070900,3.30708700
11.17346310,1.18110200,3.30708700
11.23746310,-8.66141700,3.30708700
11.30146310,-1.57480300,3.30708700
11.36546309,-5.51181100,3.30708700
11.42946309,-4.33070900,3.30708700
11.49346309,-6.69291300,3.30708700
11.55746309,1.57480300,3.22834600
11.62146309,-6.29921200,3.22834600
11.68546308,-4.33070900,3.22834600
11.74946308,-2.36220500,3.22834600
11.81346308,-4.72440900,3.22834600
11.87746308,-5.11811000,3.22834600
11.94146308,-4.33070900,3.22834600
12.00546308,-2.36220500,3.30708700
12.06946307,-5.11811000,3.22834600
12.13346307,0.39370070,3.22834600
12.19746307,-4.72440900,3.22834600
12.26146307,-3.14960600,3.22834600
12.32546307,-5.51181100,3.30708700
12.38946306,-1.18110200,3.30708700
12.45346306,-6.69291300,3.30708700
12.51746306,-2.75590500,3.30708700
12.58146306,-3.93700800,3.30708700
12.64546306,-0.39370070,3.30708700
12.70946306,-6.69291300,3.22834600
12.77346305,-1.57480300,3.30708700
12.83746305,-4.33070900,3.22834600
12.90146305,-5.51181100,3.30708700
12.96546305,-4.33070900,3.30708700
13.02946305,-2.75590500,3.30708700
13.09346304,-5.90551100,3.30708700
13.15746304,-5.51181100,3.30708700
13.22146304,-0.39370070,3.22834600
13.28546304,-10.23622000,3.30708700
13.34946304,-5.90551100,3.22834600
13.41346304,-6.29921200,3.30708700
13.47746303,-4.33070900,3.30708700
13.54146303,-10.62992000,3.30708700
13.60546303,-0.78740150,3.30708700
13.66946303,-9.44881800,3.30708700
13.73346303,-9.44881800,3.30708700
13.79746302,-7.08661400,3.30708700
13.86146302,-7.87401500,3.30708700
13.92546302,-14.56693000,3.30708700
13.98946302,-7.08661400,3.22834600
14.05346302,-7.87401500,3.30708700
14.11746302,-10.62992000,3.30708700
14.18146301,-7.08661400,3.22834600
14.24546301,-7.48031400,3.22834600
14.30946301,-10.23622000,3.30708700
14.37346301,-9.05511800,3.30708700
14.43746301,-4.33070900,3.22834600
14.50146300,-11.81102000,3.22834600
14.56546300,-5.51181100,3.30708700
14.62946300,-6.29921200,3.22834600
14.69346300,-4.72440900,3.22834600
14.75746300,-11.81102000,3.30708700
14.82146300,-2.36220500,3.22834600
14.88546299,-10.23622000,3.22834600
14.94946299,-6.69291300,3.30708700
15.01346299,-5.90551100,3.30708700
15.07746299,-3.93700800,3.30708700
15.14146299,-8.66141700,3.30708700
15.20546299,-5.11811000,3.30708700
15.26946298,-4.72440900,3.30708700
15.33346298,-11.02362000,3.30708700
15.39746298,-7.08661400,3.22834600
15.46146298,-5.11811000,3.30708700
15.52546298,-6.29921200,3.22834600
15.58946297,-9.44881800,3.30708700
15.65346297,-1.57480300,3.30708700
15.71746297,-9.44881800,3.22834600
15.78146297,-7.08661400,3.30708700
15.84546297,-6.69291300,3.30708700
15.90946297,-5.90551100,3.30708700
15.97346296,-12.20472000,3.30708700
16.03746296,-2.75590500,3.30708700
16.10146296,-8.26771600,3.30708700
16.16546296,-7.48031400,3.30708700
16.22946296,-8.66141700,3.30708700
16.29346295,-5.90551100,3.30708700
16.35746295,-11.02362000,3.30708700
16.42146295,-9.84251900,3.30708700
16.48546295,-7.48031400,3.30708700
16.54946295,-10.62992000,3.30708700
16.61346295,-6.69291300,3.30708700
16.67746294,-8.26771600,3.30708700
16.74146294,-5.11811000,3.30708700
16.80546294,-13.38583000,3.30708700
16.86946294,-4.33070900,3.22834600
16.93346294,-10.62992000,3.30708700
16.99746293,-7.87401500,3.30708700
17.06146293,-11.02362000,3.22834600
17.12546293,-3.54330700,3.22834600
17.18946293,-10.62992000,3.22834600
17.25346293,-6.69291300,3.30708700
17.31746293,-5.90551100,3.22834600
17.38146292,-8.26771600,3.22834600
17.44546292,-8.66141700,3.22834600
17.50946292,-2.36220500,3.30708700
17.57346292,-7.48031400,3.22834600
17.63746292,-9.05511800,3.22834600
17.70146291,-1.18110200,3.30708700
17.76546291,-7.48031400,3.30708700
17.82946291,-9.05511800,3.30708700
17.89346291,-7.08661400,3.22834600
17.95746291,-5.11811000,3.30708700
18.02146291,-13.77953000,3.30708700
18.08546290,-2.36220500,3.30708700
18.14946290,-8.26771600,3.22834600
18.21346290,-7.48031400,3.30708700
18.27746290,-8.66141700,3.30708700
18.34146290,-1.96850400,3.30708700
18.40546289,-12.59842000,3.22834600
18.46946289,-6.69291300,3.30708700
18.53346289,-4.33070900,3.30708700
18.59746289,-8.26771600,3.30708700
18.66146289,-6.69291300,3.30708700
18.72546289,-5.90551100,3.30708700
18.78946288,-7.08661400,3.22834600
18.85346288,-9.44881800,3.30708700
18.91746288,-3.93700800,3.30708700
18.98146288,-9.05511800,3.30708700
19.04546288,-6.29921200,3.22834600
19.10946287,-7.08661400,3.30708700
19.17346287,-3.54330700,3.30708700
19.23746287,-11.02362000,3.30708700
19.30146287,-5.11811000,3.30708700
19.36546287,-9.44881800,3.30708700
19.42946287,-7.87401500,3.22834600
19.49346286,-11.02362000,3.22834600
19.55746286,-5.90551100,3.30708700
19.62146286,-9.05511800,3.22834600
19.68546286,-6.29921200,3.22834600
19.74946286,-5.51181100,3.22834600
19.81346285,-7.87401500,3.22834600
19.87746285,-8.26771600,3.22834600
19.94146285,-8.66141700,3.22834600
20.00546285,-3.93700800,3.30708700
20.06946285,-10.62992000,3.30708700
20.13346285,-2.36220500,3.22834600
20.19746284,-7.08661400,3.30708700
20.26146284,-6.29921200,3.22834600
20.32546284,-9.05511800,3.30708700
20.38946284,-3.14960600,3.30708700
20.45346284,-11.41732000,3.30708700
20.51746283,-5.90551100,3.30708700
20.58146283,-5.90551100,3.30708700
20.64546283,-7.48031400,3.30708700
20.70946283,-9.05511800,3.30708700
20.77346283,-4.72440900,3.22834600
20.83746283,-7.48031400,3.30708700
20.90146282,-8.66141700,3.30708700
20.96546282,-7.08661400,3.30708700
21.02946282,-6.69291300,3.30708700
21.09346282,-7.48031400,3.30708700
21.15746282,-7.08661400,3.30708700
21.22146281,-3.14960600,3.30708700
21.28546281,-9.44881800,3.30708700
21.34946281,-3.54330700,3.30708700
21.41346281,-6.69291300,3.30708700
21.47746281,-4.33070900,3.30708700
21.54146281,-9.84251900,3.30708700
21.60546280,-0.39370070,3.30708700
21.66946280,-7.87401500,3.30708700
21.73346280,-5.11811000,3.30708700
