Time,Channel A,Channel B
(us),(mV),(V)

-0.02720000,-2.75590500,0.00000000
0.03680000,-3.54330700,3.14960600
0.10080000,-9.05511800,3.30708700
0.16480000,-2.75590500,3.22834600
0.22879999,-6.69291300,3.30708700
0.29279999,-5.51181100,3.22834600
0.35679999,-5.51181100,3.22834600
0.42079999,0.00000000,3.30708700
0.48479999,-9.84251900,3.30708700
0.54879999,-2.36220500,3.22834600
0.61279998,-3.54330700,3.22834600
0.67679998,-6.29921200,3.22834600
0.74079998,-7.08661400,3.22834600
0.80479998,-1.18110200,3.22834600
0.86879998,-9.05511800,3.22834600
0.93279997,-5.11811000,3.22834600
0.99679997,-1.96850400,3.22834600
1.06079997,-7.08661400,3.22834600
1.12479997,-7.08661400,3.22834600
1.18879997,-3.54330700,3.22834600
1.25279997,-3.93700800,3.22834600
1.31679996,-8.66141700,3.22834600
1.38079996,0.00000000,3.22834600
1.44479996,-5.90551100,3.22834600
1.50879996,-2.75590500,3.22834600
1.57279996,-5.90551100,3.22834600
1.63679995,0.00000000,3.22834600
1.70079995,-7.87401500,3.30708700
1.76479995,-0.78740150,3.22834600
1.82879995,-2.36220500,3.22834600
1.89279995,-1.18110200,3.30708700
1.95679995,-2.75590500,3.30708700
2.02079994,1.57480300,3.22834600
2.08479994,-0.39370070,3.22834600
2.14879994,-3.54330700,3.30708700
2.21279994,-0.78740150,3.22834600
2.27679994,-1.96850400,3.22834600
2.34079993,-2.36220500,3.30708700
2.40479993,-2.75590500,3.30708700
2.46879993,1.96850400,3.22834600
2.53279993,-3.93700800,3.30708700
2.59679993,-0.39370070,3.22834600
2.66079993,-0.78740150,3.22834600
2.72479992,-0.39370070,3.22834600
2.78879992,-5.51181100,3.30708700
2.85279992,3.93700800,3.22834600
2.91679992,-3.14960600,3.22834600
2.98079992,-0.39370070,3.30708700
3.04479991,-0.78740150,3.22834600
3.10879991,0.78740150,3.22834600
3.17279991,-5.90551100,3.22834600
3.23679991,-1.18110200,3.22834600
3.30079991,-1.57480300,3.30708700
3.36479991,-5.11811000,3.30708700
3.42879990,0.00000000,3.22834600
3.49279990,-1.96850400,3.30708700
3.55679990,-4.33070900,3.30708700
3.62079990,-6.29921200,3.30708700
3.68479990,-0.39370070,3.22834600
3.74879990,-7.08661400,3.30708700
3.81279989,-3.54330700,3.22834600
3.87679989,-3.93700800,3.30708700
3.94079989,-3.14960600,3.22834600
4.00479989,-6.29921200,3.30708700
4.06879989,0.00000000,3.22834600
4.13279988,-6.29921200,3.22834600
4.19679988,-4.33070900,3.22834600
4.26079988,-4.33070900,3.22834600
4.32479988,-0.78740150,3.30708700
4.38879988,-6.29921200,3.22834600
4.45279988,-0.78740150,3.30708700
4.51679987,0.39370070,3.22834600
4.58079987,-5.51181100,3.30708700
4.64479987,-2.75590500,3.22834600
4.70879987,-3.14960600,3.30708700
4.77279987,-3.14960600,3.30708700
4.83679986,-5.90551100,3.22834600
4.90079986,1.18110200,3.30708700
4.96479986,-7.87401500,3.30708700
5.02879986,-2.36220500,3.30708700
5.09279986,-3.54330700,3.30708700
5.15679986,-1.96850400,3.30708700
5.22079985,-7.87401500,3.22834600
5.28479985,-0.39370070,3.30708700
5.34879985,-4.33070900,3.30708700
5.41279985,-3.14960600,3.30708700
5.47679985,-2.36220500,3.30708700
5.54079984,-2.36220500,3.30708700
5.60479984,-3.93700800,3.30708700
5.66879984,-1.96850400,3.30708700
5.73279984,-2.36220500,3.30708700
5.79679984,-5.90551100,3.30708700
5.86079984,-2.75590500,3.30708700
5.92479983,-4.33070900,3.30708700
5.98879983,-1.18110200,3.30708700
6.05279983,-5.51181100,3.30708700
6.11679983,-0.39370070,3.30708700
6.18079983,-6.69291300,3.30708700
6.24479982,-3.54330700,3.30708700
6.30879982,-7.87401500,3.30708700
6.37279982,-1.96850400,3.22834600
6.43679982,-7.48031400,3.30708700
6.50079982,-2.75590500,3.22834600
6.56479982,-3.54330700,3.22834600
6.62879981,-5.11811000,3.22834600
6.69279981,-6.69291300,3.30708700
6.75679981,-3.54330700,3.30708700
6.82079981,-4.72440900,3.22834600
6.88479981,-7.08661400,3.30708700
6.94879980,-0.39370070,3.22834600
7.01279980,-5.51181100,3.30708700
7.07679980,-3.14960600,3.30708700
7.14079980,-0.78740150,3.22834600
7.20479980,-1.18110200,3.22834600
7.26879980,-9.05511800,3.30708700
7.33279979,0.78740150,3.22834600
7.39679979,-3.93700800,3.30708700
7.46079979,-2.75590500,3.30708700
7.52479979,-4.33070900,3.30708700
7.58879979,1.18110200,3.30708700
7.65279978,-8.66141700,3.30708700
7.71679978,-2.36220500,3.30708700
7.78079978,-2.75590500,3.30708700
7.84479978,-5.51181100,3.22834600
7.90879978,-3.54330700,3.30708700
7.97279978,-1.18110200,3.30708700
8.03679977,-2.36220500,3.30708700
8.10079977,-4.72440900,3.30708700
8.16479977,1.18110200,3.30708700
8.22879977,-4.33070900,3.30708700
8.29279977,-3.14960600,3.22834600
8.35679976,-3.14960600,3.30708700
8.42079976,-0.78740150,3.30708700
8.48479976,-7.08661400,3.30708700
8.54879976,0.00000000,3.30708700
8.61279976,-3.14960600,3.30708700
8.67679976,-2.75590500,3.30708700
8.74079975,-4.33070900,3.30708700
8.80479975,-0.39370070,3.30708700
8.86879975,-8.66141700,3.30708700
8.93279975,-5.51181100,3.30708700
8.99679975,-3.93700800,3.30708700
9.06079974,-4.33070900,3.30708700
9.12479974,-6.29921200,3.30708700
9.18879974,-2.36220500,3.30708700
9.25279974,-1.96850400,3.30708700
9.31679974,-6.69291300,3.30708700
9.38079974,-1.18110200,3.30708700
9.44479973,-3.93700800,3.30708700
9.50879973,-3.14960600,3.30708700
9.57279973,-3.14960600,3.30708700
9.63679973,3.93700800,3.30708700
9.70079973,-5.11811000,3.22834600
9.76479972,0.78740150,3.30708700
9.82879972,-0.78740150,3.30708700
9.89279972,0.00000000,3.30708700
9.95679972,-3.14960600,3.30708700
10.02079972,1.57480300,3.30708700
10.08479972,0.00000000,3.30708700
10.14879971,0.39370070,3.30708700
10.21279971,0.00000000,3.30708700
10.27679971,0.00000000,3.30708700
10.34079971,-4.72440900,3.30708700
10.40479971,-2.36220500,3.30708700
10.46879970,0.39370070,3.30708700
10.53279970,-4.33070900,3.30708700
10.59679970,-0.78740150,3.30708700
10.66079970,-1.18110200,3.30708700
10.72479970,0.78740150,3.30708700
10.78879970,-5.51181100,3.30708700
10.85279969,3.54330700,3.30708700
10.91679969,-5.11811000,3.30708700
10.98079969,-1.18110200,3.30708700
11.04479969,-0.78740150,3.30708700
11.10879969,0.78740150,3.30708700
11.17279969,-4.72440900,3.30708700
11.23679968,1.96850400,3.30708700
11.30079968,-1.18110200,3.30708700
11.36479968,-5.11811000,3.30708700
11.42879968,-0.78740150,3.30708700
11.49279968,-1.57480300,3.30708700
11.55679967,-5.11811000,3.30708700
11.62079967,-2.36220500,3.30708700
11.68479967,0.39370070,3.30708700
11.74879967,-7.08661400,3.30708700
11.81279967,-1.57480300,3.30708700
11.87679967,-3.54330700,3.30708700
11.94079966,-5.11811000,3.30708700
12.00479966,-7.48031400,3.30708700
12.06879966,1.18110200,3.30708700
12.13279966,-6.69291300,3.30708700
12.19679966,-0.39370070,3.22834600
12.26079965,-4.33070900,3.30708700
12.32479965,-2.36220500,3.22834600
12.38879965,-6.69291300,3.22834600
12.45279965,-0.39370070,3.30708700
12.51679965,-3.54330700,3.30708700
12.58079965,-3.93700800,3.30708700
12.64479964,-0.78740150,3.30708700
12.70879964,-1.18110200,3.30708700
12.77279964,-1.18110200,3.30708700
12.83679964,-4.72440900,3.30708700
12.90079964,-1.57480300,3.30708700
12.96479963,-6.69291300,3.30708700
13.02879963,-4.33070900,3.30708700
13.09279963,-5.51181100,3.30708700
13.15679963,-2.36220500,3.30708700
13.22079963,-7.87401500,3.30708700
13.28479963,-1.18110200,3.30708700
13.34879962,-7.48031400,3.30708700
13.41279962,-5.90551100,3.30708700
13.47679962,-6.69291300,3.30708700
13.54079962,-2.36220500,3.30708700
13.60479962,-8.26771600,3.30708700
13.66879961,-3.93700800,3.30708700
13.73279961,-4.33070900,3.30708700
13.79679961,-6.69291300,3.30708700
13.86079961,-5.51181100,3.30708700
13.92479961,-5.90551100,3.30708700
13.98879961,-8.26771600,3.30708700
14.05279960,-10.23622000,3.30708700
14.11679960,-1.96850400,3.30708700
14.18079960,-9.44881800,3.30708700
14.24479960,-5.90551100,3.30708700
14.30879960,-6.29921200,3.30708700
14.37279959,-4.33070900,3.30708700
14.43679959,-11.81102000,3.30708700
14.50079959,-4.33070900,3.30708700
14.56479959,-9.05511800,3.30708700
14.62879959,-7.87401500,3.30708700
14.69279959,-8.66141700,3.30708700
14.75679958,-2.75590500,3.22834600
14.82079958,-9.84251900,3.30708700
14.88479958,-6.29921200,3.22834600
14.94879958,-4.33070900,3.30708700
15.01279958,-8.26771600,3.30708700
15.07679957,-7.87401500,3.22834600
15.14079957,-2.36220500,3.30708700
15.20479957,-4.72440900,3.30708700
15.26879957,-8.66141700,3.30708700
15.33279957,-0.78740150,3.30708700
15.39679957,-6.69291300,3.30708700
15.46079956,-5.90551100,3.30708700
15.52479956,-6.69291300,3.30708700
15.58879956,-2.36220500,3.30708700
15.65279956,-11.81102000,3.30708700
15.71679956,-3.93700800,3.30708700
15.78079955,-5.11811000,3.30708700
15.84479955,-5.90551100,3.30708700
15.90879955,-8.26771600,3.30708700
15.97279955,-4.33070900,3.30708700
16.03679955,-10.23622000,3.30708700
16.10079955,-7.08661400,3.30708700
16.16479954,-3.14960600,3.30708700
16.22879954,-7.87401500,3.30708700
16.29279954,-6.29921200,3.30708700
16.35679954,-5.11811000,3.30708700
16.42079954,-5.90551100,3.30708700
16.48479953,-9.84251900,3.30708700
16.54879953,-4.33070900,3.30708700
16.61279953,-7.48031400,3.30708700
16.67679953,-4.33070900,3.30708700
16.74079953,-7.08661400,3.30708700
16.80479953,-0.78740150,3.30708700
16.86879952,-8.26771600,3.30708700
16.93279952,-4.33070900,3.30708700
16.99679952,-8.66141700,3.30708700
17.06079952,-6.29921200,3.30708700
17.12479952,-11.41732000,3.30708700
17.18879951,-5.90551100,3.22834600
17.25279951,-5.90551100,3.30708700
17.31679951,-9.44881800,3.30708700
17.38079951,-6.29921200,3.30708700
17.44479951,-5.51181100,3.30708700
17.50879951,-7.87401500,3.30708700
17.57279950,-10.23622000,3.30708700
17.63679950,-2.75590500,3.30708700
17.70079950,-11.02362000,3.22834600
17.76479950,-5.11811000,3.30708700
17.82879950,-4.33070900,3.30708700
17.89279949,-6.69291300,3.30708700
17.95679949,-10.23622000,3.30708700
18.02079949,-1.96850400,3.30708700
18.08479949,-9.44881800,3.30708700
18.14879949,-6.69291300,3.30708700
18.21279949,-5.90551100,3.30708700
18.27679948,-4.72440900,3.30708700
18.34079948,-10.23622000,3.30708700
18.40479948,-3.54330700,3.30708700
18.46879948,-7.48031400,3.30708700
18.53279948,-9.44881800,3.30708700
18.59679948,-6.69291300,3.30708700
18.66079947,-7.87401500,3.30708700
18.72479947,-8.66141700,3.30708700
18.78879947,-7.48031400,3.30708700
18.85279947,-2.36220500,3.30708700
18.91679947,-9.44881800,3.30708700
18.98079946,-3.14960600,3.30708700
19.04479946,-7.08661400,3.30708700
19.10879946,-5.11811000,3.30708700
19.17279946,-8.66141700,3.30708700
19.23679946,-1.96850400,3.30708700
19.30079946,-7.08661400,3.30708700
19.36479945,-5.11811000,3.30708700
19.42879945,-4.72440900,3.30708700
19.49279945,-3.93700800,3.30708700
19.55679945,-9.44881800,3.30708700
19.62079945,-6.69291300,3.30708700
19.68479944,-6.69291300,3.30708700
19.74879944,-8.66141700,3.30708700
19.81279944,-6.29921200,3.30708700
19.87679944,-5.11811000,3.30708700
19.94079944,-6.69291300,3.30708700
20.00479944,-9.44881800,3.30708700
20.06879943,-4.33070900,3.30708700
20.13279943,-11.81102000,3.30708700
20.19679943,-7.08661400,3.30708700
20.26079943,-9.44881800,3.22834600
20.32479943,-3.93700800,3.30708700
20.38879942,-12.20472000,3.30708700
20.45279942,-3.14960600,3.30708700
20.51679942,-7.48031400,3.30708700
20.58079942,-9.05511800,3.22834600
20.64479942,-7.87401500,3.30708700
20.70879942,-6.29921200,3.30708700
20.77279941,-9.05511800,3.30708700
20.83679941,-6.29921200,3.30708700
20.90079941,-3.93700800,3.22834600
20.96479941,-7.87401500,3.30708700
21.02879941,-8.66141700,3.30708700
21.09279940,-7.87401500,3.30708700
21.15679940,-7.08661400,3.30708700
21.22079940,-11.41732000,3.30708700
21.28479940,-4.72440900,3.30708700
21.34879940,-7.48031400,3.30708700
21.41279940,-6.29921200,3.30708700
21.47679939,-6.69291300,3.30708700
21.54079939,-0.78740150,3.30708700
21.60479939,-11.02362000,3.30708700
21.66879939,-3.93700800,3.30708700
