Time,Channel A,Channel B
(us),(mV),(V)

-0.02461538,-23.22835000,0.15748030
0.03938462,-9.44881800,3.22834600
0.10338461,-2.36220500,3.22834600
0.16738461,-11.41732000,3.22834600
0.23138461,-4.72440900,3.22834600
0.29538461,-5.90551100,3.22834600
0.35938461,-9.44881800,3.22834600
0.42338460,-7.08661400,3.22834600
0.48738460,-1.57480300,3.22834600
0.55138460,-7.08661400,3.22834600
0.61538460,-7.48031400,3.30708700
0.67938460,1.18110200,3.22834600
0.74338460,-7.87401500,3.22834600
0.80738459,-4.33070900,3.22834600
0.87138459,-5.11811000,3.22834600
0.93538459,-3.93700800,3.22834600
0.99938459,-11.41732000,3.22834600
1.06338459,0.39370070,3.30708700
1.12738458,-7.08661400,3.22834600
1.19138458,-5.90551100,3.22834600
1.25538458,-4.33070900,3.22834600
1.31938458,-1.57480300,3.22834600
1.38338458,-7.87401500,3.22834600
1.44738458,-3.54330700,3.22834600
1.51138457,-1.57480300,3.22834600
1.57538457,-4.72440900,3.22834600
1.63938457,-2.36220500,3.22834600
1.70338457,-0.39370070,3.22834600
1.76738457,-1.18110200,3.22834600
1.83138456,-4.72440900,3.22834600
1.89538456,1.96850400,3.22834600
1.95938456,-3.93700800,3.22834600
2.02338456,-1.57480300,3.22834600
2.08738456,-1.96850400,3.22834600
2.15138456,3.54330700,3.22834600
2.21538455,-6.29921200,3.30708700
2.27938455,0.00000000,3.30708700
2.34338455,-4.33070900,3.22834600
2.40738455,-4.33070900,3.22834600
2.47138455,-6.69291300,3.22834600
2.53538454,-2.75590500,3.22834600
2.59938454,-6.29921200,3.22834600
2.66338454,-4.72440900,3.22834600
2.72738454,-0.39370070,3.22834600
2.79138454,-5.11811000,3.22834600
2.85538454,-1.96850400,3.22834600
2.91938453,-3.93700800,3.22834600
2.98338453,0.39370070,3.22834600
3.04738453,-7.48031400,3.22834600
3.11138453,0.78740150,3.22834600
3.17538453,-3.14960600,3.22834600
3.23938452,-0.39370070,3.22834600
3.30338452,-3.14960600,3.22834600
3.36738452,0.78740150,3.22834600
3.43138452,-4.33070900,3.22834600
3.49538452,-2.36220500,3.22834600
3.55938452,-1.96850400,3.22834600
3.62338451,-2.36220500,3.22834600
3.68738451,-6.29921200,3.30708700
3.75138451,-1.96850400,3.22834600
3.81538451,-1.18110200,3.22834600
3.87938451,-7.48031400,3.22834600
3.94338450,-2.36220500,3.22834600
4.00738450,-4.33070900,3.22834600
4.07138450,-3.54330700,3.22834600
4.13538450,-5.11811000,3.30708700
4.19938450,3.54330700,3.22834600
4.26338450,-7.08661400,3.22834600
4.32738449,0.78740150,3.22834600
4.39138449,-0.39370070,3.22834600
4.45538449,-2.36220500,3.30708700
4.51938449,-6.29921200,3.22834600
4.58338449,0.78740150,3.30708700
4.64738448,-4.33070900,3.30708700
4.71138448,-3.93700800,3.30708700
4.77538448,1.18110200,3.22834600
4.83938448,-4.33070900,3.30708700
4.90338448,-4.72440900,3.30708700
4.96738448,-3.54330700,3.30708700
5.03138447,-4.33070900,3.22834600
5.09538447,-10.23622000,3.22834600
5.15938447,-2.36220500,3.22834600
5.22338447,-6.69291300,3.30708700
5.28738447,-5.51181100,3.30708700
5.35138446,-7.48031400,3.22834600
5.41538446,-2.36220500,3.22834600
5.47938446,-7.48031400,3.22834600
5.54338446,-2.36220500,3.22834600
5.60738446,-5.11811000,3.22834600
5.67138446,-4.33070900,3.22834600
5.73538445,-4.33070900,3.22834600
5.79938445,-0.39370070,3.22834600
5.86338445,-3.54330700,3.22834600
5.92738445,-4.72440900,3.22834600
5.99138445,-1.18110200,3.22834600
6.05538444,-3.93700800,3.30708700
6.11938444,-2.75590500,3.22834600
6.18338444,-4.72440900,3.30708700
6.24738444,1.18110200,3.30708700
6.31138444,-7.08661400,3.30708700
6.37538444,-1.18110200,3.30708700
6.43938443,-4.72440900,3.30708700
6.50338443,-4.33070900,3.22834600
6.56738443,-7.08661400,3.30708700
6.63138443,-1.57480300,3.30708700
6.69538443,-6.29921200,3.30708700
6.75938442,-3.93700800,3.30708700
6.82338442,-1.96850400,3.30708700
6.88738442,0.00000000,3.22834600
6.95138442,-3.93700800,3.30708700
7.01538442,-1.18110200,3.30708700
7.07938442,-1.96850400,3.30708700
7.14338441,-4.33070900,3.30708700
7.20738441,-1.57480300,3.30708700
7.27138441,-2.36220500,3.30708700
7.33538441,-1.18110200,3.30708700
7.39938441,-4.72440900,3.30708700
7.46338441,1.96850400,3.30708700
7.52738440,-6.69291300,3.30708700
7.59138440,-3.93700800,3.30708700
7.65538440,-6.69291300,3.30708700
7.71938440,-2.36220500,3.30708700
7.78338440,-9.05511800,3.30708700
7.84738439,-2.75590500,3.30708700
7.91138439,-5.11811000,3.22834600
7.97538439,-9.05511800,3.30708700
8.03938439,-5.11811000,3.22834600
8.10338439,-2.75590500,3.30708700
8.16738439,-7.87401500,3.22834600
8.23138438,-5.11811000,3.22834600
8.29538438,0.39370070,3.22834600
8.35938438,-7.08661400,3.30708700
8.42338438,-3.54330700,3.30708700
8.48738438,-1.57480300,3.22834600
8.55138437,-3.93700800,3.22834600
8.61538437,-7.87401500,3.22834600
8.67938437,2.36220500,3.22834600
8.74338437,-6.69291300,3.30708700
8.80738437,-3.54330700,3.30708700
8.87138437,-1.57480300,3.30708700
8.93538436,-1.57480300,3.30708700
8.99938436,-9.84251900,3.22834600
9.06338436,-1.96850400,3.30708700
9.12738436,-5.51181100,3.30708700
9.19138436,-7.87401500,3.30708700
9.25538435,-4.33070900,3.22834600
9.31938435,-2.75590500,3.30708700
9.38338435,-2.36220500,3.22834600
9.44738435,-3.14960600,3.30708700
9.51138435,3.14960600,3.30708700
9.57538435,-4.72440900,3.30708700
9.63938434,0.39370070,3.22834600
9.70338434,-1.57480300,3.22834600
9.76738434,1.96850400,3.30708700
9.83138434,-3.93700800,3.30708700
9.89538434,2.75590500,3.30708700
9.95938433,0.00000000,3.30708700
10.02338433,0.00000000,3.30708700
10.08738433,-2.36220500,3.30708700
10.15138433,0.78740150,3.30708700
10.21538433,-3.93700800,3.30708700
10.27938433,-2.36220500,3.30708700
10.34338432,-1.57480300,3.30708700
10.40738432,-4.33070900,3.30708700
10.47138432,-5.51181100,3.30708700
10.53538432,-3.93700800,3.30708700
10.59938432,-4.33070900,3.30708700
10.66338431,-9.84251900,3.30708700
10.72738431,-1.57480300,3.30708700
10.79138431,-5.90551100,3.30708700
10.85538431,-1.57480300,3.22834600
10.91938431,-5.11811000,3.30708700
10.98338431,1.96850400,3.22834600
11.04738430,-5.90551100,3.22834600
11.11138430,-1.18110200,3.30708700
11.17538430,-3.54330700,3.22834600
11.23938430,-3.14960600,3.30708700
11.30338430,-4.33070900,3.30708700
11.36738429,0.00000000,3.30708700
11.43138429,-1.96850400,3.30708700
11.49538429,-5.11811000,3.30708700
11.55938429,-0.39370070,3.30708700
11.62338429,-3.93700800,3.30708700
11.68738429,-5.11811000,3.22834600
11.75138428,-4.72440900,3.30708700
11.81538428,-1.57480300,3.30708700
11.87938428,-8.66141700,3.30708700
11.94338428,-1.57480300,3.30708700
12.00738428,-3.54330700,3.30708700
12.07138427,-3.93700800,3.30708700
12.13538427,-6.69291300,3.30708700
12.19938427,1.96850400,3.22834600
12.26338427,-7.48031400,3.22834600
12.32738427,-1.96850400,3.30708700
12.39138427,-1.18110200,3.30708700
12.45538426,-1.96850400,3.22834600
12.51938426,-3.93700800,3.30708700
12.58338426,0.39370070,3.30708700
12.64738426,-3.54330700,3.30708700
12.71138426,-6.69291300,3.30708700
12.77538425,1.18110200,3.30708700
12.83938425,-6.69291300,3.30708700
12.90338425,-3.93700800,3.30708700
12.96738425,-5.51181100,3.30708700
13.03138425,-3.14960600,3.22834600
13.09538425,-11.81102000,3.30708700
13.15938424,-5.11811000,3.30708700
13.22338424,-11.02362000,3.30708700
13.28738424,-9.44881800,3.30708700
13.35138424,-9.84251900,3.30708700
13.41538424,-6.69291300,3.30708700
13.47938423,-10.23622000,3.30708700
13.54338423,-7.87401500,3.30708700
13.60738423,-5.90551100,3.30708700
13.67138423,-7.48031400,3.22834600
13.73538423,-11.41732000,3.30708700
13.79938423,-7.08661400,3.30708700
13.86338422,-7.48031400,3.22834600
13.92738422,-10.23622000,3.30708700
13.99138422,-5.11811000,3.22834600
14.05538422,-7.87401500,3.22834600
14.11938422,-5.90551100,3.22834600
14.18338421,-9.84251900,3.30708700
14.24738421,-1.96850400,3.30708700
14.31138421,-11.02362000,3.30708700
14.37538421,-5.51181100,3.30708700
14.43938421,-6.69291300,3.30708700
14.50338421,-6.29921200,3.30708700
14.56738420,-10.62992000,3.30708700
14.63138420,-5.51181100,3.22834600
14.69538420,-7.48031400,3.30708700
14.75938420,-10.23622000,3.30708700
14.82338420,-5.51181100,3.30708700
14.88738420,-6.69291300,3.22834600
14.95138419,-5.51181100,3.22834600
15.01538419,-5.11811000,3.30708700
15.07938419,-1.18110200,3.22834600
15.14338419,-8.66141700,3.30708700
15.20738419,-4.33070900,3.30708700
15.27138418,-5.90551100,3.30708700
15.33538418,-5.11811000,3.30708700
15.39938418,-10.23622000,3.30708700
15.46338418,-1.18110200,3.30708700
15.52738418,-7.87401500,3.30708700
15.59138418,-5.90551100,3.30708700
15.65538417,-7.87401500,3.30708700
15.71938417,-6.29921200,3.30708700
15.78338417,-13.77953000,3.30708700
15.84738417,-8.66141700,3.30708700
15.91138417,-8.26771600,3.22834600
15.97538416,-14.56693000,3.22834600
16.03938416,-8.26771600,3.30708700
16.10338416,-7.87401500,3.30708700
16.16738416,-9.05511800,3.30708700
16.23138416,-14.17323000,3.30708700
16.29538416,-3.54330700,3.30708700
16.35938415,-13.77953000,3.30708700
16.42338415,-7.87401500,3.30708700
16.48738415,-5.90551100,3.30708700
16.55138415,-6.69291300,3.22834600
16.61538415,-9.84251900,3.30708700
16.67938414,-0.78740150,3.22834600
16.74338414,-7.48031400,3.22834600
16.80738414,-8.26771600,3.22834600
16.87138414,-5.11811000,3.22834600
16.93538414,-4.72440900,3.30708700
16.99938414,-8.26771600,3.30708700
17.06338413,-5.11811000,3.30708700
17.12738413,-5.90551100,3.30708700
17.19138413,-10.23622000,3.30708700
17.25538413,-7.08661400,3.30708700
17.31938413,-8.66141700,3.30708700
17.38338412,-6.29921200,3.22834600
17.44738412,-10.23622000,3.30708700
17.51138412,-1.57480300,3.30708700
17.57538412,-7.08661400,3.30708700
17.63938412,-3.93700800,3.30708700
17.70338412,-7.87401500,3.30708700
17.76738411,-2.75590500,3.30708700
17.83138411,-8.66141700,3.30708700
17.89538411,-5.51181100,3.30708700
17.95938411,-5.90551100,3.30708700
18.02338411,-6.69291300,3.30708700
18.08738410,-6.29921200,3.30708700
18.15138410,-4.33070900,3.30708700
18.21538410,-6.29921200,3.30708700
18.27938410,-10.23622000,3.30708700
18.34338410,-5.11811000,3.30708700
18.40738410,-11.02362000,3.30708700
18.47138409,-9.84251900,3.30708700
18.53538409,-9.44881800,3.30708700
18.59938409,-7.48031400,3.22834600
18.66338409,-13.38583000,3.30708700
18.72738409,-6.69291300,3.22834600
18.79138408,-12.20472000,3.22834600
18.85538408,-9.44881800,3.22834600
18.91938408,-9.05511800,3.30708700
18.98338408,-3.54330700,3.30708700
19.04738408,-11.02362000,3.30708700
19.11138408,-4.72440900,3.30708700
19.17538407,-3.93700800,3.22834600
19.23938407,-7.87401500,3.30708700
19.30338407,-7.08661400,3.22834600
19.36738407,-5.90551100,3.30708700
19.43138407,-5.90551100,3.30708700
19.49538406,-10.23622000,3.30708700
19.55938406,-0.78740150,3.30708700
19.62338406,-8.26771600,3.22834600
19.68738406,-4.33070900,3.30708700
19.75138406,-5.90551100,3.30708700
19.81538406,-2.75590500,3.30708700
19.87938405,-12.99213000,3.30708700
19.94338405,-5.11811000,3.30708700
20.00738405,-7.87401500,3.30708700
20.07138405,-7.48031400,3.30708700
20.13538405,-7.48031400,3.30708700
20.19938404,-2.36220500,3.30708700
20.26338404,-8.26771600,3.30708700
20.32738404,-5.51181100,3.30708700
20.39138404,-3.54330700,3.30708700
20.45538404,-10.23622000,3.30708700
20.51938404,-6.29921200,3.30708700
20.58338403,-3.54330700,3.30708700
20.64738403,-6.69291300,3.22834600
20.71138403,-10.62992000,3.30708700
20.77538403,-1.18110200,3.22834600
20.83938403,-10.62992000,3.30708700
20.90338402,-5.90551100,3.30708700
20.96738402,-9.05511800,3.30708700
21.03138402,-5.90551100,3.30708700
21.09538402,-14.17323000,3.30708700
21.15938402,-4.33070900,3.30708700
21.22338402,-9.05511800,3.30708700
21.28738401,-10.23622000,3.30708700
21.35138401,-9.44881800,3.30708700
21.41538401,-7.87401500,3.30708700
21.47938401,-9.44881800,3.30708700
21.54338401,-11.41732000,3.30708700
21.60738401,-3.93700800,3.30708700
21.67138400,-7.87401500,3.30708700
