Time,Channel A,Channel B
(us),(mV),(V)

-0.02653658,-3.14960600,0.00000000
0.03746341,-7.08661400,3.22834600
0.10146341,-6.29921200,3.22834600
0.16546341,-5.90551100,3.30708700
0.22946341,-4.33070900,3.30708700
0.29346341,-11.41732000,3.22834600
0.35746340,-4.33070900,3.30708700
0.42146340,-8.66141700,3.22834600
0.48546340,-9.05511800,3.22834600
0.54946340,-8.26771600,3.22834600
0.61346340,-1.57480300,3.22834600
0.67746340,-10.23622000,3.22834600
0.74146339,-3.54330700,3.22834600
0.80546339,-5.11811000,3.22834600
0.86946339,-6.69291300,3.22834600
0.93346339,-7.08661400,3.22834600
0.99746339,-2.36220500,3.22834600
1.06146339,-7.08661400,3.22834600
1.12546338,-5.90551100,3.30708700
1.18946338,1.57480300,3.22834600
1.25346338,-5.11811000,3.22834600
1.31746338,-3.93700800,3.22834600
1.38146338,-3.54330700,3.30708700
1.44546337,-2.36220500,3.22834600
1.50946337,-7.87401500,3.22834600
1.57346337,0.00000000,3.22834600
1.63746337,-6.29921200,3.30708700
1.70146337,-3.93700800,3.22834600
1.76546337,-3.14960600,3.22834600
1.82946336,-0.78740150,3.22834600
1.89346336,-6.69291300,3.22834600
1.95746336,-1.18110200,3.30708700
2.02146336,-2.36220500,3.22834600
2.08546336,-1.57480300,3.30708700
2.14946335,-1.57480300,3.22834600
2.21346335,1.18110200,3.22834600
2.27746335,-0.78740150,3.22834600
2.34146335,-2.36220500,3.22834600
2.40546335,0.39370070,3.22834600
2.46946335,-4.33070900,3.22834600
2.53346334,-1.57480300,3.22834600
2.59746334,-2.75590500,3.30708700
2.66146334,1.96850400,3.30708700
2.72546334,-5.90551100,3.30708700
2.78946334,1.18110200,3.30708700
2.85346333,-3.54330700,3.22834600
2.91746333,-3.14960600,3.22834600
2.98146333,-6.29921200,3.22834600
3.04546333,-1.96850400,3.30708700
3.10946333,-7.08661400,3.30708700
3.17346333,-4.72440900,3.22834600
3.23746332,-2.36220500,3.22834600
3.30146332,-3.54330700,3.22834600
3.36546332,-4.72440900,3.22834600
3.42946332,-2.75590500,3.30708700
3.49346332,-4.33070900,3.22834600
3.55746331,-7.48031400,3.22834600
3.62146331,-3.14960600,3.22834600
3.68546331,-3.93700800,3.22834600
3.74946331,-2.36220500,3.22834600
3.81346331,-4.33070900,3.22834600
3.87746331,1.57480300,3.22834600
3.94146330,-7.08661400,3.22834600
4.00546330,-1.57480300,3.22834600
4.06946330,-4.33070900,3.22834600
4.13346330,-2.36220500,3.22834600
4.19746330,-7.48031400,3.30708700
4.26146329,1.18110200,3.30708700
4.32546329,-3.93700800,3.30708700
4.38946329,-4.72440900,3.30708700
4.45346329,-2.75590500,3.30708700
4.51746329,-3.14960600,3.30708700
4.58146329,-5.90551100,3.22834600
4.64546328,-4.72440900,3.30708700
4.70946328,0.00000000,3.30708700
4.77346328,-7.48031400,3.30708700
4.83746328,0.39370070,3.30708700
4.90146328,-1.96850400,3.30708700
4.96546327,-4.33070900,3.30708700
5.02946327,-7.08661400,3.22834600
5.09346327,1.18110200,3.30708700
5.15746327,-7.08661400,3.30708700
5.22146327,-2.36220500,3.22834600
5.28546327,-1.18110200,3.30708700
5.34946326,-1.96850400,3.30708700
5.41346326,-7.08661400,3.30708700
5.47746326,0.39370070,3.30708700
5.54146326,-6.69291300,3.22834600
5.60546326,-7.87401500,3.30708700
5.66946325,-3.14960600,3.30708700
5.73346325,-4.72440900,3.30708700
5.79746325,-7.08661400,3.30708700
5.86146325,-5.11811000,3.22834600
5.92546325,-1.18110200,3.22834600
5.98946325,-9.05511800,3.22834600
6.05346324,-2.75590500,3.30708700
6.11746324,-7.48031400,3.22834600
6.18146324,-2.75590500,3.30708700
6.24546324,-8.26771600,3.22834600
6.30946324,0.00000000,3.30708700
6.37346323,-5.11811000,3.30708700
6.43746323,-3.14960600,3.30708700
6.50146323,-3.54330700,3.22834600
6.56546323,-1.96850400,3.22834600
6.62946323,-6.29921200,3.22834600
6.69346323,-3.93700800,3.30708700
6.75746322,-1.57480300,3.30708700
6.82146322,-3.93700800,3.30708700
6.88546322,-3.14960600,3.30708700
6.94946322,-2.75590500,3.30708700
7.01346322,-3.54330700,3.30708700
7.07746321,-7.08661400,3.30708700
7.14146321,0.78740150,3.30708700
7.20546321,-7.08661400,3.30708700
7.26946321,-4.33070900,3.22834600
7.33346321,-3.93700800,3.30708700
7.39746321,0.39370070,3.30708700
7.46146320,-8.26771600,3.30708700
7.52546320,0.78740150,3.30708700
7.58946320,-4.33070900,3.30708700
7.65346320,-3.93700800,3.30708700
7.71746320,-4.33070900,3.30708700
7.78146319,0.00000000,3.30708700
7.84546319,-4.72440900,3.30708700
7.90946319,-1.96850400,3.30708700
7.97346319,0.39370070,3.22834600
8.03746319,-6.69291300,3.30708700
8.10146319,-4.33070900,3.30708700
8.16546318,-3.14960600,3.30708700
8.22946318,-5.11811000,3.30708700
8.29346318,-7.48031400,3.30708700
8.35746318,-0.39370070,3.30708700
8.42146318,-6.69291300,3.30708700
8.48546318,-5.11811000,3.30708700
8.54946317,-4.72440900,3.30708700
8.61346317,-2.75590500,3.30708700
8.67746317,-10.23622000,3.22834600
8.74146317,-4.33070900,3.30708700
8.80546317,-4.33070900,3.30708700
8.86946316,-6.29921200,3.22834600
8.93346316,-5.90551100,3.30708700
8.99746316,-1.57480300,3.22834600
9.06146316,-5.90551100,3.30708700
9.12546316,-5.11811000,3.22834600
9.18946316,-1.96850400,3.30708700
9.25346315,-6.29921200,3.30708700
9.31746315,-3.14960600,3.30708700
9.38146315,-1.18110200,3.30708700
9.44546315,0.78740150,3.30708700
9.50946315,-5.11811000,3.30708700
9.57346314,3.14960600,3.30708700
9.63746314,-4.33070900,3.30708700
9.70146314,-1.96850400,3.30708700
9.76546314,-2.75590500,3.30708700
9.82946314,0.78740150,3.30708700
9.89346314,-3.54330700,3.30708700
9.95746313,2.36220500,3.30708700
10.02146313,0.00000000,3.30708700
10.08546313,-2.36220500,3.30708700
10.14946313,0.00000000,3.30708700
10.21346313,0.00000000,3.30708700
10.27746312,-1.96850400,3.30708700
10.34146312,-2.36220500,3.30708700
10.40546312,1.57480300,3.30708700
10.46946312,-2.36220500,3.30708700
10.53346312,0.00000000,3.30708700
10.59746312,-2.36220500,3.30708700
10.66146311,-0.39370070,3.30708700
10.72546311,-5.51181100,3.30708700
10.78946311,0.39370070,3.30708700
10.85346311,-3.54330700,3.30708700
10.91746311,-0.78740150,3.30708700
10.98146310,-5.11811000,3.30708700
11.04546310,0.78740150,3.30708700
11.10946310,-5.51181100,3.30708700
11.17346310,-4.33070900,3.30708700
11.23746310,-3.14960600,3.30708700
11.30146310,-3.93700800,3.30708700
11.36546309,-5.90551100,3.30708700
11.42946309,-2.36220500,3.30708700
11.49346309,-1.96850400,3.30708700
11.55746309,-6.69291300,3.30708700
11.62146309,0.39370070,3.30708700
11.68546308,-4.33070900,3.30708700
11.74946308,-5.11811000,3.22834600
11.81346308,-4.33070900,3.30708700
11.87746308,0.39370070,3.30708700
11.94146308,-7.08661400,3.30708700
12.00546308,0.00000000,3.30708700
12.06946307,-1.57480300,3.30708700
12.13346307,-2.75590500,3.30708700
12.19746307,-4.33070900,3.30708700
12.26146307,0.39370070,3.30708700
12.32546307,-7.48031400,3.30708700
12.38946306,-3.14960600,3.30708700
12.45346306,0.00000000,3.30708700
12.51746306,-3.93700800,3.30708700
12.58146306,-3.93700800,3.30708700
12.64546306,-0.39370070,3.30708700
12.70946306,-2.36220500,3.30708700
12.77346305,-7.48031400,3.30708700
12.83746305,0.78740150,3.30708700
12.90146305,-6.29921200,3.30708700
12.96546305,-3.14960600,3.30708700
13.02946305,-3.93700800,3.30708700
13.09346304,0.39370070,3.30708700
13.15746304,-8.66141700,3.30708700
13.22146304,-2.75590500,3.30708700
13.28546304,-5.51181100,3.30708700
13.34946304,-6.69291300,3.30708700
13.41346304,-8.26771600,3.30708700
13.47746303,-3.14960600,3.30708700
13.54146303,-6.29921200,3.30708700
13.60546303,-7.87401500,3.30708700
13.66946303,-5.11811000,3.30708700
13.73346303,-8.66141700,3.30708700
13.79746302,-10.62992000,3.30708700
13.86146302,-9.05511800,3.30708700
13.92546302,-5.90551100,3.30708700
13.98946302,-12.99213000,3.30708700
14.05346302,-6.29921200,3.30708700
14.11746302,-7.08661400,3.30708700
14.18146301,-7.08661400,3.30708700
14.24546301,-10.62992000,3.30708700
14.30946301,-3.54330700,3.22834600
14.37346301,-11.81102000,3.30708700
14.43746301,-5.51181100,3.30708700
14.50146300,-5.90551100,3.30708700
14.56546300,-5.51181100,3.30708700
14.62946300,-7.87401500,3.30708700
14.69346300,-3.14960600,3.30708700
14.75746300,-6.69291300,3.22834600
14.82146300,-9.44881800,3.30708700
14.88546299,-4.33070900,3.30708700
14.94946299,-6.69291300,3.30708700
15.01346299,-5.11811000,3.30708700
15.07746299,-7.48031400,3.30708700
15.14146299,-1.96850400,3.30708700
15.20546299,-9.05511800,3.30708700
15.26946298,-5.11811000,3.30708700
15.33346298,-6.69291300,3.30708700
15.39746298,-6.69291300,3.30708700
15.46146298,-9.84251900,3.30708700
15.52546298,-1.18110200,3.30708700
15.58946297,-6.69291300,3.30708700
15.65346297,-6.29921200,3.30708700
15.71746297,-5.51181100,3.30708700
15.78146297,-3.93700800,3.30708700
15.84546297,-9.84251900,3.30708700
15.90946297,-6.69291300,3.30708700
15.97346296,-4.33070900,3.30708700
16.03746296,-10.62992000,3.30708700
16.10146296,-4.33070900,3.30708700
16.16546296,-4.33070900,3.30708700
16.22946296,-7.87401500,3.30708700
16.29346295,-11.81102000,3.30708700
16.35746295,-3.14960600,3.30708700
16.42146295,-13.77953000,3.30708700
16.48546295,-7.87401500,3.30708700
16.54946295,-7.48031400,3.30708700
16.61346295,-6.29921200,3.30708700
16.67746294,-11.02362000,3.30708700
16.74146294,-3.14960600,3.30708700
16.80546294,-9.84251900,3.30708700
16.86946294,-9.05511800,3.30708700
16.93346294,-5.51181100,3.30708700
16.99746293,-7.87401500,3.30708700
17.06146293,-9.44881800,3.30708700
17.12546293,-6.29921200,3.30708700
17.18946293,-4.33070900,3.30708700
17.25346293,-8.66141700,3.30708700
17.31746293,-3.93700800,3.30708700
17.38146292,-7.08661400,3.22834600
17.44546292,-6.29921200,3.30708700
17.50946292,-7.48031400,3.30708700
17.57346292,-2.75590500,3.30708700
17.63746292,-8.26771600,3.30708700
17.70146291,-3.14960600,3.30708700
17.76546291,-7.08661400,3.30708700
17.82946291,-4.33070900,3.30708700
17.89346291,-9.84251900,3.30708700
17.95746291,-6.29921200,3.30708700
18.02146291,-7.48031400,3.30708700
18.08546290,-7.87401500,3.30708700
18.14946290,-5.90551100,3.30708700
18.21346290,-5.11811000,3.30708700
18.27746290,-5.90551100,3.30708700
18.34146290,-8.66141700,3.30708700
18.40546289,-3.14960600,3.30708700
18.46946289,-10.23622000,3.30708700
18.53346289,-5.90551100,3.30708700
18.59746289,-7.08661400,3.30708700
18.66146289,-3.93700800,3.30708700
18.72546289,-10.62992000,3.30708700
18.78946288,-3.54330700,3.30708700
18.85346288,-8.26771600,3.30708700
18.91746288,-7.48031400,3.30708700
18.98146288,-7.87401500,3.30708700
19.04546288,-5.51181100,3.30708700
19.10946287,-10.62992000,3.30708700
19.17346287,-5.51181100,3.30708700
19.23746287,-5.51181100,3.30708700
19.30146287,-9.44881800,3.30708700
19.36546287,-7.87401500,3.30708700
19.42946287,-8.66141700,3.30708700
19.49346286,-8.66141700,3.30708700
19.55746286,-10.62992000,3.30708700
19.62146286,-3.54330700,3.30708700
19.68546286,-9.05511800,3.30708700
19.74946286,-4.33070900,3.30708700
19.81346285,-6.29921200,3.30708700
19.87746285,-3.14960600,3.30708700
19.94146285,-11.81102000,3.30708700
20.00546285,-2.75590500,3.30708700
20.06946285,-7.48031400,3.30708700
20.13346285,-7.08661400,3.30708700
20.19746284,-5.51181100,3.30708700
20.26146284,-3.14960600,3.30708700
20.32546284,-7.08661400,3.30708700
20.38946284,-5.90551100,3.30708700
20.45346284,-5.11811000,3.30708700
20.51746283,-11.02362000,3.30708700
20.58146283,-6.69291300,3.30708700
20.64546283,-6.29921200,3.30708700
20.70946283,-6.69291300,3.30708700
20.77346283,-10.23622000,3.30708700
20.83746283,-1.57480300,3.30708700
20.90146282,-8.26771600,3.30708700
20.96546282,-7.87401500,3.30708700
21.02946282,-6.69291300,3.30708700
21.09346282,-5.51181100,3.30708700
21.15746282,-11.81102000,3.30708700
21.22146281,-2.36220500,3.30708700
21.28546281,-6.69291300,3.30708700
21.34946281,-6.69291300,3.30708700
21.41346281,-5.11811000,3.30708700
21.47746281,-3.14960600,3.30708700
21.54146281,-8.66141700,3.30708700
21.60546280,-6.69291300,3.30708700
21.66946280,-3.54330700,3.30708700
21.73346280,-9.05511800,3.30708700
