Time,Channel A,Channel B
(us),(mV),(V)

-0.02720000,-3.54330700,0.00000000
0.03680000,-4.72440900,3.14960600
0.10080000,-3.93700800,3.22834600
0.16480000,-5.51181100,3.22834600
0.22879999,-6.69291300,3.22834600
0.29279999,-6.69291300,3.22834600
0.35679999,-1.96850400,3.22834600
0.42079999,-7.87401500,3.30708700
0.48479999,-2.36220500,3.22834600
0.54879999,-6.69291300,3.22834600
0.61279998,-3.93700800,3.22834600
0.67679998,-10.23622000,3.22834600
0.74079998,-3.54330700,3.22834600
0.80479998,-9.05511800,3.22834600
0.86879998,-7.08661400,3.22834600
0.93279997,-6.69291300,3.22834600
0.99679997,-3.14960600,3.22834600
1.06079997,-7.48031400,3.22834600
1.12479997,-5.90551100,3.22834600
1.18879997,-2.36220500,3.22834600
1.25279997,-5.11811000,3.22834600
1.31679996,-5.51181100,3.22834600
1.38079996,-2.36220500,3.22834600
1.44479996,-2.36220500,3.22834600
1.50879996,-5.51181100,3.22834600
1.57279996,1.57480300,3.22834600
1.63679995,-5.11811000,3.22834600
1.70079995,-4.33070900,3.22834600
1.76479995,-2.75590500,3.22834600
1.82879995,0.78740150,3.22834600
1.89279995,-7.48031400,3.22834600
1.95679995,1.96850400,3.22834600
2.02079994,-1.57480300,3.22834600
2.08479994,-2.36220500,3.22834600
2.14879994,-3.14960600,3.22834600
2.21279994,-0.39370070,3.22834600
2.27679994,-6.69291300,3.22834600
2.34079993,-2.36220500,3.22834600
2.40479993,1.96850400,3.22834600
2.46879993,-3.93700800,3.22834600
2.53279993,0.39370070,3.22834600
2.59679993,0.00000000,3.22834600
2.66079993,0.78740150,3.22834600
2.72479992,-4.72440900,3.22834600
2.78879992,1.57480300,3.22834600
2.85279992,-3.54330700,3.22834600
2.91679992,-0.39370070,3.22834600
2.98079992,-1.18110200,3.22834600
3.04479991,2.36220500,3.22834600
3.10879991,-4.33070900,3.22834600
3.17279991,-1.18110200,3.22834600
3.23679991,-2.75590500,3.22834600
3.30079991,-4.72440900,3.30708700
3.36479991,-7.08661400,3.30708700
3.42879990,-1.57480300,3.22834600
3.49279990,-4.33070900,3.22834600
3.55679990,-6.69291300,3.22834600
3.62079990,-4.72440900,3.22834600
3.68479990,-5.90551100,3.22834600
3.74879990,-5.11811000,3.22834600
3.81279989,-5.51181100,3.22834600
3.87679989,0.39370070,3.22834600
3.94079989,-8.26771600,3.22834600
4.00479989,0.00000000,3.22834600
4.06879989,-2.75590500,3.22834600
4.13279988,-1.18110200,3.22834600
4.19679988,-6.29921200,3.22834600
4.26079988,0.39370070,3.22834600
4.32479988,-3.93700800,3.22834600
4.38879988,-2.75590500,3.22834600
4.45279988,-1.18110200,3.22834600
4.51679987,-0.78740150,3.22834600
4.58079987,-4.33070900,3.30708700
4.64479987,-2.75590500,3.22834600
4.70879987,-1.57480300,3.22834600
4.77279987,-7.87401500,3.30708700
4.83679986,-4.33070900,3.22834600
4.90079986,-3.54330700,3.30708700
4.96479986,-3.54330700,3.30708700
5.02879986,-6.69291300,3.30708700
5.09279986,1.96850400,3.22834600
5.15679986,-4.72440900,3.30708700
5.22079985,-2.75590500,3.22834600
5.28479985,-1.57480300,3.22834600
5.34879985,-0.78740150,3.22834600
5.41279985,-7.48031400,3.22834600
5.47679985,1.96850400,3.22834600
5.54079984,-2.75590500,3.22834600
5.60479984,-3.93700800,3.30708700
5.66879984,-0.78740150,3.22834600
5.73279984,0.00000000,3.22834600
5.79679984,-6.69291300,3.30708700
5.86079984,-4.33070900,3.30708700
5.92479983,-1.18110200,3.30708700
5.98879983,-8.26771600,3.30708700
6.05279983,-2.36220500,3.30708700
6.11679983,-3.93700800,3.30708700
6.18079983,-5.11811000,3.30708700
6.24479982,-9.84251900,3.22834600
6.30879982,-2.36220500,3.22834600
6.37279982,-7.48031400,3.22834600
6.43679982,-4.72440900,3.22834600
6.50079982,-4.33070900,3.22834600
6.56479982,-1.57480300,3.22834600
6.62879981,-5.11811000,3.22834600
6.69279981,-2.75590500,3.22834600
6.75679981,-3.93700800,3.22834600
6.82079981,-2.75590500,3.30708700
6.88479981,-4.72440900,3.22834600
6.94879980,-0.78740150,3.30708700
7.01279980,-2.75590500,3.22834600
7.07679980,-3.93700800,3.30708700
7.14079980,1.18110200,3.22834600
7.20479980,-2.75590500,3.30708700
7.26879980,-4.33070900,3.22834600
7.33279979,-5.11811000,3.22834600
7.39679979,0.39370070,3.22834600
7.46079979,-8.26771600,3.30708700
7.52479979,-1.18110200,3.30708700
7.58879979,-3.93700800,3.22834600
7.65279978,-3.54330700,3.30708700
7.71679978,-5.90551100,3.22834600
7.78079978,1.18110200,3.22834600
7.84479978,-5.90551100,3.22834600
7.90879978,-3.14960600,3.30708700
7.97279978,0.00000000,3.22834600
8.03679977,-1.96850400,3.30708700
8.10079977,-3.14960600,3.30708700
8.16479977,-0.78740150,3.30708700
8.22879977,-0.39370070,3.30708700
8.29279977,-5.11811000,3.30708700
8.35679976,0.00000000,3.30708700
8.42079976,-2.36220500,3.22834600
8.48479976,-3.54330700,3.30708700
8.54879976,-4.72440900,3.22834600
8.61279976,0.78740150,3.30708700
8.67679976,-7.48031400,3.30708700
8.74079975,-3.14960600,3.30708700
8.80479975,-5.11811000,3.22834600
8.86879975,-5.51181100,3.30708700
8.93279975,-11.81102000,3.22834600
8.99679975,-3.14960600,3.30708700
9.06079974,-5.90551100,3.30708700
9.12479974,-4.33070900,3.22834600
9.18879974,-1.18110200,3.22834600
9.25279974,-1.96850400,3.30708700
9.31679974,-4.33070900,3.30708700
9.38079974,-1.96850400,3.22834600
9.44479973,1.96850400,3.30708700
9.50879973,-5.90551100,3.22834600
9.57279973,1.96850400,3.22834600
9.63679973,0.00000000,3.22834600
9.70079973,0.78740150,3.22834600
9.76479972,-1.96850400,3.22834600
9.82879972,1.57480300,3.30708700
9.89279972,-3.93700800,3.30708700
9.95679972,0.78740150,3.30708700
10.02079972,-1.18110200,3.30708700
10.08479972,-0.39370070,3.30708700
10.14879971,-2.75590500,3.30708700
10.21279971,0.00000000,3.30708700
10.27679971,-2.36220500,3.22834600
10.34079971,-3.14960600,3.30708700
10.40479971,-3.14960600,3.30708700
10.46879970,-1.57480300,3.22834600
10.53279970,-0.78740150,3.30708700
10.59679970,-2.36220500,3.30708700
10.66079970,2.36220500,3.30708700
10.72479970,-1.96850400,3.22834600
10.78879970,0.39370070,3.30708700
10.85279969,-2.36220500,3.22834600
10.91679969,1.18110200,3.30708700
10.98079969,-6.29921200,3.30708700
11.04479969,2.75590500,3.30708700
11.10879969,-1.57480300,3.30708700
11.17279969,-1.18110200,3.30708700
11.23679968,-1.57480300,3.30708700
11.30079968,0.78740150,3.30708700
11.36479968,-6.69291300,3.30708700
11.42879968,-4.33070900,3.30708700
11.49279968,-2.75590500,3.30708700
11.55679967,-7.48031400,3.30708700
11.62079967,-4.33070900,3.30708700
11.68479967,-1.57480300,3.30708700
11.74879967,-5.11811000,3.30708700
11.81279967,-5.90551100,3.30708700
11.87679967,-0.39370070,3.22834600
11.94079966,-5.11811000,3.22834600
12.00479966,-3.54330700,3.30708700
12.06879966,-3.54330700,3.30708700
12.13279966,0.00000000,3.30708700
12.19679966,-5.51181100,3.30708700
12.26079965,1.57480300,3.30708700
12.32479965,-3.54330700,3.22834600
12.38879965,-3.14960600,3.30708700
12.45279965,-4.33070900,3.22834600
12.51679965,0.00000000,3.30708700
12.58079965,-4.33070900,3.30708700
12.64479964,-1.96850400,3.22834600
12.70879964,-0.39370070,3.22834600
12.77279964,-3.93700800,3.30708700
12.83679964,-3.54330700,3.30708700
12.90079964,-4.72440900,3.30708700
12.96479963,-3.93700800,3.30708700
13.02879963,-9.84251900,3.22834600
13.09279963,-0.78740150,3.22834600
13.15679963,-6.29921200,3.30708700
13.22079963,-3.93700800,3.22834600
13.28479963,-3.93700800,3.30708700
13.34879962,-1.57480300,3.30708700
13.41279962,-8.66141700,3.30708700
13.47679962,-3.14960600,3.22834600
13.54079962,-5.90551100,3.30708700
13.60479962,-5.90551100,3.30708700
13.66879961,-5.51181100,3.30708700
13.73279961,-2.36220500,3.30708700
13.79679961,-7.08661400,3.30708700
13.86079961,-5.90551100,3.30708700
13.92479961,-4.72440900,3.30708700
13.98879961,-9.44881800,3.30708700
14.05279960,-9.84251900,3.30708700
14.11679960,-9.44881800,3.30708700
14.18079960,-5.51181100,3.22834600
14.24479960,-11.02362000,3.30708700
14.30879960,-5.90551100,3.30708700
14.37279959,-9.05511800,3.30708700
14.43679959,-7.08661400,3.30708700
14.50079959,-10.62992000,3.30708700
14.56479959,-3.54330700,3.22834600
14.62879959,-9.44881800,3.30708700
14.69279959,-7.08661400,3.22834600
14.75679958,-4.72440900,3.22834600
14.82079958,-4.72440900,3.22834600
14.88479958,-8.66141700,3.30708700
14.94879958,-4.72440900,3.30708700
15.01279958,-4.33070900,3.22834600
15.07679957,-8.66141700,3.30708700
15.14079957,-3.14960600,3.30708700
15.20479957,-3.54330700,3.30708700
15.26879957,-6.29921200,3.30708700
15.33279957,-5.51181100,3.30708700
15.39679957,-1.57480300,3.30708700
15.46079956,-11.41732000,3.30708700
15.52479956,-6.69291300,3.30708700
15.58879956,-7.08661400,3.30708700
15.65279956,-7.08661400,3.30708700
15.71679956,-11.02362000,3.30708700
15.78079955,-1.57480300,3.30708700
15.84479955,-8.26771600,3.30708700
15.90879955,-6.69291300,3.30708700
15.97279955,-5.11811000,3.30708700
16.03679955,-6.29921200,3.30708700
16.10079955,-9.05511800,3.30708700
16.16479954,-3.93700800,3.30708700
16.22879954,-4.33070900,3.30708700
16.29279954,-9.44881800,3.30708700
16.35679954,-3.93700800,3.30708700
16.42079954,-6.69291300,3.30708700
16.48479953,-5.90551100,3.22834600
16.54879953,-9.05511800,3.30708700
16.61279953,-1.57480300,3.30708700
16.67679953,-8.66141700,3.22834600
16.74079953,-5.90551100,3.30708700
16.80479953,-6.29921200,3.30708700
16.86879952,-5.51181100,3.30708700
16.93279952,-11.81102000,3.22834600
16.99679952,-6.69291300,3.30708700
17.06079952,-10.62992000,3.30708700
17.12479952,-10.62992000,3.30708700
17.18879951,-9.05511800,3.30708700
17.25279951,-3.14960600,3.22834600
17.31679951,-7.08661400,3.30708700
17.38079951,-7.08661400,3.30708700
17.44479951,-2.36220500,3.30708700
17.50879951,-7.48031400,3.22834600
17.57279950,-7.87401500,3.22834600
17.63679950,-5.90551100,3.22834600
17.70079950,-3.54330700,3.22834600
17.76479950,-9.44881800,3.30708700
17.82879950,-0.39370070,3.30708700
17.89279949,-6.69291300,3.22834600
17.95679949,-5.51181100,3.30708700
18.02079949,-9.05511800,3.22834600
18.08479949,-3.93700800,3.30708700
18.14879949,-9.84251900,3.30708700
18.21279949,-7.48031400,3.30708700
18.27679948,-5.90551100,3.30708700
18.34079948,-7.87401500,3.30708700
18.40479948,-8.66141700,3.30708700
18.46879948,-5.11811000,3.30708700
18.53279948,-5.90551100,3.30708700
18.59679948,-11.02362000,3.30708700
18.66079947,-2.75590500,3.22834600
18.72479947,-5.90551100,3.30708700
18.78879947,-6.69291300,3.30708700
18.85279947,-5.51181100,3.30708700
18.91679947,-1.18110200,3.30708700
18.98079946,-9.84251900,3.30708700
19.04479946,-2.36220500,3.30708700
19.10879946,-5.11811000,3.30708700
19.17279946,-5.90551100,3.30708700
19.23679946,-6.29921200,3.30708700
19.30079946,0.39370070,3.30708700
19.36479945,-9.44881800,3.30708700
19.42879945,-7.08661400,3.30708700
19.49279945,-5.90551100,3.30708700
19.55679945,-10.23622000,3.30708700
19.62079945,-9.44881800,3.30708700
19.68479944,-7.08661400,3.30708700
19.74879944,-7.08661400,3.30708700
19.81279944,-9.44881800,3.22834600
19.87679944,-2.36220500,3.22834600
19.94079944,-7.48031400,3.22834600
20.00479944,-5.11811000,3.22834600
20.06879943,-9.05511800,3.22834600
20.13279943,-3.14960600,3.30708700
20.19679943,-9.05511800,3.22834600
20.26079943,-7.48031400,3.30708700
20.32479943,-5.90551100,3.30708700
20.38879942,-3.93700800,3.22834600
20.45279942,-8.26771600,3.30708700
20.51679942,-5.11811000,3.30708700
20.58079942,-7.08661400,3.30708700
20.64479942,-7.87401500,3.30708700
20.70879942,-6.29921200,3.30708700
20.77279941,-5.90551100,3.30708700
20.83679941,-8.66141700,3.30708700
20.90079941,-7.87401500,3.30708700
20.96479941,-4.33070900,3.30708700
21.02879941,-11.41732000,3.30708700
21.09279940,-7.48031400,3.30708700
21.15679940,-9.05511800,3.30708700
21.22079940,-5.51181100,3.30708700
21.28479940,-9.05511800,3.30708700
21.34879940,0.00000000,3.30708700
21.41279940,-6.69291300,3.30708700
21.47679939,-3.14960600,3.30708700
21.54079939,-4.33070900,3.30708700
21.60479939,-3.93700800,3.30708700
21.66879939,-8.26771600,3.30708700
21.73279939,-3.93700800,3.30708700
