Time,Channel A,Channel B
(us),(mV),(V)

-0.02789743,-10.62992000,0.00000000
0.03610256,-1.57480300,3.07086600
0.10010256,-6.69291300,3.22834600
0.16410256,-7.08661400,3.30708700
0.22810256,-6.69291300,3.22834600
0.29210256,-1.18110200,3.30708700
0.35610255,-6.69291300,3.22834600
0.42010255,-5.90551100,3.30708700
0.48410255,-2.75590500,3.22834600
0.54810255,-4.72440900,3.22834600
0.61210255,-3.93700800,3.22834600
0.67610255,-1.18110200,3.30708700
0.74010254,0.39370070,3.22834600
0.80410254,-5.11811000,3.22834600
0.86810254,1.57480300,3.22834600
0.93210254,-5.11811000,3.22834600
0.99610254,-3.93700800,3.22834600
1.06010254,-5.51181100,3.22834600
1.12410253,0.00000000,3.22834600
1.18810253,-7.48031400,3.30708700
1.25210253,-1.96850400,3.22834600
1.31610253,-3.54330700,3.22834600
1.38010253,-5.51181100,3.22834600
1.44410252,-7.48031400,3.22834600
1.50810252,-3.54330700,3.22834600
1.57210252,-6.69291300,3.22834600
1.63610252,-5.90551100,3.22834600
1.70010252,0.39370070,3.22834600
1.76410252,-4.33070900,3.22834600
1.82810251,-3.14960600,3.30708700
1.89210251,-0.39370070,3.22834600
1.95610251,1.57480300,3.22834600
2.02010251,-5.11811000,3.22834600
2.08410251,1.96850400,3.22834600
2.14810250,-0.78740150,3.30708700
2.21210250,0.39370070,3.30708700
2.27610250,-0.78740150,3.30708700
2.34010250,3.93700800,3.22834600
2.40410250,-5.11811000,3.22834600
2.46810250,-0.39370070,3.22834600
2.53210249,-1.96850400,3.30708700
2.59610249,-2.75590500,3.22834600
2.66010249,-3.93700800,3.22834600
2.72410249,-1.18110200,3.30708700
2.78810249,-1.18110200,3.22834600
2.85210248,-3.93700800,3.22834600
2.91610248,1.18110200,3.22834600
2.98010248,-2.36220500,3.30708700
3.04410248,-0.39370070,3.22834600
3.10810248,-2.36220500,3.22834600
3.17210248,2.36220500,3.22834600
3.23610247,-3.54330700,3.30708700
3.30010247,1.96850400,3.30708700
3.36410247,0.39370070,3.22834600
3.42810247,1.57480300,3.30708700
3.49210247,-3.54330700,3.30708700
3.55610246,2.36220500,3.30708700
3.62010246,-2.75590500,3.30708700
3.68410246,-3.14960600,3.30708700
3.74810246,-2.36220500,3.30708700
3.81210246,-1.57480300,3.30708700
3.87610246,-5.51181100,3.30708700
3.94010245,-2.36220500,3.30708700
4.00410245,-1.96850400,3.30708700
4.06810245,-11.81102000,3.22834600
4.13210245,-4.72440900,3.30708700
4.19610245,-3.54330700,3.22834600
4.26010244,-4.33070900,3.22834600
4.32410244,-6.69291300,3.30708700
4.38810244,1.96850400,3.22834600
4.45210244,-7.08661400,3.30708700
4.51610244,-3.54330700,3.22834600
4.58010244,-3.14960600,3.22834600
4.64410243,-2.36220500,3.30708700
4.70810243,-6.69291300,3.30708700
4.77210243,2.75590500,3.30708700
4.83610243,-1.96850400,3.30708700
4.90010243,-3.93700800,3.30708700
4.96410242,0.39370070,3.30708700
5.02810242,-1.57480300,3.30708700
5.09210242,-5.51181100,3.30708700
5.15610242,-3.54330700,3.30708700
5.22010242,-1.96850400,3.30708700
5.28410242,-6.69291300,3.30708700
5.34810241,-1.96850400,3.30708700
5.41210241,-2.75590500,3.30708700
5.47610241,-3.14960600,3.30708700
5.54010241,-7.08661400,3.30708700
5.60410241,1.96850400,3.22834600
5.66810240,-5.51181100,3.30708700
5.73210240,-0.39370070,3.30708700
5.79610240,-2.36220500,3.30708700
5.86010240,0.78740150,3.30708700
5.92410240,-4.72440900,3.30708700
5.98810240,0.39370070,3.30708700
6.05210239,0.00000000,3.30708700
6.11610239,-3.93700800,3.30708700
6.18010239,0.00000000,3.30708700
6.24410239,-2.36220500,3.30708700
6.30810239,-2.36220500,3.30708700
6.37210238,-4.33070900,3.30708700
6.43610238,2.36220500,3.30708700
6.50010238,-5.51181100,3.30708700
6.56410238,-2.75590500,3.30708700
6.62810238,-4.72440900,3.30708700
6.69210238,-4.33070900,3.30708700
6.75610237,-9.84251900,3.30708700
6.82010237,-1.57480300,3.30708700
6.88410237,-6.69291300,3.22834600
6.94810237,-2.75590500,3.30708700
7.01210237,-4.72440900,3.22834600
7.07610236,-0.78740150,3.30708700
7.14010236,-8.26771600,3.30708700
7.20410236,-4.33070900,3.30708700
7.26810236,-1.57480300,3.30708700
7.33210236,-4.33070900,3.30708700
7.39610236,-1.96850400,3.30708700
7.46010235,-2.36220500,3.30708700
7.52410235,3.54330700,3.30708700
7.58810235,-5.51181100,3.30708700
7.65210235,1.96850400,3.30708700
7.71610235,-6.69291300,3.30708700
7.78010234,0.78740150,3.30708700
7.84410234,-4.72440900,3.30708700
7.90810234,0.00000000,3.30708700
7.97210234,-8.26771600,3.30708700
8.03610234,-1.18110200,3.30708700
8.10010234,-4.72440900,3.30708700
8.16410233,-5.11811000,3.30708700
8.22810233,-3.54330700,3.30708700
8.29210233,-1.18110200,3.30708700
8.35610233,-3.14960600,3.30708700
8.42010233,-3.54330700,3.30708700
8.48410233,1.96850400,3.30708700
8.54810232,-3.93700800,3.30708700
8.61210232,-3.54330700,3.30708700
8.67610232,0.39370070,3.30708700
8.74010232,-1.18110200,3.30708700
8.80410232,-6.69291300,3.30708700
8.86810231,0.39370070,3.30708700
8.93210231,-5.51181100,3.30708700
8.99610231,-1.18110200,3.30708700
9.06010231,-1.57480300,3.30708700
9.12410231,3.14960600,3.30708700
9.18810231,-10.62992000,3.30708700
9.25210230,-0.39370070,3.30708700
9.31610230,-4.72440900,3.30708700
9.38010230,-5.90551100,3.30708700
9.44410230,-7.08661400,3.30708700
9.50810230,-1.57480300,3.30708700
9.57210229,-3.93700800,3.22834600
9.63610229,-2.36220500,3.30708700
9.70010229,-0.39370070,3.30708700
9.76410229,-5.51181100,3.30708700
9.82810229,0.00000000,3.30708700
9.89210229,-1.96850400,3.30708700
9.95610228,0.39370070,3.30708700
10.02010228,-10.62992000,3.30708700
10.08410228,4.33070900,3.30708700
10.14810228,-0.78740150,3.30708700
10.21210228,0.78740150,3.30708700
10.27610227,-3.54330700,3.30708700
10.34010227,1.57480300,3.30708700
10.40410227,-3.93700800,3.30708700
10.46810227,-0.78740150,3.30708700
10.53210227,-1.57480300,3.30708700
10.59610227,-3.93700800,3.30708700
10.66010226,-5.90551100,3.30708700
10.72410226,-1.18110200,3.30708700
10.78810226,-3.93700800,3.30708700
10.85210226,-7.08661400,3.30708700
10.91610226,0.00000000,3.30708700
10.98010225,-3.54330700,3.30708700
11.04410225,0.78740150,3.30708700
11.10810225,-0.39370070,3.30708700
11.17210225,4.33070900,3.30708700
11.23610225,-3.54330700,3.30708700
11.30010225,2.36220500,3.30708700
11.36410224,-1.96850400,3.30708700
11.42810224,-3.14960600,3.30708700
11.49210224,-4.33070900,3.30708700
11.55610224,3.14960600,3.30708700
11.62010224,-2.36220500,3.30708700
11.68410223,-1.96850400,3.30708700
11.74810223,0.00000000,3.30708700
11.81210223,-3.14960600,3.30708700
11.87610223,-6.29921200,3.30708700
11.94010223,-3.14960600,3.30708700
12.00410223,-3.93700800,3.30708700
12.06810222,-8.66141700,3.30708700
12.13210222,-2.75590500,3.30708700
12.19610222,-5.11811000,3.30708700
12.26010222,-5.51181100,3.30708700
12.32410222,-8.66141700,3.30708700
12.38810221,0.39370070,3.22834600
12.45210221,-9.84251900,3.30708700
12.51610221,-2.75590500,3.30708700
12.58010221,-2.75590500,3.30708700
12.64410221,-2.75590500,3.30708700
12.70810221,-5.11811000,3.30708700
12.77210220,0.78740150,3.30708700
12.83610220,-5.51181100,3.22834600
12.90010220,-7.08661400,3.30708700
12.96410220,-2.36220500,3.30708700
13.02810220,-4.72440900,3.30708700
13.09210219,-5.90551100,3.30708700
13.15610219,-5.51181100,3.22834600
13.22010219,-1.96850400,3.30708700
13.28410219,-10.23622000,3.30708700
13.34810219,-5.51181100,3.30708700
13.41210219,-8.26771600,3.30708700
13.47610218,-8.26771600,3.30708700
13.54010218,-10.62992000,3.30708700
13.60410218,-2.75590500,3.30708700
13.66810218,-9.44881800,3.30708700
13.73210218,-4.33070900,3.30708700
13.79610217,-4.33070900,3.30708700
13.86010217,-4.33070900,3.30708700
13.92410217,-8.66141700,3.30708700
13.98810217,-6.69291300,3.30708700
14.05210217,-6.69291300,3.30708700
14.11610217,-7.87401500,3.30708700
14.18010216,-4.33070900,3.30708700
14.24410216,-3.93700800,3.30708700
14.30810216,-3.14960600,3.30708700
14.37210216,-7.87401500,3.30708700
14.43610216,-1.57480300,3.30708700
14.50010215,-9.84251900,3.30708700
14.56410215,-7.87401500,3.30708700
14.62810215,-8.66141700,3.30708700
14.69210215,-5.11811000,3.30708700
14.75610215,-12.59842000,3.30708700
14.82010215,-5.90551100,3.30708700
14.88410214,-7.87401500,3.30708700
14.94810214,-9.84251900,3.30708700
15.01210214,-8.66141700,3.30708700
15.07610214,-4.33070900,3.30708700
15.14010214,-9.44881800,3.30708700
15.20410214,-8.26771600,3.30708700
15.26810213,-1.96850400,3.30708700
15.33210213,-9.44881800,3.22834600
15.39610213,-6.69291300,3.30708700
15.46010213,-5.51181100,3.30708700
15.52410213,-7.08661400,3.30708700
15.58810212,-11.02362000,3.30708700
15.65210212,-2.36220500,3.30708700
15.71610212,-8.66141700,3.30708700
15.78010212,-5.51181100,3.30708700
15.84410212,-6.69291300,3.30708700
15.90810212,-4.33070900,3.30708700
15.97210211,-13.38583000,3.30708700
16.03610211,-7.48031400,3.30708700
16.10010211,-9.44881800,3.30708700
16.16410211,-10.62992000,3.30708700
16.22810211,-9.05511800,3.30708700
16.29210210,-5.90551100,3.30708700
16.35610210,-7.87401500,3.30708700
16.42010210,-8.66141700,3.30708700
16.48410210,-3.14960600,3.30708700
16.54810210,-9.44881800,3.30708700
16.61210210,-4.72440900,3.30708700
16.67610209,-5.51181100,3.30708700
16.74010209,-2.36220500,3.30708700
16.80410209,-8.26771600,3.30708700
16.86810209,-0.39370070,3.30708700
16.93210209,-5.51181100,3.30708700
16.99610208,-4.72440900,3.30708700
17.06010208,-7.87401500,3.30708700
17.12410208,-4.33070900,3.30708700
17.18810208,-11.41732000,3.30708700
17.25210208,-6.29921200,3.30708700
17.31610208,-5.51181100,3.30708700
17.38010207,-8.26771600,3.30708700
17.44410207,-7.87401500,3.30708700
17.50810207,-8.26771600,3.30708700
17.57210207,-8.26771600,3.30708700
17.63610207,-11.81102000,3.30708700
17.70010206,-6.29921200,3.30708700
17.76410206,-10.62992000,3.30708700
17.82810206,-6.29921200,3.30708700
17.89210206,-10.23622000,3.30708700
17.95610206,-4.33070900,3.30708700
18.02010206,-11.81102000,3.22834600
18.08410205,-4.72440900,3.30708700
18.14810205,-7.87401500,3.30708700
18.21210205,-8.66141700,3.30708700
18.27610205,-7.87401500,3.30708700
18.34010205,-4.33070900,3.30708700
18.40410204,-6.29921200,3.30708700
18.46810204,-7.08661400,3.30708700
18.53210204,-6.69291300,3.30708700
18.59610204,-9.05511800,3.30708700
18.66010204,-10.62992000,3.30708700
18.72410204,-10.23622000,3.30708700
18.78810203,-7.08661400,3.30708700
18.85210203,-11.81102000,3.30708700
18.91610203,-3.93700800,3.30708700
18.98010203,-6.69291300,3.30708700
19.04410203,-5.51181100,3.30708700
19.10810202,-7.87401500,3.30708700
19.17210202,-0.78740150,3.30708700
19.23610202,-8.66141700,3.30708700
19.30010202,-3.54330700,3.30708700
19.36410202,-3.14960600,3.30708700
19.42810202,-4.72440900,3.30708700
19.49210201,-6.69291300,3.30708700
19.55610201,-1.57480300,3.30708700
19.62010201,-6.69291300,3.30708700
19.68410201,-9.44881800,3.30708700
19.74810201,-0.39370070,3.30708700
19.81210200,-6.29921200,3.30708700
19.87610200,-6.69291300,3.30708700
19.94010200,-5.11811000,3.30708700
20.00410200,-4.33070900,3.30708700
20.06810200,-12.99213000,3.30708700
20.13210200,-6.29921200,3.30708700
20.19610199,-12.20472000,3.30708700
20.26010199,-10.23622000,3.30708700
20.32410199,-10.23622000,3.30708700
20.38810199,-5.51181100,3.30708700
20.45210199,-11.02362000,3.30708700
20.51610198,-6.69291300,3.30708700
20.58010198,-8.66141700,3.30708700
20.64410198,-7.08661400,3.30708700
20.70810198,-11.02362000,3.30708700
20.77210198,-5.90551100,3.30708700
20.83610198,-6.69291300,3.30708700
20.90010197,-10.23622000,3.22834600
20.96410197,-3.54330700,3.30708700
21.02810197,-7.87401500,3.30708700
21.09210197,-6.29921200,3.30708700
21.15610197,-9.44881800,3.30708700
21.22010196,-3.93700800,3.30708700
21.28410196,-11.81102000,3.30708700
21.34810196,-6.29921200,3.30708700
21.41210196,-7.08661400,3.30708700
21.47610196,-4.33070900,3.30708700
21.54010196,-8.66141700,3.30708700
21.60410195,-2.36220500,3.30708700
21.66810195,-7.87401500,3.30708700
21.73210195,-6.69291300,3.30708700
