Time,Channel A,Channel B
(us),(mV),(V)

-0.04352000,-6.69291300,0.00000000
0.02048000,-20.86614000,1.96850400
0.08448000,-11.81102000,3.22834600
0.14848000,-5.51181100,3.22834600
0.21247999,-9.05511800,3.22834600
0.27647999,-6.29921200,3.22834600
0.34047999,-10.23622000,3.30708700
0.40447999,-3.93700800,3.30708700
0.46847999,-8.26771600,3.30708700
0.53247999,-4.72440900,3.22834600
0.59647998,-6.29921200,3.22834600
0.66047998,-3.93700800,3.22834600
0.72447998,-6.29921200,3.22834600
0.78847998,-6.69291300,3.22834600
0.85247998,-3.93700800,3.30708700
0.91647997,-7.08661400,3.22834600
0.98047997,-5.11811000,3.22834600
1.04447997,-5.11811000,3.22834600
1.10847997,-1.18110200,3.30708700
1.17247997,-6.69291300,3.22834600
1.23647997,0.00000000,3.22834600
1.30047996,-3.54330700,3.22834600
1.36447996,-2.75590500,3.22834600
1.42847996,-4.72440900,3.30708700
1.49247996,0.39370070,3.30708700
1.55647996,-7.87401500,3.30708700
1.62047995,-2.36220500,3.22834600
1.68447995,-1.96850400,3.22834600
1.74847995,-2.75590500,3.22834600
1.81247995,-4.33070900,3.30708700
1.87647995,-0.78740150,3.30708700
1.94047995,-4.72440900,3.30708700
2.00447994,-5.11811000,3.22834600
2.06847994,0.78740150,3.22834600
2.13247994,-4.72440900,3.22834600
2.19647994,-5.90551100,3.22834600
2.26047994,-4.72440900,3.22834600
2.32447993,-2.36220500,3.22834600
2.38847993,-9.84251900,3.22834600
2.45247993,-1.57480300,3.22834600
2.51647993,-5.51181100,3.22834600
2.58047993,-3.54330700,3.22834600
2.64447993,-6.69291300,3.22834600
2.70847992,-0.78740150,3.22834600
2.77247992,-6.69291300,3.22834600
2.83647992,-4.33070900,3.22834600
2.90047992,-1.57480300,3.22834600
2.96447992,-3.14960600,3.22834600
3.02847991,-4.33070900,3.22834600
3.09247991,-1.57480300,3.22834600
3.15647991,-1.57480300,3.22834600
3.22047991,-5.90551100,3.30708700
3.28447991,-1.96850400,3.30708700
3.34847991,-4.33070900,3.30708700
3.41247990,-3.54330700,3.22834600
3.47647990,-4.72440900,3.30708700
3.54047990,0.00000000,3.22834600
3.60447990,-9.05511800,3.22834600
3.66847990,0.00000000,3.22834600
3.73247990,-3.54330700,3.22834600
3.79647989,-3.14960600,3.22834600
3.86047989,-3.54330700,3.22834600
3.92447989,0.00000000,3.22834600
3.98847989,-3.14960600,3.22834600
4.05247989,-3.54330700,3.30708700
4.11647988,-1.18110200,3.30708700
4.18047988,-4.72440900,3.30708700
4.24447988,-2.75590500,3.30708700
4.30847988,-2.36220500,3.30708700
4.37247988,-1.18110200,3.30708700
4.43647988,-4.33070900,3.22834600
4.50047987,-2.36220500,3.30708700
4.56447987,-5.11811000,3.30708700
4.62847987,-3.93700800,3.30708700
4.69247987,-6.69291300,3.22834600
4.75647987,-2.75590500,3.22834600
4.82047986,-7.08661400,3.22834600
4.88447986,-5.11811000,3.30708700
4.94847986,-9.05511800,3.30708700
5.01247986,-5.11811000,3.22834600
5.07647986,-7.87401500,3.22834600
5.14047986,-5.51181100,3.30708700
5.20447985,-3.93700800,3.30708700
5.26847985,-8.66141700,3.22834600
5.33247985,-4.33070900,3.30708700
5.39647985,-5.51181100,3.22834600
5.46047985,-5.11811000,3.22834600
5.52447984,-6.69291300,3.30708700
5.58847984,-0.78740150,3.22834600
5.65247984,-6.69291300,3.30708700
5.71647984,-3.14960600,3.22834600
5.78047984,-3.14960600,3.30708700
5.84447984,-3.14960600,3.30708700
5.90847983,-7.08661400,3.30708700
5.97247983,-0.39370070,3.30708700
6.03647983,-5.11811000,3.30708700
6.10047983,-4.72440900,3.30708700
6.16447983,-1.96850400,3.30708700
6.22847982,-3.93700800,3.30708700
6.29247982,-4.72440900,3.30708700
6.35647982,-1.96850400,3.30708700
6.42047982,-3.54330700,3.30708700
6.48447982,-4.33070900,3.30708700
6.54847982,-0.39370070,3.30708700
6.61247981,-1.57480300,3.30708700
6.67647981,-4.33070900,3.30708700
6.74047981,-3.54330700,3.30708700
6.80447981,-0.78740150,3.30708700
6.86847981,-6.29921200,3.30708700
6.93247980,0.00000000,3.30708700
6.99647980,-3.14960600,3.30708700
7.06047980,-0.39370070,3.30708700
7.12447980,-5.51181100,3.30708700
7.18847980,-0.78740150,3.30708700
7.25247980,-5.90551100,3.30708700
7.31647979,-4.33070900,3.30708700
7.38047979,-3.93700800,3.30708700
7.44447979,-3.93700800,3.30708700
7.50847979,-6.69291300,3.30708700
7.57247979,-7.87401500,3.30708700
7.63647978,-4.33070900,3.30708700
7.70047978,-7.08661400,3.22834600
7.76447978,-4.72440900,3.30708700
7.82847978,-5.51181100,3.30708700
7.89247978,-6.29921200,3.30708700
7.95647978,-7.08661400,3.22834600
8.02047977,-3.93700800,3.30708700
8.08447977,-7.48031400,3.22834600
8.14847977,-3.54330700,3.30708700
8.21247977,-4.33070900,3.22834600
8.27647977,-1.57480300,3.30708700
8.34047976,-7.87401500,3.30708700
8.40447976,-1.57480300,3.30708700
8.46847976,-4.33070900,3.30708700
8.53247976,-3.93700800,3.30708700
8.59647976,-3.93700800,3.30708700
8.66047976,-3.14960600,3.30708700
8.72447975,-4.33070900,3.30708700
8.78847975,-4.33070900,3.30708700
8.85247975,-1.57480300,3.30708700
8.91647975,-5.90551100,3.30708700
8.98047975,-3.93700800,3.30708700
9.04447974,-4.72440900,3.22834600
9.10847974,-0.78740150,3.30708700
9.17247974,-6.69291300,3.30708700
9.23647974,0.00000000,3.30708700
9.30047974,-2.36220500,3.22834600
9.36447974,-0.78740150,3.30708700
9.42847973,-1.18110200,3.30708700
9.49247973,1.96850400,3.30708700
9.55647973,-2.36220500,3.30708700
9.62047973,0.00000000,3.30708700
9.68447973,2.36220500,3.30708700
9.74847972,-0.78740150,3.30708700
9.81247972,-1.96850400,3.30708700
9.87647972,1.96850400,3.30708700
9.94047972,0.00000000,3.30708700
10.00447972,-4.33070900,3.30708700
10.06847972,1.18110200,3.30708700
10.13247971,-3.93700800,3.30708700
10.19647971,-4.33070900,3.30708700
10.26047971,-4.33070900,3.30708700
10.32447971,0.00000000,3.30708700
10.38847971,-11.41732000,3.30708700
10.45247970,-1.18110200,3.30708700
10.51647970,-6.29921200,3.30708700
10.58047970,-5.51181100,3.30708700
10.64447970,-4.33070900,3.30708700
10.70847970,-1.18110200,3.30708700
10.77247970,-6.29921200,3.30708700
10.83647969,-3.54330700,3.30708700
10.90047969,-0.78740150,3.30708700
10.96447969,-5.51181100,3.30708700
11.02847969,-1.18110200,3.22834600
11.09247969,-0.78740150,3.30708700
11.15647969,-1.57480300,3.30708700
11.22047968,-5.11811000,3.30708700
11.28447968,0.00000000,3.30708700
11.34847968,-4.33070900,3.30708700
11.41247968,-0.78740150,3.30708700
11.47647968,-3.54330700,3.30708700
11.54047967,-0.39370070,3.30708700
11.60447967,-4.72440900,3.30708700
11.66847967,-1.96850400,3.30708700
11.73247967,-3.54330700,3.30708700
11.79647967,-1.18110200,3.30708700
11.86047967,-4.33070900,3.30708700
11.92447966,0.78740150,3.30708700
11.98847966,-1.57480300,3.30708700
12.05247966,-3.54330700,3.30708700
12.11647966,-1.18110200,3.30708700
12.18047966,-1.18110200,3.30708700
12.24447965,-3.14960600,3.30708700
12.30847965,-3.54330700,3.30708700
12.37247965,1.57480300,3.30708700
12.43647965,-5.90551100,3.30708700
12.50047965,0.00000000,3.30708700
12.56447965,-1.96850400,3.30708700
12.62847964,-1.96850400,3.30708700
12.69247964,-6.69291300,3.30708700
12.75647964,-0.78740150,3.30708700
12.82047964,-6.69291300,3.30708700
12.88447964,-6.69291300,3.30708700
12.94847963,-7.08661400,3.30708700
13.01247963,-7.08661400,3.30708700
13.07647963,-9.84251900,3.22834600
13.14047963,-7.08661400,3.30708700
13.20447963,-8.26771600,3.22834600
13.26847963,-12.20472000,3.30708700
13.33247962,-6.69291300,3.30708700
13.39647962,-7.08661400,3.30708700
13.46047962,-11.41732000,3.30708700
13.52447962,-8.26771600,3.30708700
13.58847962,-6.69291300,3.22834600
13.65247961,-9.84251900,3.30708700
13.71647961,-5.51181100,3.30708700
13.78047961,-10.62992000,3.30708700
13.84447961,-5.51181100,3.30708700
13.90847961,-10.62992000,3.30708700
13.97247961,-5.90551100,3.30708700
14.03647960,-10.23622000,3.30708700
14.10047960,-7.87401500,3.30708700
14.16447960,-7.48031400,3.30708700
14.22847960,-6.29921200,3.30708700
14.29247960,-8.66141700,3.22834600
14.35647959,-6.29921200,3.30708700
14.42047959,-5.11811000,3.30708700
14.48447959,-8.26771600,3.30708700
14.54847959,-4.72440900,3.30708700
14.61247959,-5.51181100,3.30708700
14.67647959,-6.69291300,3.30708700
14.74047958,-7.48031400,3.30708700
14.80447958,-3.93700800,3.30708700
14.86847958,-9.05511800,3.30708700
14.93247958,-5.51181100,3.30708700
14.99647958,-4.33070900,3.30708700
15.06047957,-4.33070900,3.30708700
15.12447957,-8.66141700,3.30708700
15.18847957,-2.36220500,3.30708700
15.25247957,-7.08661400,3.30708700
15.31647957,-6.29921200,3.30708700
15.38047957,-7.08661400,3.30708700
15.44447956,-7.48031400,3.30708700
15.50847956,-8.66141700,3.30708700
15.57247956,-8.66141700,3.30708700
15.63647956,-9.44881800,3.30708700
15.70047956,-12.59842000,3.30708700
15.76447955,-9.44881800,3.30708700
15.82847955,-12.20472000,3.30708700
15.89247955,-7.48031400,3.30708700
15.95647955,-14.56693000,3.30708700
16.02047955,-8.26771600,3.30708700
16.08447955,-11.81102000,3.30708700
16.14847954,-11.41732000,3.30708700
16.21247954,-11.02362000,3.30708700
16.27647954,-9.84251900,3.30708700
16.34047954,-11.41732000,3.30708700
16.40447954,-8.66141700,3.30708700
16.46847953,-6.69291300,3.30708700
16.53247953,-7.48031400,3.30708700
16.59647953,-7.87401500,3.30708700
16.66047953,-3.93700800,3.30708700
16.72447953,-6.29921200,3.30708700
16.78847953,-8.66141700,3.30708700
16.85247952,-3.93700800,3.30708700
16.91647952,-9.05511800,3.30708700
16.98047952,-8.66141700,3.30708700
17.04447952,-6.69291300,3.30708700
17.10847952,-5.11811000,3.30708700
17.17247951,-12.59842000,3.30708700
17.23647951,-2.36220500,3.30708700
17.30047951,-7.48031400,3.30708700
17.36447951,-6.69291300,3.30708700
17.42847951,-6.29921200,3.30708700
17.49247951,-3.54330700,3.30708700
17.55647950,-10.23622000,3.30708700
17.62047950,-3.14960600,3.30708700
17.68447950,-5.11811000,3.30708700
17.74847950,-8.66141700,3.30708700
17.81247950,-5.90551100,3.30708700
17.87647949,-4.72440900,3.30708700
17.94047949,-7.48031400,3.30708700
18.00447949,-10.62992000,3.30708700
18.06847949,-5.11811000,3.30708700
18.13247949,-11.41732000,3.30708700
18.19647949,-8.66141700,3.30708700
18.26047948,-10.62992000,3.30708700
18.32447948,-9.84251900,3.30708700
18.38847948,-14.17323000,3.30708700
18.45247948,-9.05511800,3.30708700
18.51647948,-12.59842000,3.30708700
18.58047948,-10.23622000,3.30708700
18.64447947,-14.96063000,3.22834600
18.70847947,-8.26771600,3.30708700
18.77247947,-12.20472000,3.30708700
18.83647947,-10.23622000,3.30708700
18.90047947,-7.87401500,3.30708700
18.96447946,-8.26771600,3.30708700
19.02847946,-7.87401500,3.30708700
19.09247946,-6.29921200,3.30708700
19.15647946,-4.72440900,3.30708700
19.22047946,-9.44881800,3.30708700
19.28447946,-3.54330700,3.30708700
19.34847945,-7.87401500,3.30708700
19.41247945,-7.08661400,3.30708700
19.47647945,-9.44881800,3.30708700
19.54047945,-4.33070900,3.30708700
19.60447945,-11.02362000,3.22834600
19.66847944,-6.69291300,3.30708700
19.73247944,-6.29921200,3.30708700
19.79647944,-5.90551100,3.30708700
19.86047944,-8.26771600,3.30708700
19.92447944,-3.54330700,3.30708700
19.98847944,-6.69291300,3.30708700
20.05247943,-7.48031400,3.30708700
20.11647943,-4.33070900,3.30708700
20.18047943,-6.69291300,3.30708700
20.24447943,-7.87401500,3.30708700
20.30847943,-6.29921200,3.30708700
20.37247942,-5.11811000,3.30708700
20.43647942,-9.05511800,3.30708700
20.50047942,-5.51181100,3.30708700
20.56447942,-7.48031400,3.30708700
20.62847942,-5.51181100,3.30708700
20.69247942,-11.02362000,3.30708700
20.75647941,-5.11811000,3.30708700
20.82047941,-11.81102000,3.30708700
20.88447941,-7.87401500,3.30708700
20.94847941,-9.84251900,3.30708700
21.01247941,-10.62992000,3.30708700
21.07647940,-14.17323000,3.30708700
21.14047940,-9.44881800,3.30708700
21.20447940,-9.44881800,3.30708700
21.26847940,-10.62992000,3.30708700
21.33247940,-7.48031400,3.30708700
21.39647940,-7.87401500,3.30708700
21.46047939,-9.44881800,3.30708700
21.52447939,-8.66141700,3.30708700
21.58847939,-5.51181100,3.30708700
21.65247939,-11.41732000,3.30708700
