Time,Channel A,Channel B
(us),(mV),(V)

-0.02789743,-6.69291300,0.00000000
0.03610256,5.11811000,3.07086600
0.10010256,-9.44881800,3.22834600
0.16410256,-1.18110200,3.22834600
0.22810256,-5.11811000,3.22834600
0.29210256,-6.29921200,3.22834600
0.35610255,-7.08661400,3.22834600
0.42010255,-2.75590500,3.22834600
0.48410255,-9.84251900,3.22834600
0.54810255,-3.93700800,3.30708700
0.61210255,-2.36220500,3.30708700
0.67610255,-3.14960600,3.30708700
0.74010254,-2.75590500,3.22834600
0.80410254,-1.96850400,3.30708700
0.86810254,-5.51181100,3.22834600
0.93210254,-6.69291300,3.22834600
0.99610254,-4.33070900,3.30708700
1.06010254,-8.66141700,3.30708700
1.12410253,-5.11811000,3.30708700
1.18810253,-5.51181100,3.30708700
1.25210253,-1.57480300,3.30708700
1.31610253,-8.66141700,3.22834600
1.38010253,0.78740150,3.22834600
1.44410252,-7.87401500,3.22834600
1.50810252,-3.14960600,3.22834600
1.57210252,-8.26771600,3.22834600
1.63610252,-0.39370070,3.30708700
1.70010252,-5.11811000,3.22834600
1.76410252,-2.75590500,3.22834600
1.82810251,-2.36220500,3.22834600
1.89210251,-2.36220500,3.22834600
1.95610251,-3.93700800,3.22834600
2.02010251,0.00000000,3.22834600
2.08410251,1.96850400,3.22834600
2.14810250,-1.96850400,3.22834600
2.21210250,4.33070900,3.30708700
2.27610250,0.39370070,3.22834600
2.34010250,-1.96850400,3.30708700
2.40410250,-4.33070900,3.22834600
2.46810250,-0.78740150,3.22834600
2.53210249,-7.48031400,3.22834600
2.59610249,-0.39370070,3.30708700
2.66010249,-1.18110200,3.30708700
2.72410249,1.96850400,3.30708700
2.78810249,-3.14960600,3.30708700
2.85210248,2.75590500,3.30708700
2.91610248,-3.93700800,3.22834600
2.98010248,-2.75590500,3.22834600
3.04410248,-3.93700800,3.22834600
3.10810248,-0.39370070,3.30708700
3.17210248,-3.93700800,3.30708700
3.23610247,-0.39370070,3.30708700
3.30010247,-2.36220500,3.30708700
3.36410247,-5.51181100,3.30708700
3.42810247,0.39370070,3.30708700
3.49210247,-1.57480300,3.22834600
3.55610246,-1.96850400,3.30708700
3.62010246,-5.51181100,3.30708700
3.68410246,1.57480300,3.30708700
3.74810246,-6.29921200,3.30708700
3.81210246,-3.14960600,3.30708700
3.87610246,-4.72440900,3.22834600
3.94010245,-3.93700800,3.30708700
4.00410245,-9.44881800,3.30708700
4.06810245,-2.75590500,3.22834600
4.13210245,-5.90551100,3.22834600
4.19610245,-6.69291300,3.30708700
4.26010244,-4.72440900,3.30708700
4.32410244,-1.18110200,3.22834600
4.38810244,-8.26771600,3.22834600
4.45210244,-3.54330700,3.22834600
4.51610244,-1.96850400,3.22834600
4.58010244,-7.87401500,3.22834600
4.64410243,-1.18110200,3.30708700
4.70810243,-0.39370070,3.22834600
4.77210243,-0.78740150,3.30708700
4.83610243,-3.14960600,3.22834600
4.90010243,3.93700800,3.30708700
4.96410242,-7.48031400,3.30708700
5.02810242,-5.51181100,3.30708700
5.09210242,-6.69291300,3.30708700
5.15610242,-1.96850400,3.30708700
5.22010242,-7.87401500,3.30708700
5.28410242,-1.18110200,3.30708700
5.34810241,-3.54330700,3.30708700
5.41210241,-3.93700800,3.22834600
5.47610241,-4.33070900,3.30708700
5.54010241,-1.96850400,3.30708700
5.60410241,-4.33070900,3.30708700
5.66810240,-4.72440900,3.30708700
5.73210240,-0.78740150,3.30708700
5.79610240,-3.14960600,3.30708700
5.86010240,-3.54330700,3.30708700
5.92410240,-4.33070900,3.30708700
5.98810240,1.18110200,3.30708700
6.05210239,-7.48031400,3.30708700
6.11610239,-0.78740150,3.30708700
6.18010239,-2.36220500,3.30708700
6.24410239,-1.96850400,3.30708700
6.30810239,-6.69291300,3.30708700
6.37210238,0.78740150,3.30708700
6.43610238,-8.66141700,3.30708700
6.50010238,-6.29921200,3.30708700
6.56410238,-3.54330700,3.30708700
6.62810238,-7.48031400,3.30708700
6.69210238,-8.66141700,3.30708700
6.75610237,-3.54330700,3.30708700
6.82010237,-1.96850400,3.30708700
6.88410237,-8.66141700,3.30708700
6.94810237,-0.78740150,3.22834600
7.01210237,-7.87401500,3.22834600
7.07610236,-5.90551100,3.30708700
7.14010236,-5.11811000,3.30708700
7.20410236,-1.18110200,3.22834600
7.26810236,-7.87401500,3.30708700
7.33210236,0.78740150,3.30708700
7.39610236,-1.57480300,3.30708700
7.46010235,-1.57480300,3.30708700
7.52410235,-4.33070900,3.30708700
7.58810235,0.39370070,3.30708700
7.65210235,-5.90551100,3.30708700
7.71610235,-3.54330700,3.30708700
7.78010234,-3.14960600,3.30708700
7.84410234,-3.93700800,3.30708700
7.90810234,-4.33070900,3.30708700
7.97210234,-3.14960600,3.30708700
8.03610234,-2.75590500,3.30708700
8.10010234,-8.26771600,3.30708700
8.16410233,-1.18110200,3.30708700
8.22810233,-3.54330700,3.30708700
8.29210233,-0.78740150,3.30708700
8.35610233,-4.72440900,3.30708700
8.42010233,0.78740150,3.30708700
8.48410233,-6.69291300,3.30708700
8.54810232,-2.36220500,3.30708700
8.61210232,-4.33070900,3.30708700
8.67610232,-2.36220500,3.30708700
8.74010232,-4.72440900,3.30708700
8.80410232,0.78740150,3.30708700
8.86810231,-2.75590500,3.30708700
8.93210231,-4.33070900,3.30708700
8.99610231,-3.14960600,3.30708700
9.06010231,-5.51181100,3.30708700
9.12410231,-6.29921200,3.30708700
9.18810231,-5.90551100,3.30708700
9.25210230,-3.14960600,3.30708700
9.31610230,-6.69291300,3.30708700
9.38010230,-0.39370070,3.30708700
9.44410230,-2.36220500,3.30708700
9.50810230,-1.96850400,3.30708700
9.57210229,-6.29921200,3.30708700
9.63610229,1.18110200,3.30708700
9.70010229,-7.08661400,3.30708700
9.76410229,-1.18110200,3.30708700
9.82810229,-1.57480300,3.30708700
9.89210229,1.57480300,3.30708700
9.95610228,-2.75590500,3.30708700
10.02010228,2.36220500,3.30708700
10.08410228,0.00000000,3.30708700
10.14810228,-2.75590500,3.30708700
10.21210228,1.18110200,3.30708700
10.27610227,0.39370070,3.30708700
10.34010227,-1.96850400,3.30708700
10.40410227,-2.75590500,3.30708700
10.46810227,2.36220500,3.30708700
10.53210227,-6.69291300,3.30708700
10.59610227,-3.14960600,3.30708700
10.66010226,-2.75590500,3.30708700
10.72410226,-2.75590500,3.30708700
10.78810226,-6.29921200,3.30708700
10.85210226,3.54330700,3.30708700
10.91610226,-3.54330700,3.30708700
10.98010225,-2.36220500,3.30708700
11.04410225,0.39370070,3.30708700
11.10810225,-1.18110200,3.30708700
11.17210225,-6.69291300,3.30708700
11.23610225,0.78740150,3.30708700
11.30010225,-1.18110200,3.30708700
11.36410224,-3.54330700,3.30708700
11.42810224,1.96850400,3.30708700
11.49210224,0.00000000,3.30708700
11.55610224,-1.96850400,3.30708700
11.62010224,-3.54330700,3.30708700
11.68410223,0.39370070,3.30708700
11.74810223,-9.44881800,3.30708700
11.81210223,-1.96850400,3.30708700
11.87610223,-4.72440900,3.30708700
11.94010223,-2.75590500,3.30708700
12.00410223,-7.48031400,3.30708700
12.06810222,-1.18110200,3.30708700
12.13210222,-6.69291300,3.30708700
12.19610222,-4.72440900,3.22834600
12.26010222,-5.11811000,3.22834600
12.32410222,-4.33070900,3.30708700
12.38810221,-5.51181100,3.30708700
12.45210221,-3.54330700,3.22834600
12.51610221,-0.39370070,3.30708700
12.58010221,-4.33070900,3.30708700
12.64410221,-3.54330700,3.30708700
12.70810221,-1.57480300,3.30708700
12.77210220,-1.57480300,3.30708700
12.83610220,-7.08661400,3.30708700
12.90010220,1.57480300,3.22834600
12.96410220,-3.93700800,3.30708700
13.02810220,-1.57480300,3.30708700
13.09210219,-6.29921200,3.30708700
13.15610219,-2.75590500,3.30708700
13.22010219,-11.81102000,3.30708700
13.28410219,-3.14960600,3.30708700
13.34810219,-6.29921200,3.30708700
13.41210219,-7.48031400,3.30708700
13.47610218,-5.90551100,3.30708700
13.54010218,-2.36220500,3.30708700
13.60410218,-5.90551100,3.30708700
13.66810218,-8.66141700,3.30708700
13.73210218,-3.14960600,3.30708700
13.79610217,-9.05511800,3.30708700
13.86010217,-5.90551100,3.30708700
13.92410217,-5.90551100,3.30708700
13.98810217,-4.72440900,3.30708700
14.05210217,-9.84251900,3.30708700
14.11610217,-1.96850400,3.30708700
14.18010216,-6.69291300,3.30708700
14.24410216,-5.90551100,3.30708700
14.30810216,-7.08661400,3.30708700
14.37210216,-3.93700800,3.30708700
14.43610216,-9.84251900,3.30708700
14.50010215,-4.72440900,3.30708700
14.56410215,-6.69291300,3.30708700
14.62810215,-8.66141700,3.30708700
14.69210215,-9.84251900,3.30708700
14.75610215,-6.69291300,3.30708700
14.82010215,-10.23622000,3.30708700
14.88410214,-9.84251900,3.30708700
14.94810214,-3.14960600,3.30708700
15.01210214,-9.05511800,3.30708700
15.07610214,-5.90551100,3.30708700
15.14010214,-6.29921200,3.30708700
15.20410214,-5.11811000,3.30708700
15.26810213,-11.02362000,3.22834600
15.33210213,-1.96850400,3.30708700
15.39610213,-7.08661400,3.30708700
15.46010213,-5.51181100,3.30708700
15.52410213,-4.72440900,3.22834600
15.58810212,-1.18110200,3.30708700
15.65210212,-8.26771600,3.30708700
15.71610212,-6.29921200,3.30708700
15.78010212,-5.90551100,3.30708700
15.84410212,-10.23622000,3.30708700
15.90810212,-8.26771600,3.30708700
15.97210211,-6.29921200,3.30708700
16.03610211,-7.87401500,3.30708700
16.10010211,-8.66141700,3.30708700
16.16410211,-3.93700800,3.30708700
16.22810211,-10.62992000,3.30708700
16.29210210,-6.69291300,3.30708700
16.35610210,-9.44881800,3.30708700
16.42010210,-5.11811000,3.30708700
16.48410210,-10.23622000,3.30708700
16.54810210,-3.93700800,3.30708700
16.61210210,-6.69291300,3.30708700
16.67610209,-3.54330700,3.30708700
16.74010209,-6.69291300,3.30708700
16.80410209,-3.14960600,3.30708700
16.86810209,-6.29921200,3.30708700
16.93210209,-5.90551100,3.30708700
16.99610208,-3.54330700,3.30708700
17.06010208,-7.08661400,3.30708700
17.12410208,-7.87401500,3.30708700
17.18810208,-8.66141700,3.30708700
17.25210208,-5.51181100,3.30708700
17.31610208,-13.38583000,3.30708700
17.38010207,-6.29921200,3.30708700
17.44410207,-7.48031400,3.30708700
17.50810207,-8.66141700,3.30708700
17.57210207,-8.66141700,3.30708700
17.63610207,-2.36220500,3.30708700
17.70010206,-13.38583000,3.22834600
17.76410206,-7.08661400,3.30708700
17.82810206,-5.11811000,3.30708700
17.89210206,-11.02362000,3.30708700
17.95610206,-9.44881800,3.30708700
18.02010206,-1.96850400,3.30708700
18.08410205,-6.69291300,3.30708700
18.14810205,-7.87401500,3.30708700
18.21210205,-2.36220500,3.30708700
18.27610205,-7.48031400,3.30708700
18.34010205,-8.26771600,3.30708700
18.40410204,-7.08661400,3.30708700
18.46810204,-5.11811000,3.30708700
18.53210204,-13.77953000,3.30708700
18.59610204,-3.93700800,3.30708700
18.66010204,-7.87401500,3.30708700
18.72410204,-8.26771600,3.30708700
18.78810203,-11.02362000,3.30708700
18.85210203,-5.11811000,3.30708700
18.91610203,-10.62992000,3.30708700
18.98010203,-6.29921200,3.30708700
19.04410203,-5.11811000,3.30708700
19.10810202,-6.29921200,3.30708700
19.17210202,-6.69291300,3.30708700
19.23610202,-3.93700800,3.30708700
19.30010202,-5.11811000,3.30708700
19.36410202,-9.05511800,3.30708700
19.42810202,-3.93700800,3.30708700
19.49210201,-6.29921200,3.30708700
19.55610201,-5.51181100,3.30708700
19.62010201,-6.69291300,3.30708700
19.68410201,-1.96850400,3.30708700
19.74810201,-10.23622000,3.30708700
19.81210200,-5.90551100,3.30708700
19.87610200,-7.87401500,3.30708700
19.94010200,-7.87401500,3.30708700
20.00410200,-12.20472000,3.30708700
20.06810200,-4.33070900,3.30708700
20.13210200,-9.84251900,3.30708700
20.19610199,-9.44881800,3.30708700
20.26010199,-6.69291300,3.30708700
20.32410199,-8.26771600,3.30708700
20.38810199,-12.99213000,3.30708700
20.45210199,-9.84251900,3.30708700
20.51610198,-5.90551100,3.30708700
20.58010198,-13.38583000,3.22834600
20.64410198,-4.33070900,3.30708700
20.70810198,-7.08661400,3.30708700
20.77210198,-5.51181100,3.30708700
20.83610198,-10.23622000,3.30708700
20.90010197,-3.93700800,3.22834600
20.96410197,-9.05511800,3.30708700
21.02810197,-7.48031400,3.30708700
21.09210197,-8.66141700,3.30708700
21.15610197,-5.51181100,3.30708700
21.22010196,-11.02362000,3.30708700
21.28410196,-7.08661400,3.30708700
21.34810196,-7.08661400,3.30708700
21.41210196,-9.84251900,3.30708700
21.47610196,-7.48031400,3.30708700
21.54010196,-5.11811000,3.30708700
21.60410195,-6.29921200,3.30708700
21.66810195,-7.48031400,3.30708700
