Time,Channel A,Channel B
(us),(mV),(V)

-0.03400000,-3.54330700,0.00000000
0.03000000,-11.02362000,2.51968500
0.09400000,-6.69291300,3.22834600
0.15800000,-1.96850400,3.30708700
0.22199999,-7.87401500,3.22834600
0.28599999,-5.11811000,3.22834600
0.34999999,-6.29921200,3.30708700
0.41399999,-5.11811000,3.30708700
0.47799999,-10.23622000,3.30708700
0.54199999,-1.96850400,3.22834600
0.60599998,-7.08661400,3.22834600
0.66999998,-3.93700800,3.30708700
0.73399998,-5.11811000,3.22834600
0.79799998,-2.75590500,3.22834600
0.86199998,-7.87401500,3.22834600
0.92599997,-3.54330700,3.22834600
0.98999997,-2.75590500,3.22834600
1.05399997,-5.90551100,3.22834600
1.11799997,-1.18110200,3.30708700
1.18199997,-1.18110200,3.22834600
1.24599997,0.00000000,3.22834600
1.30999996,-3.14960600,3.22834600
1.37399996,2.75590500,3.30708700
1.43799996,-4.72440900,3.30708700
1.50199996,-1.18110200,3.22834600
1.56599996,-2.36220500,3.30708700
1.62999995,-0.78740150,3.30708700
1.69399995,-7.08661400,3.30708700
1.75799995,-0.78740150,3.22834600
1.82199995,-3.54330700,3.22834600
1.88599995,-5.51181100,3.30708700
1.94999995,-5.51181100,3.30708700
2.01399994,-1.96850400,3.22834600
2.07799994,-6.69291300,3.30708700
2.14199994,-3.93700800,3.30708700
2.20599994,-2.36220500,3.22834600
2.26999994,-5.90551100,3.22834600
2.33399993,-5.90551100,3.22834600
2.39799993,-2.36220500,3.22834600
2.46199993,-2.75590500,3.22834600
2.52599993,-8.26771600,3.22834600
2.58999993,3.14960600,3.22834600
2.65399993,-3.14960600,3.22834600
2.71799992,-0.78740150,3.22834600
2.78199992,-1.96850400,3.30708700
2.84599992,1.57480300,3.30708700
2.90999992,-6.69291300,3.22834600
2.97399992,0.39370070,3.22834600
3.03799991,-1.57480300,3.22834600
3.10199991,-4.33070900,3.30708700
3.16599991,-2.75590500,3.30708700
3.22999991,-0.39370070,3.22834600
3.29399991,-4.33070900,3.30708700
3.35799991,-5.51181100,3.30708700
3.42199990,-1.57480300,3.22834600
3.48599990,-5.90551100,3.22834600
3.54999990,-1.57480300,3.30708700
3.61399990,-3.14960600,3.22834600
3.67799990,-0.39370070,3.30708700
3.74199990,-4.72440900,3.30708700
3.80599989,0.78740150,3.30708700
3.86999989,-1.96850400,3.30708700
3.93399989,-0.78740150,3.30708700
3.99799989,-3.14960600,3.30708700
4.06199989,0.78740150,3.30708700
4.12599988,-2.75590500,3.30708700
4.18999988,-1.18110200,3.30708700
4.25399988,-1.18110200,3.30708700
4.31799988,-1.18110200,3.30708700
4.38199988,-4.72440900,3.30708700
4.44599988,-3.93700800,3.30708700
4.50999987,-4.33070900,3.30708700
4.57399987,-9.84251900,3.30708700
4.63799987,-3.14960600,3.30708700
4.70199987,-6.29921200,3.30708700
4.76599987,-5.90551100,3.30708700
4.82999986,-9.44881800,3.30708700
4.89399986,-1.96850400,3.22834600
4.95799986,-12.20472000,3.22834600
5.02199986,-6.29921200,3.22834600
5.08599986,-3.54330700,3.22834600
5.14999986,-5.51181100,3.30708700
5.21399985,-5.11811000,3.30708700
5.27799985,-0.78740150,3.30708700
5.34199985,-3.93700800,3.30708700
5.40599985,-5.51181100,3.30708700
5.46999985,-1.96850400,3.30708700
5.53399984,-3.14960600,3.30708700
5.59799984,-5.51181100,3.30708700
5.66199984,-1.96850400,3.30708700
5.72599984,-1.18110200,3.30708700
5.78999984,-6.69291300,3.30708700
5.85399984,-1.18110200,3.30708700
5.91799983,-6.29921200,3.22834600
5.98199983,-5.11811000,3.30708700
6.04599983,-7.08661400,3.30708700
6.10999983,-1.18110200,3.30708700
6.17399983,-7.48031400,3.30708700
6.23799982,-2.36220500,3.30708700
6.30199982,-1.57480300,3.30708700
6.36599982,-2.36220500,3.22834600
6.42999982,-4.72440900,3.30708700
6.49399982,-0.39370070,3.30708700
6.55799982,-2.75590500,3.22834600
6.62199981,-3.14960600,3.30708700
6.68599981,0.39370070,3.30708700
6.74999981,-1.57480300,3.30708700
6.81399981,-1.96850400,3.30708700
6.87799981,-1.18110200,3.30708700
6.94199980,0.78740150,3.30708700
7.00599980,-7.48031400,3.22834600
7.06999980,-3.14960600,3.30708700
7.13399980,-5.11811000,3.30708700
7.19799980,-5.11811000,3.30708700
7.26199980,-7.08661400,3.30708700
7.32599979,-1.57480300,3.30708700
7.38999979,-9.44881800,3.30708700
7.45399979,-7.08661400,3.30708700
7.51799979,-6.69291300,3.30708700
7.58199979,-8.26771600,3.22834600
7.64599978,-9.44881800,3.30708700
7.70999978,-2.36220500,3.30708700
7.77399978,-4.33070900,3.30708700
7.83799978,-5.90551100,3.22834600
7.90199978,-2.36220500,3.22834600
7.96599978,-5.11811000,3.30708700
8.02999977,-3.93700800,3.30708700
8.09399977,-5.90551100,3.30708700
8.15799977,0.00000000,3.30708700
8.22199977,-6.29921200,3.30708700
8.28599977,0.39370070,3.30708700
8.34999976,-3.14960600,3.22834600
8.41399976,-2.36220500,3.30708700
8.47799976,-7.08661400,3.30708700
8.54199976,-3.54330700,3.30708700
8.60599976,-6.29921200,3.30708700
8.66999976,-4.72440900,3.30708700
8.73399975,-5.51181100,3.30708700
8.79799975,-2.36220500,3.30708700
8.86199975,-5.51181100,3.30708700
8.92599975,-3.14960600,3.30708700
8.98999975,-2.36220500,3.30708700
9.05399974,-7.08661400,3.22834600
9.11799974,-3.54330700,3.30708700
9.18199974,-1.57480300,3.30708700
9.24599974,0.00000000,3.30708700
9.30999974,-3.54330700,3.30708700
9.37399974,5.11811000,3.30708700
9.43799973,-1.18110200,3.30708700
9.50199973,0.39370070,3.30708700
9.56599973,0.78740150,3.30708700
9.62999973,1.57480300,3.30708700
9.69399973,-5.51181100,3.30708700
9.75799972,1.96850400,3.30708700
9.82199972,-0.39370070,3.30708700
9.88599972,-5.11811000,3.30708700
9.94999972,-0.78740150,3.30708700
10.01399972,-2.36220500,3.30708700
10.07799972,-6.69291300,3.30708700
10.14199971,-7.48031400,3.30708700
10.20599971,-0.78740150,3.30708700
10.26999971,-8.66141700,3.30708700
10.33399971,-2.36220500,3.30708700
10.39799971,-3.14960600,3.22834600
10.46199970,-3.54330700,3.22834600
10.52599970,-7.48031400,3.30708700
10.58999970,0.00000000,3.22834600
10.65399970,-4.72440900,3.30708700
10.71799970,-3.14960600,3.30708700
10.78199970,-2.36220500,3.30708700
10.84599969,0.78740150,3.30708700
10.90999969,-3.93700800,3.30708700
10.97399969,0.00000000,3.30708700
11.03799969,-1.18110200,3.30708700
11.10199969,-3.93700800,3.30708700
11.16599969,-2.36220500,3.30708700
11.22999968,-2.75590500,3.30708700
11.29399968,-2.75590500,3.30708700
11.35799968,-5.51181100,3.30708700
11.42199968,1.18110200,3.30708700
11.48599968,-5.11811000,3.30708700
11.54999967,-1.96850400,3.30708700
11.61399967,-3.93700800,3.30708700
11.67799967,0.00000000,3.30708700
11.74199967,-5.11811000,3.30708700
11.80599967,1.18110200,3.30708700
11.86999967,-0.78740150,3.30708700
11.93399966,-0.78740150,3.30708700
11.99799966,-0.39370070,3.30708700
12.06199966,0.78740150,3.30708700
12.12599966,-3.14960600,3.30708700
12.18999966,-1.57480300,3.30708700
12.25399965,1.18110200,3.30708700
12.31799965,-2.36220500,3.30708700
12.38199965,-2.36220500,3.30708700
12.44599965,-1.96850400,3.30708700
12.50999965,-2.36220500,3.30708700
12.57399965,-6.69291300,3.30708700
12.63799964,-2.36220500,3.30708700
12.70199964,-8.26771600,3.30708700
12.76599964,-7.08661400,3.30708700
12.82999964,-7.87401500,3.30708700
12.89399964,-2.75590500,3.30708700
12.95799963,-12.20472000,3.30708700
13.02199963,-5.90551100,3.22834600
13.08599963,-7.48031400,3.30708700
13.14999963,-8.66141700,3.22834600
13.21399963,-9.05511800,3.30708700
13.27799963,-6.69291300,3.22834600
13.34199962,-4.72440900,3.30708700
13.40599962,-7.48031400,3.30708700
13.46999962,-4.72440900,3.30708700
13.53399962,-5.90551100,3.30708700
13.59799962,-7.48031400,3.30708700
13.66199961,-6.69291300,3.30708700
13.72599961,-2.36220500,3.30708700
13.78999961,-11.81102000,3.30708700
13.85399961,-5.51181100,3.30708700
13.91799961,-6.69291300,3.22834600
13.98199961,-9.05511800,3.30708700
14.04599960,-10.23622000,3.30708700
14.10999960,-5.11811000,3.30708700
14.17399960,-11.81102000,3.30708700
14.23799960,-6.29921200,3.30708700
14.30199960,-4.72440900,3.30708700
14.36599959,-5.51181100,3.30708700
14.42999959,-6.69291300,3.30708700
14.49399959,-0.78740150,3.30708700
14.55799959,-4.72440900,3.30708700
14.62199959,-7.48031400,3.30708700
14.68599959,-1.96850400,3.30708700
14.74999958,-6.69291300,3.30708700
14.81399958,-4.72440900,3.30708700
14.87799958,-3.93700800,3.30708700
14.94199958,-1.18110200,3.30708700
15.00599958,-7.87401500,3.30708700
15.06999957,-0.78740150,3.30708700
15.13399957,-7.08661400,3.30708700
15.19799957,-7.08661400,3.30708700
15.26199957,-9.05511800,3.30708700
15.32599957,-6.29921200,3.30708700
15.38999957,-10.62992000,3.30708700
15.45399956,-10.23622000,3.30708700
15.51799956,-7.48031400,3.30708700
15.58199956,-10.23622000,3.22834600
15.64599956,-12.59842000,3.22834600
15.70999956,-9.44881800,3.30708700
15.77399955,-7.87401500,3.22834600
15.83799955,-13.77953000,3.30708700
15.90199955,-6.69291300,3.22834600
15.96599955,-9.05511800,3.30708700
16.02999955,-4.33070900,3.30708700
16.09399955,-9.05511800,3.30708700
16.15799954,-7.08661400,3.30708700
16.22199954,-11.02362000,3.30708700
16.28599954,-7.87401500,3.30708700
16.34999954,-9.44881800,3.30708700
16.41399954,-7.87401500,3.30708700
16.47799953,-8.66141700,3.30708700
16.54199953,-3.54330700,3.30708700
16.60599953,-6.69291300,3.30708700
16.66999953,-9.05511800,3.30708700
16.73399953,-4.72440900,3.30708700
16.79799953,-7.87401500,3.30708700
16.86199952,-5.90551100,3.30708700
16.92599952,-4.33070900,3.30708700
16.98999952,-2.36220500,3.30708700
17.05399952,-9.05511800,3.30708700
17.11799952,-1.57480300,3.30708700
17.18199951,-7.48031400,3.30708700
17.24599951,-5.90551100,3.30708700
17.30999951,-7.08661400,3.30708700
17.37399951,0.00000000,3.30708700
17.43799951,-5.51181100,3.30708700
17.50199951,0.78740150,3.30708700
17.56599950,-2.75590500,3.30708700
17.62999950,-1.96850400,3.30708700
17.69399950,-7.87401500,3.30708700
17.75799950,-4.72440900,3.30708700
17.82199950,-7.48031400,3.30708700
17.88599949,-9.84251900,3.30708700
17.94999949,-7.08661400,3.30708700
18.01399949,-7.87401500,3.30708700
18.07799949,-11.81102000,3.30708700
18.14199949,-12.59842000,3.30708700
18.20599949,-6.29921200,3.30708700
18.26999948,-12.59842000,3.30708700
18.33399948,-9.44881800,3.30708700
18.39799948,-10.23622000,3.30708700
18.46199948,-8.26771600,3.30708700
18.52599948,-15.74803000,3.30708700
18.58999948,-3.14960600,3.30708700
18.65399947,-12.99213000,3.30708700
18.71799947,-9.84251900,3.30708700
18.78199947,-6.29921200,3.30708700
18.84599947,-9.44881800,3.30708700
18.90999947,-9.44881800,3.30708700
18.97399946,-3.54330700,3.30708700
19.03799946,-1.96850400,3.30708700
19.10199946,-5.90551100,3.30708700
19.16599946,-3.54330700,3.30708700
19.22999946,-6.69291300,3.30708700
19.29399946,-8.66141700,3.30708700
19.35799945,-7.08661400,3.30708700
19.42199945,-3.54330700,3.30708700
19.48599945,-12.20472000,3.30708700
19.54999945,-5.51181100,3.30708700
19.61399945,-6.29921200,3.30708700
19.67799944,-4.72440900,3.30708700
19.74199944,-8.26771600,3.30708700
19.80599944,-1.96850400,3.30708700
19.86999944,-7.87401500,3.30708700
19.93399944,-4.33070900,3.30708700
19.99799944,-3.54330700,3.30708700
20.06199943,-3.93700800,3.30708700
20.12599943,-5.11811000,3.30708700
20.18999943,-4.33070900,3.30708700
20.25399943,-1.18110200,3.30708700
20.31799943,-7.08661400,3.30708700
20.38199942,-4.72440900,3.30708700
20.44599942,-7.48031400,3.30708700
20.50999942,-5.11811000,3.30708700
20.57399942,-12.59842000,3.30708700
20.63799942,-5.90551100,3.30708700
20.70199942,-11.81102000,3.30708700
20.76599941,-12.59842000,3.30708700
20.82999941,-11.81102000,3.30708700
20.89399941,-8.66141700,3.22834600
20.95799941,-14.17323000,3.30708700
21.02199941,-11.02362000,3.30708700
21.08599940,-7.87401500,3.30708700
21.14999940,-11.02362000,3.30708700
21.21399940,-7.48031400,3.30708700
21.27799940,-3.93700800,3.30708700
21.34199940,-9.05511800,3.30708700
21.40599940,-8.66141700,3.30708700
21.46999939,-2.36220500,3.30708700
21.53399939,-7.87401500,3.30708700
21.59799939,-4.33070900,3.30708700
21.66199939,-4.72440900,3.30708700
