Time,Channel A,Channel B
(us),(mV),(V)

-0.02560000,0.00000000,0.07874016
0.03840000,-1.57480300,3.22834600
0.10240000,-5.11811000,3.22834600
0.16640000,-5.90551100,3.22834600
0.23039999,-3.14960600,3.22834600
0.29439999,-10.23622000,3.30708700
0.35839999,-3.93700800,3.22834600
0.42239999,-7.48031400,3.22834600
0.48639999,-6.29921200,3.22834600
0.55039999,-8.26771600,3.22834600
0.61439998,-3.14960600,3.22834600
0.67839998,-9.44881800,3.22834600
0.74239998,-6.69291300,3.22834600
0.80639998,-7.48031400,3.22834600
0.87039998,-3.54330700,3.22834600
0.93439997,-6.69291300,3.22834600
0.99839997,-2.36220500,3.22834600
1.06239997,-2.36220500,3.22834600
1.12639997,-6.29921200,3.22834600
1.19039997,-1.57480300,3.22834600
1.25439997,-3.14960600,3.22834600
1.31839996,-3.93700800,3.22834600
1.38239996,-5.11811000,3.22834600
1.44639996,2.36220500,3.22834600
1.51039996,-5.11811000,3.30708700
1.57439996,-1.18110200,3.22834600
1.63839995,-2.75590500,3.30708700
1.70239995,-2.36220500,3.22834600
1.76639995,-7.08661400,3.22834600
1.83039995,-0.39370070,3.22834600
1.89439995,-4.72440900,3.22834600
1.95839995,-2.75590500,3.22834600
2.02239994,0.78740150,3.22834600
2.08639994,0.39370070,3.22834600
2.15039994,-3.93700800,3.22834600
2.21439994,0.00000000,3.30708700
2.27839994,1.57480300,3.22834600
2.34239993,-3.54330700,3.22834600
2.40639993,1.57480300,3.22834600
2.47039993,0.00000000,3.22834600
2.53439993,0.78740150,3.22834600
2.59839993,-3.14960600,3.22834600
2.66239993,5.51181100,3.22834600
2.72639992,-5.51181100,3.30708700
2.79039992,0.00000000,3.22834600
2.85439992,-0.78740150,3.22834600
2.91839992,1.18110200,3.30708700
2.98239992,-5.51181100,3.30708700
3.04639991,1.96850400,3.30708700
3.11039991,-3.93700800,3.30708700
3.17439991,-7.48031400,3.22834600
3.23839991,-3.54330700,3.22834600
3.30239991,-5.51181100,3.22834600
3.36639991,-7.08661400,3.22834600
3.43039990,-4.33070900,3.22834600
3.49439990,-0.39370070,3.22834600
3.55839990,-7.48031400,3.22834600
3.62239990,-3.14960600,3.22834600
3.68639990,-4.33070900,3.22834600
3.75039990,-3.14960600,3.22834600
3.81439989,-6.29921200,3.22834600
3.87839989,1.57480300,3.22834600
3.94239989,-7.08661400,3.22834600
4.00639989,0.00000000,3.30708700
4.07039989,-1.96850400,3.22834600
4.13439988,-2.75590500,3.22834600
4.19839988,-5.11811000,3.22834600
4.26239988,0.39370070,3.30708700
4.32639988,-3.54330700,3.22834600
4.39039988,-3.54330700,3.30708700
4.45439988,-1.96850400,3.22834600
4.51839987,-4.33070900,3.22834600
4.58239987,-3.54330700,3.30708700
4.64639987,-5.51181100,3.30708700
4.71039987,-1.57480300,3.30708700
4.77439987,-7.87401500,3.22834600
4.83839986,0.39370070,3.30708700
4.90239986,-4.72440900,3.22834600
4.96639986,0.39370070,3.30708700
5.03039986,-4.72440900,3.30708700
5.09439986,1.57480300,3.30708700
5.15839986,-3.14960600,3.22834600
5.22239985,-1.96850400,3.22834600
5.28639985,-2.36220500,3.30708700
5.35039985,-1.18110200,3.30708700
5.41439985,-3.93700800,3.30708700
5.47839985,-0.78740150,3.30708700
5.54239984,-0.39370070,3.22834600
5.60639984,-4.33070900,3.30708700
5.67039984,-2.36220500,3.30708700
5.73439984,-3.54330700,3.30708700
5.79839984,-7.08661400,3.22834600
5.86239984,-8.26771600,3.30708700
5.92639983,-1.18110200,3.22834600
5.99039983,-8.66141700,3.30708700
6.05439983,-3.14960600,3.30708700
6.11839983,-5.11811000,3.22834600
6.18239983,-3.14960600,3.22834600
6.24639982,-9.84251900,3.22834600
6.31039982,0.39370070,3.22834600
6.37439982,-6.69291300,3.22834600
6.43839982,-4.33070900,3.30708700
6.50239982,-0.78740150,3.22834600
6.56639982,-2.75590500,3.22834600
6.63039981,-4.33070900,3.30708700
6.69439981,-1.96850400,3.30708700
6.75839981,-2.36220500,3.30708700
6.82239981,-7.08661400,3.30708700
6.88639981,1.18110200,3.30708700
6.95039980,-2.36220500,3.30708700
7.01439980,-2.75590500,3.30708700
7.07839980,-3.54330700,3.30708700
7.14239980,0.39370070,3.30708700
7.20639980,-9.44881800,3.22834600
7.27039980,-3.93700800,3.30708700
7.33439979,-4.33070900,3.30708700
7.39839979,-3.54330700,3.30708700
7.46239979,-5.51181100,3.30708700
7.52639979,1.57480300,3.30708700
7.59039979,-4.33070900,3.30708700
7.65439978,-1.96850400,3.30708700
7.71839978,-1.57480300,3.30708700
7.78239978,-0.78740150,3.30708700
7.84639978,-5.51181100,3.22834600
7.91039978,-0.39370070,3.30708700
7.97439978,0.00000000,3.30708700
8.03839977,-4.33070900,3.30708700
8.10239977,0.00000000,3.30708700
8.16639977,-2.36220500,3.30708700
8.23039977,-0.78740150,3.30708700
8.29439977,-5.11811000,3.30708700
8.35839976,0.00000000,3.30708700
8.42239976,-9.05511800,3.30708700
8.48639976,-3.54330700,3.30708700
8.55039976,-5.11811000,3.30708700
8.61439976,-3.54330700,3.30708700
8.67839976,-8.26771600,3.30708700
8.74239975,-3.93700800,3.30708700
8.80639975,-6.69291300,3.22834600
8.87039975,-7.48031400,3.30708700
8.93439975,-5.51181100,3.22834600
8.99839975,-3.93700800,3.22834600
9.06239974,-3.93700800,3.22834600
9.12639974,-3.14960600,3.22834600
9.19039974,-0.78740150,3.30708700
9.25439974,-5.11811000,3.30708700
9.31839974,-1.57480300,3.30708700
9.38239974,-2.36220500,3.30708700
9.44639973,0.39370070,3.22834600
9.51039973,-3.54330700,3.30708700
9.57439973,4.33070900,3.30708700
9.63839973,-2.36220500,3.30708700
9.70239973,0.78740150,3.30708700
9.76639972,-2.36220500,3.30708700
9.83039972,0.00000000,3.30708700
9.89439972,-6.69291300,3.30708700
9.95839972,1.96850400,3.30708700
10.02239972,-0.78740150,3.30708700
10.08639972,-3.93700800,3.30708700
10.15039971,0.78740150,3.30708700
10.21439971,0.39370070,3.30708700
10.27839971,-2.36220500,3.30708700
10.34239971,-1.96850400,3.30708700
10.40639971,3.54330700,3.30708700
10.47039970,-5.51181100,3.30708700
10.53439970,1.96850400,3.30708700
10.59839970,0.39370070,3.30708700
10.66239970,-1.18110200,3.30708700
10.72639970,-3.14960600,3.30708700
10.79039970,3.93700800,3.30708700
10.85439969,-4.72440900,3.30708700
10.91839969,-0.39370070,3.30708700
10.98239969,-0.39370070,3.30708700
11.04639969,-0.78740150,3.30708700
11.11039969,-5.51181100,3.30708700
11.17439969,0.78740150,3.30708700
11.23839968,-6.29921200,3.22834600
11.30239968,-5.90551100,3.30708700
11.36639968,-3.93700800,3.22834600
11.43039968,-5.51181100,3.22834600
11.49439968,-5.90551100,3.30708700
11.55839967,-3.54330700,3.30708700
11.62239967,0.78740150,3.30708700
11.68639967,-6.69291300,3.22834600
11.75039967,-0.39370070,3.30708700
11.81439967,-4.72440900,3.22834600
11.87839967,-2.75590500,3.22834600
11.94239966,-6.69291300,3.30708700
12.00639966,1.18110200,3.30708700
12.07039966,-4.72440900,3.30708700
12.13439966,-1.57480300,3.30708700
12.19839966,-0.78740150,3.30708700
12.26239965,0.00000000,3.30708700
12.32639965,-5.90551100,3.30708700
12.39039965,-2.36220500,3.30708700
12.45439965,-1.18110200,3.30708700
12.51839965,-5.51181100,3.30708700
12.58239965,-2.75590500,3.30708700
12.64639964,-1.18110200,3.30708700
12.71039964,-4.33070900,3.30708700
12.77439964,-5.51181100,3.22834600
12.83839964,0.78740150,3.30708700
12.90239964,-7.87401500,3.30708700
12.96639963,-2.75590500,3.30708700
13.03039963,-3.54330700,3.30708700
13.09439963,0.78740150,3.30708700
13.15839963,-7.87401500,3.30708700
13.22239963,0.39370070,3.30708700
13.28639963,-5.90551100,3.30708700
13.35039962,-5.51181100,3.30708700
13.41439962,-5.51181100,3.30708700
13.47839962,-2.36220500,3.30708700
13.54239962,-7.48031400,3.30708700
13.60639962,-3.54330700,3.30708700
13.67039961,-1.57480300,3.30708700
13.73439961,-9.05511800,3.30708700
13.79839961,-7.08661400,3.30708700
13.86239961,-8.26771600,3.30708700
13.92639961,-9.05511800,3.30708700
13.99039961,-12.99213000,3.30708700
14.05439960,-5.51181100,3.30708700
14.11839960,-10.62992000,3.30708700
14.18239960,-7.08661400,3.30708700
14.24639960,-6.69291300,3.30708700
14.31039960,-5.51181100,3.22834600
14.37439959,-11.81102000,3.30708700
14.43839959,-3.93700800,3.30708700
14.50239959,-7.08661400,3.22834600
14.56639959,-7.87401500,3.30708700
14.63039959,-6.29921200,3.30708700
14.69439959,-3.54330700,3.30708700
14.75839958,-8.66141700,3.22834600
14.82239958,-5.90551100,3.30708700
14.88639958,-3.14960600,3.30708700
14.95039958,-9.05511800,3.30708700
15.01439958,-3.54330700,3.30708700
15.07839957,-3.93700800,3.30708700
15.14239957,-3.93700800,3.30708700
15.20639957,-10.23622000,3.30708700
15.27039957,-2.36220500,3.22834600
15.33439957,-10.62992000,3.30708700
15.39839957,-6.29921200,3.30708700
15.46239956,-8.66141700,3.30708700
15.52639956,-4.33070900,3.30708700
15.59039956,-8.66141700,3.30708700
15.65439956,-2.36220500,3.30708700
15.71839956,-5.90551100,3.30708700
15.78239955,-5.11811000,3.30708700
15.84639955,-5.51181100,3.30708700
15.91039955,-5.90551100,3.30708700
15.97439955,-6.29921200,3.30708700
16.03839955,-8.26771600,3.30708700
16.10239955,-3.93700800,3.30708700
16.16639954,-5.11811000,3.30708700
16.23039954,-5.51181100,3.30708700
16.29439954,-7.08661400,3.30708700
16.35839954,-4.33070900,3.30708700
16.42239954,-11.81102000,3.30708700
16.48639953,-5.11811000,3.30708700
16.55039953,-9.05511800,3.30708700
16.61439953,-7.48031400,3.30708700
16.67839953,-9.05511800,3.30708700
16.74239953,-2.36220500,3.30708700
16.80639953,-12.20472000,3.30708700
16.87039952,-7.48031400,3.30708700
16.93439952,-7.87401500,3.22834600
16.99839952,-9.84251900,3.30708700
17.06239952,-10.23622000,3.22834600
17.12639952,-4.72440900,3.22834600
17.19039951,-7.48031400,3.30708700
17.25439951,-9.05511800,3.30708700
17.31839951,-1.57480300,3.30708700
17.38239951,-9.84251900,3.30708700
17.44639951,-7.08661400,3.30708700
17.51039951,-5.11811000,3.30708700
17.57439950,-3.93700800,3.22834600
17.63839950,-9.84251900,3.30708700
17.70239950,-1.57480300,3.30708700
17.76639950,-6.29921200,3.30708700
17.83039950,-7.48031400,3.30708700
17.89439949,-8.66141700,3.30708700
17.95839949,-5.11811000,3.30708700
18.02239949,-11.81102000,3.30708700
18.08639949,-7.48031400,3.30708700
18.15039949,-5.11811000,3.30708700
18.21439949,-7.08661400,3.30708700
18.27839948,-7.87401500,3.30708700
18.34239948,-4.33070900,3.30708700
18.40639948,-5.51181100,3.30708700
18.47039948,-9.84251900,3.30708700
18.53439948,-1.96850400,3.30708700
18.59839948,-8.66141700,3.30708700
18.66239947,-5.51181100,3.30708700
18.72639947,-7.87401500,3.30708700
18.79039947,-1.96850400,3.30708700
18.85439947,-11.02362000,3.30708700
18.91839947,-3.14960600,3.30708700
18.98239946,-4.72440900,3.30708700
19.04639946,-5.90551100,3.30708700
19.11039946,-7.48031400,3.30708700
19.17439946,-4.33070900,3.30708700
19.23839946,-8.66141700,3.30708700
19.30239946,-8.66141700,3.30708700
19.36639945,-6.69291300,3.30708700
19.43039945,-11.41732000,3.30708700
19.49439945,-10.62992000,3.30708700
19.55839945,-8.66141700,3.30708700
19.62239945,-5.11811000,3.30708700
19.68639944,-9.44881800,3.30708700
19.75039944,-3.93700800,3.30708700
19.81439944,-6.29921200,3.22834600
19.87839944,-4.72440900,3.30708700
19.94239944,-11.81102000,3.22834600
20.00639944,-3.14960600,3.30708700
20.07039943,-10.62992000,3.30708700
20.13439943,-4.72440900,3.30708700
20.19839943,-5.90551100,3.22834600
20.26239943,-5.51181100,3.22834600
20.32639943,-9.84251900,3.30708700
20.39039942,-4.72440900,3.30708700
20.45439942,-6.29921200,3.30708700
20.51839942,-11.81102000,3.30708700
20.58239942,-6.69291300,3.30708700
20.64639942,-8.66141700,3.30708700
20.71039942,-8.26771600,3.30708700
20.77439941,-9.84251900,3.30708700
20.83839941,-3.14960600,3.30708700
20.90239941,-12.59842000,3.30708700
20.96639941,-6.29921200,3.30708700
21.03039941,-5.90551100,3.30708700
21.09439940,-7.48031400,3.22834600
21.15839940,-9.44881800,3.30708700
21.22239940,-0.78740150,3.30708700
21.28639940,-7.87401500,3.30708700
21.35039940,-4.72440900,3.30708700
21.41439940,-3.93700800,3.30708700
21.47839939,-5.51181100,3.30708700
21.54239939,-7.48031400,3.30708700
21.60639939,-1.96850400,3.30708700
21.67039939,-5.11811000,3.30708700
21.73439939,-7.87401500,3.30708700
