Time,Channel A,Channel B
(us),(mV),(V)

-0.02653658,-5.90551100,0.00000000
0.03746341,3.14960600,3.22834600
0.10146341,-7.08661400,3.22834600
0.16546341,-1.96850400,3.22834600
0.22946341,-7.08661400,3.22834600
0.29346341,-2.36220500,3.30708700
0.35746340,-8.26771600,3.22834600
0.42146340,-3.93700800,3.22834600
0.48546340,-5.51181100,3.22834600
0.54946340,-6.69291300,3.22834600
0.61346340,-6.29921200,3.22834600
0.67746340,-5.11811000,3.22834600
0.74146339,-8.66141700,3.22834600
0.80546339,-9.44881800,3.22834600
0.86946339,-1.57480300,3.22834600
0.93346339,-6.69291300,3.22834600
0.99746339,-3.93700800,3.22834600
1.06146339,-3.54330700,3.22834600
1.12546338,-3.14960600,3.22834600
1.18946338,-8.66141700,3.22834600
1.25346338,0.39370070,3.22834600
1.31746338,-6.69291300,3.22834600
1.38146338,-3.14960600,3.22834600
1.44546337,-3.14960600,3.22834600
1.50946337,2.36220500,3.22834600
1.57346337,-6.69291300,3.22834600
1.63746337,-0.39370070,3.22834600
1.70146337,-2.75590500,3.22834600
1.76546337,-3.93700800,3.22834600
1.82946336,-4.72440900,3.22834600
1.89346336,-1.96850400,3.22834600
1.95746336,-4.33070900,3.22834600
2.02146336,-3.93700800,3.22834600
2.08546336,2.36220500,3.22834600
2.14946335,-4.72440900,3.22834600
2.21346335,-1.96850400,3.22834600
2.27746335,-2.36220500,3.22834600
2.34146335,1.18110200,3.22834600
2.40546335,-6.69291300,3.30708700
2.46946335,2.36220500,3.22834600
2.53346334,-2.36220500,3.22834600
2.59746334,-1.57480300,3.22834600
2.66146334,-1.57480300,3.22834600
2.72546334,1.57480300,3.22834600
2.78946334,-5.51181100,3.22834600
2.85346333,1.57480300,3.30708700
2.91746333,0.39370070,3.22834600
2.98146333,-1.96850400,3.22834600
3.04546333,-3.14960600,3.22834600
3.10946333,1.18110200,3.30708700
3.17346333,-5.11811000,3.22834600
3.23746332,-5.90551100,3.30708700
3.30146332,-0.78740150,3.22834600
3.36546332,-7.08661400,3.22834600
3.42946332,-3.93700800,3.22834600
3.49346332,-2.75590500,3.22834600
3.55746331,-0.39370070,3.22834600
3.62146331,-8.26771600,3.22834600
3.68546331,2.36220500,3.22834600
3.74946331,-5.11811000,3.22834600
3.81346331,-3.14960600,3.22834600
3.87746331,-4.33070900,3.22834600
3.94146330,-0.78740150,3.22834600
4.00546330,-4.72440900,3.30708700
4.06946330,1.96850400,3.22834600
4.13346330,-0.78740150,3.22834600
4.19746330,-2.36220500,3.30708700
4.26146329,-1.96850400,3.22834600
4.32546329,-0.39370070,3.30708700
4.38946329,-2.36220500,3.22834600
4.45346329,-3.14960600,3.30708700
4.51746329,-1.18110200,3.22834600
4.58146329,-2.75590500,3.30708700
4.64546328,-3.14960600,3.30708700
4.70946328,-4.72440900,3.22834600
4.77346328,-1.57480300,3.22834600
4.83746328,-5.51181100,3.22834600
4.90146328,-0.78740150,3.22834600
4.96546327,-3.14960600,3.30708700
5.02946327,-0.78740150,3.22834600
5.09346327,-6.29921200,3.30708700
5.15746327,3.14960600,3.22834600
5.22146327,-5.90551100,3.22834600
5.28546327,-2.75590500,3.30708700
5.34946326,-3.14960600,3.22834600
5.41346326,-1.18110200,3.30708700
5.47746326,-5.11811000,3.30708700
5.54146326,0.39370070,3.30708700
5.60546326,0.00000000,3.22834600
5.66946325,-5.11811000,3.30708700
5.73346325,-0.78740150,3.22834600
5.79746325,-3.93700800,3.22834600
5.86146325,-7.08661400,3.30708700
5.92546325,-6.69291300,3.30708700
5.98946325,-0.39370070,3.22834600
6.05346324,-8.66141700,3.30708700
6.11746324,-3.54330700,3.30708700
6.18146324,-3.14960600,3.22834600
6.24546324,-4.33070900,3.22834600
6.30946324,-7.87401500,3.22834600
6.37346323,1.18110200,3.22834600
6.43746323,-6.69291300,3.30708700
6.50146323,-3.93700800,3.22834600
6.56546323,-3.14960600,3.22834600
6.62946323,0.78740150,3.22834600
6.69346323,-6.69291300,3.22834600
6.75746322,0.39370070,3.22834600
6.82146322,-0.39370070,3.22834600
6.88546322,-5.11811000,3.30708700
6.94946322,-1.57480300,3.30708700
7.01346322,0.00000000,3.30708700
7.07746321,-1.96850400,3.30708700
7.14146321,-4.33070900,3.30708700
7.20546321,3.14960600,3.30708700
7.26946321,-8.26771600,3.30708700
7.33346321,-3.54330700,3.30708700
7.39746321,-3.54330700,3.30708700
7.46146320,-1.57480300,3.30708700
7.52546320,-8.66141700,3.30708700
7.58946320,2.75590500,3.30708700
7.65346320,-3.93700800,3.22834600
7.71746320,-3.14960600,3.22834600
7.78146319,-1.96850400,3.22834600
7.84546319,-1.18110200,3.30708700
7.90946319,-6.69291300,3.30708700
7.97346319,0.00000000,3.30708700
8.03746319,-1.57480300,3.22834600
8.10146319,-5.11811000,3.30708700
8.16546318,-0.78740150,3.30708700
8.22946318,0.39370070,3.30708700
8.29346318,-3.54330700,3.30708700
8.35746318,-3.93700800,3.30708700
8.42146318,0.00000000,3.30708700
8.48546318,-8.26771600,3.30708700
8.54946317,-2.36220500,3.30708700
8.61346317,-7.48031400,3.30708700
8.67746317,-2.75590500,3.30708700
8.74146317,-9.05511800,3.22834600
8.80546317,1.57480300,3.30708700
8.86946316,-7.87401500,3.30708700
8.93346316,-7.08661400,3.22834600
8.99746316,-5.51181100,3.22834600
9.06146316,-1.96850400,3.22834600
9.12546316,-5.90551100,3.22834600
9.18946316,-1.96850400,3.30708700
9.25346315,-2.36220500,3.22834600
9.31746315,-2.75590500,3.30708700
9.38146315,-2.36220500,3.30708700
9.44546315,-3.54330700,3.30708700
9.50946315,-1.57480300,3.30708700
9.57346314,-3.54330700,3.30708700
9.63746314,2.75590500,3.22834600
9.70146314,0.00000000,3.30708700
9.76546314,0.78740150,3.30708700
9.82946314,-3.14960600,3.30708700
9.89346314,1.57480300,3.30708700
9.95746313,-6.69291300,3.30708700
10.02146313,1.57480300,3.22834600
10.08546313,-4.72440900,3.30708700
10.14946313,-0.39370070,3.30708700
10.21346313,-2.75590500,3.30708700
10.27746312,5.11811000,3.22834600
10.34146312,-3.54330700,3.30708700
10.40546312,-0.39370070,3.30708700
10.46946312,0.39370070,3.30708700
10.53346312,-2.36220500,3.30708700
10.59746312,-1.96850400,3.30708700
10.66146311,0.78740150,3.30708700
10.72546311,0.39370070,3.30708700
10.78946311,-4.33070900,3.22834600
10.85346311,3.93700800,3.22834600
10.91746311,-1.57480300,3.30708700
10.98146310,-0.78740150,3.30708700
11.04546310,-0.78740150,3.30708700
11.10946310,2.36220500,3.30708700
11.17346310,-6.29921200,3.30708700
11.23746310,0.00000000,3.30708700
11.30146310,-4.72440900,3.30708700
11.36546309,-2.75590500,3.30708700
11.42946309,-1.57480300,3.30708700
11.49346309,0.00000000,3.22834600
11.55746309,-6.69291300,3.30708700
11.62146309,-2.75590500,3.30708700
11.68546308,0.00000000,3.22834600
11.74946308,-1.57480300,3.30708700
11.81346308,-3.93700800,3.30708700
11.87746308,0.00000000,3.30708700
11.94146308,-0.78740150,3.22834600
12.00546308,-6.69291300,3.22834600
12.06946307,1.57480300,3.30708700
12.13346307,-2.75590500,3.22834600
12.19746307,-2.36220500,3.30708700
12.26146307,-0.78740150,3.30708700
12.32546307,3.93700800,3.30708700
12.38946306,-7.08661400,3.30708700
12.45346306,2.36220500,3.30708700
12.51746306,-0.78740150,3.22834600
12.58146306,-4.33070900,3.30708700
12.64546306,-4.33070900,3.22834600
12.70946306,2.75590500,3.30708700
12.77346305,-6.29921200,3.30708700
12.83746305,-0.39370070,3.22834600
12.90146305,-0.78740150,3.30708700
12.96546305,-4.33070900,3.22834600
13.02946305,-5.51181100,3.30708700
13.09346304,-0.78740150,3.30708700
13.15746304,-4.72440900,3.22834600
13.22146304,-7.08661400,3.22834600
13.28546304,1.18110200,3.30708700
13.34946304,-3.93700800,3.30708700
13.41346304,-2.36220500,3.30708700
13.47746303,-5.90551100,3.30708700
13.54146303,0.00000000,3.22834600
13.60546303,-7.48031400,3.30708700
13.66946303,-0.39370070,3.30708700
13.73346303,-4.33070900,3.30708700
13.79746302,-3.14960600,3.30708700
13.86146302,-8.26771600,3.22834600
13.92546302,-4.33070900,3.22834600
13.98946302,-7.87401500,3.30708700
14.05346302,-9.05511800,3.30708700
14.11746302,-7.08661400,3.22834600
14.18146301,-4.72440900,3.22834600
14.24546301,-7.87401500,3.22834600
14.30946301,-6.29921200,3.22834600
14.37346301,-2.75590500,3.30708700
14.43746301,-8.66141700,3.22834600
14.50146300,-5.90551100,3.30708700
14.56546300,-5.51181100,3.30708700
14.62946300,-5.90551100,3.30708700
14.69346300,-9.05511800,3.22834600
14.75746300,0.78740150,3.30708700
14.82146300,-6.69291300,3.22834600
14.88546299,-3.54330700,3.30708700
14.94946299,-4.72440900,3.30708700
15.01346299,-0.78740150,3.30708700
15.07746299,-8.66141700,3.30708700
15.14146299,-1.57480300,3.30708700
15.20546299,-4.72440900,3.30708700
15.26946298,-6.69291300,3.22834600
15.33346298,-4.33070900,3.30708700
15.39746298,-4.33070900,3.30708700
15.46146298,-7.87401500,3.30708700
15.52546298,-6.69291300,3.30708700
15.58946297,-2.75590500,3.30708700
15.65346297,-7.87401500,3.30708700
15.71746297,-5.51181100,3.30708700
15.78146297,-4.33070900,3.30708700
15.84546297,-3.14960600,3.30708700
15.90946297,-9.05511800,3.22834600
15.97346296,-1.18110200,3.30708700
16.03746296,-8.26771600,3.22834600
16.10146296,-6.69291300,3.30708700
16.16546296,-6.69291300,3.30708700
16.22946296,-0.78740150,3.30708700
16.29346295,-10.62992000,3.22834600
16.35746295,-1.96850400,3.30708700
16.42146295,-4.33070900,3.30708700
16.48546295,-7.87401500,3.30708700
16.54946295,-8.66141700,3.30708700
16.61346295,-5.11811000,3.30708700
16.67746294,-10.62992000,3.30708700
16.74146294,-9.44881800,3.30708700
16.80546294,-3.14960600,3.30708700
16.86946294,-11.02362000,3.30708700
16.93346294,-7.87401500,3.30708700
16.99746293,-5.51181100,3.22834600
17.06146293,-7.08661400,3.30708700
17.12546293,-12.20472000,3.22834600
17.18946293,-2.75590500,3.22834600
17.25346293,-8.66141700,3.30708700
17.31746293,-5.90551100,3.30708700
17.38146292,-5.11811000,3.22834600
17.44546292,-3.14960600,3.30708700
17.50946292,-8.26771600,3.30708700
17.57346292,-1.96850400,3.22834600
17.63746292,-6.29921200,3.22834600
17.70146291,-5.90551100,3.30708700
17.76546291,-4.33070900,3.30708700
17.82946291,-2.36220500,3.30708700
17.89346291,-6.69291300,3.30708700
17.95746291,-5.90551100,3.30708700
18.02146291,-4.33070900,3.30708700
18.08546290,-10.62992000,3.30708700
18.14946290,-5.90551100,3.30708700
18.21346290,-7.87401500,3.30708700
18.27746290,-4.72440900,3.30708700
18.34146290,-8.66141700,3.30708700
18.40546289,-1.57480300,3.30708700
18.46946289,-7.87401500,3.30708700
18.53346289,-4.33070900,3.30708700
18.59746289,-9.05511800,3.30708700
18.66146289,-3.14960600,3.30708700
18.72546289,-9.05511800,3.30708700
18.78946288,-5.51181100,3.30708700
18.85346288,-4.33070900,3.30708700
18.91746288,-4.33070900,3.30708700
18.98146288,-6.29921200,3.30708700
19.04546288,-2.75590500,3.30708700
19.10946287,-5.90551100,3.30708700
19.17346287,-9.84251900,3.30708700
19.23746287,-5.51181100,3.30708700
19.30146287,-7.48031400,3.22834600
19.36546287,-9.05511800,3.30708700
19.42946287,-8.66141700,3.30708700
19.49346286,-3.54330700,3.30708700
19.55746286,-12.59842000,3.30708700
19.62146286,-5.11811000,3.30708700
19.68546286,-7.87401500,3.30708700
19.74946286,-6.29921200,3.30708700
19.81346285,-9.05511800,3.30708700
19.87746285,-0.78740150,3.22834600
19.94146285,-11.41732000,3.30708700
20.00546285,-5.51181100,3.30708700
20.06946285,-3.93700800,3.30708700
20.13346285,-5.11811000,3.22834600
20.19746284,-7.87401500,3.22834600
20.26146284,-4.72440900,3.30708700
20.32546284,-3.54330700,3.30708700
20.38946284,-7.48031400,3.22834600
20.45346284,-1.57480300,3.30708700
20.51746283,-4.72440900,3.30708700
20.58146283,-7.48031400,3.30708700
20.64546283,-9.05511800,3.30708700
20.70946283,-3.14960600,3.30708700
20.77346283,-12.99213000,3.30708700
20.83746283,-6.69291300,3.30708700
20.90146282,-4.33070900,3.30708700
20.96546282,-5.90551100,3.30708700
21.02946282,-9.84251900,3.30708700
21.09346282,-1.18110200,3.22834600
21.15746282,-9.05511800,3.30708700
21.22146281,-7.87401500,3.30708700
21.28546281,-5.51181100,3.22834600
21.34946281,-4.33070900,3.30708700
21.41346281,-9.05511800,3.30708700
21.47746281,-2.36220500,3.30708700
21.54146281,-2.75590500,3.30708700
21.60546280,-9.84251900,3.30708700
21.66946280,-2.75590500,3.30708700
21.73346280,-5.11811000,3.30708700
