Time,Channel A,Channel B
(us),(mV),(V)

-0.02560000,-1.18110200,0.07874016
0.03840000,-4.72440900,3.22834600
0.10240000,-6.29921200,3.22834600
0.16640000,-1.18110200,3.22834600
0.23039999,-8.26771600,3.22834600
0.29439999,-5.11811000,3.30708700
0.35839999,-3.54330700,3.30708700
0.42239999,-2.75590500,3.30708700
0.48639999,-9.44881800,3.22834600
0.55039999,0.78740150,3.22834600
0.61439998,-7.87401500,3.22834600
0.67839998,-6.69291300,3.22834600
0.74239998,-5.90551100,3.22834600
0.80639998,-4.33070900,3.22834600
0.87039998,-11.41732000,3.22834600
0.93439997,-3.14960600,3.22834600
0.99839997,-3.14960600,3.22834600
1.06239997,-8.66141700,3.22834600
1.12639997,-2.36220500,3.22834600
1.19039997,-3.54330700,3.22834600
1.25439997,-4.72440900,3.22834600
1.31839996,-6.69291300,3.22834600
1.38239996,0.78740150,3.22834600
1.44639996,-5.90551100,3.22834600
1.51039996,0.00000000,3.22834600
1.57439996,-0.78740150,3.22834600
1.63839995,-0.39370070,3.22834600
1.70239995,-5.11811000,3.22834600
1.76639995,1.18110200,3.22834600
1.83039995,-3.54330700,3.22834600
1.89439995,-2.36220500,3.22834600
1.95839995,-3.14960600,3.22834600
2.02239994,1.57480300,3.22834600
2.08639994,-3.14960600,3.22834600
2.15039994,0.00000000,3.30708700
2.21439994,-1.57480300,3.22834600
2.27839994,-3.93700800,3.22834600
2.34239993,-1.96850400,3.22834600
2.40639993,-1.18110200,3.22834600
2.47039993,-0.39370070,3.30708700
2.53439993,-2.36220500,3.22834600
2.59839993,3.93700800,3.22834600
2.66239993,-3.54330700,3.22834600
2.72639992,0.39370070,3.22834600
2.79039992,-2.75590500,3.30708700
2.85439992,0.00000000,3.22834600
2.91839992,-3.93700800,3.30708700
2.98239992,3.93700800,3.30708700
3.04639991,-1.18110200,3.22834600
3.11039991,0.00000000,3.22834600
3.17439991,0.78740150,3.22834600
3.23839991,-1.18110200,3.30708700
3.30239991,-7.08661400,3.22834600
3.36639991,-3.93700800,3.30708700
3.43039990,-1.18110200,3.22834600
3.49439990,-3.93700800,3.22834600
3.55839990,-3.93700800,3.30708700
3.62239990,-4.72440900,3.22834600
3.68639990,-7.08661400,3.22834600
3.75039990,-6.29921200,3.22834600
3.81439989,-1.96850400,3.22834600
3.87839989,-5.11811000,3.22834600
3.94239989,-1.18110200,3.22834600
4.00639989,-4.72440900,3.22834600
4.07039989,2.75590500,3.22834600
4.13439988,-7.48031400,3.22834600
4.19839988,-0.78740150,3.22834600
4.26239988,-4.72440900,3.30708700
4.32639988,-0.39370070,3.30708700
4.39039988,-4.33070900,3.30708700
4.45439988,1.18110200,3.30708700
4.51839987,-2.36220500,3.22834600
4.58239987,-4.33070900,3.30708700
4.64639987,1.57480300,3.22834600
4.71039987,-4.33070900,3.22834600
4.77439987,-4.72440900,3.30708700
4.83839986,-1.96850400,3.30708700
4.90239986,-1.96850400,3.30708700
4.96639986,-8.66141700,3.30708700
5.03039986,0.00000000,3.30708700
5.09439986,-1.57480300,3.30708700
5.15839986,-1.18110200,3.22834600
5.22239985,-2.36220500,3.30708700
5.28639985,1.96850400,3.22834600
5.35039985,-7.87401500,3.22834600
5.41439985,1.18110200,3.30708700
5.47839985,-0.78740150,3.30708700
5.54239984,-1.96850400,3.30708700
5.60639984,-2.36220500,3.30708700
5.67039984,4.33070900,3.30708700
5.73439984,-3.54330700,3.30708700
5.79839984,-3.93700800,3.30708700
5.86239984,0.78740150,3.30708700
5.92639983,-5.51181100,3.30708700
5.99039983,-2.36220500,3.30708700
6.05439983,-1.96850400,3.30708700
6.11839983,-1.18110200,3.30708700
6.18239983,-8.66141700,3.22834600
6.24639982,-0.78740150,3.30708700
6.31039982,-7.87401500,3.30708700
6.37439982,-4.33070900,3.30708700
6.43839982,-7.48031400,3.30708700
6.50239982,0.78740150,3.22834600
6.56639982,-5.11811000,3.22834600
6.63039981,-1.18110200,3.30708700
6.69439981,-2.36220500,3.30708700
6.75839981,0.00000000,3.22834600
6.82239981,-4.33070900,3.22834600
6.88639981,0.78740150,3.30708700
6.95039980,-0.39370070,3.30708700
7.01439980,-3.54330700,3.22834600
7.07839980,0.39370070,3.30708700
7.14239980,1.57480300,3.22834600
7.20639980,-2.75590500,3.22834600
7.27039980,-5.90551100,3.30708700
7.33439979,2.36220500,3.30708700
7.39839979,-6.69291300,3.22834600
7.46239979,-1.57480300,3.22834600
7.52639979,-3.54330700,3.30708700
7.59039979,0.00000000,3.30708700
7.65439978,-6.69291300,3.30708700
7.71839978,1.96850400,3.22834600
7.78239978,-3.54330700,3.22834600
7.84639978,-4.33070900,3.30708700
7.91039978,-0.39370070,3.30708700
7.97439978,0.00000000,3.30708700
8.03839977,-3.54330700,3.22834600
8.10239977,-1.57480300,3.30708700
8.16639977,1.96850400,3.30708700
8.23039977,-3.93700800,3.30708700
8.29439977,0.00000000,3.30708700
8.35839976,-0.39370070,3.30708700
8.42239976,-1.57480300,3.30708700
8.48639976,-4.72440900,3.30708700
8.55039976,2.75590500,3.30708700
8.61439976,-5.11811000,3.30708700
8.67839976,-3.14960600,3.30708700
8.74239975,-2.36220500,3.30708700
8.80639975,-1.18110200,3.22834600
8.87039975,-10.62992000,3.30708700
8.93439975,-2.36220500,3.30708700
8.99839975,-5.51181100,3.22834600
9.06239974,-5.11811000,3.30708700
9.12639974,-3.54330700,3.22834600
9.19039974,0.00000000,3.30708700
9.25439974,-4.33070900,3.30708700
9.31839974,-3.54330700,3.30708700
9.38239974,3.14960600,3.30708700
9.44639973,-4.33070900,3.30708700
9.51039973,0.39370070,3.30708700
9.57439973,0.78740150,3.30708700
9.63839973,3.93700800,3.30708700
9.70239973,-2.36220500,3.22834600
9.76639972,5.11811000,3.30708700
9.83039972,-2.36220500,3.30708700
9.89439972,0.39370070,3.30708700
9.95839972,-0.39370070,3.30708700
10.02239972,1.96850400,3.30708700
10.08639972,-3.14960600,3.30708700
10.15039971,1.18110200,3.30708700
10.21439971,0.00000000,3.22834600
10.27839971,-1.18110200,3.30708700
10.34239971,-2.36220500,3.30708700
10.40639971,-1.18110200,3.30708700
10.47039970,-1.18110200,3.30708700
10.53439970,-1.57480300,3.30708700
10.59839970,1.57480300,3.30708700
10.66239970,-0.78740150,3.22834600
10.72639970,1.96850400,3.30708700
10.79039970,-1.96850400,3.30708700
10.85439969,3.54330700,3.30708700
10.91839969,-5.11811000,3.30708700
10.98239969,1.96850400,3.30708700
11.04639969,0.00000000,3.30708700
11.11039969,1.57480300,3.30708700
11.17439969,-2.36220500,3.30708700
11.23839968,3.54330700,3.30708700
11.30239968,-3.93700800,3.30708700
11.36639968,-4.33070900,3.30708700
11.43039968,-0.39370070,3.30708700
11.49439968,-4.33070900,3.30708700
11.55839967,-5.11811000,3.30708700
11.62239967,-1.57480300,3.30708700
11.68639967,-1.57480300,3.30708700
11.75039967,-8.66141700,3.30708700
11.81439967,0.78740150,3.30708700
11.87839967,-4.33070900,3.30708700
11.94239966,-4.33070900,3.22834600
12.00639966,-3.14960600,3.30708700
12.07039966,0.78740150,3.30708700
12.13439966,-5.90551100,3.22834600
12.19839966,3.14960600,3.30708700
12.26239965,-1.18110200,3.30708700
12.32639965,-1.96850400,3.30708700
12.39039965,-3.14960600,3.30708700
12.45439965,1.96850400,3.30708700
12.51839965,-5.11811000,3.30708700
12.58239965,-1.57480300,3.30708700
12.64639964,1.57480300,3.22834600
12.71039964,-2.75590500,3.30708700
12.77439964,-1.96850400,3.30708700
12.83839964,-3.14960600,3.22834600
12.90239964,-3.54330700,3.30708700
12.96639963,-7.48031400,3.30708700
13.03039963,-0.39370070,3.30708700
13.09439963,-6.69291300,3.30708700
13.15839963,-2.75590500,3.22834600
13.22239963,-5.51181100,3.30708700
13.28639963,0.39370070,3.30708700
13.35039962,-7.48031400,3.30708700
13.41439962,-3.54330700,3.30708700
13.47839962,-4.33070900,3.30708700
13.54239962,-3.93700800,3.30708700
13.60639962,-5.51181100,3.30708700
13.67039961,-1.18110200,3.22834600
13.73439961,-4.72440900,3.30708700
13.79839961,-5.51181100,3.30708700
13.86239961,-3.93700800,3.30708700
13.92639961,-7.08661400,3.30708700
13.99039961,-9.84251900,3.30708700
14.05439960,-8.66141700,3.30708700
14.11839960,-4.33070900,3.30708700
14.18239960,-11.02362000,3.30708700
14.24639960,-4.72440900,3.30708700
14.31039960,-8.66141700,3.30708700
14.37439959,-7.08661400,3.30708700
14.43839959,-12.20472000,3.30708700
14.50239959,-2.75590500,3.30708700
14.56639959,-11.41732000,3.22834600
14.63039959,-5.51181100,3.22834600
14.69439959,-5.90551100,3.30708700
14.75839958,-4.33070900,3.22834600
14.82239958,-8.66141700,3.22834600
14.88639958,-4.33070900,3.30708700
14.95039958,-3.54330700,3.30708700
15.01439958,-8.26771600,3.30708700
15.07839957,-3.14960600,3.30708700
15.14239957,-3.54330700,3.30708700
15.20639957,-5.11811000,3.22834600
15.27039957,-5.51181100,3.30708700
15.33439957,-0.78740150,3.30708700
15.39839957,-9.84251900,3.30708700
15.46239956,-6.69291300,3.30708700
15.52639956,-6.29921200,3.30708700
15.59039956,-5.51181100,3.30708700
15.65439956,-10.62992000,3.30708700
15.71839956,-2.36220500,3.30708700
15.78239955,-8.26771600,3.30708700
15.84639955,-7.08661400,3.22834600
15.91039955,-5.90551100,3.22834600
15.97439955,-4.33070900,3.30708700
16.03839955,-11.02362000,3.30708700
16.10239955,-3.54330700,3.30708700
16.16639954,-2.75590500,3.30708700
16.23039954,-10.62992000,3.30708700
16.29439954,-3.14960600,3.30708700
16.35839954,-4.72440900,3.30708700
16.42239954,-6.69291300,3.30708700
16.48639953,-9.44881800,3.30708700
16.55039953,-0.39370070,3.30708700
16.61439953,-10.23622000,3.30708700
16.67839953,-3.93700800,3.30708700
16.74239953,-4.72440900,3.30708700
16.80639953,-5.51181100,3.30708700
16.87039952,-10.62992000,3.30708700
16.93439952,-4.33070900,3.30708700
16.99839952,-10.23622000,3.30708700
17.06239952,-11.02362000,3.30708700
17.12639952,-8.26771600,3.22834600
17.19039951,-6.29921200,3.30708700
17.25439951,-7.87401500,3.22834600
17.31839951,-5.51181100,3.30708700
17.38239951,-5.90551100,3.30708700
17.44639951,-7.48031400,3.30708700
17.51039951,-4.33070900,3.30708700
17.57439950,-8.26771600,3.30708700
17.63839950,-2.75590500,3.30708700
17.70239950,-8.66141700,3.30708700
17.76639950,-0.78740150,3.30708700
17.83039950,-6.29921200,3.30708700
17.89439949,-4.33070900,3.30708700
17.95839949,-9.44881800,3.30708700
18.02239949,-3.14960600,3.30708700
18.08639949,-10.62992000,3.30708700
18.15039949,-6.69291300,3.30708700
18.21439949,-5.51181100,3.30708700
18.27839948,-8.26771600,3.30708700
18.34239948,-7.48031400,3.30708700
18.40639948,-5.90551100,3.30708700
18.47039948,-8.66141700,3.30708700
18.53439948,-10.23622000,3.30708700
18.59839948,-2.75590500,3.30708700
18.66239947,-7.48031400,3.30708700
18.72639947,-6.69291300,3.30708700
18.79039947,-5.11811000,3.30708700
18.85439947,-3.54330700,3.30708700
18.91839947,-9.84251900,3.30708700
18.98239946,-1.18110200,3.30708700
19.04639946,-6.69291300,3.30708700
19.11039946,-4.72440900,3.30708700
19.17439946,-4.72440900,3.30708700
19.23839946,0.00000000,3.30708700
19.30239946,-9.44881800,3.30708700
19.36639945,-4.33070900,3.30708700
19.43039945,-5.90551100,3.30708700
19.49439945,-9.44881800,3.30708700
19.55839945,-9.05511800,3.30708700
19.62239945,-7.08661400,3.30708700
19.68639944,-7.48031400,3.30708700
19.75039944,-10.23622000,3.30708700
19.81439944,-2.36220500,3.30708700
19.87839944,-10.23622000,3.30708700
19.94239944,-6.69291300,3.30708700
20.00639944,-7.08661400,3.30708700
20.07039943,-5.11811000,3.22834600
20.13439943,-10.23622000,3.30708700
20.19839943,-2.75590500,3.22834600
20.26239943,-8.26771600,3.22834600
20.32639943,-4.72440900,3.30708700
20.39039942,-6.69291300,3.22834600
20.45439942,-4.33070900,3.30708700
20.51839942,-10.23622000,3.30708700
20.58239942,-5.90551100,3.30708700
20.64639942,-4.72440900,3.30708700
20.71039942,-7.87401500,3.30708700
20.77439941,-7.87401500,3.30708700
20.83839941,-5.51181100,3.30708700
20.90239941,-7.48031400,3.30708700
20.96639941,-11.41732000,3.30708700
21.03039941,-4.72440900,3.30708700
21.09439940,-12.20472000,3.30708700
21.15839940,-7.08661400,3.30708700
21.22239940,-7.48031400,3.22834600
21.28639940,-2.75590500,3.30708700
21.35039940,-9.44881800,3.30708700
21.41439940,-1.57480300,3.30708700
21.47839939,-6.29921200,3.30708700
21.54239939,-5.11811000,3.30708700
21.60639939,-6.29921200,3.30708700
21.67039939,-2.36220500,3.30708700
21.73439939,-5.51181100,3.30708700
21.79839938,-5.11811000,3.30708700
