Time,Channel A,Channel B
(us),(mV),(V)

-0.04945454,-4.72440900,0.00000000
0.01454545,-12.20472000,1.73228300
0.07854545,-8.66141700,3.22834600
0.14254545,-2.36220500,3.22834600
0.20654545,-6.69291300,3.22834600
0.27054545,-5.11811000,3.22834600
0.33454544,-8.66141700,3.22834600
0.39854544,-2.75590500,3.22834600
0.46254544,-6.69291300,3.22834600
0.52654544,-3.54330700,3.30708700
0.59054544,-3.93700800,3.22834600
0.65454544,-2.75590500,3.30708700
0.71854543,-7.48031400,3.22834600
0.78254543,-4.72440900,3.22834600
0.84654543,-5.90551100,3.22834600
0.91054543,-7.48031400,3.22834600
0.97454543,-3.54330700,3.30708700
1.03854543,-3.54330700,3.22834600
1.10254542,-2.36220500,3.22834600
1.16654542,-4.33070900,3.22834600
1.23054542,2.36220500,3.22834600
1.29454542,-5.90551100,3.22834600
1.35854542,-0.39370070,3.22834600
1.42254541,-2.75590500,3.30708700
1.48654541,0.78740150,3.22834600
1.55054541,-5.11811000,3.22834600
1.61454541,2.36220500,3.30708700
1.67854541,-3.14960600,3.22834600
1.74254541,-2.36220500,3.22834600
1.80654540,-1.96850400,3.22834600
1.87054540,-1.96850400,3.30708700
1.93454540,-5.90551100,3.22834600
1.99854540,-2.36220500,3.22834600
2.06254540,0.78740150,3.22834600
2.12654539,-3.93700800,3.30708700
2.19054539,-3.93700800,3.30708700
2.25454539,-3.54330700,3.22834600
2.31854539,-3.54330700,3.22834600
2.38254539,-7.87401500,3.22834600
2.44654539,1.18110200,3.30708700
2.51054538,-4.33070900,3.22834600
2.57454538,-1.96850400,3.22834600
2.63854538,-2.36220500,3.22834600
2.70254538,3.14960600,3.22834600
2.76654538,-7.48031400,3.22834600
2.83054537,0.39370070,3.30708700
2.89454537,-1.18110200,3.22834600
2.95854537,-3.14960600,3.22834600
3.02254537,-2.36220500,3.22834600
3.08654537,2.36220500,3.22834600
3.15054537,-2.36220500,3.22834600
3.21454536,-3.14960600,3.22834600
3.27854536,1.57480300,3.22834600
3.34254536,-7.87401500,3.30708700
3.40654536,-3.93700800,3.30708700
3.47054536,-2.75590500,3.30708700
3.53454535,-1.96850400,3.30708700
3.59854535,-7.87401500,3.22834600
3.66254535,2.36220500,3.30708700
3.72654535,-4.33070900,3.22834600
3.79054535,-2.75590500,3.30708700
3.85454535,-1.57480300,3.22834600
3.91854534,0.00000000,3.22834600
3.98254534,-5.11811000,3.30708700
4.04654534,1.18110200,3.30708700
4.11054534,-1.18110200,3.30708700
4.17454534,-2.36220500,3.30708700
4.23854533,-2.36220500,3.30708700
4.30254533,0.00000000,3.22834600
4.36654533,-2.75590500,3.22834600
4.43054533,-4.33070900,3.30708700
4.49454533,-1.18110200,3.30708700
4.55854533,-4.72440900,3.22834600
4.62254532,-3.54330700,3.30708700
4.68654532,-5.90551100,3.30708700
4.75054532,-1.18110200,3.22834600
4.81454532,-9.44881800,3.30708700
4.87854532,-4.33070900,3.30708700
4.94254531,-7.87401500,3.30708700
5.00654531,-6.69291300,3.30708700
5.07054531,-7.08661400,3.30708700
5.13454531,-0.39370070,3.30708700
5.19854531,-4.33070900,3.22834600
5.26254531,-6.69291300,3.22834600
5.32654530,-1.96850400,3.30708700
5.39054530,-5.51181100,3.22834600
5.45454530,-5.90551100,3.22834600
5.51854530,-2.36220500,3.30708700
5.58254530,-1.96850400,3.30708700
5.64654529,-4.72440900,3.30708700
5.71054529,0.00000000,3.22834600
5.77454529,-2.36220500,3.30708700
5.83854529,-3.54330700,3.22834600
5.90254529,-5.51181100,3.30708700
5.96654529,-0.78740150,3.30708700
6.03054528,-8.66141700,3.30708700
6.09454528,-2.75590500,3.30708700
6.15854528,-4.33070900,3.30708700
6.22254528,-3.54330700,3.30708700
6.28654528,-5.90551100,3.30708700
6.35054527,-1.18110200,3.30708700
6.41454527,-5.51181100,3.30708700
6.47854527,-3.93700800,3.30708700
6.54254527,-0.39370070,3.30708700
6.60654527,-1.57480300,3.30708700
6.67054527,-3.14960600,3.30708700
6.73454526,-1.57480300,3.30708700
6.79854526,1.18110200,3.30708700
6.86254526,-5.90551100,3.30708700
6.92654526,0.00000000,3.30708700
6.99054526,-2.36220500,3.30708700
7.05454525,-2.75590500,3.30708700
7.11854525,-3.93700800,3.30708700
7.18254525,1.96850400,3.30708700
7.24654525,-7.08661400,3.30708700
7.31054525,-3.14960600,3.30708700
7.37454525,-3.54330700,3.30708700
7.43854524,-4.72440900,3.30708700
7.50254524,-10.23622000,3.30708700
7.56654524,-4.33070900,3.30708700
7.63054524,-7.87401500,3.30708700
7.69454524,-5.11811000,3.30708700
7.75854523,-1.96850400,3.22834600
7.82254523,-4.72440900,3.30708700
7.88654523,-6.69291300,3.22834600
7.95054523,-4.72440900,3.30708700
8.01454523,-3.14960600,3.30708700
8.07854523,-8.66141700,3.30708700
8.14254522,0.00000000,3.30708700
8.20654522,-4.33070900,3.30708700
8.27054522,-0.39370070,3.22834600
8.33454522,-4.72440900,3.22834600
8.39854522,-0.39370070,3.30708700
8.46254522,-5.51181100,3.30708700
8.52654521,-2.75590500,3.30708700
8.59054521,-4.33070900,3.30708700
8.65454521,-3.54330700,3.30708700
8.71854521,-5.51181100,3.30708700
8.78254521,-2.36220500,3.22834600
8.84654520,-3.93700800,3.30708700
8.91054520,-6.69291300,3.30708700
8.97454520,-5.90551100,3.30708700
9.03854520,-4.72440900,3.30708700
9.10254520,-4.33070900,3.30708700
9.16654520,-4.72440900,3.30708700
9.23054519,2.75590500,3.30708700
9.29454519,-3.54330700,3.30708700
9.35854519,1.57480300,3.30708700
9.42254519,0.00000000,3.30708700
9.48654519,1.18110200,3.30708700
9.55054518,-5.11811000,3.30708700
9.61454518,4.33070900,3.30708700
9.67854518,-0.78740150,3.30708700
9.74254518,-0.78740150,3.30708700
9.80654518,1.57480300,3.30708700
9.87054518,1.96850400,3.30708700
9.93454517,-3.54330700,3.30708700
9.99854517,-1.96850400,3.30708700
10.06254517,0.00000000,3.30708700
10.12654517,-7.87401500,3.30708700
10.19054517,-1.96850400,3.30708700
10.25454516,-2.75590500,3.30708700
10.31854516,-3.14960600,3.30708700
10.38254516,-7.08661400,3.30708700
10.44654516,0.78740150,3.30708700
10.51054516,-7.48031400,3.30708700
10.57454516,-3.93700800,3.30708700
10.63854515,-3.14960600,3.30708700
10.70254515,-1.18110200,3.30708700
10.76654515,-5.51181100,3.30708700
10.83054515,1.96850400,3.30708700
10.89454515,-2.36220500,3.30708700
10.95854514,-2.75590500,3.30708700
11.02254514,-1.96850400,3.30708700
11.08654514,0.78740150,3.30708700
11.15054514,-4.33070900,3.30708700
11.21454514,-3.14960600,3.30708700
11.27854514,1.96850400,3.30708700
11.34254513,-5.11811000,3.30708700
11.40654513,-1.57480300,3.30708700
11.47054513,-3.14960600,3.30708700
11.53454513,-2.75590500,3.30708700
11.59854513,-8.26771600,3.30708700
11.66254512,0.39370070,3.30708700
11.72654512,-5.11811000,3.30708700
11.79054512,-2.36220500,3.30708700
11.85454512,-0.39370070,3.30708700
11.91854512,1.96850400,3.30708700
11.98254512,-4.33070900,3.30708700
12.04654511,-0.39370070,3.30708700
12.11054511,-1.96850400,3.30708700
12.17454511,-3.54330700,3.30708700
12.23854511,-1.96850400,3.30708700
12.30254511,0.39370070,3.30708700
12.36654510,-2.36220500,3.30708700
12.43054510,-2.75590500,3.30708700
12.49454510,1.18110200,3.30708700
12.55854510,-4.33070900,3.30708700
12.62254510,-3.14960600,3.30708700
12.68654510,-5.51181100,3.30708700
12.75054509,-1.57480300,3.30708700
12.81454509,-8.66141700,3.22834600
12.87854509,-3.54330700,3.30708700
12.94254509,-7.48031400,3.30708700
13.00654509,-5.90551100,3.30708700
13.07054508,-10.62992000,3.22834600
13.13454508,-4.33070900,3.30708700
13.19854508,-9.44881800,3.30708700
13.26254508,-9.84251900,3.30708700
13.32654508,-3.93700800,3.30708700
13.39054508,-5.90551100,3.30708700
13.45454507,-9.44881800,3.30708700
13.51854507,-4.33070900,3.30708700
13.58254507,-5.51181100,3.22834600
13.64654507,-9.84251900,3.30708700
13.71054507,-3.54330700,3.30708700
13.77454506,-8.66141700,3.30708700
13.83854506,-7.08661400,3.30708700
13.90254506,-6.69291300,3.30708700
13.96654506,-3.93700800,3.30708700
14.03054506,-12.99213000,3.22834600
14.09454506,-5.51181100,3.30708700
14.15854505,-8.66141700,3.30708700
14.22254505,-8.66141700,3.30708700
14.28654505,-9.44881800,3.30708700
14.35054505,-2.36220500,3.30708700
14.41454505,-9.05511800,3.30708700
14.47854504,-3.54330700,3.30708700
14.54254504,-2.75590500,3.30708700
14.60654504,-7.08661400,3.30708700
14.67054504,-5.90551100,3.30708700
14.73454504,-3.93700800,3.30708700
14.79854504,-3.93700800,3.30708700
14.86254503,-8.26771600,3.30708700
14.92654503,-0.78740150,3.30708700
14.99054503,-4.72440900,3.30708700
15.05454503,-2.75590500,3.30708700
15.11854503,-5.90551100,3.30708700
15.18254503,-2.36220500,3.30708700
15.24654502,-8.66141700,3.30708700
15.31054502,-4.33070900,3.30708700
15.37454502,-7.08661400,3.30708700
15.43854502,-6.29921200,3.30708700
15.50254502,-9.44881800,3.30708700
15.56654501,-6.29921200,3.30708700
15.63054501,-11.02362000,3.30708700
15.69454501,-10.62992000,3.30708700
15.75854501,-8.66141700,3.22834600
15.82254501,-8.66141700,3.22834600
15.88654501,-8.26771600,3.22834600
15.95054500,-9.84251900,3.30708700
16.01454500,-5.11811000,3.22834600
16.07854500,-11.02362000,3.22834600
16.14254500,-7.08661400,3.30708700
16.20654500,-9.05511800,3.30708700
16.27054499,-8.66141700,3.30708700
16.33454499,-9.84251900,3.30708700
16.39854499,-2.75590500,3.30708700
16.46254499,-8.66141700,3.30708700
16.52654499,-4.33070900,3.30708700
16.59054499,-4.33070900,3.30708700
16.65454498,-5.51181100,3.30708700
16.71854498,-7.48031400,3.30708700
16.78254498,-5.11811000,3.30708700
16.84654498,-7.48031400,3.30708700
16.91054498,-9.44881800,3.30708700
16.97454497,-4.33070900,3.30708700
17.03854497,-5.90551100,3.30708700
17.10254497,-7.08661400,3.30708700
17.16654497,-7.08661400,3.30708700
17.23054497,-2.75590500,3.30708700
17.29454497,-9.05511800,3.30708700
17.35854496,-2.36220500,3.30708700
17.42254496,-3.54330700,3.30708700
17.48654496,-1.96850400,3.30708700
17.55054496,-7.48031400,3.30708700
17.61454496,1.96850400,3.30708700
17.67854495,-8.26771600,3.30708700
17.74254495,-6.69291300,3.30708700
17.80654495,-4.33070900,3.30708700
17.87054495,-3.93700800,3.30708700
17.93454495,-9.05511800,3.30708700
17.99854495,-4.33070900,3.30708700
18.06254494,-5.11811000,3.30708700
18.12654494,-11.81102000,3.30708700
18.19054494,-5.90551100,3.30708700
18.25454494,-9.84251900,3.30708700
18.31854494,-12.20472000,3.30708700
18.38254493,-10.62992000,3.30708700
18.44654493,-4.72440900,3.30708700
18.51054493,-12.59842000,3.30708700
18.57454493,-6.69291300,3.30708700
18.63854493,-8.66141700,3.22834600
18.70254493,-7.87401500,3.30708700
18.76654492,-11.41732000,3.30708700
18.83054492,-3.93700800,3.30708700
18.89454492,-9.44881800,3.30708700
18.95854492,-5.11811000,3.30708700
19.02254492,-3.54330700,3.30708700
19.08654491,-3.93700800,3.30708700
19.15054491,-6.29921200,3.30708700
19.21454491,-3.54330700,3.30708700
19.27854491,-4.33070900,3.30708700
19.34254491,-9.05511800,3.30708700
19.40654491,-5.51181100,3.30708700
19.47054490,-7.87401500,3.30708700
19.53454490,-5.90551100,3.30708700
19.59854490,-10.23622000,3.30708700
19.66254490,-3.54330700,3.30708700
19.72654490,-8.66141700,3.30708700
19.79054489,-5.11811000,3.30708700
19.85454489,-6.29921200,3.30708700
19.91854489,-2.36220500,3.30708700
19.98254489,-7.87401500,3.30708700
20.04654489,-2.36220500,3.30708700
20.11054489,-1.96850400,3.30708700
20.17454488,-6.29921200,3.30708700
20.23854488,-6.69291300,3.30708700
20.30254488,-2.36220500,3.30708700
20.36654488,-8.26771600,3.30708700
20.43054488,-7.48031400,3.30708700
20.49454487,-2.75590500,3.30708700
20.55854487,-7.48031400,3.30708700
20.62254487,-5.90551100,3.30708700
20.68654487,-5.90551100,3.30708700
20.75054487,-7.08661400,3.30708700
20.81454487,-14.17323000,3.30708700
20.87854486,-4.72440900,3.30708700
20.94254486,-11.41732000,3.30708700
21.00654486,-10.62992000,3.30708700
21.07054486,-10.23622000,3.30708700
21.13454486,-5.90551100,3.30708700
21.19854485,-11.81102000,3.30708700
21.26254485,-5.11811000,3.30708700
21.32654485,-7.08661400,3.30708700
21.39054485,-9.05511800,3.30708700
21.45454485,-6.29921200,3.30708700
21.51854485,-4.33070900,3.30708700
21.58254484,-5.90551100,3.22834600
21.64654484,-7.08661400,3.30708700
