Time,Channel A,Channel B
(us),(mV),(V)

-0.02694737,-8.66141700,0.07874016
0.03705263,1.57480300,3.07086600
0.10105263,-8.66141700,3.22834600
0.16505263,-5.11811000,3.22834600
0.22905263,-3.54330700,3.22834600
0.29305262,0.00000000,3.22834600
0.35705262,-9.05511800,3.30708700
0.42105262,-1.18110200,3.22834600
0.48505262,-6.29921200,3.22834600
0.54905262,-4.33070900,3.22834600
0.61305261,-6.29921200,3.22834600
0.67705261,-0.78740150,3.30708700
0.74105261,-5.11811000,3.22834600
0.80505261,-2.75590500,3.30708700
0.86905261,-1.96850400,3.22834600
0.93305261,-5.51181100,3.22834600
0.99705260,-6.29921200,3.22834600
1.06105260,-3.93700800,3.30708700
1.12505260,-4.72440900,3.22834600
1.18905260,-8.26771600,3.22834600
1.25305260,-2.75590500,3.22834600
1.31705259,-5.90551100,3.30708700
1.38105259,-5.51181100,3.30708700
1.44505259,-6.69291300,3.22834600
1.50905259,-1.57480300,3.22834600
1.57305259,-9.44881800,3.22834600
1.63705259,0.78740150,3.22834600
1.70105258,-2.75590500,3.22834600
1.76505258,-2.75590500,3.22834600
1.82905258,-3.54330700,3.22834600
1.89305258,2.75590500,3.30708700
1.95705258,-4.33070900,3.22834600
2.02105257,-1.57480300,3.22834600
2.08505257,0.39370070,3.22834600
2.14905257,-1.57480300,3.30708700
2.21305257,0.39370070,3.22834600
2.27705257,0.78740150,3.30708700
2.34105257,1.18110200,3.22834600
2.40505256,-4.72440900,3.22834600
2.46905256,0.78740150,3.22834600
2.53305256,-3.93700800,3.22834600
2.59705256,-3.14960600,3.22834600
2.66105256,-4.33070900,3.30708700
2.72505255,1.96850400,3.30708700
2.78905255,-3.54330700,3.22834600
2.85305255,-0.78740150,3.30708700
2.91705255,-1.18110200,3.22834600
2.98105255,1.18110200,3.22834600
3.04505255,-4.33070900,3.30708700
3.10905254,3.14960600,3.30708700
3.17305254,-0.78740150,3.22834600
3.23705254,-2.36220500,3.30708700
3.30105254,0.78740150,3.22834600
3.36505254,1.57480300,3.22834600
3.42905254,-3.93700800,3.22834600
3.49305253,-2.36220500,3.30708700
3.55705253,2.36220500,3.22834600
3.62105253,-6.69291300,3.22834600
3.68505253,0.00000000,3.30708700
3.74905253,-2.36220500,3.22834600
3.81305252,-2.75590500,3.30708700
3.87705252,-6.69291300,3.30708700
3.94105252,1.18110200,3.30708700
4.00505252,-9.44881800,3.30708700
4.06905252,-6.29921200,3.30708700
4.13305252,-2.75590500,3.22834600
4.19705251,-1.96850400,3.22834600
4.26105251,-5.90551100,3.22834600
4.32505251,1.57480300,3.30708700
4.38905251,-3.14960600,3.30708700
4.45305251,-3.93700800,3.22834600
4.51705250,-1.18110200,3.22834600
4.58105250,-2.75590500,3.22834600
4.64505250,-4.33070900,3.22834600
4.70905250,-1.18110200,3.30708700
4.77305250,1.96850400,3.22834600
4.83705250,-4.72440900,3.30708700
4.90105249,0.39370070,3.30708700
4.96505249,-2.36220500,3.30708700
5.02905249,-0.78740150,3.30708700
5.09305249,-7.87401500,3.30708700
5.15705249,0.78740150,3.30708700
5.22105248,-6.29921200,3.22834600
5.28505248,-1.96850400,3.30708700
5.34905248,-3.93700800,3.22834600
5.41305248,0.00000000,3.30708700
5.47705248,-6.69291300,3.30708700
5.54105248,-2.36220500,3.30708700
5.60505247,0.39370070,3.22834600
5.66905247,-3.93700800,3.30708700
5.73305247,-0.39370070,3.30708700
5.79705247,0.39370070,3.30708700
5.86105247,-0.39370070,3.30708700
5.92505246,-3.54330700,3.30708700
5.98905246,1.96850400,3.30708700
6.05305246,-4.72440900,3.30708700
6.11705246,-1.57480300,3.30708700
6.18105246,-1.96850400,3.30708700
6.24505246,0.78740150,3.30708700
6.30905245,-5.11811000,3.30708700
6.37305245,1.96850400,3.30708700
6.43705245,-4.33070900,3.30708700
6.50105245,-3.93700800,3.30708700
6.56505245,-5.51181100,3.30708700
6.62905244,-3.14960600,3.22834600
6.69305244,-8.26771600,3.30708700
6.75705244,-3.14960600,3.30708700
6.82105244,-1.96850400,3.22834600
6.88505244,-5.11811000,3.22834600
6.94905244,-1.18110200,3.22834600
7.01305243,-2.75590500,3.30708700
7.07705243,-1.96850400,3.22834600
7.14105243,-7.08661400,3.30708700
7.20505243,1.96850400,3.30708700
7.26905243,-3.54330700,3.22834600
7.33305242,-0.78740150,3.30708700
7.39705242,-1.18110200,3.22834600
7.46105242,1.96850400,3.30708700
7.52505242,-5.90551100,3.30708700
7.58905242,1.57480300,3.30708700
7.65305242,-1.96850400,3.30708700
7.71705241,-4.33070900,3.30708700
7.78105241,-2.75590500,3.30708700
7.84505241,2.36220500,3.30708700
7.90905241,-5.90551100,3.30708700
7.97305241,-3.54330700,3.30708700
8.03705240,-0.39370070,3.30708700
8.10105240,-5.90551100,3.30708700
8.16505240,-4.72440900,3.22834600
8.22905240,0.00000000,3.30708700
8.29305240,-1.18110200,3.30708700
8.35705240,-3.54330700,3.30708700
8.42105239,5.51181100,3.30708700
8.48505239,-4.33070900,3.30708700
8.54905239,-1.18110200,3.30708700
8.61305239,-2.36220500,3.22834600
8.67705239,1.18110200,3.30708700
8.74105238,-6.29921200,3.30708700
8.80505238,1.57480300,3.30708700
8.86905238,-1.96850400,3.30708700
8.93305238,-2.36220500,3.30708700
8.99705238,-1.57480300,3.30708700
9.06105238,-1.96850400,3.30708700
9.12505237,-5.90551100,3.30708700
9.18905237,-5.11811000,3.30708700
9.25305237,-1.96850400,3.30708700
9.31705237,-5.11811000,3.22834600
9.38105237,-3.54330700,3.30708700
9.44505236,-1.57480300,3.30708700
9.50905236,0.00000000,3.30708700
9.57305236,-5.90551100,3.30708700
9.63705236,1.18110200,3.30708700
9.70105236,-2.36220500,3.30708700
9.76505236,0.00000000,3.30708700
9.82905235,-1.96850400,3.30708700
9.89305235,5.90551100,3.30708700
9.95705235,-3.93700800,3.30708700
10.02105235,1.96850400,3.30708700
10.08505235,1.96850400,3.30708700
10.14905235,0.00000000,3.22834600
10.21305234,-3.93700800,3.30708700
10.27705234,3.54330700,3.22834600
10.34105234,0.78740150,3.30708700
10.40505234,-2.75590500,3.30708700
10.46905234,2.75590500,3.30708700
10.53305233,-2.36220500,3.30708700
10.59705233,-4.72440900,3.30708700
10.66105233,-3.54330700,3.22834600
10.72505233,0.00000000,3.30708700
10.78905233,-7.48031400,3.22834600
10.85305233,1.18110200,3.30708700
10.91705232,0.00000000,3.30708700
10.98105232,0.39370070,3.30708700
11.04505232,-2.36220500,3.30708700
11.10905232,3.54330700,3.30708700
11.17305232,-3.54330700,3.30708700
11.23705231,0.00000000,3.30708700
11.30105231,-0.39370070,3.30708700
11.36505231,0.00000000,3.30708700
11.42905231,-3.14960600,3.30708700
11.49305231,1.96850400,3.30708700
11.55705231,-0.39370070,3.30708700
11.62105230,-4.33070900,3.30708700
11.68505230,0.39370070,3.30708700
11.74905230,-3.14960600,3.30708700
11.81305230,-3.14960600,3.30708700
11.87705230,-6.29921200,3.30708700
11.94105229,0.39370070,3.30708700
12.00505229,-8.26771600,3.30708700
12.06905229,-1.18110200,3.22834600
12.13305229,-4.72440900,3.30708700
12.19705229,-5.11811000,3.30708700
12.26105229,-7.87401500,3.30708700
12.32505228,0.78740150,3.30708700
12.38905228,-4.33070900,3.30708700
12.45305228,-3.54330700,3.22834600
12.51705228,0.00000000,3.30708700
12.58105228,-1.96850400,3.30708700
12.64505227,-5.11811000,3.22834600
12.70905227,-1.18110200,3.30708700
12.77305227,-2.36220500,3.22834600
12.83705227,-6.69291300,3.22834600
12.90105227,0.39370070,3.30708700
12.96505227,-2.36220500,3.22834600
13.02905226,-2.36220500,3.30708700
13.09305226,-5.51181100,3.30708700
13.15705226,-0.39370070,3.22834600
13.22105226,-9.84251900,3.22834600
13.28505226,-3.93700800,3.30708700
13.34905225,-8.66141700,3.22834600
13.41305225,-4.33070900,3.22834600
13.47705225,-7.87401500,3.30708700
13.54105225,-3.54330700,3.30708700
13.60505225,-5.90551100,3.30708700
13.66905225,-6.69291300,3.30708700
13.73305224,-4.33070900,3.30708700
13.79705224,-3.54330700,3.22834600
13.86105224,-6.69291300,3.30708700
13.92505224,-6.69291300,3.30708700
13.98905224,-2.36220500,3.30708700
14.05305223,-9.05511800,3.30708700
14.11705223,-5.90551100,3.30708700
14.18105223,-5.90551100,3.30708700
14.24505223,-6.29921200,3.30708700
14.30905223,-10.23622000,3.22834600
14.37305223,-0.39370070,3.30708700
14.43705222,-9.44881800,3.30708700
14.50105222,-7.87401500,3.30708700
14.56505222,-5.51181100,3.30708700
14.62905222,-5.51181100,3.30708700
14.69305222,-14.56693000,3.30708700
14.75705221,-5.11811000,3.30708700
14.82105221,-8.66141700,3.30708700
14.88505221,-11.02362000,3.30708700
14.94905221,-4.72440900,3.30708700
15.01305221,-5.11811000,3.22834600
15.07705221,-7.48031400,3.30708700
15.14105220,-6.29921200,3.30708700
15.20505220,-2.36220500,3.30708700
15.26905220,-11.41732000,3.30708700
15.33305220,-5.51181100,3.22834600
15.39705220,-5.90551100,3.30708700
15.46105219,-3.93700800,3.30708700
15.52505219,-9.84251900,3.30708700
15.58905219,-1.57480300,3.30708700
15.65305219,-7.48031400,3.30708700
15.71705219,-6.69291300,3.30708700
15.78105219,-7.48031400,3.30708700
15.84505218,-5.51181100,3.30708700
15.90905218,-11.41732000,3.30708700
15.97305218,-7.48031400,3.30708700
16.03705218,-6.69291300,3.30708700
16.10105218,-9.44881800,3.30708700
16.16505217,-7.87401500,3.30708700
16.22905217,-7.08661400,3.30708700
16.29305217,-6.69291300,3.30708700
16.35705217,-11.02362000,3.30708700
16.42105217,-2.75590500,3.30708700
16.48505217,-8.66141700,3.30708700
16.54905216,-4.72440900,3.30708700
16.61305216,-6.29921200,3.30708700
16.67705216,-2.36220500,3.30708700
16.74105216,-11.81102000,3.30708700
16.80505216,-3.14960600,3.30708700
16.86905215,-5.90551100,3.30708700
16.93305215,-7.08661400,3.30708700
16.99705215,-6.29921200,3.30708700
17.06105215,-2.75590500,3.30708700
17.12505215,-8.26771600,3.30708700
17.18905215,-7.87401500,3.30708700
17.25305214,-6.29921200,3.30708700
17.31705214,-11.41732000,3.30708700
17.38105214,-9.05511800,3.30708700
17.44505214,-7.08661400,3.30708700
17.50905214,-7.08661400,3.30708700
17.57305214,-10.62992000,3.30708700
17.63705213,-3.54330700,3.30708700
17.70105213,-8.66141700,3.30708700
17.76505213,-6.69291300,3.30708700
17.82905213,-9.05511800,3.30708700
17.89305213,-4.33070900,3.30708700
17.95705212,-11.02362000,3.22834600
18.02105212,-5.11811000,3.30708700
18.08505212,-5.51181100,3.30708700
18.14905212,-5.90551100,3.30708700
18.21305212,-9.05511800,3.22834600
18.27705212,-3.14960600,3.30708700
18.34105211,-7.87401500,3.30708700
18.40505211,-10.62992000,3.30708700
18.46905211,-2.75590500,3.30708700
18.53305211,-8.66141700,3.30708700
18.59705211,-8.26771600,3.30708700
18.66105210,-7.87401500,3.30708700
18.72505210,-6.29921200,3.30708700
18.78905210,-13.38583000,3.30708700
18.85305210,-4.33070900,3.30708700
18.91705210,-9.44881800,3.30708700
18.98105210,-7.48031400,3.30708700
19.04505209,-5.51181100,3.30708700
19.10905209,-0.78740150,3.30708700
19.17305209,-8.26771600,3.30708700
19.23705209,-2.75590500,3.30708700
19.30105209,-5.11811000,3.30708700
19.36505208,-6.69291300,3.30708700
19.42905208,-6.69291300,3.30708700
19.49305208,-4.72440900,3.30708700
19.55705208,-6.69291300,3.30708700
19.62105208,-6.29921200,3.30708700
19.68505208,-1.57480300,3.30708700
19.74905207,-7.48031400,3.30708700
19.81305207,-5.51181100,3.30708700
19.87705207,-9.05511800,3.30708700
19.94105207,-4.33070900,3.30708700
20.00505207,-12.20472000,3.30708700
20.06905206,-5.51181100,3.30708700
20.13305206,-8.66141700,3.30708700
20.19705206,-7.08661400,3.30708700
20.26105206,-9.44881800,3.30708700
20.32505206,-4.33070900,3.30708700
20.38905206,-10.62992000,3.30708700
20.45305205,-9.05511800,3.30708700
20.51705205,-4.33070900,3.22834600
20.58105205,-7.48031400,3.22834600
20.64505205,-8.66141700,3.22834600
20.70905205,-5.11811000,3.30708700
20.77305204,-3.14960600,3.30708700
20.83705204,-11.02362000,3.30708700
20.90105204,-5.90551100,3.30708700
20.96505204,-6.69291300,3.30708700
21.02905204,-7.08661400,3.22834600
21.09305204,-8.26771600,3.30708700
21.15705203,-1.18110200,3.30708700
21.22105203,-12.20472000,3.30708700
21.28505203,-6.29921200,3.30708700
21.34905203,-7.08661400,3.30708700
21.41305203,-7.08661400,3.30708700
21.47705202,-11.02362000,3.30708700
21.54105202,-2.75590500,3.30708700
21.60505202,-6.29921200,3.30708700
21.66905202,-6.69291300,3.30708700
21.73305202,-1.57480300,3.30708700
21.79705202,-5.11811000,3.30708700
