Time,Channel A,Channel B
(us),(mV),(V)

-0.05180952,-4.33070900,0.00000000
0.01219048,-13.77953000,1.65354300
0.07619047,-5.51181100,3.22834600
0.14019047,-10.62992000,3.22834600
0.20419047,-3.93700800,3.22834600
0.26819047,-8.66141700,3.22834600
0.33219047,-7.08661400,3.22834600
0.39619047,-5.51181100,3.22834600
0.46019046,-1.96850400,3.22834600
0.52419046,-7.87401500,3.22834600
0.58819046,-3.14960600,3.22834600
0.65219046,-5.11811000,3.22834600
0.71619046,-5.51181100,3.22834600
0.78019045,-5.51181100,3.22834600
0.84419045,-3.14960600,3.22834600
0.90819045,-5.90551100,3.22834600
0.97219045,-4.72440900,3.22834600
1.03619045,-1.57480300,3.22834600
1.10019045,-5.51181100,3.22834600
1.16419044,-3.14960600,3.22834600
1.22819044,-4.72440900,3.22834600
1.29219044,0.39370070,3.22834600
1.35619044,-4.33070900,3.22834600
1.42019044,-0.39370070,3.30708700
1.48419043,-3.54330700,3.30708700
1.54819043,-1.57480300,3.22834600
1.61219043,-5.11811000,3.22834600
1.67619043,-0.78740150,3.22834600
1.74019043,-4.33070900,3.22834600
1.80419043,-2.36220500,3.30708700
1.86819042,-0.39370070,3.22834600
1.93219042,-1.57480300,3.30708700
1.99619042,-3.14960600,3.22834600
2.06019042,-0.78740150,3.22834600
2.12419042,-0.78740150,3.22834600
2.18819041,-7.08661400,3.22834600
2.25219041,-1.57480300,3.22834600
2.31619041,-4.72440900,3.22834600
2.38019041,-4.72440900,3.22834600
2.44419041,-2.36220500,3.22834600
2.50819041,0.78740150,3.30708700
2.57219040,-7.87401500,3.22834600
2.63619040,-1.18110200,3.22834600
2.70019040,-2.75590500,3.22834600
2.76419040,-4.33070900,3.22834600
2.82819040,-4.72440900,3.22834600
2.89219039,1.96850400,3.22834600
2.95619039,-4.33070900,3.22834600
3.02019039,-1.57480300,3.22834600
3.08419039,1.18110200,3.22834600
3.14819039,-4.33070900,3.30708700
3.21219039,-3.14960600,3.22834600
3.27619038,-1.96850400,3.22834600
3.34019038,-1.57480300,3.22834600
3.40419038,-6.29921200,3.22834600
3.46819038,1.96850400,3.30708700
3.53219038,-2.36220500,3.22834600
3.59619037,-3.14960600,3.30708700
3.66019037,-3.54330700,3.30708700
3.72419037,-0.78740150,3.30708700
3.78819037,-6.69291300,3.30708700
3.85219037,0.39370070,3.30708700
3.91619037,-0.39370070,3.30708700
3.98019036,-1.18110200,3.22834600
4.04419036,-3.93700800,3.22834600
4.10819036,0.78740150,3.22834600
4.17219036,-3.54330700,3.30708700
4.23619036,-4.72440900,3.22834600
4.30019035,0.00000000,3.30708700
4.36419035,-2.36220500,3.30708700
4.42819035,-1.96850400,3.30708700
4.49219035,-1.57480300,3.22834600
4.55619035,0.39370070,3.30708700
4.62019035,-7.87401500,3.22834600
4.68419034,-0.39370070,3.30708700
4.74819034,-4.72440900,3.22834600
4.81219034,-3.93700800,3.30708700
4.87619034,-7.08661400,3.30708700
4.94019034,-1.57480300,3.22834600
5.00419033,-7.08661400,3.30708700
5.06819033,-2.75590500,3.22834600
5.13219033,-3.54330700,3.22834600
5.19619033,-3.93700800,3.22834600
5.26019033,-6.69291300,3.22834600
5.32419033,-2.36220500,3.22834600
5.38819032,-4.33070900,3.22834600
5.45219032,-4.72440900,3.22834600
5.51619032,-0.39370070,3.30708700
5.58019032,-2.36220500,3.22834600
5.64419032,-2.36220500,3.22834600
5.70819031,-5.51181100,3.22834600
5.77219031,0.78740150,3.22834600
5.83619031,-6.29921200,3.22834600
5.90019031,-1.18110200,3.30708700
5.96419031,-2.36220500,3.30708700
6.02819031,-0.39370070,3.30708700
6.09219030,-5.90551100,3.22834600
6.15619030,1.96850400,3.30708700
6.22019030,-4.33070900,3.30708700
6.28419030,-4.72440900,3.30708700
6.34819030,-1.96850400,3.30708700
6.41219029,-0.78740150,3.30708700
6.47619029,-2.75590500,3.30708700
6.54019029,-0.78740150,3.30708700
6.60419029,2.36220500,3.22834600
6.66819029,-8.26771600,3.30708700
6.73219029,0.00000000,3.30708700
6.79619028,-2.75590500,3.30708700
6.86019028,-3.54330700,3.30708700
6.92419028,-3.54330700,3.30708700
6.98819028,4.33070900,3.30708700
7.05219028,-3.93700800,3.22834600
7.11619028,0.00000000,3.30708700
7.18019027,-0.39370070,3.30708700
7.24419027,-1.96850400,3.30708700
7.30819027,-5.51181100,3.30708700
7.37219027,0.78740150,3.30708700
7.43619027,-5.90551100,3.30708700
7.50019026,-4.33070900,3.30708700
7.56419026,-1.96850400,3.30708700
7.62819026,-3.93700800,3.30708700
7.69219026,-4.72440900,3.22834600
7.75619026,-2.75590500,3.22834600
7.82019026,0.78740150,3.22834600
7.88419025,-9.44881800,3.22834600
7.94819025,-0.39370070,3.30708700
8.01219025,-7.08661400,3.22834600
8.07619025,-2.36220500,3.30708700
8.14019025,-3.93700800,3.30708700
8.20419024,1.18110200,3.30708700
8.26819024,-6.69291300,3.30708700
8.33219024,-1.57480300,3.30708700
8.39619024,-1.96850400,3.30708700
8.46019024,-2.36220500,3.30708700
8.52419024,-3.54330700,3.22834600
8.58819023,-0.78740150,3.30708700
8.65219023,1.57480300,3.22834600
8.71619023,-3.93700800,3.30708700
8.78019023,-0.39370070,3.30708700
8.84419023,-4.72440900,3.30708700
8.90819022,-4.72440900,3.30708700
8.97219022,-4.33070900,3.22834600
9.03619022,-0.78740150,3.30708700
9.10019022,-6.69291300,3.30708700
9.16419022,0.78740150,3.30708700
9.22819022,-1.57480300,3.22834600
9.29219021,0.00000000,3.30708700
9.35619021,-3.54330700,3.30708700
9.42019021,2.75590500,3.30708700
9.48419021,-3.54330700,3.30708700
9.54819021,1.18110200,3.30708700
9.61219020,0.78740150,3.30708700
9.67619020,1.57480300,3.30708700
9.74019020,-1.18110200,3.30708700
9.80419020,1.96850400,3.30708700
9.86819020,0.78740150,3.30708700
9.93219020,-2.36220500,3.30708700
9.99619019,1.96850400,3.30708700
10.06019019,-1.57480300,3.30708700
10.12419019,1.96850400,3.30708700
10.18819019,-3.14960600,3.30708700
10.25219019,1.57480300,3.30708700
10.31619018,-7.08661400,3.30708700
10.38019018,-4.72440900,3.30708700
10.44419018,-2.75590500,3.30708700
10.50819018,-3.93700800,3.22834600
10.57219018,-6.69291300,3.30708700
10.63619018,1.96850400,3.30708700
10.70019017,-2.36220500,3.30708700
10.76419017,-4.33070900,3.22834600
10.82819017,0.00000000,3.30708700
10.89219017,-1.57480300,3.30708700
10.95619017,-6.29921200,3.22834600
11.02019016,-0.39370070,3.30708700
11.08419016,2.36220500,3.22834600
11.14819016,-5.90551100,3.30708700
11.21219016,1.57480300,3.22834600
11.27619016,0.00000000,3.30708700
11.34019016,-2.75590500,3.30708700
11.40419015,-5.11811000,3.22834600
11.46819015,2.36220500,3.30708700
11.53219015,-6.69291300,3.30708700
11.59619015,-0.78740150,3.30708700
11.66019015,-1.18110200,3.30708700
11.72419014,-2.36220500,3.30708700
11.78819014,-4.33070900,3.22834600
11.85219014,1.18110200,3.30708700
11.91619014,-1.96850400,3.30708700
11.98019014,-4.33070900,3.30708700
12.04419014,0.00000000,3.30708700
12.10819013,-1.96850400,3.30708700
12.17219013,-1.57480300,3.30708700
12.23619013,-2.36220500,3.30708700
12.30019013,0.39370070,3.30708700
12.36419013,-4.72440900,3.30708700
12.42819012,-0.78740150,3.30708700
12.49219012,-1.96850400,3.30708700
12.55619012,-0.78740150,3.30708700
12.62019012,-4.33070900,3.30708700
12.68419012,1.18110200,3.30708700
12.74819012,-5.11811000,3.30708700
12.81219011,-4.33070900,3.30708700
12.87619011,-5.51181100,3.30708700
12.94019011,-5.11811000,3.30708700
13.00419011,-9.84251900,3.30708700
13.06819011,-7.08661400,3.30708700
13.13219010,-5.11811000,3.22834600
13.19619010,-9.05511800,3.22834600
13.26019010,-6.69291300,3.22834600
13.32419010,-6.69291300,3.30708700
13.38819010,-7.08661400,3.22834600
13.45219010,-12.99213000,3.30708700
13.51619009,-2.75590500,3.30708700
13.58019009,-11.41732000,3.22834600
13.64419009,-5.51181100,3.30708700
13.70819009,-6.69291300,3.30708700
13.77219009,-6.69291300,3.30708700
13.83619009,-9.44881800,3.30708700
13.90019008,-4.72440900,3.30708700
13.96419008,-9.05511800,3.30708700
14.02819008,-9.84251900,3.30708700
14.09219008,-7.08661400,3.30708700
14.15619008,-5.11811000,3.30708700
14.22019007,-7.48031400,3.30708700
14.28419007,-6.69291300,3.30708700
14.34819007,-3.93700800,3.30708700
14.41219007,-8.66141700,3.30708700
14.47619007,-5.51181100,3.30708700
14.54019007,-6.69291300,3.30708700
14.60419006,-4.72440900,3.30708700
14.66819006,-8.66141700,3.30708700
14.73219006,0.00000000,3.30708700
14.79619006,-8.66141700,3.30708700
14.86019006,-5.90551100,3.30708700
14.92419005,-6.69291300,3.30708700
14.98819005,-3.14960600,3.30708700
15.05219005,-8.66141700,3.30708700
15.11619005,-1.96850400,3.30708700
15.18019005,-4.72440900,3.30708700
15.24419005,-5.90551100,3.30708700
15.30819004,-3.14960600,3.30708700
15.37219004,-5.90551100,3.30708700
15.43619004,-9.44881800,3.30708700
15.50019004,-7.87401500,3.30708700
15.56419004,-4.72440900,3.30708700
15.62819003,-12.99213000,3.30708700
15.69219003,-6.69291300,3.30708700
15.75619003,-8.66141700,3.30708700
15.82019003,-9.05511800,3.30708700
15.88419003,-10.62992000,3.22834600
15.94819003,-7.48031400,3.22834600
16.01219002,-12.99213000,3.22834600
16.07619002,-8.26771600,3.30708700
16.14019002,-10.62992000,3.30708700
16.20419002,-7.48031400,3.22834600
16.26819002,-11.81102000,3.22834600
16.33219001,-5.90551100,3.30708700
16.39619001,-8.66141700,3.30708700
16.46019001,-8.26771600,3.30708700
16.52419001,-6.69291300,3.30708700
16.58819001,-6.69291300,3.30708700
16.65219001,-4.72440900,3.30708700
16.71619000,-5.90551100,3.30708700
16.78019000,-2.36220500,3.30708700
16.84419000,-8.26771600,3.30708700
16.90819000,-4.33070900,3.30708700
16.97219000,-7.48031400,3.30708700
17.03618999,-5.11811000,3.30708700
17.10018999,-10.62992000,3.30708700
17.16418999,-4.33070900,3.30708700
17.22818999,-6.69291300,3.30708700
17.29218999,-4.72440900,3.30708700
17.35618999,-3.93700800,3.30708700
17.42018998,-3.14960600,3.30708700
17.48418998,-8.66141700,3.30708700
17.54818998,-4.72440900,3.30708700
17.61218998,-3.93700800,3.30708700
17.67618998,-8.66141700,3.30708700
17.74018997,-4.33070900,3.30708700
17.80418997,-3.54330700,3.30708700
17.86818997,-5.51181100,3.30708700
17.93218997,-7.48031400,3.30708700
17.99618997,-3.54330700,3.30708700
18.06018997,-10.62992000,3.30708700
18.12418996,-8.26771600,3.30708700
18.18818996,-7.48031400,3.30708700
18.25218996,-6.69291300,3.30708700
18.31618996,-12.99213000,3.30708700
18.38018996,-5.51181100,3.30708700
18.44418995,-11.02362000,3.30708700
18.50818995,-10.62992000,3.30708700
18.57218995,-10.23622000,3.30708700
18.63618995,-9.44881800,3.22834600
18.70018995,-11.02362000,3.30708700
18.76418995,-8.66141700,3.30708700
18.82818994,-5.51181100,3.30708700
18.89218994,-9.05511800,3.22834600
18.95618994,-6.69291300,3.30708700
19.02018994,-5.51181100,3.22834600
19.08418994,-6.29921200,3.30708700
19.14818993,-9.84251900,3.30708700
19.21218993,-1.18110200,3.30708700
19.27618993,-6.29921200,3.30708700
19.34018993,-5.90551100,3.30708700
19.40418993,-5.11811000,3.30708700
19.46818993,-4.33070900,3.30708700
19.53218992,-11.02362000,3.30708700
19.59618992,-3.93700800,3.30708700
19.66018992,-6.69291300,3.30708700
19.72418992,-7.87401500,3.30708700
19.78818992,-4.33070900,3.30708700
19.85218991,-2.36220500,3.30708700
19.91618991,-7.08661400,3.30708700
19.98018991,-4.33070900,3.30708700
20.04418991,-3.14960600,3.30708700
20.10818991,-8.66141700,3.30708700
20.17218991,-5.51181100,3.30708700
20.23618990,-5.11811000,3.30708700
20.30018990,-4.72440900,3.30708700
20.36418990,-8.66141700,3.30708700
20.42818990,-1.18110200,3.30708700
20.49218990,-9.84251900,3.30708700
20.55618989,-5.51181100,3.30708700
20.62018989,-7.48031400,3.30708700
20.68418989,-4.33070900,3.30708700
20.74818989,-9.84251900,3.30708700
20.81218989,-5.51181100,3.30708700
20.87618989,-6.29921200,3.30708700
20.94018988,-8.66141700,3.30708700
21.00418988,-10.62992000,3.30708700
21.06818988,-8.26771600,3.30708700
21.13218988,-10.62992000,3.30708700
21.19618988,-11.41732000,3.30708700
21.26018988,-4.33070900,3.30708700
21.32418987,-7.87401500,3.30708700
21.38818987,-6.69291300,3.30708700
21.45218987,-7.08661400,3.22834600
21.51618987,-3.54330700,3.22834600
21.58018987,-10.62992000,3.30708700
21.64418986,-4.72440900,3.22834600
21.70818986,-7.48031400,3.30708700
