Time,Channel A,Channel B
(us),(mV),(V)

-0.04266667,-2.36220500,0.07874016
0.02133333,-22.04724000,1.96850400
0.08533333,-4.72440900,3.22834600
0.14933333,-9.44881800,3.22834600
0.21333333,-2.36220500,3.22834600
0.27733333,-7.87401500,3.22834600
0.34133332,-3.54330700,3.22834600
0.40533332,-6.29921200,3.22834600
0.46933332,-4.33070900,3.30708700
0.53333332,-6.69291300,3.22834600
0.59733332,-6.29921200,3.30708700
0.66133331,-3.14960600,3.22834600
0.72533331,-6.29921200,3.30708700
0.78933331,-3.14960600,3.22834600
0.85333331,-3.14960600,3.22834600
0.91733331,-2.36220500,3.22834600
0.98133331,-5.90551100,3.22834600
1.04533330,0.78740150,3.22834600
1.10933330,-4.33070900,3.22834600
1.17333330,-2.36220500,3.22834600
1.23733330,-2.36220500,3.22834600
1.30133330,0.39370070,3.22834600
1.36533329,-5.11811000,3.30708700
1.42933329,1.57480300,3.22834600
1.49333329,-2.36220500,3.22834600
1.55733329,-3.54330700,3.22834600
1.62133329,-2.75590500,3.22834600
1.68533329,0.39370070,3.22834600
1.74933328,-5.90551100,3.22834600
1.81333328,-4.33070900,3.30708700
1.87733328,0.39370070,3.22834600
1.94133328,-5.90551100,3.30708700
2.00533328,-1.57480300,3.22834600
2.06933328,-2.36220500,3.22834600
2.13333327,-1.96850400,3.22834600
2.19733327,-8.66141700,3.22834600
2.26133327,1.96850400,3.30708700
2.32533327,-4.33070900,3.22834600
2.38933327,-2.36220500,3.22834600
2.45333326,-1.18110200,3.22834600
2.51733326,0.78740150,3.22834600
2.58133326,-5.11811000,3.22834600
2.64533326,-2.36220500,3.22834600
2.70933326,0.00000000,3.22834600
2.77333326,-3.54330700,3.22834600
2.83733325,-1.18110200,3.22834600
2.90133325,1.18110200,3.30708700
2.96533325,-1.57480300,3.30708700
3.02933325,-3.54330700,3.30708700
3.09333325,2.75590500,3.22834600
3.15733324,-5.11811000,3.30708700
3.22133324,-3.93700800,3.30708700
3.28533324,-3.14960600,3.30708700
3.34933324,0.00000000,3.30708700
3.41333324,-7.08661400,3.30708700
3.47733324,2.36220500,3.30708700
3.54133323,-3.14960600,3.30708700
3.60533323,-3.14960600,3.22834600
3.66933323,-2.36220500,3.30708700
3.73333323,0.39370070,3.30708700
3.79733323,-5.51181100,3.22834600
3.86133322,-0.78740150,3.30708700
3.92533322,1.96850400,3.30708700
3.98933322,-3.14960600,3.30708700
4.05333322,-1.18110200,3.22834600
4.11733322,-2.36220500,3.30708700
4.18133322,-0.78740150,3.30708700
4.24533321,-5.11811000,3.22834600
4.30933321,1.18110200,3.30708700
4.37333321,-2.36220500,3.22834600
4.43733321,-1.57480300,3.30708700
4.50133321,-4.72440900,3.30708700
4.56533320,-0.78740150,3.30708700
4.62933320,-7.48031400,3.30708700
4.69333320,-4.72440900,3.30708700
4.75733320,-3.54330700,3.30708700
4.82133320,-3.93700800,3.30708700
4.88533320,-6.69291300,3.22834600
4.94933319,-2.75590500,3.30708700
5.01333319,-2.75590500,3.22834600
5.07733319,-5.51181100,3.30708700
5.14133319,-1.96850400,3.30708700
5.20533319,-4.33070900,3.22834600
5.26933318,-5.90551100,3.22834600
5.33333318,-3.93700800,3.22834600
5.39733318,1.57480300,3.22834600
5.46133318,-7.48031400,3.22834600
5.52533318,1.18110200,3.30708700
5.58933318,-1.96850400,3.22834600
5.65333317,-2.36220500,3.30708700
5.71733317,-5.90551100,3.22834600
5.78133317,0.39370070,3.30708700
5.84533317,-6.69291300,3.30708700
5.90933317,-3.93700800,3.30708700
5.97333316,-1.18110200,3.30708700
6.03733316,-3.93700800,3.22834600
6.10133316,-4.33070900,3.30708700
6.16533316,-1.18110200,3.30708700
6.22933316,-2.75590500,3.22834600
6.29333316,-5.90551100,3.30708700
6.35733315,0.78740150,3.30708700
6.42133315,-2.36220500,3.30708700
6.48533315,0.00000000,3.30708700
6.54933315,-1.96850400,3.30708700
6.61333315,1.57480300,3.30708700
6.67733314,-6.29921200,3.30708700
6.74133314,0.00000000,3.30708700
6.80533314,-3.54330700,3.30708700
6.86933314,-1.18110200,3.30708700
6.93333314,-3.14960600,3.30708700
6.99733314,2.75590500,3.30708700
7.06133313,-2.36220500,3.30708700
7.12533313,-3.93700800,3.30708700
7.18933313,-2.75590500,3.30708700
7.25333313,-5.90551100,3.30708700
7.31733313,-4.33070900,3.30708700
7.38133312,-4.33070900,3.30708700
7.44533312,-1.18110200,3.30708700
7.50933312,-8.26771600,3.30708700
7.57333312,-1.57480300,3.30708700
7.63733312,-5.11811000,3.30708700
7.70133312,-2.75590500,3.30708700
7.76533311,-5.90551100,3.30708700
7.82933311,-0.39370070,3.30708700
7.89333311,-7.08661400,3.22834600
7.95733311,-2.36220500,3.30708700
8.02133311,-3.14960600,3.22834600
8.08533310,-2.36220500,3.30708700
8.14933310,-3.14960600,3.30708700
8.21333310,-1.18110200,3.30708700
8.27733310,-2.75590500,3.30708700
8.34133310,-4.72440900,3.22834600
8.40533310,-1.18110200,3.30708700
8.46933309,-2.75590500,3.30708700
8.53333309,-2.36220500,3.30708700
8.59733309,-5.11811000,3.30708700
8.66133309,0.00000000,3.22834600
8.72533309,-6.69291300,3.30708700
8.78933309,-1.18110200,3.30708700
8.85333308,-5.11811000,3.30708700
8.91733308,-0.78740150,3.30708700
8.98133308,-6.29921200,3.30708700
9.04533308,1.57480300,3.30708700
9.10933308,-2.36220500,3.30708700
9.17333307,-3.93700800,3.30708700
9.23733307,-0.78740150,3.30708700
9.30133307,-0.78740150,3.30708700
9.36533307,-3.93700800,3.30708700
9.42933307,-0.78740150,3.30708700
9.49333307,4.72440900,3.30708700
9.55733306,-3.14960600,3.30708700
9.62133306,3.14960600,3.30708700
9.68533306,1.96850400,3.30708700
9.74933306,-1.57480300,3.30708700
9.81333306,-3.93700800,3.30708700
9.87733305,3.93700800,3.30708700
9.94133305,-5.90551100,3.30708700
10.00533305,-1.18110200,3.30708700
10.06933305,0.39370070,3.30708700
10.13333305,-0.78740150,3.30708700
10.19733305,-5.90551100,3.30708700
10.26133304,0.00000000,3.30708700
10.32533304,-2.75590500,3.30708700
10.38933304,-5.11811000,3.30708700
10.45333304,0.39370070,3.30708700
10.51733304,-3.14960600,3.30708700
10.58133303,-2.75590500,3.30708700
10.64533303,-2.36220500,3.30708700
10.70933303,1.96850400,3.22834600
10.77333303,-7.08661400,3.22834600
10.83733303,0.00000000,3.30708700
10.90133303,-2.36220500,3.30708700
10.96533302,0.39370070,3.30708700
11.02933302,-3.93700800,3.30708700
11.09333302,3.14960600,3.30708700
11.15733302,-1.96850400,3.22834600
11.22133302,-2.36220500,3.30708700
11.28533301,-1.96850400,3.30708700
11.34933301,-1.96850400,3.30708700
11.41333301,-5.11811000,3.30708700
11.47733301,-1.96850400,3.30708700
11.54133301,1.57480300,3.30708700
11.60533301,-4.33070900,3.30708700
11.66933300,-0.39370070,3.30708700
11.73333300,0.00000000,3.30708700
11.79733300,-0.39370070,3.30708700
11.86133300,-5.11811000,3.30708700
11.92533300,3.14960600,3.30708700
11.98933299,-4.33070900,3.30708700
12.05333299,-0.39370070,3.30708700
12.11733299,-1.18110200,3.30708700
12.18133299,1.57480300,3.30708700
12.24533299,-5.51181100,3.30708700
12.30933299,1.18110200,3.30708700
12.37333298,-1.57480300,3.30708700
12.43733298,-3.93700800,3.30708700
12.50133298,-2.75590500,3.30708700
12.56533298,-1.57480300,3.30708700
12.62933298,-2.75590500,3.30708700
12.69333297,-5.51181100,3.30708700
12.75733297,-0.78740150,3.30708700
12.82133297,-7.48031400,3.30708700
12.88533297,-5.11811000,3.30708700
12.94933297,-6.69291300,3.30708700
13.01333297,-3.14960600,3.30708700
13.07733296,-10.23622000,3.30708700
13.14133296,-2.36220500,3.30708700
13.20533296,-5.51181100,3.30708700
13.26933296,-8.26771600,3.30708700
13.33333296,-7.87401500,3.30708700
13.39733295,-3.14960600,3.22834600
13.46133295,-11.41732000,3.30708700
13.52533295,-4.72440900,3.30708700
13.58933295,-3.93700800,3.30708700
13.65333295,-7.87401500,3.30708700
13.71733295,-5.51181100,3.30708700
13.78133294,-4.72440900,3.22834600
13.84533294,-7.48031400,3.30708700
13.90933294,-12.20472000,3.30708700
13.97333294,-3.93700800,3.30708700
14.03733294,-11.41732000,3.30708700
14.10133293,-6.69291300,3.30708700
14.16533293,-7.08661400,3.30708700
14.22933293,-4.33070900,3.30708700
14.29333293,-10.23622000,3.30708700
14.35733293,-2.36220500,3.30708700
14.42133293,-7.08661400,3.30708700
14.48533292,-6.29921200,3.30708700
14.54933292,-3.93700800,3.30708700
14.61333292,-3.14960600,3.30708700
14.67733292,-5.90551100,3.30708700
14.74133292,-6.29921200,3.30708700
14.80533291,-4.33070900,3.30708700
14.86933291,-7.48031400,3.30708700
14.93333291,-4.33070900,3.30708700
14.99733291,-5.90551100,3.30708700
15.06133291,-3.14960600,3.30708700
15.12533291,-7.08661400,3.30708700
15.18933290,-2.36220500,3.30708700
15.25333290,-7.87401500,3.30708700
15.31733290,-6.29921200,3.30708700
15.38133290,-10.62992000,3.30708700
15.44533290,-5.11811000,3.30708700
15.50933289,-10.62992000,3.30708700
15.57333289,-7.87401500,3.30708700
15.63733289,-7.87401500,3.30708700
15.70133289,-7.08661400,3.30708700
15.76533289,-8.26771600,3.30708700
15.82933289,-8.26771600,3.30708700
15.89333288,-7.48031400,3.30708700
15.95733288,-13.38583000,3.30708700
16.02133288,-4.33070900,3.22834600
16.08533288,-9.44881800,3.30708700
16.14933288,-9.44881800,3.30708700
16.21333288,-7.48031400,3.30708700
16.27733287,-3.93700800,3.30708700
16.34133287,-11.41732000,3.30708700
16.40533287,-5.90551100,3.30708700
16.46933287,-8.26771600,3.30708700
16.53333287,-7.48031400,3.30708700
16.59733286,-7.48031400,3.30708700
16.66133286,-2.75590500,3.30708700
16.72533286,-8.66141700,3.30708700
16.78933286,-5.90551100,3.30708700
16.85333286,-3.93700800,3.30708700
16.91733286,-7.48031400,3.30708700
16.98133285,-7.48031400,3.30708700
17.04533285,-5.51181100,3.30708700
17.10933285,-2.75590500,3.30708700
17.17333285,-9.44881800,3.30708700
17.23733285,-1.96850400,3.30708700
17.30133284,-6.69291300,3.30708700
17.36533284,-5.51181100,3.30708700
17.42933284,-7.48031400,3.30708700
17.49333284,-0.78740150,3.30708700
17.55733284,-9.84251900,3.30708700
17.62133284,-3.54330700,3.30708700
17.68533283,-2.75590500,3.30708700
17.74933283,-5.90551100,3.30708700
17.81333283,-7.87401500,3.30708700
17.87733283,-4.33070900,3.30708700
17.94133283,-8.66141700,3.30708700
18.00533282,-11.81102000,3.30708700
18.06933282,-5.51181100,3.30708700
18.13333282,-10.62992000,3.30708700
18.19733282,-9.05511800,3.30708700
18.26133282,-7.48031400,3.30708700
18.32533282,-6.29921200,3.22834600
18.38933281,-13.77953000,3.30708700
18.45333281,-6.29921200,3.30708700
18.51733281,-10.62992000,3.22834600
18.58133281,-8.66141700,3.30708700
18.64533281,-12.20472000,3.22834600
18.70933280,-4.33070900,3.30708700
18.77333280,-10.62992000,3.30708700
18.83733280,-6.69291300,3.30708700
18.90133280,-7.08661400,3.30708700
18.96533280,-7.08661400,3.30708700
19.02933280,-7.48031400,3.30708700
19.09333279,-5.90551100,3.30708700
19.15733279,-3.14960600,3.30708700
19.22133279,-8.26771600,3.30708700
19.28533279,-4.33070900,3.30708700
19.34933279,-6.69291300,3.30708700
19.41333278,-6.29921200,3.30708700
19.47733278,-11.41732000,3.30708700
19.54133278,-3.54330700,3.30708700
19.60533278,-9.84251900,3.30708700
19.66933278,-5.90551100,3.30708700
19.73333278,-3.93700800,3.22834600
19.79733277,-2.75590500,3.30708700
19.86133277,-9.44881800,3.30708700
19.92533277,-1.57480300,3.30708700
19.98933277,-5.11811000,3.30708700
20.05333277,-9.05511800,3.30708700
20.11733276,-4.72440900,3.30708700
20.18133276,-3.54330700,3.30708700
20.24533276,-7.48031400,3.30708700
20.30933276,-6.29921200,3.30708700
20.37333276,-1.96850400,3.30708700
20.43733276,-11.41732000,3.30708700
20.50133275,-6.29921200,3.30708700
20.56533275,-7.87401500,3.30708700
20.62933275,-7.48031400,3.30708700
20.69333275,-12.99213000,3.30708700
20.75733275,-3.14960600,3.30708700
20.82133274,-10.62992000,3.30708700
20.88533274,-8.66141700,3.30708700
20.94933274,-9.44881800,3.30708700
21.01333274,-9.05511800,3.30708700
21.07733274,-11.81102000,3.30708700
21.14133274,-8.66141700,3.30708700
21.20533273,-6.69291300,3.30708700
21.26933273,-9.44881800,3.30708700
21.33333273,-5.51181100,3.30708700
21.39733273,-5.51181100,3.30708700
21.46133273,-6.69291300,3.30708700
21.52533272,-9.84251900,3.30708700
21.58933272,-2.36220500,3.22834600
21.65333272,-8.66141700,3.30708700
21.71733272,-5.51181100,3.30708700
