Time,Channel A,Channel B
(us),(mV),(V)

-0.03200000,-4.72440900,0.00000000
0.03200000,1.57480300,2.67716500
0.09600000,-3.14960600,3.22834600
0.16000000,-9.05511800,3.22834600
0.22399999,-3.93700800,3.22834600
0.28799999,-6.29921200,3.30708700
0.35199999,-7.08661400,3.22834600
0.41599999,-8.66141700,3.22834600
0.47999999,-2.36220500,3.22834600
0.54399999,-6.69291300,3.22834600
0.60799998,-5.11811000,3.22834600
0.67199998,-4.33070900,3.22834600
0.73599998,-3.93700800,3.22834600
0.79999998,-6.69291300,3.22834600
0.86399998,-3.14960600,3.22834600
0.92799997,-4.33070900,3.22834600
0.99199997,-5.11811000,3.22834600
1.05599997,-1.57480300,3.22834600
1.11999997,-2.36220500,3.22834600
1.18399997,-3.54330700,3.22834600
1.24799997,-4.33070900,3.30708700
1.31199996,1.96850400,3.22834600
1.37599996,-3.54330700,3.22834600
1.43999996,0.78740150,3.22834600
1.50399996,-1.18110200,3.30708700
1.56799996,-1.57480300,3.30708700
1.63199995,-6.69291300,3.22834600
1.69599995,-1.18110200,3.30708700
1.75999995,-6.69291300,3.22834600
1.82399995,-5.51181100,3.22834600
1.88799995,-3.14960600,3.22834600
1.95199995,-3.14960600,3.22834600
2.01599994,-4.33070900,3.22834600
2.07999994,-3.14960600,3.30708700
2.14399994,-1.96850400,3.22834600
2.20799994,-8.26771600,3.22834600
2.27199994,-3.54330700,3.22834600
2.33599993,-6.69291300,3.22834600
2.39999993,-4.33070900,3.22834600
2.46399993,-4.72440900,3.30708700
2.52799993,1.18110200,3.30708700
2.59199993,-3.14960600,3.30708700
2.65599993,-1.18110200,3.22834600
2.71999992,-2.36220500,3.22834600
2.78399992,0.78740150,3.30708700
2.84799992,-5.51181100,3.22834600
2.91199992,0.00000000,3.22834600
2.97599992,-1.18110200,3.30708700
3.03999991,-2.75590500,3.30708700
3.10399991,-1.18110200,3.22834600
3.16799991,-2.75590500,3.22834600
3.23199991,-4.33070900,3.30708700
3.29599991,-5.51181100,3.30708700
3.35999991,-0.78740150,3.22834600
3.42399990,-6.69291300,3.30708700
3.48799990,-1.57480300,3.30708700
3.55199990,-0.78740150,3.30708700
3.61599990,-2.36220500,3.22834600
3.67999990,-3.93700800,3.22834600
3.74399990,0.39370070,3.30708700
3.80799989,-6.69291300,3.22834600
3.87199989,-1.57480300,3.22834600
3.93599989,0.00000000,3.30708700
3.99999989,0.00000000,3.30708700
4.06399989,-3.93700800,3.22834600
4.12799988,2.75590500,3.30708700
4.19199988,-2.36220500,3.30708700
4.25599988,-4.33070900,3.30708700
4.31999988,-1.96850400,3.30708700
4.38399988,-4.72440900,3.30708700
4.44799988,-6.69291300,3.30708700
4.51199987,-5.90551100,3.22834600
4.57599987,-2.75590500,3.22834600
4.63999987,-9.05511800,3.22834600
4.70399987,-3.14960600,3.22834600
4.76799987,-5.51181100,3.30708700
4.83199986,-7.87401500,3.30708700
4.89599986,-9.44881800,3.22834600
4.95999986,-5.11811000,3.22834600
5.02399986,-8.66141700,3.22834600
5.08799986,-3.93700800,3.22834600
5.15199986,-4.33070900,3.22834600
5.21599985,-2.36220500,3.22834600
5.27999985,-7.08661400,3.22834600
5.34399985,-1.57480300,3.30708700
5.40799985,-3.54330700,3.30708700
5.47199985,-5.90551100,3.30708700
5.53599984,-1.18110200,3.30708700
5.59999984,-0.78740150,3.22834600
5.66399984,-3.14960600,3.30708700
5.72799984,-4.72440900,3.30708700
5.79199984,-1.57480300,3.22834600
5.85599984,-7.87401500,3.30708700
5.91999983,-3.54330700,3.22834600
5.98399983,-5.51181100,3.30708700
6.04799983,-2.36220500,3.30708700
6.11199983,-6.29921200,3.30708700
6.17599983,1.96850400,3.30708700
6.23999982,-5.51181100,3.30708700
6.30399982,-3.54330700,3.30708700
6.36799982,-3.54330700,3.30708700
6.43199982,-3.14960600,3.30708700
6.49599982,-3.54330700,3.30708700
6.55999982,-1.57480300,3.30708700
6.62399981,1.57480300,3.30708700
6.68799981,-3.54330700,3.30708700
6.75199981,0.39370070,3.30708700
6.81599981,-1.18110200,3.30708700
6.87999981,-2.36220500,3.30708700
6.94399980,-4.72440900,3.30708700
7.00799980,0.00000000,3.30708700
7.07199980,-5.11811000,3.30708700
7.13599980,-5.51181100,3.30708700
7.19999980,-5.11811000,3.30708700
7.26399980,-1.57480300,3.22834600
7.32799979,-10.23622000,3.22834600
7.39199979,-3.14960600,3.30708700
7.45599979,-7.87401500,3.22834600
7.51999979,-7.48031400,3.30708700
7.58399979,-7.87401500,3.22834600
7.64799978,-2.75590500,3.22834600
7.71199978,-6.69291300,3.30708700
7.77599978,-5.90551100,3.30708700
7.83999978,-0.39370070,3.22834600
7.90399978,-8.66141700,3.30708700
7.96799978,-4.33070900,3.30708700
8.03199977,-3.54330700,3.22834600
8.09599977,-1.96850400,3.30708700
8.15999977,-4.33070900,3.30708700
8.22399977,3.93700800,3.22834600
8.28799977,-4.33070900,3.30708700
8.35199976,-3.14960600,3.30708700
8.41599976,-3.93700800,3.30708700
8.47999976,-3.14960600,3.30708700
8.54399976,-8.26771600,3.30708700
8.60799976,-1.57480300,3.30708700
8.67199976,-3.14960600,3.30708700
8.73599975,-3.93700800,3.30708700
8.79999975,-1.96850400,3.22834600
8.86399975,-3.14960600,3.30708700
8.92799975,-5.11811000,3.30708700
8.99199975,-4.33070900,3.30708700
9.05599974,-2.75590500,3.30708700
9.11999974,-5.51181100,3.30708700
9.18399974,-0.39370070,3.30708700
9.24799974,-0.78740150,3.30708700
9.31199974,2.36220500,3.30708700
9.37599974,-2.36220500,3.30708700
9.43999973,3.93700800,3.30708700
9.50399973,-1.18110200,3.30708700
9.56799973,2.36220500,3.30708700
9.63199973,-0.39370070,3.30708700
9.69599973,1.96850400,3.30708700
9.75999972,-3.54330700,3.30708700
9.82399972,-0.39370070,3.30708700
9.88799972,-0.39370070,3.30708700
9.95199972,-2.75590500,3.30708700
10.01599972,-3.93700800,3.30708700
10.07999972,-2.36220500,3.22834600
10.14399971,-4.33070900,3.30708700
10.20799971,-3.93700800,3.30708700
10.27199971,-1.96850400,3.30708700
10.33599971,-5.51181100,3.30708700
10.39999971,-5.11811000,3.22834600
10.46399970,-3.93700800,3.30708700
10.52799970,-3.14960600,3.30708700
10.59199970,-5.90551100,3.30708700
10.65599970,1.96850400,3.30708700
10.71999970,-2.75590500,3.30708700
10.78399970,0.00000000,3.30708700
10.84799969,-4.72440900,3.30708700
10.91199969,1.96850400,3.30708700
10.97599969,-4.33070900,3.30708700
11.03999969,0.39370070,3.30708700
11.10399969,-1.96850400,3.30708700
11.16799969,-2.75590500,3.30708700
11.23199968,-2.36220500,3.30708700
11.29599968,-0.39370070,3.30708700
11.35999968,-2.36220500,3.30708700
11.42399968,-5.11811000,3.30708700
11.48799968,0.78740150,3.30708700
11.55199967,-3.54330700,3.30708700
11.61599967,-3.93700800,3.30708700
11.67999967,-2.36220500,3.30708700
11.74399967,1.18110200,3.30708700
11.80799967,-4.33070900,3.30708700
11.87199967,3.14960600,3.30708700
11.93599966,-0.39370070,3.30708700
11.99999966,-1.96850400,3.30708700
12.06399966,-2.36220500,3.30708700
12.12799966,3.93700800,3.30708700
12.19199966,-4.33070900,3.30708700
12.25599965,0.00000000,3.30708700
12.31999965,1.96850400,3.30708700
12.38399965,-4.33070900,3.30708700
12.44799965,-3.14960600,3.30708700
12.51199965,-0.78740150,3.30708700
12.57599965,-5.11811000,3.30708700
12.63999964,-8.66141700,3.30708700
12.70399964,0.78740150,3.30708700
12.76799964,-9.05511800,3.30708700
12.83199964,-5.51181100,3.30708700
12.89599964,-5.51181100,3.30708700
12.95999963,-6.69291300,3.22834600
13.02399963,-12.59842000,3.30708700
13.08799963,-3.93700800,3.30708700
13.15199963,-10.23622000,3.22834600
13.21599963,-6.69291300,3.30708700
13.27999963,-6.29921200,3.30708700
13.34399962,-2.75590500,3.30708700
13.40799962,-7.08661400,3.30708700
13.47199962,-5.51181100,3.30708700
13.53599962,-3.14960600,3.30708700
13.59999962,-7.08661400,3.30708700
13.66399961,-6.69291300,3.30708700
13.72799961,-3.54330700,3.30708700
13.79199961,-5.51181100,3.30708700
13.85599961,-9.05511800,3.30708700
13.91999961,-4.72440900,3.30708700
13.98399961,-9.84251900,3.30708700
14.04799960,-7.87401500,3.22834600
14.11199960,-10.23622000,3.30708700
14.17599960,-4.72440900,3.30708700
14.23999960,-10.62992000,3.30708700
14.30399960,-3.93700800,3.30708700
14.36799959,-4.33070900,3.30708700
14.43199959,-4.33070900,3.30708700
14.49599959,-7.08661400,3.30708700
14.55999959,-2.75590500,3.30708700
14.62399959,-4.33070900,3.30708700
14.68799959,-5.90551100,3.30708700
14.75199958,0.00000000,3.30708700
14.81599958,-3.93700800,3.30708700
14.87999958,-3.54330700,3.30708700
14.94399958,-3.14960600,3.30708700
15.00799958,-2.36220500,3.30708700
15.07199957,-9.05511800,3.30708700
15.13599957,-5.11811000,3.30708700
15.19999957,-7.08661400,3.30708700
15.26399957,-6.69291300,3.30708700
15.32799957,-9.84251900,3.30708700
15.39199957,-4.33070900,3.22834600
15.45599956,-11.81102000,3.22834600
15.51999956,-6.69291300,3.30708700
15.58399956,-10.62992000,3.22834600
15.64799956,-11.41732000,3.22834600
15.71199956,-12.20472000,3.30708700
15.77599955,-6.29921200,3.30708700
15.83999955,-10.23622000,3.30708700
15.90399955,-10.23622000,3.30708700
15.96799955,-7.08661400,3.30708700
16.03199955,-7.08661400,3.30708700
16.09599955,-6.69291300,3.30708700
16.15999954,-11.02362000,3.30708700
16.22399954,-3.14960600,3.30708700
16.28799954,-11.02362000,3.30708700
16.35199954,-4.72440900,3.30708700
16.41599954,-5.90551100,3.30708700
16.47999953,-6.69291300,3.30708700
16.54399953,-9.84251900,3.30708700
16.60799953,-2.75590500,3.30708700
16.67199953,-9.44881800,3.30708700
16.73599953,-6.69291300,3.30708700
16.79999953,-4.72440900,3.30708700
16.86399952,-4.33070900,3.30708700
16.92799952,-8.66141700,3.30708700
16.99199952,-2.36220500,3.30708700
17.05599952,-6.29921200,3.30708700
17.11999952,-8.66141700,3.30708700
17.18399951,-3.54330700,3.30708700
17.24799951,-6.69291300,3.30708700
17.31199951,-5.11811000,3.30708700
17.37599951,-3.14960600,3.30708700
17.43999951,1.57480300,3.30708700
17.50399951,-6.69291300,3.30708700
17.56799950,0.39370070,3.30708700
17.63199950,-5.51181100,3.30708700
17.69599950,-5.51181100,3.30708700
17.75999950,-8.26771600,3.30708700
17.82399950,-4.33070900,3.30708700
17.88799949,-9.05511800,3.30708700
17.95199949,-7.48031400,3.30708700
18.01599949,-8.66141700,3.30708700
18.07999949,-9.84251900,3.30708700
18.14399949,-11.02362000,3.30708700
18.20799949,-11.02362000,3.30708700
18.27199948,-8.26771600,3.30708700
18.33599948,-12.99213000,3.30708700
18.39999948,-7.87401500,3.30708700
18.46399948,-8.66141700,3.22834600
18.52799948,-11.02362000,3.22834600
18.59199948,-10.62992000,3.30708700
18.65599947,-6.69291300,3.30708700
18.71999947,-11.81102000,3.22834600
18.78399947,-7.08661400,3.30708700
18.84799947,-5.51181100,3.30708700
18.91199947,-2.36220500,3.30708700
18.97599946,-7.87401500,3.30708700
19.03999946,-1.18110200,3.30708700
19.10399946,-5.11811000,3.22834600
19.16799946,-8.26771600,3.30708700
19.23199946,-4.33070900,3.30708700
19.29599946,-6.69291300,3.30708700
19.35999945,-8.26771600,3.30708700
19.42399945,-7.08661400,3.30708700
19.48799945,-2.36220500,3.30708700
19.55199945,-10.62992000,3.30708700
19.61599945,-5.11811000,3.30708700
19.67999944,-6.69291300,3.30708700
19.74399944,-4.72440900,3.30708700
19.80799944,-7.08661400,3.30708700
19.87199944,-1.96850400,3.30708700
19.93599944,-5.90551100,3.30708700
19.99999944,-2.75590500,3.30708700
20.06399943,-3.14960600,3.30708700
20.12799943,-1.57480300,3.30708700
20.19199943,-8.26771600,3.30708700
20.25599943,-2.36220500,3.30708700
20.31999943,-4.33070900,3.30708700
20.38399942,-8.26771600,3.30708700
20.44799942,-6.29921200,3.30708700
20.51199942,-6.29921200,3.30708700
20.57599942,-8.66141700,3.22834600
20.63999942,-11.02362000,3.30708700
20.70399942,-6.29921200,3.30708700
20.76799941,-14.56693000,3.30708700
20.83199941,-9.84251900,3.30708700
20.89599941,-9.05511800,3.30708700
20.95999941,-7.87401500,3.30708700
21.02399941,-17.32283000,3.22834600
21.08799940,-5.90551100,3.30708700
21.15199940,-11.41732000,3.30708700
21.21599940,-10.62992000,3.30708700
21.27999940,-5.90551100,3.30708700
21.34399940,-7.08661400,3.30708700
21.40799940,-7.48031400,3.30708700
21.47199939,-2.36220500,3.30708700
21.53599939,-3.14960600,3.30708700
21.59999939,-6.69291300,3.30708700
21.66399939,-3.54330700,3.30708700
