Time,Channel A,Channel B
(us),(mV),(V)

-0.01445161,-25.98425000,0.78740160
0.04954839,-12.99213000,3.22834600
0.11354839,-11.02362000,3.30708700
0.17754838,-9.44881800,3.22834600
0.24154838,-7.87401500,3.22834600
0.30554838,-7.87401500,3.22834600
0.36954838,-4.72440900,3.30708700
0.43354838,-2.36220500,3.22834600
0.49754837,-1.18110200,3.30708700
0.56154837,-1.96850400,3.30708700
0.62554837,1.57480300,3.22834600
0.68954837,-3.93700800,3.30708700
0.75354837,-0.78740150,3.30708700
0.81754837,-3.14960600,3.30708700
0.88154836,-1.57480300,3.30708700
0.94554836,-6.69291300,3.30708700
1.00954836,-2.75590500,3.30708700
1.07354836,-3.54330700,3.30708700
1.13754836,-5.11811000,3.30708700
1.20154835,-2.75590500,3.30708700
1.26554835,0.00000000,3.22834600
1.32954835,3.93700800,3.30708700
1.39354835,-0.78740150,3.30708700
1.45754835,3.54330700,3.30708700
1.52154835,-3.93700800,3.30708700
1.58554834,-0.39370070,3.30708700
1.64954834,-1.18110200,3.22834600
1.71354834,3.14960600,3.30708700
1.77754834,-0.78740150,3.30708700
1.84154834,6.29921200,3.30708700
1.90554833,2.75590500,3.30708700
1.96954833,1.18110200,3.30708700
2.03354833,-0.78740150,3.30708700
2.09754833,1.18110200,3.30708700
2.16154833,-7.48031400,3.30708700
2.22554833,-3.14960600,3.30708700
2.28954832,-3.93700800,3.30708700
2.35354832,-7.08661400,3.30708700
2.41754832,-5.11811000,3.30708700
2.48154832,-2.75590500,3.30708700
2.54554832,-9.05511800,3.30708700
2.60954831,-11.02362000,3.30708700
2.67354831,-4.72440900,3.30708700
2.73754831,-11.41732000,3.30708700
2.80154831,-6.29921200,3.30708700
2.86554831,-1.18110200,3.30708700
2.92954831,-1.96850400,3.30708700
2.99354830,-5.90551100,3.30708700
3.05754830,-2.36220500,3.22834600
3.12154830,-4.72440900,3.30708700
3.18554830,-3.14960600,3.22834600
3.24954830,-1.96850400,3.30708700
3.31354829,2.36220500,3.30708700
3.37754829,-0.78740150,3.30708700
3.44154829,1.18110200,3.30708700
3.50554829,0.00000000,3.30708700
3.56954829,-2.36220500,3.30708700
3.63354829,-2.36220500,3.30708700
3.69754828,-3.54330700,3.30708700
3.76154828,-4.33070900,3.30708700
3.82554828,-2.36220500,3.30708700
3.88954828,0.78740150,3.30708700
3.95354828,3.14960600,3.30708700
4.01754827,-2.75590500,3.30708700
4.08154827,-1.18110200,3.30708700
4.14554827,1.96850400,3.30708700
4.20954827,-6.29921200,3.30708700
4.27354827,1.57480300,3.30708700
4.33754827,0.78740150,3.30708700
4.40154826,3.93700800,3.30708700
4.46554826,-2.36220500,3.30708700
4.52954826,4.33070900,3.30708700
4.59354826,-3.54330700,3.30708700
4.65754826,-4.33070900,3.30708700
4.72154825,-1.57480300,3.30708700
4.78554825,-3.54330700,3.30708700
4.84954825,-7.08661400,3.30708700
4.91354825,-4.72440900,3.30708700
4.97754825,-5.90551100,3.30708700
5.04154825,-10.23622000,3.30708700
5.10554824,-8.26771600,3.30708700
5.16954824,-8.66141700,3.30708700
5.23354824,-12.20472000,3.30708700
5.29754824,-10.62992000,3.30708700
5.36154824,-9.84251900,3.30708700
5.42554823,-11.02362000,3.30708700
5.48954823,-2.75590500,3.30708700
5.55354823,-7.48031400,3.30708700
5.61754823,-3.93700800,3.30708700
5.68154823,-13.38583000,3.30708700
5.74554823,-3.14960600,3.30708700
5.80954822,-5.90551100,3.30708700
5.87354822,-2.75590500,3.30708700
5.93754822,-1.18110200,3.30708700
6.00154822,0.78740150,3.30708700
6.06554822,-2.36220500,3.30708700
6.12954822,-2.36220500,3.30708700
6.19354821,-1.96850400,3.30708700
6.25754821,-5.51181100,3.30708700
6.32154821,-3.54330700,3.30708700
6.38554821,-3.93700800,3.30708700
6.44954821,-0.78740150,3.30708700
6.51354820,-4.33070900,3.30708700
6.57754820,4.72440900,3.30708700
6.64154820,-7.08661400,3.30708700
6.70554820,-1.57480300,3.30708700
6.76954820,-2.36220500,3.30708700
6.83354820,-2.36220500,3.30708700
6.89754819,-1.57480300,3.30708700
6.96154819,3.54330700,3.30708700
7.02554819,0.78740150,3.30708700
7.08954819,-1.57480300,3.30708700
7.15354819,-0.78740150,3.30708700
7.21754818,-1.57480300,3.30708700
7.28154818,-3.93700800,3.30708700
7.34554818,-1.18110200,3.30708700
7.40954818,-0.78740150,3.30708700
7.47354818,-5.51181100,3.30708700
7.53754818,-3.14960600,3.30708700
7.60154817,-9.44881800,3.30708700
7.66554817,-5.51181100,3.30708700
7.72954817,-11.81102000,3.30708700
7.79354817,-7.08661400,3.30708700
7.85754817,-12.59842000,3.30708700
7.92154816,-8.66141700,3.30708700
7.98554816,-12.99213000,3.30708700
8.04954816,-5.90551100,3.30708700
8.11354816,-7.08661400,3.30708700
8.17754816,-8.26771600,3.30708700
8.24154816,-7.87401500,3.30708700
8.30554815,-12.59842000,3.30708700
8.36954815,-8.26771600,3.30708700
8.43354815,-3.14960600,3.30708700
8.49754815,-3.54330700,3.30708700
8.56154815,-2.36220500,3.30708700
8.62554814,0.78740150,3.30708700
8.68954814,-3.14960600,3.30708700
8.75354814,-4.33070900,3.30708700
8.81754814,-4.33070900,3.30708700
8.88154814,0.00000000,3.30708700
8.94554814,-7.87401500,3.30708700
9.00954813,0.78740150,3.30708700
9.07354813,-6.69291300,3.30708700
9.13754813,-3.93700800,3.30708700
9.20154813,-4.72440900,3.30708700
9.26554813,-1.57480300,3.30708700
9.32954812,-5.51181100,3.30708700
9.39354812,1.18110200,3.30708700
9.45754812,2.75590500,3.30708700
9.52154812,2.36220500,3.30708700
9.58554812,2.75590500,3.30708700
9.64954812,1.96850400,3.30708700
9.71354811,0.78740150,3.30708700
9.77754811,-1.96850400,3.30708700
9.84154811,3.54330700,3.30708700
9.90554811,1.57480300,3.30708700
9.96954811,2.75590500,3.30708700
10.03354810,1.96850400,3.30708700
10.09754810,3.14960600,3.30708700
10.16154810,-6.69291300,3.30708700
10.22554810,-2.36220500,3.30708700
10.28954810,-5.90551100,3.30708700
10.35354810,-5.90551100,3.30708700
10.41754809,-10.23622000,3.30708700
10.48154809,-4.33070900,3.30708700
10.54554809,-9.44881800,3.30708700
10.60954809,-5.90551100,3.30708700
10.67354809,-5.11811000,3.30708700
10.73754808,-8.66141700,3.30708700
10.80154808,-9.44881800,3.30708700
10.86554808,-5.51181100,3.30708700
10.92954808,-5.11811000,3.30708700
10.99354808,-7.87401500,3.30708700
11.05754808,1.96850400,3.30708700
11.12154807,-5.90551100,3.30708700
11.18554807,-3.93700800,3.30708700
11.24954807,-3.14960600,3.30708700
11.31354807,-1.96850400,3.30708700
11.37754807,-4.33070900,3.30708700
11.44154806,2.36220500,3.30708700
11.50554806,-0.39370070,3.30708700
11.56954806,-0.78740150,3.30708700
11.63354806,-3.14960600,3.30708700
11.69754806,0.39370070,3.30708700
11.76154806,-3.93700800,3.30708700
11.82554805,-3.93700800,3.30708700
11.88954805,-1.57480300,3.30708700
11.95354805,0.00000000,3.30708700
12.01754805,-1.18110200,3.30708700
12.08154805,1.18110200,3.30708700
12.14554804,2.75590500,3.30708700
12.20954804,-2.36220500,3.30708700
12.27354804,0.78740150,3.30708700
12.33754804,-0.39370070,3.30708700
12.40154804,0.78740150,3.30708700
12.46554804,-3.14960600,3.30708700
12.52954803,5.51181100,3.30708700
12.59354803,1.57480300,3.30708700
12.65754803,1.18110200,3.30708700
12.72154803,-0.78740150,3.30708700
12.78554803,-1.96850400,3.30708700
12.84954802,-7.87401500,3.30708700
12.91354802,-4.33070900,3.30708700
12.97754802,-8.66141700,3.30708700
13.04154802,-9.44881800,3.30708700
13.10554802,-7.48031400,3.30708700
13.16954802,-7.48031400,3.30708700
13.23354801,-15.35433000,3.30708700
13.29754801,-12.99213000,3.30708700
13.36154801,-11.02362000,3.30708700
13.42554801,-16.14173000,3.30708700
13.48954801,-9.84251900,3.30708700
13.55354801,-12.59842000,3.30708700
13.61754800,-8.66141700,3.30708700
13.68154800,-10.62992000,3.30708700
13.74554800,-12.59842000,3.30708700
13.80954800,-12.59842000,3.30708700
13.87354800,-11.02362000,3.30708700
13.93754799,-9.84251900,3.30708700
14.00154799,-4.72440900,3.30708700
14.06554799,-7.08661400,3.30708700
14.12954799,-1.96850400,3.30708700
14.19354799,-3.54330700,3.30708700
14.25754799,-4.33070900,3.30708700
14.32154798,-3.93700800,3.30708700
14.38554798,-6.29921200,3.30708700
14.44954798,-4.72440900,3.30708700
14.51354798,-6.29921200,3.30708700
14.57754798,-0.39370070,3.30708700
14.64154797,-5.51181100,3.30708700
14.70554797,-1.57480300,3.30708700
14.76954797,-4.33070900,3.30708700
14.83354797,-2.75590500,3.30708700
14.89754797,-9.05511800,3.30708700
14.96154797,0.39370070,3.30708700
15.02554796,-2.75590500,3.30708700
15.08954796,-1.96850400,3.30708700
15.15354796,-1.96850400,3.30708700
15.21754796,4.72440900,3.30708700
15.28154796,-8.26771600,3.30708700
15.34554795,-2.36220500,3.30708700
15.40954795,-4.33070900,3.30708700
15.47354795,-7.87401500,3.30708700
15.53754795,-5.90551100,3.30708700
15.60154795,-5.90551100,3.30708700
15.66554795,-8.66141700,3.30708700
15.72954794,-11.02362000,3.30708700
15.79354794,-8.66141700,3.30708700
15.85754794,-16.14173000,3.30708700
15.92154794,-14.17323000,3.30708700
15.98554794,-14.56693000,3.30708700
16.04954793,-11.02362000,3.30708700
16.11354793,-15.74803000,3.30708700
16.17754793,-9.05511800,3.30708700
16.24154793,-17.32283000,3.30708700
16.30554793,-10.62992000,3.30708700
16.36954793,-12.99213000,3.30708700
16.43354792,-7.08661400,3.30708700
16.49754792,-7.87401500,3.30708700
16.56154792,-6.69291300,3.30708700
16.62554792,-2.75590500,3.30708700
16.68954792,-2.75590500,3.30708700
16.75354791,-4.72440900,3.30708700
16.81754791,-1.96850400,3.30708700
16.88154791,-4.72440900,3.30708700
16.94554791,-9.05511800,3.30708700
17.00954791,-1.96850400,3.30708700
17.07354791,-3.93700800,3.30708700
17.13754790,-6.29921200,3.30708700
17.20154790,-5.51181100,3.30708700
17.26554790,-1.96850400,3.30708700
17.32954790,-8.66141700,3.30708700
17.39354790,-1.57480300,3.30708700
17.45754789,-5.11811000,3.30708700
17.52154789,-5.51181100,3.30708700
17.58554789,-0.78740150,3.30708700
17.64954789,0.00000000,3.30708700
17.71354789,-3.14960600,3.30708700
17.77754789,-5.11811000,3.30708700
17.84154788,-1.57480300,3.30708700
17.90554788,-3.14960600,3.30708700
17.96954788,-7.08661400,3.30708700
18.03354788,-4.33070900,3.30708700
18.09754788,-4.72440900,3.30708700
18.16154787,-7.48031400,3.30708700
18.22554787,-4.72440900,3.30708700
18.28954787,-9.44881800,3.30708700
18.35354787,-9.44881800,3.30708700
18.41754787,-14.56693000,3.30708700
18.48154787,-9.44881800,3.30708700
18.54554786,-16.53543000,3.30708700
18.60954786,-15.35433000,3.30708700
18.67354786,-12.99213000,3.30708700
18.73754786,-9.84251900,3.30708700
18.80154786,-13.38583000,3.30708700
18.86554785,-9.44881800,3.30708700
18.92954785,-12.59842000,3.30708700
18.99354785,-13.77953000,3.30708700
19.05754785,-9.84251900,3.30708700
19.12154785,-7.87401500,3.30708700
19.18554785,-8.26771600,3.30708700
19.24954784,-6.29921200,3.30708700
19.31354784,-2.75590500,3.30708700
19.37754784,-8.66141700,3.30708700
19.44154784,-6.29921200,3.30708700
19.50554784,-7.08661400,3.30708700
19.56954783,-5.51181100,3.30708700
19.63354783,-8.66141700,3.30708700
19.69754783,-0.39370070,3.30708700
19.76154783,-5.90551100,3.30708700
19.82554783,-5.11811000,3.30708700
19.88954783,-4.72440900,3.30708700
19.95354782,-3.14960600,3.30708700
20.01754782,-11.81102000,3.30708700
20.08154782,-1.57480300,3.30708700
20.14554782,-5.11811000,3.30708700
20.20954782,-4.72440900,3.30708700
20.27354782,0.39370070,3.30708700
20.33754781,-5.51181100,3.30708700
20.40154781,-3.54330700,3.30708700
20.46554781,-8.66141700,3.30708700
20.52954781,-4.33070900,3.30708700
20.59354781,-6.69291300,3.30708700
20.65754780,-5.51181100,3.30708700
20.72154780,-4.33070900,3.30708700
20.78554780,-3.14960600,3.30708700
20.84954780,-8.66141700,3.30708700
20.91354780,-5.51181100,3.30708700
20.97754780,-12.20472000,3.30708700
21.04154779,-12.99213000,3.30708700
21.10554779,-13.77953000,3.30708700
21.16954779,-8.66141700,3.30708700
21.23354779,-12.99213000,3.30708700
21.29754779,-8.26771600,3.30708700
21.36154778,-9.84251900,3.30708700
21.42554778,-15.35433000,3.30708700
21.48954778,-12.99213000,3.30708700
21.55354778,-14.17323000,3.30708700
21.61754778,-12.20472000,3.30708700
21.68154778,-14.17323000,3.30708700
21.74554777,-6.69291300,3.30708700
