Time,Channel A,Channel B
(us),(mV),(V)

-0.01445161,-3.14960600,0.78740160
0.04954839,-1.18110200,3.22834600
0.11354839,-7.08661400,3.22834600
0.17754838,-5.90551100,3.22834600
0.24154838,-6.29921200,3.22834600
0.30554838,-4.33070900,3.22834600
0.36954838,-8.26771600,3.22834600
0.43354838,-2.75590500,3.22834600
0.49754837,-3.14960600,3.22834600
0.56154837,-5.51181100,3.22834600
0.62554837,-2.36220500,3.22834600
0.68954837,-0.39370070,3.22834600
0.75354837,-6.29921200,3.22834600
0.81754837,-6.29921200,3.22834600
0.88154836,-1.57480300,3.30708700
0.94554836,-9.05511800,3.22834600
1.00954836,-4.33070900,3.22834600
1.07354836,-2.36220500,3.30708700
1.13754836,-2.36220500,3.22834600
1.20154835,-6.69291300,3.22834600
1.26554835,3.14960600,3.22834600
1.32954835,-5.90551100,3.22834600
1.39354835,-3.93700800,3.22834600
1.45754835,-2.36220500,3.22834600
1.52154835,-0.78740150,3.22834600
1.58554834,-6.69291300,3.22834600
1.64954834,0.00000000,3.22834600
1.71354834,-0.78740150,3.22834600
1.77754834,-4.33070900,3.30708700
1.84154834,-0.78740150,3.22834600
1.90554833,-1.18110200,3.22834600
1.96954833,-2.36220500,3.30708700
2.03354833,-2.75590500,3.22834600
2.09754833,1.57480300,3.30708700
2.16154833,-3.54330700,3.30708700
2.22554833,-2.75590500,3.22834600
2.28954832,-4.72440900,3.22834600
2.35354832,-1.18110200,3.22834600
2.41754832,-7.48031400,3.22834600
2.48154832,-0.78740150,3.22834600
2.54554832,-3.54330700,3.22834600
2.60954831,-0.78740150,3.22834600
2.67354831,-3.93700800,3.22834600
2.73754831,1.18110200,3.22834600
2.80154831,-4.72440900,3.22834600
2.86554831,-3.54330700,3.30708700
2.92954831,-0.78740150,3.22834600
2.99354830,-1.57480300,3.22834600
3.05754830,-2.75590500,3.22834600
3.12154830,0.39370070,3.22834600
3.18554830,2.36220500,3.22834600
3.24954830,-4.72440900,3.30708700
3.31354829,1.18110200,3.22834600
3.37754829,-1.96850400,3.22834600
3.44154829,-3.14960600,3.22834600
3.50554829,-3.14960600,3.22834600
3.56954829,0.78740150,3.22834600
3.63354829,-5.90551100,3.22834600
3.69754828,0.00000000,3.22834600
3.76154828,-2.75590500,3.30708700
3.82554828,-3.14960600,3.30708700
3.88954828,-5.90551100,3.22834600
3.95354828,1.96850400,3.22834600
4.01754827,-5.11811000,3.22834600
4.08154827,-1.96850400,3.30708700
4.14554827,-0.78740150,3.30708700
4.20954827,-2.75590500,3.30708700
4.27354827,-3.14960600,3.30708700
4.33754827,-3.14960600,3.22834600
4.40154826,-0.39370070,3.22834600
4.46554826,-6.69291300,3.30708700
4.52954826,0.39370070,3.30708700
4.59354826,-2.75590500,3.22834600
4.65754826,-1.57480300,3.22834600
4.72154825,-5.11811000,3.22834600
4.78554825,0.39370070,3.30708700
4.84954825,-7.48031400,3.22834600
4.91354825,-4.33070900,3.30708700
4.97754825,-6.29921200,3.22834600
5.04154825,-3.54330700,3.22834600
5.10554824,-7.48031400,3.30708700
5.16954824,0.00000000,3.30708700
5.23354824,-5.90551100,3.22834600
5.29754824,-4.72440900,3.22834600
5.36154824,-4.33070900,3.22834600
5.42554823,-3.54330700,3.22834600
5.48954823,-5.90551100,3.22834600
5.55354823,-4.72440900,3.22834600
5.61754823,-1.57480300,3.30708700
5.68154823,-6.29921200,3.22834600
5.74554823,1.18110200,3.22834600
5.80954822,-3.14960600,3.22834600
5.87354822,-1.96850400,3.22834600
5.93754822,-5.51181100,3.22834600
6.00154822,0.78740150,3.22834600
6.06554822,-5.90551100,3.30708700
6.12954822,-1.57480300,3.22834600
6.19354821,-3.93700800,3.30708700
6.25754821,-1.57480300,3.30708700
6.32154821,-5.90551100,3.22834600
6.38554821,-2.75590500,3.22834600
6.44954821,-4.33070900,3.22834600
6.51354820,-5.51181100,3.22834600
6.57754820,-2.75590500,3.30708700
6.64154820,-1.18110200,3.30708700
6.70554820,-3.14960600,3.30708700
6.76954820,-3.93700800,3.30708700
6.83354820,0.78740150,3.30708700
6.89754819,-5.11811000,3.30708700
6.96154819,-3.93700800,3.30708700
7.02554819,-2.75590500,3.30708700
7.08954819,-0.39370070,3.30708700
7.15354819,-7.87401500,3.30708700
7.21754818,2.75590500,3.30708700
7.28154818,-3.54330700,3.30708700
7.34554818,-2.36220500,3.30708700
7.40954818,-3.14960600,3.22834600
7.47354818,-0.39370070,3.30708700
7.53754818,-10.62992000,3.30708700
7.60154817,-4.72440900,3.30708700
7.66554817,-1.96850400,3.30708700
7.72954817,-7.87401500,3.30708700
7.79354817,-4.72440900,3.30708700
7.85754817,-3.14960600,3.22834600
7.92154816,-5.51181100,3.30708700
7.98554816,-7.48031400,3.30708700
8.04954816,-0.78740150,3.30708700
8.11354816,-7.48031400,3.30708700
8.17754816,-4.33070900,3.22834600
8.24154816,-2.75590500,3.30708700
8.30554815,-1.96850400,3.22834600
8.36954815,-7.08661400,3.22834600
8.43354815,1.18110200,3.30708700
8.49754815,-4.72440900,3.30708700
8.56154815,-2.75590500,3.30708700
8.62554814,-4.72440900,3.22834600
8.68954814,0.00000000,3.30708700
8.75354814,-3.93700800,3.22834600
8.81754814,-1.96850400,3.30708700
8.88154814,-1.96850400,3.30708700
8.94554814,-5.51181100,3.30708700
9.00954813,-5.90551100,3.30708700
9.07354813,-5.90551100,3.30708700
9.13754813,-2.36220500,3.30708700
9.20154813,-7.87401500,3.30708700
9.26554813,-0.78740150,3.30708700
9.32954812,-1.57480300,3.30708700
9.39354812,-1.18110200,3.30708700
9.45754812,-3.54330700,3.30708700
9.52154812,1.96850400,3.30708700
9.58554812,-6.29921200,3.30708700
9.64954812,-1.18110200,3.30708700
9.71354811,0.00000000,3.30708700
9.77754811,0.39370070,3.30708700
9.84154811,-3.54330700,3.30708700
9.90554811,5.11811000,3.30708700
9.96954811,-0.78740150,3.30708700
10.03354810,-2.36220500,3.30708700
10.09754810,0.00000000,3.30708700
10.16154810,-2.36220500,3.30708700
10.22554810,-4.72440900,3.22834600
10.28954810,-2.75590500,3.30708700
10.35354810,0.00000000,3.30708700
10.41754809,-7.87401500,3.30708700
10.48154809,-1.57480300,3.30708700
10.54554809,-4.33070900,3.22834600
10.60954809,-2.75590500,3.22834600
10.67354809,-6.69291300,3.30708700
10.73754808,0.39370070,3.30708700
10.80154808,-4.72440900,3.30708700
10.86554808,-1.96850400,3.22834600
10.92954808,-2.36220500,3.30708700
10.99354808,-1.18110200,3.30708700
11.05754808,-4.72440900,3.30708700
11.12154807,0.00000000,3.30708700
11.18554807,-2.75590500,3.30708700
11.24954807,-3.14960600,3.30708700
11.31354807,0.00000000,3.30708700
11.37754807,0.78740150,3.30708700
11.44154806,-1.96850400,3.30708700
11.50554806,-2.36220500,3.30708700
11.56954806,0.39370070,3.30708700
11.63354806,-7.48031400,3.30708700
11.69754806,-1.57480300,3.30708700
11.76154806,-4.33070900,3.30708700
11.82554805,-1.96850400,3.30708700
11.88954805,-5.51181100,3.30708700
11.95354805,2.75590500,3.30708700
12.01754805,-4.72440900,3.30708700
12.08154805,-2.36220500,3.30708700
12.14554804,-2.75590500,3.30708700
12.20954804,-2.75590500,3.30708700
12.27354804,-4.72440900,3.30708700
12.33754804,-1.57480300,3.30708700
12.40154804,-1.96850400,3.30708700
12.46554804,-3.14960600,3.30708700
12.52954803,-0.39370070,3.30708700
12.59354803,-1.57480300,3.22834600
12.65754803,-2.36220500,3.30708700
12.72154803,-4.33070900,3.30708700
12.78554803,-0.78740150,3.30708700
12.84954802,-6.29921200,3.30708700
12.91354802,-3.93700800,3.30708700
12.97754802,-6.69291300,3.30708700
13.04154802,-3.14960600,3.30708700
13.10554802,-10.62992000,3.30708700
13.16954802,-4.72440900,3.30708700
13.23354801,-9.44881800,3.22834600
13.29754801,-6.69291300,3.30708700
13.36154801,-8.66141700,3.22834600
13.42554801,-3.14960600,3.22834600
13.48954801,-8.26771600,3.30708700
13.55354801,-8.66141700,3.22834600
13.61754800,-3.54330700,3.30708700
13.68154800,-9.05511800,3.30708700
13.74554800,-10.23622000,3.22834600
13.80954800,-5.11811000,3.22834600
13.87354800,-4.72440900,3.22834600
13.93754799,-10.23622000,3.22834600
14.00154799,-1.18110200,3.30708700
14.06554799,-7.48031400,3.22834600
14.12954799,-7.87401500,3.30708700
14.19354799,-6.69291300,3.30708700
14.25754799,-4.72440900,3.30708700
14.32154798,-13.77953000,3.30708700
14.38554798,-3.93700800,3.30708700
14.44954798,-6.29921200,3.30708700
14.51354798,-7.48031400,3.30708700
14.57754798,-6.69291300,3.30708700
14.64154797,-3.54330700,3.30708700
14.70554797,-9.05511800,3.30708700
14.76954797,-7.08661400,3.30708700
14.83354797,-3.93700800,3.30708700
14.89754797,-9.05511800,3.30708700
14.96154797,-5.51181100,3.30708700
15.02554796,-4.72440900,3.30708700
15.08954796,-2.36220500,3.30708700
15.15354796,-9.44881800,3.30708700
15.21754796,-2.36220500,3.30708700
15.28154796,-6.29921200,3.30708700
15.34554795,-4.33070900,3.30708700
15.40954795,-7.48031400,3.30708700
15.47354795,-2.75590500,3.30708700
15.53754795,-9.44881800,3.30708700
15.60154795,-6.29921200,3.30708700
15.66554795,-7.48031400,3.30708700
15.72954794,-8.66141700,3.30708700
15.79354794,-12.99213000,3.30708700
15.85754794,-7.08661400,3.30708700
15.92154794,-8.66141700,3.30708700
15.98554794,-10.62992000,3.22834600
16.04954793,-6.29921200,3.30708700
16.11354793,-7.87401500,3.22834600
16.17754793,-8.26771600,3.30708700
16.24154793,-11.81102000,3.30708700
16.30554793,-4.72440900,3.22834600
16.36954793,-12.59842000,3.22834600
16.43354792,-5.51181100,3.30708700
16.49754792,-6.29921200,3.30708700
16.56154792,-4.33070900,3.30708700
16.62554792,-9.05511800,3.30708700
16.68954792,0.00000000,3.30708700
16.75354791,-6.69291300,3.30708700
16.81754791,-6.29921200,3.22834600
16.88154791,-5.90551100,3.30708700
16.94554791,-5.51181100,3.30708700
17.00954791,-8.66141700,3.30708700
17.07354791,-5.51181100,3.30708700
17.13754790,-4.72440900,3.30708700
17.20154790,-9.44881800,3.30708700
17.26554790,-6.29921200,3.22834600
17.32954790,-5.11811000,3.30708700
17.39354790,-6.29921200,3.30708700
17.45754789,-9.05511800,3.30708700
17.52154789,-0.78740150,3.30708700
17.58554789,-7.48031400,3.30708700
17.64954789,-4.33070900,3.30708700
17.71354789,-5.90551100,3.30708700
17.77754789,-3.93700800,3.30708700
17.84154788,-11.02362000,3.30708700
17.90554788,-1.57480300,3.30708700
17.96954788,-5.90551100,3.30708700
18.03354788,-6.69291300,3.30708700
18.09754788,-4.72440900,3.30708700
18.16154787,-3.93700800,3.30708700
18.22554787,-10.23622000,3.30708700
18.28954787,-8.66141700,3.30708700
18.35354787,-6.69291300,3.30708700
18.41754787,-12.99213000,3.30708700
18.48154787,-7.87401500,3.30708700
18.54554786,-8.66141700,3.30708700
18.60954786,-9.84251900,3.30708700
18.67354786,-9.44881800,3.30708700
18.73754786,-3.93700800,3.30708700
18.80154786,-10.62992000,3.30708700
18.86554785,-7.08661400,3.22834600
18.92954785,-9.44881800,3.22834600
18.99354785,-4.72440900,3.22834600
19.05754785,-8.66141700,3.30708700
19.12154785,-2.36220500,3.30708700
19.18554785,-5.51181100,3.30708700
19.24954784,-3.14960600,3.22834600
19.31354784,-5.11811000,3.30708700
19.37754784,-4.33070900,3.30708700
19.44154784,-5.51181100,3.22834600
19.50554784,-7.48031400,3.30708700
19.56954783,-3.54330700,3.30708700
19.63354783,-7.08661400,3.30708700
19.69754783,-5.90551100,3.30708700
19.76154783,-6.69291300,3.30708700
19.82554783,-2.75590500,3.30708700
19.88954783,-10.62992000,3.30708700
19.95354782,-3.54330700,3.30708700
20.01754782,-6.69291300,3.30708700
20.08154782,-5.90551100,3.30708700
20.14554782,-6.69291300,3.30708700
20.20954782,-0.39370070,3.30708700
20.27354782,-9.05511800,3.30708700
20.33754781,-5.90551100,3.30708700
20.40154781,-4.33070900,3.30708700
20.46554781,-7.08661400,3.30708700
20.52954781,-9.44881800,3.30708700
20.59354781,-1.57480300,3.30708700
20.65754780,-5.90551100,3.30708700
20.72154780,-7.48031400,3.30708700
20.78554780,-1.18110200,3.30708700
20.84954780,-8.26771600,3.30708700
20.91354780,-9.44881800,3.30708700
20.97754780,-8.66141700,3.30708700
21.04154779,-5.90551100,3.22834600
21.10554779,-14.56693000,3.30708700
21.16954779,-5.11811000,3.30708700
21.23354779,-8.66141700,3.30708700
21.29754779,-7.08661400,3.30708700
21.36154778,-8.66141700,3.30708700
21.42554778,-4.33070900,3.22834600
21.48954778,-10.23622000,3.22834600
21.55354778,-7.48031400,3.30708700
21.61754778,-5.90551100,3.30708700
21.68154778,-5.90551100,3.30708700
