Time,Channel A,Channel B
(us),(mV),(V)

-0.01445161,0.00000000,0.78740160
0.04954839,-7.08661400,3.22834600
0.11354839,-4.33070900,3.22834600
0.17754838,-4.33070900,3.22834600
0.24154838,-5.11811000,3.22834600
0.30554838,-6.29921200,3.22834600
0.36954838,0.00000000,3.22834600
0.43354838,-8.66141700,3.22834600
0.49754837,-2.75590500,3.22834600
0.56154837,-5.51181100,3.22834600
0.62554837,-1.96850400,3.22834600
0.68954837,-7.48031400,3.22834600
0.75354837,-1.18110200,3.22834600
0.81754837,-6.69291300,3.22834600
0.88154836,-5.90551100,3.22834600
0.94554836,-5.11811000,3.22834600
1.00954836,-5.11811000,3.22834600
1.07354836,-7.08661400,3.22834600
1.13754836,-3.14960600,3.22834600
1.20154835,-1.96850400,3.22834600
1.26554835,-3.93700800,3.22834600
1.32954835,-0.78740150,3.22834600
1.39354835,-1.18110200,3.22834600
1.45754835,-2.75590500,3.22834600
1.52154835,-5.11811000,3.22834600
1.58554834,-0.78740150,3.22834600
1.64954834,-5.90551100,3.22834600
1.71354834,-0.78740150,3.22834600
1.77754834,-2.75590500,3.30708700
1.84154834,1.18110200,3.22834600
1.90554833,-6.69291300,3.22834600
1.96954833,0.00000000,3.22834600
2.03354833,-3.93700800,3.22834600
2.09754833,-5.11811000,3.30708700
2.16154833,-5.51181100,3.30708700
2.22554833,-1.57480300,3.22834600
2.28954832,-5.11811000,3.22834600
2.35354832,-4.72440900,3.22834600
2.41754832,0.00000000,3.22834600
2.48154832,-6.69291300,3.22834600
2.54554832,-2.36220500,3.22834600
2.60954831,-1.57480300,3.22834600
2.67354831,-0.78740150,3.22834600
2.73754831,-6.29921200,3.22834600
2.80154831,3.14960600,3.22834600
2.86554831,-3.54330700,3.30708700
2.92954831,-2.36220500,3.22834600
2.99354830,-1.57480300,3.22834600
3.05754830,0.00000000,3.22834600
3.12154830,-5.90551100,3.30708700
3.18554830,3.54330700,3.22834600
3.24954830,-1.96850400,3.22834600
3.31354829,-3.14960600,3.22834600
3.37754829,-0.39370070,3.30708700
3.44154829,-0.39370070,3.22834600
3.50554829,-6.69291300,3.30708700
3.56954829,-4.33070900,3.30708700
3.63354829,0.39370070,3.30708700
3.69754828,-6.29921200,3.22834600
3.76154828,-0.39370070,3.22834600
3.82554828,-2.36220500,3.22834600
3.88954828,-1.57480300,3.22834600
3.95354828,-4.33070900,3.30708700
4.01754827,2.75590500,3.22834600
4.08154827,-4.72440900,3.22834600
4.14554827,-2.36220500,3.30708700
4.20954827,-2.75590500,3.30708700
4.27354827,0.78740150,3.22834600
4.33754827,-4.72440900,3.30708700
4.40154826,-1.96850400,3.30708700
4.46554826,-1.96850400,3.22834600
4.52954826,-3.93700800,3.30708700
4.59354826,-3.14960600,3.30708700
4.65754826,-1.57480300,3.22834600
4.72154825,-4.33070900,3.30708700
4.78554825,-6.69291300,3.22834600
4.84954825,-1.57480300,3.30708700
4.91354825,-7.48031400,3.30708700
4.97754825,-6.69291300,3.30708700
5.04154825,-5.90551100,3.30708700
5.10554824,-1.96850400,3.30708700
5.16954824,-8.66141700,3.30708700
5.23354824,-0.39370070,3.22834600
5.29754824,-3.93700800,3.22834600
5.36154824,-3.93700800,3.22834600
5.42554823,-5.11811000,3.22834600
5.48954823,0.00000000,3.22834600
5.55354823,-7.87401500,3.22834600
5.61754823,-3.54330700,3.30708700
5.68154823,-1.18110200,3.22834600
5.74554823,-3.93700800,3.22834600
5.80954822,-2.36220500,3.22834600
5.87354822,-1.96850400,3.22834600
5.93754822,-1.18110200,3.30708700
6.00154822,-7.08661400,3.30708700
6.06554822,-0.39370070,3.30708700
6.12954822,-5.51181100,3.30708700
6.19354821,-5.11811000,3.30708700
6.25754821,-4.72440900,3.30708700
6.32154821,-0.39370070,3.30708700
6.38554821,-8.66141700,3.30708700
6.44954821,-2.36220500,3.30708700
6.51354820,-3.14960600,3.30708700
6.57754820,-3.54330700,3.30708700
6.64154820,-6.29921200,3.30708700
6.70554820,2.36220500,3.30708700
6.76954820,-3.93700800,3.30708700
6.83354820,-3.93700800,3.30708700
6.89754819,0.78740150,3.30708700
6.96154819,-4.33070900,3.30708700
7.02554819,-5.51181100,3.30708700
7.08954819,-2.36220500,3.30708700
7.15354819,-0.39370070,3.30708700
7.21754818,-8.66141700,3.30708700
7.28154818,1.96850400,3.30708700
7.34554818,-4.33070900,3.22834600
7.40954818,-4.33070900,3.30708700
7.47354818,-7.48031400,3.30708700
7.53754818,-2.36220500,3.30708700
7.60154817,-10.62992000,3.30708700
7.66554817,-3.14960600,3.30708700
7.72954817,-3.93700800,3.30708700
7.79354817,-5.90551100,3.22834600
7.85754817,-5.11811000,3.22834600
7.92154816,-1.96850400,3.30708700
7.98554816,-5.90551100,3.22834600
8.04954816,-5.90551100,3.30708700
8.11354816,-1.18110200,3.22834600
8.17754816,-5.11811000,3.30708700
8.24154816,-2.36220500,3.30708700
8.30554815,-4.33070900,3.30708700
8.36954815,-1.18110200,3.30708700
8.43354815,-5.11811000,3.22834600
8.49754815,-0.39370070,3.22834600
8.56154815,-5.11811000,3.22834600
8.62554814,-1.96850400,3.30708700
8.68954814,-5.90551100,3.30708700
8.75354814,1.57480300,3.30708700
8.81754814,-5.90551100,3.30708700
8.88154814,-3.54330700,3.30708700
8.94554814,-4.72440900,3.30708700
9.00954813,-3.93700800,3.30708700
9.07354813,-6.69291300,3.30708700
9.13754813,-3.54330700,3.30708700
9.20154813,-1.18110200,3.30708700
9.26554813,-5.51181100,3.22834600
9.32954812,1.96850400,3.30708700
9.39354812,-1.18110200,3.30708700
9.45754812,-2.36220500,3.22834600
9.52154812,-3.54330700,3.30708700
9.58554812,2.75590500,3.30708700
9.64954812,-5.51181100,3.30708700
9.71354811,0.39370070,3.30708700
9.77754811,-0.78740150,3.30708700
9.84154811,0.39370070,3.30708700
9.90554811,-2.75590500,3.30708700
9.96954811,2.75590500,3.30708700
10.03354810,-4.33070900,3.30708700
10.09754810,-3.14960600,3.30708700
10.16154810,-1.96850400,3.22834600
10.22554810,-3.14960600,3.30708700
10.28954810,-5.11811000,3.22834600
10.35354810,-1.96850400,3.30708700
10.41754809,-1.18110200,3.30708700
10.48154809,-7.08661400,3.30708700
10.54554809,-0.78740150,3.30708700
10.60954809,-3.93700800,3.30708700
10.67354809,-1.18110200,3.22834600
10.73754808,-3.14960600,3.30708700
10.80154808,3.14960600,3.22834600
10.86554808,-5.51181100,3.30708700
10.92954808,0.00000000,3.30708700
10.99354808,-1.57480300,3.22834600
11.05754808,-1.96850400,3.30708700
11.12154807,-5.11811000,3.30708700
11.18554807,1.96850400,3.30708700
11.24954807,-1.18110200,3.30708700
11.31354807,-2.36220500,3.30708700
11.37754807,1.57480300,3.30708700
11.44154806,-1.96850400,3.30708700
11.50554806,-5.11811000,3.30708700
11.56954806,-2.36220500,3.22834600
11.63354806,-0.78740150,3.30708700
11.69754806,-7.08661400,3.30708700
11.76154806,0.78740150,3.30708700
11.82554805,-0.78740150,3.30708700
11.88954805,-1.57480300,3.30708700
11.95354805,-3.14960600,3.30708700
12.01754805,3.14960600,3.30708700
12.08154805,-5.90551100,3.30708700
12.14554804,0.78740150,3.30708700
12.20954804,-1.96850400,3.30708700
12.27354804,-0.39370070,3.30708700
12.33754804,-3.93700800,3.22834600
12.40154804,1.18110200,3.30708700
12.46554804,-3.14960600,3.30708700
12.52954803,-3.54330700,3.30708700
12.59354803,-1.96850400,3.30708700
12.65754803,-2.75590500,3.30708700
12.72154803,-2.75590500,3.30708700
12.78554803,-4.72440900,3.30708700
12.84954802,-1.96850400,3.30708700
12.91354802,-6.69291300,3.30708700
12.97754802,-3.54330700,3.30708700
13.04154802,-6.29921200,3.30708700
13.10554802,-4.72440900,3.30708700
13.16954802,-9.05511800,3.30708700
13.23354801,-1.96850400,3.30708700
13.29754801,-5.51181100,3.22834600
13.36154801,-3.14960600,3.22834600
13.42554801,-4.33070900,3.30708700
13.48954801,-0.78740150,3.30708700
13.55354801,-9.44881800,3.30708700
13.61754800,-3.93700800,3.22834600
13.68154800,-5.51181100,3.30708700
13.74554800,-10.62992000,3.22834600
13.80954800,-4.33070900,3.30708700
13.87354800,-1.18110200,3.22834600
13.93754799,-6.69291300,3.30708700
14.00154799,-7.87401500,3.30708700
14.06554799,0.39370070,3.22834600
14.12954799,-11.02362000,3.22834600
14.19354799,-5.90551100,3.30708700
14.25754799,-6.29921200,3.30708700
14.32154798,-2.75590500,3.30708700
14.38554798,-10.62992000,3.30708700
14.44954798,0.00000000,3.30708700
14.51354798,-9.05511800,3.30708700
14.57754798,-7.87401500,3.30708700
14.64154797,-4.33070900,3.30708700
14.70554797,-3.54330700,3.30708700
14.76954797,-7.87401500,3.30708700
14.83354797,-0.78740150,3.22834600
14.89754797,1.96850400,3.30708700
14.96154797,-7.87401500,3.22834600
15.02554796,-4.33070900,3.30708700
15.08954796,-5.51181100,3.30708700
15.15354796,-7.08661400,3.30708700
15.21754796,-6.69291300,3.30708700
15.28154796,-0.78740150,3.30708700
15.34554795,-8.26771600,3.30708700
15.40954795,-3.14960600,3.30708700
15.47354795,-6.69291300,3.30708700
15.53754795,-5.90551100,3.30708700
15.60154795,-13.77953000,3.30708700
15.66554795,-5.51181100,3.30708700
15.72954794,-6.69291300,3.30708700
15.79354794,-7.48031400,3.30708700
15.85754794,-7.48031400,3.30708700
15.92154794,-5.90551100,3.22834600
15.98554794,-10.23622000,3.30708700
16.04954793,-7.08661400,3.30708700
16.11354793,-5.90551100,3.22834600
16.17754793,-11.81102000,3.30708700
16.24154793,-7.48031400,3.30708700
16.30554793,-6.69291300,3.22834600
16.36954793,-5.11811000,3.22834600
16.43354792,-10.23622000,3.30708700
16.49754792,-2.36220500,3.30708700
16.56154792,-8.66141700,3.30708700
16.62554792,-5.51181100,3.30708700
16.68954792,-6.29921200,3.30708700
16.75354791,-2.75590500,3.30708700
16.81754791,-8.26771600,3.30708700
16.88154791,-2.36220500,3.30708700
16.94554791,-5.90551100,3.30708700
17.00954791,-8.26771600,3.30708700
17.07354791,-9.84251900,3.30708700
17.13754790,-5.90551100,3.30708700
17.20154790,-9.44881800,3.30708700
17.26554790,-7.87401500,3.30708700
17.32954790,-3.14960600,3.30708700
17.39354790,-5.51181100,3.30708700
17.45754789,-3.93700800,3.22834600
17.52154789,-6.69291300,3.30708700
17.58554789,-2.75590500,3.30708700
17.64954789,-10.62992000,3.30708700
17.71354789,-2.36220500,3.30708700
17.77754789,-6.29921200,3.22834600
17.84154788,-5.11811000,3.30708700
17.90554788,-7.87401500,3.30708700
17.96954788,-2.36220500,3.30708700
18.03354788,-9.44881800,3.30708700
18.09754788,-7.48031400,3.30708700
18.16154787,-7.08661400,3.30708700
18.22554787,-11.41732000,3.30708700
18.28954787,-9.44881800,3.30708700
18.35354787,-5.51181100,3.30708700
18.41754787,-9.44881800,3.30708700
18.48154787,-11.02362000,3.30708700
18.54554786,-5.11811000,3.30708700
18.60954786,-12.59842000,3.30708700
18.67354786,-9.44881800,3.30708700
18.73754786,-7.87401500,3.22834600
18.80154786,-5.51181100,3.30708700
18.86554785,-11.02362000,3.30708700
18.92954785,-2.75590500,3.22834600
18.99354785,-9.84251900,3.30708700
19.05754785,-8.26771600,3.30708700
19.12154785,-7.48031400,3.30708700
19.18554785,-3.54330700,3.30708700
19.24954784,-9.05511800,3.30708700
19.31354784,-4.33070900,3.30708700
19.37754784,-3.93700800,3.30708700
19.44154784,-7.08661400,3.30708700
19.50554784,-6.29921200,3.30708700
19.56954783,-8.66141700,3.30708700
19.63354783,-7.87401500,3.30708700
19.69754783,-10.23622000,3.30708700
19.76154783,-3.93700800,3.30708700
19.82554783,-9.05511800,3.30708700
19.88954783,-4.72440900,3.30708700
19.95354782,-6.69291300,3.30708700
20.01754782,-3.14960600,3.22834600
20.08154782,-8.26771600,3.30708700
20.14554782,-5.51181100,3.30708700
20.20954782,-6.29921200,3.30708700
20.27354782,-4.33070900,3.30708700
20.33754781,-7.87401500,3.30708700
20.40154781,-3.14960600,3.30708700
20.46554781,-7.87401500,3.30708700
20.52954781,-7.48031400,3.30708700
20.59354781,-4.72440900,3.30708700
20.65754780,-8.26771600,3.30708700
20.72154780,-8.66141700,3.30708700
20.78554780,-7.08661400,3.30708700
20.84954780,-4.72440900,3.30708700
20.91354780,-14.56693000,3.30708700
20.97754780,-5.11811000,3.30708700
21.04154779,-10.62992000,3.22834600
21.10554779,-9.05511800,3.30708700
21.16954779,-11.41732000,3.30708700
21.23354779,-4.72440900,3.30708700
21.29754779,-12.20472000,3.22834600
21.36154778,-5.90551100,3.30708700
21.42554778,-4.33070900,3.22834600
21.48954778,-8.66141700,3.22834600
21.55354778,-9.44881800,3.22834600
21.61754778,-5.51181100,3.22834600
21.68154778,-7.87401500,3.22834600
