Time,Channel A,Channel B
(us),(mV),(V)

-0.02560000,-15.74803000,0.07874016
0.03840000,-9.05511800,3.22834600
0.10240000,-7.87401500,3.22834600
0.16640000,-3.93700800,3.22834600
0.23039999,-8.66141700,3.22834600
0.29439999,-5.11811000,3.22834600
0.35839999,-8.66141700,3.22834600
0.42239999,-2.75590500,3.22834600
0.48639999,-10.62992000,3.22834600
0.55039999,-3.54330700,3.22834600
0.61439998,-6.29921200,3.22834600
0.67839998,-4.33070900,3.22834600
0.74239998,-6.69291300,3.22834600
0.80639998,-1.96850400,3.22834600
0.87039998,-6.69291300,3.22834600
0.93439997,-6.29921200,3.22834600
0.99839997,-3.54330700,3.22834600
1.06239997,-7.08661400,3.22834600
1.12639997,-7.87401500,3.22834600
1.19039997,-2.36220500,3.22834600
1.25439997,-3.14960600,3.22834600
1.31839996,-8.66141700,3.22834600
1.38239996,-1.18110200,3.22834600
1.44639996,-5.51181100,3.22834600
1.51039996,-5.90551100,3.22834600
1.57439996,-4.72440900,3.22834600
1.63839995,0.39370070,3.22834600
1.70239995,-9.44881800,3.22834600
1.76639995,1.18110200,3.22834600
1.83039995,-3.14960600,3.22834600
1.89439995,-4.72440900,3.22834600
1.95839995,-5.51181100,3.22834600
2.02239994,0.00000000,3.22834600
2.08639994,-5.90551100,3.22834600
2.15039994,-3.14960600,3.22834600
2.21439994,0.00000000,3.22834600
2.27839994,-5.51181100,3.22834600
2.34239993,-3.14960600,3.30708700
2.40639993,-3.54330700,3.30708700
2.47039993,-3.93700800,3.22834600
2.53439993,-8.26771600,3.22834600
2.59839993,-1.57480300,3.22834600
2.66239993,-5.51181100,3.22834600
2.72639992,-5.11811000,3.22834600
2.79039992,-5.11811000,3.22834600
2.85439992,0.39370070,3.22834600
2.91839992,-7.08661400,3.22834600
2.98239992,-1.96850400,3.22834600
3.04639991,-5.51181100,3.22834600
3.11039991,-3.14960600,3.22834600
3.17439991,-5.11811000,3.22834600
3.23839991,0.39370070,3.22834600
3.30239991,-3.93700800,3.22834600
3.36639991,-4.33070900,3.22834600
3.43039990,0.00000000,3.22834600
3.49439990,-3.14960600,3.30708700
3.55839990,-3.54330700,3.22834600
3.62239990,-3.93700800,3.22834600
3.68639990,0.78740150,3.22834600
3.75039990,-8.26771600,3.22834600
3.81439989,0.00000000,3.22834600
3.87839989,-4.72440900,3.22834600
3.94239989,-2.36220500,3.22834600
4.00639989,-7.48031400,3.22834600
4.07039989,0.00000000,3.22834600
4.13439988,-6.69291300,3.22834600
4.19839988,-4.33070900,3.22834600
4.26239988,-0.78740150,3.22834600
4.32639988,-1.18110200,3.22834600
4.39039988,-5.11811000,3.22834600
4.45439988,-2.75590500,3.22834600
4.51839987,-2.36220500,3.30708700
4.58239987,-6.69291300,3.30708700
4.64639987,-3.14960600,3.30708700
4.71039987,-2.36220500,3.30708700
4.77439987,-3.14960600,3.22834600
4.83839986,-5.90551100,3.30708700
4.90239986,1.57480300,3.22834600
4.96639986,-8.66141700,3.30708700
5.03039986,-5.51181100,3.22834600
5.09439986,-5.51181100,3.30708700
5.15839986,-2.75590500,3.30708700
5.22239985,-11.02362000,3.22834600
5.28639985,-1.18110200,3.22834600
5.35039985,-7.48031400,3.22834600
5.41439985,-7.87401500,3.22834600
5.47839985,-3.54330700,3.22834600
5.54239984,-4.33070900,3.22834600
5.60639984,-8.66141700,3.22834600
5.67039984,-5.11811000,3.22834600
5.73439984,0.39370070,3.22834600
5.79839984,-9.44881800,3.22834600
5.86239984,-1.96850400,3.22834600
5.92639983,-3.14960600,3.22834600
5.99039983,-5.11811000,3.22834600
6.05439983,-6.69291300,3.22834600
6.11839983,0.78740150,3.30708700
6.18239983,-7.48031400,3.22834600
6.24639982,-1.18110200,3.30708700
6.31039982,-1.96850400,3.30708700
6.37439982,-3.14960600,3.22834600
6.43839982,-7.08661400,3.30708700
6.50239982,-0.78740150,3.22834600
6.56639982,-5.90551100,3.22834600
6.63039981,-5.51181100,3.30708700
6.69439981,-4.33070900,3.30708700
6.75839981,-2.75590500,3.30708700
6.82239981,-3.54330700,3.22834600
6.88639981,-3.93700800,3.22834600
6.95039980,-0.78740150,3.30708700
7.01439980,-5.90551100,3.30708700
7.07839980,-1.96850400,3.30708700
7.14239980,-5.51181100,3.30708700
7.20639980,-1.18110200,3.30708700
7.27039980,-7.48031400,3.30708700
7.33439979,0.78740150,3.30708700
7.39839979,-3.93700800,3.22834600
7.46239979,-3.14960600,3.30708700
7.52639979,-5.11811000,3.30708700
7.59039979,-2.36220500,3.22834600
7.65439978,-7.48031400,3.30708700
7.71839978,-3.54330700,3.30708700
7.78239978,-3.93700800,3.30708700
7.84639978,-5.90551100,3.30708700
7.91039978,-4.72440900,3.30708700
7.97439978,-4.72440900,3.30708700
8.03839977,-7.08661400,3.22834600
8.10239977,-7.48031400,3.30708700
8.16639977,-1.96850400,3.22834600
8.23039977,-6.69291300,3.30708700
8.29439977,-4.33070900,3.30708700
8.35839976,-4.72440900,3.22834600
8.42239976,-0.78740150,3.22834600
8.48639976,-8.66141700,3.22834600
8.55039976,-0.39370070,3.30708700
8.61439976,-6.69291300,3.30708700
8.67839976,-3.93700800,3.22834600
8.74239975,-3.93700800,3.30708700
8.80639975,1.18110200,3.30708700
8.87039975,-4.72440900,3.30708700
8.93439975,-3.14960600,3.22834600
8.99839975,-1.18110200,3.22834600
9.06239974,-7.08661400,3.30708700
9.12639974,-5.51181100,3.30708700
9.19039974,-3.14960600,3.30708700
9.25439974,-2.36220500,3.30708700
9.31839974,-7.08661400,3.22834600
9.38239974,2.75590500,3.30708700
9.44639973,-5.11811000,3.30708700
9.51039973,-4.33070900,3.22834600
9.57439973,-1.96850400,3.22834600
9.63839973,1.57480300,3.30708700
9.70239973,-7.87401500,3.30708700
9.76639972,1.57480300,3.30708700
9.83039972,-0.39370070,3.30708700
9.89439972,-2.36220500,3.30708700
9.95839972,-1.96850400,3.30708700
10.02239972,1.96850400,3.30708700
10.08639972,-5.90551100,3.30708700
10.15039971,-2.36220500,3.30708700
10.21439971,1.96850400,3.30708700
10.27839971,-5.51181100,3.22834600
10.34239971,-1.18110200,3.30708700
10.40639971,-1.18110200,3.30708700
10.47039970,-1.96850400,3.30708700
10.53439970,-7.87401500,3.30708700
10.59839970,0.78740150,3.30708700
10.66239970,-7.48031400,3.30708700
10.72639970,-3.14960600,3.30708700
10.79039970,-4.33070900,3.30708700
10.85439969,0.00000000,3.30708700
10.91839969,-6.29921200,3.22834600
10.98239969,0.00000000,3.22834600
11.04639969,-2.36220500,3.22834600
11.11039969,-4.33070900,3.22834600
11.17439969,-5.11811000,3.30708700
11.23839968,-1.18110200,3.30708700
11.30239968,-2.36220500,3.30708700
11.36639968,-3.54330700,3.30708700
11.43039968,0.00000000,3.30708700
11.49439968,-1.96850400,3.22834600
11.55839967,-2.75590500,3.30708700
11.62239967,-3.54330700,3.30708700
11.68639967,0.39370070,3.30708700
11.75039967,-7.08661400,3.30708700
11.81439967,0.00000000,3.30708700
11.87839967,-2.36220500,3.22834600
11.94239966,-1.96850400,3.30708700
12.00639966,-6.69291300,3.30708700
12.07039966,1.57480300,3.30708700
12.13439966,-6.69291300,3.30708700
12.19839966,-3.54330700,3.30708700
12.26239965,-1.96850400,3.30708700
12.32639965,-1.57480300,3.30708700
12.39039965,-3.14960600,3.30708700
12.45439965,-0.78740150,3.30708700
12.51839965,-1.96850400,3.30708700
12.58239965,-5.90551100,3.30708700
12.64639964,-0.78740150,3.30708700
12.71039964,-3.93700800,3.30708700
12.77439964,-3.14960600,3.30708700
12.83839964,-4.33070900,3.30708700
12.90239964,1.57480300,3.30708700
12.96639963,-6.69291300,3.30708700
13.03039963,-3.14960600,3.30708700
13.09439963,-6.29921200,3.30708700
13.15839963,-5.51181100,3.30708700
13.22239963,-9.44881800,3.30708700
13.28639963,-2.36220500,3.30708700
13.35039962,-10.23622000,3.30708700
13.41439962,-7.48031400,3.30708700
13.47839962,-5.51181100,3.22834600
13.54239962,-6.69291300,3.22834600
13.60639962,-10.23622000,3.30708700
13.67039961,-5.51181100,3.30708700
13.73439961,-6.69291300,3.30708700
13.79839961,-11.41732000,3.22834600
13.86239961,-3.54330700,3.22834600
13.92639961,-8.26771600,3.30708700
13.99039961,-7.87401500,3.22834600
14.05439960,-7.48031400,3.22834600
14.11839960,-1.57480300,3.30708700
14.18239960,-12.99213000,3.22834600
14.24639960,-3.93700800,3.22834600
14.31039960,-4.72440900,3.30708700
14.37439959,-6.29921200,3.30708700
14.43839959,-6.69291300,3.30708700
14.50239959,-2.36220500,3.22834600
14.56639959,-9.84251900,3.30708700
14.63039959,-7.87401500,3.30708700
14.69439959,-5.51181100,3.30708700
14.75839958,-9.05511800,3.30708700
14.82239958,-8.66141700,3.22834600
14.88639958,-4.72440900,3.30708700
14.95039958,-4.72440900,3.30708700
15.01439958,-8.66141700,3.30708700
15.07839957,-3.14960600,3.30708700
15.14239957,-7.87401500,3.30708700
15.20639957,-4.72440900,3.30708700
15.27039957,-9.44881800,3.30708700
15.33439957,-3.14960600,3.30708700
15.39839957,-9.84251900,3.30708700
15.46239956,-3.14960600,3.30708700
15.52639956,-6.69291300,3.30708700
15.59039956,-5.51181100,3.30708700
15.65439956,-9.84251900,3.30708700
15.71839956,-5.51181100,3.30708700
15.78239955,-8.26771600,3.30708700
15.84639955,-11.41732000,3.30708700
15.91039955,-6.69291300,3.30708700
15.97439955,-8.26771600,3.30708700
16.03839955,-9.84251900,3.30708700
16.10239955,-10.62992000,3.30708700
16.16639954,-6.69291300,3.30708700
16.23039954,-15.35433000,3.22834600
16.29439954,-7.48031400,3.22834600
16.35839954,-7.87401500,3.22834600
16.42239954,-8.26771600,3.30708700
16.48639953,-10.62992000,3.30708700
16.55039953,-2.75590500,3.22834600
16.61439953,-10.62992000,3.30708700
16.67839953,-8.26771600,3.30708700
16.74239953,-7.08661400,3.22834600
16.80639953,-4.33070900,3.30708700
16.87039952,-9.44881800,3.22834600
16.93439952,-3.54330700,3.30708700
16.99839952,-4.72440900,3.30708700
17.06239952,-8.66141700,3.30708700
17.12639952,-5.11811000,3.22834600
17.19039951,-7.08661400,3.30708700
17.25439951,-9.05511800,3.30708700
17.31839951,-11.41732000,3.30708700
17.38239951,-1.96850400,3.30708700
17.44639951,-11.02362000,3.30708700
17.51039951,-5.90551100,3.30708700
17.57439950,-6.29921200,3.30708700
17.63839950,-4.72440900,3.22834600
17.70239950,-10.62992000,3.30708700
17.76639950,-2.75590500,3.30708700
17.83039950,-8.26771600,3.30708700
17.89439949,-8.26771600,3.30708700
17.95839949,-4.72440900,3.22834600
18.02239949,-5.11811000,3.30708700
18.08639949,-10.62992000,3.30708700
18.15039949,-5.51181100,3.30708700
18.21439949,-5.11811000,3.30708700
18.27839948,-11.41732000,3.30708700
18.34239948,-5.90551100,3.30708700
18.40639948,-7.48031400,3.30708700
18.47039948,-9.44881800,3.30708700
18.53439948,-10.23622000,3.30708700
18.59839948,-3.93700800,3.30708700
18.66239947,-15.35433000,3.30708700
18.72639947,-7.87401500,3.22834600
18.79039947,-9.84251900,3.30708700
18.85439947,-9.05511800,3.30708700
18.91839947,-12.20472000,3.30708700
18.98239946,-3.93700800,3.22834600
19.04639946,-9.84251900,3.30708700
19.11039946,-7.87401500,3.30708700
19.17439946,-6.29921200,3.22834600
19.23839946,-9.84251900,3.30708700
19.30239946,-8.66141700,3.22834600
19.36639945,-7.48031400,3.30708700
19.43039945,-4.33070900,3.30708700
19.49439945,-9.05511800,3.22834600
19.55839945,-4.33070900,3.30708700
19.62239945,-6.69291300,3.22834600
19.68639944,-4.72440900,3.30708700
19.75039944,-9.05511800,3.30708700
19.81439944,-4.33070900,3.30708700
19.87839944,-8.66141700,3.30708700
19.94239944,-5.51181100,3.30708700
20.00639944,-9.05511800,3.30708700
20.07039943,-4.33070900,3.30708700
20.13439943,-10.62992000,3.30708700
20.19839943,-5.11811000,3.30708700
20.26239943,-7.48031400,3.22834600
20.32639943,-9.05511800,3.30708700
20.39039942,-6.69291300,3.30708700
20.45439942,-5.51181100,3.30708700
20.51839942,-6.69291300,3.30708700
20.58239942,-8.66141700,3.30708700
20.64639942,-3.54330700,3.30708700
20.71039942,-12.20472000,3.30708700
20.77439941,-6.69291300,3.30708700
20.83839941,-8.26771600,3.30708700
20.90239941,-6.29921200,3.30708700
20.96639941,-11.41732000,3.30708700
21.03039941,-2.36220500,3.30708700
21.09439940,-9.84251900,3.30708700
21.15839940,-10.23622000,3.30708700
21.22239940,-8.66141700,3.30708700
21.28639940,-7.08661400,3.30708700
21.35039940,-13.38583000,3.30708700
21.41439940,-9.05511800,3.30708700
21.47839939,-7.87401500,3.30708700
21.54239939,-12.59842000,3.30708700
21.60639939,-7.08661400,3.30708700
21.67039939,-6.69291300,3.22834600
