Time,Channel A,Channel B
(us),(mV),(V)

-0.02560000,-13.38583000,0.07874016
0.03840000,-6.29921200,3.22834600
0.10240000,-7.08661400,3.22834600
0.16640000,-6.69291300,3.22834600
0.23039999,-8.26771600,3.22834600
0.29439999,-3.93700800,3.22834600
0.35839999,-6.69291300,3.22834600
0.42239999,-3.54330700,3.22834600
0.48639999,-5.51181100,3.22834600
0.55039999,-2.36220500,3.30708700
0.61439998,-7.48031400,3.22834600
0.67839998,-1.18110200,3.22834600
0.74239998,-4.72440900,3.22834600
0.80639998,-2.75590500,3.22834600
0.87039998,-4.33070900,3.22834600
0.93439997,0.78740150,3.22834600
0.99839997,-7.87401500,3.22834600
1.06239997,-3.54330700,3.22834600
1.12639997,-4.33070900,3.22834600
1.19039997,-5.51181100,3.22834600
1.25439997,-4.33070900,3.22834600
1.31839996,-0.78740150,3.30708700
1.38239996,-3.54330700,3.30708700
1.44639996,-4.72440900,3.22834600
1.51039996,1.57480300,3.22834600
1.57439996,-5.11811000,3.22834600
1.63839995,-1.96850400,3.22834600
1.70239995,-1.18110200,3.22834600
1.76639995,2.36220500,3.30708700
1.83039995,-4.72440900,3.30708700
1.89439995,3.14960600,3.30708700
1.95839995,-1.57480300,3.22834600
2.02239994,-0.39370070,3.30708700
2.08639994,0.00000000,3.30708700
2.15039994,3.14960600,3.22834600
2.21439994,-3.54330700,3.30708700
2.27839994,0.78740150,3.30708700
2.34239993,0.39370070,3.30708700
2.40639993,-3.54330700,3.30708700
2.47039993,-4.72440900,3.22834600
2.53439993,-1.57480300,3.22834600
2.59839993,-3.93700800,3.30708700
2.66239993,-6.69291300,3.22834600
2.72639992,-0.78740150,3.22834600
2.79039992,-3.93700800,3.22834600
2.85439992,-0.78740150,3.22834600
2.91839992,-1.57480300,3.30708700
2.98239992,2.36220500,3.30708700
3.04639991,-8.66141700,3.22834600
3.11039991,1.57480300,3.22834600
3.17439991,-3.14960600,3.22834600
3.23839991,-2.36220500,3.30708700
3.30239991,-3.14960600,3.22834600
3.36639991,3.14960600,3.30708700
3.43039990,-2.75590500,3.22834600
3.49439990,-1.18110200,3.22834600
3.55839990,0.00000000,3.22834600
3.62239990,-3.54330700,3.30708700
3.68639990,-3.93700800,3.30708700
3.75039990,-2.36220500,3.30708700
3.81439989,-2.36220500,3.22834600
3.87839989,-6.29921200,3.30708700
3.94239989,0.39370070,3.22834600
4.00639989,-4.33070900,3.22834600
4.07039989,-2.75590500,3.22834600
4.13439988,-5.90551100,3.22834600
4.19839988,0.39370070,3.22834600
4.26239988,-3.93700800,3.22834600
4.32639988,0.78740150,3.22834600
4.39039988,-1.96850400,3.30708700
4.45439988,0.00000000,3.22834600
4.51839987,-5.51181100,3.30708700
4.58239987,0.39370070,3.30708700
4.64639987,-3.54330700,3.30708700
4.71039987,-3.93700800,3.22834600
4.77439987,-0.78740150,3.30708700
4.83839986,0.78740150,3.30708700
4.90239986,-3.14960600,3.22834600
4.96639986,-5.51181100,3.30708700
5.03039986,-0.78740150,3.30708700
5.09439986,-9.84251900,3.30708700
5.15839986,-4.72440900,3.30708700
5.22239985,-4.72440900,3.22834600
5.28639985,-4.33070900,3.30708700
5.35039985,-9.84251900,3.22834600
5.41439985,0.78740150,3.30708700
5.47839985,-5.90551100,3.30708700
5.54239984,-5.90551100,3.30708700
5.60639984,-2.75590500,3.22834600
5.67039984,-3.14960600,3.22834600
5.73439984,-7.08661400,3.30708700
5.79839984,-1.18110200,3.22834600
5.86239984,-3.14960600,3.22834600
5.92639983,-4.72440900,3.30708700
5.99039983,-1.96850400,3.22834600
6.05439983,-1.96850400,3.22834600
6.11839983,-5.11811000,3.22834600
6.18239983,-3.54330700,3.30708700
6.24639982,0.78740150,3.22834600
6.31039982,-6.29921200,3.30708700
6.37439982,-1.57480300,3.30708700
6.43839982,-4.33070900,3.30708700
6.50239982,-2.36220500,3.30708700
6.56639982,-7.87401500,3.30708700
6.63039981,-1.18110200,3.30708700
6.69439981,-6.69291300,3.30708700
6.75839981,-3.14960600,3.30708700
6.82239981,-3.14960600,3.30708700
6.88639981,0.78740150,3.30708700
6.95039980,-3.93700800,3.30708700
7.01439980,-0.78740150,3.30708700
7.07839980,-0.78740150,3.30708700
7.14239980,-4.33070900,3.30708700
7.20639980,-3.14960600,3.30708700
7.27039980,-1.96850400,3.30708700
7.33439979,-0.78740150,3.30708700
7.39839979,-3.14960600,3.30708700
7.46239979,1.57480300,3.30708700
7.52639979,-4.33070900,3.30708700
7.59039979,-2.75590500,3.30708700
7.65439978,-4.33070900,3.30708700
7.71839978,-1.96850400,3.30708700
7.78239978,-8.66141700,3.30708700
7.84639978,-1.18110200,3.30708700
7.91039978,-5.51181100,3.30708700
7.97439978,-4.33070900,3.30708700
8.03839977,-7.87401500,3.30708700
8.10239977,-3.14960600,3.30708700
8.16639977,-6.69291300,3.30708700
8.23039977,-3.93700800,3.30708700
8.29439977,-3.54330700,3.30708700
8.35839976,-3.93700800,3.30708700
8.42239976,-3.54330700,3.30708700
8.48639976,-3.93700800,3.30708700
8.55039976,-1.18110200,3.30708700
8.61439976,-8.26771600,3.30708700
8.67839976,-0.39370070,3.30708700
8.74239975,-3.93700800,3.22834600
8.80639975,-1.18110200,3.30708700
8.87039975,-4.33070900,3.30708700
8.93439975,1.18110200,3.30708700
8.99839975,-7.08661400,3.30708700
9.06239974,-3.54330700,3.30708700
9.12639974,-3.93700800,3.30708700
9.19039974,-5.51181100,3.30708700
9.25439974,-6.29921200,3.30708700
9.31839974,1.18110200,3.30708700
9.38239974,-2.75590500,3.30708700
9.44639973,-2.75590500,3.30708700
9.51039973,2.75590500,3.30708700
9.57439973,0.00000000,3.30708700
9.63839973,-2.36220500,3.30708700
9.70239973,1.96850400,3.30708700
9.76639972,2.75590500,3.30708700
9.83039972,-3.93700800,3.30708700
9.89439972,5.90551100,3.30708700
9.95839972,-0.39370070,3.30708700
10.02239972,0.00000000,3.30708700
10.08639972,-1.57480300,3.30708700
10.15039971,4.72440900,3.30708700
10.21439971,-4.72440900,3.30708700
10.27839971,1.96850400,3.30708700
10.34239971,0.00000000,3.30708700
10.40639971,-1.96850400,3.30708700
10.47039970,-3.93700800,3.30708700
10.53439970,-1.96850400,3.30708700
10.59839970,-4.33070900,3.30708700
10.66239970,-6.29921200,3.22834600
10.72639970,-1.57480300,3.30708700
10.79039970,-3.54330700,3.30708700
10.85439969,-2.36220500,3.30708700
10.91839969,-3.14960600,3.22834600
10.98239969,1.96850400,3.22834600
11.04639969,-3.93700800,3.30708700
11.11039969,-2.36220500,3.30708700
11.17439969,-3.14960600,3.30708700
11.23839968,-0.78740150,3.30708700
11.30239968,-4.72440900,3.30708700
11.36639968,3.14960600,3.30708700
11.43039968,-2.75590500,3.30708700
11.49439968,-1.18110200,3.22834600
11.55839967,-1.57480300,3.30708700
11.62239967,0.00000000,3.30708700
11.68639967,-5.90551100,3.30708700
11.75039967,-1.57480300,3.30708700
11.81439967,-1.18110200,3.30708700
11.87839967,-5.11811000,3.30708700
11.94239966,-0.39370070,3.30708700
12.00639966,-3.14960600,3.22834600
12.07039966,-2.75590500,3.30708700
12.13439966,-5.51181100,3.30708700
12.19839966,2.75590500,3.30708700
12.26239965,-4.72440900,3.30708700
12.32639965,0.00000000,3.30708700
12.39039965,0.00000000,3.30708700
12.45439965,1.57480300,3.30708700
12.51839965,-5.11811000,3.30708700
12.58239965,1.57480300,3.30708700
12.64639964,-1.96850400,3.30708700
12.71039964,-3.54330700,3.30708700
12.77439964,-1.96850400,3.30708700
12.83839964,1.96850400,3.30708700
12.90239964,-3.93700800,3.30708700
12.96639963,-3.14960600,3.30708700
13.03039963,-0.78740150,3.30708700
13.09439963,-7.48031400,3.30708700
13.15839963,-7.87401500,3.30708700
13.22239963,-5.51181100,3.30708700
13.28639963,-5.90551100,3.30708700
13.35039962,-11.41732000,3.22834600
13.41439962,-2.36220500,3.30708700
13.47839962,-9.44881800,3.30708700
13.54239962,-7.87401500,3.30708700
13.60639962,-7.48031400,3.30708700
13.67039961,-4.33070900,3.30708700
13.73439961,-13.38583000,3.30708700
13.79839961,-3.93700800,3.30708700
13.86239961,-8.26771600,3.22834600
13.92639961,-8.26771600,3.30708700
13.99039961,-6.69291300,3.30708700
14.05439960,-5.11811000,3.30708700
14.11839960,-7.87401500,3.30708700
14.18239960,-6.69291300,3.30708700
14.24639960,-2.75590500,3.30708700
14.31039960,-7.08661400,3.30708700
14.37439959,-3.14960600,3.30708700
14.43839959,-4.72440900,3.30708700
14.50239959,-5.51181100,3.30708700
14.56639959,-9.05511800,3.30708700
14.63039959,-4.33070900,3.30708700
14.69439959,-8.66141700,3.30708700
14.75839958,-5.51181100,3.30708700
14.82239958,-7.87401500,3.30708700
14.88639958,-1.96850400,3.30708700
14.95039958,-5.51181100,3.30708700
15.01439958,-1.96850400,3.30708700
15.07839957,-4.72440900,3.22834600
15.14239957,-3.54330700,3.30708700
15.20639957,-6.29921200,3.30708700
15.27039957,-3.14960600,3.30708700
15.33439957,-3.93700800,3.30708700
15.39839957,-6.69291300,3.30708700
15.46239956,-1.18110200,3.30708700
15.52639956,-4.33070900,3.30708700
15.59039956,-5.51181100,3.30708700
15.65439956,-8.26771600,3.30708700
15.71839956,-2.75590500,3.30708700
15.78239955,-11.81102000,3.30708700
15.84639955,-5.90551100,3.30708700
15.91039955,-7.87401500,3.30708700
15.97439955,-8.66141700,3.30708700
16.03839955,-10.62992000,3.30708700
16.10239955,-5.11811000,3.30708700
16.16639954,-12.99213000,3.30708700
16.23039954,-10.62992000,3.30708700
16.29439954,-6.69291300,3.30708700
16.35839954,-7.48031400,3.30708700
16.42239954,-9.05511800,3.30708700
16.48639953,-3.54330700,3.30708700
16.55039953,-7.48031400,3.30708700
16.61439953,-8.26771600,3.30708700
16.67839953,-3.54330700,3.30708700
16.74239953,-6.69291300,3.22834600
16.80639953,-5.51181100,3.30708700
16.87039952,-5.11811000,3.30708700
16.93439952,-0.78740150,3.22834600
16.99839952,-9.84251900,3.30708700
17.06239952,-2.75590500,3.30708700
17.12639952,-8.66141700,3.30708700
17.19039951,-7.48031400,3.30708700
17.25439951,-11.02362000,3.30708700
17.31839951,-3.14960600,3.30708700
17.38239951,-8.66141700,3.30708700
17.44639951,-5.90551100,3.30708700
17.51039951,-2.75590500,3.30708700
17.57439950,-5.11811000,3.30708700
17.63839950,-8.26771600,3.30708700
17.70239950,-3.14960600,3.30708700
17.76639950,-4.33070900,3.30708700
17.83039950,-9.05511800,3.30708700
17.89439949,-2.36220500,3.30708700
17.95839949,-5.11811000,3.30708700
18.02239949,-6.69291300,3.30708700
18.08639949,-7.87401500,3.30708700
18.15039949,-2.75590500,3.30708700
18.21439949,-11.02362000,3.30708700
18.27839948,-5.11811000,3.30708700
18.34239948,-6.69291300,3.30708700
18.40639948,-6.29921200,3.30708700
18.47039948,-11.41732000,3.30708700
18.53439948,-4.72440900,3.30708700
18.59839948,-12.20472000,3.30708700
18.66239947,-10.23622000,3.30708700
18.72639947,-10.23622000,3.30708700
18.79039947,-8.66141700,3.30708700
18.85439947,-9.44881800,3.30708700
18.91839947,-6.69291300,3.22834600
18.98239946,-4.33070900,3.30708700
19.04639946,-9.05511800,3.30708700
19.11039946,-5.90551100,3.30708700
19.17439946,-7.48031400,3.22834600
19.23839946,-5.90551100,3.30708700
19.30239946,-11.02362000,3.30708700
19.36639945,-2.36220500,3.30708700
19.43039945,-7.48031400,3.30708700
19.49439945,-5.90551100,3.30708700
19.55839945,-6.29921200,3.30708700
19.62239945,-3.14960600,3.30708700
19.68639944,-10.62992000,3.30708700
19.75039944,-3.54330700,3.30708700
19.81439944,-6.29921200,3.30708700
19.87839944,-8.26771600,3.30708700
19.94239944,-6.69291300,3.30708700
20.00639944,-2.36220500,3.30708700
20.07039943,-10.23622000,3.30708700
20.13439943,-7.87401500,3.30708700
20.19839943,-3.93700800,3.30708700
20.26239943,-9.44881800,3.30708700
20.32639943,-6.69291300,3.30708700
20.39039942,-3.54330700,3.30708700
20.45439942,-5.51181100,3.30708700
20.51839942,-9.84251900,3.30708700
20.58239942,-0.39370070,3.30708700
20.64639942,-10.62992000,3.30708700
20.71039942,-7.48031400,3.30708700
20.77439941,-7.48031400,3.30708700
20.83839941,-3.14960600,3.30708700
20.90239941,-10.23622000,3.30708700
20.96639941,-3.14960600,3.30708700
21.03039941,-6.29921200,3.30708700
21.09439940,-8.26771600,3.30708700
21.15839940,-9.44881800,3.30708700
21.22239940,-8.66141700,3.30708700
21.28639940,-10.23622000,3.30708700
21.35039940,-8.66141700,3.30708700
21.41439940,-5.11811000,3.30708700
21.47839939,-8.26771600,3.30708700
21.54239939,-8.26771600,3.30708700
21.60639939,-6.69291300,3.30708700
21.67039939,-5.90551100,3.30708700
21.73439939,-10.23622000,3.30708700
