Time,Channel A,Channel B
(us),(mV),(V)

-0.02720000,-5.11811000,0.00000000
0.03680000,-5.11811000,3.14960600
0.10080000,0.39370070,3.22834600
0.16480000,-9.84251900,3.22834600
0.22879999,-3.93700800,3.30708700
0.29279999,-7.08661400,3.22834600
0.35679999,-6.29921200,3.22834600
0.42079999,-7.48031400,3.22834600
0.48479999,-3.54330700,3.22834600
0.54879999,-3.54330700,3.22834600
0.61279998,-4.72440900,3.22834600
0.67679998,-2.75590500,3.22834600
0.74079998,-3.54330700,3.22834600
0.80479998,-6.29921200,3.22834600
0.86879998,-8.66141700,3.22834600
0.93279997,-2.36220500,3.22834600
0.99679997,-10.23622000,3.22834600
1.06079997,-5.90551100,3.22834600
1.12479997,-7.08661400,3.22834600
1.18879997,-2.75590500,3.22834600
1.25279997,-10.62992000,3.22834600
1.31679996,0.00000000,3.22834600
1.38079996,-7.08661400,3.22834600
1.44479996,-6.29921200,3.22834600
1.50879996,-3.14960600,3.22834600
1.57279996,-1.18110200,3.22834600
1.63679995,-6.69291300,3.22834600
1.70079995,-2.75590500,3.22834600
1.76479995,-0.78740150,3.22834600
1.82879995,-6.69291300,3.22834600
1.89279995,-2.36220500,3.22834600
1.95679995,-2.36220500,3.22834600
2.02079994,-1.18110200,3.22834600
2.08479994,-3.54330700,3.22834600
2.14879994,2.75590500,3.22834600
2.21279994,-4.33070900,3.22834600
2.27679994,-2.36220500,3.22834600
2.34079993,-3.14960600,3.22834600
2.40479993,-0.78740150,3.22834600
2.46879993,-7.48031400,3.22834600
2.53279993,1.96850400,3.22834600
2.59679993,-2.36220500,3.22834600
2.66079993,-0.39370070,3.22834600
2.72479992,-1.18110200,3.22834600
2.78879992,0.78740150,3.30708700
2.85279992,-4.33070900,3.22834600
2.91679992,-2.75590500,3.22834600
2.98079992,1.57480300,3.22834600
3.04479991,-5.11811000,3.22834600
3.10879991,0.39370070,3.30708700
3.17279991,-0.39370070,3.22834600
3.23679991,0.00000000,3.22834600
3.30079991,-5.90551100,3.22834600
3.36479991,1.96850400,3.22834600
3.42879990,-6.69291300,3.22834600
3.49279990,-3.14960600,3.22834600
3.55679990,-4.33070900,3.30708700
3.62079990,-2.75590500,3.22834600
3.68479990,-8.26771600,3.22834600
3.74879990,-1.18110200,3.22834600
3.81279989,-5.11811000,3.30708700
3.87679989,-5.90551100,3.22834600
3.94079989,-5.51181100,3.22834600
4.00479989,-1.96850400,3.22834600
4.06879989,-4.72440900,3.22834600
4.13279988,-3.54330700,3.22834600
4.19679988,-1.18110200,3.22834600
4.26079988,-5.90551100,3.22834600
4.32479988,-1.18110200,3.22834600
4.38879988,-5.11811000,3.22834600
4.45279988,-0.39370070,3.22834600
4.51679987,-6.69291300,3.22834600
4.58079987,0.78740150,3.30708700
4.64479987,-4.33070900,3.22834600
4.70879987,-0.78740150,3.30708700
4.77279987,-5.11811000,3.22834600
4.83679986,0.00000000,3.22834600
4.90079986,-5.90551100,3.22834600
4.96479986,-5.11811000,3.30708700
5.02879986,-3.54330700,3.22834600
5.09279986,-4.72440900,3.22834600
5.15679986,-3.54330700,3.22834600
5.22079985,-0.78740150,3.22834600
5.28479985,-0.39370070,3.22834600
5.34879985,-6.69291300,3.22834600
5.41279985,1.18110200,3.30708700
5.47679985,-3.54330700,3.22834600
5.54079984,-4.72440900,3.22834600
5.60479984,-3.14960600,3.22834600
5.66879984,1.18110200,3.22834600
5.73279984,-7.08661400,3.30708700
5.79679984,1.18110200,3.22834600
5.86079984,-3.14960600,3.22834600
5.92479983,-4.72440900,3.30708700
5.98879983,-5.11811000,3.30708700
6.05279983,1.96850400,3.30708700
6.11679983,-7.87401500,3.30708700
6.18079983,-4.33070900,3.30708700
6.24479982,-1.57480300,3.30708700
6.30879982,-6.69291300,3.30708700
6.37279982,-6.29921200,3.22834600
6.43679982,-3.93700800,3.22834600
6.50079982,-4.72440900,3.22834600
6.56479982,-9.44881800,3.22834600
6.62879981,0.78740150,3.22834600
6.69279981,-5.90551100,3.22834600
6.75679981,-3.93700800,3.22834600
6.82079981,-3.54330700,3.22834600
6.88479981,-0.39370070,3.22834600
6.94879980,-8.26771600,3.22834600
7.01279980,-3.54330700,3.22834600
7.07679980,-3.14960600,3.22834600
7.14079980,-3.14960600,3.22834600
7.20479980,-3.54330700,3.22834600
7.26879980,0.78740150,3.22834600
7.33279979,-4.33070900,3.22834600
7.39679979,-3.14960600,3.30708700
7.46079979,-0.39370070,3.22834600
7.52479979,-4.33070900,3.30708700
7.58879979,-5.90551100,3.30708700
7.65279978,-3.93700800,3.22834600
7.71679978,-1.57480300,3.22834600
7.78079978,-6.69291300,3.22834600
7.84479978,0.39370070,3.30708700
7.90879978,-4.33070900,3.30708700
7.97279978,-2.75590500,3.30708700
8.03679977,-4.33070900,3.22834600
8.10079977,1.18110200,3.30708700
8.16479977,-7.08661400,3.30708700
8.22879977,-0.39370070,3.22834600
8.29279977,-1.18110200,3.22834600
8.35679976,-1.18110200,3.22834600
8.42079976,-4.72440900,3.30708700
8.48479976,-1.57480300,3.30708700
8.54879976,-3.14960600,3.22834600
8.61279976,-4.33070900,3.22834600
8.67679976,-1.57480300,3.30708700
8.74079975,-1.57480300,3.30708700
8.80479975,-3.54330700,3.30708700
8.86879975,-5.11811000,3.30708700
8.93279975,-1.96850400,3.30708700
8.99679975,-9.44881800,3.30708700
9.06079974,-5.51181100,3.22834600
9.12479974,-5.11811000,3.22834600
9.18879974,-1.96850400,3.30708700
9.25279974,-8.26771600,3.30708700
9.31679974,2.36220500,3.22834600
9.38079974,-2.75590500,3.22834600
9.44479973,-1.96850400,3.22834600
9.50879973,-2.75590500,3.22834600
9.57279973,0.00000000,3.22834600
9.63679973,-5.51181100,3.22834600
9.70079973,0.00000000,3.30708700
9.76479972,1.96850400,3.22834600
9.82879972,-4.33070900,3.30708700
9.89279972,2.36220500,3.22834600
9.95679972,1.57480300,3.30708700
10.02079972,-1.57480300,3.30708700
10.08479972,-3.93700800,3.30708700
10.14879971,3.54330700,3.30708700
10.21279971,-5.51181100,3.22834600
10.27679971,0.78740150,3.30708700
10.34079971,-0.78740150,3.30708700
10.40479971,-1.18110200,3.22834600
10.46879970,-5.90551100,3.30708700
10.53279970,2.75590500,3.30708700
10.59679970,-4.72440900,3.22834600
10.66079970,-2.75590500,3.22834600
10.72479970,-0.78740150,3.22834600
10.78879970,0.39370070,3.22834600
10.85279969,-2.36220500,3.30708700
10.91679969,1.18110200,3.30708700
10.98079969,-0.39370070,3.22834600
11.04479969,-4.33070900,3.30708700
11.10879969,0.39370070,3.30708700
11.17279969,-1.96850400,3.22834600
11.23679968,0.00000000,3.30708700
11.30079968,-3.93700800,3.30708700
11.36479968,4.33070900,3.30708700
11.42879968,-4.33070900,3.30708700
11.49279968,-1.18110200,3.30708700
11.55679967,-5.11811000,3.30708700
11.62079967,-2.36220500,3.30708700
11.68479967,-7.48031400,3.30708700
11.74879967,-1.57480300,3.30708700
11.81279967,-4.33070900,3.30708700
11.87679967,-4.33070900,3.30708700
11.94079966,-2.75590500,3.30708700
12.00479966,-2.36220500,3.22834600
12.06879966,-5.51181100,3.30708700
12.13279966,-4.72440900,3.22834600
12.19679966,-0.78740150,3.22834600
12.26079965,-5.90551100,3.22834600
12.32479965,-2.75590500,3.30708700
12.38879965,-3.14960600,3.22834600
12.45279965,-1.18110200,3.30708700
12.51679965,-4.72440900,3.30708700
12.58079965,1.18110200,3.30708700
12.64479964,-5.90551100,3.22834600
12.70879964,-1.96850400,3.22834600
12.77279964,-4.33070900,3.30708700
12.83679964,0.39370070,3.22834600
12.90079964,-6.29921200,3.22834600
12.96479963,-1.96850400,3.30708700
13.02879963,-4.33070900,3.30708700
13.09279963,-5.51181100,3.30708700
13.15679963,-5.90551100,3.30708700
13.22079963,-5.51181100,3.30708700
13.28479963,-4.33070900,3.30708700
13.34879962,-8.26771600,3.30708700
13.41279962,0.39370070,3.22834600
13.47679962,-5.90551100,3.22834600
13.54079962,-6.29921200,3.30708700
13.60479962,-5.11811000,3.30708700
13.66879961,-3.14960600,3.22834600
13.73279961,-11.81102000,3.30708700
13.79679961,-2.36220500,3.30708700
13.86079961,-5.51181100,3.30708700
13.92479961,-7.48031400,3.30708700
13.98879961,-6.69291300,3.22834600
14.05279960,-2.36220500,3.30708700
14.11679960,-12.20472000,3.30708700
14.18079960,-6.69291300,3.30708700
14.24479960,-5.51181100,3.30708700
14.30879960,-10.23622000,3.30708700
14.37279959,-8.26771600,3.30708700
14.43679959,-4.33070900,3.30708700
14.50079959,-7.08661400,3.30708700
14.56479959,-11.41732000,3.30708700
14.62879959,-2.36220500,3.30708700
14.69279959,-12.59842000,3.22834600
14.75679958,-6.69291300,3.30708700
14.82079958,-7.48031400,3.22834600
14.88479958,-3.54330700,3.22834600
14.94879958,-10.62992000,3.22834600
15.01279958,-2.36220500,3.22834600
15.07679957,-6.29921200,3.30708700
15.14079957,-5.90551100,3.30708700
15.20479957,-8.26771600,3.30708700
15.26879957,-3.93700800,3.30708700
15.33279957,-7.48031400,3.22834600
15.39679957,-5.90551100,3.30708700
15.46079956,-3.14960600,3.30708700
15.52479956,-6.69291300,3.22834600
15.58879956,-6.69291300,3.30708700
15.65279956,-5.90551100,3.30708700
15.71679956,-6.69291300,3.30708700
15.78079955,-11.81102000,3.22834600
15.84479955,-4.33070900,3.30708700
15.90879955,-7.48031400,3.30708700
15.97279955,-5.51181100,3.30708700
16.03679955,-9.05511800,3.30708700
16.10079955,-1.96850400,3.30708700
16.16479954,-10.23622000,3.22834600
16.22879954,-5.11811000,3.30708700
16.29279954,-7.08661400,3.30708700
16.35679954,-7.48031400,3.30708700
16.42079954,-8.66141700,3.30708700
16.48479953,-3.54330700,3.30708700
16.54879953,-5.11811000,3.30708700
16.61279953,-8.26771600,3.30708700
16.67679953,-2.75590500,3.30708700
16.74079953,-5.90551100,3.30708700
16.80479953,-5.90551100,3.30708700
16.86879952,-8.26771600,3.30708700
16.93279952,-3.14960600,3.30708700
16.99679952,-10.23622000,3.30708700
17.06079952,-5.11811000,3.30708700
17.12479952,-7.87401500,3.30708700
17.18879951,-7.87401500,3.30708700
17.25279951,-11.81102000,3.22834600
17.31679951,-3.93700800,3.22834600
17.38079951,-10.23622000,3.30708700
17.44479951,-7.08661400,3.22834600
17.50879951,-5.90551100,3.22834600
17.57279950,-5.11811000,3.22834600
17.63679950,-9.84251900,3.22834600
17.70079950,-6.69291300,3.30708700
17.76479950,-6.29921200,3.22834600
17.82879950,-11.41732000,3.30708700
17.89279949,-5.11811000,3.22834600
17.95679949,-5.51181100,3.30708700
18.02079949,-6.69291300,3.22834600
18.08479949,-8.66141700,3.30708700
18.14879949,-1.18110200,3.30708700
18.21279949,-12.20472000,3.22834600
18.27679948,-6.29921200,3.30708700
18.34079948,-7.87401500,3.30708700
18.40479948,-8.66141700,3.30708700
18.46879948,-10.62992000,3.30708700
18.53279948,-2.36220500,3.22834600
18.59679948,-9.84251900,3.30708700
18.66079947,-7.87401500,3.30708700
18.72479947,-5.11811000,3.30708700
18.78879947,-8.26771600,3.30708700
18.85279947,-8.66141700,3.30708700
18.91679947,-5.51181100,3.30708700
18.98079946,-4.33070900,3.30708700
19.04479946,-8.66141700,3.30708700
19.10879946,-2.36220500,3.30708700
19.17279946,-6.29921200,3.30708700
19.23679946,-4.33070900,3.30708700
19.30079946,-7.08661400,3.30708700
19.36479945,-1.96850400,3.30708700
19.42879945,-10.23622000,3.30708700
19.49279945,-4.33070900,3.30708700
19.55679945,-7.87401500,3.30708700
19.62079945,-4.33070900,3.30708700
19.68479944,-10.23622000,3.22834600
19.74879944,-5.90551100,3.22834600
19.81279944,-7.87401500,3.30708700
19.87679944,-9.05511800,3.30708700
19.94079944,-7.08661400,3.30708700
20.00479944,-7.48031400,3.30708700
20.06879943,-7.87401500,3.22834600
20.13279943,-7.87401500,3.30708700
20.19679943,-3.14960600,3.22834600
20.26079943,-11.41732000,3.22834600
20.32479943,-6.69291300,3.22834600
20.38879942,-9.84251900,3.30708700
20.45279942,-6.29921200,3.30708700
20.51679942,-10.23622000,3.22834600
20.58079942,-5.11811000,3.30708700
20.64479942,-8.26771600,3.22834600
20.70879942,-6.29921200,3.22834600
20.77279941,-7.08661400,3.22834600
20.83679941,-5.90551100,3.30708700
20.90079941,-11.81102000,3.22834600
20.96479941,-6.29921200,3.30708700
21.02879941,-7.08661400,3.30708700
21.09279940,-10.23622000,3.30708700
21.15679940,-7.08661400,3.22834600
21.22079940,-6.69291300,3.30708700
21.28479940,-6.29921200,3.30708700
21.34879940,-9.44881800,3.30708700
21.41279940,-2.36220500,3.30708700
21.47679939,-9.84251900,3.22834600
21.54079939,-4.33070900,3.22834600
21.60479939,-5.11811000,3.30708700
21.66879939,-2.36220500,3.30708700
21.73279939,-10.62992000,3.30708700
