Time,Channel A,Channel B
(us),(mV),(V)

-0.02653658,-6.69291300,0.00000000
0.03746341,-9.05511800,3.22834600
0.10146341,-2.75590500,3.22834600
0.16546341,-11.02362000,3.22834600
0.22946341,-9.05511800,3.22834600
0.29346341,-8.66141700,3.22834600
0.35746340,-6.69291300,3.22834600
0.42146340,-11.02362000,3.22834600
0.48546340,-1.57480300,3.22834600
0.54946340,-5.11811000,3.22834600
0.61346340,-7.87401500,3.22834600
0.67746340,-4.72440900,3.22834600
0.74146339,-4.33070900,3.22834600
0.80546339,-7.87401500,3.22834600
0.86946339,-4.33070900,3.22834600
0.93346339,-2.36220500,3.22834600
0.99746339,-6.69291300,3.22834600
1.06146339,-1.18110200,3.22834600
1.12546338,-2.75590500,3.22834600
1.18946338,-3.93700800,3.22834600
1.25346338,-6.69291300,3.22834600
1.31746338,-1.18110200,3.22834600
1.38146338,-8.26771600,3.22834600
1.44546337,-3.93700800,3.22834600
1.50946337,-4.72440900,3.22834600
1.57346337,-1.18110200,3.30708700
1.63746337,-6.29921200,3.22834600
1.70146337,0.39370070,3.22834600
1.76546337,-2.75590500,3.22834600
1.82946336,-3.14960600,3.22834600
1.89346336,-1.57480300,3.22834600
1.95746336,0.39370070,3.22834600
2.02146336,-1.57480300,3.22834600
2.08546336,-0.78740150,3.30708700
2.14946335,3.54330700,3.30708700
2.21346335,-2.36220500,3.22834600
2.27746335,0.39370070,3.30708700
2.34146335,-1.57480300,3.30708700
2.40546335,-0.39370070,3.30708700
2.46946335,-5.11811000,3.22834600
2.53346334,1.57480300,3.30708700
2.59746334,-4.72440900,3.22834600
2.66146334,-2.75590500,3.30708700
2.72546334,-3.93700800,3.22834600
2.78946334,-2.75590500,3.22834600
2.85346333,-7.08661400,3.22834600
2.91746333,-3.14960600,3.22834600
2.98146333,-3.54330700,3.30708700
3.04546333,-3.93700800,3.22834600
3.10946333,-2.36220500,3.30708700
3.17346333,-3.54330700,3.22834600
3.23746332,-4.72440900,3.22834600
3.30146332,-3.93700800,3.22834600
3.36546332,-2.36220500,3.22834600
3.42946332,-5.11811000,3.22834600
3.49346332,-2.36220500,3.22834600
3.55746331,-2.36220500,3.30708700
3.62146331,0.78740150,3.22834600
3.68546331,-6.29921200,3.22834600
3.74946331,-0.78740150,3.22834600
3.81346331,-4.33070900,3.22834600
3.87746331,-3.14960600,3.30708700
3.94146330,-6.29921200,3.30708700
4.00546330,-0.78740150,3.30708700
4.06946330,-5.90551100,3.30708700
4.13346330,-4.33070900,3.30708700
4.19746330,-0.78740150,3.22834600
4.26146329,-4.33070900,3.30708700
4.32546329,-6.29921200,3.30708700
4.38946329,-0.78740150,3.30708700
4.45346329,-2.36220500,3.22834600
4.51746329,-6.29921200,3.30708700
4.58146329,1.18110200,3.22834600
4.64546328,-2.75590500,3.22834600
4.70946328,-3.54330700,3.22834600
4.77346328,-2.36220500,3.22834600
4.83746328,0.78740150,3.30708700
4.90146328,-8.66141700,3.30708700
4.96546327,0.39370070,3.30708700
5.02946327,-2.36220500,3.30708700
5.09346327,-3.14960600,3.30708700
5.15746327,-4.72440900,3.30708700
5.22146327,0.78740150,3.30708700
5.28546327,-7.87401500,3.30708700
5.34946326,-5.51181100,3.30708700
5.41346326,-3.93700800,3.22834600
5.47746326,-7.48031400,3.30708700
5.54146326,-5.90551100,3.30708700
5.60546326,-3.14960600,3.30708700
5.66946325,-3.93700800,3.30708700
5.73346325,-7.87401500,3.30708700
5.79746325,-1.57480300,3.30708700
5.86146325,-7.08661400,3.22834600
5.92546325,-5.11811000,3.22834600
5.98946325,-6.69291300,3.22834600
6.05346324,0.00000000,3.22834600
6.11746324,-7.08661400,3.30708700
6.18146324,-0.78740150,3.30708700
6.24546324,-2.36220500,3.30708700
6.30946324,-3.54330700,3.30708700
6.37346323,-5.51181100,3.30708700
6.43746323,0.00000000,3.30708700
6.50146323,-4.33070900,3.30708700
6.56546323,-4.33070900,3.30708700
6.62946323,-1.57480300,3.30708700
6.69346323,-3.93700800,3.30708700
6.75746322,-5.51181100,3.30708700
6.82146322,-4.33070900,3.30708700
6.88546322,-0.78740150,3.22834600
6.94946322,-7.87401500,3.30708700
7.01346322,0.78740150,3.30708700
7.07746321,-3.54330700,3.30708700
7.14146321,-0.39370070,3.30708700
7.20546321,-4.33070900,3.30708700
7.26946321,1.96850400,3.30708700
7.33346321,-5.11811000,3.30708700
7.39746321,-2.36220500,3.30708700
7.46146320,-2.75590500,3.30708700
7.52546320,-1.57480300,3.30708700
7.58946320,-3.93700800,3.30708700
7.65346320,-1.18110200,3.30708700
7.71746320,0.00000000,3.30708700
7.78146319,-3.14960600,3.30708700
7.84546319,-1.96850400,3.30708700
7.90946319,-3.93700800,3.30708700
7.97346319,-5.90551100,3.30708700
8.03746319,-7.48031400,3.30708700
8.10146319,-1.18110200,3.22834600
8.16546318,-6.69291300,3.30708700
8.22946318,-4.33070900,3.30708700
8.29346318,-4.72440900,3.30708700
8.35746318,-2.36220500,3.22834600
8.42146318,-10.62992000,3.30708700
8.48546318,-1.18110200,3.30708700
8.54946317,-5.51181100,3.22834600
8.61346317,-5.51181100,3.30708700
8.67746317,-2.36220500,3.30708700
8.74146317,-1.57480300,3.30708700
8.80546317,-7.87401500,3.30708700
8.86946316,-2.75590500,3.30708700
8.93346316,-1.57480300,3.22834600
8.99746316,-9.05511800,3.30708700
9.06146316,-2.36220500,3.30708700
9.12546316,-2.36220500,3.30708700
9.18946316,-2.75590500,3.30708700
9.25346315,-4.72440900,3.30708700
9.31746315,3.14960600,3.30708700
9.38146315,-7.08661400,3.30708700
9.44546315,-1.96850400,3.22834600
9.50946315,-1.18110200,3.30708700
9.57346314,-0.78740150,3.30708700
9.63746314,-4.72440900,3.30708700
9.70146314,3.93700800,3.30708700
9.76546314,0.00000000,3.30708700
9.82946314,0.00000000,3.30708700
9.89346314,0.78740150,3.22834600
9.95746313,1.18110200,3.30708700
10.02146313,-2.75590500,3.30708700
10.08546313,0.39370070,3.30708700
10.14946313,1.96850400,3.30708700
10.21346313,-1.57480300,3.30708700
10.27746312,1.57480300,3.30708700
10.34146312,0.39370070,3.30708700
10.40546312,1.18110200,3.30708700
10.46946312,-5.11811000,3.30708700
10.53346312,0.78740150,3.30708700
10.59746312,-5.90551100,3.30708700
10.66146311,-1.96850400,3.30708700
10.72546311,-4.33070900,3.30708700
10.78946311,-0.39370070,3.30708700
10.85346311,-5.90551100,3.30708700
10.91746311,-1.57480300,3.30708700
10.98146310,-3.93700800,3.30708700
11.04546310,-5.51181100,3.30708700
11.10946310,-3.93700800,3.22834600
11.17346310,-0.78740150,3.30708700
11.23746310,-2.75590500,3.30708700
11.30146310,-3.93700800,3.30708700
11.36546309,-0.39370070,3.22834600
11.42946309,-4.33070900,3.30708700
11.49346309,-3.54330700,3.30708700
11.55746309,-3.14960600,3.30708700
11.62146309,-1.96850400,3.30708700
11.68546308,-5.51181100,3.30708700
11.74946308,1.96850400,3.30708700
11.81346308,-3.14960600,3.30708700
11.87746308,-1.96850400,3.30708700
11.94146308,-5.11811000,3.30708700
12.00546308,-0.39370070,3.30708700
12.06946307,-7.08661400,3.30708700
12.13346307,-2.75590500,3.30708700
12.19746307,-3.14960600,3.30708700
12.26146307,-1.96850400,3.30708700
12.32546307,-3.14960600,3.30708700
12.38946306,-0.78740150,3.30708700
12.45346306,-0.78740150,3.30708700
12.51746306,-5.51181100,3.30708700
12.58146306,1.96850400,3.30708700
12.64546306,-2.75590500,3.30708700
12.70946306,-3.14960600,3.30708700
12.77346305,-2.36220500,3.30708700
12.83746305,2.36220500,3.30708700
12.90146305,-6.69291300,3.30708700
12.96546305,-0.78740150,3.30708700
13.02946305,-3.93700800,3.30708700
13.09346304,-5.11811000,3.30708700
13.15746304,-5.90551100,3.30708700
13.22146304,-1.18110200,3.30708700
13.28546304,-9.84251900,3.30708700
13.34946304,-6.29921200,3.30708700
13.41346304,-4.33070900,3.30708700
13.47746303,-9.84251900,3.30708700
13.54146303,-9.84251900,3.30708700
13.60546303,-6.29921200,3.30708700
13.66946303,-9.44881800,3.30708700
13.73346303,-10.23622000,3.30708700
13.79746302,-2.36220500,3.30708700
13.86146302,-12.99213000,3.30708700
13.92546302,-7.08661400,3.30708700
13.98946302,-8.66141700,3.22834600
14.05346302,-6.29921200,3.30708700
14.11746302,-12.59842000,3.30708700
14.18146301,-3.93700800,3.30708700
14.24546301,-6.29921200,3.30708700
14.30946301,-4.72440900,3.30708700
14.37346301,-5.51181100,3.30708700
14.43746301,-3.14960600,3.30708700
14.50146300,-7.08661400,3.22834600
14.56546300,-6.29921200,3.30708700
14.62946300,-5.11811000,3.30708700
14.69346300,-7.87401500,3.30708700
14.75746300,-7.48031400,3.30708700
14.82146300,-5.90551100,3.30708700
14.88546299,-3.54330700,3.30708700
14.94946299,-8.26771600,3.22834600
15.01346299,-3.54330700,3.30708700
15.07746299,-5.90551100,3.30708700
15.14146299,-4.33070900,3.30708700
15.20546299,-6.69291300,3.30708700
15.26946298,-1.18110200,3.30708700
15.33346298,-7.87401500,3.30708700
15.39746298,-3.54330700,3.30708700
15.46146298,-4.33070900,3.30708700
15.52546298,-4.33070900,3.30708700
15.58946297,-9.44881800,3.30708700
15.65346297,-3.14960600,3.30708700
15.71746297,-6.29921200,3.30708700
15.78146297,-8.26771600,3.30708700
15.84546297,-3.14960600,3.30708700
15.90946297,-6.69291300,3.30708700
15.97346296,-7.87401500,3.30708700
16.03746296,-9.84251900,3.30708700
16.10146296,-5.90551100,3.30708700
16.16546296,-14.17323000,3.30708700
16.22946296,-7.87401500,3.30708700
16.29346295,-9.05511800,3.30708700
16.35746295,-8.66141700,3.30708700
16.42146295,-11.41732000,3.30708700
16.48546295,-2.36220500,3.30708700
16.54946295,-9.44881800,3.30708700
16.61346295,-8.26771600,3.22834600
16.67746294,-7.08661400,3.30708700
16.74146294,-5.11811000,3.30708700
16.80546294,-9.84251900,3.30708700
16.86946294,-3.54330700,3.30708700
16.93346294,-4.33070900,3.30708700
16.99746293,-9.05511800,3.30708700
17.06146293,-4.72440900,3.22834600
17.12546293,-5.90551100,3.30708700
17.18946293,-8.66141700,3.30708700
17.25346293,-9.84251900,3.30708700
17.31746293,0.00000000,3.30708700
17.38146292,-10.62992000,3.30708700
17.44546292,-4.72440900,3.30708700
17.50946292,-5.11811000,3.30708700
17.57346292,-5.51181100,3.30708700
17.63746292,-11.02362000,3.30708700
17.70146291,-1.96850400,3.30708700
17.76546291,-8.66141700,3.30708700
17.82946291,-7.48031400,3.30708700
17.89346291,-2.36220500,3.30708700
17.95746291,-4.33070900,3.22834600
18.02146291,-7.08661400,3.30708700
18.08546290,-6.29921200,3.30708700
18.14946290,-5.11811000,3.30708700
18.21346290,-9.05511800,3.30708700
18.27746290,-5.11811000,3.30708700
18.34146290,-5.90551100,3.30708700
18.40546289,-5.11811000,3.30708700
18.46946289,-6.29921200,3.30708700
18.53346289,-2.36220500,3.30708700
18.59746289,-9.84251900,3.30708700
18.66146289,-7.87401500,3.30708700
18.72546289,-11.02362000,3.30708700
18.78946288,-6.69291300,3.30708700
18.85346288,-11.02362000,3.30708700
18.91746288,-4.72440900,3.30708700
18.98146288,-6.69291300,3.30708700
19.04546288,-7.48031400,3.30708700
19.10946287,-7.87401500,3.30708700
19.17346287,-6.69291300,3.30708700
19.23746287,-7.48031400,3.22834600
19.30146287,-10.23622000,3.30708700
19.36546287,-3.14960600,3.30708700
19.42946287,-9.84251900,3.30708700
19.49346286,-7.08661400,3.30708700
19.55746286,-6.69291300,3.30708700
19.62146286,-3.14960600,3.30708700
19.68546286,-10.62992000,3.30708700
19.74946286,-3.14960600,3.30708700
19.81346285,-5.51181100,3.30708700
19.87746285,-5.51181100,3.30708700
19.94146285,-5.90551100,3.30708700
20.00546285,-1.96850400,3.30708700
20.06946285,-9.05511800,3.30708700
20.13346285,-5.90551100,3.30708700
20.19746284,-5.51181100,3.30708700
20.26146284,-8.66141700,3.30708700
20.32546284,-8.66141700,3.30708700
20.38946284,-4.33070900,3.30708700
20.45346284,-6.29921200,3.22834600
20.51746283,-8.26771600,3.30708700
20.58146283,-2.36220500,3.30708700
20.64546283,-8.26771600,3.30708700
20.70946283,-5.90551100,3.30708700
20.77346283,-7.87401500,3.22834600
20.83746283,-3.14960600,3.30708700
20.90146282,-9.84251900,3.30708700
20.96546282,-2.75590500,3.30708700
21.02946282,-5.51181100,3.30708700
21.09346282,-6.29921200,3.30708700
21.15746282,-8.26771600,3.30708700
21.22146281,-4.33070900,3.30708700
21.28546281,-8.26771600,3.30708700
21.34946281,-7.48031400,3.30708700
21.41346281,-3.93700800,3.30708700
21.47746281,-7.48031400,3.30708700
21.54146281,-7.08661400,3.30708700
21.60546280,-5.11811000,3.30708700
21.66946280,-7.48031400,3.30708700
