Time,Channel A,Channel B
(us),(mV),(V)

-0.02560000,-3.14960600,0.07874016
0.03840000,2.36220500,3.22834600
0.10240000,0.78740150,3.30708700
0.16640000,-3.93700800,3.30708700
0.23039999,0.00000000,3.30708700
0.29439999,-1.96850400,3.30708700
0.35839999,0.78740150,3.30708700
0.42239999,-6.69291300,3.30708700
0.48639999,-4.72440900,3.30708700
0.55039999,-7.87401500,3.22834600
0.61439998,-9.44881800,3.30708700
0.67839998,-9.84251900,3.22834600
0.74239998,-7.87401500,3.30708700
0.80639998,-12.99213000,3.30708700
0.87039998,-13.38583000,3.22834600
0.93439997,-7.87401500,3.22834600
0.99839997,-12.59842000,3.22834600
1.06239997,-12.20472000,3.30708700
1.12639997,-9.05511800,3.22834600
1.19039997,-6.69291300,3.22834600
1.25439997,-6.69291300,3.30708700
1.31839996,-5.11811000,3.30708700
1.38239996,-4.72440900,3.22834600
1.44639996,-5.11811000,3.30708700
1.51039996,-2.36220500,3.30708700
1.57439996,-0.78740150,3.30708700
1.63839995,-4.72440900,3.30708700
1.70239995,1.18110200,3.30708700
1.76639995,0.78740150,3.30708700
1.83039995,-0.39370070,3.30708700
1.89439995,-2.36220500,3.30708700
1.95839995,-1.18110200,3.22834600
2.02239994,-2.36220500,3.30708700
2.08639994,-4.33070900,3.30708700
2.15039994,-1.96850400,3.22834600
2.21439994,-3.14960600,3.30708700
2.27839994,-3.54330700,3.30708700
2.34239993,0.00000000,3.30708700
2.40639993,2.36220500,3.30708700
2.47039993,-6.69291300,3.30708700
2.53439993,3.54330700,3.30708700
2.59839993,-1.18110200,3.30708700
2.66239993,0.00000000,3.30708700
2.72639992,0.00000000,3.30708700
2.79039992,5.90551100,3.30708700
2.85439992,1.18110200,3.30708700
2.91839992,3.54330700,3.30708700
2.98239992,5.11811000,3.30708700
3.04639991,-1.96850400,3.30708700
3.11039991,-1.96850400,3.30708700
3.17439991,-1.96850400,3.30708700
3.23839991,-5.90551100,3.30708700
3.30239991,-7.87401500,3.30708700
3.36639991,-1.57480300,3.30708700
3.43039990,-9.05511800,3.30708700
3.49439990,-9.05511800,3.30708700
3.55839990,-11.02362000,3.30708700
3.62239990,-12.99213000,3.30708700
3.68639990,-16.53543000,3.30708700
3.75039990,-3.93700800,3.22834600
3.81439989,-9.84251900,3.30708700
3.87839989,-4.72440900,3.30708700
3.94239989,-8.66141700,3.22834600
4.00639989,-2.36220500,3.30708700
4.07039989,-6.69291300,3.30708700
4.13439988,-5.11811000,3.30708700
4.19839988,-0.39370070,3.22834600
4.26239988,-1.96850400,3.30708700
4.32639988,1.96850400,3.30708700
4.39039988,0.00000000,3.30708700
4.45439988,4.33070900,3.30708700
4.51839987,-1.96850400,3.30708700
4.58239987,-0.39370070,3.30708700
4.64639987,-5.51181100,3.30708700
4.71039987,-3.54330700,3.30708700
4.77439987,-7.87401500,3.30708700
4.83839986,1.57480300,3.30708700
4.90239986,-7.08661400,3.30708700
4.96639986,-1.57480300,3.30708700
5.03039986,-1.57480300,3.30708700
5.09439986,-3.93700800,3.30708700
5.15839986,-4.33070900,3.30708700
5.22239985,-1.57480300,3.30708700
5.28639985,0.78740150,3.30708700
5.35039985,-3.93700800,3.30708700
5.41439985,5.90551100,3.30708700
5.47839985,1.96850400,3.30708700
5.54239984,0.78740150,3.30708700
5.60639984,0.78740150,3.30708700
5.67039984,5.11811000,3.30708700
5.73439984,-6.69291300,3.30708700
5.79839984,-0.78740150,3.30708700
5.86239984,-4.33070900,3.30708700
5.92639983,-3.93700800,3.30708700
5.99039983,-7.08661400,3.30708700
6.05439983,-3.54330700,3.30708700
6.11839983,-11.81102000,3.30708700
6.18239983,-12.99213000,3.30708700
6.24639982,-12.59842000,3.22834600
6.31039982,-14.56693000,3.30708700
6.37439982,-9.05511800,3.30708700
6.43839982,-8.66141700,3.30708700
6.50239982,-5.51181100,3.30708700
6.56639982,-13.77953000,3.30708700
6.63039981,-5.11811000,3.30708700
6.69439981,-8.26771600,3.30708700
6.75839981,-6.29921200,3.30708700
6.82239981,-4.33070900,3.30708700
6.88639981,1.57480300,3.30708700
6.95039980,-2.36220500,3.30708700
7.01439980,0.39370070,3.30708700
7.07839980,1.96850400,3.30708700
7.14239980,2.75590500,3.30708700
7.20639980,-5.51181100,3.30708700
7.27039980,-1.57480300,3.30708700
7.33439979,-2.36220500,3.30708700
7.39839979,-5.51181100,3.30708700
7.46239979,0.00000000,3.30708700
7.52639979,-5.11811000,3.30708700
7.59039979,-2.75590500,3.30708700
7.65439978,-4.72440900,3.30708700
7.71839978,-2.36220500,3.30708700
7.78239978,-5.90551100,3.30708700
7.84639978,-1.96850400,3.30708700
7.91039978,0.00000000,3.30708700
7.97439978,0.39370070,3.30708700
8.03839977,0.00000000,3.30708700
8.10239977,3.54330700,3.30708700
8.16639977,0.78740150,3.30708700
8.23039977,2.36220500,3.30708700
8.29439977,0.00000000,3.30708700
8.35839976,0.78740150,3.30708700
8.42239976,-3.54330700,3.30708700
8.48639976,-2.75590500,3.30708700
8.55039976,-1.57480300,3.30708700
8.61439976,-4.33070900,3.30708700
8.67839976,-6.69291300,3.30708700
8.74239975,-6.69291300,3.30708700
8.80639975,-12.20472000,3.30708700
8.87039975,-18.50394000,3.30708700
8.93439975,-11.02362000,3.30708700
8.99839975,-11.02362000,3.30708700
9.06239974,-5.90551100,3.30708700
9.12639974,-8.26771600,3.30708700
9.19039974,-2.75590500,3.30708700
9.25439974,-9.05511800,3.30708700
9.31839974,-1.57480300,3.30708700
9.38239974,-3.54330700,3.30708700
9.44639973,-3.54330700,3.30708700
9.51039973,-1.57480300,3.30708700
9.57439973,3.54330700,3.30708700
9.63839973,0.78740150,3.30708700
9.70239973,1.96850400,3.30708700
9.76639972,3.93700800,3.30708700
9.83039972,-2.36220500,3.30708700
9.89439972,1.18110200,3.30708700
9.95839972,1.18110200,3.30708700
10.02239972,-0.78740150,3.30708700
10.08639972,-2.75590500,3.30708700
10.15039971,3.54330700,3.30708700
10.21439971,-4.72440900,3.30708700
10.27839971,-2.75590500,3.30708700
10.34239971,-5.11811000,3.30708700
10.40639971,-0.39370070,3.30708700
10.47039970,-5.11811000,3.30708700
10.53439970,3.14960600,3.30708700
10.59839970,-0.78740150,3.30708700
10.66239970,1.96850400,3.30708700
10.72639970,1.57480300,3.30708700
10.79039970,3.54330700,3.30708700
10.85439969,0.78740150,3.30708700
10.91839969,0.39370070,3.30708700
10.98239969,3.93700800,3.30708700
11.04639969,1.57480300,3.30708700
11.11039969,2.36220500,3.30708700
11.17439969,0.00000000,3.30708700
11.23839968,1.18110200,3.30708700
11.30239968,-7.08661400,3.30708700
11.36639968,-4.72440900,3.30708700
11.43039968,-9.05511800,3.30708700
11.49439968,-9.05511800,3.30708700
11.55839967,-12.20472000,3.30708700
11.62239967,-6.69291300,3.30708700
11.68639967,-11.41732000,3.30708700
11.75039967,-9.84251900,3.30708700
11.81439967,-6.69291300,3.30708700
11.87839967,-11.81102000,3.30708700
11.94239966,-11.41732000,3.30708700
12.00639966,-5.51181100,3.30708700
12.07039966,-7.08661400,3.30708700
12.13439966,-4.72440900,3.30708700
12.19839966,1.57480300,3.30708700
12.26239965,-3.14960600,3.30708700
12.32639965,-1.96850400,3.30708700
12.39039965,-2.36220500,3.30708700
12.45439965,1.96850400,3.30708700
12.51839965,-6.29921200,3.30708700
12.58239965,1.96850400,3.30708700
12.64639964,-1.18110200,3.30708700
12.71039964,-1.57480300,3.30708700
12.77439964,-5.11811000,3.30708700
12.83839964,-0.78740150,3.30708700
12.90239964,-9.44881800,3.30708700
12.96639963,-5.11811000,3.30708700
13.03039963,-6.69291300,3.30708700
13.09439963,-5.51181100,3.30708700
13.15839963,-2.36220500,3.30708700
13.22239963,-3.14960600,3.30708700
13.28639963,1.57480300,3.30708700
13.35039962,-8.26771600,3.30708700
13.41439962,-1.18110200,3.30708700
13.47839962,-1.18110200,3.30708700
13.54239962,-5.90551100,3.30708700
13.60639962,-2.75590500,3.30708700
13.67039961,1.57480300,3.30708700
13.73439961,-5.11811000,3.30708700
13.79839961,0.00000000,3.30708700
13.86239961,-4.72440900,3.30708700
13.92639961,-10.62992000,3.30708700
13.99039961,-14.56693000,3.30708700
14.05439960,-7.87401500,3.30708700
14.11839960,-14.17323000,3.30708700
14.18239960,-13.38583000,3.30708700
14.24639960,-10.62992000,3.30708700
14.31039960,-14.56693000,3.30708700
14.37439959,-13.77953000,3.30708700
14.43839959,-16.92913000,3.30708700
14.50239959,-13.38583000,3.30708700
14.56639959,-18.11024000,3.30708700
14.63039959,-9.05511800,3.30708700
14.69439959,-14.17323000,3.30708700
14.75839958,-8.26771600,3.30708700
14.82239958,-9.05511800,3.30708700
14.88639958,-1.96850400,3.30708700
14.95039958,-6.69291300,3.30708700
15.01439958,-6.29921200,3.30708700
15.07839957,-4.72440900,3.30708700
15.14239957,-1.18110200,3.30708700
15.20639957,-5.90551100,3.30708700
15.27039957,-2.75590500,3.30708700
15.33439957,-2.75590500,3.30708700
15.39839957,-8.66141700,3.30708700
15.46239956,-6.29921200,3.30708700
15.52639956,-6.69291300,3.30708700
15.59039956,-11.41732000,3.30708700
15.65439956,-8.66141700,3.30708700
15.71839956,-5.11811000,3.30708700
15.78239955,-9.05511800,3.30708700
15.84639955,-2.36220500,3.30708700
15.91039955,-6.69291300,3.30708700
15.97439955,-1.96850400,3.30708700
16.03839955,-10.62992000,3.30708700
16.10239955,-1.18110200,3.30708700
16.16639954,-1.96850400,3.30708700
16.23039954,-5.51181100,3.30708700
16.29439954,0.00000000,3.30708700
16.35839954,-1.57480300,3.30708700
16.42239954,-6.29921200,3.30708700
16.48639953,-5.11811000,3.30708700
16.55039953,-3.54330700,3.30708700
16.61439953,-10.62992000,3.30708700
16.67839953,-7.08661400,3.30708700
16.74239953,-9.05511800,3.30708700
16.80639953,-10.23622000,3.30708700
16.87039952,-13.77953000,3.30708700
16.93439952,-12.59842000,3.30708700
16.99839952,-18.11024000,3.30708700
17.06239952,-20.47244000,3.30708700
17.12639952,-15.74803000,3.30708700
17.19039951,-13.38583000,3.30708700
17.25439951,-12.99213000,3.30708700
17.31839951,-7.87401500,3.30708700
17.38239951,-11.02362000,3.30708700
17.44639951,-6.69291300,3.30708700
17.51039951,-5.90551100,3.30708700
17.57439950,-11.41732000,3.30708700
17.63839950,-9.05511800,3.30708700
17.70239950,-7.08661400,3.30708700
17.76639950,-2.36220500,3.30708700
17.83039950,-4.33070900,3.30708700
17.89439949,-4.33070900,3.30708700
17.95839949,-3.54330700,3.30708700
18.02239949,-3.54330700,3.30708700
18.08639949,-11.81102000,3.30708700
18.15039949,-6.69291300,3.30708700
18.21439949,-10.23622000,3.30708700
18.27839948,-10.62992000,3.30708700
18.34239948,-6.69291300,3.30708700
18.40639948,-7.08661400,3.30708700
18.47039948,-8.66141700,3.30708700
18.53439948,-0.78740150,3.30708700
18.59839948,-8.66141700,3.30708700
18.66239947,-5.90551100,3.30708700
18.72639947,-6.69291300,3.30708700
18.79039947,-3.14960600,3.30708700
18.85439947,-3.14960600,3.30708700
18.91839947,-1.96850400,3.30708700
18.98239946,0.78740150,3.30708700
19.04639946,-3.54330700,3.30708700
19.11039946,-2.36220500,3.30708700
19.17439946,-5.11811000,3.30708700
19.23839946,-4.33070900,3.30708700
19.30239946,-8.66141700,3.30708700
19.36639945,-5.11811000,3.30708700
19.43039945,-10.62992000,3.30708700
19.49439945,-11.02362000,3.30708700
19.55839945,-16.53543000,3.30708700
19.62239945,-11.02362000,3.30708700
19.68639944,-15.35433000,3.30708700
19.75039944,-15.74803000,3.30708700
19.81439944,-11.81102000,3.30708700
19.87839944,-13.77953000,3.30708700
19.94239944,-14.96063000,3.30708700
20.00639944,-8.26771600,3.30708700
20.07039943,-12.59842000,3.30708700
20.13439943,-12.59842000,3.30708700
20.19839943,-4.72440900,3.30708700
20.26239943,-14.96063000,3.30708700
20.32639943,-7.48031400,3.30708700
20.39039942,-6.69291300,3.30708700
20.45439942,-1.96850400,3.30708700
20.51839942,-6.69291300,3.30708700
20.58239942,-2.75590500,3.30708700
20.64639942,-6.29921200,3.30708700
20.71039942,-7.48031400,3.30708700
20.77439941,-9.84251900,3.30708700
20.83839941,-4.72440900,3.30708700
20.90239941,-11.02362000,3.30708700
20.96639941,-9.44881800,3.30708700
21.03039941,-2.36220500,3.30708700
21.09439940,-11.81102000,3.30708700
21.15839940,-9.44881800,3.30708700
21.22239940,-5.51181100,3.30708700
21.28639940,-7.08661400,3.30708700
21.35039940,-5.90551100,3.30708700
21.41439940,0.00000000,3.30708700
21.47839939,-3.54330700,3.30708700
21.54239939,-1.18110200,3.30708700
21.60639939,-1.96850400,3.30708700
21.67039939,0.39370070,3.30708700
21.73439939,-7.08661400,3.30708700
21.79839938,-1.57480300,3.30708700
