Time,Channel A,Channel B
(us),(mV),(V)

-0.02694737,-7.08661400,0.07874016
0.03705263,0.00000000,3.07086600
0.10105263,-2.75590500,3.22834600
0.16505263,-8.66141700,3.22834600
0.22905263,-3.54330700,3.22834600
0.29305262,-7.08661400,3.22834600
0.35705262,-3.14960600,3.22834600
0.42105262,-9.84251900,3.22834600
0.48505262,-2.36220500,3.22834600
0.54905262,-6.69291300,3.22834600
0.61305261,-3.14960600,3.22834600
0.67705261,-5.51181100,3.22834600
0.74105261,-1.57480300,3.22834600
0.80505261,-7.48031400,3.30708700
0.86905261,-4.72440900,3.30708700
0.93305261,-1.18110200,3.22834600
0.99705260,-6.69291300,3.22834600
1.06105260,-5.51181100,3.22834600
1.12505260,-4.33070900,3.22834600
1.18905260,-4.33070900,3.22834600
1.25305260,-10.23622000,3.22834600
1.31705259,-3.14960600,3.22834600
1.38105259,-9.05511800,3.22834600
1.44505259,-6.69291300,3.30708700
1.50905259,-4.33070900,3.22834600
1.57305259,-2.36220500,3.22834600
1.63705259,-9.05511800,3.22834600
1.70105258,0.39370070,3.22834600
1.76505258,-5.90551100,3.22834600
1.82905258,-5.51181100,3.22834600
1.89305258,-4.33070900,3.22834600
1.95705258,-1.18110200,3.22834600
2.02105257,-3.93700800,3.22834600
2.08505257,0.39370070,3.30708700
2.14905257,2.75590500,3.30708700
2.21305257,-4.33070900,3.22834600
2.27705257,0.78740150,3.30708700
2.34105257,-1.96850400,3.22834600
2.40505256,-1.57480300,3.22834600
2.46905256,-7.48031400,3.30708700
2.53305256,1.96850400,3.22834600
2.59705256,-5.11811000,3.22834600
2.66105256,-1.57480300,3.30708700
2.72505255,-3.54330700,3.22834600
2.78905255,0.00000000,3.22834600
2.85305255,-5.90551100,3.22834600
2.91705255,-0.78740150,3.22834600
2.98105255,-0.78740150,3.30708700
3.04505255,-3.54330700,3.22834600
3.10905254,-1.96850400,3.22834600
3.17305254,1.57480300,3.22834600
3.23705254,-1.96850400,3.22834600
3.30105254,-4.72440900,3.30708700
3.36505254,1.57480300,3.30708700
3.42905254,-3.93700800,3.30708700
3.49305253,-1.57480300,3.30708700
3.55705253,-2.36220500,3.30708700
3.62105253,2.36220500,3.22834600
3.68505253,-7.48031400,3.30708700
3.74905253,1.18110200,3.30708700
3.81305252,-5.11811000,3.22834600
3.87705252,-5.11811000,3.30708700
3.94105252,-7.48031400,3.22834600
4.00505252,-1.96850400,3.22834600
4.06905252,-7.48031400,3.22834600
4.13305252,-5.90551100,3.22834600
4.19705251,0.00000000,3.30708700
4.26105251,-4.72440900,3.22834600
4.32505251,-3.54330700,3.22834600
4.38905251,-4.72440900,3.22834600
4.45305251,-2.36220500,3.22834600
4.51705250,-8.66141700,3.22834600
4.58105250,0.00000000,3.22834600
4.64505250,-2.36220500,3.22834600
4.70905250,-2.36220500,3.30708700
4.77305250,-2.36220500,3.30708700
4.83705250,3.54330700,3.30708700
4.90105249,-5.90551100,3.22834600
4.96505249,-1.96850400,3.30708700
5.02905249,-1.18110200,3.22834600
5.09305249,-3.54330700,3.30708700
5.15705249,-5.90551100,3.30708700
5.22105248,0.39370070,3.22834600
5.28505248,-3.93700800,3.22834600
5.34905248,-7.48031400,3.30708700
5.41305248,0.78740150,3.30708700
5.47705248,-5.51181100,3.22834600
5.54105248,-5.90551100,3.22834600
5.60505247,-2.36220500,3.30708700
5.66905247,1.96850400,3.30708700
5.73305247,-8.26771600,3.30708700
5.79705247,1.18110200,3.22834600
5.86105247,-3.14960600,3.30708700
5.92505246,-3.54330700,3.30708700
5.98905246,-4.72440900,3.30708700
6.05305246,1.18110200,3.30708700
6.11705246,-5.90551100,3.30708700
6.18105246,-1.96850400,3.30708700
6.24505246,0.78740150,3.30708700
6.30905245,-2.36220500,3.30708700
6.37305245,-4.72440900,3.30708700
6.43705245,-3.54330700,3.30708700
6.50105245,-3.93700800,3.30708700
6.56505245,-7.48031400,3.30708700
6.62905244,-4.33070900,3.30708700
6.69305244,-5.51181100,3.30708700
6.75705244,-3.54330700,3.30708700
6.82105244,-5.90551100,3.30708700
6.88505244,0.39370070,3.22834600
6.94905244,-7.08661400,3.30708700
7.01305243,-3.93700800,3.30708700
7.07705243,-4.72440900,3.30708700
7.14105243,-1.96850400,3.22834600
7.20505243,-7.48031400,3.30708700
7.26905243,0.78740150,3.30708700
7.33305242,-1.18110200,3.22834600
7.39705242,-3.14960600,3.30708700
7.46105242,0.00000000,3.22834600
7.52505242,-1.18110200,3.30708700
7.58905242,-3.14960600,3.30708700
7.65305242,-2.75590500,3.30708700
7.71705241,1.96850400,3.30708700
7.78105241,-6.69291300,3.30708700
7.84505241,-0.78740150,3.30708700
7.90905241,-2.36220500,3.30708700
7.97305241,-3.54330700,3.30708700
8.03705240,-7.08661400,3.30708700
8.10105240,0.00000000,3.30708700
8.16505240,-6.29921200,3.30708700
8.22905240,-1.96850400,3.30708700
8.29305240,-1.57480300,3.30708700
8.35705240,0.00000000,3.30708700
8.42105239,-5.90551100,3.22834600
8.48505239,0.00000000,3.30708700
8.54905239,-2.36220500,3.30708700
8.61305239,-5.51181100,3.30708700
8.67705239,-2.36220500,3.30708700
8.74105238,-0.78740150,3.30708700
8.80505238,-1.57480300,3.30708700
8.86905238,-3.93700800,3.30708700
8.93305238,2.75590500,3.30708700
8.99705238,-6.29921200,3.30708700
9.06105238,-2.36220500,3.30708700
9.12505237,-5.51181100,3.30708700
9.18905237,-3.14960600,3.30708700
9.25305237,-9.44881800,3.30708700
9.31705237,0.78740150,3.30708700
9.38105237,-4.33070900,3.22834600
9.44505236,-4.33070900,3.30708700
9.50905236,-2.75590500,3.30708700
9.57305236,-1.96850400,3.30708700
9.63705236,-4.72440900,3.30708700
9.70105236,-2.36220500,3.30708700
9.76505236,-0.39370070,3.30708700
9.82905235,-4.33070900,3.22834600
9.89305235,1.57480300,3.30708700
9.95705235,0.00000000,3.30708700
10.02105235,-0.78740150,3.30708700
10.08505235,-1.96850400,3.30708700
10.14905235,3.93700800,3.30708700
10.21305234,-3.14960600,3.30708700
10.27705234,1.96850400,3.30708700
10.34105234,-0.78740150,3.30708700
10.40505234,2.75590500,3.30708700
10.46905234,-3.14960600,3.30708700
10.53305233,1.18110200,3.30708700
10.59705233,-4.72440900,3.30708700
10.66105233,-3.14960600,3.30708700
10.72505233,-2.75590500,3.30708700
10.78905233,-0.39370070,3.30708700
10.85305233,-1.96850400,3.30708700
10.91705232,-3.93700800,3.30708700
10.98105232,3.93700800,3.30708700
11.04505232,-2.36220500,3.30708700
11.10905232,-1.57480300,3.30708700
11.17305232,-2.36220500,3.30708700
11.23705231,1.96850400,3.30708700
11.30105231,-6.29921200,3.30708700
11.36505231,2.75590500,3.30708700
11.42905231,-0.39370070,3.30708700
11.49305231,-1.57480300,3.30708700
11.55705231,-0.78740150,3.30708700
11.62105230,3.93700800,3.30708700
11.68505230,-6.69291300,3.30708700
11.74905230,-2.36220500,3.30708700
11.81305230,-0.78740150,3.30708700
11.87705230,-4.72440900,3.30708700
11.94105229,-5.11811000,3.30708700
12.00505229,-0.39370070,3.30708700
12.06905229,-4.33070900,3.30708700
12.13305229,-7.48031400,3.30708700
12.19705229,-0.39370070,3.22834600
12.26105229,-7.48031400,3.30708700
12.32505228,-4.72440900,3.30708700
12.38905228,-3.54330700,3.30708700
12.45305228,0.39370070,3.30708700
12.51705228,-7.08661400,3.30708700
12.58105228,1.18110200,3.30708700
12.64505227,-4.33070900,3.22834600
12.70905227,-1.96850400,3.30708700
12.77305227,-3.54330700,3.30708700
12.83705227,0.00000000,3.30708700
12.90105227,-3.54330700,3.30708700
12.96505227,-1.18110200,3.30708700
13.02905226,1.18110200,3.30708700
13.09305226,-3.54330700,3.30708700
13.15705226,-4.72440900,3.30708700
13.22105226,-4.72440900,3.30708700
13.28505226,-3.54330700,3.30708700
13.34905225,-10.23622000,3.30708700
13.41305225,-2.75590500,3.30708700
13.47705225,-3.93700800,3.30708700
13.54105225,-5.11811000,3.30708700
13.60505225,-6.69291300,3.30708700
13.66905225,-0.39370070,3.30708700
13.73305224,-9.84251900,3.30708700
13.79705224,-3.54330700,3.30708700
13.86105224,-5.51181100,3.30708700
13.92505224,-5.51181100,3.30708700
13.98905224,-9.05511800,3.30708700
14.05305223,-1.57480300,3.30708700
14.11705223,-6.69291300,3.30708700
14.18105223,-7.48031400,3.30708700
14.24505223,-3.54330700,3.30708700
14.30905223,-6.29921200,3.30708700
14.37305223,-5.90551100,3.30708700
14.43705222,-8.26771600,3.30708700
14.50105222,-3.54330700,3.30708700
14.56505222,-11.02362000,3.30708700
14.62905222,-4.72440900,3.30708700
14.69305222,-8.66141700,3.30708700
14.75705221,-7.08661400,3.30708700
14.82105221,-13.38583000,3.30708700
14.88505221,-4.72440900,3.22834600
14.94905221,-8.26771600,3.30708700
15.01305221,-8.26771600,3.22834600
15.07705221,-6.29921200,3.30708700
15.14105220,-3.14960600,3.30708700
15.20505220,-11.02362000,3.22834600
15.26905220,-5.11811000,3.30708700
15.33305220,-5.11811000,3.30708700
15.39705220,-9.44881800,3.30708700
15.46105219,-3.93700800,3.30708700
15.52505219,-3.54330700,3.30708700
15.58905219,-5.11811000,3.30708700
15.65305219,-7.48031400,3.30708700
15.71705219,0.78740150,3.30708700
15.78105219,-10.62992000,3.30708700
15.84505218,-5.90551100,3.30708700
15.90905218,-8.66141700,3.30708700
15.97305218,-6.69291300,3.30708700
16.03705218,-12.59842000,3.30708700
16.10105218,-2.36220500,3.30708700
16.16505217,-7.87401500,3.30708700
16.22905217,-9.44881800,3.30708700
16.29305217,-5.51181100,3.22834600
16.35705217,-7.08661400,3.30708700
16.42105217,-9.84251900,3.30708700
16.48505217,-7.48031400,3.30708700
16.54905216,-4.72440900,3.30708700
16.61305216,-8.66141700,3.30708700
16.67705216,-3.54330700,3.30708700
16.74105216,-6.69291300,3.30708700
16.80505216,-5.11811000,3.30708700
16.86905215,-8.66141700,3.30708700
16.93305215,-2.36220500,3.30708700
16.99705215,-8.66141700,3.30708700
17.06105215,-5.11811000,3.30708700
17.12505215,-8.66141700,3.30708700
17.18905215,-3.93700800,3.30708700
17.25305214,-11.02362000,3.30708700
17.31705214,-7.08661400,3.30708700
17.38105214,-8.66141700,3.30708700
17.44505214,-9.05511800,3.30708700
17.50905214,-9.44881800,3.30708700
17.57305214,-6.69291300,3.30708700
17.63705213,-7.48031400,3.30708700
17.70105213,-10.62992000,3.30708700
17.76505213,-2.75590500,3.30708700
17.82905213,-10.62992000,3.30708700
17.89305213,-9.05511800,3.30708700
17.95705212,-7.87401500,3.30708700
18.02105212,-4.33070900,3.22834600
18.08505212,-10.62992000,3.30708700
18.14905212,-1.57480300,3.30708700
18.21305212,-7.08661400,3.22834600
18.27705212,-5.90551100,3.30708700
18.34105211,-5.51181100,3.30708700
18.40505211,-4.72440900,3.30708700
18.46905211,-10.62992000,3.30708700
18.53305211,-6.69291300,3.30708700
18.59705211,-5.90551100,3.30708700
18.66105210,-9.84251900,3.30708700
18.72505210,-8.66141700,3.30708700
18.78905210,-6.29921200,3.30708700
18.85305210,-7.08661400,3.30708700
18.91705210,-11.81102000,3.30708700
18.98105210,-3.93700800,3.30708700
19.04505209,-9.84251900,3.30708700
19.10905209,-6.29921200,3.30708700
19.17305209,-7.08661400,3.30708700
19.23705209,-1.18110200,3.30708700
19.30105209,-11.81102000,3.30708700
19.36505208,-3.14960600,3.30708700
19.42905208,-5.90551100,3.30708700
19.49305208,-7.87401500,3.30708700
19.55705208,-8.26771600,3.30708700
19.62105208,-2.36220500,3.30708700
19.68505208,-6.69291300,3.30708700
19.74905207,-7.48031400,3.30708700
19.81305207,-1.96850400,3.30708700
19.87705207,-10.62992000,3.30708700
19.94105207,-8.66141700,3.30708700
20.00505207,-8.26771600,3.30708700
20.06905206,-7.48031400,3.30708700
20.13305206,-14.56693000,3.30708700
20.19705206,-4.72440900,3.30708700
20.26105206,-9.05511800,3.22834600
20.32505206,-8.26771600,3.30708700
20.38905206,-10.23622000,3.30708700
20.45305205,-6.29921200,3.30708700
20.51705205,-12.20472000,3.22834600
20.58105205,-7.48031400,3.30708700
20.64505205,-7.08661400,3.30708700
20.70905205,-7.87401500,3.30708700
20.77305204,-6.69291300,3.30708700
20.83705204,-4.33070900,3.30708700
20.90105204,-6.69291300,3.30708700
20.96505204,-9.05511800,3.30708700
21.02905204,-3.54330700,3.22834600
21.09305204,-9.05511800,3.30708700
21.15705203,-7.08661400,3.30708700
21.22105203,-11.02362000,3.30708700
21.28505203,-3.54330700,3.30708700
21.34905203,-12.20472000,3.30708700
21.41305203,-5.90551100,3.30708700
21.47705202,-7.08661400,3.30708700
21.54105202,-8.26771600,3.30708700
21.60505202,-11.02362000,3.30708700
21.66905202,-3.54330700,3.22834600
21.73305202,-6.69291300,3.30708700
