Time,Channel A,Channel B
(us),(mV),(V)

-0.02844444,0.39370070,0.07874016
0.03555556,14.56693000,2.91338600
0.09955555,-3.93700800,3.30708700
0.16355555,-4.33070900,3.30708700
0.22755555,-2.36220500,3.22834600
0.29155555,-7.48031400,3.22834600
0.35555555,-7.08661400,3.30708700
0.41955554,-7.08661400,3.30708700
0.48355554,-9.84251900,3.30708700
0.54755554,-7.48031400,3.22834600
0.61155554,-1.57480300,3.22834600
0.67555554,0.39370070,3.30708700
0.73955554,3.14960600,3.22834600
0.80355553,-1.57480300,3.30708700
0.86755553,1.18110200,3.30708700
0.93155553,-4.72440900,3.22834600
0.99555553,-1.18110200,3.30708700
1.05955553,2.36220500,3.30708700
1.12355552,0.00000000,3.22834600
1.18755552,3.93700800,3.30708700
1.25155552,3.54330700,3.22834600
1.31555552,1.96850400,3.30708700
1.37955552,-3.93700800,3.30708700
1.44355552,-1.57480300,3.30708700
1.50755551,-8.66141700,3.22834600
1.57155551,-5.90551100,3.30708700
1.63555551,-4.33070900,3.30708700
1.69955551,-5.90551100,3.30708700
1.76355551,-10.62992000,3.22834600
1.82755550,-5.90551100,3.22834600
1.89155550,-9.44881800,3.30708700
1.95555550,-9.84251900,3.30708700
2.01955550,-3.93700800,3.22834600
2.08355550,-3.14960600,3.22834600
2.14755550,-5.11811000,3.22834600
2.21155549,-3.54330700,3.30708700
2.27555549,0.39370070,3.22834600
2.33955549,-8.66141700,3.22834600
2.40355549,-0.78740150,3.30708700
2.46755549,-1.57480300,3.30708700
2.53155548,-1.57480300,3.22834600
2.59555548,-0.78740150,3.22834600
2.65955548,8.26771600,3.30708700
2.72355548,1.96850400,3.22834600
2.78755548,3.93700800,3.30708700
2.85155548,0.00000000,3.30708700
2.91555547,-5.51181100,3.30708700
2.97955547,-3.14960600,3.22834600
3.04355547,-1.96850400,3.22834600
3.10755547,1.18110200,3.30708700
3.17155547,-5.11811000,3.30708700
3.23555546,1.57480300,3.30708700
3.29955546,0.39370070,3.30708700
3.36355546,-3.54330700,3.30708700
3.42755546,-1.57480300,3.30708700
3.49155546,1.18110200,3.30708700
3.55555546,-0.78740150,3.30708700
3.61955545,-1.18110200,3.30708700
3.68355545,3.14960600,3.30708700
3.74755545,2.75590500,3.22834600
3.81155545,-0.39370070,3.30708700
3.87555545,5.90551100,3.22834600
3.93955544,-0.39370070,3.30708700
4.00355544,-1.18110200,3.30708700
4.06755544,-2.36220500,3.30708700
4.13155544,-0.39370070,3.30708700
4.19555544,-5.90551100,3.30708700
4.25955544,-2.75590500,3.30708700
4.32355543,-6.29921200,3.30708700
4.38755543,-11.81102000,3.30708700
4.45155543,-12.20472000,3.30708700
4.51555543,-16.14173000,3.30708700
4.57955543,-13.77953000,3.30708700
4.64355542,-8.66141700,3.30708700
4.70755542,-4.72440900,3.30708700
4.77155542,-4.72440900,3.30708700
4.83555542,-10.62992000,3.22834600
4.89955542,-5.90551100,3.30708700
4.96355542,-8.66141700,3.30708700
5.02755541,-9.84251900,3.22834600
5.09155541,-1.57480300,3.30708700
5.15555541,-1.96850400,3.30708700
5.21955541,0.39370070,3.22834600
5.28355541,-0.39370070,3.30708700
5.34755540,4.72440900,3.30708700
5.41155540,-1.96850400,3.30708700
5.47555540,-2.75590500,3.30708700
5.53955540,-3.14960600,3.30708700
5.60355540,-3.54330700,3.30708700
5.66755540,-6.69291300,3.30708700
5.73155539,1.57480300,3.30708700
5.79555539,-2.36220500,3.30708700
5.85955539,-5.51181100,3.30708700
5.92355539,-0.78740150,3.30708700
5.98755539,-7.08661400,3.30708700
6.05155538,-3.14960600,3.30708700
6.11555538,-2.75590500,3.30708700
6.17955538,3.93700800,3.30708700
6.24355538,-3.54330700,3.30708700
6.30755538,5.11811000,3.30708700
6.37155538,1.96850400,3.30708700
6.43555537,-0.78740150,3.30708700
6.49955537,-0.39370070,3.30708700
6.56355537,0.78740150,3.30708700
6.62755537,-1.57480300,3.30708700
6.69155537,0.00000000,3.30708700
6.75555536,-0.39370070,3.30708700
6.81955536,-2.36220500,3.30708700
6.88355536,-3.93700800,3.30708700
6.94755536,-6.29921200,3.30708700
7.01155536,-9.44881800,3.30708700
7.07555536,-13.77953000,3.30708700
7.13955535,-12.99213000,3.30708700
7.20355535,-13.38583000,3.30708700
7.26755535,-5.90551100,3.30708700
7.33155535,-11.81102000,3.30708700
7.39555535,-5.11811000,3.30708700
7.45955535,-14.56693000,3.22834600
7.52355534,-8.26771600,3.30708700
7.58755534,-11.02362000,3.30708700
7.65155534,-7.08661400,3.30708700
7.71555534,-4.33070900,3.30708700
7.77955534,-0.78740150,3.30708700
7.84355533,0.39370070,3.30708700
7.90755533,-4.33070900,3.30708700
7.97155533,0.39370070,3.30708700
8.03555533,-1.57480300,3.30708700
8.09955533,-2.36220500,3.30708700
8.16355533,-3.14960600,3.30708700
8.22755532,0.39370070,3.30708700
8.29155532,-5.51181100,3.30708700
8.35555532,1.96850400,3.30708700
8.41955532,-4.33070900,3.30708700
8.48355532,-5.11811000,3.30708700
8.54755531,-7.87401500,3.30708700
8.61155531,-5.11811000,3.30708700
8.67555531,-6.69291300,3.30708700
8.73955531,-2.36220500,3.30708700
8.80355531,1.57480300,3.30708700
8.86755531,0.78740150,3.30708700
8.93155530,0.00000000,3.30708700
8.99555530,0.00000000,3.30708700
9.05955530,-3.14960600,3.30708700
9.12355530,-3.54330700,3.30708700
9.18755530,1.18110200,3.30708700
9.25155529,0.00000000,3.30708700
9.31555529,2.75590500,3.30708700
9.37955529,1.96850400,3.30708700
9.44355529,4.33070900,3.30708700
9.50755529,-3.54330700,3.30708700
9.57155529,-3.14960600,3.30708700
9.63555528,-7.48031400,3.30708700
9.69955528,-6.29921200,3.30708700
9.76355528,-9.44881800,3.22834600
9.82755528,-3.93700800,3.30708700
9.89155528,-7.48031400,3.30708700
9.95555527,-8.26771600,3.30708700
10.01955527,-7.87401500,3.30708700
10.08355527,-7.08661400,3.30708700
10.14755527,-12.59842000,3.30708700
10.21155527,-5.51181100,3.22834600
10.27555527,-5.51181100,3.30708700
10.33955526,-4.33070900,3.30708700
10.40355526,-1.96850400,3.30708700
10.46755526,0.00000000,3.30708700
10.53155526,-2.36220500,3.30708700
10.59555526,-3.54330700,3.30708700
10.65955525,1.96850400,3.30708700
10.72355525,-5.11811000,3.30708700
10.78755525,0.00000000,3.30708700
10.85155525,0.39370070,3.30708700
10.91555525,0.78740150,3.22834600
10.97955525,-3.14960600,3.30708700
11.04355524,-0.39370070,3.30708700
11.10755524,-5.51181100,3.30708700
11.17155524,-3.54330700,3.30708700
11.23555524,-4.33070900,3.30708700
11.29955524,-2.75590500,3.30708700
11.36355523,-1.18110200,3.30708700
11.42755523,0.78740150,3.30708700
11.49155523,1.96850400,3.30708700
11.55555523,0.78740150,3.30708700
11.61955523,-1.96850400,3.30708700
11.68355523,-0.39370070,3.30708700
11.74755522,0.78740150,3.30708700
11.81155522,-1.18110200,3.30708700
11.87555522,4.33070900,3.30708700
11.93955522,3.14960600,3.30708700
12.00355522,1.96850400,3.30708700
12.06755521,0.00000000,3.30708700
12.13155521,0.39370070,3.30708700
12.19555521,-9.44881800,3.30708700
12.25955521,-3.54330700,3.30708700
12.32355521,-6.29921200,3.30708700
12.38755521,-9.05511800,3.30708700
12.45155520,-9.05511800,3.30708700
12.51555520,-4.72440900,3.30708700
12.57955520,-11.81102000,3.30708700
12.64355520,-13.77953000,3.30708700
12.70755520,-8.26771600,3.30708700
12.77155519,-14.17323000,3.30708700
12.83555519,-11.41732000,3.30708700
12.89955519,-6.69291300,3.30708700
12.96355519,-10.23622000,3.30708700
13.02755519,-8.26771600,3.30708700
13.09155519,-3.14960600,3.30708700
13.15555518,-12.99213000,3.30708700
13.21955518,-8.26771600,3.30708700
13.28355518,-6.69291300,3.30708700
13.34755518,-1.96850400,3.30708700
13.41155518,-3.54330700,3.30708700
13.47555517,-1.18110200,3.30708700
13.53955517,-3.14960600,3.30708700
13.60355517,-3.93700800,3.30708700
13.66755517,-9.84251900,3.30708700
13.73155517,-6.69291300,3.30708700
13.79555517,-8.66141700,3.30708700
13.85955516,-11.41732000,3.30708700
13.92355516,-1.57480300,3.30708700
13.98755516,-6.69291300,3.30708700
14.05155516,-5.51181100,3.30708700
14.11555516,-6.69291300,3.30708700
14.17955515,-3.54330700,3.30708700
14.24355515,-7.08661400,3.30708700
14.30755515,-3.54330700,3.30708700
14.37155515,-1.18110200,3.30708700
14.43555515,-1.18110200,3.30708700
14.49955515,-1.57480300,3.30708700
14.56355514,1.57480300,3.30708700
14.62755514,-4.72440900,3.30708700
14.69155514,-4.72440900,3.30708700
14.75555514,-2.75590500,3.30708700
14.81955514,-4.33070900,3.30708700
14.88355514,-8.66141700,3.30708700
14.94755513,-3.54330700,3.30708700
15.01155513,-8.26771600,3.30708700
15.07555513,-11.81102000,3.30708700
15.13955513,-10.23622000,3.30708700
15.20355513,-12.99213000,3.30708700
15.26755512,-16.92913000,3.30708700
15.33155512,-16.14173000,3.30708700
15.39555512,-9.84251900,3.22834600
15.45955512,-15.74803000,3.30708700
15.52355512,-9.05511800,3.30708700
15.58755512,-11.02362000,3.22834600
15.65155511,-12.99213000,3.30708700
15.71555511,-11.81102000,3.30708700
15.77955511,-5.11811000,3.30708700
15.84355511,-15.74803000,3.30708700
15.90755511,-6.69291300,3.30708700
15.97155510,-5.51181100,3.30708700
16.03555510,-1.96850400,3.30708700
16.09955510,-3.54330700,3.30708700
16.16355510,-7.48031400,3.30708700
16.22755510,-5.11811000,3.30708700
16.29155510,-7.87401500,3.30708700
16.35555509,-9.44881800,3.30708700
16.41955509,-7.08661400,3.30708700
16.48355509,-6.29921200,3.30708700
16.54755509,-7.87401500,3.30708700
16.61155509,-1.18110200,3.30708700
16.67555508,-9.05511800,3.30708700
16.73955508,-3.93700800,3.30708700
16.80355508,-6.69291300,3.30708700
16.86755508,-0.78740150,3.30708700
16.93155508,-7.08661400,3.30708700
16.99555508,3.14960600,3.30708700
17.05955507,-2.36220500,3.30708700
17.12355507,-0.39370070,3.30708700
17.18755507,-1.96850400,3.30708700
17.25155507,-3.14960600,3.30708700
17.31555507,-4.72440900,3.30708700
17.37955506,-1.57480300,3.30708700
17.44355506,0.78740150,3.30708700
17.50755506,-4.72440900,3.30708700
17.57155506,-2.75590500,3.30708700
17.63555506,-6.69291300,3.30708700
17.69955506,-9.05511800,3.30708700
17.76355505,-15.35433000,3.30708700
17.82755505,-13.38583000,3.30708700
17.89155505,-14.96063000,3.30708700
17.95555505,-14.56693000,3.30708700
18.01955505,-14.96063000,3.30708700
18.08355504,-12.20472000,3.30708700
18.14755504,-13.38583000,3.30708700
18.21155504,-12.99213000,3.30708700
18.27555504,-11.41732000,3.30708700
18.33955504,-14.17323000,3.30708700
18.40355504,-11.81102000,3.30708700
18.46755503,-5.51181100,3.30708700
18.53155503,-13.38583000,3.30708700
18.59555503,-6.69291300,3.30708700
18.65955503,-4.33070900,3.30708700
18.72355503,-7.87401500,3.30708700
18.78755502,-5.11811000,3.30708700
18.85155502,-4.72440900,3.30708700
18.91555502,-4.33070900,3.30708700
18.97955502,-7.87401500,3.30708700
19.04355502,0.00000000,3.30708700
19.10755502,-3.93700800,3.30708700
19.17155501,-6.29921200,3.30708700
19.23555501,-4.72440900,3.30708700
19.29955501,-7.08661400,3.30708700
19.36355501,-7.87401500,3.30708700
19.42755501,-4.72440900,3.30708700
19.49155500,-1.96850400,3.30708700
19.55555500,-4.33070900,3.30708700
19.61955500,-0.39370070,3.30708700
19.68355500,-1.18110200,3.30708700
19.74755500,-3.54330700,3.30708700
19.81155500,-1.96850400,3.30708700
19.87555499,-3.14960600,3.30708700
19.93955499,-3.54330700,3.30708700
20.00355499,2.75590500,3.30708700
20.06755499,-1.57480300,3.30708700
20.13155499,0.00000000,3.30708700
20.19555498,-5.90551100,3.30708700
20.25955498,-5.11811000,3.30708700
20.32355498,-11.02362000,3.30708700
20.38755498,-11.41732000,3.30708700
20.45155498,-14.96063000,3.30708700
20.51555498,-11.81102000,3.30708700
20.57955497,-14.17323000,3.30708700
20.64355497,-14.17323000,3.30708700
20.70755497,-13.38583000,3.30708700
20.77155497,-12.99213000,3.30708700
20.83555497,-15.35433000,3.30708700
20.89955496,-14.96063000,3.30708700
20.96355496,-10.62992000,3.30708700
21.02755496,-19.68504000,3.30708700
21.09155496,-5.90551100,3.30708700
21.15555496,-5.11811000,3.30708700
21.21955496,-9.05511800,3.30708700
21.28355495,-3.93700800,3.30708700
21.34755495,-2.75590500,3.30708700
21.41155495,-8.26771600,3.30708700
21.47555495,-1.18110200,3.30708700
21.53955495,-1.57480300,3.30708700
21.60355495,-0.39370070,3.30708700
21.66755494,-4.33070900,3.30708700
21.73155494,0.00000000,3.30708700
21.79555494,-10.62992000,3.30708700
