Time,Channel A,Channel B
(us),(mV),(V)

-0.01600000,-11.02362000,0.70866140
0.04800000,-6.69291300,3.22834600
0.11200000,-7.08661400,3.22834600
0.17600000,-10.62992000,3.22834600
0.23999999,-5.51181100,3.22834600
0.30399999,-8.66141700,3.22834600
0.36799999,-5.11811000,3.22834600
0.43199999,-5.90551100,3.30708700
0.49599999,-0.78740150,3.22834600
0.55999999,-7.48031400,3.30708700
0.62399998,-2.75590500,3.22834600
0.68799998,-3.54330700,3.22834600
0.75199998,-4.72440900,3.22834600
0.81599998,-7.87401500,3.22834600
0.87999998,-1.96850400,3.30708700
0.94399997,-7.48031400,3.22834600
1.00799997,-5.90551100,3.30708700
1.07199997,-3.14960600,3.22834600
1.13599997,-5.11811000,3.30708700
1.19999997,-6.69291300,3.30708700
1.26399997,-0.39370070,3.22834600
1.32799996,-0.78740150,3.22834600
1.39199996,-5.51181100,3.22834600
1.45599996,1.96850400,3.30708700
1.51999996,-2.75590500,3.22834600
1.58399996,-3.14960600,3.22834600
1.64799995,-3.93700800,3.22834600
1.71199995,1.57480300,3.22834600
1.77599995,-5.90551100,3.22834600
1.83999995,2.75590500,3.22834600
1.90399995,-0.78740150,3.30708700
1.96799995,0.00000000,3.22834600
2.03199994,-0.39370070,3.30708700
2.09599994,1.57480300,3.22834600
2.15999994,-4.72440900,3.30708700
2.22399994,-4.33070900,3.22834600
2.28799994,-3.54330700,3.22834600
2.35199993,-4.72440900,3.30708700
2.41599993,-3.54330700,3.30708700
2.47999993,-3.14960600,3.22834600
2.54399993,-2.36220500,3.30708700
2.60799993,-5.51181100,3.22834600
2.67199993,-1.18110200,3.22834600
2.73599992,-6.29921200,3.22834600
2.79999992,-3.54330700,3.22834600
2.86399992,-3.93700800,3.22834600
2.92799992,1.18110200,3.30708700
2.99199992,-3.93700800,3.22834600
3.05599991,-1.57480300,3.22834600
3.11999991,-2.36220500,3.22834600
3.18399991,-1.18110200,3.22834600
3.24799991,-5.11811000,3.22834600
3.31199991,0.78740150,3.22834600
3.37599991,-2.36220500,3.22834600
3.43999990,-1.96850400,3.30708700
3.50399990,-0.39370070,3.22834600
3.56799990,-3.54330700,3.22834600
3.63199990,-3.93700800,3.30708700
3.69599990,-5.11811000,3.22834600
3.75999990,-1.96850400,3.22834600
3.82399989,-5.90551100,3.30708700
3.88799989,-0.78740150,3.30708700
3.95199989,-1.96850400,3.30708700
4.01599989,-0.78740150,3.30708700
4.07999989,-1.96850400,3.30708700
4.14399988,1.96850400,3.30708700
4.20799988,-5.11811000,3.30708700
4.27199988,-0.39370070,3.22834600
4.33599988,-1.57480300,3.22834600
4.39999988,0.00000000,3.30708700
4.46399988,-3.93700800,3.30708700
4.52799987,1.96850400,3.30708700
4.59199987,-1.18110200,3.22834600
4.65599987,-3.14960600,3.22834600
4.71999987,-1.57480300,3.30708700
4.78399987,-2.75590500,3.30708700
4.84799986,-6.29921200,3.22834600
4.91199986,-5.90551100,3.30708700
4.97599986,-0.78740150,3.30708700
5.03999986,-9.05511800,3.22834600
5.10399986,-2.75590500,3.30708700
5.16799986,-3.14960600,3.30708700
5.23199985,-5.11811000,3.22834600
5.29599985,-8.66141700,3.22834600
5.35999985,-1.96850400,3.22834600
5.42399985,-6.69291300,3.30708700
5.48799985,-3.54330700,3.22834600
5.55199984,-1.96850400,3.30708700
5.61599984,-2.36220500,3.30708700
5.67999984,-7.48031400,3.22834600
5.74399984,0.00000000,3.30708700
5.80799984,-3.93700800,3.30708700
5.87199984,-6.29921200,3.30708700
5.93599983,0.00000000,3.30708700
5.99999983,-0.78740150,3.22834600
6.06399983,-1.57480300,3.30708700
6.12799983,-3.14960600,3.30708700
6.19199983,-0.39370070,3.30708700
6.25599982,-7.48031400,3.30708700
6.31999982,-2.75590500,3.30708700
6.38399982,-6.29921200,3.30708700
6.44799982,-1.18110200,3.30708700
6.51199982,-5.11811000,3.30708700
6.57599982,2.36220500,3.30708700
6.63999981,-3.93700800,3.30708700
6.70399981,0.00000000,3.30708700
6.76799981,-1.57480300,3.30708700
6.83199981,-0.78740150,3.22834600
6.89599981,-3.14960600,3.30708700
6.95999980,-2.36220500,3.30708700
7.02399980,0.78740150,3.30708700
7.08799980,-2.75590500,3.30708700
7.15199980,0.39370070,3.30708700
7.21599980,0.00000000,3.30708700
7.27999980,-1.18110200,3.30708700
7.34399979,-5.11811000,3.30708700
7.40799979,1.57480300,3.30708700
7.47199979,-4.72440900,3.30708700
7.53599979,-4.72440900,3.30708700
7.59999979,-4.72440900,3.30708700
7.66399978,-0.78740150,3.30708700
7.72799978,-7.08661400,3.30708700
7.79199978,-1.96850400,3.30708700
7.85599978,-6.29921200,3.30708700
7.91999978,-5.90551100,3.30708700
7.98399978,-6.69291300,3.30708700
8.04799977,-0.78740150,3.30708700
8.11199977,-4.72440900,3.22834600
8.17599977,-4.33070900,3.30708700
8.23999977,0.39370070,3.30708700
8.30399977,-7.48031400,3.22834600
8.36799976,-3.93700800,3.22834600
8.43199976,-4.72440900,3.22834600
8.49599976,-1.18110200,3.30708700
8.55999976,-5.51181100,3.30708700
8.62399976,1.96850400,3.30708700
8.68799976,-2.36220500,3.30708700
8.75199975,-1.96850400,3.30708700
8.81599975,-3.54330700,3.22834600
8.87999975,-1.57480300,3.30708700
8.94399975,-9.05511800,3.30708700
9.00799975,-3.14960600,3.30708700
9.07199974,-3.14960600,3.30708700
9.13599974,-2.75590500,3.30708700
9.19999974,-3.14960600,3.22834600
9.26399974,0.78740150,3.30708700
9.32799974,-2.36220500,3.30708700
9.39199974,-0.39370070,3.22834600
9.45599973,3.14960600,3.22834600
9.51999973,-1.18110200,3.30708700
9.58399973,0.39370070,3.30708700
9.64799973,1.96850400,3.30708700
9.71199973,3.54330700,3.30708700
9.77599972,-2.36220500,3.30708700
9.83999972,5.11811000,3.30708700
9.90399972,-1.18110200,3.30708700
9.96799972,1.96850400,3.30708700
10.03199972,0.00000000,3.30708700
10.09599972,1.96850400,3.30708700
10.15999971,-3.93700800,3.30708700
10.22399971,0.00000000,3.30708700
10.28799971,-2.75590500,3.30708700
10.35199971,-4.33070900,3.30708700
10.41599971,-5.11811000,3.30708700
10.47999970,-4.72440900,3.30708700
10.54399970,-4.33070900,3.22834600
10.60799970,-4.72440900,3.22834600
10.67199970,-2.36220500,3.30708700
10.73599970,-2.75590500,3.30708700
10.79999970,-2.36220500,3.30708700
10.86399969,-3.54330700,3.22834600
10.92799969,-1.57480300,3.30708700
10.99199969,-5.90551100,3.22834600
11.05599969,-0.78740150,3.30708700
11.11999969,-3.14960600,3.22834600
11.18399969,-0.39370070,3.30708700
11.24799968,-3.93700800,3.30708700
11.31199968,2.75590500,3.30708700
11.37599968,-3.54330700,3.22834600
11.43999968,-1.96850400,3.30708700
11.50399968,-2.36220500,3.30708700
11.56799967,-3.93700800,3.30708700
11.63199967,-6.29921200,3.30708700
11.69599967,-0.78740150,3.30708700
11.75999967,-1.96850400,3.30708700
11.82399967,-6.69291300,3.30708700
11.88799967,0.39370070,3.22834600
11.95199966,-3.14960600,3.30708700
12.01599966,-3.93700800,3.30708700
12.07999966,-2.36220500,3.30708700
12.14399966,1.96850400,3.30708700
12.20799966,-5.11811000,3.30708700
12.27199965,1.57480300,3.30708700
12.33599965,-1.18110200,3.22834600
12.39999965,-2.36220500,3.30708700
12.46399965,-4.33070900,3.30708700
12.52799965,2.36220500,3.30708700
12.59199965,-4.33070900,3.30708700
12.65599964,-0.78740150,3.30708700
12.71999964,-0.78740150,3.30708700
12.78399964,-1.57480300,3.30708700
12.84799964,-6.69291300,3.30708700
12.91199964,-4.33070900,3.22834600
12.97599963,-5.90551100,3.30708700
13.03999963,-11.02362000,3.30708700
13.10399963,-5.11811000,3.30708700
13.16799963,-7.87401500,3.30708700
13.23199963,-8.66141700,3.30708700
13.29599963,-10.23622000,3.22834600
13.35999962,-2.75590500,3.22834600
13.42399962,-12.20472000,3.22834600
13.48799962,-7.08661400,3.22834600
13.55199962,-9.05511800,3.22834600
13.61599962,-6.69291300,3.30708700
13.67999961,-11.02362000,3.22834600
13.74399961,-7.87401500,3.30708700
13.80799961,-7.87401500,3.22834600
13.87199961,-9.84251900,3.30708700
13.93599961,-7.48031400,3.22834600
13.99999961,-6.29921200,3.22834600
14.06399960,-9.84251900,3.30708700
14.12799960,-6.69291300,3.30708700
14.19199960,-5.11811000,3.22834600
14.25599960,-7.48031400,3.30708700
14.31999960,-5.51181100,3.30708700
14.38399959,-6.69291300,3.30708700
14.44799959,-5.11811000,3.30708700
14.51199959,-10.62992000,3.30708700
14.57599959,-4.33070900,3.30708700
14.63999959,-9.84251900,3.22834600
14.70399959,-4.72440900,3.30708700
14.76799958,-6.69291300,3.30708700
14.83199958,-0.78740150,3.22834600
14.89599958,-8.66141700,3.30708700
14.95999958,-3.54330700,3.30708700
15.02399958,-3.14960600,3.30708700
15.08799957,-6.69291300,3.22834600
15.15199957,-6.69291300,3.30708700
15.21599957,-1.57480300,3.30708700
15.27999957,-5.51181100,3.30708700
15.34399957,-6.29921200,3.30708700
15.40799957,-1.18110200,3.30708700
15.47199956,-7.87401500,3.30708700
15.53599956,-9.84251900,3.30708700
15.59999956,-7.48031400,3.30708700
15.66399956,-7.48031400,3.30708700
15.72799956,-14.56693000,3.30708700
15.79199955,-5.11811000,3.30708700
15.85599955,-9.44881800,3.30708700
15.91999955,-10.62992000,3.30708700
15.98399955,-10.62992000,3.30708700
16.04799955,-6.69291300,3.30708700
16.11199955,-14.96063000,3.30708700
16.17599954,-7.08661400,3.22834600
16.23999954,-11.41732000,3.22834600
16.30399954,-9.84251900,3.22834600
16.36799954,-9.44881800,3.30708700
16.43199954,-6.29921200,3.30708700
16.49599953,-7.08661400,3.22834600
16.55999953,-8.26771600,3.30708700
16.62399953,-3.93700800,3.22834600
16.68799953,-7.08661400,3.30708700
16.75199953,-4.33070900,3.30708700
16.81599953,-5.51181100,3.30708700
16.87999952,-3.93700800,3.30708700
16.94399952,-8.26771600,3.30708700
17.00799952,-5.51181100,3.30708700
17.07199952,-8.26771600,3.30708700
17.13599952,-8.66141700,3.22834600
17.19999951,-9.84251900,3.30708700
17.26399951,-3.54330700,3.30708700
17.32799951,-7.48031400,3.22834600
17.39199951,-2.36220500,3.30708700
17.45599951,-4.72440900,3.30708700
17.51999951,-3.54330700,3.30708700
17.58399950,-6.29921200,3.30708700
17.64799950,-3.93700800,3.30708700
17.71199950,-5.90551100,3.30708700
17.77599950,-7.87401500,3.30708700
17.83999950,-2.75590500,3.30708700
17.90399949,-4.33070900,3.30708700
17.96799949,-4.72440900,3.30708700
18.03199949,-7.08661400,3.30708700
18.09599949,-3.14960600,3.30708700
18.15999949,-10.62992000,3.30708700
18.22399949,-6.29921200,3.30708700
18.28799948,-10.23622000,3.30708700
18.35199948,-7.08661400,3.30708700
18.41599948,-11.41732000,3.30708700
18.47999948,-5.11811000,3.30708700
18.54399948,-11.02362000,3.30708700
18.60799948,-12.20472000,3.30708700
18.67199947,-10.23622000,3.30708700
18.73599947,-7.48031400,3.22834600
18.79999947,-11.02362000,3.22834600
18.86399947,-6.29921200,3.30708700
18.92799947,-5.90551100,3.30708700
18.99199946,-7.87401500,3.22834600
19.05599946,-6.29921200,3.30708700
19.11999946,-5.51181100,3.30708700
19.18399946,-7.08661400,3.22834600
19.24799946,-9.05511800,3.30708700
19.31199946,-0.78740150,3.30708700
19.37599945,-8.26771600,3.30708700
19.43999945,-4.72440900,3.30708700
19.50399945,-5.90551100,3.22834600
19.56799945,-4.72440900,3.30708700
19.63199945,-11.41732000,3.30708700
19.69599944,-2.75590500,3.30708700
19.75999944,-7.87401500,3.22834600
19.82399944,-7.87401500,3.30708700
19.88799944,-3.14960600,3.30708700
19.95199944,-3.54330700,3.30708700
20.01599944,-8.26771600,3.30708700
20.07999943,-3.14960600,3.30708700
20.14399943,-3.54330700,3.30708700
20.20799943,-8.26771600,3.30708700
20.27199943,-3.54330700,3.30708700
20.33599943,-4.72440900,3.30708700
20.39999942,-5.11811000,3.30708700
20.46399942,-7.08661400,3.30708700
20.52799942,-0.78740150,3.30708700
20.59199942,-7.48031400,3.30708700
20.65599942,-4.72440900,3.30708700
20.71999942,-6.29921200,3.30708700
20.78399941,-3.54330700,3.30708700
20.84799941,-10.23622000,3.30708700
20.91199941,-4.33070900,3.30708700
20.97599941,-8.26771600,3.30708700
21.03999941,-7.48031400,3.30708700
21.10399940,-10.62992000,3.30708700
21.16799940,-7.48031400,3.30708700
21.23199940,-9.05511800,3.30708700
21.29599940,-9.84251900,3.30708700
21.35999940,-3.54330700,3.30708700
21.42399940,-8.26771600,3.22834600
21.48799939,-5.90551100,3.30708700
21.55199939,-7.08661400,3.30708700
21.61599939,-3.54330700,3.30708700
21.67999939,-12.20472000,3.30708700
