Time,Channel A,Channel B
(us),(mV),(V)

-0.02653658,-5.51181100,0.00000000
0.03746341,-10.23622000,3.22834600
0.10146341,-3.54330700,3.22834600
0.16546341,-11.41732000,3.22834600
0.22946341,-10.23622000,3.22834600
0.29346341,-7.08661400,3.22834600
0.35746340,-7.08661400,3.22834600
0.42146340,-8.66141700,3.22834600
0.48546340,-2.75590500,3.22834600
0.54946340,-3.93700800,3.22834600
0.61346340,-9.84251900,3.22834600
0.67746340,-4.33070900,3.22834600
0.74146339,-5.51181100,3.22834600
0.80546339,-7.08661400,3.22834600
0.86946339,-6.29921200,3.22834600
0.93346339,-1.18110200,3.22834600
0.99746339,-7.87401500,3.22834600
1.06146339,-1.96850400,3.22834600
1.12546338,-3.93700800,3.22834600
1.18946338,-3.93700800,3.22834600
1.25346338,-10.23622000,3.22834600
1.31746338,-0.39370070,3.22834600
1.38146338,-7.87401500,3.22834600
1.44546337,-5.51181100,3.22834600
1.50946337,-3.54330700,3.22834600
1.57346337,-2.36220500,3.22834600
1.63746337,-6.29921200,3.22834600
1.70146337,-2.36220500,3.22834600
1.76546337,-0.39370070,3.22834600
1.82946336,-6.29921200,3.22834600
1.89346336,0.39370070,3.22834600
1.95746336,-1.57480300,3.22834600
2.02146336,-1.57480300,3.22834600
2.08546336,-3.14960600,3.22834600
2.14946335,3.54330700,3.22834600
2.21346335,-4.72440900,3.22834600
2.27746335,-0.39370070,3.30708700
2.34146335,-1.96850400,3.30708700
2.40546335,-1.96850400,3.30708700
2.46946335,-5.11811000,3.30708700
2.53346334,0.39370070,3.22834600
2.59746334,-5.90551100,3.22834600
2.66146334,-4.72440900,3.22834600
2.72546334,-3.93700800,3.22834600
2.78946334,-4.72440900,3.22834600
2.85346333,-6.29921200,3.30708700
2.91746333,-3.54330700,3.22834600
2.98146333,-2.36220500,3.22834600
3.04546333,-5.90551100,3.22834600
3.10946333,0.00000000,3.22834600
3.17346333,-5.51181100,3.22834600
3.23746332,-2.36220500,3.22834600
3.30146332,-6.29921200,3.22834600
3.36546332,-0.39370070,3.22834600
3.42946332,-5.90551100,3.22834600
3.49346332,-1.96850400,3.22834600
3.55746331,-3.14960600,3.22834600
3.62146331,0.39370070,3.22834600
3.68546331,-5.90551100,3.30708700
3.74946331,-2.36220500,3.22834600
3.81346331,-1.57480300,3.22834600
3.87746331,-5.51181100,3.22834600
3.94146330,-4.33070900,3.22834600
4.00546330,-2.36220500,3.30708700
4.06946330,-4.72440900,3.22834600
4.13346330,-6.29921200,3.30708700
4.19746330,0.00000000,3.30708700
4.26146329,-6.69291300,3.22834600
4.32546329,-5.11811000,3.22834600
4.38946329,-0.78740150,3.22834600
4.45346329,-0.39370070,3.22834600
4.51746329,-7.48031400,3.30708700
4.58146329,3.14960600,3.30708700
4.64546328,-5.11811000,3.22834600
4.70946328,-3.14960600,3.30708700
4.77346328,-3.14960600,3.22834600
4.83746328,-0.39370070,3.22834600
4.90146328,-7.87401500,3.30708700
4.96546327,-0.39370070,3.30708700
5.02946327,-1.96850400,3.30708700
5.09346327,-6.69291300,3.30708700
5.15746327,-2.36220500,3.30708700
5.22146327,-3.14960600,3.22834600
5.28546327,-5.90551100,3.30708700
5.34946326,-9.44881800,3.30708700
5.41346326,-2.36220500,3.22834600
5.47746326,-10.23622000,3.22834600
5.54146326,-3.93700800,3.22834600
5.60546326,-3.93700800,3.22834600
5.66946325,-3.54330700,3.22834600
5.73346325,-8.26771600,3.22834600
5.79746325,-1.96850400,3.22834600
5.86146325,-5.51181100,3.22834600
5.92546325,-4.72440900,3.22834600
5.98946325,-8.26771600,3.22834600
6.05346324,-0.78740150,3.30708700
6.11746324,-5.11811000,3.22834600
6.18146324,-2.75590500,3.22834600
6.24546324,-1.18110200,3.22834600
6.30946324,-3.93700800,3.30708700
6.37346323,-5.51181100,3.30708700
6.43746323,-1.96850400,3.22834600
6.50146323,-1.96850400,3.22834600
6.56546323,-7.08661400,3.30708700
6.62946323,0.78740150,3.30708700
6.69346323,-7.08661400,3.30708700
6.75746322,-3.93700800,3.30708700
6.82146322,-7.87401500,3.30708700
6.88546322,-0.78740150,3.30708700
6.94946322,-9.44881800,3.22834600
7.01346322,-1.57480300,3.30708700
7.07746321,-1.96850400,3.30708700
7.14146321,-1.96850400,3.30708700
7.20546321,-7.08661400,3.30708700
7.26946321,0.00000000,3.30708700
7.33346321,-3.93700800,3.22834600
7.39746321,-5.11811000,3.30708700
7.46146320,-0.39370070,3.30708700
7.52546320,-3.93700800,3.22834600
7.58946320,-3.93700800,3.30708700
7.65346320,-3.54330700,3.30708700
7.71746320,0.78740150,3.30708700
7.78146319,-6.69291300,3.30708700
7.84546319,-1.18110200,3.30708700
7.90946319,-6.29921200,3.30708700
7.97346319,-5.90551100,3.30708700
8.03746319,-9.44881800,3.30708700
8.10146319,0.00000000,3.30708700
8.16546318,-9.05511800,3.30708700
8.22946318,-2.75590500,3.30708700
8.29346318,-3.93700800,3.22834600
8.35746318,-3.93700800,3.30708700
8.42146318,-8.26771600,3.22834600
8.48546318,-3.14960600,3.30708700
8.54946317,-5.51181100,3.22834600
8.61346317,-7.48031400,3.30708700
8.67746317,0.78740150,3.22834600
8.74146317,-5.90551100,3.22834600
8.80546317,-3.14960600,3.22834600
8.86946316,-4.72440900,3.22834600
8.93346316,0.00000000,3.22834600
8.99746316,-9.44881800,3.22834600
9.06146316,-3.14960600,3.22834600
9.12546316,-3.54330700,3.30708700
9.18946316,6.29921200,3.30708700
9.25346315,-5.90551100,3.22834600
9.31746315,-1.18110200,3.30708700
9.38146315,-5.11811000,3.30708700
9.44546315,-3.54330700,3.30708700
9.50946315,-2.36220500,3.30708700
9.57346314,-2.75590500,3.22834600
9.63746314,-3.54330700,3.22834600
9.70146314,0.39370070,3.30708700
9.76546314,1.57480300,3.30708700
9.82946314,-1.18110200,3.22834600
9.89346314,0.39370070,3.30708700
9.95746313,-1.18110200,3.30708700
10.02146313,2.75590500,3.30708700
10.08546313,-4.72440900,3.30708700
10.14946313,4.33070900,3.30708700
10.21346313,-3.14960600,3.30708700
10.27746312,1.18110200,3.30708700
10.34146312,-1.18110200,3.30708700
10.40546312,0.78740150,3.30708700
10.46946312,-7.08661400,3.30708700
10.53346312,0.00000000,3.30708700
10.59746312,-3.14960600,3.30708700
10.66146311,-7.87401500,3.30708700
10.72546311,-2.75590500,3.30708700
10.78946311,-1.96850400,3.30708700
10.85346311,-4.33070900,3.22834600
10.91746311,-4.33070900,3.30708700
10.98146310,0.00000000,3.22834600
11.04546310,-9.05511800,3.30708700
11.10946310,-2.75590500,3.22834600
11.17346310,-0.78740150,3.30708700
11.23746310,-1.96850400,3.30708700
11.30146310,-7.08661400,3.22834600
11.36546309,2.36220500,3.22834600
11.42946309,-5.51181100,3.22834600
11.49346309,-3.93700800,3.22834600
11.55746309,-3.14960600,3.22834600
11.62146309,-0.39370070,3.30708700
11.68546308,-4.72440900,3.30708700
11.74946308,0.39370070,3.30708700
11.81346308,-1.18110200,3.22834600
11.87746308,-4.33070900,3.30708700
11.94146308,-2.75590500,3.30708700
12.00546308,-4.33070900,3.30708700
12.06946307,-3.54330700,3.30708700
12.13346307,-8.26771600,3.30708700
12.19746307,0.00000000,3.30708700
12.26146307,-4.72440900,3.30708700
12.32546307,-1.57480300,3.30708700
12.38946306,-4.72440900,3.30708700
12.45346306,1.18110200,3.30708700
12.51746306,-5.90551100,3.30708700
12.58146306,-0.39370070,3.30708700
12.64546306,-1.57480300,3.30708700
12.70946306,-3.14960600,3.30708700
12.77346305,-3.93700800,3.30708700
12.83746305,1.18110200,3.30708700
12.90146305,-4.33070900,3.30708700
12.96546305,-5.51181100,3.30708700
13.02946305,-1.57480300,3.30708700
13.09346304,-5.90551100,3.30708700
13.15746304,-7.08661400,3.30708700
13.22146304,-5.51181100,3.30708700
13.28546304,-4.33070900,3.30708700
13.34946304,-12.20472000,3.30708700
13.41346304,-3.93700800,3.30708700
13.47746303,-9.84251900,3.22834600
13.54146303,-9.05511800,3.30708700
13.60546303,-11.02362000,3.30708700
13.66946303,-3.54330700,3.30708700
13.73346303,-12.20472000,3.30708700
13.79746302,-6.69291300,3.22834600
13.86146302,-7.87401500,3.22834600
13.92546302,-7.87401500,3.22834600
13.98946302,-10.62992000,3.22834600
14.05346302,-7.48031400,3.22834600
14.11746302,-7.48031400,3.22834600
14.18146301,-11.41732000,3.22834600
14.24546301,-2.36220500,3.30708700
14.30946301,-5.90551100,3.30708700
14.37346301,-6.69291300,3.30708700
14.43746301,-6.69291300,3.30708700
14.50146300,-0.78740150,3.30708700
14.56546300,-11.02362000,3.30708700
14.62946300,-6.69291300,3.30708700
14.69346300,-6.69291300,3.30708700
14.75746300,-7.48031400,3.30708700
14.82146300,-10.23622000,3.30708700
14.88546299,-3.14960600,3.30708700
14.94946299,-9.05511800,3.30708700
15.01346299,-6.69291300,3.30708700
15.07746299,-5.90551100,3.30708700
15.14146299,-5.11811000,3.30708700
15.20546299,-7.08661400,3.22834600
15.26946298,-5.11811000,3.30708700
15.33346298,-3.14960600,3.30708700
15.39746298,-8.66141700,3.30708700
15.46146298,-4.33070900,3.30708700
15.52546298,-7.87401500,3.30708700
15.58946297,-5.11811000,3.30708700
15.65346297,-10.23622000,3.30708700
15.71746297,-3.54330700,3.30708700
15.78146297,-9.44881800,3.30708700
15.84546297,-5.90551100,3.30708700
15.90946297,-8.66141700,3.22834600
15.97346296,-6.69291300,3.30708700
16.03746296,-12.99213000,3.30708700
16.10146296,-9.05511800,3.22834600
16.16546296,-9.05511800,3.30708700
16.22946296,-11.81102000,3.30708700
16.29346295,-10.62992000,3.30708700
16.35746295,-7.87401500,3.30708700
16.42146295,-9.84251900,3.30708700
16.48546295,-9.05511800,3.30708700
16.54946295,-4.33070900,3.22834600
16.61346295,-10.62992000,3.30708700
16.67746294,-8.66141700,3.22834600
16.74146294,-5.90551100,3.30708700
16.80546294,-5.51181100,3.30708700
16.86946294,-12.20472000,3.30708700
16.93346294,-0.78740150,3.30708700
16.99746293,-7.87401500,3.22834600
17.06146293,-7.48031400,3.30708700
17.12546293,-7.08661400,3.30708700
17.18946293,-5.11811000,3.30708700
17.25346293,-11.81102000,3.30708700
17.31746293,-5.11811000,3.30708700
17.38146292,-5.51181100,3.30708700
17.44546292,-10.62992000,3.30708700
17.50946292,-5.51181100,3.30708700
17.57346292,-6.29921200,3.30708700
17.63746292,-8.26771600,3.30708700
17.70146291,-9.84251900,3.30708700
17.76546291,-3.93700800,3.30708700
17.82946291,-9.05511800,3.30708700
17.89346291,-4.33070900,3.30708700
17.95746291,-6.69291300,3.30708700
18.02146291,-5.11811000,3.30708700
18.08546290,-10.23622000,3.30708700
18.14946290,-4.72440900,3.30708700
18.21346290,-9.44881800,3.30708700
18.27746290,-7.48031400,3.30708700
18.34146290,-8.66141700,3.30708700
18.40546289,-5.11811000,3.30708700
18.46946289,-8.26771600,3.30708700
18.53346289,-7.87401500,3.30708700
18.59746289,-8.26771600,3.22834600
18.66146289,-11.81102000,3.30708700
18.72546289,-11.41732000,3.30708700
18.78946288,-11.41732000,3.30708700
18.85346288,-7.48031400,3.30708700
18.91746288,-12.99213000,3.30708700
18.98146288,-3.93700800,3.30708700
19.04546288,-10.62992000,3.30708700
19.10946287,-8.66141700,3.30708700
19.17346287,-10.62992000,3.22834600
19.23746287,-3.54330700,3.22834600
19.30146287,-12.20472000,3.22834600
19.36546287,-7.48031400,3.30708700
19.42946287,-6.69291300,3.22834600
19.49346286,-9.05511800,3.22834600
19.55746286,-8.66141700,3.22834600
19.62146286,-4.33070900,3.22834600
19.68546286,-8.66141700,3.30708700
19.74946286,-9.44881800,3.30708700
19.81346285,-1.96850400,3.30708700
19.87746285,-7.87401500,3.30708700
19.94146285,-8.26771600,3.30708700
20.00546285,-5.51181100,3.30708700
20.06946285,-4.72440900,3.30708700
20.13346285,-12.59842000,3.30708700
20.19746284,-4.72440900,3.30708700
20.26146284,-9.84251900,3.22834600
20.32546284,-9.05511800,3.30708700
20.38946284,-9.44881800,3.30708700
20.45346284,-3.14960600,3.30708700
20.51746283,-11.02362000,3.30708700
20.58146283,-5.11811000,3.30708700
20.64546283,-5.90551100,3.30708700
20.70946283,-8.66141700,3.30708700
20.77346283,-9.84251900,3.30708700
20.83746283,-6.69291300,3.30708700
20.90146282,-6.29921200,3.30708700
20.96546282,-10.62992000,3.30708700
21.02946282,-3.93700800,3.30708700
21.09346282,-9.44881800,3.30708700
21.15746282,-7.87401500,3.30708700
21.22146281,-9.05511800,3.30708700
21.28546281,-5.11811000,3.30708700
21.34946281,-13.77953000,3.30708700
21.41346281,-5.90551100,3.30708700
21.47746281,-7.48031400,3.30708700
21.54146281,-8.26771600,3.30708700
21.60546280,-10.23622000,3.30708700
21.66946280,-5.51181100,3.30708700
