Time,Channel A,Channel B
(us),(mV),(V)

-0.02767567,0.39370070,0.07874016
0.03632432,12.20472000,2.99212600
0.10032432,-10.62992000,3.22834600
0.16432432,-6.69291300,3.30708700
0.22832432,-6.29921200,3.30708700
0.29232432,-4.72440900,3.30708700
0.35632431,-6.29921200,3.22834600
0.42032431,0.00000000,3.22834600
0.48432431,-8.66141700,3.22834600
0.54832431,-4.33070900,3.22834600
0.61232431,-5.51181100,3.22834600
0.67632431,-3.54330700,3.30708700
0.74032430,-5.51181100,3.22834600
0.80432430,0.00000000,3.30708700
0.86832430,1.18110200,3.30708700
0.93232430,-1.96850400,3.22834600
0.99632430,3.93700800,3.30708700
1.06032430,0.00000000,3.30708700
1.12432429,2.36220500,3.30708700
1.18832429,0.00000000,3.30708700
1.25232429,0.78740150,3.30708700
1.31632429,-4.33070900,3.22834600
1.38032429,0.39370070,3.30708700
1.44432428,-1.96850400,3.30708700
1.50832428,-3.93700800,3.30708700
1.57232428,-8.26771600,3.30708700
1.63632428,-6.69291300,3.22834600
1.70032428,-9.84251900,3.22834600
1.76432428,-10.23622000,3.22834600
1.82832427,-9.44881800,3.30708700
1.89232427,-4.33070900,3.30708700
1.95632427,-5.51181100,3.22834600
2.02032427,-3.54330700,3.22834600
2.08432427,-4.72440900,3.30708700
2.14832426,-6.69291300,3.22834600
2.21232426,-7.87401500,3.30708700
2.27632426,-1.96850400,3.30708700
2.34032426,-3.54330700,3.22834600
2.40432426,-3.93700800,3.22834600
2.46832426,6.69291300,3.30708700
2.53232425,1.57480300,3.22834600
2.59632425,4.33070900,3.30708700
2.66032425,3.54330700,3.30708700
2.72432425,1.57480300,3.30708700
2.78832425,-2.75590500,3.30708700
2.85232424,1.57480300,3.30708700
2.91632424,-2.36220500,3.30708700
2.98032424,-0.39370070,3.30708700
3.04432424,0.00000000,3.30708700
3.10832424,3.54330700,3.30708700
3.17232424,-5.51181100,3.30708700
3.23632423,-1.18110200,3.30708700
3.30032423,-2.36220500,3.30708700
3.36432423,-4.33070900,3.22834600
3.42832423,0.00000000,3.22834600
3.49232423,2.36220500,3.30708700
3.55632422,3.93700800,3.30708700
3.62032422,-1.18110200,3.30708700
3.68432422,5.90551100,3.30708700
3.74832422,0.00000000,3.30708700
3.81232422,0.00000000,3.30708700
3.87632422,0.39370070,3.30708700
3.94032421,5.90551100,3.30708700
4.00432421,-2.75590500,3.30708700
4.06832421,1.18110200,3.30708700
4.13232421,-2.36220500,3.30708700
4.19632421,-5.51181100,3.30708700
4.26032420,-7.87401500,3.30708700
4.32432420,-5.51181100,3.30708700
4.38832420,-12.59842000,3.30708700
4.45232420,-12.99213000,3.30708700
4.51632420,-9.05511800,3.30708700
4.58032420,-11.81102000,3.30708700
4.64432419,-7.48031400,3.30708700
4.70832419,-8.26771600,3.30708700
4.77232419,-7.08661400,3.30708700
4.83632419,-15.74803000,3.30708700
4.90032419,-3.54330700,3.30708700
4.96432418,-8.66141700,3.30708700
5.02832418,-3.93700800,3.30708700
5.09232418,1.96850400,3.30708700
5.15632418,3.54330700,3.30708700
5.22032418,-1.96850400,3.30708700
5.28432418,3.54330700,3.30708700
5.34832417,-1.96850400,3.30708700
5.41232417,0.39370070,3.30708700
5.47632417,-2.36220500,3.30708700
5.54032417,-1.57480300,3.30708700
5.60432417,-0.39370070,3.30708700
5.66832416,-0.78740150,3.30708700
5.73232416,1.57480300,3.30708700
5.79632416,-6.29921200,3.30708700
5.86032416,-2.75590500,3.30708700
5.92432416,-6.69291300,3.30708700
5.98832416,-3.14960600,3.30708700
6.05232415,-2.36220500,3.30708700
6.11632415,0.39370070,3.30708700
6.18032415,2.36220500,3.30708700
6.24432415,0.78740150,3.30708700
6.30832415,-1.18110200,3.30708700
6.37232414,0.78740150,3.30708700
6.43632414,-1.18110200,3.30708700
6.50032414,1.18110200,3.30708700
6.56432414,2.75590500,3.30708700
6.62832414,3.93700800,3.30708700
6.69232414,-1.96850400,3.30708700
6.75632413,-0.39370070,3.30708700
6.82032413,-2.75590500,3.30708700
6.88432413,-8.66141700,3.30708700
6.94832413,-7.87401500,3.30708700
7.01232413,-8.26771600,3.30708700
7.07632412,-10.23622000,3.30708700
7.14032412,-13.38583000,3.22834600
7.20432412,-7.48031400,3.30708700
7.26832412,-10.62992000,3.30708700
7.33232412,-8.26771600,3.30708700
7.39632412,-10.62992000,3.22834600
7.46032411,-12.59842000,3.30708700
7.52432411,-10.62992000,3.30708700
7.58832411,-4.33070900,3.30708700
7.65232411,-4.72440900,3.30708700
7.71632411,0.78740150,3.30708700
7.78032410,1.18110200,3.30708700
7.84432410,1.18110200,3.30708700
7.90832410,-1.57480300,3.30708700
7.97232410,0.00000000,3.30708700
8.03632410,0.00000000,3.30708700
8.10032410,-2.36220500,3.30708700
8.16432409,0.00000000,3.30708700
8.22832409,2.75590500,3.30708700
8.29232409,-1.57480300,3.30708700
8.35632409,0.00000000,3.30708700
8.42032409,-2.75590500,3.30708700
8.48432409,-5.90551100,3.30708700
8.54832408,-5.90551100,3.30708700
8.61232408,-5.11811000,3.30708700
8.67632408,1.18110200,3.30708700
8.74032408,-4.33070900,3.30708700
8.80432408,6.29921200,3.30708700
8.86832407,-2.36220500,3.30708700
8.93232407,-1.96850400,3.30708700
8.99632407,-0.78740150,3.30708700
9.06032407,0.78740150,3.30708700
9.12432407,-3.14960600,3.30708700
9.18832407,3.14960600,3.30708700
9.25232406,6.69291300,3.30708700
9.31632406,0.00000000,3.30708700
9.38032406,2.75590500,3.30708700
9.44432406,-0.78740150,3.30708700
9.50832406,-3.93700800,3.30708700
9.57232405,-5.90551100,3.30708700
9.63632405,-1.57480300,3.30708700
9.70032405,-7.48031400,3.30708700
9.76432405,-6.29921200,3.30708700
9.82832405,-4.33070900,3.30708700
9.89232405,-7.08661400,3.30708700
9.95632404,-11.41732000,3.30708700
10.02032404,-8.66141700,3.30708700
10.08432404,-10.23622000,3.30708700
10.14832404,-9.44881800,3.30708700
10.21232404,-6.29921200,3.30708700
10.27632403,-3.54330700,3.30708700
10.34032403,-1.96850400,3.30708700
10.40432403,-1.57480300,3.30708700
10.46832403,0.39370070,3.30708700
10.53232403,-1.96850400,3.30708700
10.59632403,-1.96850400,3.30708700
10.66032402,-0.39370070,3.30708700
10.72432402,3.93700800,3.30708700
10.78832402,-2.36220500,3.30708700
10.85232402,1.96850400,3.30708700
10.91632402,0.00000000,3.30708700
10.98032401,-1.18110200,3.30708700
11.04432401,-5.11811000,3.30708700
11.10832401,-1.18110200,3.30708700
11.17232401,-4.72440900,3.30708700
11.23632401,-3.14960600,3.30708700
11.30032401,0.39370070,3.30708700
11.36432400,-0.39370070,3.30708700
11.42832400,-3.54330700,3.30708700
11.49232400,1.96850400,3.30708700
11.55632400,0.00000000,3.30708700
11.62032400,-3.54330700,3.30708700
11.68432399,1.57480300,3.30708700
11.74832399,1.96850400,3.30708700
11.81232399,0.78740150,3.30708700
11.87632399,3.93700800,3.30708700
11.94032399,5.90551100,3.30708700
12.00432399,-3.14960600,3.30708700
12.06832398,0.78740150,3.30708700
12.13232398,-4.33070900,3.30708700
12.19632398,-5.51181100,3.30708700
12.26032398,-9.05511800,3.30708700
12.32432398,-3.14960600,3.30708700
12.38832397,-9.05511800,3.30708700
12.45232397,-8.26771600,3.30708700
12.51632397,-8.66141700,3.30708700
12.58032397,-11.81102000,3.30708700
12.64432397,-16.14173000,3.30708700
12.70832397,-12.20472000,3.30708700
12.77232396,-11.02362000,3.22834600
12.83632396,-15.35433000,3.30708700
12.90032396,-6.29921200,3.30708700
12.96432396,-9.84251900,3.30708700
13.02832396,-6.69291300,3.30708700
13.09232395,-7.08661400,3.30708700
13.15632395,-8.66141700,3.30708700
13.22032395,-7.87401500,3.30708700
13.28432395,-3.14960600,3.30708700
13.34832395,-2.75590500,3.30708700
13.41232395,-0.39370070,3.30708700
13.47632394,-5.11811000,3.30708700
13.54032394,-0.78740150,3.30708700
13.60432394,-7.87401500,3.30708700
13.66832394,-9.05511800,3.30708700
13.73232394,-7.08661400,3.30708700
13.79632393,-5.90551100,3.30708700
13.86032393,-10.62992000,3.30708700
13.92432393,-2.36220500,3.30708700
13.98832393,-7.87401500,3.30708700
14.05232393,-9.44881800,3.30708700
14.11632393,-3.93700800,3.30708700
14.18032392,-9.84251900,3.30708700
14.24432392,-5.11811000,3.30708700
14.30832392,-7.08661400,3.30708700
14.37232392,-0.39370070,3.30708700
14.43632392,-4.33070900,3.30708700
14.50032391,0.78740150,3.30708700
14.56432391,-2.36220500,3.30708700
14.62832391,-1.96850400,3.30708700
14.69232391,-5.11811000,3.30708700
14.75632391,-7.48031400,3.30708700
14.82032391,-8.66141700,3.30708700
14.88432390,-7.87401500,3.30708700
14.94832390,-7.87401500,3.30708700
15.01232390,-7.48031400,3.30708700
15.07632390,-11.02362000,3.30708700
15.14032390,-14.96063000,3.30708700
15.20432390,-13.77953000,3.30708700
15.26832389,-18.50394000,3.30708700
15.33232389,-19.29134000,3.30708700
15.39632389,-13.77953000,3.30708700
15.46032389,-11.81102000,3.30708700
15.52432389,-16.92913000,3.30708700
15.58832388,-7.87401500,3.30708700
15.65232388,-15.74803000,3.22834600
15.71632388,-10.62992000,3.30708700
15.78032388,-7.87401500,3.30708700
15.84432388,-10.62992000,3.30708700
15.90832388,-9.84251900,3.30708700
15.97232387,-2.75590500,3.30708700
16.03632387,-0.78740150,3.30708700
16.10032387,-5.90551100,3.30708700
16.16432387,-6.29921200,3.30708700
16.22832387,-7.08661400,3.30708700
16.29232386,-8.66141700,3.30708700
16.35632386,-11.81102000,3.30708700
16.42032386,-6.29921200,3.30708700
16.48432386,-9.84251900,3.30708700
16.54832386,-7.48031400,3.30708700
16.61232386,-3.14960600,3.30708700
16.67632385,-7.48031400,3.30708700
16.74032385,-8.66141700,3.30708700
16.80432385,-5.11811000,3.30708700
16.86832385,-5.90551100,3.30708700
16.93232385,-6.29921200,3.30708700
16.99632384,-2.75590500,3.30708700
17.06032384,0.00000000,3.30708700
17.12432384,-3.54330700,3.30708700
17.18832384,-1.18110200,3.30708700
17.25232384,-2.36220500,3.30708700
17.31632384,-5.51181100,3.30708700
17.38032383,-4.72440900,3.30708700
17.44432383,-2.75590500,3.30708700
17.50832383,-4.72440900,3.30708700
17.57232383,-8.66141700,3.30708700
17.63632383,-4.33070900,3.30708700
17.70032382,-11.81102000,3.30708700
17.76432382,-14.56693000,3.30708700
17.82832382,-17.32283000,3.30708700
17.89232382,-14.96063000,3.30708700
17.95632382,-19.68504000,3.30708700
18.02032382,-15.35433000,3.30708700
18.08432381,-13.77953000,3.30708700
18.14832381,-13.38583000,3.30708700
18.21232381,-16.92913000,3.30708700
18.27632381,-9.84251900,3.30708700
18.34032381,-16.14173000,3.30708700
18.40432380,-9.44881800,3.30708700
18.46832380,-6.69291300,3.30708700
18.53232380,-12.20472000,3.30708700
18.59632380,-4.33070900,3.30708700
18.66032380,-3.93700800,3.30708700
18.72432380,-5.11811000,3.30708700
18.78832379,-6.69291300,3.30708700
18.85232379,-3.93700800,3.30708700
18.91632379,-9.05511800,3.30708700
18.98032379,-4.33070900,3.30708700
19.04432379,-7.48031400,3.30708700
19.10832378,0.00000000,3.30708700
19.17232378,-7.48031400,3.30708700
19.23632378,-3.14960600,3.30708700
19.30032378,-9.05511800,3.30708700
19.36432378,-4.33070900,3.30708700
19.42832378,-9.44881800,3.30708700
19.49232377,-3.54330700,3.30708700
19.55632377,-3.54330700,3.30708700
19.62032377,-4.72440900,3.30708700
19.68432377,-0.78740150,3.30708700
19.74832377,0.78740150,3.30708700
19.81232376,-1.96850400,3.30708700
19.87632376,-3.54330700,3.30708700
19.94032376,0.39370070,3.30708700
20.00432376,-3.93700800,3.30708700
20.06832376,-2.36220500,3.30708700
20.13232376,-2.36220500,3.30708700
20.19632375,-4.33070900,3.30708700
20.26032375,-8.66141700,3.30708700
20.32432375,-5.51181100,3.30708700
20.38832375,-15.74803000,3.30708700
20.45232375,-14.17323000,3.30708700
20.51632374,-15.35433000,3.30708700
20.58032374,-15.74803000,3.30708700
20.64432374,-18.50394000,3.30708700
20.70832374,-12.59842000,3.30708700
20.77232374,-12.99213000,3.30708700
20.83632374,-14.17323000,3.30708700
20.90032373,-14.56693000,3.30708700
20.96432373,-13.38583000,3.30708700
21.02832373,-17.32283000,3.30708700
21.09232373,-10.23622000,3.30708700
21.15632373,-4.33070900,3.30708700
21.22032372,-7.48031400,3.30708700
21.28432372,0.39370070,3.30708700
21.34832372,-2.75590500,3.30708700
21.41232372,-2.36220500,3.30708700
21.47632372,-4.33070900,3.30708700
21.54032372,-1.96850400,3.30708700
21.60432371,-3.54330700,3.30708700
21.66832371,-3.14960600,3.30708700
21.73232371,-2.36220500,3.30708700
21.79632371,-3.54330700,3.30708700
21.86032371,-5.90551100,3.30708700
