Time,Channel A,Channel B
(us),(mV),(V)

-0.02653658,-2.75590500,0.00000000
0.03746341,-9.05511800,3.22834600
0.10146341,-11.41732000,3.22834600
0.16546341,-9.44881800,3.22834600
0.22946341,-5.90551100,3.22834600
0.29346341,-14.17323000,3.22834600
0.35746340,-3.14960600,3.22834600
0.42146340,-7.87401500,3.22834600
0.48546340,-6.69291300,3.22834600
0.54946340,-7.48031400,3.30708700
0.61346340,-3.14960600,3.22834600
0.67746340,-11.81102000,3.22834600
0.74146339,-3.93700800,3.22834600
0.80546339,-3.54330700,3.22834600
0.86946339,-5.51181100,3.22834600
0.93346339,-4.72440900,3.22834600
0.99746339,-3.93700800,3.22834600
1.06146339,-4.72440900,3.22834600
1.12546338,-7.08661400,3.22834600
1.18946338,-2.36220500,3.22834600
1.25346338,-5.90551100,3.22834600
1.31746338,-2.75590500,3.22834600
1.38146338,-5.51181100,3.22834600
1.44546337,-1.18110200,3.22834600
1.50946337,-7.48031400,3.22834600
1.57346337,-3.93700800,3.22834600
1.63746337,-6.29921200,3.22834600
1.70146337,-1.96850400,3.22834600
1.76546337,-7.08661400,3.22834600
1.82946336,-0.39370070,3.22834600
1.89346336,-2.36220500,3.22834600
1.95746336,-1.96850400,3.22834600
2.02146336,-0.39370070,3.22834600
2.08546336,-0.78740150,3.22834600
2.14946335,-3.14960600,3.22834600
2.21346335,-3.14960600,3.30708700
2.27746335,1.96850400,3.22834600
2.34146335,-5.90551100,3.22834600
2.40546335,0.39370070,3.22834600
2.46946335,-1.96850400,3.22834600
2.53346334,-0.39370070,3.22834600
2.59746334,-5.51181100,3.22834600
2.66146334,0.39370070,3.22834600
2.72546334,-7.08661400,3.22834600
2.78946334,-4.72440900,3.22834600
2.85346333,-3.14960600,3.22834600
2.91746333,-2.75590500,3.30708700
2.98146333,-7.08661400,3.22834600
3.04546333,-1.57480300,3.22834600
3.10946333,-3.93700800,3.22834600
3.17346333,-8.26771600,3.22834600
3.23746332,-4.72440900,3.22834600
3.30146332,-1.96850400,3.22834600
3.36546332,-5.11811000,3.22834600
3.42946332,-4.33070900,3.22834600
3.49346332,0.39370070,3.22834600
3.55746331,-7.08661400,3.22834600
3.62146331,-3.14960600,3.22834600
3.68546331,-3.54330700,3.22834600
3.74946331,-2.36220500,3.22834600
3.81346331,-8.66141700,3.30708700
3.87746331,2.75590500,3.22834600
3.94146330,-3.93700800,3.22834600
4.00546330,-3.93700800,3.22834600
4.06946330,-3.14960600,3.30708700
4.13346330,-3.14960600,3.30708700
4.19746330,-8.26771600,3.22834600
4.26146329,-2.75590500,3.30708700
4.32546329,-1.96850400,3.22834600
4.38946329,-7.87401500,3.22834600
4.45346329,-1.18110200,3.30708700
4.51746329,-1.57480300,3.22834600
4.58146329,-4.72440900,3.22834600
4.64546328,-5.90551100,3.22834600
4.70946328,0.39370070,3.22834600
4.77346328,-6.69291300,3.22834600
4.83746328,-1.57480300,3.30708700
4.90146328,-3.54330700,3.30708700
4.96546327,-1.57480300,3.22834600
5.02946327,-6.29921200,3.22834600
5.09346327,0.78740150,3.30708700
5.15746327,-6.29921200,3.30708700
5.22146327,-4.33070900,3.30708700
5.28546327,-4.72440900,3.30708700
5.34946326,-2.75590500,3.30708700
5.41346326,-6.29921200,3.22834600
5.47746326,-6.29921200,3.30708700
5.54146326,-3.14960600,3.22834600
5.60546326,-6.69291300,3.22834600
5.66946325,-5.90551100,3.30708700
5.73346325,-7.48031400,3.22834600
5.79746325,-4.33070900,3.22834600
5.86146325,-10.23622000,3.22834600
5.92546325,0.39370070,3.22834600
5.98946325,-5.51181100,3.30708700
6.05346324,-5.11811000,3.22834600
6.11746324,-6.69291300,3.22834600
6.18146324,0.00000000,3.30708700
6.24546324,-9.05511800,3.22834600
6.30946324,-4.33070900,3.22834600
6.37346323,-1.96850400,3.30708700
6.43746323,-4.72440900,3.30708700
6.50146323,-4.33070900,3.22834600
6.56546323,0.39370070,3.30708700
6.62946323,-5.11811000,3.30708700
6.69346323,-7.08661400,3.22834600
6.75746322,-0.39370070,3.30708700
6.82146322,-7.87401500,3.30708700
6.88546322,-4.72440900,3.30708700
6.94946322,-3.54330700,3.30708700
7.01346322,0.39370070,3.30708700
7.07746321,-9.05511800,3.30708700
7.14146321,0.39370070,3.30708700
7.20546321,-6.69291300,3.30708700
7.26946321,-4.33070900,3.30708700
7.33346321,-4.33070900,3.30708700
7.39746321,0.00000000,3.30708700
7.46146320,-5.90551100,3.30708700
7.52546320,-1.96850400,3.30708700
7.58946320,-0.78740150,3.30708700
7.65346320,-5.51181100,3.22834600
7.71746320,-3.54330700,3.30708700
7.78146319,-3.14960600,3.30708700
7.84546319,-2.75590500,3.30708700
7.90946319,-6.29921200,3.30708700
7.97346319,0.00000000,3.30708700
8.03746319,-6.29921200,3.30708700
8.10146319,-4.72440900,3.30708700
8.16546318,-5.90551100,3.30708700
8.22946318,-3.14960600,3.30708700
8.29346318,-10.62992000,3.30708700
8.35746318,-3.54330700,3.30708700
8.42146318,-6.29921200,3.30708700
8.48546318,-5.90551100,3.22834600
8.54946317,-5.90551100,3.22834600
8.61346317,-2.36220500,3.22834600
8.67746317,-7.08661400,3.30708700
8.74146317,-5.90551100,3.22834600
8.80546317,-3.93700800,3.22834600
8.86946316,-7.87401500,3.30708700
8.93346316,-4.33070900,3.22834600
8.99746316,-4.33070900,3.30708700
9.06146316,-2.36220500,3.22834600
9.12546316,-7.48031400,3.30708700
9.18946316,0.00000000,3.30708700
9.25346315,-5.90551100,3.22834600
9.31746315,-1.18110200,3.30708700
9.38146315,-5.11811000,3.30708700
9.44546315,0.39370070,3.30708700
9.50946315,-3.93700800,3.22834600
9.57346314,0.00000000,3.30708700
9.63746314,-1.96850400,3.30708700
9.70146314,-1.18110200,3.30708700
9.76546314,-4.33070900,3.30708700
9.82946314,-0.39370070,3.30708700
9.89346314,-0.78740150,3.30708700
9.95746313,-3.14960600,3.30708700
10.02146313,1.57480300,3.30708700
10.08546313,0.00000000,3.22834600
10.14946313,-1.57480300,3.30708700
10.21346313,-2.36220500,3.30708700
10.27746312,1.57480300,3.30708700
10.34146312,-7.08661400,3.30708700
10.40546312,1.18110200,3.30708700
10.46946312,-1.96850400,3.30708700
10.53346312,-2.36220500,3.30708700
10.59746312,-4.72440900,3.30708700
10.66146311,3.93700800,3.30708700
10.72546311,-7.87401500,3.30708700
10.78946311,-4.33070900,3.30708700
10.85346311,-2.75590500,3.30708700
10.91746311,-5.51181100,3.30708700
10.98146310,-5.11811000,3.30708700
11.04546310,-0.39370070,3.30708700
11.10946310,-3.54330700,3.22834600
11.17346310,-7.87401500,3.30708700
11.23746310,0.39370070,3.22834600
11.30146310,-5.90551100,3.30708700
11.36546309,-5.11811000,3.30708700
11.42946309,-3.54330700,3.30708700
11.49346309,-1.18110200,3.30708700
11.55746309,-7.08661400,3.22834600
11.62146309,0.00000000,3.30708700
11.68546308,-4.33070900,3.22834600
11.74946308,-3.54330700,3.30708700
11.81346308,-4.72440900,3.22834600
11.87746308,-0.39370070,3.30708700
11.94146308,-6.29921200,3.22834600
12.00546308,-2.36220500,3.22834600
12.06946307,-1.57480300,3.30708700
12.13346307,-1.96850400,3.30708700
12.19746307,-5.11811000,3.30708700
12.26146307,-3.14960600,3.22834600
12.32546307,-2.75590500,3.30708700
12.38946306,-7.08661400,3.30708700
12.45346306,-1.57480300,3.22834600
12.51746306,-4.33070900,3.30708700
12.58146306,-1.18110200,3.30708700
12.64546306,-4.72440900,3.30708700
12.70946306,1.18110200,3.30708700
12.77346305,-7.08661400,3.30708700
12.83746305,-2.36220500,3.30708700
12.90146305,-3.54330700,3.30708700
12.96546305,-2.75590500,3.30708700
13.02946305,-7.48031400,3.30708700
13.09346304,-1.18110200,3.30708700
13.15746304,-4.33070900,3.30708700
13.22146304,-7.48031400,3.30708700
13.28546304,-4.72440900,3.30708700
13.34946304,-6.29921200,3.30708700
13.41346304,-9.84251900,3.22834600
13.47746303,-8.26771600,3.30708700
13.54146303,-4.33070900,3.22834600
13.60546303,-11.41732000,3.30708700
13.66946303,-7.08661400,3.30708700
13.73346303,-7.08661400,3.30708700
13.79746302,-7.48031400,3.30708700
13.86146302,-16.14173000,3.30708700
13.92546302,-4.72440900,3.22834600
13.98946302,-12.20472000,3.30708700
14.05346302,-8.66141700,3.30708700
14.11746302,-7.08661400,3.30708700
14.18146301,-5.11811000,3.30708700
14.24546301,-11.81102000,3.30708700
14.30946301,-5.11811000,3.30708700
14.37346301,-5.11811000,3.22834600
14.43746301,-10.62992000,3.30708700
14.50146300,-6.29921200,3.30708700
14.56546300,-4.72440900,3.22834600
14.62946300,-6.69291300,3.30708700
14.69346300,-7.87401500,3.30708700
14.75746300,-1.96850400,3.30708700
14.82146300,-11.81102000,3.22834600
14.88546299,-7.48031400,3.30708700
14.94946299,-5.90551100,3.30708700
15.01346299,-5.90551100,3.30708700
15.07746299,-10.23622000,3.22834600
15.14146299,-0.39370070,3.30708700
15.20546299,-7.48031400,3.30708700
15.26946298,-6.69291300,3.30708700
15.33346298,-5.90551100,3.30708700
15.39746298,-5.51181100,3.22834600
15.46146298,-9.05511800,3.30708700
15.52546298,-3.93700800,3.30708700
15.58946297,-5.51181100,3.22834600
15.65346297,-8.26771600,3.30708700
15.71746297,-4.33070900,3.30708700
15.78146297,-7.08661400,3.30708700
15.84546297,-6.69291300,3.30708700
15.90946297,-10.62992000,3.30708700
15.97346296,-4.33070900,3.30708700
16.03746296,-9.84251900,3.30708700
16.10146296,-6.29921200,3.30708700
16.16546296,-10.62992000,3.30708700
16.22946296,-5.90551100,3.22834600
16.29346295,-12.59842000,3.30708700
16.35746295,-8.66141700,3.30708700
16.42146295,-9.05511800,3.30708700
16.48546295,-9.05511800,3.30708700
16.54946295,-10.23622000,3.30708700
16.61346295,-5.11811000,3.30708700
16.67746294,-8.66141700,3.22834600
16.74146294,-9.05511800,3.30708700
16.80546294,-6.69291300,3.30708700
16.86946294,-8.26771600,3.30708700
16.93346294,-10.62992000,3.22834600
16.99746293,-7.08661400,3.22834600
17.06146293,-5.11811000,3.30708700
17.12546293,-11.81102000,3.30708700
17.18946293,-2.36220500,3.30708700
17.25346293,-8.26771600,3.22834600
17.31746293,-6.29921200,3.30708700
17.38146292,-7.87401500,3.30708700
17.44546292,-2.36220500,3.30708700
17.50946292,-11.02362000,3.30708700
17.57346292,-4.72440900,3.30708700
17.63746292,-5.90551100,3.30708700
17.70146291,-7.48031400,3.30708700
17.76546291,-6.69291300,3.30708700
17.82946291,-5.90551100,3.30708700
17.89346291,-8.66141700,3.30708700
17.95746291,-10.23622000,3.30708700
18.02146291,-3.54330700,3.30708700
18.08546290,-10.23622000,3.30708700
18.14946290,-6.69291300,3.30708700
18.21346290,-5.90551100,3.30708700
18.27746290,-5.11811000,3.30708700
18.34146290,-11.02362000,3.30708700
18.40546289,-4.72440900,3.30708700
18.46946289,-9.84251900,3.30708700
18.53346289,-7.48031400,3.30708700
18.59746289,-8.66141700,3.30708700
18.66146289,-3.93700800,3.30708700
18.72546289,-11.41732000,3.30708700
18.78946288,-7.08661400,3.30708700
18.85346288,-8.26771600,3.22834600
18.91746288,-9.84251900,3.30708700
18.98146288,-9.84251900,3.30708700
19.04546288,-7.08661400,3.30708700
19.10946287,-7.87401500,3.30708700
19.17346287,-11.41732000,3.30708700
19.23746287,-4.33070900,3.30708700
19.30146287,-11.41732000,3.22834600
19.36546287,-7.48031400,3.30708700
19.42946287,-10.62992000,3.22834600
19.49346286,-5.90551100,3.30708700
19.55746286,-12.59842000,3.30708700
19.62146286,-4.33070900,3.30708700
19.68546286,-6.69291300,3.30708700
19.74946286,-5.90551100,3.22834600
19.81346285,-7.87401500,3.30708700
19.87746285,-4.72440900,3.30708700
19.94146285,-8.66141700,3.30708700
20.00546285,-6.29921200,3.30708700
20.06946285,-5.51181100,3.30708700
20.13346285,-6.29921200,3.30708700
20.19746284,-7.48031400,3.30708700
20.26146284,-5.90551100,3.30708700
20.32546284,-5.90551100,3.30708700
20.38946284,-10.62992000,3.30708700
20.45346284,-7.08661400,3.22834600
20.51746283,-8.66141700,3.30708700
20.58146283,-6.69291300,3.30708700
20.64546283,-11.41732000,3.30708700
20.70946283,-1.96850400,3.30708700
20.77346283,-10.62992000,3.30708700
20.83746283,-5.11811000,3.30708700
20.90146282,-5.51181100,3.30708700
20.96546282,-7.08661400,3.30708700
21.02946282,-11.41732000,3.30708700
21.09346282,-3.93700800,3.30708700
21.15746282,-7.48031400,3.30708700
21.22146281,-10.23622000,3.30708700
21.28546281,-3.14960600,3.30708700
21.34946281,-5.51181100,3.30708700
21.41346281,-8.66141700,3.30708700
21.47746281,-6.29921200,3.30708700
21.54146281,-4.33070900,3.30708700
21.60546280,-12.59842000,3.30708700
21.66946280,-3.93700800,3.30708700
