Time,Channel A,Channel B
(us),(mV),(V)

-0.02940540,-2.75590500,0.00000000
0.03459459,-13.77953000,2.91338600
0.09859459,-5.11811000,3.22834600
0.16259459,-7.87401500,3.30708700
0.22659459,-9.44881800,3.22834600
0.29059459,-9.44881800,3.22834600
0.35459458,-3.54330700,3.22834600
0.41859458,-11.02362000,3.22834600
0.48259458,-1.96850400,3.22834600
0.54659458,-4.33070900,3.22834600
0.61059458,-2.36220500,3.22834600
0.67459458,-5.51181100,3.22834600
0.73859457,0.00000000,3.22834600
0.80259457,-7.08661400,3.22834600
0.86659457,-4.33070900,3.22834600
0.93059457,-3.14960600,3.22834600
0.99459457,-3.14960600,3.30708700
1.05859457,-3.14960600,3.22834600
1.12259456,-1.96850400,3.22834600
1.18659456,-1.57480300,3.22834600
1.25059456,-6.29921200,3.22834600
1.31459456,-2.75590500,3.22834600
1.37859456,-7.08661400,3.22834600
1.44259455,-4.72440900,3.22834600
1.50659455,-8.26771600,3.22834600
1.57059455,-2.36220500,3.22834600
1.63459455,-7.08661400,3.22834600
1.69859455,-4.33070900,3.22834600
1.76259455,-5.90551100,3.22834600
1.82659454,-1.18110200,3.22834600
1.89059454,-6.69291300,3.22834600
1.95459454,1.18110200,3.22834600
2.01859454,-1.57480300,3.22834600
2.08259454,-2.36220500,3.22834600
2.14659453,-0.78740150,3.22834600
2.21059453,-0.39370070,3.22834600
2.27459453,-3.93700800,3.22834600
2.33859453,-4.33070900,3.22834600
2.40259453,1.57480300,3.22834600
2.46659453,-5.11811000,3.30708700
2.53059452,0.00000000,3.22834600
2.59459452,0.39370070,3.30708700
2.65859452,0.00000000,3.22834600
2.72259452,-6.69291300,3.22834600
2.78659452,0.78740150,3.22834600
2.85059451,-7.87401500,3.22834600
2.91459451,-4.33070900,3.22834600
2.97859451,-1.57480300,3.30708700
3.04259451,-0.78740150,3.22834600
3.10659451,-5.11811000,3.22834600
3.17059451,0.39370070,3.22834600
3.23459450,-0.78740150,3.22834600
3.29859450,-4.33070900,3.22834600
3.36259450,-2.36220500,3.22834600
3.42659450,-0.78740150,3.22834600
3.49059450,-4.33070900,3.22834600
3.55459449,-1.57480300,3.30708700
3.61859449,1.57480300,3.22834600
3.68259449,-5.11811000,3.22834600
3.74659449,-1.18110200,3.30708700
3.81059449,-2.75590500,3.30708700
3.87459449,-1.18110200,3.30708700
3.93859448,-8.26771600,3.30708700
4.00259448,0.00000000,3.22834600
4.06659448,-7.08661400,3.30708700
4.13059448,-4.72440900,3.30708700
4.19459448,-5.51181100,3.30708700
4.25859447,-3.14960600,3.22834600
4.32259447,-9.44881800,3.22834600
4.38659447,-5.51181100,3.30708700
4.45059447,-5.11811000,3.22834600
4.51459447,-11.41732000,3.22834600
4.57859447,-4.33070900,3.22834600
4.64259446,-0.78740150,3.30708700
4.70659446,-4.72440900,3.22834600
4.77059446,-4.72440900,3.30708700
4.83459446,0.39370070,3.22834600
4.89859446,-7.87401500,3.22834600
4.96259445,-5.11811000,3.22834600
5.02659445,-4.33070900,3.30708700
5.09059445,-1.18110200,3.30708700
5.15459445,-6.69291300,3.30708700
5.21859445,2.36220500,3.30708700
5.28259445,-3.54330700,3.22834600
5.34659444,-3.93700800,3.30708700
5.41059444,-7.08661400,3.22834600
5.47459444,-3.54330700,3.30708700
5.53859444,-8.66141700,3.22834600
5.60259444,-3.93700800,3.30708700
5.66659443,-1.57480300,3.30708700
5.73059443,-4.33070900,3.30708700
5.79459443,-4.72440900,3.30708700
5.85859443,-3.14960600,3.30708700
5.92259443,-3.14960600,3.30708700
5.98659443,-8.26771600,3.30708700
6.05059442,1.57480300,3.30708700
6.11459442,-3.54330700,3.30708700
6.17859442,0.39370070,3.30708700
6.24259442,-1.18110200,3.22834600
6.30659442,1.96850400,3.30708700
6.37059441,-7.87401500,3.30708700
6.43459441,-1.96850400,3.30708700
6.49859441,-3.93700800,3.30708700
6.56259441,-3.14960600,3.30708700
6.62659441,-5.11811000,3.30708700
6.69059441,0.39370070,3.22834600
6.75459440,-11.41732000,3.30708700
6.81859440,-6.69291300,3.30708700
6.88259440,-2.36220500,3.22834600
6.94659440,-7.08661400,3.30708700
7.01059440,-9.05511800,3.22834600
7.07459439,-3.54330700,3.30708700
7.13859439,-5.11811000,3.22834600
7.20259439,-9.05511800,3.22834600
7.26659439,2.75590500,3.30708700
7.33059439,-6.69291300,3.22834600
7.39459439,-3.54330700,3.22834600
7.45859438,-7.08661400,3.22834600
7.52259438,-0.78740150,3.22834600
7.58659438,-10.23622000,3.30708700
7.65059438,-2.36220500,3.30708700
7.71459438,-2.75590500,3.30708700
7.77859437,-2.36220500,3.22834600
7.84259437,-2.75590500,3.22834600
7.90659437,0.00000000,3.30708700
7.97059437,-4.33070900,3.30708700
8.03459437,-4.72440900,3.30708700
8.09859437,-3.54330700,3.30708700
8.16259436,-5.90551100,3.22834600
8.22659436,-3.14960600,3.30708700
8.29059436,-3.93700800,3.30708700
8.35459436,-0.78740150,3.30708700
8.41859436,-8.26771600,3.30708700
8.48259436,-3.54330700,3.30708700
8.54659435,-5.51181100,3.22834600
8.61059435,-2.36220500,3.22834600
8.67459435,-3.93700800,3.30708700
8.73859435,2.75590500,3.30708700
8.80259435,-5.11811000,3.30708700
8.86659434,0.00000000,3.30708700
8.93059434,-2.36220500,3.30708700
8.99459434,-3.54330700,3.30708700
9.05859434,-6.69291300,3.30708700
9.12259434,-1.18110200,3.30708700
9.18659434,-1.18110200,3.30708700
9.25059433,-4.33070900,3.30708700
9.31459433,1.18110200,3.30708700
9.37859433,-3.54330700,3.30708700
9.44259433,-3.54330700,3.30708700
9.50659433,-5.51181100,3.30708700
9.57059432,-0.39370070,3.30708700
9.63459432,-7.08661400,3.30708700
9.69859432,-0.78740150,3.30708700
9.76259432,-2.36220500,3.30708700
9.82659432,-0.39370070,3.22834600
9.89059432,-4.33070900,3.30708700
9.95459431,1.57480300,3.22834600
10.01859431,-3.93700800,3.30708700
10.08259431,-3.14960600,3.30708700
10.14659431,-2.36220500,3.30708700
10.21059431,0.00000000,3.22834600
10.27459430,-3.93700800,3.30708700
10.33859430,0.78740150,3.30708700
10.40259430,1.18110200,3.22834600
10.46659430,-4.72440900,3.30708700
10.53059430,0.00000000,3.30708700
10.59459430,-2.36220500,3.30708700
10.65859429,-1.96850400,3.30708700
10.72259429,-5.90551100,3.30708700
10.78659429,3.14960600,3.30708700
10.85059429,-7.08661400,3.30708700
10.91459429,-1.57480300,3.30708700
10.97859428,-2.36220500,3.30708700
11.04259428,-2.36220500,3.30708700
11.10659428,-6.69291300,3.22834600
11.17059428,2.36220500,3.30708700
11.23459428,-2.36220500,3.30708700
11.29859428,-2.36220500,3.30708700
11.36259427,3.14960600,3.30708700
11.42659427,-0.78740150,3.30708700
11.49059427,-3.14960600,3.22834600
11.55459427,-0.78740150,3.30708700
11.61859427,0.00000000,3.30708700
11.68259426,-6.29921200,3.30708700
11.74659426,0.78740150,3.30708700
11.81059426,-1.18110200,3.30708700
11.87459426,0.00000000,3.30708700
11.93859426,-3.14960600,3.30708700
12.00259426,1.57480300,3.30708700
12.06659425,-7.87401500,3.30708700
12.13059425,-4.72440900,3.30708700
12.19459425,-5.51181100,3.30708700
12.25859425,-2.36220500,3.30708700
12.32259425,-7.48031400,3.30708700
12.38659424,-2.36220500,3.30708700
12.45059424,-3.14960600,3.30708700
12.51459424,-4.33070900,3.30708700
12.57859424,-3.93700800,3.30708700
12.64259424,-4.72440900,3.30708700
12.70659424,-3.93700800,3.30708700
12.77059423,-6.29921200,3.30708700
12.83459423,-0.39370070,3.30708700
12.89859423,-7.08661400,3.30708700
12.96259423,-5.11811000,3.30708700
13.02659423,-3.93700800,3.30708700
13.09059422,-1.18110200,3.30708700
13.15459422,-11.02362000,3.30708700
13.21859422,-2.36220500,3.30708700
13.28259422,-5.90551100,3.30708700
13.34659422,-4.72440900,3.30708700
13.41059422,-4.33070900,3.30708700
13.47459421,-3.54330700,3.30708700
13.53859421,-11.02362000,3.30708700
13.60259421,-6.69291300,3.30708700
13.66659421,-6.69291300,3.30708700
13.73059421,-9.84251900,3.30708700
13.79459420,-6.29921200,3.30708700
13.85859420,-5.51181100,3.30708700
13.92259420,-4.72440900,3.30708700
13.98659420,-8.66141700,3.30708700
14.05059420,-1.57480300,3.30708700
14.11459420,-9.84251900,3.30708700
14.17859419,-5.11811000,3.30708700
14.24259419,-5.90551100,3.30708700
14.30659419,-3.14960600,3.30708700
14.37059419,-9.05511800,3.30708700
14.43459419,-0.39370070,3.30708700
14.49859418,-3.93700800,3.30708700
14.56259418,-5.51181100,3.30708700
14.62659418,-5.90551100,3.30708700
14.69059418,-5.11811000,3.30708700
14.75459418,-9.84251900,3.30708700
14.81859418,-9.44881800,3.30708700
14.88259417,-5.51181100,3.30708700
14.94659417,-9.44881800,3.30708700
15.01059417,-6.29921200,3.30708700
15.07459417,-5.90551100,3.30708700
15.13859417,-7.87401500,3.22834600
15.20259417,-11.41732000,3.30708700
15.26659416,-3.54330700,3.30708700
15.33059416,-10.62992000,3.30708700
15.39459416,-5.90551100,3.30708700
15.45859416,-7.08661400,3.30708700
15.52259416,-6.29921200,3.22834600
15.58659415,-11.02362000,3.22834600
15.65059415,-5.90551100,3.30708700
15.71459415,-8.66141700,3.30708700
15.77859415,-8.66141700,3.22834600
15.84259415,-8.26771600,3.30708700
15.90659415,-4.72440900,3.30708700
15.97059414,-7.48031400,3.30708700
16.03459414,-7.48031400,3.30708700
16.09859414,-5.11811000,3.30708700
16.16259414,-11.41732000,3.30708700
16.22659414,-8.66141700,3.30708700
16.29059413,-10.62992000,3.30708700
16.35459413,-7.48031400,3.30708700
16.41859413,-10.62992000,3.30708700
16.48259413,-3.54330700,3.30708700
16.54659413,-7.48031400,3.30708700
16.61059413,-4.72440900,3.30708700
16.67459412,-6.69291300,3.30708700
16.73859412,-1.96850400,3.30708700
16.80259412,-8.66141700,3.30708700
16.86659412,-4.33070900,3.30708700
16.93059412,-3.93700800,3.30708700
16.99459411,-4.72440900,3.30708700
17.05859411,-7.08661400,3.30708700
17.12259411,-2.75590500,3.30708700
17.18659411,-5.90551100,3.30708700
17.25059411,-9.84251900,3.30708700
17.31459411,-2.36220500,3.30708700
17.37859410,-7.48031400,3.30708700
17.44259410,-7.87401500,3.30708700
17.50659410,-7.08661400,3.30708700
17.57059410,-2.36220500,3.30708700
17.63459410,-13.77953000,3.30708700
17.69859409,-5.11811000,3.30708700
17.76259409,-10.23622000,3.22834600
17.82659409,-11.41732000,3.22834600
17.89059409,-9.84251900,3.30708700
17.95459409,-3.93700800,3.30708700
18.01859409,-12.59842000,3.22834600
18.08259408,-6.69291300,3.30708700
18.14659408,-4.33070900,3.30708700
18.21059408,-12.99213000,3.30708700
18.27459408,-9.44881800,3.30708700
18.33859408,-7.48031400,3.30708700
18.40259407,-6.69291300,3.30708700
18.46659407,-9.84251900,3.22834600
18.53059407,-4.72440900,3.30708700
18.59459407,-7.87401500,3.30708700
18.65859407,-6.69291300,3.22834600
18.72259407,-9.05511800,3.30708700
18.78659406,-6.69291300,3.30708700
18.85059406,-13.77953000,3.30708700
18.91459406,-6.69291300,3.30708700
18.97859406,-7.08661400,3.30708700
19.04259406,-5.51181100,3.30708700
19.10659405,-8.26771600,3.30708700
19.17059405,-2.75590500,3.30708700
19.23459405,-6.69291300,3.30708700
19.29859405,-7.87401500,3.30708700
19.36259405,-3.54330700,3.30708700
19.42659405,-6.69291300,3.30708700
19.49059404,-6.29921200,3.30708700
19.55459404,-5.51181100,3.30708700
19.61859404,-2.36220500,3.30708700
19.68259404,-10.62992000,3.30708700
19.74659404,-2.36220500,3.30708700
19.81059403,-5.11811000,3.30708700
19.87459403,-5.51181100,3.30708700
19.93859403,-9.05511800,3.30708700
20.00259403,-0.78740150,3.30708700
20.06659403,-9.05511800,3.30708700
20.13059403,-6.69291300,3.30708700
20.19459402,-7.48031400,3.30708700
20.25859402,-8.26771600,3.30708700
20.32259402,-12.99213000,3.30708700
20.38659402,-8.26771600,3.30708700
20.45059402,-9.44881800,3.30708700
20.51459401,-12.99213000,3.30708700
20.57859401,-7.87401500,3.22834600
20.64259401,-7.08661400,3.30708700
20.70659401,-9.84251900,3.22834600
20.77059401,-10.62992000,3.30708700
20.83459401,-5.90551100,3.30708700
20.89859400,-15.74803000,3.30708700
20.96259400,-6.29921200,3.30708700
21.02659400,-10.23622000,3.30708700
21.09059400,-6.29921200,3.30708700
21.15459400,-11.02362000,3.30708700
21.21859399,-1.96850400,3.30708700
21.28259399,-8.66141700,3.30708700
21.34659399,-7.87401500,3.30708700
21.41059399,-5.51181100,3.30708700
21.47459399,-5.90551100,3.30708700
21.53859399,-9.44881800,3.30708700
21.60259398,-5.51181100,3.30708700
21.66659398,-5.11811000,3.30708700
