Time,Channel A,Channel B
(us),(mV),(V)

-0.02560000,-4.33070900,0.07874016
0.03840000,-0.78740150,3.22834600
0.10240000,-3.93700800,3.30708700
0.16640000,-5.90551100,3.22834600
0.23039999,-2.75590500,3.30708700
0.29439999,3.54330700,3.30708700
0.35839999,-1.18110200,3.30708700
0.42239999,-0.39370070,3.30708700
0.48639999,-3.14960600,3.30708700
0.55039999,-1.18110200,3.30708700
0.61439998,-8.66141700,3.30708700
0.67839998,-2.75590500,3.30708700
0.74239998,-7.48031400,3.30708700
0.80639998,-8.66141700,3.22834600
0.87039998,-9.44881800,3.30708700
0.93439997,-7.48031400,3.22834600
0.99839997,-13.77953000,3.22834600
1.06239997,-11.02362000,3.30708700
1.12639997,-9.44881800,3.30708700
1.19039997,-12.20472000,3.30708700
1.25439997,-8.66141700,3.22834600
1.31839996,-8.66141700,3.22834600
1.38239996,-8.66141700,3.30708700
1.44639996,-8.66141700,3.30708700
1.51039996,-1.18110200,3.30708700
1.57439996,-7.87401500,3.30708700
1.63839995,-1.18110200,3.30708700
1.70239995,0.78740150,3.30708700
1.76639995,3.14960600,3.30708700
1.83039995,-2.36220500,3.30708700
1.89439995,4.72440900,3.30708700
1.95839995,-0.39370070,3.30708700
2.02239994,0.39370070,3.30708700
2.08639994,-0.78740150,3.30708700
2.15039994,0.00000000,3.30708700
2.21439994,-0.39370070,3.30708700
2.27839994,-1.96850400,3.30708700
2.34239993,2.75590500,3.30708700
2.40639993,-2.36220500,3.30708700
2.47039993,-2.75590500,3.30708700
2.53439993,0.39370070,3.30708700
2.59839993,-1.96850400,3.30708700
2.66239993,-3.14960600,3.30708700
2.72639992,1.18110200,3.30708700
2.79039992,0.78740150,3.30708700
2.85439992,2.36220500,3.30708700
2.91839992,3.14960600,3.30708700
2.98239992,5.90551100,3.30708700
3.04639991,-1.57480300,3.30708700
3.11039991,4.33070900,3.30708700
3.17439991,-1.18110200,3.30708700
3.23839991,-2.75590500,3.30708700
3.30239991,-2.75590500,3.30708700
3.36639991,-0.39370070,3.30708700
3.43039990,-6.29921200,3.30708700
3.49439990,-6.69291300,3.30708700
3.55839990,-7.87401500,3.30708700
3.62239990,-15.35433000,3.30708700
3.68639990,-11.02362000,3.30708700
3.75039990,-8.66141700,3.30708700
3.81439989,-7.87401500,3.30708700
3.87839989,-9.84251900,3.30708700
3.94239989,-8.66141700,3.30708700
4.00639989,-10.62992000,3.30708700
4.07039989,-10.23622000,3.30708700
4.13439988,-9.44881800,3.30708700
4.19839988,-1.96850400,3.30708700
4.26239988,-4.72440900,3.30708700
4.32639988,0.78740150,3.30708700
4.39039988,0.00000000,3.30708700
4.45439988,2.36220500,3.30708700
4.51839987,0.00000000,3.30708700
4.58239987,1.18110200,3.30708700
4.64639987,-3.14960600,3.30708700
4.71039987,-3.93700800,3.30708700
4.77439987,0.39370070,3.30708700
4.83839986,0.00000000,3.30708700
4.90239986,-4.33070900,3.30708700
4.96639986,-0.78740150,3.30708700
5.03039986,0.00000000,3.30708700
5.09439986,-10.23622000,3.22834600
5.15839986,0.78740150,3.30708700
5.22239985,-5.51181100,3.30708700
5.28639985,-3.54330700,3.30708700
5.35039985,-3.54330700,3.30708700
5.41439985,5.51181100,3.30708700
5.47839985,-4.33070900,3.30708700
5.54239984,-1.96850400,3.30708700
5.60639984,3.54330700,3.30708700
5.67039984,-2.36220500,3.30708700
5.73439984,-1.57480300,3.30708700
5.79839984,5.90551100,3.30708700
5.86239984,0.00000000,3.30708700
5.92639983,-2.75590500,3.30708700
5.99039983,0.78740150,3.30708700
6.05439983,-7.48031400,3.30708700
6.11839983,-10.62992000,3.30708700
6.18239983,-8.66141700,3.30708700
6.24639982,-8.66141700,3.30708700
6.31039982,-17.32283000,3.30708700
6.37439982,-5.51181100,3.30708700
6.43839982,-10.62992000,3.30708700
6.50239982,-9.84251900,3.30708700
6.56639982,-15.35433000,3.30708700
6.63039981,-6.29921200,3.30708700
6.69439981,-14.96063000,3.30708700
6.75839981,-9.44881800,3.30708700
6.82239981,-2.36220500,3.30708700
6.88639981,-6.69291300,3.30708700
6.95039980,-1.57480300,3.30708700
7.01439980,-1.18110200,3.30708700
7.07839980,2.36220500,3.30708700
7.14239980,-3.14960600,3.30708700
7.20639980,-0.39370070,3.30708700
7.27039980,-2.75590500,3.30708700
7.33439979,-1.18110200,3.30708700
7.39839979,-2.36220500,3.30708700
7.46239979,5.90551100,3.30708700
7.52639979,-4.33070900,3.30708700
7.59039979,0.39370070,3.30708700
7.65439978,-4.33070900,3.30708700
7.71839978,-6.69291300,3.30708700
7.78239978,-10.62992000,3.30708700
7.84639978,-1.18110200,3.30708700
7.91039978,-1.18110200,3.30708700
7.97439978,-1.96850400,3.30708700
8.03839977,3.93700800,3.30708700
8.10239977,-1.18110200,3.30708700
8.16639977,-3.54330700,3.30708700
8.23039977,-1.96850400,3.30708700
8.29439977,-1.96850400,3.30708700
8.35839976,0.78740150,3.30708700
8.42239976,4.72440900,3.30708700
8.48639976,2.36220500,3.30708700
8.55039976,1.57480300,3.30708700
8.61439976,-5.11811000,3.30708700
8.67839976,-2.36220500,3.30708700
8.74239975,-7.08661400,3.30708700
8.80639975,-9.84251900,3.30708700
8.87039975,-10.23622000,3.30708700
8.93439975,-7.87401500,3.30708700
8.99839975,-12.59842000,3.30708700
9.06239974,-6.29921200,3.30708700
9.12639974,-9.84251900,3.30708700
9.19039974,-13.38583000,3.30708700
9.25439974,-10.23622000,3.30708700
9.31839974,-6.69291300,3.30708700
9.38239974,-7.48031400,3.30708700
9.44639973,-5.51181100,3.30708700
9.51039973,1.18110200,3.30708700
9.57439973,-5.90551100,3.30708700
9.63839973,0.39370070,3.30708700
9.70239973,0.00000000,3.30708700
9.76639972,0.78740150,3.30708700
9.83039972,-2.36220500,3.30708700
9.89439972,7.48031400,3.30708700
9.95839972,0.39370070,3.30708700
10.02239972,1.57480300,3.30708700
10.08639972,1.18110200,3.30708700
10.15039971,2.36220500,3.30708700
10.21439971,-5.90551100,3.30708700
10.27839971,0.00000000,3.30708700
10.34239971,-3.93700800,3.30708700
10.40639971,-2.36220500,3.30708700
10.47039970,-2.36220500,3.30708700
10.53439970,0.39370070,3.30708700
10.59839970,-1.96850400,3.30708700
10.66239970,-2.75590500,3.30708700
10.72639970,1.57480300,3.30708700
10.79039970,-2.75590500,3.30708700
10.85439969,0.39370070,3.30708700
10.91839969,-0.78740150,3.30708700
10.98239969,5.51181100,3.30708700
11.04639969,1.96850400,3.30708700
11.11039969,5.51181100,3.30708700
11.17439969,1.96850400,3.30708700
11.23839968,1.18110200,3.30708700
11.30239968,-3.93700800,3.30708700
11.36639968,-2.36220500,3.30708700
11.43039968,-4.72440900,3.30708700
11.49439968,-6.29921200,3.30708700
11.55839967,-4.33070900,3.30708700
11.62239967,-7.87401500,3.30708700
11.68639967,-9.84251900,3.30708700
11.75039967,-11.81102000,3.30708700
11.81439967,-9.05511800,3.30708700
11.87839967,-16.14173000,3.30708700
11.94239966,-9.44881800,3.30708700
12.00639966,-9.84251900,3.30708700
12.07039966,-9.05511800,3.30708700
12.13439966,-7.48031400,3.30708700
12.19839966,-1.18110200,3.30708700
12.26239965,-10.62992000,3.30708700
12.32639965,-3.54330700,3.30708700
12.39039965,-1.96850400,3.30708700
12.45439965,-1.57480300,3.30708700
12.51839965,-1.18110200,3.30708700
12.58239965,4.33070900,3.30708700
12.64639964,0.39370070,3.30708700
12.71039964,-1.96850400,3.30708700
12.77439964,1.57480300,3.30708700
12.83839964,-5.90551100,3.30708700
12.90239964,-5.51181100,3.30708700
12.96639963,-1.57480300,3.30708700
13.03039963,-3.54330700,3.30708700
13.09439963,-8.66141700,3.30708700
13.15839963,0.39370070,3.30708700
13.22239963,-6.69291300,3.30708700
13.28639963,-3.93700800,3.30708700
13.35039962,-9.05511800,3.30708700
13.41439962,-3.14960600,3.30708700
13.47839962,-4.33070900,3.30708700
13.54239962,-3.93700800,3.30708700
13.60639962,0.00000000,3.30708700
13.67039961,-2.36220500,3.30708700
13.73439961,-3.54330700,3.30708700
13.79839961,1.96850400,3.30708700
13.86239961,-4.33070900,3.30708700
13.92639961,-8.26771600,3.30708700
13.99039961,-4.33070900,3.30708700
14.05439960,-7.87401500,3.30708700
14.11839960,-7.87401500,3.30708700
14.18239960,-9.44881800,3.30708700
14.24639960,-7.08661400,3.30708700
14.31039960,-17.32283000,3.30708700
14.37439959,-11.41732000,3.30708700
14.43839959,-17.71653000,3.30708700
14.50239959,-15.35433000,3.30708700
14.56639959,-16.92913000,3.30708700
14.63039959,-9.44881800,3.30708700
14.69439959,-18.11024000,3.30708700
14.75839958,-14.56693000,3.30708700
14.82239958,-11.02362000,3.30708700
14.88639958,-9.44881800,3.30708700
14.95039958,-7.87401500,3.30708700
15.01439958,-7.48031400,3.30708700
15.07839957,-1.96850400,3.30708700
15.14239957,-3.14960600,3.30708700
15.20639957,-3.14960600,3.30708700
15.27039957,-3.14960600,3.30708700
15.33439957,-3.93700800,3.30708700
15.39839957,-8.26771600,3.30708700
15.46239956,-0.39370070,3.30708700
15.52639956,-7.87401500,3.30708700
15.59039956,-5.90551100,3.30708700
15.65439956,-3.93700800,3.30708700
15.71839956,-5.11811000,3.30708700
15.78239955,-10.62992000,3.30708700
15.84639955,-3.93700800,3.30708700
15.91039955,-8.66141700,3.30708700
15.97439955,-7.87401500,3.30708700
16.03839955,-7.08661400,3.30708700
16.10239955,-3.93700800,3.30708700
16.16639954,-1.57480300,3.30708700
16.23039954,-7.48031400,3.30708700
16.29439954,2.75590500,3.30708700
16.35839954,-7.87401500,3.30708700
16.42239954,-3.93700800,3.30708700
16.48639953,-2.36220500,3.30708700
16.55039953,-1.96850400,3.30708700
16.61439953,-5.11811000,3.30708700
16.67839953,1.57480300,3.30708700
16.74239953,-8.26771600,3.30708700
16.80639953,-7.87401500,3.30708700
16.87039952,-8.26771600,3.30708700
16.93439952,-10.62992000,3.30708700
16.99839952,-18.89764000,3.30708700
17.06239952,-15.74803000,3.30708700
17.12639952,-13.77953000,3.30708700
17.19039951,-16.53543000,3.30708700
17.25439951,-9.44881800,3.30708700
17.31839951,-12.20472000,3.30708700
17.38239951,-14.96063000,3.30708700
17.44639951,-12.99213000,3.30708700
17.51039951,-7.08661400,3.30708700
17.57439950,-18.50394000,3.30708700
17.63839950,-6.29921200,3.30708700
17.70239950,-6.69291300,3.30708700
17.76639950,-1.96850400,3.30708700
17.83039950,-5.51181100,3.30708700
17.89439949,-4.72440900,3.30708700
17.95839949,-4.72440900,3.30708700
18.02239949,-4.33070900,3.30708700
18.08639949,-5.51181100,3.30708700
18.15039949,-3.54330700,3.30708700
18.21439949,-4.33070900,3.30708700
18.27839948,-6.29921200,3.30708700
18.34239948,-3.14960600,3.30708700
18.40639948,-10.23622000,3.30708700
18.47039948,-10.23622000,3.30708700
18.53439948,-5.11811000,3.30708700
18.59839948,-8.26771600,3.30708700
18.66239947,-7.08661400,3.30708700
18.72639947,-4.33070900,3.30708700
18.79039947,-5.11811000,3.30708700
18.85439947,-3.54330700,3.30708700
18.91839947,-5.90551100,3.30708700
18.98239946,0.00000000,3.30708700
19.04639946,-6.69291300,3.30708700
19.11039946,0.39370070,3.30708700
19.17439946,0.00000000,3.30708700
19.23839946,-0.39370070,3.30708700
19.30239946,-2.75590500,3.30708700
19.36639945,-2.75590500,3.30708700
19.43039945,-7.08661400,3.30708700
19.49439945,-11.02362000,3.30708700
19.55839945,-9.05511800,3.30708700
19.62239945,-11.81102000,3.30708700
19.68639944,-9.44881800,3.30708700
19.75039944,-12.20472000,3.30708700
19.81439944,-10.62992000,3.30708700
19.87839944,-16.53543000,3.30708700
19.94239944,-13.38583000,3.30708700
20.00639944,-13.77953000,3.30708700
20.07039943,-17.32283000,3.30708700
20.13439943,-14.17323000,3.30708700
20.19839943,-7.08661400,3.30708700
20.26239943,-16.14173000,3.30708700
20.32639943,-5.90551100,3.30708700
20.39039942,-8.26771600,3.30708700
20.45439942,-5.51181100,3.30708700
20.51839942,-6.29921200,3.30708700
20.58239942,-3.93700800,3.30708700
20.64639942,-3.54330700,3.30708700
20.71039942,-6.69291300,3.30708700
20.77439941,-0.78740150,3.30708700
20.83839941,-4.33070900,3.30708700
20.90239941,-5.90551100,3.30708700
20.96639941,-8.66141700,3.30708700
21.03039941,-1.57480300,3.30708700
21.09439940,-14.96063000,3.30708700
21.15839940,-5.90551100,3.30708700
21.22239940,-7.08661400,3.30708700
21.28639940,-7.87401500,3.30708700
21.35039940,-3.14960600,3.30708700
21.41439940,-1.57480300,3.30708700
21.47839939,-5.90551100,3.30708700
21.54239939,-4.33070900,3.30708700
21.60639939,-1.96850400,3.30708700
21.67039939,-3.93700800,3.30708700
21.73439939,-1.96850400,3.30708700
21.79839938,0.78740150,3.30708700
