Time,Channel A,Channel B
(us),(mV),(V)

-0.02560000,-8.66141700,0.07874016
0.03840000,-5.51181100,3.22834600
0.10240000,-10.23622000,3.22834600
0.16640000,-8.66141700,3.22834600
0.23039999,-7.08661400,3.22834600
0.29439999,-3.93700800,3.22834600
0.35839999,-11.02362000,3.22834600
0.42239999,-1.18110200,3.22834600
0.48639999,-7.08661400,3.22834600
0.55039999,-5.90551100,3.22834600
0.61439998,-7.48031400,3.22834600
0.67839998,-2.75590500,3.22834600
0.74239998,-7.87401500,3.22834600
0.80639998,-1.96850400,3.22834600
0.87039998,-3.14960600,3.22834600
0.93439997,-4.72440900,3.22834600
0.99839997,-6.29921200,3.22834600
1.06239997,-1.96850400,3.22834600
1.12639997,-6.69291300,3.22834600
1.19039997,-5.51181100,3.22834600
1.25439997,-3.54330700,3.22834600
1.31839996,-4.72440900,3.22834600
1.38239996,-5.11811000,3.22834600
1.44639996,-5.51181100,3.22834600
1.51039996,-2.36220500,3.22834600
1.57439996,-7.48031400,3.22834600
1.63839995,-1.18110200,3.22834600
1.70239995,-4.33070900,3.22834600
1.76639995,0.00000000,3.22834600
1.83039995,-5.11811000,3.22834600
1.89439995,2.75590500,3.30708700
1.95839995,-3.54330700,3.22834600
2.02239994,-2.75590500,3.22834600
2.08639994,-0.78740150,3.22834600
2.15039994,-0.39370070,3.22834600
2.21439994,-4.33070900,3.22834600
2.27839994,0.00000000,3.30708700
2.34239993,0.78740150,3.30708700
2.40639993,-5.51181100,3.30708700
2.47039993,-1.96850400,3.22834600
2.53439993,-2.36220500,3.22834600
2.59839993,-7.48031400,3.22834600
2.66239993,-6.69291300,3.30708700
2.72639992,0.00000000,3.22834600
2.79039992,-9.05511800,3.22834600
2.85439992,-2.36220500,3.22834600
2.91839992,-1.96850400,3.22834600
2.98239992,-0.78740150,3.22834600
3.04639991,-7.87401500,3.22834600
3.11039991,2.75590500,3.22834600
3.17439991,-6.69291300,3.22834600
3.23839991,-3.54330700,3.22834600
3.30239991,-0.78740150,3.30708700
3.36639991,-1.18110200,3.22834600
3.43039990,-3.54330700,3.30708700
3.49439990,-0.78740150,3.22834600
3.55839990,0.00000000,3.22834600
3.62239990,-6.29921200,3.22834600
3.68639990,-1.57480300,3.22834600
3.75039990,-3.54330700,3.30708700
3.81439989,-2.36220500,3.30708700
3.87839989,-5.11811000,3.22834600
3.94239989,-0.78740150,3.22834600
4.00639989,-6.69291300,3.30708700
4.07039989,-3.14960600,3.22834600
4.13439988,-5.51181100,3.22834600
4.19839988,-1.96850400,3.22834600
4.26239988,-6.69291300,3.30708700
4.32639988,0.39370070,3.22834600
4.39039988,-1.18110200,3.30708700
4.45439988,-1.57480300,3.22834600
4.51839987,-3.14960600,3.30708700
4.58239987,0.00000000,3.22834600
4.64639987,-4.33070900,3.30708700
4.71039987,-4.72440900,3.30708700
4.77439987,0.00000000,3.30708700
4.83839986,-3.93700800,3.30708700
4.90239986,-1.96850400,3.30708700
4.96639986,-1.96850400,3.22834600
5.03039986,-0.39370070,3.22834600
5.09439986,-9.84251900,3.30708700
5.15839986,-1.57480300,3.30708700
5.22239985,-6.29921200,3.30708700
5.28639985,-6.69291300,3.30708700
5.35039985,-7.48031400,3.22834600
5.41439985,-1.57480300,3.22834600
5.47839985,-7.87401500,3.30708700
5.54239984,-3.93700800,3.22834600
5.60639984,-3.14960600,3.30708700
5.67039984,-5.51181100,3.22834600
5.73439984,-6.29921200,3.22834600
5.79839984,-1.18110200,3.22834600
5.86239984,-4.33070900,3.22834600
5.92639983,-5.11811000,3.22834600
5.99039983,-0.39370070,3.22834600
6.05439983,-2.75590500,3.30708700
6.11839983,-3.54330700,3.22834600
6.18239983,-4.33070900,3.22834600
6.24639982,0.78740150,3.22834600
6.31039982,-7.48031400,3.30708700
6.37439982,0.00000000,3.30708700
6.43839982,-3.14960600,3.30708700
6.50239982,-1.96850400,3.30708700
6.56639982,-5.90551100,3.30708700
6.63039981,-1.18110200,3.30708700
6.69439981,-7.87401500,3.30708700
6.75839981,-5.51181100,3.30708700
6.82239981,-2.75590500,3.30708700
6.88639981,-2.75590500,3.22834600
6.95039980,-4.33070900,3.30708700
7.01439980,0.39370070,3.30708700
7.07839980,-1.18110200,3.22834600
7.14239980,-4.33070900,3.30708700
7.20639980,-0.78740150,3.30708700
7.27039980,-3.93700800,3.22834600
7.33439979,-3.54330700,3.30708700
7.39839979,-2.36220500,3.30708700
7.46239979,1.96850400,3.30708700
7.52639979,-5.90551100,3.30708700
7.59039979,0.78740150,3.30708700
7.65439978,-3.93700800,3.30708700
7.71839978,-1.96850400,3.30708700
7.78239978,-7.08661400,3.30708700
7.84639978,-1.18110200,3.30708700
7.91039978,-6.69291300,3.30708700
7.97439978,-4.33070900,3.30708700
8.03839977,-4.33070900,3.22834600
8.10239977,-4.33070900,3.22834600
8.16639977,-6.69291300,3.22834600
8.23039977,-5.51181100,3.30708700
8.29439977,-3.14960600,3.22834600
8.35839976,-6.29921200,3.22834600
8.42239976,-3.14960600,3.22834600
8.48639976,-3.54330700,3.30708700
8.55039976,0.00000000,3.30708700
8.61439976,-6.29921200,3.30708700
8.67839976,0.00000000,3.30708700
8.74239975,-5.51181100,3.22834600
8.80639975,-3.14960600,3.30708700
8.87039975,-3.54330700,3.30708700
8.93439975,0.39370070,3.22834600
8.99839975,-7.08661400,3.30708700
9.06239974,0.78740150,3.30708700
9.12639974,-1.96850400,3.30708700
9.19039974,-5.11811000,3.30708700
9.25439974,-4.72440900,3.30708700
9.31839974,-1.96850400,3.22834600
9.38239974,-5.11811000,3.30708700
9.44639973,-2.75590500,3.30708700
9.51039973,3.14960600,3.22834600
9.57439973,-4.72440900,3.30708700
9.63839973,1.57480300,3.30708700
9.70239973,1.18110200,3.30708700
9.76639972,0.39370070,3.30708700
9.83039972,-3.93700800,3.22834600
9.89439972,5.90551100,3.30708700
9.95839972,-1.96850400,3.30708700
10.02239972,0.39370070,3.30708700
10.08639972,1.57480300,3.30708700
10.15039971,1.57480300,3.30708700
10.21439971,-3.54330700,3.30708700
10.27839971,2.36220500,3.30708700
10.34239971,-1.57480300,3.30708700
10.40639971,-3.14960600,3.30708700
10.47039970,-1.57480300,3.30708700
10.53439970,-1.18110200,3.30708700
10.59839970,-4.33070900,3.30708700
10.66239970,-4.72440900,3.30708700
10.72639970,-1.57480300,3.30708700
10.79039970,-6.29921200,3.30708700
10.85439969,-2.75590500,3.30708700
10.91839969,-5.51181100,3.30708700
10.98239969,0.78740150,3.30708700
11.04639969,-4.72440900,3.22834600
11.11039969,1.18110200,3.30708700
11.17439969,-2.75590500,3.22834600
11.23839968,-1.18110200,3.22834600
11.30239968,-5.11811000,3.30708700
11.36639968,0.78740150,3.22834600
11.43039968,-4.33070900,3.30708700
11.49439968,-2.75590500,3.30708700
11.55839967,0.78740150,3.22834600
11.62239967,-1.57480300,3.30708700
11.68639967,-2.75590500,3.30708700
11.75039967,0.00000000,3.30708700
11.81439967,-1.57480300,3.22834600
11.87839967,-6.69291300,3.30708700
11.94239966,-0.78740150,3.30708700
12.00639966,-4.33070900,3.22834600
12.07039966,-4.33070900,3.22834600
12.13439966,-3.14960600,3.30708700
12.19839966,1.96850400,3.30708700
12.26239965,-8.26771600,3.22834600
12.32639965,0.00000000,3.30708700
12.39039965,-2.36220500,3.22834600
12.45439965,-1.18110200,3.30708700
12.51839965,-3.54330700,3.30708700
12.58239965,3.54330700,3.30708700
12.64639964,-3.14960600,3.30708700
12.71039964,-2.36220500,3.30708700
12.77439964,0.78740150,3.30708700
12.83839964,-3.54330700,3.30708700
12.90239964,-5.11811000,3.30708700
12.96639963,-2.75590500,3.30708700
13.03039963,-0.78740150,3.30708700
13.09439963,-7.87401500,3.30708700
13.15839963,-2.75590500,3.30708700
13.22239963,-5.90551100,3.30708700
13.28639963,-8.26771600,3.30708700
13.35039962,-10.62992000,3.30708700
13.41439962,-4.33070900,3.30708700
13.47839962,-12.59842000,3.30708700
13.54239962,-7.48031400,3.30708700
13.60639962,-6.69291300,3.30708700
13.67039961,-5.11811000,3.30708700
13.73439961,-11.41732000,3.22834600
13.79839961,-3.14960600,3.22834600
13.86239961,-10.23622000,3.22834600
13.92639961,-9.84251900,3.22834600
13.99039961,-6.69291300,3.22834600
14.05439960,-7.08661400,3.22834600
14.11839960,-6.69291300,3.22834600
14.18239960,-6.29921200,3.30708700
14.24639960,-2.36220500,3.30708700
14.31039960,-9.84251900,3.22834600
14.37439959,-2.75590500,3.30708700
14.43839959,-5.90551100,3.22834600
14.50239959,-5.11811000,3.30708700
14.56639959,-9.05511800,3.30708700
14.63039959,-3.14960600,3.30708700
14.69439959,-8.66141700,3.30708700
14.75839958,-6.69291300,3.30708700
14.82239958,-7.87401500,3.30708700
14.88639958,-5.90551100,3.22834600
14.95039958,-8.66141700,3.30708700
15.01439958,-3.93700800,3.30708700
15.07839957,-4.72440900,3.30708700
15.14239957,-4.33070900,3.30708700
15.20639957,-3.54330700,3.30708700
15.27039957,-3.14960600,3.22834600
15.33439957,-5.51181100,3.30708700
15.39839957,-9.05511800,3.30708700
15.46239956,-2.36220500,3.30708700
15.52639956,-7.87401500,3.30708700
15.59039956,-4.72440900,3.30708700
15.65439956,-6.69291300,3.30708700
15.71839956,-1.96850400,3.30708700
15.78239955,-11.02362000,3.30708700
15.84639955,-4.33070900,3.30708700
15.91039955,-9.84251900,3.30708700
15.97439955,-12.20472000,3.30708700
16.03839955,-10.62992000,3.30708700
16.10239955,-5.51181100,3.30708700
16.16639954,-12.59842000,3.30708700
16.23039954,-10.23622000,3.30708700
16.29439954,-5.90551100,3.30708700
16.35839954,-11.02362000,3.30708700
16.42239954,-9.05511800,3.30708700
16.48639953,-5.90551100,3.30708700
16.55039953,-8.26771600,3.30708700
16.61439953,-8.66141700,3.30708700
16.67839953,-1.18110200,3.30708700
16.74239953,-8.66141700,3.22834600
16.80639953,-5.11811000,3.30708700
16.87039952,-5.90551100,3.30708700
16.93439952,-3.93700800,3.22834600
16.99839952,-10.62992000,3.30708700
17.06239952,-2.36220500,3.30708700
17.12639952,-8.26771600,3.30708700
17.19039951,-5.51181100,3.30708700
17.25439951,-6.69291300,3.22834600
17.31839951,-6.29921200,3.30708700
17.38239951,-9.05511800,3.30708700
17.44639951,-7.87401500,3.22834600
17.51039951,-5.90551100,3.30708700
17.57439950,-9.05511800,3.30708700
17.63839950,-5.51181100,3.30708700
17.70239950,-5.90551100,3.30708700
17.76639950,-3.54330700,3.30708700
17.83039950,-7.48031400,3.30708700
17.89439949,-3.54330700,3.30708700
17.95839949,-8.26771600,3.30708700
18.02239949,-6.29921200,3.30708700
18.08639949,-9.05511800,3.30708700
18.15039949,-3.14960600,3.30708700
18.21439949,-9.05511800,3.30708700
18.27839948,-4.33070900,3.30708700
18.34239948,-5.90551100,3.30708700
18.40639948,-6.29921200,3.30708700
18.47039948,-10.62992000,3.30708700
18.53439948,-6.29921200,3.30708700
18.59839948,-9.84251900,3.22834600
18.66239947,-12.59842000,3.30708700
18.72639947,-6.69291300,3.30708700
18.79039947,-10.62992000,3.30708700
18.85439947,-8.66141700,3.22834600
18.91839947,-9.44881800,3.30708700
18.98239946,-5.51181100,3.22834600
19.04639946,-11.41732000,3.30708700
19.11039946,-2.75590500,3.30708700
19.17439946,-8.66141700,3.22834600
19.23839946,-6.69291300,3.30708700
19.30239946,-9.84251900,3.22834600
19.36639945,-2.36220500,3.22834600
19.43039945,-10.62992000,3.22834600
19.49439945,-5.51181100,3.30708700
19.55839945,-6.69291300,3.30708700
19.62239945,-7.48031400,3.30708700
19.68639944,-7.48031400,3.30708700
19.75039944,-1.57480300,3.22834600
19.81439944,-5.90551100,3.30708700
19.87839944,-9.05511800,3.30708700
19.94239944,-3.93700800,3.30708700
20.00639944,-8.26771600,3.30708700
20.07039943,-9.44881800,3.30708700
20.13439943,-13.77953000,3.30708700
20.19839943,-2.75590500,3.30708700
20.26239943,-11.81102000,3.30708700
20.32639943,-3.54330700,3.30708700
20.39039942,-7.08661400,3.30708700
20.45439942,-7.08661400,3.22834600
20.51839942,-9.84251900,3.30708700
20.58239942,-2.36220500,3.30708700
20.64639942,-12.59842000,3.30708700
20.71039942,-11.02362000,3.30708700
20.77439941,-3.93700800,3.30708700
20.83839941,-6.29921200,3.30708700
20.90239941,-8.66141700,3.22834600
20.96639941,-5.11811000,3.30708700
21.03039941,-6.69291300,3.30708700
21.09439940,-11.81102000,3.30708700
21.15839940,-5.90551100,3.30708700
21.22239940,-9.05511800,3.30708700
21.28639940,-9.05511800,3.30708700
21.35039940,-8.66141700,3.30708700
21.41439940,-4.33070900,3.30708700
21.47839939,-15.74803000,3.22834600
21.54239939,-7.48031400,3.30708700
21.60639939,-9.84251900,3.30708700
21.67039939,-8.26771600,3.22834600
21.73439939,-11.41732000,3.30708700
