Time,Channel A,Channel B
(us),(mV),(V)

-0.03200000,-6.29921200,0.07874016
0.03200000,-9.44881800,2.59842500
0.09600000,-13.38583000,3.22834600
0.16000000,-1.18110200,3.30708700
0.22399999,-2.36220500,3.30708700
0.28799999,0.39370070,3.30708700
0.35199999,-6.69291300,3.30708700
0.41599999,-1.18110200,3.30708700
0.47999999,-10.62992000,3.30708700
0.54399999,-6.29921200,3.30708700
0.60799998,-5.51181100,3.30708700
0.67199998,-3.54330700,3.30708700
0.73599998,-4.72440900,3.30708700
0.79999998,0.39370070,3.22834600
0.86399998,-0.39370070,3.30708700
0.92799997,-8.66141700,3.22834600
0.99199997,-2.36220500,3.30708700
1.05599997,-6.69291300,3.30708700
1.11999997,-2.75590500,3.22834600
1.18399997,-3.14960600,3.30708700
1.24799997,2.36220500,3.22834600
1.31199996,-3.14960600,3.30708700
1.37599996,5.90551100,3.30708700
1.43999996,-0.39370070,3.30708700
1.50399996,1.57480300,3.30708700
1.56799996,-5.51181100,3.30708700
1.63199995,-0.78740150,3.30708700
1.69599995,-4.72440900,3.30708700
1.75999995,-3.14960600,3.30708700
1.82399995,-5.51181100,3.30708700
1.88799995,-3.93700800,3.30708700
1.95199995,-6.69291300,3.30708700
2.01599994,-9.05511800,3.30708700
2.07999994,-7.08661400,3.30708700
2.14399994,-11.81102000,3.22834600
2.20799994,-11.81102000,3.22834600
2.27199994,-8.26771600,3.22834600
2.33599993,-7.48031400,3.30708700
2.39999993,-12.59842000,3.30708700
2.46399993,-1.57480300,3.22834600
2.52799993,-9.05511800,3.30708700
2.59199993,-6.29921200,3.30708700
2.65599993,-4.33070900,3.30708700
2.71999992,1.57480300,3.30708700
2.78399992,-3.14960600,3.30708700
2.84799992,5.11811000,3.30708700
2.91199992,1.57480300,3.30708700
2.97599992,-0.39370070,3.30708700
3.03999991,0.00000000,3.30708700
3.10399991,1.57480300,3.30708700
3.16799991,-5.90551100,3.30708700
3.23199991,-1.96850400,3.30708700
3.29599991,1.18110200,3.30708700
3.35999991,-6.29921200,3.30708700
3.42399990,0.78740150,3.30708700
3.48799990,-3.14960600,3.30708700
3.55199990,-0.78740150,3.30708700
3.61599990,-9.05511800,3.30708700
3.67999990,1.96850400,3.30708700
3.74399990,-4.72440900,3.30708700
3.80799989,-2.75590500,3.30708700
3.87199989,0.00000000,3.30708700
3.93599989,1.96850400,3.30708700
3.99999989,-0.78740150,3.30708700
4.06399989,-1.18110200,3.30708700
4.12799988,0.78740150,3.30708700
4.19199988,-1.57480300,3.30708700
4.25599988,-1.57480300,3.30708700
4.31999988,1.18110200,3.30708700
4.38399988,-1.57480300,3.30708700
4.44799988,-7.08661400,3.30708700
4.51199987,-4.33070900,3.30708700
4.57599987,-10.23622000,3.30708700
4.63999987,-10.62992000,3.30708700
4.70399987,-11.41732000,3.30708700
4.76799987,-6.29921200,3.30708700
4.83199986,-16.14173000,3.30708700
4.89599986,-8.26771600,3.22834600
4.95999986,-13.38583000,3.22834600
5.02399986,-11.81102000,3.30708700
5.08799986,-9.05511800,3.30708700
5.15199986,-8.26771600,3.30708700
5.21599985,-8.66141700,3.30708700
5.27999985,-8.26771600,3.30708700
5.34399985,-0.39370070,3.30708700
5.40799985,-2.75590500,3.30708700
5.47199985,-0.78740150,3.30708700
5.53599984,-0.39370070,3.30708700
5.59999984,1.57480300,3.30708700
5.66399984,-3.14960600,3.30708700
5.72799984,0.78740150,3.30708700
5.79199984,-2.75590500,3.30708700
5.85599984,-0.78740150,3.30708700
5.91999983,-2.75590500,3.30708700
5.98399983,-1.18110200,3.30708700
6.04799983,-4.33070900,3.30708700
6.11199983,-4.33070900,3.30708700
6.17599983,-2.36220500,3.30708700
6.23999982,-3.14960600,3.30708700
6.30399982,-4.33070900,3.30708700
6.36799982,0.00000000,3.30708700
6.43199982,-2.36220500,3.30708700
6.49599982,-1.18110200,3.30708700
6.55999982,-0.39370070,3.30708700
6.62399981,1.18110200,3.30708700
6.68799981,-3.54330700,3.30708700
6.75199981,-0.39370070,3.30708700
6.81599981,4.33070900,3.30708700
6.87999981,-2.36220500,3.30708700
6.94399980,3.93700800,3.30708700
7.00799980,0.78740150,3.30708700
7.07199980,-2.36220500,3.30708700
7.13599980,-8.26771600,3.30708700
7.19999980,-5.51181100,3.30708700
7.26399980,-10.62992000,3.30708700
7.32799979,-6.69291300,3.30708700
7.39199979,-7.08661400,3.30708700
7.45599979,-10.62992000,3.30708700
7.51999979,-11.81102000,3.30708700
7.58399979,-10.62992000,3.30708700
7.64799978,-12.99213000,3.30708700
7.71199978,-8.66141700,3.30708700
7.77599978,-9.05511800,3.30708700
7.83999978,-7.87401500,3.30708700
7.90399978,-7.87401500,3.30708700
7.96799978,-3.14960600,3.30708700
8.03199977,-2.36220500,3.30708700
8.09599977,-3.93700800,3.30708700
8.15999977,1.57480300,3.30708700
8.22399977,-1.18110200,3.30708700
8.28799977,3.14960600,3.30708700
8.35199976,-1.57480300,3.30708700
8.41599976,1.96850400,3.30708700
8.47999976,-0.39370070,3.30708700
8.54399976,-1.18110200,3.30708700
8.60799976,-4.33070900,3.30708700
8.67199976,-1.18110200,3.30708700
8.73599975,-5.90551100,3.30708700
8.79999975,0.39370070,3.30708700
8.86399975,-0.39370070,3.30708700
8.92799975,-2.75590500,3.30708700
8.99199975,-1.96850400,3.30708700
9.05599974,-0.39370070,3.30708700
9.11999974,-2.36220500,3.30708700
9.18399974,-4.33070900,3.30708700
9.24799974,2.75590500,3.30708700
9.31199974,-3.93700800,3.30708700
9.37599974,3.14960600,3.30708700
9.43999973,5.51181100,3.30708700
9.50399973,7.08661400,3.30708700
9.56799973,2.36220500,3.30708700
9.63199973,6.69291300,3.30708700
9.69599973,0.00000000,3.30708700
9.75999972,-2.36220500,3.30708700
9.82399972,-2.36220500,3.30708700
9.88799972,-1.18110200,3.30708700
9.95199972,-4.33070900,3.30708700
10.01599972,-4.33070900,3.30708700
10.07999972,-3.14960600,3.30708700
10.14399971,-10.62992000,3.30708700
10.20799971,-7.48031400,3.30708700
10.27199971,-12.59842000,3.30708700
10.33599971,-6.69291300,3.30708700
10.39999971,-13.38583000,3.30708700
10.46399970,-2.75590500,3.30708700
10.52799970,-7.48031400,3.30708700
10.59199970,-4.33070900,3.30708700
10.65599970,-2.36220500,3.30708700
10.71999970,-0.39370070,3.30708700
10.78399970,-5.11811000,3.30708700
10.84799969,-1.18110200,3.30708700
10.91199969,2.75590500,3.30708700
10.97599969,2.36220500,3.30708700
11.03999969,3.93700800,3.30708700
11.10399969,4.33070900,3.30708700
11.16799969,0.00000000,3.30708700
11.23199968,-5.11811000,3.30708700
11.29599968,0.78740150,3.30708700
11.35999968,-3.54330700,3.30708700
11.42399968,-1.96850400,3.30708700
11.48799968,-0.39370070,3.30708700
11.55199967,4.33070900,3.30708700
11.61599967,-4.33070900,3.30708700
11.67999967,1.18110200,3.30708700
11.74399967,-2.75590500,3.30708700
11.80799967,-1.96850400,3.30708700
11.87199967,-3.14960600,3.30708700
11.93599966,3.93700800,3.30708700
11.99999966,0.00000000,3.30708700
12.06399966,1.96850400,3.30708700
12.12799966,5.11811000,3.30708700
12.19199966,0.78740150,3.30708700
12.25599965,0.00000000,3.30708700
12.31999965,-0.78740150,3.30708700
12.38399965,0.00000000,3.30708700
12.44799965,-5.11811000,3.30708700
12.51199965,-1.96850400,3.30708700
12.57599965,-3.14960600,3.30708700
12.63999964,-6.69291300,3.30708700
12.70399964,-10.62992000,3.30708700
12.76799964,-8.66141700,3.30708700
12.83199964,-15.74803000,3.30708700
12.89599964,-13.77953000,3.30708700
12.95999963,-14.56693000,3.30708700
13.02399963,-11.02362000,3.30708700
13.08799963,-15.74803000,3.30708700
13.15199963,-10.62992000,3.30708700
13.21599963,-12.20472000,3.30708700
13.27999963,-12.99213000,3.30708700
13.34399962,-7.48031400,3.30708700
13.40799962,-6.29921200,3.30708700
13.47199962,-10.23622000,3.30708700
13.53599962,-1.96850400,3.30708700
13.59999962,0.00000000,3.30708700
13.66399961,-5.51181100,3.30708700
13.72799961,-0.39370070,3.30708700
13.79199961,-7.87401500,3.30708700
13.85599961,-7.87401500,3.30708700
13.91999961,-6.29921200,3.30708700
13.98399961,-6.69291300,3.30708700
14.04799960,-8.66141700,3.30708700
14.11199960,-4.72440900,3.30708700
14.17599960,-8.26771600,3.30708700
14.23999960,-5.90551100,3.30708700
14.30399960,-10.23622000,3.30708700
14.36799959,-5.51181100,3.30708700
14.43199959,-6.69291300,3.30708700
14.49599959,-4.72440900,3.30708700
14.55999959,-5.51181100,3.30708700
14.62399959,-1.57480300,3.30708700
14.68799959,-2.75590500,3.30708700
14.75199958,-4.33070900,3.30708700
14.81599958,-1.18110200,3.30708700
14.87999958,-5.90551100,3.30708700
14.94399958,-2.36220500,3.30708700
15.00799958,-3.14960600,3.30708700
15.07199957,-0.39370070,3.30708700
15.13599957,-9.84251900,3.30708700
15.19999957,-3.54330700,3.30708700
15.26399957,-10.62992000,3.30708700
15.32799957,-12.99213000,3.30708700
15.39199957,-14.96063000,3.30708700
15.45599956,-14.17323000,3.30708700
15.51999956,-16.53543000,3.30708700
15.58399956,-14.96063000,3.30708700
15.64799956,-15.74803000,3.30708700
15.71199956,-16.92913000,3.30708700
15.77599955,-12.59842000,3.30708700
15.83999955,-18.50394000,3.30708700
15.90399955,-15.35433000,3.30708700
15.96799955,-17.32283000,3.30708700
16.03199955,-6.29921200,3.30708700
16.09599955,-9.05511800,3.30708700
16.15999954,-11.02362000,3.30708700
16.22399954,-6.29921200,3.30708700
16.28799954,-4.72440900,3.30708700
16.35199954,-9.44881800,3.30708700
16.41599954,-3.93700800,3.30708700
16.47999953,-7.87401500,3.30708700
16.54399953,-5.51181100,3.30708700
16.60799953,-5.11811000,3.30708700
16.67199953,-3.14960600,3.30708700
16.73599953,-4.72440900,3.30708700
16.79999953,-7.48031400,3.30708700
16.86399952,-3.54330700,3.30708700
16.92799952,-11.02362000,3.30708700
16.99199952,-5.51181100,3.30708700
17.05599952,-7.87401500,3.30708700
17.11999952,-1.57480300,3.30708700
17.18399951,-8.26771600,3.30708700
17.24799951,-0.78740150,3.30708700
17.31199951,-6.69291300,3.30708700
17.37599951,-3.93700800,3.30708700
17.43999951,-3.54330700,3.30708700
17.50399951,-0.39370070,3.30708700
17.56799950,-4.72440900,3.30708700
17.63199950,1.96850400,3.30708700
17.69599950,-1.57480300,3.30708700
17.75999950,-5.11811000,3.30708700
17.82399950,-7.87401500,3.30708700
17.88799949,-8.66141700,3.30708700
17.95199949,-14.17323000,3.30708700
18.01599949,-13.38583000,3.30708700
18.07999949,-11.81102000,3.30708700
18.14399949,-14.96063000,3.30708700
18.20799949,-14.56693000,3.30708700
18.27199948,-15.74803000,3.30708700
18.33599948,-15.74803000,3.30708700
18.39999948,-20.47244000,3.30708700
18.46399948,-13.77953000,3.30708700
18.52799948,-20.47244000,3.30708700
18.59199948,-11.02362000,3.30708700
18.65599947,-16.14173000,3.30708700
18.71999947,-6.29921200,3.30708700
18.78399947,-9.05511800,3.30708700
18.84799947,-5.90551100,3.30708700
18.91199947,-2.75590500,3.30708700
18.97599946,-4.72440900,3.30708700
19.03999946,-3.93700800,3.30708700
19.10399946,-0.78740150,3.30708700
19.16799946,0.00000000,3.30708700
19.23199946,-4.33070900,3.30708700
19.29599946,-2.75590500,3.30708700
19.35999945,-3.93700800,3.30708700
19.42399945,-9.44881800,3.30708700
19.48799945,-5.51181100,3.30708700
19.55199945,-5.11811000,3.30708700
19.61599945,-10.23622000,3.30708700
19.67999944,-5.11811000,3.30708700
19.74399944,-2.36220500,3.30708700
19.80799944,-1.96850400,3.30708700
19.87199944,-8.66141700,3.30708700
19.93599944,-0.39370070,3.30708700
19.99999944,-4.72440900,3.30708700
20.06399943,-4.33070900,3.30708700
20.12799943,0.00000000,3.30708700
20.19199943,-1.57480300,3.30708700
20.25599943,-1.18110200,3.30708700
20.31999943,1.96850400,3.30708700
20.38399942,-2.75590500,3.30708700
20.44799942,-9.05511800,3.30708700
20.51199942,-6.29921200,3.30708700
20.57599942,-9.84251900,3.30708700
20.63999942,-9.84251900,3.30708700
20.70399942,-12.20472000,3.30708700
20.76799941,-9.05511800,3.30708700
20.83199941,-13.77953000,3.30708700
20.89599941,-13.77953000,3.30708700
20.95999941,-16.53543000,3.30708700
21.02399941,-20.47244000,3.30708700
21.08799940,-18.50394000,3.30708700
21.15199940,-11.41732000,3.30708700
21.21599940,-11.02362000,3.30708700
21.27999940,-7.87401500,3.30708700
21.34399940,-9.84251900,3.30708700
21.40799940,-3.14960600,3.30708700
21.47199939,-7.48031400,3.30708700
21.53599939,-5.90551100,3.30708700
21.59999939,-0.39370070,3.30708700
21.66399939,-3.54330700,3.30708700
21.72799939,0.39370070,3.30708700
21.79199938,0.78740150,3.30708700
