Time,Channel A,Channel B
(us),(mV),(V)

-0.00492308,1.96850400,1.18110200
0.05907692,-8.66141700,3.22834600
0.12307692,-4.72440900,3.22834600
0.18707692,-4.33070900,3.22834600
0.25107692,-9.44881800,3.22834600
0.31507692,-2.36220500,3.22834600
0.37907691,-5.11811000,3.22834600
0.44307691,-5.90551100,3.22834600
0.50707691,-6.69291300,3.22834600
0.57107691,-1.96850400,3.22834600
0.63507691,-9.44881800,3.22834600
0.69907690,-3.14960600,3.22834600
0.76307690,-4.72440900,3.22834600
0.82707690,-4.72440900,3.22834600
0.89107690,-9.84251900,3.22834600
0.95507690,-1.57480300,3.22834600
1.01907690,-7.87401500,3.22834600
1.08307689,-5.11811000,3.22834600
1.14707689,-1.96850400,3.22834600
1.21107689,-3.54330700,3.22834600
1.27507689,-3.14960600,3.22834600
1.33907689,0.00000000,3.22834600
1.40307688,-0.39370070,3.22834600
1.46707688,-8.26771600,3.22834600
1.53107688,0.00000000,3.22834600
1.59507688,-5.11811000,3.22834600
1.65907688,-2.36220500,3.22834600
1.72307688,-4.33070900,3.22834600
1.78707687,1.57480300,3.22834600
1.85107687,-5.11811000,3.22834600
1.91507687,-0.78740150,3.22834600
1.97907687,-4.33070900,3.22834600
2.04307687,-3.93700800,3.22834600
2.10707687,-5.90551100,3.22834600
2.17107686,-2.75590500,3.22834600
2.23507686,-3.93700800,3.22834600
2.29907686,-4.33070900,3.30708700
2.36307686,-3.54330700,3.22834600
2.42707686,-0.39370070,3.22834600
2.49107685,-2.75590500,3.22834600
2.55507685,-4.33070900,3.22834600
2.61907685,0.00000000,3.22834600
2.68307685,-4.33070900,3.22834600
2.74707685,-1.57480300,3.22834600
2.81107685,-2.36220500,3.22834600
2.87507684,1.57480300,3.22834600
2.93907684,-6.69291300,3.22834600
3.00307684,3.93700800,3.22834600
3.06707684,-3.14960600,3.22834600
3.13107684,-3.14960600,3.22834600
3.19507683,-2.36220500,3.22834600
3.25907683,1.18110200,3.22834600
3.32307683,-5.90551100,3.22834600
3.38707683,-1.18110200,3.22834600
3.45107683,-1.57480300,3.22834600
3.51507683,-7.08661400,3.22834600
3.57907682,-2.36220500,3.22834600
3.64307682,-1.96850400,3.22834600
3.70707682,-5.11811000,3.30708700
3.77107682,-4.72440900,3.22834600
3.83507682,3.14960600,3.30708700
3.89907681,-4.72440900,3.22834600
3.96307681,0.39370070,3.22834600
4.02707681,-1.57480300,3.22834600
4.09107681,-0.78740150,3.30708700
4.15507681,-7.08661400,3.30708700
4.21907681,1.57480300,3.22834600
4.28307680,-5.51181100,3.30708700
4.34707680,-1.18110200,3.22834600
4.41107680,-1.18110200,3.22834600
4.47507680,0.78740150,3.22834600
4.53907680,-6.29921200,3.30708700
4.60307679,-3.93700800,3.30708700
4.66707679,-2.75590500,3.30708700
4.73107679,-7.87401500,3.30708700
4.79507679,-4.33070900,3.30708700
4.85907679,-4.72440900,3.30708700
4.92307679,-3.54330700,3.30708700
4.98707678,-8.26771600,3.22834600
5.05107678,0.78740150,3.22834600
5.11507678,-7.48031400,3.22834600
5.17907678,-3.54330700,3.22834600
5.24307678,-4.33070900,3.22834600
5.30707677,0.00000000,3.22834600
5.37107677,-7.48031400,3.22834600
5.43507677,-1.18110200,3.22834600
5.49907677,-2.36220500,3.22834600
5.56307677,-3.54330700,3.22834600
5.62707677,-4.33070900,3.30708700
5.69107676,-1.18110200,3.22834600
5.75507676,-4.72440900,3.22834600
5.81907676,-2.36220500,3.22834600
5.88307676,0.00000000,3.22834600
5.94707676,-3.54330700,3.30708700
6.01107675,-3.54330700,3.22834600
6.07507675,-5.11811000,3.30708700
6.13907675,-0.78740150,3.22834600
6.20307675,-9.84251900,3.22834600
6.26707675,-1.57480300,3.30708700
6.33107675,-4.72440900,3.22834600
6.39507674,-1.96850400,3.30708700
6.45907674,-5.51181100,3.22834600
6.52307674,2.75590500,3.22834600
6.58707674,-4.72440900,3.30708700
6.65107674,-2.75590500,3.22834600
6.71507673,0.00000000,3.30708700
6.77907673,-3.54330700,3.30708700
6.84307673,-5.90551100,3.30708700
6.90707673,1.18110200,3.30708700
6.97107673,-0.39370070,3.30708700
7.03507673,-5.90551100,3.30708700
7.09907672,0.78740150,3.30708700
7.16307672,-3.14960600,3.30708700
7.22707672,-5.90551100,3.22834600
7.29107672,-3.14960600,3.30708700
7.35507672,-0.39370070,3.30708700
7.41907671,-9.84251900,3.30708700
7.48307671,-0.78740150,3.30708700
7.54707671,-4.33070900,3.22834600
7.61107671,-5.51181100,3.30708700
7.67507671,-7.48031400,3.22834600
7.73907671,0.00000000,3.30708700
7.80307670,-7.48031400,3.30708700
7.86707670,-3.93700800,3.30708700
7.93107670,-2.36220500,3.30708700
7.99507670,-3.54330700,3.22834600
8.05907670,-3.93700800,3.22834600
8.12307669,-2.36220500,3.30708700
8.18707669,-2.75590500,3.22834600
8.25107669,-6.69291300,3.30708700
8.31507669,-1.57480300,3.22834600
8.37907669,-2.75590500,3.22834600
8.44307669,0.39370070,3.22834600
8.50707668,-5.11811000,3.22834600
8.57107668,0.78740150,3.30708700
8.63507668,-4.33070900,3.30708700
8.69907668,-3.54330700,3.30708700
8.76307668,-4.72440900,3.30708700
8.82707668,-2.36220500,3.30708700
8.89107667,-7.48031400,3.22834600
8.95507667,-1.18110200,3.30708700
9.01907667,-3.14960600,3.30708700
9.08307667,-4.72440900,3.30708700
9.14707667,-3.93700800,3.30708700
9.21107666,0.00000000,3.30708700
9.27507666,-3.93700800,3.30708700
9.33907666,-2.36220500,3.30708700
9.40307666,2.36220500,3.22834600
9.46707666,-2.75590500,3.30708700
9.53107666,1.18110200,3.22834600
9.59507665,-0.78740150,3.30708700
9.65907665,0.78740150,3.30708700
9.72307665,-4.72440900,3.30708700
9.78707665,4.72440900,3.30708700
9.85107665,-3.14960600,3.30708700
9.91507664,0.00000000,3.30708700
9.97907664,-0.78740150,3.30708700
10.04307664,1.96850400,3.30708700
10.10707664,-5.90551100,3.22834600
10.17107664,-1.96850400,3.30708700
10.23507664,-2.36220500,3.30708700
10.29907663,-4.72440900,3.30708700
10.36307663,-3.54330700,3.30708700
10.42707663,-0.39370070,3.30708700
10.49107663,-4.33070900,3.22834600
10.55507663,-3.93700800,3.30708700
10.61907662,3.54330700,3.22834600
10.68307662,-3.93700800,3.30708700
10.74707662,-3.93700800,3.30708700
10.81107662,-2.36220500,3.30708700
10.87507662,0.00000000,3.30708700
10.93907662,-5.90551100,3.22834600
11.00307661,3.54330700,3.30708700
11.06707661,-2.36220500,3.30708700
11.13107661,-0.78740150,3.22834600
11.19507661,-1.96850400,3.30708700
11.25907661,1.57480300,3.30708700
11.32307660,-6.29921200,3.22834600
11.38707660,0.00000000,3.30708700
11.45107660,-0.78740150,3.30708700
11.51507660,-3.93700800,3.30708700
11.57907660,-1.96850400,3.30708700
11.64307660,-2.75590500,3.30708700
11.70707659,-2.36220500,3.30708700
11.77107659,-4.72440900,3.30708700
11.83507659,1.18110200,3.22834600
11.89907659,-4.72440900,3.22834600
11.96307659,0.39370070,3.30708700
12.02707658,-1.96850400,3.30708700
12.09107658,2.36220500,3.30708700
12.15507658,-5.11811000,3.30708700
12.21907658,-0.78740150,3.30708700
12.28307658,-2.36220500,3.30708700
12.34707658,-1.57480300,3.30708700
12.41107657,-4.72440900,3.30708700
12.47507657,1.96850400,3.30708700
12.53907657,-2.36220500,3.30708700
12.60307657,-2.75590500,3.30708700
12.66707657,-1.18110200,3.30708700
12.73107656,-3.93700800,3.30708700
12.79507656,-8.26771600,3.30708700
12.85907656,-4.33070900,3.30708700
12.92307656,-1.96850400,3.30708700
12.98707656,-11.02362000,3.30708700
13.05107656,-2.36220500,3.30708700
13.11507655,-4.33070900,3.30708700
13.17907655,-5.90551100,3.30708700
13.24307655,-10.23622000,3.30708700
13.30707655,0.00000000,3.22834600
13.37107655,-11.02362000,3.30708700
13.43507654,-5.90551100,3.22834600
13.49907654,-3.54330700,3.22834600
13.56307654,-6.69291300,3.22834600
13.62707654,-8.26771600,3.22834600
13.69107654,-1.96850400,3.22834600
13.75507654,-8.26771600,3.22834600
13.81907653,-9.05511800,3.22834600
13.88307653,-4.33070900,3.22834600
13.94707653,-6.29921200,3.22834600
14.01107653,-7.08661400,3.30708700
14.07507653,-7.08661400,3.30708700
14.13907652,-5.51181100,3.30708700
14.20307652,-11.81102000,3.30708700
14.26707652,-5.51181100,3.30708700
14.33107652,-8.26771600,3.30708700
14.39507652,-5.51181100,3.30708700
14.45907652,-9.84251900,3.30708700
14.52307651,-0.78740150,3.30708700
14.58707651,-7.08661400,3.22834600
14.65107651,-3.54330700,3.30708700
14.71507651,-5.51181100,3.30708700
14.77907651,-4.33070900,3.30708700
14.84307650,-8.66141700,3.30708700
14.90707650,-4.72440900,3.30708700
14.97107650,-4.33070900,3.30708700
15.03507650,-7.87401500,3.30708700
15.09907650,-1.96850400,3.30708700
15.16307650,-4.33070900,3.30708700
15.22707649,-5.11811000,3.30708700
15.29107649,-8.66141700,3.30708700
15.35507649,-3.54330700,3.30708700
15.41907649,-10.62992000,3.22834600
15.48307649,-6.69291300,3.30708700
15.54707648,-8.66141700,3.30708700
15.61107648,-5.51181100,3.30708700
15.67507648,-11.02362000,3.30708700
15.73907648,-5.90551100,3.30708700
15.80307648,-10.62992000,3.22834600
15.86707648,-8.66141700,3.30708700
15.93107647,-9.44881800,3.30708700
15.99507647,-3.93700800,3.30708700
16.05907647,-9.44881800,3.30708700
16.12307647,-9.44881800,3.30708700
16.18707647,-4.72440900,3.30708700
16.25107647,-10.23622000,3.30708700
16.31507646,-8.66141700,3.30708700
16.37907646,-7.48031400,3.30708700
16.44307646,-5.11811000,3.22834600
16.50707646,-11.02362000,3.30708700
16.57107646,0.00000000,3.30708700
16.63507645,-7.48031400,3.30708700
16.69907645,-5.90551100,3.30708700
16.76307645,-7.48031400,3.30708700
16.82707645,-3.14960600,3.22834600
16.89107645,-12.59842000,3.30708700
16.95507645,-3.93700800,3.30708700
17.01907644,-6.29921200,3.30708700
17.08307644,-7.87401500,3.30708700
17.14707644,-4.72440900,3.30708700
17.21107644,-4.33070900,3.30708700
17.27507644,-8.66141700,3.30708700
17.33907643,-5.11811000,3.30708700
17.40307643,-1.57480300,3.30708700
17.46707643,-9.44881800,3.30708700
17.53107643,-4.33070900,3.30708700
17.59507643,-3.14960600,3.30708700
17.65907643,-5.11811000,3.22834600
17.72307642,-8.66141700,3.30708700
17.78707642,-1.96850400,3.30708700
17.85107642,-9.84251900,3.30708700
17.91507642,-4.72440900,3.30708700
17.97907642,-6.69291300,3.30708700
18.04307641,-5.11811000,3.30708700
18.10707641,-11.81102000,3.30708700
18.17107641,-5.51181100,3.30708700
18.23507641,-9.05511800,3.30708700
18.29907641,-9.84251900,3.30708700
18.36307641,-10.62992000,3.30708700
18.42707640,-8.66141700,3.30708700
18.49107640,-7.87401500,3.30708700
18.55507640,-10.62992000,3.30708700
18.61907640,-6.29921200,3.22834600
18.68307640,-9.44881800,3.30708700
18.74707639,-7.87401500,3.30708700
18.81107639,-9.05511800,3.30708700
18.87507639,-4.72440900,3.30708700
18.93907639,-12.59842000,3.22834600
19.00307639,-3.93700800,3.30708700
19.06707639,-5.11811000,3.30708700
19.13107638,-5.11811000,3.30708700
19.19507638,-7.08661400,3.30708700
19.25907638,-1.57480300,3.30708700
19.32307638,-8.26771600,3.30708700
19.38707638,-6.69291300,3.30708700
19.45107637,-5.51181100,3.30708700
19.51507637,-7.48031400,3.30708700
19.57907637,-8.26771600,3.30708700
19.64307637,-4.72440900,3.30708700
19.70707637,-5.11811000,3.30708700
19.77107637,-10.62992000,3.30708700
19.83507636,-3.54330700,3.30708700
19.89907636,-7.08661400,3.30708700
19.96307636,-4.72440900,3.30708700
20.02707636,-6.69291300,3.30708700
20.09107636,0.39370070,3.30708700
20.15507635,-10.23622000,3.30708700
20.21907635,-2.75590500,3.30708700
20.28307635,-5.51181100,3.30708700
20.34707635,-7.48031400,3.30708700
20.41107635,-9.84251900,3.30708700
20.47507635,-2.36220500,3.30708700
20.53907634,-7.48031400,3.30708700
20.60307634,-9.05511800,3.30708700
20.66707634,-3.54330700,3.30708700
20.73107634,-7.48031400,3.30708700
20.79507634,-10.62992000,3.30708700
20.85907633,-8.26771600,3.30708700
20.92307633,-7.48031400,3.30708700
20.98707633,-14.17323000,3.30708700
21.05107633,-5.11811000,3.30708700
21.11507633,-8.66141700,3.30708700
21.17907633,-9.44881800,3.30708700
21.24307632,-9.84251900,3.30708700
21.30707632,-2.36220500,3.30708700
21.37107632,-12.20472000,3.22834600
21.43507632,-5.51181100,3.30708700
21.49907632,-7.48031400,3.22834600
21.56307631,-5.11811000,3.30708700
21.62707631,-7.48031400,3.30708700
21.69107631,-3.54330700,3.22834600
21.75507631,-6.29921200,3.30708700
