Time,Channel A,Channel B
(us),(mV),(V)

-0.03303226,-0.78740150,0.07874016
0.03096774,-16.92913000,2.51968500
0.09496774,-6.29921200,3.22834600
0.15896774,-4.33070900,3.30708700
0.22296774,-6.69291300,3.22834600
0.28696773,-8.66141700,3.30708700
0.35096773,-4.33070900,3.30708700
0.41496773,-9.05511800,3.22834600
0.47896773,-7.48031400,3.22834600
0.54296773,-2.36220500,3.30708700
0.60696772,-4.33070900,3.22834600
0.67096772,-4.33070900,3.22834600
0.73496772,-3.14960600,3.22834600
0.79896772,-1.96850400,3.22834600
0.86296772,-6.29921200,3.22834600
0.92696772,-1.96850400,3.22834600
0.99096771,-2.75590500,3.22834600
1.05496771,-0.78740150,3.22834600
1.11896771,-3.14960600,3.22834600
1.18296771,1.57480300,3.22834600
1.24696771,-2.75590500,3.22834600
1.31096770,-1.18110200,3.22834600
1.37496770,-0.39370070,3.22834600
1.43896770,0.39370070,3.30708700
1.50296770,-3.93700800,3.30708700
1.56696770,-0.39370070,3.22834600
1.63096770,-0.39370070,3.22834600
1.69496769,-4.72440900,3.30708700
1.75896769,-3.14960600,3.30708700
1.82296769,-1.96850400,3.22834600
1.88696769,-4.33070900,3.22834600
1.95096769,-5.11811000,3.22834600
2.01496768,1.18110200,3.22834600
2.07896768,-4.33070900,3.22834600
2.14296768,-1.96850400,3.22834600
2.20696768,-2.36220500,3.22834600
2.27096768,-1.18110200,3.22834600
2.33496768,-9.05511800,3.22834600
2.39896767,0.00000000,3.22834600
2.46296767,-3.93700800,3.22834600
2.52696767,-3.14960600,3.22834600
2.59096767,-1.18110200,3.22834600
2.65496767,1.18110200,3.30708700
2.71896766,-4.33070900,3.22834600
2.78296766,0.00000000,3.22834600
2.84696766,-1.18110200,3.22834600
2.91096766,-4.72440900,3.22834600
2.97496766,-0.78740150,3.22834600
3.03896766,0.39370070,3.30708700
3.10296765,-3.14960600,3.30708700
3.16696765,-3.54330700,3.22834600
3.23096765,1.18110200,3.22834600
3.29496765,-5.11811000,3.30708700
3.35896765,-2.75590500,3.30708700
3.42296765,-2.36220500,3.30708700
3.48696764,-0.39370070,3.22834600
3.55096764,-2.36220500,3.30708700
3.61496764,1.96850400,3.30708700
3.67896764,-1.18110200,3.30708700
3.74296764,-0.39370070,3.22834600
3.80696763,-3.54330700,3.30708700
3.87096763,2.36220500,3.30708700
3.93496763,-3.54330700,3.30708700
3.99896763,0.39370070,3.30708700
4.06296763,-0.39370070,3.30708700
4.12696763,0.39370070,3.30708700
4.19096762,-1.57480300,3.30708700
4.25496762,-1.18110200,3.30708700
4.31896762,-1.18110200,3.30708700
4.38296762,-5.90551100,3.22834600
4.44696762,-0.78740150,3.30708700
4.51096761,-6.29921200,3.30708700
4.57496761,-4.72440900,3.30708700
4.63896761,-5.51181100,3.30708700
4.70296761,-1.18110200,3.22834600
4.76696761,-7.08661400,3.22834600
4.83096761,-4.72440900,3.30708700
4.89496760,-5.90551100,3.22834600
4.95896760,-7.08661400,3.22834600
5.02296760,-7.48031400,3.22834600
5.08696760,-0.39370070,3.22834600
5.15096760,-6.69291300,3.30708700
5.21496759,-2.75590500,3.30708700
5.27896759,-3.93700800,3.22834600
5.34296759,-2.75590500,3.30708700
5.40696759,-6.69291300,3.22834600
5.47096759,-3.54330700,3.30708700
5.53496759,-1.57480300,3.30708700
5.59896758,-4.72440900,3.30708700
5.66296758,0.00000000,3.30708700
5.72696758,-3.93700800,3.22834600
5.79096758,-3.93700800,3.30708700
5.85496758,-5.90551100,3.30708700
5.91896757,-0.78740150,3.30708700
5.98296757,-7.87401500,3.22834600
6.04696757,-1.18110200,3.30708700
6.11096757,-1.96850400,3.30708700
6.17496757,0.00000000,3.30708700
6.23896757,-4.72440900,3.30708700
6.30296756,2.75590500,3.30708700
6.36696756,-3.14960600,3.30708700
6.43096756,-4.33070900,3.22834600
6.49496756,0.78740150,3.30708700
6.55896756,-0.39370070,3.30708700
6.62296755,-2.36220500,3.30708700
6.68696755,0.78740150,3.30708700
6.75096755,1.57480300,3.30708700
6.81496755,-4.33070900,3.30708700
6.87896755,-0.39370070,3.30708700
6.94296755,-1.18110200,3.30708700
7.00696754,-3.14960600,3.30708700
7.07096754,-4.72440900,3.30708700
7.13496754,0.00000000,3.30708700
7.19896754,-8.26771600,3.30708700
7.26296754,-2.36220500,3.22834600
7.32696753,-4.72440900,3.30708700
7.39096753,-4.72440900,3.30708700
7.45496753,-9.44881800,3.30708700
7.51896753,-1.57480300,3.30708700
7.58296753,-8.26771600,3.30708700
7.64696753,-5.90551100,3.30708700
7.71096752,-2.36220500,3.30708700
7.77496752,-4.33070900,3.22834600
7.83896752,-5.51181100,3.22834600
7.90296752,-6.69291300,3.22834600
7.96696752,-2.75590500,3.30708700
8.03096751,-6.69291300,3.22834600
8.09496751,-2.75590500,3.30708700
8.15896751,-1.57480300,3.30708700
8.22296751,-1.57480300,3.30708700
8.28696751,-4.72440900,3.30708700
8.35096751,0.00000000,3.22834600
8.41496750,-5.11811000,3.30708700
8.47896750,-5.90551100,3.22834600
8.54296750,-5.90551100,3.30708700
8.60696750,0.00000000,3.30708700
8.67096750,-6.29921200,3.30708700
8.73496749,-0.39370070,3.30708700
8.79896749,-0.78740150,3.30708700
8.86296749,-4.33070900,3.30708700
8.92696749,-4.33070900,3.30708700
8.99096749,0.00000000,3.30708700
9.05496749,-5.11811000,3.30708700
9.11896748,-3.54330700,3.30708700
9.18296748,3.14960600,3.30708700
9.24696748,-1.57480300,3.30708700
9.31096748,-1.18110200,3.30708700
9.37496748,0.78740150,3.30708700
9.43896747,1.96850400,3.30708700
9.50296747,-4.72440900,3.30708700
9.56696747,3.93700800,3.30708700
9.63096747,0.39370070,3.30708700
9.69496747,-0.39370070,3.30708700
9.75896747,-0.78740150,3.30708700
9.82296746,3.14960600,3.30708700
9.88696746,-5.90551100,3.30708700
9.95096746,-1.18110200,3.30708700
10.01496746,-3.14960600,3.30708700
10.07896746,-3.54330700,3.30708700
10.14296746,-5.90551100,3.30708700
10.20696745,0.00000000,3.22834600
10.27096745,-5.11811000,3.30708700
10.33496745,-2.36220500,3.30708700
10.39896745,-3.54330700,3.30708700
10.46296745,-5.11811000,3.30708700
10.52696744,-6.69291300,3.22834600
10.59096744,-4.33070900,3.30708700
10.65496744,0.39370070,3.22834600
10.71896744,-6.29921200,3.30708700
10.78296744,0.00000000,3.30708700
10.84696744,-3.54330700,3.30708700
10.91096743,-2.36220500,3.30708700
10.97496743,-5.51181100,3.30708700
11.03896743,0.78740150,3.30708700
11.10296743,-5.11811000,3.30708700
11.16696743,-1.96850400,3.30708700
11.23096742,-2.75590500,3.30708700
11.29496742,-3.14960600,3.30708700
11.35896742,-4.72440900,3.30708700
11.42296742,-0.78740150,3.30708700
11.48696742,-3.14960600,3.30708700
11.55096742,-2.75590500,3.30708700
11.61496741,-1.57480300,3.30708700
11.67896741,-1.18110200,3.30708700
11.74296741,-1.18110200,3.30708700
11.80696741,-1.96850400,3.30708700
11.87096741,0.39370070,3.30708700
11.93496740,-3.14960600,3.30708700
11.99896740,0.00000000,3.30708700
12.06296740,-2.75590500,3.30708700
12.12696740,0.78740150,3.30708700
12.19096740,-3.54330700,3.30708700
12.25496740,1.96850400,3.30708700
12.31896739,-2.75590500,3.30708700
12.38296739,-2.36220500,3.30708700
12.44696739,-5.51181100,3.30708700
12.51096739,-2.75590500,3.30708700
12.57496739,-6.69291300,3.30708700
12.63896738,-3.93700800,3.30708700
12.70296738,-3.93700800,3.30708700
12.76696738,-8.26771600,3.22834600
12.83096738,-5.11811000,3.30708700
12.89496738,-4.72440900,3.30708700
12.95896738,-10.62992000,3.30708700
13.02296737,-9.84251900,3.30708700
13.08696737,-5.11811000,3.30708700
13.15096737,-12.59842000,3.30708700
13.21496737,-7.87401500,3.30708700
13.27896737,-7.08661400,3.30708700
13.34296736,-5.51181100,3.30708700
13.40696736,-10.23622000,3.30708700
13.47096736,-5.11811000,3.30708700
13.53496736,-9.84251900,3.30708700
13.59896736,-9.05511800,3.30708700
13.66296736,-6.29921200,3.30708700
13.72696735,-3.54330700,3.30708700
13.79096735,-12.59842000,3.30708700
13.85496735,-5.11811000,3.30708700
13.91896735,-7.48031400,3.30708700
13.98296735,-11.81102000,3.30708700
14.04696734,-7.87401500,3.30708700
14.11096734,-7.48031400,3.30708700
14.17496734,-7.87401500,3.30708700
14.23896734,-5.90551100,3.30708700
14.30296734,-2.36220500,3.22834600
14.36696734,-7.08661400,3.30708700
14.43096733,-4.72440900,3.30708700
14.49496733,-4.33070900,3.30708700
14.55896733,-5.11811000,3.30708700
14.62296733,-8.26771600,3.30708700
14.68696733,-3.14960600,3.30708700
14.75096732,-5.90551100,3.30708700
14.81496732,-3.93700800,3.30708700
14.87896732,-5.51181100,3.30708700
14.94296732,-2.75590500,3.30708700
15.00696732,-7.87401500,3.30708700
15.07096732,-4.72440900,3.30708700
15.13496731,-6.69291300,3.30708700
15.19896731,-7.08661400,3.30708700
15.26296731,-8.26771600,3.30708700
15.32696731,-5.90551100,3.30708700
15.39096731,-8.26771600,3.30708700
15.45496730,-12.59842000,3.30708700
15.51896730,-5.90551100,3.22834600
15.58296730,-11.02362000,3.22834600
15.64696730,-12.59842000,3.30708700
15.71096730,-10.23622000,3.30708700
15.77496730,-5.90551100,3.30708700
15.83896729,-15.74803000,3.22834600
15.90296729,-5.90551100,3.22834600
15.96696729,-11.02362000,3.30708700
16.03096729,-9.44881800,3.22834600
16.09496729,-10.62992000,3.30708700
16.15896728,-8.66141700,3.22834600
16.22296728,-10.62992000,3.30708700
16.28696728,-9.44881800,3.30708700
16.35096728,-6.69291300,3.30708700
16.41496728,-7.87401500,3.30708700
16.47896728,-9.44881800,3.30708700
16.54296727,-6.29921200,3.30708700
16.60696727,-5.90551100,3.22834600
16.67096727,-9.44881800,3.30708700
16.73496727,-3.54330700,3.30708700
16.79896727,-5.11811000,3.30708700
16.86296726,-5.11811000,3.30708700
16.92696726,-7.87401500,3.30708700
16.99096726,0.00000000,3.30708700
17.05496726,-10.23622000,3.30708700
17.11896726,-4.33070900,3.30708700
17.18296726,-6.29921200,3.30708700
17.24696725,-4.33070900,3.30708700
17.31096725,-7.87401500,3.30708700
17.37496725,0.78740150,3.30708700
17.43896725,-4.33070900,3.30708700
17.50296725,-6.29921200,3.30708700
17.56696725,-2.36220500,3.30708700
17.63096724,-3.93700800,3.30708700
17.69496724,-8.66141700,3.30708700
17.75896724,-4.33070900,3.30708700
17.82296724,-5.11811000,3.30708700
17.88696724,-9.84251900,3.30708700
17.95096723,-6.29921200,3.30708700
18.01496723,-9.05511800,3.30708700
18.07896723,-11.02362000,3.22834600
18.14296723,-11.02362000,3.30708700
18.20696723,-7.08661400,3.30708700
18.27096723,-12.99213000,3.30708700
18.33496722,-8.66141700,3.30708700
18.39896722,-9.44881800,3.30708700
18.46296722,-7.87401500,3.30708700
18.52696722,-14.96063000,3.22834600
18.59096722,-6.69291300,3.30708700
18.65496721,-13.77953000,3.22834600
18.71896721,-8.26771600,3.30708700
18.78296721,-8.66141700,3.30708700
18.84696721,-6.29921200,3.30708700
18.91096721,-6.69291300,3.30708700
18.97496721,-6.69291300,3.22834600
19.03896720,-3.93700800,3.30708700
19.10296720,-7.08661400,3.30708700
19.16696720,-5.90551100,3.30708700
19.23096720,-5.90551100,3.30708700
19.29496720,-4.72440900,3.30708700
19.35896719,-8.26771600,3.30708700
19.42296719,-3.93700800,3.30708700
19.48696719,-5.90551100,3.30708700
19.55096719,-6.29921200,3.22834600
19.61496719,-7.08661400,3.30708700
19.67896719,-3.54330700,3.30708700
19.74296718,-7.48031400,3.30708700
19.80696718,-0.39370070,3.30708700
19.87096718,-4.33070900,3.30708700
19.93496718,-3.54330700,3.30708700
19.99896718,-4.33070900,3.30708700
20.06296717,-1.18110200,3.30708700
20.12696717,-5.90551100,3.30708700
20.19096717,-5.11811000,3.30708700
20.25496717,-3.14960600,3.30708700
20.31896717,-5.51181100,3.30708700
20.38296717,-5.11811000,3.30708700
20.44696716,-5.11811000,3.30708700
20.51096716,-6.29921200,3.30708700
20.57496716,-11.41732000,3.30708700
20.63896716,-5.51181100,3.30708700
20.70296716,-11.02362000,3.30708700
20.76696715,-9.05511800,3.30708700
20.83096715,-10.23622000,3.30708700
20.89496715,-5.51181100,3.30708700
20.95896715,-11.02362000,3.30708700
21.02296715,-10.62992000,3.30708700
21.08696715,-9.84251900,3.30708700
21.15096714,-10.23622000,3.30708700
21.21496714,-11.02362000,3.30708700
21.27896714,-3.93700800,3.30708700
21.34296714,-9.44881800,3.30708700
21.40696714,-5.90551100,3.30708700
21.47096713,-3.14960600,3.30708700
21.53496713,-5.90551100,3.30708700
21.59896713,-8.26771600,3.30708700
21.66296713,-5.11811000,3.30708700
21.72696713,-5.11811000,3.30708700
