Time,Channel A,Channel B
(us),(mV),(V)

-0.02625641,-9.05511800,0.07874016
0.03774359,0.78740150,3.14960600
0.10174359,-3.14960600,3.22834600
0.16574359,-11.02362000,3.30708700
0.22974358,-4.33070900,3.30708700
0.29374358,-3.54330700,3.30708700
0.35774358,-5.51181100,3.30708700
0.42174358,-9.84251900,3.30708700
0.48574358,-0.78740150,3.30708700
0.54974357,-6.69291300,3.30708700
0.61374357,-3.93700800,3.30708700
0.67774357,2.75590500,3.30708700
0.74174357,3.93700800,3.30708700
0.80574357,-1.57480300,3.30708700
0.86974357,3.14960600,3.30708700
0.93374356,0.78740150,3.30708700
0.99774356,-3.93700800,3.30708700
1.06174356,-0.39370070,3.30708700
1.12574356,-3.14960600,3.30708700
1.18974356,-3.54330700,3.22834600
1.25374355,-5.90551100,3.30708700
1.31774355,-3.14960600,3.22834600
1.38174355,-11.02362000,3.30708700
1.44574355,-10.62992000,3.30708700
1.50974355,-12.99213000,3.30708700
1.57374355,-10.23622000,3.22834600
1.63774354,-9.84251900,3.30708700
1.70174354,-4.72440900,3.30708700
1.76574354,-9.05511800,3.30708700
1.82974354,-5.90551100,3.22834600
1.89374354,-5.11811000,3.30708700
1.95774353,-0.39370070,3.30708700
2.02174353,-4.33070900,3.22834600
2.08574353,-3.14960600,3.30708700
2.14974353,6.29921200,3.30708700
2.21374353,1.57480300,3.30708700
2.27774353,2.36220500,3.30708700
2.34174352,1.57480300,3.30708700
2.40574352,5.11811000,3.30708700
2.46974352,-5.51181100,3.30708700
2.53374352,2.75590500,3.30708700
2.59774352,-1.57480300,3.30708700
2.66174351,0.00000000,3.30708700
2.72574351,-1.96850400,3.30708700
2.78974351,5.11811000,3.30708700
2.85374351,-6.69291300,3.30708700
2.91774351,-4.33070900,3.30708700
2.98174351,0.00000000,3.30708700
3.04574350,-4.33070900,3.30708700
3.10974350,-1.18110200,3.30708700
3.17374350,1.57480300,3.30708700
3.23774350,1.57480300,3.30708700
3.30174350,-0.39370070,3.30708700
3.36574349,3.54330700,3.30708700
3.42974349,2.36220500,3.30708700
3.49374349,0.00000000,3.30708700
3.55774349,2.75590500,3.30708700
3.62174349,3.93700800,3.30708700
3.68574349,-3.14960600,3.30708700
3.74974348,1.96850400,3.30708700
3.81374348,-1.57480300,3.30708700
3.87774348,-1.96850400,3.30708700
3.94174348,-7.48031400,3.30708700
4.00574348,-6.69291300,3.30708700
4.06974347,-11.41732000,3.30708700
4.13374347,-10.62992000,3.30708700
4.19774347,-6.69291300,3.30708700
4.26174347,-8.66141700,3.30708700
4.32574347,-8.66141700,3.30708700
4.38974347,-9.84251900,3.22834600
4.45374346,-7.48031400,3.22834600
4.51774346,-15.74803000,3.30708700
4.58174346,-7.87401500,3.30708700
4.64574346,-2.75590500,3.30708700
4.70974346,-3.93700800,3.22834600
4.77374346,-1.57480300,3.30708700
4.83774345,0.39370070,3.30708700
4.90174345,-1.96850400,3.30708700
4.96574345,1.57480300,3.30708700
5.02974345,0.00000000,3.30708700
5.09374345,-0.39370070,3.30708700
5.15774344,-3.54330700,3.30708700
5.22174344,3.14960600,3.30708700
5.28574344,0.78740150,3.30708700
5.34974344,-2.75590500,3.30708700
5.41374344,0.39370070,3.30708700
5.47774344,-3.54330700,3.30708700
5.54174343,-7.48031400,3.30708700
5.60574343,-4.33070900,3.30708700
5.66974343,-3.14960600,3.30708700
5.73374343,-2.36220500,3.30708700
5.79774343,-1.18110200,3.30708700
5.86174342,0.78740150,3.30708700
5.92574342,1.57480300,3.30708700
5.98974342,-5.11811000,3.30708700
6.05374342,4.72440900,3.30708700
6.11774342,0.00000000,3.30708700
6.18174342,1.57480300,3.30708700
6.24574341,1.96850400,3.30708700
6.30974341,5.90551100,3.30708700
6.37374341,-1.18110200,3.30708700
6.43774341,1.57480300,3.30708700
6.50174341,-0.39370070,3.30708700
6.56574340,-5.51181100,3.30708700
6.62974340,-7.08661400,3.30708700
6.69374340,-4.33070900,3.30708700
6.75774340,-9.05511800,3.30708700
6.82174340,-8.66141700,3.30708700
6.88574340,-3.93700800,3.30708700
6.94974339,-11.02362000,3.30708700
7.01374339,-12.20472000,3.22834600
7.07774339,-9.84251900,3.30708700
7.14174339,-11.81102000,3.30708700
7.20574339,-13.38583000,3.30708700
7.26974338,1.18110200,3.30708700
7.33374338,-5.90551100,3.30708700
7.39774338,-1.96850400,3.30708700
7.46174338,-1.57480300,3.30708700
7.52574338,1.57480300,3.30708700
7.58974338,-3.54330700,3.30708700
7.65374337,0.39370070,3.30708700
7.71774337,1.96850400,3.30708700
7.78174337,-0.39370070,3.30708700
7.84574337,3.93700800,3.30708700
7.90974337,3.14960600,3.30708700
7.97374336,-1.18110200,3.30708700
8.03774336,-1.18110200,3.30708700
8.10174336,-1.57480300,3.30708700
8.16574336,-9.05511800,3.30708700
8.22974336,-2.36220500,3.30708700
8.29374336,-4.33070900,3.30708700
8.35774335,3.54330700,3.30708700
8.42174335,-4.33070900,3.30708700
8.48574335,1.57480300,3.30708700
8.54974335,-1.96850400,3.30708700
8.61374335,-0.78740150,3.30708700
8.67774334,-0.78740150,3.30708700
8.74174334,1.96850400,3.30708700
8.80574334,3.14960600,3.30708700
8.86974334,1.57480300,3.30708700
8.93374334,5.51181100,3.30708700
8.99774334,1.57480300,3.30708700
9.06174333,0.00000000,3.30708700
9.12574333,-2.36220500,3.30708700
9.18974333,0.39370070,3.30708700
9.25374333,-5.90551100,3.30708700
9.31774333,-0.39370070,3.30708700
9.38174332,-3.54330700,3.30708700
9.44574332,-2.75590500,3.30708700
9.50974332,-5.51181100,3.30708700
9.57374332,-5.11811000,3.30708700
9.63774332,-8.66141700,3.30708700
9.70174332,-8.66141700,3.30708700
9.76574331,-5.11811000,3.30708700
9.82974331,-5.11811000,3.30708700
9.89374331,-5.90551100,3.30708700
9.95774331,-1.57480300,3.30708700
10.02174331,-2.36220500,3.30708700
10.08574330,-0.78740150,3.30708700
10.14974330,1.96850400,3.30708700
10.21374330,-0.78740150,3.30708700
10.27774330,0.78740150,3.30708700
10.34174330,2.75590500,3.30708700
10.40574330,7.08661400,3.30708700
10.46974329,0.00000000,3.30708700
10.53374329,7.48031400,3.30708700
10.59774329,-0.39370070,3.30708700
10.66174329,-1.96850400,3.30708700
10.72574329,-3.54330700,3.30708700
10.78974328,0.00000000,3.30708700
10.85374328,-3.93700800,3.30708700
10.91774328,-2.75590500,3.30708700
10.98174328,1.57480300,3.30708700
11.04574328,-1.57480300,3.30708700
11.10974328,-2.36220500,3.30708700
11.17374327,3.14960600,3.30708700
11.23774327,1.57480300,3.30708700
11.30174327,-2.75590500,3.30708700
11.36574327,5.11811000,3.30708700
11.42974327,3.54330700,3.30708700
11.49374327,3.54330700,3.30708700
11.55774326,5.51181100,3.30708700
11.62174326,6.29921200,3.30708700
11.68574326,-0.39370070,3.30708700
11.74974326,2.75590500,3.30708700
11.81374326,-0.39370070,3.30708700
11.87774325,-1.57480300,3.30708700
11.94174325,-3.54330700,3.30708700
12.00574325,0.00000000,3.30708700
12.06974325,-7.08661400,3.30708700
12.13374325,-8.66141700,3.30708700
12.19774325,-8.66141700,3.30708700
12.26174324,-11.81102000,3.30708700
12.32574324,-10.62992000,3.30708700
12.38974324,-9.44881800,3.30708700
12.45374324,-7.48031400,3.30708700
12.51774324,-6.69291300,3.30708700
12.58174323,-3.54330700,3.30708700
12.64574323,-10.23622000,3.30708700
12.70974323,-4.72440900,3.30708700
12.77374323,-5.51181100,3.30708700
12.83774323,-6.69291300,3.30708700
12.90174323,-3.54330700,3.30708700
12.96574322,-1.96850400,3.30708700
13.02974322,0.39370070,3.30708700
13.09374322,2.36220500,3.30708700
13.15774322,-5.51181100,3.30708700
13.22174322,-2.36220500,3.30708700
13.28574321,-2.36220500,3.30708700
13.34974321,-7.87401500,3.30708700
13.41374321,-4.72440900,3.30708700
13.47774321,-1.96850400,3.30708700
13.54174321,-8.66141700,3.30708700
13.60574321,-6.69291300,3.30708700
13.66974320,-3.93700800,3.30708700
13.73374320,-9.44881800,3.30708700
13.79774320,-2.75590500,3.30708700
13.86174320,-6.69291300,3.30708700
13.92574320,0.39370070,3.30708700
13.98974319,-9.05511800,3.30708700
14.05374319,2.36220500,3.30708700
14.11774319,-3.93700800,3.30708700
14.18174319,-3.54330700,3.30708700
14.24574319,1.57480300,3.30708700
14.30974319,-1.57480300,3.30708700
14.37374318,-4.33070900,3.30708700
14.43774318,-1.18110200,3.30708700
14.50174318,-0.78740150,3.30708700
14.56574318,-7.48031400,3.30708700
14.62974318,-4.33070900,3.30708700
14.69374317,-9.44881800,3.30708700
14.75774317,-12.59842000,3.30708700
14.82174317,-14.17323000,3.30708700
14.88574317,-9.44881800,3.30708700
14.94974317,-15.35433000,3.30708700
15.01374317,-13.38583000,3.30708700
15.07774316,-11.02362000,3.30708700
15.14174316,-10.62992000,3.30708700
15.20574316,-16.14173000,3.30708700
15.26974316,-9.84251900,3.30708700
15.33374316,-14.17323000,3.30708700
15.39774315,-9.05511800,3.30708700
15.46174315,-7.08661400,3.30708700
15.52574315,-10.23622000,3.30708700
15.58974315,-4.72440900,3.30708700
15.65374315,-5.90551100,3.30708700
15.71774315,-0.39370070,3.30708700
15.78174314,-6.69291300,3.30708700
15.84574314,-5.90551100,3.30708700
15.90974314,-5.90551100,3.30708700
15.97374314,-1.96850400,3.30708700
16.03774314,-9.84251900,3.30708700
16.10174313,-2.75590500,3.30708700
16.16574313,-7.08661400,3.30708700
16.22974313,-10.62992000,3.30708700
16.29374313,-7.48031400,3.30708700
16.35774313,-9.44881800,3.30708700
16.42174313,-11.02362000,3.30708700
16.48574312,-6.29921200,3.30708700
16.54974312,-2.75590500,3.30708700
16.61374312,-3.54330700,3.30708700
16.67774312,-2.75590500,3.30708700
16.74174312,-0.78740150,3.30708700
16.80574311,-2.36220500,3.30708700
16.86974311,-4.33070900,3.30708700
16.93374311,0.78740150,3.30708700
16.99774311,-3.14960600,3.30708700
17.06174311,-0.78740150,3.30708700
17.12574311,-4.33070900,3.30708700
17.18974310,-1.57480300,3.30708700
17.25374310,-9.84251900,3.30708700
17.31774310,-5.11811000,3.30708700
17.38174310,-9.05511800,3.30708700
17.44574310,-11.02362000,3.30708700
17.50974309,-13.38583000,3.30708700
17.57374309,-9.44881800,3.30708700
17.63774309,-12.59842000,3.30708700
17.70174309,-17.71653000,3.30708700
17.76574309,-10.62992000,3.30708700
17.82974309,-17.32283000,3.30708700
17.89374308,-16.14173000,3.30708700
17.95774308,-12.59842000,3.30708700
18.02174308,-12.59842000,3.30708700
18.08574308,-13.38583000,3.30708700
18.14974308,-1.57480300,3.30708700
18.21374307,-11.02362000,3.30708700
18.27774307,-6.69291300,3.30708700
18.34174307,-6.29921200,3.30708700
18.40574307,-2.36220500,3.30708700
18.46974307,-7.08661400,3.30708700
18.53374307,-5.11811000,3.30708700
18.59774306,-2.75590500,3.30708700
18.66174306,-5.11811000,3.30708700
18.72574306,-6.69291300,3.30708700
18.78974306,-4.72440900,3.30708700
18.85374306,-9.44881800,3.30708700
18.91774306,-11.81102000,3.30708700
18.98174305,-4.33070900,3.30708700
19.04574305,-9.84251900,3.30708700
19.10974305,-2.36220500,3.30708700
19.17374305,-5.51181100,3.30708700
19.23774305,0.00000000,3.30708700
19.30174304,-6.69291300,3.30708700
19.36574304,0.78740150,3.30708700
19.42974304,-5.51181100,3.30708700
19.49374304,-2.36220500,3.30708700
19.55774304,-3.14960600,3.30708700
19.62174304,1.18110200,3.30708700
19.68574303,0.00000000,3.30708700
19.74974303,-0.39370070,3.30708700
19.81374303,0.00000000,3.30708700
19.87774303,-3.54330700,3.30708700
19.94174303,-6.69291300,3.30708700
20.00574302,-8.26771600,3.30708700
20.06974302,-7.08661400,3.30708700
20.13374302,-12.59842000,3.30708700
20.19774302,-10.23622000,3.30708700
20.26174302,-11.41732000,3.30708700
20.32574302,-14.96063000,3.30708700
20.38974301,-19.29134000,3.30708700
20.45374301,-10.62992000,3.30708700
20.51774301,-16.92913000,3.30708700
20.58174301,-14.96063000,3.30708700
20.64574301,-9.84251900,3.30708700
20.70974300,-12.20472000,3.30708700
20.77374300,-9.05511800,3.30708700
20.83774300,-3.93700800,3.30708700
20.90174300,-14.56693000,3.30708700
20.96574300,-7.87401500,3.30708700
21.02974300,-4.33070900,3.30708700
21.09374299,-6.69291300,3.30708700
21.15774299,-4.33070900,3.30708700
21.22174299,-1.57480300,3.30708700
21.28574299,-0.39370070,3.30708700
21.34974299,-6.69291300,3.30708700
21.41374298,-3.93700800,3.30708700
21.47774298,-6.69291300,3.30708700
21.54174298,-7.48031400,3.30708700
21.60574298,-6.29921200,3.30708700
21.66974298,-4.33070900,3.30708700
21.73374298,-6.29921200,3.30708700
21.79774297,-4.72440900,3.30708700
21.86174297,-1.96850400,3.30708700
