Time,Channel A,Channel B
(us),(mV),(V)

-0.02461538,-21.25984000,0.15748030
0.03938462,-7.48031400,3.22834600
0.10338461,-4.72440900,3.22834600
0.16738461,-10.62992000,3.22834600
0.23138461,-3.93700800,3.22834600
0.29538461,-8.66141700,3.22834600
0.35938461,-8.66141700,3.22834600
0.42338460,-5.90551100,3.22834600
0.48738460,-3.14960600,3.22834600
0.55138460,-6.69291300,3.30708700
0.61538460,-2.75590500,3.22834600
0.67938460,-2.36220500,3.22834600
0.74338460,-5.51181100,3.22834600
0.80738459,-5.51181100,3.22834600
0.87138459,-2.75590500,3.22834600
0.93538459,-6.69291300,3.22834600
0.99938459,-7.87401500,3.30708700
1.06338459,-1.18110200,3.22834600
1.12738458,-6.29921200,3.30708700
1.19138458,-3.93700800,3.22834600
1.25538458,-5.11811000,3.22834600
1.31938458,0.39370070,3.22834600
1.38338458,-8.66141700,3.22834600
1.44738458,0.00000000,3.22834600
1.51138457,-3.14960600,3.22834600
1.57538457,-2.75590500,3.30708700
1.63938457,-2.75590500,3.22834600
1.70338457,2.75590500,3.22834600
1.76738457,-3.14960600,3.22834600
1.83138456,-2.36220500,3.22834600
1.89538456,1.96850400,3.22834600
1.95938456,-1.18110200,3.30708700
2.02338456,-0.78740150,3.22834600
2.08738456,3.54330700,3.22834600
2.15138456,1.18110200,3.22834600
2.21538455,-3.54330700,3.30708700
2.27938455,1.96850400,3.22834600
2.34338455,-5.11811000,3.30708700
2.40738455,-5.11811000,3.22834600
2.47138455,-4.72440900,3.22834600
2.53538454,-0.78740150,3.22834600
2.59938454,-8.66141700,3.22834600
2.66338454,-0.39370070,3.30708700
2.72738454,-5.90551100,3.22834600
2.79138454,-2.36220500,3.22834600
2.85538454,-3.93700800,3.22834600
2.91938453,-1.57480300,3.22834600
2.98338453,-4.72440900,3.22834600
3.04738453,-4.72440900,3.22834600
3.11138453,-1.18110200,3.30708700
3.17538453,-3.93700800,3.22834600
3.23938452,-2.36220500,3.22834600
3.30338452,-2.36220500,3.30708700
3.36738452,0.39370070,3.22834600
3.43138452,-3.54330700,3.22834600
3.49538452,-1.96850400,3.22834600
3.55938452,-3.14960600,3.22834600
3.62338451,-2.36220500,3.22834600
3.68738451,-7.08661400,3.30708700
3.75138451,-0.78740150,3.30708700
3.81538451,-4.72440900,3.22834600
3.87938451,-3.93700800,3.30708700
3.94338450,-3.14960600,3.30708700
4.00738450,-1.18110200,3.30708700
4.07138450,-7.48031400,3.22834600
4.13538450,0.00000000,3.30708700
4.19938450,-0.39370070,3.22834600
4.26338450,-1.18110200,3.30708700
4.32738449,-2.36220500,3.30708700
4.39138449,0.39370070,3.30708700
4.45538449,-4.33070900,3.22834600
4.51938449,-4.33070900,3.30708700
4.58338449,1.18110200,3.30708700
4.64738448,-5.51181100,3.30708700
4.71138448,0.00000000,3.30708700
4.77538448,-0.39370070,3.30708700
4.83938448,0.39370070,3.30708700
4.90338448,-7.48031400,3.30708700
4.96738448,-2.36220500,3.30708700
5.03138447,-7.08661400,3.30708700
5.09538447,-5.90551100,3.22834600
5.15938447,-5.11811000,3.30708700
5.22338447,-3.14960600,3.22834600
5.28738447,-8.26771600,3.30708700
5.35138446,-5.51181100,3.22834600
5.41538446,-5.11811000,3.30708700
5.47938446,-5.51181100,3.30708700
5.54338446,-6.29921200,3.22834600
5.60738446,-2.75590500,3.22834600
5.67138446,-6.29921200,3.22834600
5.73538445,-6.29921200,3.22834600
5.79938445,-2.36220500,3.30708700
5.86338445,-7.48031400,3.22834600
5.92738445,-3.54330700,3.22834600
5.99138445,-2.36220500,3.30708700
6.05538444,0.00000000,3.30708700
6.11938444,-8.66141700,3.22834600
6.18338444,0.78740150,3.30708700
6.24738444,-4.72440900,3.22834600
6.31138444,-5.51181100,3.30708700
6.37538444,-5.90551100,3.30708700
6.43938443,-1.96850400,3.30708700
6.50338443,-6.69291300,3.30708700
6.56738443,-3.54330700,3.30708700
6.63138443,-4.72440900,3.22834600
6.69538443,-6.69291300,3.30708700
6.75938442,-4.33070900,3.30708700
6.82338442,-1.96850400,3.22834600
6.88738442,-1.96850400,3.22834600
6.95138442,-3.14960600,3.22834600
7.01538442,-0.78740150,3.30708700
7.07938442,-5.51181100,3.30708700
7.14338441,-1.96850400,3.30708700
7.20738441,-5.11811000,3.30708700
7.27138441,1.18110200,3.30708700
7.33538441,-3.14960600,3.30708700
7.39938441,1.57480300,3.30708700
7.46338441,-4.33070900,3.30708700
7.52738440,-1.57480300,3.30708700
7.59138440,-6.69291300,3.30708700
7.65538440,-3.54330700,3.30708700
7.71938440,-6.29921200,3.30708700
7.78338440,-5.51181100,3.30708700
7.84738439,-4.33070900,3.30708700
7.91138439,-4.33070900,3.30708700
7.97538439,-8.66141700,3.30708700
8.03938439,-8.26771600,3.30708700
8.10338439,-2.36220500,3.30708700
8.16738439,-9.05511800,3.22834600
8.23138438,-2.75590500,3.22834600
8.29538438,-5.51181100,3.30708700
8.35938438,-6.29921200,3.30708700
8.42338438,-7.48031400,3.30708700
8.48738438,-0.39370070,3.30708700
8.55138437,-7.48031400,3.22834600
8.61538437,-5.11811000,3.30708700
8.67938437,-2.36220500,3.30708700
8.74338437,-2.36220500,3.30708700
8.80738437,-7.08661400,3.30708700
8.87138437,0.00000000,3.30708700
8.93538436,-5.11811000,3.22834600
8.99938436,-6.69291300,3.30708700
9.06338436,-4.33070900,3.30708700
9.12738436,-4.72440900,3.30708700
9.19138436,-7.87401500,3.22834600
9.25538435,-4.33070900,3.30708700
9.31938435,1.57480300,3.30708700
9.38338435,-4.33070900,3.30708700
9.44738435,1.18110200,3.30708700
9.51138435,-4.33070900,3.30708700
9.57538435,1.18110200,3.30708700
9.63938434,-3.93700800,3.30708700
9.70338434,3.93700800,3.30708700
9.76738434,-1.57480300,3.30708700
9.83138434,-0.39370070,3.30708700
9.89538434,1.18110200,3.30708700
9.95938433,3.54330700,3.30708700
10.02338433,-3.54330700,3.30708700
10.08738433,1.96850400,3.30708700
10.15138433,0.39370070,3.30708700
10.21538433,-2.36220500,3.30708700
10.27938433,-1.18110200,3.30708700
10.34338432,0.00000000,3.30708700
10.40738432,-3.54330700,3.30708700
10.47138432,-4.33070900,3.30708700
10.53538432,-0.78740150,3.30708700
10.59938432,-9.05511800,3.30708700
10.66338431,-4.72440900,3.30708700
10.72738431,-6.29921200,3.30708700
10.79138431,-2.36220500,3.30708700
10.85538431,-6.69291300,3.30708700
10.91938431,0.78740150,3.30708700
10.98338431,-5.11811000,3.22834600
11.04738430,-0.78740150,3.30708700
11.11138430,-6.29921200,3.30708700
11.17538430,-2.36220500,3.22834600
11.23938430,-4.33070900,3.30708700
11.30338430,-2.75590500,3.22834600
11.36738429,-0.78740150,3.30708700
11.43138429,-1.57480300,3.30708700
11.49538429,-3.54330700,3.30708700
11.55938429,-2.75590500,3.30708700
11.62338429,-1.96850400,3.22834600
11.68738429,-7.87401500,3.30708700
11.75138428,-3.14960600,3.30708700
11.81538428,-3.93700800,3.30708700
11.87938428,-3.54330700,3.30708700
11.94338428,-5.90551100,3.30708700
12.00738428,1.57480300,3.30708700
12.07138427,-7.08661400,3.30708700
12.13538427,-1.96850400,3.30708700
12.19938427,-1.57480300,3.30708700
12.26338427,-1.57480300,3.30708700
12.32738427,-5.90551100,3.30708700
12.39138427,2.36220500,3.30708700
12.45538426,-2.36220500,3.30708700
12.51938426,-4.33070900,3.30708700
12.58338426,1.18110200,3.30708700
12.64738426,-1.96850400,3.30708700
12.71138426,-3.54330700,3.30708700
12.77538425,-1.96850400,3.30708700
12.83938425,0.78740150,3.30708700
12.90338425,-7.87401500,3.30708700
12.96738425,-0.78740150,3.30708700
13.03138425,-6.29921200,3.30708700
13.09538425,-7.08661400,3.30708700
13.15938424,-9.84251900,3.22834600
13.22338424,-5.51181100,3.30708700
13.28738424,-11.81102000,3.22834600
13.35138424,-8.26771600,3.30708700
13.41538424,-8.26771600,3.30708700
13.47938423,-7.48031400,3.22834600
13.54338423,-11.41732000,3.22834600
13.60738423,-4.72440900,3.30708700
13.67138423,-8.66141700,3.22834600
13.73538423,-12.59842000,3.22834600
13.79938423,-7.87401500,3.30708700
13.86338422,-11.02362000,3.30708700
13.92738422,-8.66141700,3.30708700
13.99138422,-8.66141700,3.30708700
14.05538422,-3.54330700,3.22834600
14.11938422,-9.84251900,3.30708700
14.18338421,-4.33070900,3.30708700
14.24738421,-6.69291300,3.30708700
14.31138421,-5.11811000,3.30708700
14.37538421,-9.44881800,3.30708700
14.43938421,-2.36220500,3.30708700
14.50338421,-8.66141700,3.30708700
14.56738420,-6.69291300,3.30708700
14.63138420,-6.69291300,3.30708700
14.69538420,-5.90551100,3.30708700
14.75938420,-9.44881800,3.30708700
14.82338420,-5.11811000,3.30708700
14.88738420,-5.11811000,3.30708700
14.95138419,-4.72440900,3.30708700
15.01538419,-2.36220500,3.30708700
15.07938419,-4.33070900,3.30708700
15.14338419,-4.33070900,3.30708700
15.20738419,-5.90551100,3.30708700
15.27138418,-3.14960600,3.30708700
15.33538418,-6.29921200,3.30708700
15.39938418,-3.54330700,3.30708700
15.46338418,-6.29921200,3.30708700
15.52738418,-0.78740150,3.30708700
15.59138418,-7.87401500,3.30708700
15.65538417,-4.33070900,3.30708700
15.71938417,-9.44881800,3.30708700
15.78338417,-8.66141700,3.30708700
15.84738417,-10.62992000,3.30708700
15.91138417,-7.08661400,3.30708700
15.97538416,-10.62992000,3.30708700
16.03938416,-11.02362000,3.30708700
16.10338416,-5.90551100,3.22834600
16.16738416,-10.23622000,3.30708700
16.23138416,-11.81102000,3.22834600
16.29538416,-8.66141700,3.22834600
16.35938415,-8.66141700,3.22834600
16.42338415,-12.20472000,3.30708700
16.48738415,-2.75590500,3.22834600
16.55138415,-8.66141700,3.30708700
16.61538415,-7.08661400,3.22834600
16.67938414,-5.51181100,3.30708700
16.74338414,-2.75590500,3.30708700
16.80738414,-11.41732000,3.30708700
16.87138414,-3.54330700,3.30708700
16.93538414,-5.90551100,3.30708700
16.99938414,-6.69291300,3.30708700
17.06338413,-7.08661400,3.30708700
17.12738413,-4.72440900,3.30708700
17.19138413,-10.62992000,3.22834600
17.25538413,-7.87401500,3.30708700
17.31938413,-4.33070900,3.30708700
17.38338412,-8.66141700,3.30708700
17.44738412,-6.29921200,3.30708700
17.51138412,-3.93700800,3.30708700
17.57538412,-2.36220500,3.30708700
17.63938412,-8.26771600,3.30708700
17.70338412,-1.18110200,3.30708700
17.76738411,-7.48031400,3.22834600
17.83138411,-5.90551100,3.30708700
17.89538411,-6.29921200,3.30708700
17.95938411,-3.14960600,3.30708700
18.02338411,-8.26771600,3.30708700
18.08738410,-3.54330700,3.30708700
18.15138410,-3.93700800,3.30708700
18.21538410,-5.11811000,3.30708700
18.27938410,-9.05511800,3.30708700
18.34338410,-5.11811000,3.30708700
18.40738410,-10.23622000,3.22834600
18.47138409,-9.44881800,3.30708700
18.53538409,-6.69291300,3.30708700
18.59938409,-10.23622000,3.30708700
18.66338409,-10.23622000,3.30708700
18.72738409,-9.44881800,3.30708700
18.79138408,-7.87401500,3.30708700
18.85538408,-12.59842000,3.22834600
18.91938408,-4.72440900,3.30708700
18.98338408,-8.26771600,3.22834600
19.04738408,-6.69291300,3.30708700
19.11138408,-8.66141700,3.30708700
19.17538407,-4.33070900,3.30708700
19.23938407,-9.44881800,3.30708700
19.30338407,-6.29921200,3.30708700
19.36738407,-7.08661400,3.30708700
19.43138407,-7.48031400,3.30708700
19.49538406,-8.66141700,3.30708700
19.55938406,-4.33070900,3.30708700
19.62338406,-3.93700800,3.30708700
19.68738406,-7.08661400,3.30708700
19.75138406,-6.69291300,3.30708700
19.81538406,-6.29921200,3.30708700
19.87938405,-7.08661400,3.22834600
19.94338405,-9.84251900,3.30708700
20.00738405,-3.54330700,3.22834600
20.07138405,-8.26771600,3.30708700
20.13538405,-5.90551100,3.30708700
20.19938404,-5.11811000,3.30708700
20.26338404,-2.75590500,3.30708700
20.32738404,-11.81102000,3.30708700
20.39138404,-1.57480300,3.30708700
20.45538404,-8.66141700,3.30708700
20.51938404,-7.87401500,3.30708700
20.58338403,-5.11811000,3.30708700
20.64738403,-3.14960600,3.30708700
20.71138403,-8.66141700,3.30708700
20.77538403,-5.51181100,3.30708700
20.83938403,-3.14960600,3.30708700
20.90338402,-9.44881800,3.30708700
20.96738402,-5.90551100,3.30708700
21.03138402,-6.29921200,3.30708700
21.09538402,-9.44881800,3.30708700
21.15938402,-10.62992000,3.30708700
21.22338402,-3.54330700,3.30708700
21.28738401,-11.02362000,3.30708700
21.35138401,-8.26771600,3.30708700
21.41538401,-8.66141700,3.30708700
21.47938401,-6.69291300,3.30708700
21.54338401,-12.59842000,3.30708700
21.60738401,-3.14960600,3.30708700
21.67138400,-9.84251900,3.30708700
