Time,Channel A,Channel B
(us),(mV),(V)

-0.02653658,-2.36220500,0.00000000
0.03746341,-6.29921200,3.22834600
0.10146341,-1.57480300,3.22834600
0.16546341,-10.23622000,3.22834600
0.22946341,-5.11811000,3.30708700
0.29346341,-5.90551100,3.22834600
0.35746340,-6.29921200,3.22834600
0.42146340,-7.08661400,3.22834600
0.48546340,-3.14960600,3.22834600
0.54946340,-6.69291300,3.30708700
0.61346340,-10.23622000,3.22834600
0.67746340,-2.75590500,3.22834600
0.74146339,-9.84251900,3.22834600
0.80546339,-7.08661400,3.22834600
0.86946339,-5.51181100,3.22834600
0.93346339,-3.54330700,3.22834600
0.99746339,-8.26771600,3.22834600
1.06146339,0.00000000,3.22834600
1.12546338,-5.11811000,3.22834600
1.18946338,-6.29921200,3.22834600
1.25346338,-4.33070900,3.22834600
1.31746338,-1.96850400,3.22834600
1.38146338,-8.26771600,3.22834600
1.44546337,-1.57480300,3.22834600
1.50946337,-1.18110200,3.22834600
1.57346337,-4.33070900,3.22834600
1.63746337,-3.14960600,3.30708700
1.70146337,-1.18110200,3.30708700
1.76546337,-4.33070900,3.30708700
1.82946336,-6.29921200,3.22834600
1.89346336,1.18110200,3.22834600
1.95746336,-4.33070900,3.22834600
2.02146336,-1.18110200,3.22834600
2.08546336,-2.36220500,3.30708700
2.14946335,1.57480300,3.22834600
2.21346335,-6.29921200,3.22834600
2.27746335,0.00000000,3.22834600
2.34146335,-2.36220500,3.22834600
2.40546335,-0.78740150,3.22834600
2.46946335,-1.96850400,3.22834600
2.53346334,3.14960600,3.30708700
2.59746334,-2.36220500,3.22834600
2.66146334,-1.96850400,3.22834600
2.72546334,1.18110200,3.22834600
2.78946334,-2.75590500,3.22834600
2.85346333,-3.14960600,3.22834600
2.91746333,-0.39370070,3.22834600
2.98146333,1.18110200,3.30708700
3.04546333,-3.54330700,3.22834600
3.10946333,1.57480300,3.22834600
3.17346333,-3.54330700,3.22834600
3.23746332,-4.33070900,3.30708700
3.30146332,-6.29921200,3.30708700
3.36546332,-0.78740150,3.22834600
3.42946332,-8.26771600,3.30708700
3.49346332,-1.57480300,3.30708700
3.55746331,-2.36220500,3.22834600
3.62146331,-3.14960600,3.22834600
3.68546331,-6.29921200,3.22834600
3.74946331,0.00000000,3.22834600
3.81346331,-3.93700800,3.22834600
3.87746331,-5.51181100,3.30708700
3.94146330,-1.18110200,3.22834600
4.00546330,-2.36220500,3.30708700
4.06946330,-3.54330700,3.22834600
4.13346330,-3.14960600,3.22834600
4.19746330,2.75590500,3.22834600
4.26146329,-7.08661400,3.30708700
4.32546329,-1.18110200,3.22834600
4.38946329,-1.18110200,3.22834600
4.45346329,-1.96850400,3.22834600
4.51746329,-5.90551100,3.22834600
4.58146329,1.96850400,3.30708700
4.64546328,-5.90551100,3.30708700
4.70946328,-4.33070900,3.30708700
4.77346328,-1.96850400,3.30708700
4.83746328,-2.75590500,3.30708700
4.90146328,-8.26771600,3.30708700
4.96546327,0.39370070,3.22834600
5.02946327,-1.18110200,3.30708700
5.09346327,-4.33070900,3.30708700
5.15746327,1.18110200,3.30708700
5.22146327,-1.18110200,3.30708700
5.28546327,-2.75590500,3.30708700
5.34946326,-3.93700800,3.22834600
5.41346326,0.39370070,3.30708700
5.47746326,-7.87401500,3.22834600
5.54146326,0.78740150,3.30708700
5.60546326,-1.96850400,3.30708700
5.66946325,-0.39370070,3.22834600
5.73346325,-5.11811000,3.30708700
5.79746325,-0.39370070,3.30708700
5.86146325,-6.69291300,3.30708700
5.92546325,-5.11811000,3.30708700
5.98946325,-4.72440900,3.30708700
6.05346324,-3.93700800,3.30708700
6.11746324,-4.33070900,3.30708700
6.18146324,-3.54330700,3.30708700
6.24546324,-3.93700800,3.22834600
6.30946324,-7.08661400,3.22834600
6.37346323,-3.54330700,3.22834600
6.43746323,-3.93700800,3.22834600
6.50146323,-2.36220500,3.30708700
6.56546323,-6.69291300,3.30708700
6.62946323,1.18110200,3.22834600
6.69346323,-5.51181100,3.22834600
6.75746322,-2.75590500,3.22834600
6.82146322,-3.93700800,3.30708700
6.88546322,0.00000000,3.22834600
6.94946322,-6.69291300,3.30708700
7.01346322,0.78740150,3.30708700
7.07746321,-2.36220500,3.30708700
7.14146321,-3.54330700,3.22834600
7.20546321,-3.14960600,3.30708700
7.26946321,-1.57480300,3.30708700
7.33346321,-5.51181100,3.30708700
7.39746321,-6.29921200,3.30708700
7.46146320,-0.39370070,3.30708700
7.52546320,-7.08661400,3.30708700
7.58946320,-1.96850400,3.30708700
7.65346320,-2.36220500,3.30708700
7.71746320,-0.78740150,3.30708700
7.78146319,-4.72440900,3.30708700
7.84546319,1.96850400,3.30708700
7.90946319,-4.33070900,3.30708700
7.97346319,-3.54330700,3.30708700
8.03746319,-3.54330700,3.30708700
8.10146319,0.00000000,3.22834600
8.16546318,-5.90551100,3.30708700
8.22946318,0.00000000,3.30708700
8.29346318,-1.57480300,3.22834600
8.35746318,-3.54330700,3.30708700
8.42146318,-4.33070900,3.22834600
8.48546318,-1.96850400,3.30708700
8.54946317,-6.69291300,3.30708700
8.61346317,-6.29921200,3.30708700
8.67746317,0.00000000,3.30708700
8.74146317,-6.69291300,3.30708700
8.80546317,-5.11811000,3.22834600
8.86946316,-6.29921200,3.30708700
8.93346316,-3.93700800,3.30708700
8.99746316,-10.62992000,3.30708700
9.06146316,0.00000000,3.22834600
9.12546316,-5.51181100,3.22834600
9.18946316,-3.93700800,3.30708700
9.25346315,-2.36220500,3.30708700
9.31746315,0.00000000,3.30708700
9.38146315,-6.69291300,3.22834600
9.44546315,-1.57480300,3.30708700
9.50946315,-0.78740150,3.30708700
9.57346314,-3.14960600,3.30708700
9.63746314,-0.39370070,3.30708700
9.70146314,1.18110200,3.30708700
9.76546314,0.00000000,3.22834600
9.82946314,-2.36220500,3.30708700
9.89346314,1.96850400,3.30708700
9.95746313,-3.14960600,3.30708700
10.02146313,-1.96850400,3.30708700
10.08546313,-4.33070900,3.30708700
10.14946313,1.96850400,3.30708700
10.21346313,-5.11811000,3.30708700
10.27746312,0.78740150,3.30708700
10.34146312,-1.96850400,3.30708700
10.40546312,0.39370070,3.30708700
10.46946312,-5.51181100,3.30708700
10.53346312,1.57480300,3.30708700
10.59746312,-3.14960600,3.30708700
10.66146311,-3.93700800,3.30708700
10.72546311,1.18110200,3.30708700
10.78946311,-0.78740150,3.30708700
10.85346311,-3.54330700,3.30708700
10.91746311,-1.57480300,3.30708700
10.98146310,1.57480300,3.30708700
11.04546310,-7.48031400,3.30708700
11.10946310,-0.39370070,3.30708700
11.17346310,-1.57480300,3.30708700
11.23746310,-3.93700800,3.30708700
11.30146310,-4.72440900,3.30708700
11.36546309,0.78740150,3.30708700
11.42946309,-8.66141700,3.30708700
11.49346309,-4.33070900,3.30708700
11.55746309,-3.54330700,3.30708700
11.62146309,-5.11811000,3.30708700
11.68546308,-7.87401500,3.30708700
11.74946308,0.78740150,3.30708700
11.81346308,-3.54330700,3.22834600
11.87746308,-5.51181100,3.22834600
11.94146308,-2.75590500,3.30708700
12.00546308,-5.11811000,3.30708700
12.06946307,-6.29921200,3.30708700
12.13346307,-4.33070900,3.30708700
12.19746307,0.00000000,3.22834600
12.26146307,-7.08661400,3.30708700
12.32546307,0.00000000,3.30708700
12.38946306,-3.14960600,3.30708700
12.45346306,-1.96850400,3.30708700
12.51746306,-7.87401500,3.30708700
12.58146306,0.00000000,3.30708700
12.64546306,-5.51181100,3.30708700
12.70946306,-3.93700800,3.30708700
12.77346305,-3.93700800,3.30708700
12.83746305,-1.96850400,3.30708700
12.90146305,-7.08661400,3.30708700
12.96546305,-3.54330700,3.30708700
13.02946305,-4.72440900,3.30708700
13.09346304,-7.48031400,3.30708700
13.15746304,-4.72440900,3.30708700
13.22146304,-3.93700800,3.30708700
13.28546304,-4.72440900,3.30708700
13.34946304,-7.48031400,3.30708700
13.41346304,-2.36220500,3.22834600
13.47746303,-8.26771600,3.30708700
13.54146303,-5.51181100,3.30708700
13.60546303,-8.26771600,3.30708700
13.66946303,-5.11811000,3.30708700
13.73346303,-10.23622000,3.30708700
13.79746302,-2.75590500,3.30708700
13.86146302,-8.26771600,3.30708700
13.92546302,-8.26771600,3.30708700
13.98946302,-10.23622000,3.30708700
14.05346302,-8.26771600,3.30708700
14.11746302,-11.02362000,3.30708700
14.18146301,-10.23622000,3.30708700
14.24546301,-6.29921200,3.30708700
14.30946301,-9.84251900,3.30708700
14.37346301,-6.69291300,3.30708700
14.43746301,-7.48031400,3.30708700
14.50146300,-6.29921200,3.30708700
14.56546300,-12.20472000,3.22834600
14.62946300,-5.11811000,3.22834600
14.69346300,-10.23622000,3.30708700
14.75746300,-8.66141700,3.30708700
14.82146300,-7.08661400,3.30708700
14.88546299,-2.36220500,3.30708700
14.94946299,-10.23622000,3.30708700
15.01346299,-2.75590500,3.30708700
15.07746299,-6.29921200,3.30708700
15.14146299,-7.48031400,3.30708700
15.20546299,-7.87401500,3.22834600
15.26946298,-2.75590500,3.30708700
15.33346298,-9.05511800,3.30708700
15.39746298,-7.48031400,3.30708700
15.46146298,-2.75590500,3.30708700
15.52546298,-10.62992000,3.30708700
15.58946297,-7.48031400,3.30708700
15.65346297,-7.87401500,3.30708700
15.71746297,-7.08661400,3.30708700
15.78146297,-10.23622000,3.30708700
15.84546297,-1.18110200,3.30708700
15.90946297,-9.05511800,3.30708700
15.97346296,-5.51181100,3.30708700
16.03746296,-7.48031400,3.30708700
16.10146296,-5.90551100,3.30708700
16.16546296,-10.23622000,3.30708700
16.22946296,-6.69291300,3.30708700
16.29346295,-7.48031400,3.30708700
16.35746295,-6.69291300,3.30708700
16.42146295,-7.08661400,3.30708700
16.48546295,-6.29921200,3.30708700
16.54946295,-7.08661400,3.30708700
16.61346295,-9.44881800,3.30708700
16.67746294,-5.90551100,3.30708700
16.74146294,-8.66141700,3.30708700
16.80546294,-7.48031400,3.30708700
16.86946294,-8.26771600,3.30708700
16.93346294,-3.14960600,3.30708700
16.99746293,-12.59842000,3.30708700
17.06146293,-6.69291300,3.30708700
17.12546293,-8.66141700,3.30708700
17.18946293,-7.87401500,3.30708700
17.25346293,-10.23622000,3.30708700
17.31746293,-4.33070900,3.30708700
17.38146292,-9.84251900,3.30708700
17.44546292,-7.08661400,3.30708700
17.50946292,-2.36220500,3.30708700
17.57346292,-9.05511800,3.30708700
17.63746292,-9.44881800,3.30708700
17.70146291,-5.51181100,3.30708700
17.76546291,-4.33070900,3.30708700
17.82946291,-10.62992000,3.30708700
17.89346291,-3.54330700,3.30708700
17.95746291,-6.69291300,3.30708700
18.02146291,-7.48031400,3.30708700
18.08546290,-8.66141700,3.30708700
18.14946290,-3.93700800,3.22834600
18.21346290,-12.59842000,3.30708700
18.27746290,-7.48031400,3.30708700
18.34146290,-9.05511800,3.30708700
18.40546289,-5.51181100,3.30708700
18.46946289,-9.05511800,3.30708700
18.53346289,0.39370070,3.30708700
18.59746289,-5.90551100,3.30708700
18.66146289,-8.66141700,3.30708700
18.72546289,-7.08661400,3.30708700
18.78946288,-7.87401500,3.30708700
18.85346288,-8.26771600,3.30708700
18.91746288,-5.11811000,3.30708700
18.98146288,-1.96850400,3.22834600
19.04546288,-10.23622000,3.30708700
19.10946287,-1.96850400,3.30708700
19.17346287,-6.29921200,3.30708700
19.23746287,-6.69291300,3.30708700
19.30146287,-9.84251900,3.30708700
19.36546287,-2.75590500,3.30708700
19.42946287,-10.62992000,3.30708700
19.49346286,-6.29921200,3.30708700
19.55746286,-6.69291300,3.30708700
19.62146286,-7.08661400,3.30708700
19.68546286,-10.23622000,3.30708700
19.74946286,-8.26771600,3.30708700
19.81346285,-7.48031400,3.30708700
19.87746285,-8.26771600,3.30708700
19.94146285,-4.72440900,3.30708700
20.00546285,-0.78740150,3.22834600
20.06946285,-7.48031400,3.22834600
20.13346285,-7.08661400,3.30708700
20.19746284,-3.93700800,3.22834600
20.26146284,-12.20472000,3.30708700
20.32546284,-4.33070900,3.30708700
20.38946284,-8.26771600,3.30708700
20.45346284,-4.33070900,3.30708700
20.51746283,-10.23622000,3.30708700
20.58146283,-1.18110200,3.30708700
20.64546283,-7.87401500,3.30708700
20.70946283,-7.48031400,3.30708700
20.77346283,-9.84251900,3.30708700
20.83746283,-5.90551100,3.30708700
20.90146282,-8.66141700,3.30708700
20.96546282,-9.84251900,3.30708700
21.02946282,-3.14960600,3.30708700
21.09346282,-4.33070900,3.30708700
21.15746282,-6.29921200,3.30708700
21.22146281,-5.90551100,3.30708700
21.28546281,-5.90551100,3.30708700
21.34946281,-10.23622000,3.30708700
21.41346281,-1.18110200,3.30708700
21.47746281,-5.90551100,3.30708700
21.54146281,-4.72440900,3.30708700
21.60546280,-4.72440900,3.30708700
21.66946280,-3.54330700,3.30708700
21.73346280,-11.41732000,3.30708700
