Time,Channel A,Channel B
(us),(mV),(V)

-0.03509677,-5.90551100,0.00000000
0.02890323,-6.29921200,2.44094500
0.09290322,-3.54330700,3.22834600
0.15690322,-8.66141700,3.30708700
0.22090322,-5.11811000,3.22834600
0.28490322,-5.90551100,3.22834600
0.34890322,-5.51181100,3.22834600
0.41290321,-11.81102000,3.22834600
0.47690321,-5.11811000,3.30708700
0.54090321,-8.26771600,3.30708700
0.60490321,-5.90551100,3.22834600
0.66890321,-5.90551100,3.30708700
0.73290321,-1.18110200,3.22834600
0.79690320,-6.69291300,3.22834600
0.86090320,-1.57480300,3.22834600
0.92490320,-3.93700800,3.22834600
0.98890320,-6.29921200,3.22834600
1.05290320,-5.11811000,3.22834600
1.11690319,-3.14960600,3.22834600
1.18090319,-2.75590500,3.22834600
1.24490319,-5.90551100,3.22834600
1.30890319,0.39370070,3.22834600
1.37290319,-4.72440900,3.22834600
1.43690319,-1.96850400,3.22834600
1.50090318,-5.90551100,3.30708700
1.56490318,-2.36220500,3.30708700
1.62890318,-9.05511800,3.22834600
1.69290318,-2.36220500,3.30708700
1.75690318,-4.33070900,3.22834600
1.82090317,-3.93700800,3.22834600
1.88490317,-5.90551100,3.22834600
1.94890317,-1.57480300,3.22834600
2.01290317,-5.90551100,3.22834600
2.07690317,-5.11811000,3.30708700
2.14090317,0.00000000,3.22834600
2.20490316,-3.54330700,3.22834600
2.26890316,-3.14960600,3.22834600
2.33290316,-1.18110200,3.22834600
2.39690316,-1.18110200,3.22834600
2.46090316,-7.08661400,3.22834600
2.52490315,1.18110200,3.22834600
2.58890315,-2.75590500,3.22834600
2.65290315,-2.75590500,3.22834600
2.71690315,-3.14960600,3.22834600
2.78090315,3.93700800,3.22834600
2.84490315,-7.08661400,3.22834600
2.90890314,0.00000000,3.22834600
2.97290314,-1.57480300,3.30708700
3.03690314,-4.72440900,3.30708700
3.10090314,-3.93700800,3.30708700
3.16490314,-0.78740150,3.30708700
3.22890313,-4.72440900,3.22834600
3.29290313,-4.33070900,3.30708700
3.35690313,1.57480300,3.22834600
3.42090313,-3.93700800,3.22834600
3.48490313,-2.36220500,3.30708700
3.54890313,-1.57480300,3.30708700
3.61290312,-1.57480300,3.30708700
3.67690312,-5.90551100,3.30708700
3.74090312,0.39370070,3.30708700
3.80490312,-3.93700800,3.22834600
3.86890312,-1.57480300,3.30708700
3.93290311,-3.14960600,3.22834600
3.99690311,0.78740150,3.30708700
4.06090311,-6.69291300,3.30708700
4.12490311,-2.36220500,3.30708700
4.18890311,-3.93700800,3.30708700
4.25290311,-2.36220500,3.30708700
4.31690310,-5.11811000,3.30708700
4.38090310,-1.96850400,3.30708700
4.44490310,-3.14960600,3.22834600
4.50890310,-7.87401500,3.30708700
4.57290310,-3.93700800,3.30708700
4.63690309,-5.90551100,3.30708700
4.70090309,-5.11811000,3.22834600
4.76490309,-5.90551100,3.30708700
4.82890309,1.18110200,3.30708700
4.89290309,-7.08661400,3.22834600
4.95690309,-3.54330700,3.22834600
5.02090308,-3.93700800,3.22834600
5.08490308,-3.14960600,3.22834600
5.14890308,-8.66141700,3.22834600
5.21290308,0.00000000,3.22834600
5.27690308,-4.33070900,3.22834600
5.34090307,-3.54330700,3.22834600
5.40490307,-0.78740150,3.22834600
5.46890307,-1.57480300,3.30708700
5.53290307,-6.29921200,3.30708700
5.59690307,-3.14960600,3.30708700
5.66090307,-1.57480300,3.22834600
5.72490306,-6.69291300,3.30708700
5.78890306,-3.93700800,3.30708700
5.85290306,-3.14960600,3.30708700
5.91690306,-2.36220500,3.30708700
5.98090306,-6.69291300,3.30708700
6.04490305,1.18110200,3.30708700
6.10890305,-7.08661400,3.30708700
6.17290305,-1.96850400,3.30708700
6.23690305,-3.14960600,3.30708700
6.30090305,0.39370070,3.30708700
6.36490305,-6.69291300,3.22834600
6.42890304,0.39370070,3.30708700
6.49290304,-1.18110200,3.30708700
6.55690304,-4.33070900,3.30708700
6.62090304,-1.96850400,3.30708700
6.68490304,-1.96850400,3.30708700
6.74890303,-4.33070900,3.30708700
6.81290303,-3.14960600,3.30708700
6.87690303,1.57480300,3.30708700
6.94090303,-6.69291300,3.30708700
7.00490303,-2.36220500,3.30708700
7.06890303,-3.54330700,3.30708700
7.13290302,-5.11811000,3.30708700
7.19690302,-9.05511800,3.30708700
7.26090302,-0.39370070,3.30708700
7.32490302,-7.48031400,3.30708700
7.38890302,-2.75590500,3.30708700
7.45290302,-4.33070900,3.30708700
7.51690301,-1.57480300,3.30708700
7.58090301,-7.08661400,3.22834600
7.64490301,-1.18110200,3.30708700
7.70890301,-4.33070900,3.30708700
7.77290301,-5.51181100,3.30708700
7.83690300,-2.36220500,3.22834600
7.90090300,-2.36220500,3.22834600
7.96490300,-0.78740150,3.22834600
8.02890300,-4.33070900,3.30708700
8.09290300,0.00000000,3.30708700
8.15690300,-5.90551100,3.30708700
8.22090299,-1.57480300,3.30708700
8.28490299,-5.11811000,3.30708700
8.34890299,0.00000000,3.30708700
8.41290299,-6.69291300,3.30708700
8.47690299,-0.39370070,3.30708700
8.54090298,-3.93700800,3.22834600
8.60490298,-3.93700800,3.30708700
8.66890298,-5.11811000,3.30708700
8.73290298,-0.78740150,3.30708700
8.79690298,-4.72440900,3.30708700
8.86090298,-3.14960600,3.30708700
8.92490297,0.39370070,3.30708700
8.98890297,-2.36220500,3.30708700
9.05290297,-3.14960600,3.30708700
9.11690297,-1.18110200,3.30708700
9.18090297,-3.14960600,3.30708700
9.24490296,-7.08661400,3.30708700
9.30890296,2.36220500,3.30708700
9.37290296,-3.54330700,3.30708700
9.43690296,-0.39370070,3.30708700
9.50090296,-1.18110200,3.30708700
9.56490296,3.54330700,3.30708700
9.62890295,-6.69291300,3.30708700
9.69290295,1.18110200,3.30708700
9.75690295,-3.54330700,3.30708700
9.82090295,-4.33070900,3.30708700
9.88490295,-3.14960600,3.30708700
9.94890294,1.18110200,3.30708700
10.01290294,-3.14960600,3.22834600
10.07690294,-2.75590500,3.22834600
10.14090294,1.57480300,3.30708700
10.20490294,-3.14960600,3.30708700
10.26890294,-4.33070900,3.30708700
10.33290293,-1.57480300,3.22834600
10.39690293,-0.78740150,3.22834600
10.46090293,-5.51181100,3.30708700
10.52490293,2.36220500,3.30708700
10.58890293,-2.36220500,3.30708700
10.65290292,-1.96850400,3.30708700
10.71690292,-3.14960600,3.22834600
10.78090292,1.96850400,3.30708700
10.84490292,-7.08661400,3.30708700
10.90890292,-0.39370070,3.30708700
10.97290292,0.00000000,3.30708700
11.03690291,-1.57480300,3.30708700
11.10090291,-3.14960600,3.30708700
11.16490291,1.18110200,3.30708700
11.22890291,-3.54330700,3.30708700
11.29290291,-3.93700800,3.30708700
11.35690290,0.78740150,3.30708700
11.42090290,-4.72440900,3.30708700
11.48490290,-0.78740150,3.30708700
11.54890290,-0.39370070,3.30708700
11.61290290,2.75590500,3.30708700
11.67690290,-5.51181100,3.30708700
11.74090289,0.78740150,3.30708700
11.80490289,-3.93700800,3.30708700
11.86890289,-1.18110200,3.30708700
11.93290289,-3.14960600,3.30708700
11.99690289,1.18110200,3.30708700
12.06090288,-2.36220500,3.30708700
12.12490288,-0.78740150,3.30708700
12.18890288,-0.78740150,3.30708700
12.25290288,-1.57480300,3.30708700
12.31690288,-5.51181100,3.30708700
12.38090288,-3.54330700,3.30708700
12.44490287,-2.36220500,3.30708700
12.50890287,-6.29921200,3.30708700
12.57290287,-2.36220500,3.30708700
12.63690287,-2.75590500,3.30708700
12.70090287,-3.14960600,3.30708700
12.76490286,-8.66141700,3.30708700
12.82890286,0.39370070,3.30708700
12.89290286,-8.66141700,3.30708700
12.95690286,-5.11811000,3.30708700
13.02090286,-3.14960600,3.30708700
13.08490286,-2.36220500,3.30708700
13.14890285,-9.84251900,3.30708700
13.21290285,-1.18110200,3.30708700
13.27690285,-5.51181100,3.22834600
13.34090285,-8.26771600,3.30708700
13.40490285,-3.54330700,3.30708700
13.46890284,-5.90551100,3.22834600
13.53290284,-6.69291300,3.30708700
13.59690284,-4.72440900,3.30708700
13.66090284,-2.75590500,3.22834600
13.72490284,-9.44881800,3.30708700
13.78890284,-3.93700800,3.30708700
13.85290283,-7.87401500,3.30708700
13.91690283,-7.87401500,3.30708700
13.98090283,-9.84251900,3.30708700
14.04490283,-3.14960600,3.22834600
14.10890283,-9.44881800,3.30708700
14.17290282,-4.33070900,3.30708700
14.23690282,-5.51181100,3.30708700
14.30090282,-5.11811000,3.30708700
14.36490282,-8.66141700,3.30708700
14.42890282,-3.14960600,3.30708700
14.49290282,-6.69291300,3.30708700
14.55690281,-7.08661400,3.30708700
14.62090281,-3.14960600,3.30708700
14.68490281,-4.72440900,3.30708700
14.74890281,-5.90551100,3.30708700
14.81290281,-7.48031400,3.30708700
14.87690281,-3.14960600,3.30708700
14.94090280,-11.02362000,3.30708700
15.00490280,-4.33070900,3.30708700
15.06890280,-6.69291300,3.30708700
15.13290280,-5.90551100,3.30708700
15.19690280,-9.84251900,3.30708700
15.26090279,-3.54330700,3.30708700
15.32490279,-9.84251900,3.30708700
15.38890279,-9.44881800,3.30708700
15.45290279,-7.87401500,3.30708700
15.51690279,-6.69291300,3.30708700
15.58090279,-9.44881800,3.30708700
15.64490278,-6.69291300,3.30708700
15.70890278,-5.90551100,3.30708700
15.77290278,-9.05511800,3.30708700
15.83690278,-8.26771600,3.30708700
15.90090278,-7.48031400,3.30708700
15.96490277,-8.66141700,3.30708700
16.02890277,-9.44881800,3.30708700
16.09290277,-3.14960600,3.30708700
16.15690277,-9.84251900,3.22834600
16.22090277,-5.90551100,3.30708700
16.28490277,-8.66141700,3.22834600
16.34890276,-5.11811000,3.30708700
16.41290276,-12.20472000,3.30708700
16.47690276,-6.69291300,3.30708700
16.54090276,-8.66141700,3.30708700
16.60490276,-7.48031400,3.30708700
16.66890275,-7.08661400,3.30708700
16.73290275,-2.75590500,3.30708700
16.79690275,-7.87401500,3.30708700
16.86090275,-7.48031400,3.30708700
16.92490275,-2.75590500,3.30708700
16.98890275,-8.66141700,3.30708700
17.05290274,-6.69291300,3.30708700
17.11690274,-3.93700800,3.30708700
17.18090274,-4.33070900,3.30708700
17.24490274,-9.84251900,3.30708700
17.30890274,-0.78740150,3.30708700
17.37290273,-7.87401500,3.30708700
17.43690273,-7.48031400,3.30708700
17.50090273,-5.11811000,3.30708700
17.56490273,-2.75590500,3.30708700
17.62890273,-11.02362000,3.30708700
17.69290273,-2.75590500,3.30708700
17.75690272,-6.29921200,3.30708700
17.82090272,-9.44881800,3.30708700
17.88490272,-8.66141700,3.30708700
17.94890272,-7.08661400,3.30708700
18.01290272,-10.62992000,3.30708700
18.07690271,-10.23622000,3.30708700
18.14090271,-5.11811000,3.30708700
18.20490271,-11.81102000,3.30708700
18.26890271,-5.90551100,3.30708700
18.33290271,-9.84251900,3.22834600
18.39690271,-6.29921200,3.30708700
18.46090270,-12.59842000,3.30708700
18.52490270,-7.87401500,3.30708700
18.58890270,-9.44881800,3.30708700
18.65290270,-7.48031400,3.30708700
18.71690270,-8.66141700,3.30708700
18.78090269,-5.11811000,3.30708700
18.84490269,-9.05511800,3.30708700
18.90890269,-7.48031400,3.30708700
18.97290269,-7.08661400,3.30708700
19.03690269,-8.26771600,3.30708700
19.10090269,-7.48031400,3.30708700
19.16490268,-5.11811000,3.30708700
19.22890268,-5.11811000,3.30708700
19.29290268,-9.05511800,3.30708700
19.35690268,-4.33070900,3.30708700
19.42090268,-8.66141700,3.30708700
19.48490267,-6.29921200,3.30708700
19.54890267,-8.66141700,3.30708700
19.61290267,-3.54330700,3.30708700
19.67690267,-10.23622000,3.30708700
19.74090267,-1.96850400,3.30708700
19.80490267,-5.90551100,3.30708700
19.86890266,-5.90551100,3.30708700
19.93290266,-7.87401500,3.30708700
19.99690266,-3.14960600,3.30708700
20.06090266,-7.48031400,3.30708700
20.12490266,-7.08661400,3.30708700
20.18890265,-3.54330700,3.30708700
20.25290265,-7.08661400,3.30708700
20.31690265,-5.51181100,3.30708700
20.38090265,-7.08661400,3.30708700
20.44490265,-7.08661400,3.30708700
20.50890265,-13.77953000,3.30708700
20.57290264,-6.69291300,3.30708700
20.63690264,-10.23622000,3.30708700
20.70090264,-9.05511800,3.30708700
20.76490264,-10.62992000,3.30708700
20.82890264,-4.72440900,3.30708700
20.89290263,-12.20472000,3.30708700
20.95690263,-7.48031400,3.30708700
21.02090263,-10.23622000,3.30708700
21.08490263,-9.44881800,3.30708700
21.14890263,-11.81102000,3.30708700
21.21290263,-4.72440900,3.30708700
21.27690262,-8.66141700,3.30708700
21.34090262,-9.44881800,3.30708700
21.40490262,-2.75590500,3.30708700
21.46890262,-7.48031400,3.30708700
21.53290262,-8.26771600,3.30708700
21.59690262,-6.69291300,3.30708700
21.66090261,-3.14960600,3.30708700
