Time,Channel A,Channel B
(us),(mV),(V)

-0.02560000,-10.23622000,0.07874016
0.03840000,-6.29921200,3.22834600
0.10240000,-7.08661400,3.22834600
0.16640000,-5.90551100,3.22834600
0.23039999,-9.44881800,3.22834600
0.29439999,-5.11811000,3.22834600
0.35839999,-6.69291300,3.22834600
0.42239999,-9.05511800,3.22834600
0.48639999,-4.33070900,3.22834600
0.55039999,-7.08661400,3.22834600
0.61439998,-5.51181100,3.22834600
0.67839998,-8.66141700,3.22834600
0.74239998,-1.96850400,3.22834600
0.80639998,-8.26771600,3.22834600
0.87039998,-3.54330700,3.22834600
0.93439997,-6.69291300,3.22834600
0.99839997,-3.54330700,3.22834600
1.06239997,-8.66141700,3.22834600
1.12639997,-1.96850400,3.22834600
1.19039997,-3.93700800,3.22834600
1.25439997,-4.33070900,3.22834600
1.31839996,-3.93700800,3.22834600
1.38239996,-1.57480300,3.22834600
1.44639996,-7.87401500,3.22834600
1.51039996,-7.08661400,3.22834600
1.57439996,-3.14960600,3.30708700
1.63839995,-8.66141700,3.22834600
1.70239995,-4.33070900,3.22834600
1.76639995,-2.75590500,3.22834600
1.83039995,-2.36220500,3.22834600
1.89439995,-7.48031400,3.22834600
1.95839995,2.36220500,3.22834600
2.02239994,-7.87401500,3.22834600
2.08639994,-4.72440900,3.22834600
2.15039994,-3.54330700,3.22834600
2.21439994,-1.96850400,3.22834600
2.27839994,-7.48031400,3.22834600
2.34239993,0.78740150,3.22834600
2.40639993,-3.54330700,3.30708700
2.47039993,-5.90551100,3.30708700
2.53439993,-2.36220500,3.22834600
2.59839993,-3.93700800,3.22834600
2.66239993,-8.66141700,3.22834600
2.72639992,-3.93700800,3.22834600
2.79039992,-1.96850400,3.22834600
2.85439992,-7.48031400,3.22834600
2.91839992,-4.33070900,3.22834600
2.98239992,-5.11811000,3.22834600
3.04639991,-6.29921200,3.22834600
3.11039991,-8.66141700,3.22834600
3.17439991,-1.18110200,3.22834600
3.23839991,-8.66141700,3.22834600
3.30239991,-2.36220500,3.22834600
3.36639991,-4.33070900,3.22834600
3.43039990,0.00000000,3.22834600
3.49439990,-9.05511800,3.22834600
3.55839990,-1.57480300,3.22834600
3.62239990,-3.14960600,3.22834600
3.68639990,-4.72440900,3.22834600
3.75039990,-3.54330700,3.22834600
3.81439989,0.00000000,3.30708700
3.87839989,-2.36220500,3.22834600
3.94239989,-3.54330700,3.22834600
4.00639989,0.00000000,3.22834600
4.07039989,-6.69291300,3.30708700
4.13439988,-5.90551100,3.30708700
4.19839988,-4.72440900,3.30708700
4.26239988,-1.96850400,3.22834600
4.32639988,-8.26771600,3.30708700
4.39039988,0.00000000,3.22834600
4.45439988,-4.33070900,3.22834600
4.51839987,-2.36220500,3.22834600
4.58239987,-5.90551100,3.22834600
4.64639987,-0.78740150,3.22834600
4.71039987,-7.48031400,3.22834600
4.77439987,-1.57480300,3.30708700
4.83839986,-3.14960600,3.22834600
4.90239986,-3.54330700,3.30708700
4.96639986,-4.72440900,3.30708700
5.03039986,-1.57480300,3.30708700
5.09439986,-2.36220500,3.30708700
5.15839986,-7.08661400,3.30708700
5.22239985,-1.57480300,3.30708700
5.28639985,-5.51181100,3.30708700
5.35039985,-3.93700800,3.30708700
5.41439985,-6.29921200,3.30708700
5.47839985,-0.78740150,3.22834600
5.54239984,-10.23622000,3.30708700
5.60639984,-3.93700800,3.22834600
5.67039984,-6.29921200,3.30708700
5.73439984,-6.69291300,3.22834600
5.79839984,-8.66141700,3.22834600
5.86239984,0.39370070,3.30708700
5.92639983,-5.90551100,3.30708700
5.99039983,-4.33070900,3.22834600
6.05439983,-2.36220500,3.22834600
6.11839983,-4.33070900,3.22834600
6.18239983,-7.87401500,3.30708700
6.24639982,-1.57480300,3.22834600
6.31039982,-3.54330700,3.30708700
6.37439982,-6.69291300,3.30708700
6.43839982,1.96850400,3.30708700
6.50239982,-2.75590500,3.22834600
6.56639982,-2.75590500,3.30708700
6.63039981,-4.72440900,3.22834600
6.69439981,0.39370070,3.30708700
6.75839981,-9.84251900,3.22834600
6.82239981,-1.57480300,3.30708700
6.88639981,-5.11811000,3.30708700
6.95039980,-3.93700800,3.30708700
7.01439980,-4.33070900,3.30708700
7.07839980,-1.18110200,3.30708700
7.14239980,-6.69291300,3.30708700
7.20639980,-3.54330700,3.30708700
7.27039980,-2.75590500,3.22834600
7.33439979,-3.54330700,3.30708700
7.39839979,-3.54330700,3.30708700
7.46239979,-2.36220500,3.30708700
7.52639979,-2.36220500,3.30708700
7.59039979,-5.11811000,3.30708700
7.65439978,-2.36220500,3.30708700
7.71839978,-5.11811000,3.30708700
7.78239978,-2.75590500,3.30708700
7.84639978,-5.51181100,3.30708700
7.91039978,0.39370070,3.30708700
7.97439978,-7.48031400,3.30708700
8.03839977,-2.36220500,3.30708700
8.10239977,-5.11811000,3.30708700
8.16639977,-3.14960600,3.30708700
8.23039977,-10.23622000,3.30708700
8.29439977,-4.33070900,3.30708700
8.35839976,-6.69291300,3.22834600
8.42239976,-7.48031400,3.30708700
8.48639976,-3.14960600,3.22834600
8.55039976,-2.36220500,3.30708700
8.61439976,-5.90551100,3.22834600
8.67839976,-5.11811000,3.22834600
8.74239975,-1.96850400,3.22834600
8.80639975,-9.44881800,3.30708700
8.87039975,-3.93700800,3.22834600
8.93439975,-3.14960600,3.22834600
8.99839975,-2.75590500,3.30708700
9.06239974,-5.90551100,3.30708700
9.12639974,1.96850400,3.30708700
9.19039974,-5.51181100,3.30708700
9.25439974,-2.75590500,3.30708700
9.31839974,-3.54330700,3.30708700
9.38239974,0.00000000,3.30708700
9.44639973,-8.26771600,3.30708700
9.51039973,0.78740150,3.30708700
9.57439973,-1.96850400,3.30708700
9.63839973,-4.72440900,3.30708700
9.70239973,-3.14960600,3.30708700
9.76639972,-2.36220500,3.30708700
9.83039972,-4.33070900,3.30708700
9.89439972,-4.33070900,3.30708700
9.95839972,2.75590500,3.30708700
10.02239972,-5.11811000,3.30708700
10.08639972,-1.18110200,3.30708700
10.15039971,-1.18110200,3.30708700
10.21439971,-1.18110200,3.30708700
10.27839971,-7.87401500,3.30708700
10.34239971,1.96850400,3.30708700
10.40639971,-3.54330700,3.30708700
10.47039970,-2.75590500,3.30708700
10.53439970,0.00000000,3.30708700
10.59839970,3.14960600,3.30708700
10.66239970,-7.48031400,3.30708700
10.72639970,-0.39370070,3.30708700
10.79039970,-3.54330700,3.30708700
10.85439969,-7.87401500,3.30708700
10.91839969,-4.72440900,3.30708700
10.98239969,-1.96850400,3.22834600
11.04639969,-5.90551100,3.30708700
11.11039969,-5.51181100,3.30708700
11.17439969,3.14960600,3.30708700
11.23839968,-5.51181100,3.22834600
11.30239968,-2.75590500,3.30708700
11.36639968,-5.11811000,3.30708700
11.43039968,1.96850400,3.22834600
11.49439968,-8.26771600,3.30708700
11.55839967,0.39370070,3.22834600
11.62239967,-4.33070900,3.30708700
11.68639967,-4.33070900,3.30708700
11.75039967,-3.54330700,3.30708700
11.81439967,1.57480300,3.30708700
11.87839967,-3.93700800,3.22834600
11.94239966,-3.14960600,3.30708700
12.00639966,-3.54330700,3.30708700
12.07039966,-1.57480300,3.30708700
12.13439966,-4.72440900,3.30708700
12.19839966,-4.33070900,3.30708700
12.26239965,-1.18110200,3.30708700
12.32639965,-7.48031400,3.30708700
12.39039965,-1.96850400,3.30708700
12.45439965,-3.93700800,3.30708700
12.51839965,-7.87401500,3.30708700
12.58239965,-3.54330700,3.30708700
12.64639964,5.51181100,3.30708700
12.71039964,-6.69291300,3.30708700
12.77439964,0.39370070,3.30708700
12.83839964,-1.57480300,3.30708700
12.90239964,-3.54330700,3.30708700
12.96639963,-7.87401500,3.30708700
13.03039963,1.57480300,3.30708700
13.09439963,-5.90551100,3.30708700
13.15839963,-3.54330700,3.30708700
13.22239963,1.18110200,3.30708700
13.28639963,-4.72440900,3.30708700
13.35039962,-5.90551100,3.30708700
13.41439962,-6.29921200,3.30708700
13.47839962,-2.75590500,3.30708700
13.54239962,-11.02362000,3.30708700
13.60639962,-3.54330700,3.30708700
13.67039961,-5.11811000,3.30708700
13.73439961,-3.93700800,3.30708700
13.79839961,-7.08661400,3.30708700
13.86239961,-4.33070900,3.30708700
13.92639961,-9.44881800,3.22834600
13.99039961,-6.69291300,3.30708700
14.05439960,-7.48031400,3.22834600
14.11839960,-4.33070900,3.30708700
14.18239960,-9.44881800,3.22834600
14.24639960,-2.36220500,3.30708700
14.31039960,-3.54330700,3.22834600
14.37439959,-6.29921200,3.22834600
14.43839959,-3.93700800,3.22834600
14.50239959,-3.14960600,3.22834600
14.56639959,-4.33070900,3.30708700
14.63039959,-6.29921200,3.30708700
14.69439959,0.39370070,3.30708700
14.75839958,-8.66141700,3.30708700
14.82239958,-2.75590500,3.30708700
14.88639958,-8.26771600,3.30708700
14.95039958,-5.90551100,3.30708700
15.01439958,-11.41732000,3.30708700
15.07839957,-4.33070900,3.30708700
15.14239957,-6.29921200,3.30708700
15.20639957,-2.75590500,3.30708700
15.27039957,-4.33070900,3.30708700
15.33439957,-3.14960600,3.30708700
15.39839957,-5.90551100,3.30708700
15.46239956,-6.69291300,3.30708700
15.52639956,-3.93700800,3.30708700
15.59039956,-8.26771600,3.30708700
15.65439956,-5.90551100,3.30708700
15.71839956,-4.33070900,3.30708700
15.78239955,-2.75590500,3.30708700
15.84639955,-8.66141700,3.30708700
15.91039955,-1.96850400,3.30708700
15.97439955,-6.69291300,3.30708700
16.03839955,-7.08661400,3.30708700
16.10239955,-9.84251900,3.30708700
16.16639954,-3.93700800,3.30708700
16.23039954,-12.20472000,3.30708700
16.29439954,-5.90551100,3.30708700
16.35839954,-6.69291300,3.30708700
16.42239954,-9.84251900,3.30708700
16.48639953,-9.44881800,3.30708700
16.55039953,-5.11811000,3.30708700
16.61439953,-7.87401500,3.22834600
16.67839953,-10.62992000,3.22834600
16.74239953,-1.96850400,3.22834600
16.80639953,-9.05511800,3.22834600
16.87039952,-6.29921200,3.30708700
16.93439952,-5.90551100,3.30708700
16.99839952,-4.33070900,3.30708700
17.06239952,-10.62992000,3.22834600
17.12639952,-1.96850400,3.22834600
17.19039951,-6.69291300,3.22834600
17.25439951,-5.11811000,3.30708700
17.31839951,-4.33070900,3.22834600
17.38239951,-1.57480300,3.30708700
17.44639951,-8.66141700,3.30708700
17.51039951,-5.90551100,3.30708700
17.57439950,-7.08661400,3.22834600
17.63839950,-8.66141700,3.30708700
17.70239950,-6.69291300,3.30708700
17.76639950,-6.69291300,3.30708700
17.83039950,-5.51181100,3.30708700
17.89439949,-7.08661400,3.30708700
17.95839949,-3.14960600,3.30708700
18.02239949,-7.87401500,3.30708700
18.08639949,-5.90551100,3.30708700
18.15039949,-9.44881800,3.30708700
18.21439949,-1.96850400,3.30708700
18.27839948,-9.84251900,3.30708700
18.34239948,-4.33070900,3.30708700
18.40639948,-5.51181100,3.30708700
18.47039948,-4.72440900,3.30708700
18.53439948,-7.87401500,3.30708700
18.59839948,-3.93700800,3.30708700
18.66239947,-8.26771600,3.30708700
18.72639947,-9.84251900,3.30708700
18.79039947,-5.11811000,3.30708700
18.85439947,-7.48031400,3.30708700
18.91839947,-8.66141700,3.30708700
18.98239946,-7.48031400,3.30708700
19.04639946,-6.29921200,3.30708700
19.11039946,-12.99213000,3.30708700
19.17439946,-7.87401500,3.30708700
19.23839946,-7.87401500,3.30708700
19.30239946,-7.48031400,3.30708700
19.36639945,-9.44881800,3.30708700
19.43039945,-2.36220500,3.30708700
19.49439945,-11.41732000,3.30708700
19.55839945,-6.69291300,3.30708700
19.62239945,-6.69291300,3.30708700
19.68639944,-5.11811000,3.30708700
19.75039944,-10.23622000,3.30708700
19.81439944,-2.36220500,3.30708700
19.87839944,-3.54330700,3.30708700
19.94239944,-7.08661400,3.22834600
20.00639944,-2.75590500,3.30708700
20.07039943,-5.11811000,3.30708700
20.13439943,-7.87401500,3.30708700
20.19839943,-9.05511800,3.30708700
20.26239943,-3.14960600,3.30708700
20.32639943,-12.59842000,3.30708700
20.39039942,-5.11811000,3.30708700
20.45439942,-5.11811000,3.30708700
20.51839942,-6.29921200,3.30708700
20.58239942,-9.84251900,3.30708700
20.64639942,-2.36220500,3.30708700
20.71039942,-9.05511800,3.30708700
20.77439941,-7.08661400,3.30708700
20.83839941,-4.33070900,3.30708700
20.90239941,-5.11811000,3.30708700
20.96639941,-9.44881800,3.30708700
21.03039941,-2.75590500,3.30708700
21.09439940,-6.29921200,3.30708700
21.15839940,-9.84251900,3.30708700
21.22239940,-4.33070900,3.30708700
21.28639940,-6.69291300,3.30708700
21.35039940,-6.29921200,3.30708700
21.41439940,-8.26771600,3.30708700
21.47839939,-2.75590500,3.30708700
21.54239939,-11.02362000,3.30708700
21.60639939,-5.90551100,3.30708700
21.67039939,-10.62992000,3.30708700
